municipality,group,variable,month,Total Viviendas Positivas,TOTAL
VALLEGRANDE,chagas viviendas,total viviendas positivas,2015-02-01,2,2
VILLA MONTES,chagas viviendas,total viviendas positivas,2015-02-01,30,30
YACUIBA,chagas viviendas,total viviendas positivas,2015-02-01,2,2
AIQUILE,chagas viviendas,total viviendas positivas,2015-03-01,31,31
ARANI,chagas viviendas,total viviendas positivas,2015-03-01,1,1
ARBIETO,chagas viviendas,total viviendas positivas,2015-03-01,16,16
ARQUE,chagas viviendas,total viviendas positivas,2015-03-01,1,1
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,total viviendas positivas,2015-03-01,5,5
CAPINOTA,chagas viviendas,total viviendas positivas,2015-03-01,8,8
CARAPARI,chagas viviendas,total viviendas positivas,2015-03-01,35,35
CLIZA,chagas viviendas,total viviendas positivas,2015-03-01,2,2
COCHABAMBA,chagas viviendas,total viviendas positivas,2015-03-01,5,5
COLCAPIRHUA,chagas viviendas,total viviendas positivas,2015-03-01,3,3
COLQUECHACA,chagas viviendas,total viviendas positivas,2015-03-01,3,3
COTAGAITA,chagas viviendas,total viviendas positivas,2015-03-01,1,1
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,total viviendas positivas,2015-03-01,4,4
EL TORNO,chagas viviendas,total viviendas positivas,2015-03-01,7,7
ENTRE RIOS TRJ,chagas viviendas,total viviendas positivas,2015-03-01,24,24
ICLA,chagas viviendas,total viviendas positivas,2015-03-01,2,2
LAS CARRERAS,chagas viviendas,total viviendas positivas,2015-03-01,10,10
MONTEAGUDO,chagas viviendas,total viviendas positivas,2015-03-01,2,2
OMEREQUE,chagas viviendas,total viviendas positivas,2015-03-01,2,2
PASORAPA,chagas viviendas,total viviendas positivas,2015-03-01,1,1
POCOATA,chagas viviendas,total viviendas positivas,2015-03-01,1,1
POJO (CBBA),chagas viviendas,total viviendas positivas,2015-03-01,15,15
RAVELO,chagas viviendas,total viviendas positivas,2015-03-01,3,3
SACABA,chagas viviendas,total viviendas positivas,2015-03-01,5,5
SAIPINA,chagas viviendas,total viviendas positivas,2015-03-01,4,4
SAN JULIAN,chagas viviendas,total viviendas positivas,2015-03-01,1,1
SAN LORENZO(TJA),chagas viviendas,total viviendas positivas,2015-03-01,4,4
SANTIVAÑES,chagas viviendas,total viviendas positivas,2015-03-01,13,13
SICAYA,chagas viviendas,total viviendas positivas,2015-03-01,1,1
SIPE SIPE,chagas viviendas,total viviendas positivas,2015-03-01,2,2
SUCRE,chagas viviendas,total viviendas positivas,2015-03-01,7,7
TACOBAMBA,chagas viviendas,total viviendas positivas,2015-03-01,1,1
TAPACARI,chagas viviendas,total viviendas positivas,2015-03-01,4,4
TARATA,chagas viviendas,total viviendas positivas,2015-03-01,1,1
TOMAVE,chagas viviendas,total viviendas positivas,2015-03-01,1,1
TORO TORO,chagas viviendas,total viviendas positivas,2015-03-01,2,2
TUPIZA,chagas viviendas,total viviendas positivas,2015-03-01,2,2
URIONDO (A. CONCEPCION),chagas viviendas,total viviendas positivas,2015-03-01,3,3
VILLA MONTES,chagas viviendas,total viviendas positivas,2015-03-01,32,32
VILLA RIVERO,chagas viviendas,total viviendas positivas,2015-03-01,2,2
VINTO,chagas viviendas,total viviendas positivas,2015-03-01,2,2
VITICHI,chagas viviendas,total viviendas positivas,2015-03-01,11,11
AIQUILE,chagas viviendas,total viviendas positivas,2015-04-01,13,13
ARANI,chagas viviendas,total viviendas positivas,2015-04-01,8,8
ARBIETO,chagas viviendas,total viviendas positivas,2015-04-01,7,7
ARQUE,chagas viviendas,total viviendas positivas,2015-04-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,total viviendas positivas,2015-04-01,4,4
CAPINOTA,chagas viviendas,total viviendas positivas,2015-04-01,12,12
CARAPARI,chagas viviendas,total viviendas positivas,2015-04-01,7,7
CKOCHAS,chagas viviendas,total viviendas positivas,2015-04-01,6,6
CLIZA,chagas viviendas,total viviendas positivas,2015-04-01,3,3
COCHABAMBA,chagas viviendas,total viviendas positivas,2015-04-01,26,26
COLCAPIRHUA,chagas viviendas,total viviendas positivas,2015-04-01,3,3
COLQUECHACA,chagas viviendas,total viviendas positivas,2015-04-01,2,2
COTAGAITA,chagas viviendas,total viviendas positivas,2015-04-01,10,10
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,total viviendas positivas,2015-04-01,2,2
EL TORNO,chagas viviendas,total viviendas positivas,2015-04-01,2,2
ENTRE RIOS TRJ,chagas viviendas,total viviendas positivas,2015-04-01,4,4
ICLA,chagas viviendas,total viviendas positivas,2015-04-01,4,4
LA ASUNTA,chagas viviendas,total viviendas positivas,2015-04-01,334,334
LAS CARRERAS,chagas viviendas,total viviendas positivas,2015-04-01,15,15
MOJOCOYA,chagas viviendas,total viviendas positivas,2015-04-01,26,26
OMEREQUE,chagas viviendas,total viviendas positivas,2015-04-01,2,2
PAMPA GRANDE,chagas viviendas,total viviendas positivas,2015-04-01,18,18
POCONA,chagas viviendas,total viviendas positivas,2015-04-01,1,1
POJO (CBBA),chagas viviendas,total viviendas positivas,2015-04-01,3,3
PUNATA,chagas viviendas,total viviendas positivas,2015-04-01,10,10
RAVELO,chagas viviendas,total viviendas positivas,2015-04-01,4,4
SACABA,chagas viviendas,total viviendas positivas,2015-04-01,8,8
SAIPINA,chagas viviendas,total viviendas positivas,2015-04-01,3,3
SAN LORENZO(TJA),chagas viviendas,total viviendas positivas,2015-04-01,3,3
SAN LUCAS,chagas viviendas,total viviendas positivas,2015-04-01,5,5
SANTIVAÑES,chagas viviendas,total viviendas positivas,2015-04-01,18,18
SOPACHUY,chagas viviendas,total viviendas positivas,2015-04-01,1,1
TACACHI,chagas viviendas,total viviendas positivas,2015-04-01,3,3
TACOPAYA,chagas viviendas,total viviendas positivas,2015-04-01,2,2
TAPACARI,chagas viviendas,total viviendas positivas,2015-04-01,6,6
TARABUCO,chagas viviendas,total viviendas positivas,2015-04-01,11,11
TARATA,chagas viviendas,total viviendas positivas,2015-04-01,2,2
TOCO,chagas viviendas,total viviendas positivas,2015-04-01,1,1
TOLATA,chagas viviendas,total viviendas positivas,2015-04-01,3,3
TORO TORO,chagas viviendas,total viviendas positivas,2015-04-01,8,8
URIONDO (A. CONCEPCION),chagas viviendas,total viviendas positivas,2015-04-01,1,1
VILLA MONTES,chagas viviendas,total viviendas positivas,2015-04-01,7,7
VILLA RIVERO,chagas viviendas,total viviendas positivas,2015-04-01,5,5
VILLA SERRANO,chagas viviendas,total viviendas positivas,2015-04-01,1,1
YACUIBA,chagas viviendas,total viviendas positivas,2015-04-01,123,123
YOTALA,chagas viviendas,total viviendas positivas,2015-04-01,5,5
ZUDAÑEZ,chagas viviendas,total viviendas positivas,2015-04-01,4,4
AIQUILE,chagas viviendas,total viviendas positivas,2015-05-01,11,11
ARANI,chagas viviendas,total viviendas positivas,2015-05-01,6,6
ARBIETO,chagas viviendas,total viviendas positivas,2015-05-01,10,10
ARQUE,chagas viviendas,total viviendas positivas,2015-05-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,total viviendas positivas,2015-05-01,1,1
BETANZOS,chagas viviendas,total viviendas positivas,2015-05-01,8,8
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,total viviendas positivas,2015-05-01,1,1
CAPINOTA,chagas viviendas,total viviendas positivas,2015-05-01,50,50
CARAPARI,chagas viviendas,total viviendas positivas,2015-05-01,1,1
CLIZA,chagas viviendas,total viviendas positivas,2015-05-01,1,1
COCHABAMBA,chagas viviendas,total viviendas positivas,2015-05-01,21,21
COLCAPIRHUA,chagas viviendas,total viviendas positivas,2015-05-01,1,1
COLQUECHACA,chagas viviendas,total viviendas positivas,2015-05-01,3,3
COMARAPA,chagas viviendas,total viviendas positivas,2015-05-01,6,6
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,total viviendas positivas,2015-05-01,3,3
EL PUENTE(TJA),chagas viviendas,total viviendas positivas,2015-05-01,1,1
EL VILLAR,chagas viviendas,total viviendas positivas,2015-05-01,1,1
ENTRE RIOS TRJ,chagas viviendas,total viviendas positivas,2015-05-01,4,4
HUACAYA (VILLA DE HUACAYA),chagas viviendas,total viviendas positivas,2015-05-01,23,23
ICLA,chagas viviendas,total viviendas positivas,2015-05-01,1,1
LAS CARRERAS,chagas viviendas,total viviendas positivas,2015-05-01,2,2
MACHARETI,chagas viviendas,total viviendas positivas,2015-05-01,3,3
MECAPACA,chagas viviendas,total viviendas positivas,2015-05-01,4,4
MONTEAGUDO,chagas viviendas,total viviendas positivas,2015-05-01,8,8
PAMPA GRANDE,chagas viviendas,total viviendas positivas,2015-05-01,1,1
POJO (CBBA),chagas viviendas,total viviendas positivas,2015-05-01,8,8
PUNATA,chagas viviendas,total viviendas positivas,2015-05-01,1,1
RAVELO,chagas viviendas,total viviendas positivas,2015-05-01,2,2
SACABA,chagas viviendas,total viviendas positivas,2015-05-01,6,6
SAIPINA,chagas viviendas,total viviendas positivas,2015-05-01,4,4
SAN LORENZO(TJA),chagas viviendas,total viviendas positivas,2015-05-01,6,6
SAN LUCAS,chagas viviendas,total viviendas positivas,2015-05-01,3,3
SAN PEDRO DE BUENA VISTA,chagas viviendas,total viviendas positivas,2015-05-01,12,12
SANTIVAÑES,chagas viviendas,total viviendas positivas,2015-05-01,22,22
SIPE SIPE,chagas viviendas,total viviendas positivas,2015-05-01,43,43
TAPACARI,chagas viviendas,total viviendas positivas,2015-05-01,1,1
TARABUCO,chagas viviendas,total viviendas positivas,2015-05-01,1,1
TARATA,chagas viviendas,total viviendas positivas,2015-05-01,2,2
TOCO,chagas viviendas,total viviendas positivas,2015-05-01,2,2
TOLATA,chagas viviendas,total viviendas positivas,2015-05-01,4,4
TOMAVE,chagas viviendas,total viviendas positivas,2015-05-01,1,1
TOMINA,chagas viviendas,total viviendas positivas,2015-05-01,7,7
TUPIZA,chagas viviendas,total viviendas positivas,2015-05-01,4,4
URIONDO (A. CONCEPCION),chagas viviendas,total viviendas positivas,2015-05-01,1,1
VALLEGRANDE,chagas viviendas,total viviendas positivas,2015-05-01,1,1
VILLA CHARCAS,chagas viviendas,total viviendas positivas,2015-05-01,8,8
VILLA MONTES,chagas viviendas,total viviendas positivas,2015-05-01,19,19
VILLA RIVERO,chagas viviendas,total viviendas positivas,2015-05-01,1,1
VINTO,chagas viviendas,total viviendas positivas,2015-05-01,2,2
YACUIBA,chagas viviendas,total viviendas positivas,2015-05-01,47,47
YAMPARAEZ,chagas viviendas,total viviendas positivas,2015-05-01,45,45
YOTALA,chagas viviendas,total viviendas positivas,2015-05-01,12,12
ZUDAÑEZ,chagas viviendas,total viviendas positivas,2015-05-01,2,2
ACACIO,chagas viviendas,total viviendas positivas,2015-06-01,1,1
AIQUILE,chagas viviendas,total viviendas positivas,2015-06-01,42,42
ARAMPAMPA,chagas viviendas,total viviendas positivas,2015-06-01,2,2
ARBIETO,chagas viviendas,total viviendas positivas,2015-06-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,total viviendas positivas,2015-06-01,1,1
BETANZOS,chagas viviendas,total viviendas positivas,2015-06-01,23,23
CAPINOTA,chagas viviendas,total viviendas positivas,2015-06-01,34,34
CLIZA,chagas viviendas,total viviendas positivas,2015-06-01,1,1
COCHABAMBA,chagas viviendas,total viviendas positivas,2015-06-01,16,16
COLCAPIRHUA,chagas viviendas,total viviendas positivas,2015-06-01,3,3
COMARAPA,chagas viviendas,total viviendas positivas,2015-06-01,12,12
COTAGAITA,chagas viviendas,total viviendas positivas,2015-06-01,15,15
EL PUENTE(TJA),chagas viviendas,total viviendas positivas,2015-06-01,5,5
ENTRE RIOS TRJ,chagas viviendas,total viviendas positivas,2015-06-01,28,28
HUACAYA (VILLA DE HUACAYA),chagas viviendas,total viviendas positivas,2015-06-01,1,1
MONTERO,chagas viviendas,total viviendas positivas,2015-06-01,0,0
OMEREQUE,chagas viviendas,total viviendas positivas,2015-06-01,1,1
POJO (CBBA),chagas viviendas,total viviendas positivas,2015-06-01,3,3
PUNATA,chagas viviendas,total viviendas positivas,2015-06-01,5,5
RAVELO,chagas viviendas,total viviendas positivas,2015-06-01,4,4
SACABA,chagas viviendas,total viviendas positivas,2015-06-01,5,5
SAIPINA,chagas viviendas,total viviendas positivas,2015-06-01,3,3
SAN LORENZO(TJA),chagas viviendas,total viviendas positivas,2015-06-01,5,5
SAN LUCAS,chagas viviendas,total viviendas positivas,2015-06-01,1,1
SAN PEDRO DE BUENA VISTA,chagas viviendas,total viviendas positivas,2015-06-01,5,5
SANTIVAÑES,chagas viviendas,total viviendas positivas,2015-06-01,36,36
SIPE SIPE,chagas viviendas,total viviendas positivas,2015-06-01,16,16
SUCRE,chagas viviendas,total viviendas positivas,2015-06-01,28,28
TACOBAMBA,chagas viviendas,total viviendas positivas,2015-06-01,12,12
TAPACARI,chagas viviendas,total viviendas positivas,2015-06-01,4,4
TARABUCO,chagas viviendas,total viviendas positivas,2015-06-01,15,15
TOMAVE,chagas viviendas,total viviendas positivas,2015-06-01,1,1
TOMINA,chagas viviendas,total viviendas positivas,2015-06-01,27,27
TORO TORO,chagas viviendas,total viviendas positivas,2015-06-01,3,3
TUPIZA,chagas viviendas,total viviendas positivas,2015-06-01,4,4
VALLEGRANDE,chagas viviendas,total viviendas positivas,2015-06-01,3,3
VILLA MONTES,chagas viviendas,total viviendas positivas,2015-06-01,25,25
VILLA RIVERO,chagas viviendas,total viviendas positivas,2015-06-01,5,5
VILLA SERRANO,chagas viviendas,total viviendas positivas,2015-06-01,8,8
VILLAZON,chagas viviendas,total viviendas positivas,2015-06-01,1,1
VINTO,chagas viviendas,total viviendas positivas,2015-06-01,1,1
YACUIBA,chagas viviendas,total viviendas positivas,2015-06-01,16,16
YOTALA,chagas viviendas,total viviendas positivas,2015-06-01,5,5
ZUDAÑEZ,chagas viviendas,total viviendas positivas,2015-06-01,14,14
AIQUILE,chagas viviendas,total viviendas positivas,2015-07-01,22,22
ANZALDO,chagas viviendas,total viviendas positivas,2015-07-01,3,3
ARANI,chagas viviendas,total viviendas positivas,2015-07-01,4,4
ARBIETO,chagas viviendas,total viviendas positivas,2015-07-01,4,4
CAPINOTA,chagas viviendas,total viviendas positivas,2015-07-01,22,22
CLIZA,chagas viviendas,total viviendas positivas,2015-07-01,1,1
COCHABAMBA,chagas viviendas,total viviendas positivas,2015-07-01,31,31
COMARAPA,chagas viviendas,total viviendas positivas,2015-07-01,15,15
EL PUENTE(TJA),chagas viviendas,total viviendas positivas,2015-07-01,3,3
EL TORNO,chagas viviendas,total viviendas positivas,2015-07-01,7,7
ICLA,chagas viviendas,total viviendas positivas,2015-07-01,5,5
MONTEAGUDO,chagas viviendas,total viviendas positivas,2015-07-01,24,24
MONTERO,chagas viviendas,total viviendas positivas,2015-07-01,0,0
PADCAYA,chagas viviendas,total viviendas positivas,2015-07-01,1,1
PADILLA,chagas viviendas,total viviendas positivas,2015-07-01,1,1
POJO (CBBA),chagas viviendas,total viviendas positivas,2015-07-01,3,3
POROMA,chagas viviendas,total viviendas positivas,2015-07-01,2,2
PRESTO,chagas viviendas,total viviendas positivas,2015-07-01,8,8
PUNATA,chagas viviendas,total viviendas positivas,2015-07-01,5,5
RAVELO,chagas viviendas,total viviendas positivas,2015-07-01,4,4
SACABA,chagas viviendas,total viviendas positivas,2015-07-01,9,9
SAIPINA,chagas viviendas,total viviendas positivas,2015-07-01,6,6
SAN LORENZO(TJA),chagas viviendas,total viviendas positivas,2015-07-01,8,8
SAN PEDRO DE BUENA VISTA,chagas viviendas,total viviendas positivas,2015-07-01,22,22
SANTIVAÑES,chagas viviendas,total viviendas positivas,2015-07-01,7,7
SICAYA,chagas viviendas,total viviendas positivas,2015-07-01,5,5
SIPE SIPE,chagas viviendas,total viviendas positivas,2015-07-01,8,8
SUCRE,chagas viviendas,total viviendas positivas,2015-07-01,32,32
TACACHI,chagas viviendas,total viviendas positivas,2015-07-01,3,3
TARATA,chagas viviendas,total viviendas positivas,2015-07-01,3,3
TARVITA,chagas viviendas,total viviendas positivas,2015-07-01,2,2
TOCO,chagas viviendas,total viviendas positivas,2015-07-01,1,1
TOMINA,chagas viviendas,total viviendas positivas,2015-07-01,25,25
TORO TORO,chagas viviendas,total viviendas positivas,2015-07-01,3,3
URIONDO (A. CONCEPCION),chagas viviendas,total viviendas positivas,2015-07-01,1,1
VALLEGRANDE,chagas viviendas,total viviendas positivas,2015-07-01,1,1
VILLA CHARCAS,chagas viviendas,total viviendas positivas,2015-07-01,14,14
VILLA MONTES,chagas viviendas,total viviendas positivas,2015-07-01,13,13
VILLA RIVERO,chagas viviendas,total viviendas positivas,2015-07-01,4,4
VILLA SERRANO,chagas viviendas,total viviendas positivas,2015-07-01,1,1
VINTO,chagas viviendas,total viviendas positivas,2015-07-01,2,2
YACUIBA,chagas viviendas,total viviendas positivas,2015-07-01,18,18
YOTALA,chagas viviendas,total viviendas positivas,2015-07-01,5,5
ZUDAÑEZ,chagas viviendas,total viviendas positivas,2015-07-01,3,3
AIQUILE,chagas viviendas,total viviendas positivas,2015-08-01,30,30
ALCALA,chagas viviendas,total viviendas positivas,2015-08-01,5,5
ARANI,chagas viviendas,total viviendas positivas,2015-08-01,2,2
ARBIETO,chagas viviendas,total viviendas positivas,2015-08-01,7,7
ARQUE,chagas viviendas,total viviendas positivas,2015-08-01,10,10
BETANZOS,chagas viviendas,total viviendas positivas,2015-08-01,2,2
CAPINOTA,chagas viviendas,total viviendas positivas,2015-08-01,19,19
CARAPARI,chagas viviendas,total viviendas positivas,2015-08-01,15,15
CLIZA,chagas viviendas,total viviendas positivas,2015-08-01,1,1
COCHABAMBA,chagas viviendas,total viviendas positivas,2015-08-01,71,71
COLCAPIRHUA,chagas viviendas,total viviendas positivas,2015-08-01,4,4
COLQUECHACA,chagas viviendas,total viviendas positivas,2015-08-01,2,2
COTAGAITA,chagas viviendas,total viviendas positivas,2015-08-01,3,3
EL PUENTE(TJA),chagas viviendas,total viviendas positivas,2015-08-01,2,2
EL VILLAR,chagas viviendas,total viviendas positivas,2015-08-01,2,2
HUACAYA (VILLA DE HUACAYA),chagas viviendas,total viviendas positivas,2015-08-01,15,15
ICLA,chagas viviendas,total viviendas positivas,2015-08-01,2,2
INCAHUASI,chagas viviendas,total viviendas positivas,2015-08-01,10,10
LAS CARRERAS,chagas viviendas,total viviendas positivas,2015-08-01,2,2
LURIBAY,chagas viviendas,total viviendas positivas,2015-08-01,24,24
MOJOCOYA,chagas viviendas,total viviendas positivas,2015-08-01,1,1
MONTEAGUDO,chagas viviendas,total viviendas positivas,2015-08-01,20,20
MONTERO,chagas viviendas,total viviendas positivas,2015-08-01,0,0
PASORAPA,chagas viviendas,total viviendas positivas,2015-08-01,6,6
POCOATA,chagas viviendas,total viviendas positivas,2015-08-01,5,5
POCONA,chagas viviendas,total viviendas positivas,2015-08-01,1,1
POJO (CBBA),chagas viviendas,total viviendas positivas,2015-08-01,5,5
POROMA,chagas viviendas,total viviendas positivas,2015-08-01,15,15
PUNATA,chagas viviendas,total viviendas positivas,2015-08-01,6,6
RAVELO,chagas viviendas,total viviendas positivas,2015-08-01,3,3
SACABA,chagas viviendas,total viviendas positivas,2015-08-01,4,4
SAIPINA,chagas viviendas,total viviendas positivas,2015-08-01,1,1
SAN BENITO,chagas viviendas,total viviendas positivas,2015-08-01,10,10
SAN LORENZO(TJA),chagas viviendas,total viviendas positivas,2015-08-01,5,5
SAN LUCAS,chagas viviendas,total viviendas positivas,2015-08-01,11,11
SAN PEDRO DE BUENA VISTA,chagas viviendas,total viviendas positivas,2015-08-01,10,10
SANTIVAÑES,chagas viviendas,total viviendas positivas,2015-08-01,26,26
SIPE SIPE,chagas viviendas,total viviendas positivas,2015-08-01,11,11
TACACHI,chagas viviendas,total viviendas positivas,2015-08-01,3,3
TAPACARI,chagas viviendas,total viviendas positivas,2015-08-01,4,4
TARABUCO,chagas viviendas,total viviendas positivas,2015-08-01,12,12
TARATA,chagas viviendas,total viviendas positivas,2015-08-01,2,2
TARVITA,chagas viviendas,total viviendas positivas,2015-08-01,7,7
TOCO,chagas viviendas,total viviendas positivas,2015-08-01,1,1
TOMINA,chagas viviendas,total viviendas positivas,2015-08-01,20,20
TORO TORO,chagas viviendas,total viviendas positivas,2015-08-01,2,2
URIONDO (A. CONCEPCION),chagas viviendas,total viviendas positivas,2015-08-01,1,1
VALLEGRANDE,chagas viviendas,total viviendas positivas,2015-08-01,15,15
VILLA CHARCAS,chagas viviendas,total viviendas positivas,2015-08-01,6,6
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,total viviendas positivas,2015-08-01,40,40
YACUIBA,chagas viviendas,total viviendas positivas,2015-08-01,7,7
YAMPARAEZ,chagas viviendas,total viviendas positivas,2015-08-01,2,2
YOTALA,chagas viviendas,total viviendas positivas,2015-08-01,9,9
ZUDAÑEZ,chagas viviendas,total viviendas positivas,2015-08-01,1,1
AIQUILE,chagas viviendas,total viviendas positivas,2015-09-01,51,51
ALCALA,chagas viviendas,total viviendas positivas,2015-09-01,1,1
ANZALDO,chagas viviendas,total viviendas positivas,2015-09-01,11,11
ARBIETO,chagas viviendas,total viviendas positivas,2015-09-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,total viviendas positivas,2015-09-01,1,1
BETANZOS,chagas viviendas,total viviendas positivas,2015-09-01,32,32
CAPINOTA,chagas viviendas,total viviendas positivas,2015-09-01,13,13
CARAPARI,chagas viviendas,total viviendas positivas,2015-09-01,23,23
CLIZA,chagas viviendas,total viviendas positivas,2015-09-01,1,1
COCHABAMBA,chagas viviendas,total viviendas positivas,2015-09-01,27,27
COLCAPIRHUA,chagas viviendas,total viviendas positivas,2015-09-01,4,4
COLQUECHACA,chagas viviendas,total viviendas positivas,2015-09-01,1,1
COMARAPA,chagas viviendas,total viviendas positivas,2015-09-01,6,6
COTAGAITA,chagas viviendas,total viviendas positivas,2015-09-01,2,2
EL PUENTE(TJA),chagas viviendas,total viviendas positivas,2015-09-01,5,5
EL TORNO,chagas viviendas,total viviendas positivas,2015-09-01,3,3
ENTRE RIOS TRJ,chagas viviendas,total viviendas positivas,2015-09-01,2,2
LAGUNILLAS,chagas viviendas,total viviendas positivas,2015-09-01,3,3
MOJOCOYA,chagas viviendas,total viviendas positivas,2015-09-01,6,6
MONTEAGUDO,chagas viviendas,total viviendas positivas,2015-09-01,13,13
MONTERO,chagas viviendas,total viviendas positivas,2015-09-01,0,0
OMEREQUE,chagas viviendas,total viviendas positivas,2015-09-01,12,12
PAMPA GRANDE,chagas viviendas,total viviendas positivas,2015-09-01,1,1
PASORAPA,chagas viviendas,total viviendas positivas,2015-09-01,3,3
POJO (CBBA),chagas viviendas,total viviendas positivas,2015-09-01,16,16
PUCARA,chagas viviendas,total viviendas positivas,2015-09-01,3,3
PUNATA,chagas viviendas,total viviendas positivas,2015-09-01,4,4
SACABA,chagas viviendas,total viviendas positivas,2015-09-01,10,10
SAIPINA,chagas viviendas,total viviendas positivas,2015-09-01,1,1
SAN BENITO,chagas viviendas,total viviendas positivas,2015-09-01,5,5
SAN LORENZO(TJA),chagas viviendas,total viviendas positivas,2015-09-01,4,4
SAN LUCAS,chagas viviendas,total viviendas positivas,2015-09-01,6,6
SAN PEDRO DE BUENA VISTA,chagas viviendas,total viviendas positivas,2015-09-01,23,23
SICAYA,chagas viviendas,total viviendas positivas,2015-09-01,7,7
SIPE SIPE,chagas viviendas,total viviendas positivas,2015-09-01,3,3
SUCRE,chagas viviendas,total viviendas positivas,2015-09-01,47,47
TAPACARI,chagas viviendas,total viviendas positivas,2015-09-01,4,4
TARABUCO,chagas viviendas,total viviendas positivas,2015-09-01,3,3
TARATA,chagas viviendas,total viviendas positivas,2015-09-01,1,1
TARIJA,chagas viviendas,total viviendas positivas,2015-09-01,9,9
TIQUIPAYA,chagas viviendas,total viviendas positivas,2015-09-01,1,1
TOCO,chagas viviendas,total viviendas positivas,2015-09-01,2,2
TOLATA,chagas viviendas,total viviendas positivas,2015-09-01,2,2
TOMAVE,chagas viviendas,total viviendas positivas,2015-09-01,2,2
