municipality,group,variable,month,Total Viviendas Evaluadas,TOTAL
ARAMPAMPA,chagas viviendas,total viviendas evaluadas,2015-02-01,122,122
ARANI,chagas viviendas,total viviendas evaluadas,2015-02-01,220,220
ARBIETO,chagas viviendas,total viviendas evaluadas,2015-02-01,228,228
CAMARGO,chagas viviendas,total viviendas evaluadas,2015-02-01,466,466
CAPINOTA,chagas viviendas,total viviendas evaluadas,2015-02-01,40,40
CARAPARI,chagas viviendas,total viviendas evaluadas,2015-02-01,235,235
CLIZA,chagas viviendas,total viviendas evaluadas,2015-02-01,120,120
COCHABAMBA,chagas viviendas,total viviendas evaluadas,2015-02-01,2218,2218
COLCAPIRHUA,chagas viviendas,total viviendas evaluadas,2015-02-01,100,100
COTAGAITA,chagas viviendas,total viviendas evaluadas,2015-02-01,632,632
EL PUENTE(TJA),chagas viviendas,total viviendas evaluadas,2015-02-01,176,176
ENTRE RIOS TRJ,chagas viviendas,total viviendas evaluadas,2015-02-01,43,43
ICLA,chagas viviendas,total viviendas evaluadas,2015-02-01,151,151
LAS CARRERAS,chagas viviendas,total viviendas evaluadas,2015-02-01,110,110
OCURI,chagas viviendas,total viviendas evaluadas,2015-02-01,89,89
PAMPA GRANDE,chagas viviendas,total viviendas evaluadas,2015-02-01,14,14
PASORAPA,chagas viviendas,total viviendas evaluadas,2015-02-01,57,57
POCOATA,chagas viviendas,total viviendas evaluadas,2015-02-01,43,43
POCONA,chagas viviendas,total viviendas evaluadas,2015-02-01,115,115
POJO (CBBA),chagas viviendas,total viviendas evaluadas,2015-02-01,139,139
PUCARA,chagas viviendas,total viviendas evaluadas,2015-02-01,128,128
PUNATA,chagas viviendas,total viviendas evaluadas,2015-02-01,372,372
SACABA,chagas viviendas,total viviendas evaluadas,2015-02-01,180,180
SACABAMBA,chagas viviendas,total viviendas evaluadas,2015-02-01,30,30
SAIPINA,chagas viviendas,total viviendas evaluadas,2015-02-01,68,68
SAN JULIAN,chagas viviendas,total viviendas evaluadas,2015-02-01,4,4
SAN LUCAS,chagas viviendas,total viviendas evaluadas,2015-02-01,109,109
SAN PEDRO DE BUENA VISTA,chagas viviendas,total viviendas evaluadas,2015-02-01,505,505
SANTIVAÑES,chagas viviendas,total viviendas evaluadas,2015-02-01,17,17
SICAYA,chagas viviendas,total viviendas evaluadas,2015-02-01,346,346
SUCRE,chagas viviendas,total viviendas evaluadas,2015-02-01,584,584
TACOPAYA,chagas viviendas,total viviendas evaluadas,2015-02-01,171,171
TAPACARI,chagas viviendas,total viviendas evaluadas,2015-02-01,72,72
TARATA,chagas viviendas,total viviendas evaluadas,2015-02-01,212,212
TARIJA,chagas viviendas,total viviendas evaluadas,2015-02-01,2,2
TIQUIPAYA,chagas viviendas,total viviendas evaluadas,2015-02-01,270,270
TOCO,chagas viviendas,total viviendas evaluadas,2015-02-01,89,89
TORO TORO,chagas viviendas,total viviendas evaluadas,2015-02-01,155,155
TOTORA(CBBA),chagas viviendas,total viviendas evaluadas,2015-02-01,25,25
URIONDO (A. CONCEPCION),chagas viviendas,total viviendas evaluadas,2015-02-01,532,532
VALLEGRANDE,chagas viviendas,total viviendas evaluadas,2015-02-01,221,221
VILLA MONTES,chagas viviendas,total viviendas evaluadas,2015-02-01,335,335
VILLA RIVERO,chagas viviendas,total viviendas evaluadas,2015-02-01,169,169
YACUIBA,chagas viviendas,total viviendas evaluadas,2015-02-01,30,30
YUNCHARA,chagas viviendas,total viviendas evaluadas,2015-02-01,117,117
ACACIO,chagas viviendas,total viviendas evaluadas,2015-03-01,285,285
AIQUILE,chagas viviendas,total viviendas evaluadas,2015-03-01,1285,1285
ANZALDO,chagas viviendas,total viviendas evaluadas,2015-03-01,135,135
ARAMPAMPA,chagas viviendas,total viviendas evaluadas,2015-03-01,226,226
ARANI,chagas viviendas,total viviendas evaluadas,2015-03-01,252,252
ARBIETO,chagas viviendas,total viviendas evaluadas,2015-03-01,176,176
ARQUE,chagas viviendas,total viviendas evaluadas,2015-03-01,150,150
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,total viviendas evaluadas,2015-03-01,317,317
CAMARGO,chagas viviendas,total viviendas evaluadas,2015-03-01,426,426
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,total viviendas evaluadas,2015-03-01,145,145
CAPINOTA,chagas viviendas,total viviendas evaluadas,2015-03-01,178,178
CARAPARI,chagas viviendas,total viviendas evaluadas,2015-03-01,383,383
CLIZA,chagas viviendas,total viviendas evaluadas,2015-03-01,380,380
COCHABAMBA,chagas viviendas,total viviendas evaluadas,2015-03-01,6,6
COLCAPIRHUA,chagas viviendas,total viviendas evaluadas,2015-03-01,195,195
COLQUECHACA,chagas viviendas,total viviendas evaluadas,2015-03-01,106,106
COTAGAITA,chagas viviendas,total viviendas evaluadas,2015-03-01,698,698
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,total viviendas evaluadas,2015-03-01,164,164
EL PUENTE(TJA),chagas viviendas,total viviendas evaluadas,2015-03-01,232,232
EL TORNO,chagas viviendas,total viviendas evaluadas,2015-03-01,43,43
ENTRE RIOS TRJ,chagas viviendas,total viviendas evaluadas,2015-03-01,306,306
GENERAL SAAVEDRA,chagas viviendas,total viviendas evaluadas,2015-03-01,15,15
HUACARETA,chagas viviendas,total viviendas evaluadas,2015-03-01,63,63
ICLA,chagas viviendas,total viviendas evaluadas,2015-03-01,96,96
LAS CARRERAS,chagas viviendas,total viviendas evaluadas,2015-03-01,547,547
MONTEAGUDO,chagas viviendas,total viviendas evaluadas,2015-03-01,1380,1380
OCURI,chagas viviendas,total viviendas evaluadas,2015-03-01,287,287
OMEREQUE,chagas viviendas,total viviendas evaluadas,2015-03-01,49,49
PADCAYA,chagas viviendas,total viviendas evaluadas,2015-03-01,154,154
PADILLA,chagas viviendas,total viviendas evaluadas,2015-03-01,279,279
PAMPA GRANDE,chagas viviendas,total viviendas evaluadas,2015-03-01,9,9
PASORAPA,chagas viviendas,total viviendas evaluadas,2015-03-01,59,59
POCOATA,chagas viviendas,total viviendas evaluadas,2015-03-01,66,66
POCONA,chagas viviendas,total viviendas evaluadas,2015-03-01,114,114
POJO (CBBA),chagas viviendas,total viviendas evaluadas,2015-03-01,191,191
POSTRER VALLE,chagas viviendas,total viviendas evaluadas,2015-03-01,11,11
PUCARA,chagas viviendas,total viviendas evaluadas,2015-03-01,10,10
RAVELO,chagas viviendas,total viviendas evaluadas,2015-03-01,355,355
SACABA,chagas viviendas,total viviendas evaluadas,2015-03-01,167,167
SACABAMBA,chagas viviendas,total viviendas evaluadas,2015-03-01,15,15
SAIPINA,chagas viviendas,total viviendas evaluadas,2015-03-01,155,155
SAN JULIAN,chagas viviendas,total viviendas evaluadas,2015-03-01,10,10
SAN LORENZO(TJA),chagas viviendas,total viviendas evaluadas,2015-03-01,390,390
SAN PEDRO DE BUENA VISTA,chagas viviendas,total viviendas evaluadas,2015-03-01,517,517
SANTIVAÑES,chagas viviendas,total viviendas evaluadas,2015-03-01,137,137
SICAYA,chagas viviendas,total viviendas evaluadas,2015-03-01,309,309
SIPE SIPE,chagas viviendas,total viviendas evaluadas,2015-03-01,28,28
SUCRE,chagas viviendas,total viviendas evaluadas,2015-03-01,75,75
TACOBAMBA,chagas viviendas,total viviendas evaluadas,2015-03-01,319,319
TACOPAYA,chagas viviendas,total viviendas evaluadas,2015-03-01,180,180
TAPACARI,chagas viviendas,total viviendas evaluadas,2015-03-01,115,115
TARATA,chagas viviendas,total viviendas evaluadas,2015-03-01,226,226
TARIJA,chagas viviendas,total viviendas evaluadas,2015-03-01,8,8
TIQUIPAYA,chagas viviendas,total viviendas evaluadas,2015-03-01,330,330
TOCO,chagas viviendas,total viviendas evaluadas,2015-03-01,106,106
TOMAVE,chagas viviendas,total viviendas evaluadas,2015-03-01,242,242
TORO TORO,chagas viviendas,total viviendas evaluadas,2015-03-01,195,195
TOTORA(CBBA),chagas viviendas,total viviendas evaluadas,2015-03-01,75,75
TUPIZA,chagas viviendas,total viviendas evaluadas,2015-03-01,320,320
URIONDO (A. CONCEPCION),chagas viviendas,total viviendas evaluadas,2015-03-01,630,630
VALLEGRANDE,chagas viviendas,total viviendas evaluadas,2015-03-01,179,179
VILLA CHARCAS,chagas viviendas,total viviendas evaluadas,2015-03-01,404,404
VILLA MONTES,chagas viviendas,total viviendas evaluadas,2015-03-01,339,339
VILLA RIVERO,chagas viviendas,total viviendas evaluadas,2015-03-01,139,139
VINTO,chagas viviendas,total viviendas evaluadas,2015-03-01,229,229
VITICHI,chagas viviendas,total viviendas evaluadas,2015-03-01,527,527
AIQUILE,chagas viviendas,total viviendas evaluadas,2015-04-01,773,773
ANZALDO,chagas viviendas,total viviendas evaluadas,2015-04-01,88,88
ARANI,chagas viviendas,total viviendas evaluadas,2015-04-01,371,371
ARBIETO,chagas viviendas,total viviendas evaluadas,2015-04-01,352,352
ARQUE,chagas viviendas,total viviendas evaluadas,2015-04-01,63,63
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,total viviendas evaluadas,2015-04-01,186,186
CAMARGO,chagas viviendas,total viviendas evaluadas,2015-04-01,902,902
CAPINOTA,chagas viviendas,total viviendas evaluadas,2015-04-01,69,69
CARAPARI,chagas viviendas,total viviendas evaluadas,2015-04-01,304,304
CKOCHAS,chagas viviendas,total viviendas evaluadas,2015-04-01,8,8
CLIZA,chagas viviendas,total viviendas evaluadas,2015-04-01,211,211
COCHABAMBA,chagas viviendas,total viviendas evaluadas,2015-04-01,664,664
COLCAPIRHUA,chagas viviendas,total viviendas evaluadas,2015-04-01,201,201
COLQUECHACA,chagas viviendas,total viviendas evaluadas,2015-04-01,103,103
COTAGAITA,chagas viviendas,total viviendas evaluadas,2015-04-01,376,376
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,total viviendas evaluadas,2015-04-01,58,58
EL PUENTE(TJA),chagas viviendas,total viviendas evaluadas,2015-04-01,565,565
EL TORNO,chagas viviendas,total viviendas evaluadas,2015-04-01,110,110
ENTRE RIOS TRJ,chagas viviendas,total viviendas evaluadas,2015-04-01,224,224
HUACARETA,chagas viviendas,total viviendas evaluadas,2015-04-01,243,243
ICLA,chagas viviendas,total viviendas evaluadas,2015-04-01,118,118
MOJOCOYA,chagas viviendas,total viviendas evaluadas,2015-04-01,185,185
OMEREQUE,chagas viviendas,total viviendas evaluadas,2015-04-01,64,64
PADCAYA,chagas viviendas,total viviendas evaluadas,2015-04-01,196,196
PAMPA GRANDE,chagas viviendas,total viviendas evaluadas,2015-04-01,110,110
PASORAPA,chagas viviendas,total viviendas evaluadas,2015-04-01,65,65
POCOATA,chagas viviendas,total viviendas evaluadas,2015-04-01,28,28
POCONA,chagas viviendas,total viviendas evaluadas,2015-04-01,121,121
POJO (CBBA),chagas viviendas,total viviendas evaluadas,2015-04-01,70,70
POSTRER VALLE,chagas viviendas,total viviendas evaluadas,2015-04-01,20,20
PUNATA,chagas viviendas,total viviendas evaluadas,2015-04-01,418,418
RAVELO,chagas viviendas,total viviendas evaluadas,2015-04-01,465,465
SACABA,chagas viviendas,total viviendas evaluadas,2015-04-01,380,380
SACABAMBA,chagas viviendas,total viviendas evaluadas,2015-04-01,73,73
SAIPINA,chagas viviendas,total viviendas evaluadas,2015-04-01,63,63
SAN LORENZO(TJA),chagas viviendas,total viviendas evaluadas,2015-04-01,289,289
SAN LUCAS,chagas viviendas,total viviendas evaluadas,2015-04-01,16,16
SANTIVAÑES,chagas viviendas,total viviendas evaluadas,2015-04-01,179,179
SICAYA,chagas viviendas,total viviendas evaluadas,2015-04-01,31,31
SOPACHUY,chagas viviendas,total viviendas evaluadas,2015-04-01,191,191
TACACHI,chagas viviendas,total viviendas evaluadas,2015-04-01,10,10
TACOPAYA,chagas viviendas,total viviendas evaluadas,2015-04-01,953,953
TAPACARI,chagas viviendas,total viviendas evaluadas,2015-04-01,127,127
TARABUCO,chagas viviendas,total viviendas evaluadas,2015-04-01,251,251
TARATA,chagas viviendas,total viviendas evaluadas,2015-04-01,203,203
TIQUIPAYA,chagas viviendas,total viviendas evaluadas,2015-04-01,300,300
TOCO,chagas viviendas,total viviendas evaluadas,2015-04-01,133,133
TOLATA,chagas viviendas,total viviendas evaluadas,2015-04-01,244,244
TORO TORO,chagas viviendas,total viviendas evaluadas,2015-04-01,141,141
TOTORA(CBBA),chagas viviendas,total viviendas evaluadas,2015-04-01,58,58
URIONDO (A. CONCEPCION),chagas viviendas,total viviendas evaluadas,2015-04-01,449,449
VALLEGRANDE,chagas viviendas,total viviendas evaluadas,2015-04-01,182,182
VILLA CHARCAS,chagas viviendas,total viviendas evaluadas,2015-04-01,264,264
VILLA MONTES,chagas viviendas,total viviendas evaluadas,2015-04-01,439,439
VILLA RIVERO,chagas viviendas,total viviendas evaluadas,2015-04-01,330,330
VILLA SERRANO,chagas viviendas,total viviendas evaluadas,2015-04-01,145,145
VILLAZON,chagas viviendas,total viviendas evaluadas,2015-04-01,79,79
YACUIBA,chagas viviendas,total viviendas evaluadas,2015-04-01,390,390
YOTALA,chagas viviendas,total viviendas evaluadas,2015-04-01,276,276
YUNCHARA,chagas viviendas,total viviendas evaluadas,2015-04-01,103,103
ZUDAÑEZ,chagas viviendas,total viviendas evaluadas,2015-04-01,145,145
ACACIO,chagas viviendas,total viviendas evaluadas,2015-05-01,356,356
AIQUILE,chagas viviendas,total viviendas evaluadas,2015-05-01,828,828
ANZALDO,chagas viviendas,total viviendas evaluadas,2015-05-01,140,140
ARANI,chagas viviendas,total viviendas evaluadas,2015-05-01,301,301
ARBIETO,chagas viviendas,total viviendas evaluadas,2015-05-01,294,294
ARQUE,chagas viviendas,total viviendas evaluadas,2015-05-01,59,59
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,total viviendas evaluadas,2015-05-01,222,222
BETANZOS,chagas viviendas,total viviendas evaluadas,2015-05-01,267,267
CAMARGO,chagas viviendas,total viviendas evaluadas,2015-05-01,538,538
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,total viviendas evaluadas,2015-05-01,119,119
CAPINOTA,chagas viviendas,total viviendas evaluadas,2015-05-01,673,673
CARAPARI,chagas viviendas,total viviendas evaluadas,2015-05-01,14,14
CKOCHAS,chagas viviendas,total viviendas evaluadas,2015-05-01,482,482
CLIZA,chagas viviendas,total viviendas evaluadas,2015-05-01,207,207
COCHABAMBA,chagas viviendas,total viviendas evaluadas,2015-05-01,713,713
COLCAPIRHUA,chagas viviendas,total viviendas evaluadas,2015-05-01,124,124
COLQUECHACA,chagas viviendas,total viviendas evaluadas,2015-05-01,123,123
COMARAPA,chagas viviendas,total viviendas evaluadas,2015-05-01,20,20
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,total viviendas evaluadas,2015-05-01,150,150
EL PUENTE(TJA),chagas viviendas,total viviendas evaluadas,2015-05-01,255,255
EL VILLAR,chagas viviendas,total viviendas evaluadas,2015-05-01,131,131
ENTRE RIOS TRJ,chagas viviendas,total viviendas evaluadas,2015-05-01,135,135
HUACARETA,chagas viviendas,total viviendas evaluadas,2015-05-01,117,117
HUACAYA (VILLA DE HUACAYA),chagas viviendas,total viviendas evaluadas,2015-05-01,171,171
ICLA,chagas viviendas,total viviendas evaluadas,2015-05-01,418,418
LAS CARRERAS,chagas viviendas,total viviendas evaluadas,2015-05-01,318,318
MACHARETI,chagas viviendas,total viviendas evaluadas,2015-05-01,37,37
MECAPACA,chagas viviendas,total viviendas evaluadas,2015-05-01,692,692
MONTEAGUDO,chagas viviendas,total viviendas evaluadas,2015-05-01,87,87
MONTERO,chagas viviendas,total viviendas evaluadas,2015-05-01,1,1
OMEREQUE,chagas viviendas,total viviendas evaluadas,2015-05-01,23,23
PADCAYA,chagas viviendas,total viviendas evaluadas,2015-05-01,348,348
PADILLA,chagas viviendas,total viviendas evaluadas,2015-05-01,33,33
PAMPA GRANDE,chagas viviendas,total viviendas evaluadas,2015-05-01,171,171
PASORAPA,chagas viviendas,total viviendas evaluadas,2015-05-01,213,213
POCOATA,chagas viviendas,total viviendas evaluadas,2015-05-01,103,103
POCONA,chagas viviendas,total viviendas evaluadas,2015-05-01,170,170
POJO (CBBA),chagas viviendas,total viviendas evaluadas,2015-05-01,683,683
POROMA,chagas viviendas,total viviendas evaluadas,2015-05-01,236,236
PUNATA,chagas viviendas,total viviendas evaluadas,2015-05-01,306,306
RAVELO,chagas viviendas,total viviendas evaluadas,2015-05-01,414,414
SACABA,chagas viviendas,total viviendas evaluadas,2015-05-01,435,435
SACABAMBA,chagas viviendas,total viviendas evaluadas,2015-05-01,310,310
SAIPINA,chagas viviendas,total viviendas evaluadas,2015-05-01,136,136
SAN LORENZO(TJA),chagas viviendas,total viviendas evaluadas,2015-05-01,384,384
SAN LUCAS,chagas viviendas,total viviendas evaluadas,2015-05-01,1656,1656
SAN PEDRO DE BUENA VISTA,chagas viviendas,total viviendas evaluadas,2015-05-01,1286,1286
SANTIVAÑES,chagas viviendas,total viviendas evaluadas,2015-05-01,153,153
SICAYA,chagas viviendas,total viviendas evaluadas,2015-05-01,133,133
SIPE SIPE,chagas viviendas,total viviendas evaluadas,2015-05-01,244,244
SOPACHUY,chagas viviendas,total viviendas evaluadas,2015-05-01,105,105
TACOPAYA,chagas viviendas,total viviendas evaluadas,2015-05-01,450,450
TAPACARI,chagas viviendas,total viviendas evaluadas,2015-05-01,143,143
TARABUCO,chagas viviendas,total viviendas evaluadas,2015-05-01,311,311
TARATA,chagas viviendas,total viviendas evaluadas,2015-05-01,113,113
TARIJA,chagas viviendas,total viviendas evaluadas,2015-05-01,9,9
TIQUIPAYA,chagas viviendas,total viviendas evaluadas,2015-05-01,300,300
TOCO,chagas viviendas,total viviendas evaluadas,2015-05-01,90,90
TOLATA,chagas viviendas,total viviendas evaluadas,2015-05-01,127,127
TOMAVE,chagas viviendas,total viviendas evaluadas,2015-05-01,188,188
TOMINA,chagas viviendas,total viviendas evaluadas,2015-05-01,22,22
TOTORA(CBBA),chagas viviendas,total viviendas evaluadas,2015-05-01,14,14
TUPIZA,chagas viviendas,total viviendas evaluadas,2015-05-01,256,256
URIONDO (A. CONCEPCION),chagas viviendas,total viviendas evaluadas,2015-05-01,354,354
VALLEGRANDE,chagas viviendas,total viviendas evaluadas,2015-05-01,196,196
VILLA CHARCAS,chagas viviendas,total viviendas evaluadas,2015-05-01,244,244
VILLA MONTES,chagas viviendas,total viviendas evaluadas,2015-05-01,424,424
VILLA RIVERO,chagas viviendas,total viviendas evaluadas,2015-05-01,208,208
VILLAZON,chagas viviendas,total viviendas evaluadas,2015-05-01,220,220
VINTO,chagas viviendas,total viviendas evaluadas,2015-05-01,262,262
YACUIBA,chagas viviendas,total viviendas evaluadas,2015-05-01,531,531
YAMPARAEZ,chagas viviendas,total viviendas evaluadas,2015-05-01,330,330
YOTALA,chagas viviendas,total viviendas evaluadas,2015-05-01,479,479
YUNCHARA,chagas viviendas,total viviendas evaluadas,2015-05-01,105,105
ZUDAÑEZ,chagas viviendas,total viviendas evaluadas,2015-05-01,245,245
ACACIO,chagas viviendas,total viviendas evaluadas,2015-06-01,352,352
AIQUILE,chagas viviendas,total viviendas evaluadas,2015-06-01,611,611
ARAMPAMPA,chagas viviendas,total viviendas evaluadas,2015-06-01,153,153
ARBIETO,chagas viviendas,total viviendas evaluadas,2015-06-01,210,210
ARQUE,chagas viviendas,total viviendas evaluadas,2015-06-01,37,37
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,total viviendas evaluadas,2015-06-01,118,118
BETANZOS,chagas viviendas,total viviendas evaluadas,2015-06-01,420,420
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,total viviendas evaluadas,2015-06-01,174,174
CAPINOTA,chagas viviendas,total viviendas evaluadas,2015-06-01,506,506
CLIZA,chagas viviendas,total viviendas evaluadas,2015-06-01,254,254
COCHABAMBA,chagas viviendas,total viviendas evaluadas,2015-06-01,430,430
COLCAPIRHUA,chagas viviendas,total viviendas evaluadas,2015-06-01,216,216
COLQUECHACA,chagas viviendas,total viviendas evaluadas,2015-06-01,148,148
COMARAPA,chagas viviendas,total viviendas evaluadas,2015-06-01,2,2
COTAGAITA,chagas viviendas,total viviendas evaluadas,2015-06-01,694,694
EL PUENTE(TJA),chagas viviendas,total viviendas evaluadas,2015-06-01,161,161
ENTRE RIOS TRJ,chagas viviendas,total viviendas evaluadas,2015-06-01,157,157
HUACAYA (VILLA DE HUACAYA),chagas viviendas,total viviendas evaluadas,2015-06-01,123,123
ICLA,chagas viviendas,total viviendas evaluadas,2015-06-01,222,222
LA ASUNTA,chagas viviendas,total viviendas evaluadas,2015-06-01,994,994
LAS CARRERAS,chagas viviendas,total viviendas evaluadas,2015-06-01,292,292
MONTERO,chagas viviendas,total viviendas evaluadas,2015-06-01,1,1
OMEREQUE,chagas viviendas,total viviendas evaluadas,2015-06-01,4,4
PADCAYA,chagas viviendas,total viviendas evaluadas,2015-06-01,280,280
PAMPA GRANDE,chagas viviendas,total viviendas evaluadas,2015-06-01,364,364
PASORAPA,chagas viviendas,total viviendas evaluadas,2015-06-01,134,134
POCONA,chagas viviendas,total viviendas evaluadas,2015-06-01,131,131
POJO (CBBA),chagas viviendas,total viviendas evaluadas,2015-06-01,82,82
POSTRER VALLE,chagas viviendas,total viviendas evaluadas,2015-06-01,170,170
PUNA,chagas viviendas,total viviendas evaluadas,2015-06-01,515,515
RAVELO,chagas viviendas,total viviendas evaluadas,2015-06-01,511,511
SACABA,chagas viviendas,total viviendas evaluadas,2015-06-01,476,476
SACABAMBA,chagas viviendas,total viviendas evaluadas,2015-06-01,144,144
SAIPINA,chagas viviendas,total viviendas evaluadas,2015-06-01,188,188
SAN LORENZO(TJA),chagas viviendas,total viviendas evaluadas,2015-06-01,182,182
SAN PEDRO DE BUENA VISTA,chagas viviendas,total viviendas evaluadas,2015-06-01,407,407
SANTIVAÑES,chagas viviendas,total viviendas evaluadas,2015-06-01,406,406
SIPE SIPE,chagas viviendas,total viviendas evaluadas,2015-06-01,337,337
SOPACHUY,chagas viviendas,total viviendas evaluadas,2015-06-01,682,682
SUCRE,chagas viviendas,total viviendas evaluadas,2015-06-01,166,166
TACOBAMBA,chagas viviendas,total viviendas evaluadas,2015-06-01,490,490
TACOPAYA,chagas viviendas,total viviendas evaluadas,2015-06-01,235,235
TAPACARI,chagas viviendas,total viviendas evaluadas,2015-06-01,131,131
TARABUCO,chagas viviendas,total viviendas evaluadas,2015-06-01,590,590
TARIJA,chagas viviendas,total viviendas evaluadas,2015-06-01,4,4
TIQUIPAYA,chagas viviendas,total viviendas evaluadas,2015-06-01,330,330
TOCO,chagas viviendas,total viviendas evaluadas,2015-06-01,178,178
TOLATA,chagas viviendas,total viviendas evaluadas,2015-06-01,155,155
TOMAVE,chagas viviendas,total viviendas evaluadas,2015-06-01,268,268
TOMINA,chagas viviendas,total viviendas evaluadas,2015-06-01,67,67
TORO TORO,chagas viviendas,total viviendas evaluadas,2015-06-01,335,335
TOTORA(CBBA),chagas viviendas,total viviendas evaluadas,2015-06-01,108,108
TUPIZA,chagas viviendas,total viviendas evaluadas,2015-06-01,164,164
URIONDO (A. CONCEPCION),chagas viviendas,total viviendas evaluadas,2015-06-01,169,169
VALLEGRANDE,chagas viviendas,total viviendas evaluadas,2015-06-01,205,205
VILLA CHARCAS,chagas viviendas,total viviendas evaluadas,2015-06-01,136,136
VILLA MONTES,chagas viviendas,total viviendas evaluadas,2015-06-01,228,228
VILLA RIVERO,chagas viviendas,total viviendas evaluadas,2015-06-01,200,200
VILLA SERRANO,chagas viviendas,total viviendas evaluadas,2015-06-01,637,637
VILLAZON,chagas viviendas,total viviendas evaluadas,2015-06-01,181,181
VINTO,chagas viviendas,total viviendas evaluadas,2015-06-01,271,271
YACUIBA,chagas viviendas,total viviendas evaluadas,2015-06-01,327,327
YOTALA,chagas viviendas,total viviendas evaluadas,2015-06-01,211,211
YUNCHARA,chagas viviendas,total viviendas evaluadas,2015-06-01,112,112
ZUDAÑEZ,chagas viviendas,total viviendas evaluadas,2015-06-01,296,296
ACACIO,chagas viviendas,total viviendas evaluadas,2015-07-01,351,351
