,group,variable,month,FALLECIDOS ANTES DE LAS 48 HORAS CANTIDAD,FALLECIDOS ANTES DE LAS 48 HORAS CANTIDAD,TOTALES,TOTALES,TOTALES
VALLEGRANDE,internaciones,fallecidos antes de las 48 horas,2012-01-01,1,1,1,1,2
VIACHA,internaciones,fallecidos antes de las 48 horas,2012-01-01,1,0,1,0,1
VILLA TUNARI,internaciones,fallecidos antes de las 48 horas,2012-01-01,1,0,1,0,1
VILLAZON,internaciones,fallecidos antes de las 48 horas,2012-01-01,2,0,2,0,2
VINTO,internaciones,fallecidos antes de las 48 horas,2012-01-01,2,0,2,0,2
WARNES,internaciones,fallecidos antes de las 48 horas,2012-01-01,1,1,1,1,2
YACUIBA,internaciones,fallecidos antes de las 48 horas,2012-01-01,5,1,5,1,6
ZUDAÑEZ,internaciones,fallecidos antes de las 48 horas,2012-01-01,0,1,0,1,1
APOLO,internaciones,fallecidos antes de las 48 horas,2012-02-01,0,1,0,1,1
BOYUIBE,internaciones,fallecidos antes de las 48 horas,2012-02-01,0,1,0,1,1
CABEZAS,internaciones,fallecidos antes de las 48 horas,2012-02-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos antes de las 48 horas,2012-02-01,2,3,2,3,5
CARANAVI,internaciones,fallecidos antes de las 48 horas,2012-02-01,3,0,3,0,3
COBIJA,internaciones,fallecidos antes de las 48 horas,2012-02-01,0,2,0,2,2
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2012-02-01,33,31,33,31,64
COLCAPIRHUA,internaciones,fallecidos antes de las 48 horas,2012-02-01,1,2,1,2,3
CONCEPCION,internaciones,fallecidos antes de las 48 horas,2012-02-01,1,0,1,0,1
COROICO,internaciones,fallecidos antes de las 48 horas,2012-02-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos antes de las 48 horas,2012-02-01,8,15,8,15,23
EL TORNO,internaciones,fallecidos antes de las 48 horas,2012-02-01,2,2,2,2,4
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2012-02-01,2,3,2,3,5
IXIAMAS,internaciones,fallecidos antes de las 48 horas,2012-02-01,2,0,2,0,2
LA PAZ,internaciones,fallecidos antes de las 48 horas,2012-02-01,34,37,34,37,71
MIZQUE,internaciones,fallecidos antes de las 48 horas,2012-02-01,1,0,1,0,1
MONTERO,internaciones,fallecidos antes de las 48 horas,2012-02-01,1,0,1,0,1
OCURI,internaciones,fallecidos antes de las 48 horas,2012-02-01,1,0,1,0,1
ORURO,internaciones,fallecidos antes de las 48 horas,2012-02-01,10,7,10,7,17
PALOS BLANCOS,internaciones,fallecidos antes de las 48 horas,2012-02-01,0,1,0,1,1
POTOSI,internaciones,fallecidos antes de las 48 horas,2012-02-01,7,8,7,8,15
PUNATA,internaciones,fallecidos antes de las 48 horas,2012-02-01,1,1,1,1,2
QUIME,internaciones,fallecidos antes de las 48 horas,2012-02-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2012-02-01,6,5,6,5,11
ROBORE,internaciones,fallecidos antes de las 48 horas,2012-02-01,1,0,1,0,1
SACABA,internaciones,fallecidos antes de las 48 horas,2012-02-01,1,0,1,0,1
SAN BORJA,internaciones,fallecidos antes de las 48 horas,2012-02-01,2,2,2,2,4
SAN IGNACIO,internaciones,fallecidos antes de las 48 horas,2012-02-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2012-02-01,4,0,4,0,4
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 horas,2012-02-01,0,1,0,1,1
SAN JULIAN,internaciones,fallecidos antes de las 48 horas,2012-02-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2012-02-01,24,25,24,25,49
SORATA,internaciones,fallecidos antes de las 48 horas,2012-02-01,1,0,1,0,1
SUCRE,internaciones,fallecidos antes de las 48 horas,2012-02-01,8,6,8,6,14
TACACOMA,internaciones,fallecidos antes de las 48 horas,2012-02-01,0,1,0,1,1
TARIJA,internaciones,fallecidos antes de las 48 horas,2012-02-01,11,3,11,3,14
TIPUANI,internaciones,fallecidos antes de las 48 horas,2012-02-01,1,0,1,0,1
TOLEDO,internaciones,fallecidos antes de las 48 horas,2012-02-01,0,1,0,1,1
TRINIDAD,internaciones,fallecidos antes de las 48 horas,2012-02-01,6,4,6,4,10
TUPIZA,internaciones,fallecidos antes de las 48 horas,2012-02-01,1,0,1,0,1
UYUNI,internaciones,fallecidos antes de las 48 horas,2012-02-01,1,0,1,0,1
VALLEGRANDE,internaciones,fallecidos antes de las 48 horas,2012-02-01,3,0,3,0,3
VILLA MONTES,internaciones,fallecidos antes de las 48 horas,2012-02-01,1,1,1,1,2
VILLA TUNARI,internaciones,fallecidos antes de las 48 horas,2012-02-01,1,0,1,0,1
VILLAZON,internaciones,fallecidos antes de las 48 horas,2012-02-01,0,2,0,2,2
WARNES,internaciones,fallecidos antes de las 48 horas,2012-02-01,1,1,1,1,2
YACUIBA,internaciones,fallecidos antes de las 48 horas,2012-02-01,0,2,0,2,2
YAPACANI,internaciones,fallecidos antes de las 48 horas,2012-02-01,2,1,2,1,3
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 horas,2012-03-01,0,1,0,1,1
BAURES,internaciones,fallecidos antes de las 48 horas,2012-03-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos antes de las 48 horas,2012-03-01,1,2,1,2,3
CAMIRI,internaciones,fallecidos antes de las 48 horas,2012-03-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos antes de las 48 horas,2012-03-01,0,2,0,2,2
COBIJA,internaciones,fallecidos antes de las 48 horas,2012-03-01,2,2,2,2,4
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2012-03-01,26,24,26,24,50
EL ALTO,internaciones,fallecidos antes de las 48 horas,2012-03-01,5,11,5,11,16
EL PUENTE(TJA),internaciones,fallecidos antes de las 48 horas,2012-03-01,0,1,0,1,1
EL TORNO,internaciones,fallecidos antes de las 48 horas,2012-03-01,1,0,1,0,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2012-03-01,0,1,0,1,1
HUANUNI,internaciones,fallecidos antes de las 48 horas,2012-03-01,1,0,1,0,1
LA PAZ,internaciones,fallecidos antes de las 48 horas,2012-03-01,39,39,39,39,78
MONTEAGUDO,internaciones,fallecidos antes de las 48 horas,2012-03-01,1,1,1,1,2
MONTERO,internaciones,fallecidos antes de las 48 horas,2012-03-01,4,2,4,2,6
ORURO,internaciones,fallecidos antes de las 48 horas,2012-03-01,17,9,17,9,26
POTOSI,internaciones,fallecidos antes de las 48 horas,2012-03-01,11,6,11,6,17
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 horas,2012-03-01,0,1,0,1,1
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 horas,2012-03-01,0,1,0,1,1
PUNATA,internaciones,fallecidos antes de las 48 horas,2012-03-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2012-03-01,6,5,6,5,11
ROBORE,internaciones,fallecidos antes de las 48 horas,2012-03-01,1,0,1,0,1
RURRENABAQUE,internaciones,fallecidos antes de las 48 horas,2012-03-01,1,0,1,0,1
SACABA,internaciones,fallecidos antes de las 48 horas,2012-03-01,0,1,0,1,1
SACACA,internaciones,fallecidos antes de las 48 horas,2012-03-01,2,0,2,0,2
SAN BORJA,internaciones,fallecidos antes de las 48 horas,2012-03-01,3,0,3,0,3
SAN BUENA VENTURA,internaciones,fallecidos antes de las 48 horas,2012-03-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2012-03-01,2,1,2,1,3
SAN JAVIER(STC),internaciones,fallecidos antes de las 48 horas,2012-03-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 horas,2012-03-01,1,1,1,1,2
SANTA ANA,internaciones,fallecidos antes de las 48 horas,2012-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2012-03-01,21,26,21,26,47
SUCRE,internaciones,fallecidos antes de las 48 horas,2012-03-01,17,17,17,17,34
TARABUCO,internaciones,fallecidos antes de las 48 horas,2012-03-01,0,1,0,1,1
TARIJA,internaciones,fallecidos antes de las 48 horas,2012-03-01,21,13,21,13,34
TRINIDAD,internaciones,fallecidos antes de las 48 horas,2012-03-01,9,5,9,5,14
TUPIZA,internaciones,fallecidos antes de las 48 horas,2012-03-01,1,0,1,0,1
UYUNI,internaciones,fallecidos antes de las 48 horas,2012-03-01,1,0,1,0,1
VILLA TUNARI,internaciones,fallecidos antes de las 48 horas,2012-03-01,1,0,1,0,1
VILLAZON,internaciones,fallecidos antes de las 48 horas,2012-03-01,0,2,0,2,2
VINTO,internaciones,fallecidos antes de las 48 horas,2012-03-01,1,0,1,0,1
WARNES,internaciones,fallecidos antes de las 48 horas,2012-03-01,1,2,1,2,3
YACUIBA,internaciones,fallecidos antes de las 48 horas,2012-03-01,3,2,3,2,5
YAPACANI,internaciones,fallecidos antes de las 48 horas,2012-03-01,4,0,4,0,4
AIQUILE,internaciones,fallecidos antes de las 48 horas,2012-04-01,1,0,1,0,1
APOLO,internaciones,fallecidos antes de las 48 horas,2012-04-01,0,1,0,1,1
ATOCHA,internaciones,fallecidos antes de las 48 horas,2012-04-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos antes de las 48 horas,2012-04-01,1,2,1,2,3
CAMARGO,internaciones,fallecidos antes de las 48 horas,2012-04-01,0,1,0,1,1
CAMIRI,internaciones,fallecidos antes de las 48 horas,2012-04-01,1,0,1,0,1
CARANAVI,internaciones,fallecidos antes de las 48 horas,2012-04-01,0,1,0,1,1
CHARAGUA,internaciones,fallecidos antes de las 48 horas,2012-04-01,1,1,1,1,2
COBIJA,internaciones,fallecidos antes de las 48 horas,2012-04-01,1,3,1,3,4
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2012-04-01,26,22,26,22,48
EL ALTO,internaciones,fallecidos antes de las 48 horas,2012-04-01,8,7,8,7,15
EL TORNO,internaciones,fallecidos antes de las 48 horas,2012-04-01,2,1,2,1,3
FERNANDEZ ALONSO,internaciones,fallecidos antes de las 48 horas,2012-04-01,0,1,0,1,1
LA PAZ,internaciones,fallecidos antes de las 48 horas,2012-04-01,23,28,23,28,51
MAGDALENA,internaciones,fallecidos antes de las 48 horas,2012-04-01,1,0,1,0,1
MONTEAGUDO,internaciones,fallecidos antes de las 48 horas,2012-04-01,2,0,2,0,2
MONTERO,internaciones,fallecidos antes de las 48 horas,2012-04-01,2,1,2,1,3
ORURO,internaciones,fallecidos antes de las 48 horas,2012-04-01,5,16,5,16,21
PADILLA,internaciones,fallecidos antes de las 48 horas,2012-04-01,0,1,0,1,1
PORTACHUELO,internaciones,fallecidos antes de las 48 horas,2012-04-01,1,0,1,0,1
POTOSI,internaciones,fallecidos antes de las 48 horas,2012-04-01,4,10,4,10,14
PUERTO GONZALO MORENO,internaciones,fallecidos antes de las 48 horas,2012-04-01,0,1,0,1,1
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 horas,2012-04-01,3,1,3,1,4
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 horas,2012-04-01,3,1,3,1,4
PUNATA,internaciones,fallecidos antes de las 48 horas,2012-04-01,4,1,4,1,5
REYES,internaciones,fallecidos antes de las 48 horas,2012-04-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2012-04-01,5,5,5,5,10
SACABA,internaciones,fallecidos antes de las 48 horas,2012-04-01,1,0,1,0,1
SAN BORJA,internaciones,fallecidos antes de las 48 horas,2012-04-01,2,1,2,1,3
SAN BUENA VENTURA,internaciones,fallecidos antes de las 48 horas,2012-04-01,1,0,1,0,1
SAN IGNACIO,internaciones,fallecidos antes de las 48 horas,2012-04-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2012-04-01,3,0,3,0,3
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 horas,2012-04-01,0,1,0,1,1
SAN MATIAS,internaciones,fallecidos antes de las 48 horas,2012-04-01,1,0,1,0,1
SAN RAFAEL,internaciones,fallecidos antes de las 48 horas,2012-04-01,1,0,1,0,1
SANTA ANA,internaciones,fallecidos antes de las 48 horas,2012-04-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2012-04-01,21,33,21,33,54
SANTA ROSA,internaciones,fallecidos antes de las 48 horas,2012-04-01,1,0,1,0,1
SUCRE,internaciones,fallecidos antes de las 48 horas,2012-04-01,11,13,11,13,24
TARABUCO,internaciones,fallecidos antes de las 48 horas,2012-04-01,1,1,1,1,2
TARIJA,internaciones,fallecidos antes de las 48 horas,2012-04-01,5,4,5,4,9
TRINIDAD,internaciones,fallecidos antes de las 48 horas,2012-04-01,10,8,10,8,18
TUPIZA,internaciones,fallecidos antes de las 48 horas,2012-04-01,3,1,3,1,4
VILLA TUNARI,internaciones,fallecidos antes de las 48 horas,2012-04-01,1,2,1,2,3
VILLAZON,internaciones,fallecidos antes de las 48 horas,2012-04-01,0,1,0,1,1
VINTO,internaciones,fallecidos antes de las 48 horas,2012-04-01,2,0,2,0,2
WARNES,internaciones,fallecidos antes de las 48 horas,2012-04-01,1,0,1,0,1
YACUIBA,internaciones,fallecidos antes de las 48 horas,2012-04-01,1,3,1,3,4
YAPACANI,internaciones,fallecidos antes de las 48 horas,2012-04-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 horas,2012-05-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos antes de las 48 horas,2012-05-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos antes de las 48 horas,2012-05-01,4,3,4,3,7
CARANAVI,internaciones,fallecidos antes de las 48 horas,2012-05-01,2,1,2,1,3
COBIJA,internaciones,fallecidos antes de las 48 horas,2012-05-01,5,0,5,0,5
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2012-05-01,33,16,33,16,49
COLCAPIRHUA,internaciones,fallecidos antes de las 48 horas,2012-05-01,1,0,1,0,1
COROICO,internaciones,fallecidos antes de las 48 horas,2012-05-01,1,0,1,0,1
CUATRO CAÑADAS,internaciones,fallecidos antes de las 48 horas,2012-05-01,1,0,1,0,1
EL ALTO,internaciones,fallecidos antes de las 48 horas,2012-05-01,15,10,15,10,25
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2012-05-01,3,3,3,3,6
LA PAZ,internaciones,fallecidos antes de las 48 horas,2012-05-01,37,42,37,42,79
LLALLAGUA,internaciones,fallecidos antes de las 48 horas,2012-05-01,1,2,1,2,3
LURIBAY,internaciones,fallecidos antes de las 48 horas,2012-05-01,0,1,0,1,1
MAGDALENA,internaciones,fallecidos antes de las 48 horas,2012-05-01,1,1,1,1,2
MOJOCOYA,internaciones,fallecidos antes de las 48 horas,2012-05-01,0,1,0,1,1
MONTEAGUDO,internaciones,fallecidos antes de las 48 horas,2012-05-01,1,0,1,0,1
OCURI,internaciones,fallecidos antes de las 48 horas,2012-05-01,0,1,0,1,1
ORURO,internaciones,fallecidos antes de las 48 horas,2012-05-01,5,5,5,5,10
POCOATA,internaciones,fallecidos antes de las 48 horas,2012-05-01,1,0,1,0,1
POTOSI,internaciones,fallecidos antes de las 48 horas,2012-05-01,8,8,8,8,16
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 horas,2012-05-01,2,0,2,0,2
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 horas,2012-05-01,0,1,0,1,1
PUNATA,internaciones,fallecidos antes de las 48 horas,2012-05-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2012-05-01,8,4,8,4,12
RURRENABAQUE,internaciones,fallecidos antes de las 48 horas,2012-05-01,1,1,1,1,2
SAN BORJA,internaciones,fallecidos antes de las 48 horas,2012-05-01,1,0,1,0,1
SAN IGNACIO,internaciones,fallecidos antes de las 48 horas,2012-05-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2012-05-01,1,1,1,1,2
SAN JAVIER(STC),internaciones,fallecidos antes de las 48 horas,2012-05-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 horas,2012-05-01,1,0,1,0,1
SAN RAMON BENI,internaciones,fallecidos antes de las 48 horas,2012-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2012-05-01,26,27,26,27,53
SANTA ROSA,internaciones,fallecidos antes de las 48 horas,2012-05-01,1,0,1,0,1
SUCRE,internaciones,fallecidos antes de las 48 horas,2012-05-01,11,12,11,12,23
TARABUCO,internaciones,fallecidos antes de las 48 horas,2012-05-01,1,0,1,0,1
TARIJA,internaciones,fallecidos antes de las 48 horas,2012-05-01,15,16,15,16,31
TRINIDAD,internaciones,fallecidos antes de las 48 horas,2012-05-01,8,3,8,3,11
TUPIZA,internaciones,fallecidos antes de las 48 horas,2012-05-01,0,3,0,3,3
UYUNI,internaciones,fallecidos antes de las 48 horas,2012-05-01,0,1,0,1,1
VALLEGRANDE,internaciones,fallecidos antes de las 48 horas,2012-05-01,1,1,1,1,2
VILLA MONTES,internaciones,fallecidos antes de las 48 horas,2012-05-01,0,1,0,1,1
VILLA TUNARI,internaciones,fallecidos antes de las 48 horas,2012-05-01,3,0,3,0,3
VILLAZON,internaciones,fallecidos antes de las 48 horas,2012-05-01,1,1,1,1,2
WARNES,internaciones,fallecidos antes de las 48 horas,2012-05-01,1,1,1,1,2
YACUIBA,internaciones,fallecidos antes de las 48 horas,2012-05-01,4,3,4,3,7
YAPACANI,internaciones,fallecidos antes de las 48 horas,2012-05-01,1,1,1,1,2
APOLO,internaciones,fallecidos antes de las 48 horas,2012-06-01,1,0,1,0,1
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 horas,2012-06-01,0,1,0,1,1
BERMEJO,internaciones,fallecidos antes de las 48 horas,2012-06-01,1,0,1,0,1
CAMARGO,internaciones,fallecidos antes de las 48 horas,2012-06-01,0,1,0,1,1
CAMIRI,internaciones,fallecidos antes de las 48 horas,2012-06-01,1,1,1,1,2
CARANAVI,internaciones,fallecidos antes de las 48 horas,2012-06-01,0,2,0,2,2
CHALLAPATA,internaciones,fallecidos antes de las 48 horas,2012-06-01,1,0,1,0,1
CHARAGUA,internaciones,fallecidos antes de las 48 horas,2012-06-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos antes de las 48 horas,2012-06-01,0,2,0,2,2
COBIJA,internaciones,fallecidos antes de las 48 horas,2012-06-01,1,3,1,3,4
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2012-06-01,37,31,37,31,68
COLCAPIRHUA,internaciones,fallecidos antes de las 48 horas,2012-06-01,0,1,0,1,1
CONCEPCION,internaciones,fallecidos antes de las 48 horas,2012-06-01,1,0,1,0,1
COROICO,internaciones,fallecidos antes de las 48 horas,2012-06-01,0,1,0,1,1
CUATRO CAÑADAS,internaciones,fallecidos antes de las 48 horas,2012-06-01,1,0,1,0,1
CUEVO,internaciones,fallecidos antes de las 48 horas,2012-06-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos antes de las 48 horas,2012-06-01,11,12,11,12,23
EL TORNO,internaciones,fallecidos antes de las 48 horas,2012-06-01,0,1,0,1,1
ESCOMA,internaciones,fallecidos antes de las 48 horas,2012-06-01,1,0,1,0,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2012-06-01,2,0,2,0,2
IRUPANA (VILLA DE LANZA),internaciones,fallecidos antes de las 48 horas,2012-06-01,1,0,1,0,1
LA PAZ,internaciones,fallecidos antes de las 48 horas,2012-06-01,27,26,27,26,53
LLALLAGUA,internaciones,fallecidos antes de las 48 horas,2012-06-01,0,2,0,2,2
MONTEAGUDO,internaciones,fallecidos antes de las 48 horas,2012-06-01,3,0,3,0,3
MONTERO,internaciones,fallecidos antes de las 48 horas,2012-06-01,3,1,3,1,4
ORURO,internaciones,fallecidos antes de las 48 horas,2012-06-01,11,9,11,9,20
PADILLA,internaciones,fallecidos antes de las 48 horas,2012-06-01,1,1,1,1,2
POTOSI,internaciones,fallecidos antes de las 48 horas,2012-06-01,19,7,19,7,26
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 horas,2012-06-01,1,1,1,1,2
PUNATA,internaciones,fallecidos antes de las 48 horas,2012-06-01,1,0,1,0,1
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2012-06-01,5,4,5,4,9
ROBORE,internaciones,fallecidos antes de las 48 horas,2012-06-01,0,1,0,1,1
RURRENABAQUE,internaciones,fallecidos antes de las 48 horas,2012-06-01,1,0,1,0,1
SAN BORJA,internaciones,fallecidos antes de las 48 horas,2012-06-01,0,2,0,2,2
SAN IGNACIO,internaciones,fallecidos antes de las 48 horas,2012-06-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2012-06-01,2,0,2,0,2
SAN LUCAS,internaciones,fallecidos antes de las 48 horas,2012-06-01,1,0,1,0,1
SAN PEDRO,internaciones,fallecidos antes de las 48 horas,2012-06-01,1,0,1,0,1
SAN RAMON SCZ,internaciones,fallecidos antes de las 48 horas,2012-06-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2012-06-01,24,15,24,15,39
SUCRE,internaciones,fallecidos antes de las 48 horas,2012-06-01,13,19,13,19,32
TARIJA,internaciones,fallecidos antes de las 48 horas,2012-06-01,5,8,5,8,13
TIPUANI,internaciones,fallecidos antes de las 48 horas,2012-06-01,1,0,1,0,1
TRINIDAD,internaciones,fallecidos antes de las 48 horas,2012-06-01,7,8,7,8,15
UYUNI,internaciones,fallecidos antes de las 48 horas,2012-06-01,0,1,0,1,1
VIACHA,internaciones,fallecidos antes de las 48 horas,2012-06-01,1,0,1,0,1
VILLA CHARCAS,internaciones,fallecidos antes de las 48 horas,2012-06-01,1,0,1,0,1
VILLA MONTES,internaciones,fallecidos antes de las 48 horas,2012-06-01,1,0,1,0,1
VILLA TUNARI,internaciones,fallecidos antes de las 48 horas,2012-06-01,1,1,1,1,2
VILLAZON,internaciones,fallecidos antes de las 48 horas,2012-06-01,3,3,3,3,6
VINTO,internaciones,fallecidos antes de las 48 horas,2012-06-01,0,1,0,1,1
YACUIBA,internaciones,fallecidos antes de las 48 horas,2012-06-01,2,6,2,6,8
YAPACANI,internaciones,fallecidos antes de las 48 horas,2012-06-01,79,103,79,103,182
AIQUILE,internaciones,fallecidos antes de las 48 horas,2012-07-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 horas,2012-07-01,0,1,0,1,1
BAURES,internaciones,fallecidos antes de las 48 horas,2012-07-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos antes de las 48 horas,2012-07-01,4,1,4,1,5
BETANZOS,internaciones,fallecidos antes de las 48 horas,2012-07-01,0,1,0,1,1
BOYUIBE,internaciones,fallecidos antes de las 48 horas,2012-07-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos antes de las 48 horas,2012-07-01,0,4,0,4,4
CARANAVI,internaciones,fallecidos antes de las 48 horas,2012-07-01,1,1,1,1,2
COBIJA,internaciones,fallecidos antes de las 48 horas,2012-07-01,1,1,1,1,2
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2012-07-01,34,25,34,25,59
