,group,variable,month,FALLECIDOS A PARTIR DE LAS 48 HORAS CANTIDAD,FALLECIDOS A PARTIR DE LAS 48 HORAS CANTIDAD,TOTALES,TOTALES,TOTALES
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 horas,2012-02-01,1,0,1,0,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2012-02-01,1,2,1,2,3
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2012-02-01,54,35,54,35,89
COMARAPA,internaciones,fallecidos a partir de las 48 horas,2012-02-01,1,0,1,0,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2012-02-01,7,5,7,5,12
EL TORNO,internaciones,fallecidos a partir de las 48 horas,2012-02-01,3,1,3,1,4
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2012-02-01,2,2,2,2,4
HUANUNI,internaciones,fallecidos a partir de las 48 horas,2012-02-01,0,1,0,1,1
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2012-02-01,45,54,45,54,99
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2012-02-01,0,1,0,1,1
MAGDALENA,internaciones,fallecidos a partir de las 48 horas,2012-02-01,1,0,1,0,1
MONTERO,internaciones,fallecidos a partir de las 48 horas,2012-02-01,1,1,1,1,2
ORURO,internaciones,fallecidos a partir de las 48 horas,2012-02-01,9,10,9,10,19
PORTACHUELO,internaciones,fallecidos a partir de las 48 horas,2012-02-01,1,0,1,0,1
POTOSI,internaciones,fallecidos a partir de las 48 horas,2012-02-01,10,5,10,5,15
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 horas,2012-02-01,0,1,0,1,1
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2012-02-01,0,2,0,2,2
PUNATA,internaciones,fallecidos a partir de las 48 horas,2012-02-01,0,2,0,2,2
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2012-02-01,2,2,2,2,4
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2012-02-01,0,2,0,2,2
SAN JULIAN,internaciones,fallecidos a partir de las 48 horas,2012-02-01,1,0,1,0,1
SAN LUCAS,internaciones,fallecidos a partir de las 48 horas,2012-02-01,1,0,1,0,1
SANTA ANA,internaciones,fallecidos a partir de las 48 horas,2012-02-01,0,3,0,3,3
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2012-02-01,61,64,61,64,125
SUCRE,internaciones,fallecidos a partir de las 48 horas,2012-02-01,12,11,12,11,23
TARIJA,internaciones,fallecidos a partir de las 48 horas,2012-02-01,22,17,22,17,39
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2012-02-01,7,7,7,7,14
UYUNI,internaciones,fallecidos a partir de las 48 horas,2012-02-01,1,2,1,2,3
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2012-02-01,0,1,0,1,1
VILLA TUNARI,internaciones,fallecidos a partir de las 48 horas,2012-02-01,0,1,0,1,1
VINTO,internaciones,fallecidos a partir de las 48 horas,2012-02-01,0,2,0,2,2
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2012-02-01,0,4,0,4,4
YAPACANI,internaciones,fallecidos a partir de las 48 horas,2012-02-01,1,1,1,1,2
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2012-03-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2012-03-01,0,1,0,1,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2012-03-01,3,2,3,2,5
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2012-03-01,55,43,55,43,98
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 horas,2012-03-01,1,1,1,1,2
COROICO,internaciones,fallecidos a partir de las 48 horas,2012-03-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2012-03-01,9,10,9,10,19
EL TORNO,internaciones,fallecidos a partir de las 48 horas,2012-03-01,3,3,3,3,6
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2012-03-01,1,2,1,2,3
GUTIERREZ,internaciones,fallecidos a partir de las 48 horas,2012-03-01,0,1,0,1,1
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2012-03-01,72,71,72,71,143
ORURO,internaciones,fallecidos a partir de las 48 horas,2012-03-01,11,17,11,17,28
PORTACHUELO,internaciones,fallecidos a partir de las 48 horas,2012-03-01,1,2,1,2,3
POTOSI,internaciones,fallecidos a partir de las 48 horas,2012-03-01,9,9,9,9,18
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2012-03-01,1,0,1,0,1
PUNATA,internaciones,fallecidos a partir de las 48 horas,2012-03-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2012-03-01,1,2,1,2,3
RURRENABAQUE,internaciones,fallecidos a partir de las 48 horas,2012-03-01,1,0,1,0,1
SACABA,internaciones,fallecidos a partir de las 48 horas,2012-03-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2012-03-01,0,1,0,1,1
SAN JULIAN,internaciones,fallecidos a partir de las 48 horas,2012-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2012-03-01,60,50,60,50,110
SANTA ROSA,internaciones,fallecidos a partir de las 48 horas,2012-03-01,0,1,0,1,1
SORATA,internaciones,fallecidos a partir de las 48 horas,2012-03-01,0,1,0,1,1
SUCRE,internaciones,fallecidos a partir de las 48 horas,2012-03-01,26,22,26,22,48
TARIJA,internaciones,fallecidos a partir de las 48 horas,2012-03-01,8,8,8,8,16
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2012-03-01,3,4,3,4,7
UYUNI,internaciones,fallecidos a partir de las 48 horas,2012-03-01,1,0,1,0,1
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2012-03-01,1,1,1,1,2
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2012-03-01,0,1,0,1,1
VILLA TUNARI,internaciones,fallecidos a partir de las 48 horas,2012-03-01,0,1,0,1,1
VINTO,internaciones,fallecidos a partir de las 48 horas,2012-03-01,0,1,0,1,1
WARNES,internaciones,fallecidos a partir de las 48 horas,2012-03-01,1,1,1,1,2
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2012-03-01,3,3,3,3,6
YAPACANI,internaciones,fallecidos a partir de las 48 horas,2012-03-01,0,1,0,1,1
AIQUILE,internaciones,fallecidos a partir de las 48 horas,2012-04-01,1,1,1,1,2
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 horas,2012-04-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2012-04-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2012-04-01,0,2,0,2,2
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2012-04-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 horas,2012-04-01,0,1,0,1,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2012-04-01,2,1,2,1,3
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2012-04-01,43,45,43,45,88
COMARAPA,internaciones,fallecidos a partir de las 48 horas,2012-04-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2012-04-01,10,8,10,8,18
EL TORNO,internaciones,fallecidos a partir de las 48 horas,2012-04-01,0,1,0,1,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2012-04-01,3,3,3,3,6
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2012-04-01,52,63,52,63,115
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2012-04-01,3,1,3,1,4
MAGDALENA,internaciones,fallecidos a partir de las 48 horas,2012-04-01,0,1,0,1,1
MIZQUE,internaciones,fallecidos a partir de las 48 horas,2012-04-01,1,0,1,0,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 horas,2012-04-01,0,1,0,1,1
ORURO,internaciones,fallecidos a partir de las 48 horas,2012-04-01,11,9,11,9,20
PATACAMAYA,internaciones,fallecidos a partir de las 48 horas,2012-04-01,1,0,1,0,1
POTOSI,internaciones,fallecidos a partir de las 48 horas,2012-04-01,11,8,11,8,19
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2012-04-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2012-04-01,6,3,6,3,9
RURRENABAQUE,internaciones,fallecidos a partir de las 48 horas,2012-04-01,0,1,0,1,1
SAN IGNACIO,internaciones,fallecidos a partir de las 48 horas,2012-04-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2012-04-01,1,1,1,1,2
SAN JOSE DE CHIQUITOS,internaciones,fallecidos a partir de las 48 horas,2012-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2012-04-01,85,74,85,74,159
SUCRE,internaciones,fallecidos a partir de las 48 horas,2012-04-01,10,13,10,13,23
TARIJA,internaciones,fallecidos a partir de las 48 horas,2012-04-01,18,26,18,26,44
TIPUANI,internaciones,fallecidos a partir de las 48 horas,2012-04-01,1,0,1,0,1
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2012-04-01,13,14,13,14,27
UYUNI,internaciones,fallecidos a partir de las 48 horas,2012-04-01,1,0,1,0,1
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2012-04-01,1,1,1,1,2
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2012-04-01,0,1,0,1,1
VILLA TUNARI,internaciones,fallecidos a partir de las 48 horas,2012-04-01,1,1,1,1,2
VILLAZON,internaciones,fallecidos a partir de las 48 horas,2012-04-01,2,0,2,0,2
VINTO,internaciones,fallecidos a partir de las 48 horas,2012-04-01,0,1,0,1,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2012-04-01,2,2,2,2,4
AIQUILE,internaciones,fallecidos a partir de las 48 horas,2012-05-01,0,2,0,2,2
APOLO,internaciones,fallecidos a partir de las 48 horas,2012-05-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2012-05-01,1,1,1,1,2
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2012-05-01,1,1,1,1,2
CHARAGUA,internaciones,fallecidos a partir de las 48 horas,2012-05-01,0,1,0,1,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2012-05-01,3,1,3,1,4
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2012-05-01,52,43,52,43,95
COMARAPA,internaciones,fallecidos a partir de las 48 horas,2012-05-01,1,0,1,0,1
COROICO,internaciones,fallecidos a partir de las 48 horas,2012-05-01,0,1,0,1,1
CUATRO CAÑADAS,internaciones,fallecidos a partir de las 48 horas,2012-05-01,1,0,1,0,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2012-05-01,8,11,8,11,19
EL TORNO,internaciones,fallecidos a partir de las 48 horas,2012-05-01,2,0,2,0,2
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2012-05-01,7,3,7,3,10
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2012-05-01,47,69,47,69,116
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2012-05-01,1,0,1,0,1
MONTERO,internaciones,fallecidos a partir de las 48 horas,2012-05-01,3,1,3,1,4
ORURO,internaciones,fallecidos a partir de las 48 horas,2012-05-01,16,20,16,20,36
PALOS BLANCOS,internaciones,fallecidos a partir de las 48 horas,2012-05-01,1,1,1,1,2
PORTACHUELO,internaciones,fallecidos a partir de las 48 horas,2012-05-01,1,0,1,0,1
POTOSI,internaciones,fallecidos a partir de las 48 horas,2012-05-01,7,18,7,18,25
PUNATA,internaciones,fallecidos a partir de las 48 horas,2012-05-01,1,1,1,1,2
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2012-05-01,1,2,1,2,3
RURRENABAQUE,internaciones,fallecidos a partir de las 48 horas,2012-05-01,3,0,3,0,3
SAN BORJA,internaciones,fallecidos a partir de las 48 horas,2012-05-01,1,0,1,0,1
SAN BUENA VENTURA,internaciones,fallecidos a partir de las 48 horas,2012-05-01,1,0,1,0,1
SAN IGNACIO,internaciones,fallecidos a partir de las 48 horas,2012-05-01,0,2,0,2,2
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2012-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2012-05-01,51,56,51,56,107
SUCRE,internaciones,fallecidos a partir de las 48 horas,2012-05-01,7,14,7,14,21
TARIJA,internaciones,fallecidos a partir de las 48 horas,2012-05-01,11,5,11,5,16
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2012-05-01,8,9,8,9,17
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2012-05-01,1,0,1,0,1
UYUNI,internaciones,fallecidos a partir de las 48 horas,2012-05-01,1,1,1,1,2
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2012-05-01,2,2,2,2,4
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2012-05-01,0,2,0,2,2
VILLA TUNARI,internaciones,fallecidos a partir de las 48 horas,2012-05-01,0,2,0,2,2
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2012-05-01,3,1,3,1,4
AIQUILE,internaciones,fallecidos a partir de las 48 horas,2012-06-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2012-06-01,2,0,2,0,2
CAMARGO,internaciones,fallecidos a partir de las 48 horas,2012-06-01,0,1,0,1,1
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2012-06-01,1,1,1,1,2
COBIJA,internaciones,fallecidos a partir de las 48 horas,2012-06-01,6,4,6,4,10
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2012-06-01,53,47,53,47,100
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 horas,2012-06-01,1,0,1,0,1
COROICO,internaciones,fallecidos a partir de las 48 horas,2012-06-01,1,0,1,0,1
CUATRO CAÑADAS,internaciones,fallecidos a partir de las 48 horas,2012-06-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2012-06-01,12,6,12,6,18
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2012-06-01,0,5,0,5,5
HUANUNI,internaciones,fallecidos a partir de las 48 horas,2012-06-01,1,0,1,0,1
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2012-06-01,65,77,65,77,142
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2012-06-01,0,1,0,1,1
MAGDALENA,internaciones,fallecidos a partir de las 48 horas,2012-06-01,2,0,2,0,2
MONTEAGUDO,internaciones,fallecidos a partir de las 48 horas,2012-06-01,0,1,0,1,1
MONTERO,internaciones,fallecidos a partir de las 48 horas,2012-06-01,1,3,1,3,4
ORURO,internaciones,fallecidos a partir de las 48 horas,2012-06-01,13,17,13,17,30
PORTACHUELO,internaciones,fallecidos a partir de las 48 horas,2012-06-01,0,1,0,1,1
POTOSI,internaciones,fallecidos a partir de las 48 horas,2012-06-01,19,11,19,11,30
PUNA,internaciones,fallecidos a partir de las 48 horas,2012-06-01,1,0,1,0,1
PUNATA,internaciones,fallecidos a partir de las 48 horas,2012-06-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2012-06-01,5,6,5,6,11
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2012-06-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,internaciones,fallecidos a partir de las 48 horas,2012-06-01,1,0,1,0,1
SAN JULIAN,internaciones,fallecidos a partir de las 48 horas,2012-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2012-06-01,76,53,76,53,129
SORATA,internaciones,fallecidos a partir de las 48 horas,2012-06-01,1,0,1,0,1
SUCRE,internaciones,fallecidos a partir de las 48 horas,2012-06-01,15,24,15,24,39
TARIJA,internaciones,fallecidos a partir de las 48 horas,2012-06-01,25,18,25,18,43
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2012-06-01,10,8,10,8,18
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2012-06-01,1,0,1,0,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2012-06-01,1,1,1,1,2
VILLA TUNARI,internaciones,fallecidos a partir de las 48 horas,2012-06-01,0,1,0,1,1
VINTO,internaciones,fallecidos a partir de las 48 horas,2012-06-01,2,0,2,0,2
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2012-06-01,2,1,2,1,3
YAPACANI,internaciones,fallecidos a partir de las 48 horas,2012-06-01,0,1,0,1,1
ATOCHA,internaciones,fallecidos a partir de las 48 horas,2012-07-01,0,1,0,1,1
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2012-07-01,1,2,1,2,3
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 horas,2012-07-01,1,0,1,0,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2012-07-01,2,1,2,1,3
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2012-07-01,41,31,41,31,72
COTOCA,internaciones,fallecidos a partir de las 48 horas,2012-07-01,1,0,1,0,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2012-07-01,10,10,10,10,20
EL TORNO,internaciones,fallecidos a partir de las 48 horas,2012-07-01,3,2,3,2,5
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2012-07-01,1,2,1,2,3
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2012-07-01,64,71,64,71,135
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2012-07-01,1,0,1,0,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 horas,2012-07-01,1,0,1,0,1
MONTERO,internaciones,fallecidos a partir de las 48 horas,2012-07-01,1,1,1,1,2
ORURO,internaciones,fallecidos a partir de las 48 horas,2012-07-01,24,8,24,8,32
PORTACHUELO,internaciones,fallecidos a partir de las 48 horas,2012-07-01,1,0,1,0,1
POTOSI,internaciones,fallecidos a partir de las 48 horas,2012-07-01,14,15,14,15,29
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2012-07-01,1,0,1,0,1
PUNATA,internaciones,fallecidos a partir de las 48 horas,2012-07-01,0,1,0,1,1
QUIABAYA,internaciones,fallecidos a partir de las 48 horas,2012-07-01,1,0,1,0,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2012-07-01,4,6,4,6,10
SAN BORJA,internaciones,fallecidos a partir de las 48 horas,2012-07-01,2,1,2,1,3
SAN JOAQUIN,internaciones,fallecidos a partir de las 48 horas,2012-07-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,internaciones,fallecidos a partir de las 48 horas,2012-07-01,0,2,0,2,2
SAN MIGUEL DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2012-07-01,0,1,0,1,1
SANTA ANA,internaciones,fallecidos a partir de las 48 horas,2012-07-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2012-07-01,47,58,47,58,105
SUCRE,internaciones,fallecidos a partir de las 48 horas,2012-07-01,34,19,34,19,53
TARIJA,internaciones,fallecidos a partir de las 48 horas,2012-07-01,27,21,27,21,48
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2012-07-01,7,4,7,4,11
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2012-07-01,1,2,1,2,3
UYUNI,internaciones,fallecidos a partir de las 48 horas,2012-07-01,1,0,1,0,1
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2012-07-01,0,2,0,2,2
VIACHA,internaciones,fallecidos a partir de las 48 horas,2012-07-01,1,0,1,0,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2012-07-01,1,0,1,0,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2012-07-01,1,3,1,3,4
YAPACANI,internaciones,fallecidos a partir de las 48 horas,2012-07-01,1,0,1,0,1
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 horas,2012-08-01,0,1,0,1,1
ATOCHA,internaciones,fallecidos a partir de las 48 horas,2012-08-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2012-08-01,1,0,1,0,1
CAMARGO,internaciones,fallecidos a partir de las 48 horas,2012-08-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 horas,2012-08-01,0,1,0,1,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2012-08-01,2,1,2,1,3
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2012-08-01,48,47,48,47,95
CULPINA,internaciones,fallecidos a partir de las 48 horas,2012-08-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2012-08-01,8,6,8,6,14
EL TORNO,internaciones,fallecidos a partir de las 48 horas,2012-08-01,5,1,5,1,6
ESCOMA,internaciones,fallecidos a partir de las 48 horas,2012-08-01,1,0,1,0,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2012-08-01,5,4,5,4,9
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2012-08-01,62,60,62,60,122
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2012-08-01,2,0,2,0,2
MONTEAGUDO,internaciones,fallecidos a partir de las 48 horas,2012-08-01,1,0,1,0,1
MONTERO,internaciones,fallecidos a partir de las 48 horas,2012-08-01,2,3,2,3,5
ORURO,internaciones,fallecidos a partir de las 48 horas,2012-08-01,3,10,3,10,13
PADILLA,internaciones,fallecidos a partir de las 48 horas,2012-08-01,0,1,0,1,1
POTOSI,internaciones,fallecidos a partir de las 48 horas,2012-08-01,18,14,18,14,32
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2012-08-01,1,0,1,0,1
PUNA,internaciones,fallecidos a partir de las 48 horas,2012-08-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2012-08-01,4,2,4,2,6
SACABA,internaciones,fallecidos a partir de las 48 horas,2012-08-01,0,1,0,1,1
SAMAIPATA,internaciones,fallecidos a partir de las 48 horas,2012-08-01,1,0,1,0,1
SAN BORJA,internaciones,fallecidos a partir de las 48 horas,2012-08-01,0,2,0,2,2
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2012-08-01,1,0,1,0,1
SAN JOAQUIN,internaciones,fallecidos a partir de las 48 horas,2012-08-01,1,0,1,0,1
SANTA ANA,internaciones,fallecidos a partir de las 48 horas,2012-08-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2012-08-01,67,63,67,63,130
SUCRE,internaciones,fallecidos a partir de las 48 horas,2012-08-01,22,16,22,16,38
TARIJA,internaciones,fallecidos a partir de las 48 horas,2012-08-01,25,17,25,17,42
TIPUANI,internaciones,fallecidos a partir de las 48 horas,2012-08-01,2,0,2,0,2
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2012-08-01,2,4,2,4,6
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2012-08-01,0,1,0,1,1
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2012-08-01,1,0,1,0,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2012-08-01,1,0,1,0,1
