,group,variable,month,RETORNADOS CANTIDAD,RETORNADOS CANTIDAD,TOTALES,TOTALES,TOTALES
VILLA TUNARI,internaciones,retornados,2012-02-01,0,1,0,1,1
YACUIBA,internaciones,retornados,2012-02-01,5,11,5,11,16
ZUDAÑEZ,internaciones,retornados,2012-02-01,1,1,1,1,2
ASCENCION DE GUARAYOS,internaciones,retornados,2012-03-01,1,0,1,0,1
AZURDUY,internaciones,retornados,2012-03-01,0,1,0,1,1
BERMEJO,internaciones,retornados,2012-03-01,1,0,1,0,1
COBIJA,internaciones,retornados,2012-03-01,3,60,3,60,63
COCHABAMBA,internaciones,retornados,2012-03-01,10,221,10,221,231
EL ALTO,internaciones,retornados,2012-03-01,12,16,12,16,28
EL VILLAR,internaciones,retornados,2012-03-01,1,0,1,0,1
ICLA,internaciones,retornados,2012-03-01,1,0,1,0,1
INCAHUASI,internaciones,retornados,2012-03-01,0,1,0,1,1
LA PAZ,internaciones,retornados,2012-03-01,3,7,3,7,10
MONTEAGUDO,internaciones,retornados,2012-03-01,0,3,0,3,3
MONTERO,internaciones,retornados,2012-03-01,1,52,1,52,53
OCURI,internaciones,retornados,2012-03-01,0,2,0,2,2
ORURO,internaciones,retornados,2012-03-01,2,2,2,2,4
POROMA,internaciones,retornados,2012-03-01,0,1,0,1,1
PORVENIR,internaciones,retornados,2012-03-01,1,3,1,3,4
PUERTO QUIJARRO,internaciones,retornados,2012-03-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,retornados,2012-03-01,0,10,0,10,10
SAN JULIAN,internaciones,retornados,2012-03-01,3,3,3,3,6
SAN LUCAS,internaciones,retornados,2012-03-01,0,6,0,6,6
SAN PEDRO,internaciones,retornados,2012-03-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2012-03-01,5,4,5,4,9
SUCRE,internaciones,retornados,2012-03-01,0,9,0,9,9
VIACHA,internaciones,retornados,2012-03-01,3,2,3,2,5
VILLA TUNARI,internaciones,retornados,2012-03-01,0,2,0,2,2
VINTO,internaciones,retornados,2012-03-01,0,1,0,1,1
YACUIBA,internaciones,retornados,2012-03-01,1,3,1,3,4
YAPACANI,internaciones,retornados,2012-03-01,0,1,0,1,1
ATOCHA,internaciones,retornados,2012-04-01,2,0,2,0,2
CAMIRI,internaciones,retornados,2012-04-01,0,1,0,1,1
CARMEN RIVERO TORREZ,internaciones,retornados,2012-04-01,0,1,0,1,1
COBIJA,internaciones,retornados,2012-04-01,9,41,9,41,50
COCHABAMBA,internaciones,retornados,2012-04-01,10,233,10,233,243
EL ALTO,internaciones,retornados,2012-04-01,12,20,12,20,32
HUACARETA,internaciones,retornados,2012-04-01,0,1,0,1,1
LA PAZ,internaciones,retornados,2012-04-01,2,11,2,11,13
LAGUNILLAS,internaciones,retornados,2012-04-01,0,2,0,2,2
MACHARETI,internaciones,retornados,2012-04-01,1,0,1,0,1
MAIRANA,internaciones,retornados,2012-04-01,1,1,1,1,2
MONTERO,internaciones,retornados,2012-04-01,1,52,1,52,53
ORURO,internaciones,retornados,2012-04-01,1,2,1,2,3
POROMA,internaciones,retornados,2012-04-01,0,1,0,1,1
SACABA,internaciones,retornados,2012-04-01,0,1,0,1,1
SAN BORJA,internaciones,retornados,2012-04-01,2,1,2,1,3
SAN IGNACIO DE VELASCO,internaciones,retornados,2012-04-01,1,4,1,4,5
SAN LUCAS,internaciones,retornados,2012-04-01,20,96,20,96,116
SAN MIGUEL DE VELASCO,internaciones,retornados,2012-04-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2012-04-01,2,3,2,3,5
SUCRE,internaciones,retornados,2012-04-01,0,8,0,8,8
TAPACARI,internaciones,retornados,2012-04-01,0,1,0,1,1
TARATA,internaciones,retornados,2012-04-01,1,0,1,0,1
VIACHA,internaciones,retornados,2012-04-01,3,2,3,2,5
VILLA SERRANO,internaciones,retornados,2012-04-01,1,2,1,2,3
VILLA TUNARI,internaciones,retornados,2012-04-01,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,retornados,2012-04-01,0,2,0,2,2
YACUIBA,internaciones,retornados,2012-04-01,3,8,3,8,11
ARAMPAMPA,internaciones,retornados,2012-05-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,retornados,2012-05-01,1,0,1,0,1
CALACOTO,internaciones,retornados,2012-05-01,0,1,0,1,1
COBIJA,internaciones,retornados,2012-05-01,4,37,4,37,41
COCHABAMBA,internaciones,retornados,2012-05-01,11,236,11,236,247
COMARAPA,internaciones,retornados,2012-05-01,1,2,1,2,3
EL ALTO,internaciones,retornados,2012-05-01,5,46,5,46,51
HUACAYA (VILLA DE HUACAYA),internaciones,retornados,2012-05-01,0,1,0,1,1
HUANUNI,internaciones,retornados,2012-05-01,1,2,1,2,3
LA PAZ,internaciones,retornados,2012-05-01,2,0,2,0,2
MAIRANA,internaciones,retornados,2012-05-01,1,1,1,1,2
MONTERO,internaciones,retornados,2012-05-01,0,77,0,77,77
OCURI,internaciones,retornados,2012-05-01,0,2,0,2,2
ORURO,internaciones,retornados,2012-05-01,2,2,2,2,4
PASORAPA,internaciones,retornados,2012-05-01,0,1,0,1,1
POSTRER VALLE,internaciones,retornados,2012-05-01,0,1,0,1,1
POTOSI,internaciones,retornados,2012-05-01,2,1,2,1,3
PUERTO VILLARROEL,internaciones,retornados,2012-05-01,1,2,1,2,3
QUIABAYA,internaciones,retornados,2012-05-01,1,0,1,0,1
RIBERALTA,internaciones,retornados,2012-05-01,1,39,1,39,40
SAN IGNACIO DE VELASCO,internaciones,retornados,2012-05-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,internaciones,retornados,2012-05-01,1,0,1,0,1
SAN JULIAN,internaciones,retornados,2012-05-01,0,1,0,1,1
SAN LUCAS,internaciones,retornados,2012-05-01,10,15,10,15,25
SAN MATIAS,internaciones,retornados,2012-05-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,internaciones,retornados,2012-05-01,0,1,0,1,1
SANTA ANA,internaciones,retornados,2012-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2012-05-01,4,4,4,4,8
SORATA,internaciones,retornados,2012-05-01,0,3,0,3,3
SUCRE,internaciones,retornados,2012-05-01,0,16,0,16,16
VIACHA,internaciones,retornados,2012-05-01,3,2,3,2,5
VILLA SERRANO,internaciones,retornados,2012-05-01,2,0,2,0,2
VILLA TUNARI,internaciones,retornados,2012-05-01,0,3,0,3,3
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,retornados,2012-05-01,0,4,0,4,4
YACUIBA,internaciones,retornados,2012-05-01,0,5,0,5,5
ASCENCION DE GUARAYOS,internaciones,retornados,2012-06-01,0,1,0,1,1
COBIJA,internaciones,retornados,2012-06-01,11,42,11,42,53
COCAPATA,internaciones,retornados,2012-06-01,0,5,0,5,5
COCHABAMBA,internaciones,retornados,2012-06-01,5,261,5,261,266
CONCEPCION,internaciones,retornados,2012-06-01,0,1,0,1,1
EL ALTO,internaciones,retornados,2012-06-01,15,43,15,43,58
HUANUNI,internaciones,retornados,2012-06-01,0,1,0,1,1
LA PAZ,internaciones,retornados,2012-06-01,1,2,1,2,3
LICOMA PAMPA,internaciones,retornados,2012-06-01,0,1,0,1,1
MAGDALENA,internaciones,retornados,2012-06-01,2,0,2,0,2
MAIRANA,internaciones,retornados,2012-06-01,0,2,0,2,2
MONTERO,internaciones,retornados,2012-06-01,1,80,1,80,81
OCURI,internaciones,retornados,2012-06-01,0,2,0,2,2
ORURO,internaciones,retornados,2012-06-01,2,0,2,0,2
PADILLA,internaciones,retornados,2012-06-01,0,1,0,1,1
POROMA,internaciones,retornados,2012-06-01,0,1,0,1,1
QUIRUSILLAS,internaciones,retornados,2012-06-01,1,1,1,1,2
SACABA,internaciones,retornados,2012-06-01,2,1,2,1,3
SAN BORJA,internaciones,retornados,2012-06-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,internaciones,retornados,2012-06-01,1,0,1,0,1
SAN LUCAS,internaciones,retornados,2012-06-01,0,5,0,5,5
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2012-06-01,4,0,4,0,4
SOPACHUY,internaciones,retornados,2012-06-01,0,2,0,2,2
SUCRE,internaciones,retornados,2012-06-01,1,21,1,21,22
TARABUCO,internaciones,retornados,2012-06-01,0,1,0,1,1
TARIJA,internaciones,retornados,2012-06-01,3,0,3,0,3
TARVITA,internaciones,retornados,2012-06-01,0,1,0,1,1
VIACHA,internaciones,retornados,2012-06-01,2,2,2,2,4
VILLA SERRANO,internaciones,retornados,2012-06-01,0,4,0,4,4
VILLA TUNARI,internaciones,retornados,2012-06-01,0,2,0,2,2
YACUIBA,internaciones,retornados,2012-06-01,2,8,2,8,10
YAPACANI,internaciones,retornados,2012-06-01,1,1,1,1,2
ASCENCION DE GUARAYOS,internaciones,retornados,2012-07-01,1,0,1,0,1
BAURES,internaciones,retornados,2012-07-01,1,0,1,0,1
BUENA VISTA,internaciones,retornados,2012-07-01,1,0,1,0,1
CAMIRI,internaciones,retornados,2012-07-01,0,1,0,1,1
COBIJA,internaciones,retornados,2012-07-01,6,54,6,54,60
COCHABAMBA,internaciones,retornados,2012-07-01,2,252,2,252,254
COMARAPA,internaciones,retornados,2012-07-01,0,4,0,4,4
CUATRO CAÑADAS,internaciones,retornados,2012-07-01,0,1,0,1,1
CURAHUARA DE CARANGAS,internaciones,retornados,2012-07-01,0,1,0,1,1
EL ALTO,internaciones,retornados,2012-07-01,6,38,6,38,44
EL TORNO,internaciones,retornados,2012-07-01,1,0,1,0,1
ICLA,internaciones,retornados,2012-07-01,0,2,0,2,2
LA PAZ,internaciones,retornados,2012-07-01,2,74,2,74,76
MAIRANA,internaciones,retornados,2012-07-01,0,2,0,2,2
MAPIRI,internaciones,retornados,2012-07-01,0,2,0,2,2
MONTERO,internaciones,retornados,2012-07-01,0,80,0,80,80
OCURI,internaciones,retornados,2012-07-01,0,1,0,1,1
OKINAWA,internaciones,retornados,2012-07-01,0,1,0,1,1
ORURO,internaciones,retornados,2012-07-01,2,2,2,2,4
POSTRER VALLE,internaciones,retornados,2012-07-01,0,1,0,1,1
PRESTO,internaciones,retornados,2012-07-01,0,2,0,2,2
ROBORE,internaciones,retornados,2012-07-01,0,1,0,1,1
SAN CARLOS,internaciones,retornados,2012-07-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,retornados,2012-07-01,5,16,5,16,21
SAN LUCAS,internaciones,retornados,2012-07-01,0,2,0,2,2
SOPACHUY,internaciones,retornados,2012-07-01,0,1,0,1,1
SUCRE,internaciones,retornados,2012-07-01,0,22,0,22,22
TARIJA,internaciones,retornados,2012-07-01,0,1,0,1,1
TARVITA,internaciones,retornados,2012-07-01,0,2,0,2,2
TUPIZA,internaciones,retornados,2012-07-01,2,2,2,2,4
VIACHA,internaciones,retornados,2012-07-01,2,3,2,3,5
VILLA SERRANO,internaciones,retornados,2012-07-01,0,1,0,1,1
VILLA TUNARI,internaciones,retornados,2012-07-01,0,2,0,2,2
VINTO,internaciones,retornados,2012-07-01,1,0,1,0,1
YACUIBA,internaciones,retornados,2012-07-01,1,9,1,9,10
YAMPARAEZ,internaciones,retornados,2012-07-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,retornados,2012-08-01,2,1,2,1,3
ATOCHA,internaciones,retornados,2012-08-01,1,0,1,0,1
AZURDUY,internaciones,retornados,2012-08-01,0,1,0,1,1
BERMEJO,internaciones,retornados,2012-08-01,0,1,0,1,1
BUENA VISTA,internaciones,retornados,2012-08-01,1,0,1,0,1
COBIJA,internaciones,retornados,2012-08-01,9,62,9,62,71
COCHABAMBA,internaciones,retornados,2012-08-01,3,233,3,233,236
COMARAPA,internaciones,retornados,2012-08-01,0,6,0,6,6
EL ALTO,internaciones,retornados,2012-08-01,6,47,6,47,53
HUANUNI,internaciones,retornados,2012-08-01,1,1,1,1,2
LA PAZ,internaciones,retornados,2012-08-01,3,3,3,3,6
LAGUNILLAS,internaciones,retornados,2012-08-01,0,1,0,1,1
MAIRANA,internaciones,retornados,2012-08-01,0,2,0,2,2
MIZQUE,internaciones,retornados,2012-08-01,0,1,0,1,1
MONTERO,internaciones,retornados,2012-08-01,0,88,0,88,88
OCURI,internaciones,retornados,2012-08-01,0,3,0,3,3
ORURO,internaciones,retornados,2012-08-01,2,1,2,1,3
PORVENIR,internaciones,retornados,2012-08-01,1,0,1,0,1
SAN BORJA,internaciones,retornados,2012-08-01,0,1,0,1,1
SAN CARLOS,internaciones,retornados,2012-08-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,retornados,2012-08-01,5,19,5,19,24
SAN LUCAS,internaciones,retornados,2012-08-01,0,8,0,8,8
SAN MATIAS,internaciones,retornados,2012-08-01,0,2,0,2,2
SAN PEDRO,internaciones,retornados,2012-08-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2012-08-01,1,0,1,0,1
SOPACHUY,internaciones,retornados,2012-08-01,0,1,0,1,1
UYUNI,internaciones,retornados,2012-08-01,0,1,0,1,1
VIACHA,internaciones,retornados,2012-08-01,3,3,3,3,6
VILLA SERRANO,internaciones,retornados,2012-08-01,0,1,0,1,1
VINTO,internaciones,retornados,2012-08-01,10,3,10,3,13
YACUIBA,internaciones,retornados,2012-08-01,0,5,0,5,5
AZURDUY,internaciones,retornados,2012-09-01,0,5,0,5,5
BAURES,internaciones,retornados,2012-09-01,0,1,0,1,1
COBIJA,internaciones,retornados,2012-09-01,12,60,12,60,72
COCAPATA,internaciones,retornados,2012-09-01,0,5,0,5,5
COMARAPA,internaciones,retornados,2012-09-01,0,2,0,2,2
CUATRO CAÑADAS,internaciones,retornados,2012-09-01,0,1,0,1,1
CULPINA,internaciones,retornados,2012-09-01,1,2,1,2,3
EL ALTO,internaciones,retornados,2012-09-01,12,63,12,63,75
HUANUNI,internaciones,retornados,2012-09-01,0,1,0,1,1
ICLA,internaciones,retornados,2012-09-01,0,3,0,3,3
LA PAZ,internaciones,retornados,2012-09-01,5,3,5,3,8
MACHARETI,internaciones,retornados,2012-09-01,2,2,2,2,4
MAIRANA,internaciones,retornados,2012-09-01,0,3,0,3,3
MONTERO,internaciones,retornados,2012-09-01,0,92,0,92,92
OCURI,internaciones,retornados,2012-09-01,0,2,0,2,2
ORURO,internaciones,retornados,2012-09-01,0,4,0,4,4
PORTACHUELO,internaciones,retornados,2012-09-01,0,2,0,2,2
PUERTO GONZALO MORENO,internaciones,retornados,2012-09-01,1,1,1,1,2
RIBERALTA,internaciones,retornados,2012-09-01,0,37,0,37,37
SALINAS DE GARCI MENDOZA,internaciones,retornados,2012-09-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,retornados,2012-09-01,1,1,1,1,2
SAN JOSE DE CHIQUITOS,internaciones,retornados,2012-09-01,1,3,1,3,4
SAN JULIAN,internaciones,retornados,2012-09-01,1,0,1,0,1
SAN LUCAS,internaciones,retornados,2012-09-01,0,4,0,4,4
SAN MIGUEL DE VELASCO,internaciones,retornados,2012-09-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2012-09-01,0,2,0,2,2
SENA,internaciones,retornados,2012-09-01,0,1,0,1,1
VIACHA,internaciones,retornados,2012-09-01,4,5,4,5,9
VILLAZON,internaciones,retornados,2012-09-01,1,0,1,0,1
VINTO,internaciones,retornados,2012-09-01,2,0,2,0,2
WARNES,internaciones,retornados,2012-09-01,0,1,0,1,1
YACUIBA,internaciones,retornados,2012-09-01,2,7,2,7,9
ZUDAÑEZ,internaciones,retornados,2012-09-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,retornados,2012-10-01,0,9,0,9,9
ATOCHA,internaciones,retornados,2012-10-01,2,0,2,0,2
AZURDUY,internaciones,retornados,2012-10-01,3,22,3,22,25
BUENA VISTA,internaciones,retornados,2012-10-01,1,0,1,0,1
COBIJA,internaciones,retornados,2012-10-01,9,61,9,61,70
COCHABAMBA,internaciones,retornados,2012-10-01,2,274,2,274,276
CULPINA,internaciones,retornados,2012-10-01,0,1,0,1,1
EL ALTO,internaciones,retornados,2012-10-01,6,57,6,57,63
HUACAYA (VILLA DE HUACAYA),internaciones,retornados,2012-10-01,0,1,0,1,1
HUANUNI,internaciones,retornados,2012-10-01,1,3,1,3,4
ICLA,internaciones,retornados,2012-10-01,0,2,0,2,2
IRUPANA (VILLA DE LANZA),internaciones,retornados,2012-10-01,0,1,0,1,1
LA PAZ,internaciones,retornados,2012-10-01,4,1,4,1,5
MAIRANA,internaciones,retornados,2012-10-01,0,5,0,5,5
MAPIRI,internaciones,retornados,2012-10-01,0,1,0,1,1
MONTERO,internaciones,retornados,2012-10-01,1,42,1,42,43
OCURI,internaciones,retornados,2012-10-01,0,3,0,3,3
ORURO,internaciones,retornados,2012-10-01,2,3,2,3,5
PORTACHUELO,internaciones,retornados,2012-10-01,0,2,0,2,2
PORVENIR,internaciones,retornados,2012-10-01,1,0,1,0,1
PUERTO GONZALO MORENO,internaciones,retornados,2012-10-01,1,1,1,1,2
PUERTO VILLARROEL,internaciones,retornados,2012-10-01,0,1,0,1,1
RIBERALTA,internaciones,retornados,2012-10-01,3,86,3,86,89
SAN IGNACIO DE VELASCO,internaciones,retornados,2012-10-01,2,1,2,1,3
SAN JOSE DE CHIQUITOS,internaciones,retornados,2012-10-01,0,2,0,2,2
SAN JULIAN,internaciones,retornados,2012-10-01,0,1,0,1,1
SAN LUCAS,internaciones,retornados,2012-10-01,2,10,2,10,12
SAN MATIAS,internaciones,retornados,2012-10-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2012-10-01,1,0,1,0,1
SORATA,internaciones,retornados,2012-10-01,0,1,0,1,1
TARATA,internaciones,retornados,2012-10-01,0,1,0,1,1
TARIJA,internaciones,retornados,2012-10-01,2,2,2,2,4
TOTORA(CBBA),internaciones,retornados,2012-10-01,0,2,0,2,2
VALLEGRANDE,internaciones,retornados,2012-10-01,0,1,0,1,1
YACUIBA,internaciones,retornados,2012-10-01,4,12,4,12,16
YAPACANI,internaciones,retornados,2012-10-01,0,2,0,2,2
ZUDAÑEZ,internaciones,retornados,2012-10-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,retornados,2012-11-01,0,9,0,9,9
AZURDUY,internaciones,retornados,2012-11-01,4,0,4,0,4
COBIJA,internaciones,retornados,2012-11-01,2,69,2,69,71
COCHABAMBA,internaciones,retornados,2012-11-01,5,236,5,236,241
COTAGAITA,internaciones,retornados,2012-11-01,0,1,0,1,1
EL ALTO,internaciones,retornados,2012-11-01,3,1,3,1,4
EL TORNO,internaciones,retornados,2012-11-01,1,0,1,0,1
LA PAZ,internaciones,retornados,2012-11-01,1,1,1,1,2
MACHARETI,internaciones,retornados,2012-11-01,0,1,0,1,1
MOJOCOYA,internaciones,retornados,2012-11-01,0,1,0,1,1
MONTERO,internaciones,retornados,2012-11-01,0,45,0,45,45
OCURI,internaciones,retornados,2012-11-01,0,2,0,2,2
ORURO,internaciones,retornados,2012-11-01,2,3,2,3,5
PRESTO,internaciones,retornados,2012-11-01,0,4,0,4,4
SAN BORJA,internaciones,retornados,2012-11-01,1,2,1,2,3
SAN IGNACIO DE VELASCO,internaciones,retornados,2012-11-01,3,5,3,5,8
SAN LUCAS,internaciones,retornados,2012-11-01,0,2,0,2,2
SAN MATIAS,internaciones,retornados,2012-11-01,2,1,2,1,3
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2012-11-01,3,2,3,2,5
SUCRE,internaciones,retornados,2012-11-01,0,112,0,112,112
TARIJA,internaciones,retornados,2012-11-01,0,1,0,1,1
TARVITA,internaciones,retornados,2012-11-01,0,1,0,1,1
VALLEGRANDE,internaciones,retornados,2012-11-01,0,1,0,1,1
VILLA RIVERO,internaciones,retornados,2012-11-01,3,6,3,6,9
VILLA TUNARI,internaciones,retornados,2012-11-01,1,0,1,0,1
YACUIBA,internaciones,retornados,2012-11-01,5,10,5,10,15
ANCORAIMES,internaciones,retornados,2012-12-01,0,2,0,2,2
ASCENCION DE GUARAYOS,internaciones,retornados,2012-12-01,0,6,0,6,6
COBIJA,internaciones,retornados,2012-12-01,4,19,4,19,23
COCHABAMBA,internaciones,retornados,2012-12-01,8,238,8,238,246
EL ALTO,internaciones,retornados,2012-12-01,0,16,0,16,16
LA PAZ,internaciones,retornados,2012-12-01,2,2,2,2,4
OMEREQUE,internaciones,retornados,2012-12-01,0,4,0,4,4
ORURO,internaciones,retornados,2012-12-01,19,3,19,3,22
PORTACHUELO,internaciones,retornados,2012-12-01,0,1,0,1,1
PUERTO VILLARROEL,internaciones,retornados,2012-12-01,1,0,1,0,1
SAN BORJA,internaciones,retornados,2012-12-01,1,0,1,0,1
SAN CARLOS,internaciones,retornados,2012-12-01,1,0,1,0,1
SAN IGNACIO,internaciones,retornados,2012-12-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,retornados,2012-12-01,2,13,2,13,15
SAN JOSE DE CHIQUITOS,internaciones,retornados,2012-12-01,1,0,1,0,1
SAN LUCAS,internaciones,retornados,2012-12-01,1,4,1,4,5
SAN MATIAS,internaciones,retornados,2012-12-01,2,3,2,3,5
SANTA ANA,internaciones,retornados,2012-12-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2012-12-01,0,1,0,1,1
SICA SICA (VILLA AROMA),internaciones,retornados,2012-12-01,0,2,0,2,2
SUCRE,internaciones,retornados,2012-12-01,0,131,0,131,131
TARATA,internaciones,retornados,2012-12-01,0,1,0,1,1
TARIJA,internaciones,retornados,2012-12-01,1,0,1,0,1
TOLEDO,internaciones,retornados,2012-12-01,0,1,0,1,1
VALLEGRANDE,internaciones,retornados,2012-12-01,0,1,0,1,1
VILLAZON,internaciones,retornados,2012-12-01,0,1,0,1,1
WARNES,internaciones,retornados,2012-12-01,0,1,0,1,1
YACUIBA,internaciones,retornados,2012-12-01,4,19,4,19,23
YAPACANI,internaciones,retornados,2012-12-01,1,1,1,1,2
