municipality,group,variable,month,7. Viviendas Positivas,TOTAL
HUACARETA,chagas viviendas,viviendas positivas,2024-03-01,17,17
OMEREQUE,chagas viviendas,viviendas positivas,2024-03-01,3,3
PAMPA GRANDE,chagas viviendas,viviendas positivas,2024-03-01,1,1
POCOATA,chagas viviendas,viviendas positivas,2024-03-01,7,7
POJO (CBBA),chagas viviendas,viviendas positivas,2024-03-01,4,4
PUNATA,chagas viviendas,viviendas positivas,2024-03-01,6,6
QUILLACOLLO,chagas viviendas,viviendas positivas,2024-03-01,8,8
RAVELO,chagas viviendas,viviendas positivas,2024-03-01,5,5
SAN LORENZO(TJA),chagas viviendas,viviendas positivas,2024-03-01,2,2
SAN LUCAS,chagas viviendas,viviendas positivas,2024-03-01,1,1
SANTIVAÑES,chagas viviendas,viviendas positivas,2024-03-01,5,5
SIPE SIPE,chagas viviendas,viviendas positivas,2024-03-01,11,11
TORO TORO,chagas viviendas,viviendas positivas,2024-03-01,3,3
TOTORA(CBBA),chagas viviendas,viviendas positivas,2024-03-01,1,1
TUPIZA,chagas viviendas,viviendas positivas,2024-03-01,2,2
URIONDO (A. CONCEPCION),chagas viviendas,viviendas positivas,2024-03-01,1,1
VALLEGRANDE,chagas viviendas,viviendas positivas,2024-03-01,1,1
VITICHI,chagas viviendas,viviendas positivas,2024-03-01,2,2
YAMPARAEZ,chagas viviendas,viviendas positivas,2024-03-01,21,21
YOTALA,chagas viviendas,viviendas positivas,2024-03-01,6,6
ACACIO,chagas viviendas,viviendas positivas,2024-04-01,2,2
ARAMPAMPA,chagas viviendas,viviendas positivas,2024-04-01,1,1
ARANI,chagas viviendas,viviendas positivas,2024-04-01,5,5
ARBIETO,chagas viviendas,viviendas positivas,2024-04-01,2,2
ARQUE,chagas viviendas,viviendas positivas,2024-04-01,24,24
BETANZOS,chagas viviendas,viviendas positivas,2024-04-01,24,24
"CAIZA ""D""",chagas viviendas,viviendas positivas,2024-04-01,5,5
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas positivas,2024-04-01,3,3
CARAPARI,chagas viviendas,viviendas positivas,2024-04-01,5,5
COCHABAMBA,chagas viviendas,viviendas positivas,2024-04-01,16,16
COTAGAITA,chagas viviendas,viviendas positivas,2024-04-01,2,2
CUEVO,chagas viviendas,viviendas positivas,2024-04-01,8,8
CULPINA,chagas viviendas,viviendas positivas,2024-04-01,15,15
EL PUENTE(TJA),chagas viviendas,viviendas positivas,2024-04-01,2,2
EL TORNO,chagas viviendas,viviendas positivas,2024-04-01,2,2
ENTRE RIOS TRJ,chagas viviendas,viviendas positivas,2024-04-01,19,19
GAIOC JATUN AYLLU YURA,chagas viviendas,viviendas positivas,2024-04-01,1,1
OMEREQUE,chagas viviendas,viviendas positivas,2024-04-01,6,6
PAMPA GRANDE,chagas viviendas,viviendas positivas,2024-04-01,3,3
POCOATA,chagas viviendas,viviendas positivas,2024-04-01,14,14
POJO (CBBA),chagas viviendas,viviendas positivas,2024-04-01,3,3
PRESTO,chagas viviendas,viviendas positivas,2024-04-01,3,3
PUNA,chagas viviendas,viviendas positivas,2024-04-01,3,3
PUNATA,chagas viviendas,viviendas positivas,2024-04-01,2,2
QUILLACOLLO,chagas viviendas,viviendas positivas,2024-04-01,5,5
RAVELO,chagas viviendas,viviendas positivas,2024-04-01,6,6
SACABA,chagas viviendas,viviendas positivas,2024-04-01,1,1
SAN BENITO,chagas viviendas,viviendas positivas,2024-04-01,2,2
SAN LUCAS,chagas viviendas,viviendas positivas,2024-04-01,2,2
SANTIVAÑES,chagas viviendas,viviendas positivas,2024-04-01,2,2
SOPACHUY,chagas viviendas,viviendas positivas,2024-04-01,2,2
TACACHI,chagas viviendas,viviendas positivas,2024-04-01,2,2
TOMINA,chagas viviendas,viviendas positivas,2024-04-01,40,40
TORO TORO,chagas viviendas,viviendas positivas,2024-04-01,19,19
TOTORA(CBBA),chagas viviendas,viviendas positivas,2024-04-01,4,4
TUPIZA,chagas viviendas,viviendas positivas,2024-04-01,16,16
URIONDO (A. CONCEPCION),chagas viviendas,viviendas positivas,2024-04-01,1,1
VALLEGRANDE,chagas viviendas,viviendas positivas,2024-04-01,1,1
VILLA RIVERO,chagas viviendas,viviendas positivas,2024-04-01,1,1
VINTO,chagas viviendas,viviendas positivas,2024-04-01,1,1
VITICHI,chagas viviendas,viviendas positivas,2024-04-01,2,2
YAMPARAEZ,chagas viviendas,viviendas positivas,2024-04-01,3,3
ACACIO,chagas viviendas,viviendas positivas,2024-05-01,4,4
AIQUILE,chagas viviendas,viviendas positivas,2024-05-01,1,1
ARAMPAMPA,chagas viviendas,viviendas positivas,2024-05-01,5,5
ARANI,chagas viviendas,viviendas positivas,2024-05-01,5,5
ARBIETO,chagas viviendas,viviendas positivas,2024-05-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas positivas,2024-05-01,4,4
BETANZOS,chagas viviendas,viviendas positivas,2024-05-01,40,40
"CAIZA ""D""",chagas viviendas,viviendas positivas,2024-05-01,3,3
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas positivas,2024-05-01,2,2
CAPINOTA,chagas viviendas,viviendas positivas,2024-05-01,8,8
CARAPARI,chagas viviendas,viviendas positivas,2024-05-01,11,11
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,viviendas positivas,2024-05-01,8,8
CKOCHAS,chagas viviendas,viviendas positivas,2024-05-01,5,5
COCHABAMBA,chagas viviendas,viviendas positivas,2024-05-01,5,5
COLCAPIRHUA,chagas viviendas,viviendas positivas,2024-05-01,3,3
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas positivas,2024-05-01,1,1
CULPINA,chagas viviendas,viviendas positivas,2024-05-01,111,111
EL PUENTE(TJA),chagas viviendas,viviendas positivas,2024-05-01,1,1
EL TORNO,chagas viviendas,viviendas positivas,2024-05-01,2,2
EL VILLAR,chagas viviendas,viviendas positivas,2024-05-01,1,1
GAIOC JATUN AYLLU YURA,chagas viviendas,viviendas positivas,2024-05-01,1,1
HUACARETA,chagas viviendas,viviendas positivas,2024-05-01,3,3
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas positivas,2024-05-01,19,19
LAS CARRERAS,chagas viviendas,viviendas positivas,2024-05-01,11,11
MAIRANA,chagas viviendas,viviendas positivas,2024-05-01,1,1
MIZQUE,chagas viviendas,viviendas positivas,2024-05-01,4,4
MOJOCOYA,chagas viviendas,viviendas positivas,2024-05-01,15,15
PALCA,chagas viviendas,viviendas positivas,2024-05-01,1,1
PAMPA GRANDE,chagas viviendas,viviendas positivas,2024-05-01,5,5
PASORAPA,chagas viviendas,viviendas positivas,2024-05-01,4,4
POCOATA,chagas viviendas,viviendas positivas,2024-05-01,5,5
POJO (CBBA),chagas viviendas,viviendas positivas,2024-05-01,9,9
PUNA,chagas viviendas,viviendas positivas,2024-05-01,4,4
PUNATA,chagas viviendas,viviendas positivas,2024-05-01,1,1
QUILLACOLLO,chagas viviendas,viviendas positivas,2024-05-01,5,5
RAVELO,chagas viviendas,viviendas positivas,2024-05-01,3,3
SACABA,chagas viviendas,viviendas positivas,2024-05-01,2,2
SAMAIPATA,chagas viviendas,viviendas positivas,2024-05-01,1,1
SAN LORENZO(TJA),chagas viviendas,viviendas positivas,2024-05-01,1,1
SAN LUCAS,chagas viviendas,viviendas positivas,2024-05-01,7,7
SANTIVAÑES,chagas viviendas,viviendas positivas,2024-05-01,6,6
SAPAHAQUI,chagas viviendas,viviendas positivas,2024-05-01,5,5
SICAYA,chagas viviendas,viviendas positivas,2024-05-01,3,3
SIPE SIPE,chagas viviendas,viviendas positivas,2024-05-01,8,8
TACACHI,chagas viviendas,viviendas positivas,2024-05-01,1,1
TARABUCO,chagas viviendas,viviendas positivas,2024-05-01,12,12
TARIJA,chagas viviendas,viviendas positivas,2024-05-01,2,2
TOCO,chagas viviendas,viviendas positivas,2024-05-01,2,2
TOTORA(CBBA),chagas viviendas,viviendas positivas,2024-05-01,7,7
TUPIZA,chagas viviendas,viviendas positivas,2024-05-01,4,4
URIONDO (A. CONCEPCION),chagas viviendas,viviendas positivas,2024-05-01,2,2
VALLEGRANDE,chagas viviendas,viviendas positivas,2024-05-01,3,3
VILA VILA,chagas viviendas,viviendas positivas,2024-05-01,6,6
VILLA MONTES,chagas viviendas,viviendas positivas,2024-05-01,3,3
VILLA RIVERO,chagas viviendas,viviendas positivas,2024-05-01,1,1
VITICHI,chagas viviendas,viviendas positivas,2024-05-01,4,4
ACACIO,chagas viviendas,viviendas positivas,2024-06-01,3,3
AIQUILE,chagas viviendas,viviendas positivas,2024-06-01,24,24
ARAMPAMPA,chagas viviendas,viviendas positivas,2024-06-01,1,1
ARANI,chagas viviendas,viviendas positivas,2024-06-01,3,3
ARBIETO,chagas viviendas,viviendas positivas,2024-06-01,3,3
ARQUE,chagas viviendas,viviendas positivas,2024-06-01,9,9
BETANZOS,chagas viviendas,viviendas positivas,2024-06-01,2,2
"CAIZA ""D""",chagas viviendas,viviendas positivas,2024-06-01,5,5
CAMARGO,chagas viviendas,viviendas positivas,2024-06-01,4,4
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas positivas,2024-06-01,2,2
CAPINOTA,chagas viviendas,viviendas positivas,2024-06-01,3,3
CARAPARI,chagas viviendas,viviendas positivas,2024-06-01,4,4
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,viviendas positivas,2024-06-01,4,4
CKOCHAS,chagas viviendas,viviendas positivas,2024-06-01,2,2
COCHABAMBA,chagas viviendas,viviendas positivas,2024-06-01,8,8
COLCAPIRHUA,chagas viviendas,viviendas positivas,2024-06-01,1,1
COTAGAITA,chagas viviendas,viviendas positivas,2024-06-01,1,1
CUEVO,chagas viviendas,viviendas positivas,2024-06-01,42,42
EL PUENTE(TJA),chagas viviendas,viviendas positivas,2024-06-01,2,2
EL TORNO,chagas viviendas,viviendas positivas,2024-06-01,3,3
HUACARETA,chagas viviendas,viviendas positivas,2024-06-01,1,1
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas positivas,2024-06-01,23,23
LA ASUNTA,chagas viviendas,viviendas positivas,2024-06-01,10,10
LURIBAY,chagas viviendas,viviendas positivas,2024-06-01,15,15
MACHARETI,chagas viviendas,viviendas positivas,2024-06-01,143,143
MAIRANA,chagas viviendas,viviendas positivas,2024-06-01,2,2
OMEREQUE,chagas viviendas,viviendas positivas,2024-06-01,1,1
PADCAYA,chagas viviendas,viviendas positivas,2024-06-01,1,1
PAMPA GRANDE,chagas viviendas,viviendas positivas,2024-06-01,2,2
POCOATA,chagas viviendas,viviendas positivas,2024-06-01,6,6
POJO (CBBA),chagas viviendas,viviendas positivas,2024-06-01,1,1
PRESTO,chagas viviendas,viviendas positivas,2024-06-01,11,11
PUCARA,chagas viviendas,viviendas positivas,2024-06-01,1,1
PUNA,chagas viviendas,viviendas positivas,2024-06-01,7,7
PUNATA,chagas viviendas,viviendas positivas,2024-06-01,3,3
RAQAYPAMPA(ETA),chagas viviendas,viviendas positivas,2024-06-01,16,16
SACABA,chagas viviendas,viviendas positivas,2024-06-01,4,4
SAN BENITO,chagas viviendas,viviendas positivas,2024-06-01,3,3
SAN LUCAS,chagas viviendas,viviendas positivas,2024-06-01,6,6
SANTIVAÑES,chagas viviendas,viviendas positivas,2024-06-01,7,7
SICAYA,chagas viviendas,viviendas positivas,2024-06-01,1,1
SIPE SIPE,chagas viviendas,viviendas positivas,2024-06-01,5,5
TACACHI,chagas viviendas,viviendas positivas,2024-06-01,3,3
TARABUCO,chagas viviendas,viviendas positivas,2024-06-01,20,20
TARIJA,chagas viviendas,viviendas positivas,2024-06-01,16,16
TOCO,chagas viviendas,viviendas positivas,2024-06-01,1,1
TORO TORO,chagas viviendas,viviendas positivas,2024-06-01,4,4
TUPIZA,chagas viviendas,viviendas positivas,2024-06-01,4,4
VALLEGRANDE,chagas viviendas,viviendas positivas,2024-06-01,1,1
VILA VILA,chagas viviendas,viviendas positivas,2024-06-01,19,19
VILLA MONTES,chagas viviendas,viviendas positivas,2024-06-01,2,2
VILLA SERRANO,chagas viviendas,viviendas positivas,2024-06-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,viviendas positivas,2024-06-01,24,24
YAMPARAEZ,chagas viviendas,viviendas positivas,2024-06-01,2,2
YOTALA,chagas viviendas,viviendas positivas,2024-06-01,1,1
ZUDAÑEZ,chagas viviendas,viviendas positivas,2024-06-01,2,2
ACACIO,chagas viviendas,viviendas positivas,2024-07-01,1,1
AIQUILE,chagas viviendas,viviendas positivas,2024-07-01,12,12
ALCALA,chagas viviendas,viviendas positivas,2024-07-01,1,1
ANZALDO,chagas viviendas,viviendas positivas,2024-07-01,6,6
ARAMPAMPA,chagas viviendas,viviendas positivas,2024-07-01,3,3
ARANI,chagas viviendas,viviendas positivas,2024-07-01,1,1
ARBIETO,chagas viviendas,viviendas positivas,2024-07-01,6,6
BETANZOS,chagas viviendas,viviendas positivas,2024-07-01,16,16
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas positivas,2024-07-01,3,3
CAPINOTA,chagas viviendas,viviendas positivas,2024-07-01,18,18
CARAPARI,chagas viviendas,viviendas positivas,2024-07-01,4,4
CKOCHAS,chagas viviendas,viviendas positivas,2024-07-01,42,42
CLIZA,chagas viviendas,viviendas positivas,2024-07-01,2,2
COCHABAMBA,chagas viviendas,viviendas positivas,2024-07-01,13,13
COLCAPIRHUA,chagas viviendas,viviendas positivas,2024-07-01,2,2
EL PUENTE(TJA),chagas viviendas,viviendas positivas,2024-07-01,10,10
EL TORNO,chagas viviendas,viviendas positivas,2024-07-01,4,4
ENTRE RIOS TRJ,chagas viviendas,viviendas positivas,2024-07-01,3,3
GAIOC JATUN AYLLU YURA,chagas viviendas,viviendas positivas,2024-07-01,2,2
HUACARETA,chagas viviendas,viviendas positivas,2024-07-01,1,1
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas positivas,2024-07-01,7,7
LAS CARRERAS,chagas viviendas,viviendas positivas,2024-07-01,12,12
LURIBAY,chagas viviendas,viviendas positivas,2024-07-01,3,3
MIZQUE,chagas viviendas,viviendas positivas,2024-07-01,5,5
MOJOCOYA,chagas viviendas,viviendas positivas,2024-07-01,15,15
OMEREQUE,chagas viviendas,viviendas positivas,2024-07-01,8,8
PADILLA,chagas viviendas,viviendas positivas,2024-07-01,3,3
PAMPA GRANDE,chagas viviendas,viviendas positivas,2024-07-01,2,2
PASORAPA,chagas viviendas,viviendas positivas,2024-07-01,2,2
POJO (CBBA),chagas viviendas,viviendas positivas,2024-07-01,3,3
POROMA,chagas viviendas,viviendas positivas,2024-07-01,15,15
PUNA,chagas viviendas,viviendas positivas,2024-07-01,6,6
PUNATA,chagas viviendas,viviendas positivas,2024-07-01,4,4
RAVELO,chagas viviendas,viviendas positivas,2024-07-01,10,10
SACABA,chagas viviendas,viviendas positivas,2024-07-01,2,2
SAN BENITO,chagas viviendas,viviendas positivas,2024-07-01,2,2
SAN LORENZO(TJA),chagas viviendas,viviendas positivas,2024-07-01,1,1
SAN LUCAS,chagas viviendas,viviendas positivas,2024-07-01,7,7
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas positivas,2024-07-01,36,36
SANTIVAÑES,chagas viviendas,viviendas positivas,2024-07-01,6,6
SICAYA,chagas viviendas,viviendas positivas,2024-07-01,3,3
SIPE SIPE,chagas viviendas,viviendas positivas,2024-07-01,15,15
SUCRE,chagas viviendas,viviendas positivas,2024-07-01,7,7
TACACHI,chagas viviendas,viviendas positivas,2024-07-01,3,3
TAPACARI,chagas viviendas,viviendas positivas,2024-07-01,1,1
TARABUCO,chagas viviendas,viviendas positivas,2024-07-01,12,12
TARATA,chagas viviendas,viviendas positivas,2024-07-01,2,2
TARIJA,chagas viviendas,viviendas positivas,2024-07-01,7,7
TORO TORO,chagas viviendas,viviendas positivas,2024-07-01,16,16
TOTORA(CBBA),chagas viviendas,viviendas positivas,2024-07-01,2,2
TUPIZA,chagas viviendas,viviendas positivas,2024-07-01,1,1
VILLA MONTES,chagas viviendas,viviendas positivas,2024-07-01,3,3
VILLA RIVERO,chagas viviendas,viviendas positivas,2024-07-01,1,1
VITICHI,chagas viviendas,viviendas positivas,2024-07-01,19,19
YAMPARAEZ,chagas viviendas,viviendas positivas,2024-07-01,17,17
ACACIO,chagas viviendas,viviendas positivas,2024-08-01,2,2
AIQUILE,chagas viviendas,viviendas positivas,2024-08-01,6,6
ANZALDO,chagas viviendas,viviendas positivas,2024-08-01,8,8
ARANI,chagas viviendas,viviendas positivas,2024-08-01,5,5
AZURDUY,chagas viviendas,viviendas positivas,2024-08-01,1,1
BETANZOS,chagas viviendas,viviendas positivas,2024-08-01,25,25
"CAIZA ""D""",chagas viviendas,viviendas positivas,2024-08-01,1,1
CAMARGO,chagas viviendas,viviendas positivas,2024-08-01,4,4
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas positivas,2024-08-01,5,5
CAPINOTA,chagas viviendas,viviendas positivas,2024-08-01,5,5
CARAPARI,chagas viviendas,viviendas positivas,2024-08-01,2,2
CKOCHAS,chagas viviendas,viviendas positivas,2024-08-01,7,7
CLIZA,chagas viviendas,viviendas positivas,2024-08-01,1,1
COCHABAMBA,chagas viviendas,viviendas positivas,2024-08-01,16,16
COLCAPIRHUA,chagas viviendas,viviendas positivas,2024-08-01,4,4
COTAGAITA,chagas viviendas,viviendas positivas,2024-08-01,14,14
EL TORNO,chagas viviendas,viviendas positivas,2024-08-01,1,1
ENTRE RIOS TRJ,chagas viviendas,viviendas positivas,2024-08-01,7,7
GAIOC JATUN AYLLU YURA,chagas viviendas,viviendas positivas,2024-08-01,1,1
HUACARETA,chagas viviendas,viviendas positivas,2024-08-01,12,12
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas positivas,2024-08-01,7,7
LA ASUNTA,chagas viviendas,viviendas positivas,2024-08-01,2,2
LAS CARRERAS,chagas viviendas,viviendas positivas,2024-08-01,10,10
LURIBAY,chagas viviendas,viviendas positivas,2024-08-01,19,19
MIZQUE,chagas viviendas,viviendas positivas,2024-08-01,1,1
OMEREQUE,chagas viviendas,viviendas positivas,2024-08-01,3,3
PAMPA GRANDE,chagas viviendas,viviendas positivas,2024-08-01,1,1
POCONA,chagas viviendas,viviendas positivas,2024-08-01,3,3
POROMA,chagas viviendas,viviendas positivas,2024-08-01,63,63
PUNA,chagas viviendas,viviendas positivas,2024-08-01,11,11
PUNATA,chagas viviendas,viviendas positivas,2024-08-01,2,2
SACABA,chagas viviendas,viviendas positivas,2024-08-01,4,4
SAN BENITO,chagas viviendas,viviendas positivas,2024-08-01,2,2
SAN LORENZO(TJA),chagas viviendas,viviendas positivas,2024-08-01,1,1
SAN LUCAS,chagas viviendas,viviendas positivas,2024-08-01,7,7
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas positivas,2024-08-01,6,6
SAPAHAQUI,chagas viviendas,viviendas positivas,2024-08-01,17,17
SIPE SIPE,chagas viviendas,viviendas positivas,2024-08-01,20,20
SUCRE,chagas viviendas,viviendas positivas,2024-08-01,4,4
TARABUCO,chagas viviendas,viviendas positivas,2024-08-01,7,7
TARIJA,chagas viviendas,viviendas positivas,2024-08-01,7,7
TORO TORO,chagas viviendas,viviendas positivas,2024-08-01,12,12
TOTORA(CBBA),chagas viviendas,viviendas positivas,2024-08-01,6,6
TUPIZA,chagas viviendas,viviendas positivas,2024-08-01,3,3
URIONDO (A. CONCEPCION),chagas viviendas,viviendas positivas,2024-08-01,2,2
VALLEGRANDE,chagas viviendas,viviendas positivas,2024-08-01,2,2
VILLA MONTES,chagas viviendas,viviendas positivas,2024-08-01,11,11
VILLA SERRANO,chagas viviendas,viviendas positivas,2024-08-01,9,9
VINTO,chagas viviendas,viviendas positivas,2024-08-01,1,1
VITICHI,chagas viviendas,viviendas positivas,2024-08-01,9,9
ACACIO,chagas viviendas,viviendas positivas,2024-09-01,2,2
AIQUILE,chagas viviendas,viviendas positivas,2024-09-01,13,13
ARAMPAMPA,chagas viviendas,viviendas positivas,2024-09-01,1,1
ARANI,chagas viviendas,viviendas positivas,2024-09-01,4,4
ARBIETO,chagas viviendas,viviendas positivas,2024-09-01,5,5
ARQUE,chagas viviendas,viviendas positivas,2024-09-01,3,3
BETANZOS,chagas viviendas,viviendas positivas,2024-09-01,2,2
CAMARGO,chagas viviendas,viviendas positivas,2024-09-01,1,1
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas positivas,2024-09-01,4,4
CAPINOTA,chagas viviendas,viviendas positivas,2024-09-01,4,4
CARAPARI,chagas viviendas,viviendas positivas,2024-09-01,4,4
CKOCHAS,chagas viviendas,viviendas positivas,2024-09-01,5,5
CLIZA,chagas viviendas,viviendas positivas,2024-09-01,1,1
COCHABAMBA,chagas viviendas,viviendas positivas,2024-09-01,21,21
COLCAPIRHUA,chagas viviendas,viviendas positivas,2024-09-01,1,1
COTAGAITA,chagas viviendas,viviendas positivas,2024-09-01,2,2
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas positivas,2024-09-01,1,1
EL PUENTE(TJA),chagas viviendas,viviendas positivas,2024-09-01,3,3
EL TORNO,chagas viviendas,viviendas positivas,2024-09-01,2,2
ENTRE RIOS TRJ,chagas viviendas,viviendas positivas,2024-09-01,1,1
GAIOC JATUN AYLLU YURA,chagas viviendas,viviendas positivas,2024-09-01,1,1
HUACARETA,chagas viviendas,viviendas positivas,2024-09-01,15,15
LA GUARDIA,chagas viviendas,viviendas positivas,2024-09-01,6,6
LAS CARRERAS,chagas viviendas,viviendas positivas,2024-09-01,7,7
MIZQUE,chagas viviendas,viviendas positivas,2024-09-01,11,11
MOJOCOYA,chagas viviendas,viviendas positivas,2024-09-01,2,2
MONTEAGUDO,chagas viviendas,viviendas positivas,2024-09-01,37,37
OMEREQUE,chagas viviendas,viviendas positivas,2024-09-01,4,4
PAMPA GRANDE,chagas viviendas,viviendas positivas,2024-09-01,1,1
PASORAPA,chagas viviendas,viviendas positivas,2024-09-01,2,2
PRESTO,chagas viviendas,viviendas positivas,2024-09-01,4,4
PUNA,chagas viviendas,viviendas positivas,2024-09-01,4,4
PUNATA,chagas viviendas,viviendas positivas,2024-09-01,3,3
QUILLACOLLO,chagas viviendas,viviendas positivas,2024-09-01,1,1
SACABA,chagas viviendas,viviendas positivas,2024-09-01,1,1
SAN LORENZO(TJA),chagas viviendas,viviendas positivas,2024-09-01,7,7
SAN LUCAS,chagas viviendas,viviendas positivas,2024-09-01,12,12
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas positivas,2024-09-01,18,18
SANTIVAÑES,chagas viviendas,viviendas positivas,2024-09-01,3,3
SICAYA,chagas viviendas,viviendas positivas,2024-09-01,2,2
SIPE SIPE,chagas viviendas,viviendas positivas,2024-09-01,11,11
TACOBAMBA,chagas viviendas,viviendas positivas,2024-09-01,3,3
TARATA,chagas viviendas,viviendas positivas,2024-09-01,5,5
TARIJA,chagas viviendas,viviendas positivas,2024-09-01,2,2
TORO TORO,chagas viviendas,viviendas positivas,2024-09-01,10,10
TOTORA(CBBA),chagas viviendas,viviendas positivas,2024-09-01,6,6
TUPIZA,chagas viviendas,viviendas positivas,2024-09-01,7,7
URIONDO (A. CONCEPCION),chagas viviendas,viviendas positivas,2024-09-01,1,1
