municipality,group,variable,month,6. Viviendas Evaluadas,TOTAL
YAMPARAEZ,chagas viviendas,viviendas evaluadas,2024-01-01,85,85
YUNCHARA,chagas viviendas,viviendas evaluadas,2024-01-01,147,147
ZUDAÑEZ,chagas viviendas,viviendas evaluadas,2024-01-01,20,20
ACACIO,chagas viviendas,viviendas evaluadas,2024-02-01,183,183
AIQUILE,chagas viviendas,viviendas evaluadas,2024-02-01,648,648
ANZALDO,chagas viviendas,viviendas evaluadas,2024-02-01,252,252
ARAMPAMPA,chagas viviendas,viviendas evaluadas,2024-02-01,98,98
ARANI,chagas viviendas,viviendas evaluadas,2024-02-01,270,270
ARBIETO,chagas viviendas,viviendas evaluadas,2024-02-01,115,115
ARQUE,chagas viviendas,viviendas evaluadas,2024-02-01,17,17
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas evaluadas,2024-02-01,147,147
CAPINOTA,chagas viviendas,viviendas evaluadas,2024-02-01,83,83
CARAPARI,chagas viviendas,viviendas evaluadas,2024-02-01,87,87
CLIZA,chagas viviendas,viviendas evaluadas,2024-02-01,177,177
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2024-02-01,304,304
CULPINA,chagas viviendas,viviendas evaluadas,2024-02-01,202,202
EL TORNO,chagas viviendas,viviendas evaluadas,2024-02-01,11,11
EL VILLAR,chagas viviendas,viviendas evaluadas,2024-02-01,56,56
ICLA,chagas viviendas,viviendas evaluadas,2024-02-01,231,231
LAS CARRERAS,chagas viviendas,viviendas evaluadas,2024-02-01,159,159
MAIRANA,chagas viviendas,viviendas evaluadas,2024-02-01,144,144
MIZQUE,chagas viviendas,viviendas evaluadas,2024-02-01,643,643
MOJINETE,chagas viviendas,viviendas evaluadas,2024-02-01,1,1
OMEREQUE,chagas viviendas,viviendas evaluadas,2024-02-01,63,63
PADCAYA,chagas viviendas,viviendas evaluadas,2024-02-01,37,37
PADILLA,chagas viviendas,viviendas evaluadas,2024-02-01,55,55
PAMPA GRANDE,chagas viviendas,viviendas evaluadas,2024-02-01,57,57
PASORAPA,chagas viviendas,viviendas evaluadas,2024-02-01,9,9
POCOATA,chagas viviendas,viviendas evaluadas,2024-02-01,427,427
POCONA,chagas viviendas,viviendas evaluadas,2024-02-01,275,275
POJO (CBBA),chagas viviendas,viviendas evaluadas,2024-02-01,312,312
PUCARA,chagas viviendas,viviendas evaluadas,2024-02-01,39,39
PUNATA,chagas viviendas,viviendas evaluadas,2024-02-01,274,274
QUILLACOLLO,chagas viviendas,viviendas evaluadas,2024-02-01,399,399
QUIRUSILLAS,chagas viviendas,viviendas evaluadas,2024-02-01,48,48
SACABA,chagas viviendas,viviendas evaluadas,2024-02-01,988,988
SAN BENITO,chagas viviendas,viviendas evaluadas,2024-02-01,314,314
SAN LORENZO(TJA),chagas viviendas,viviendas evaluadas,2024-02-01,54,54
SANTIVAÑES,chagas viviendas,viviendas evaluadas,2024-02-01,210,210
SIPE SIPE,chagas viviendas,viviendas evaluadas,2024-02-01,154,154
TACACHI,chagas viviendas,viviendas evaluadas,2024-02-01,172,172
TAPACARI,chagas viviendas,viviendas evaluadas,2024-02-01,65,65
TARATA,chagas viviendas,viviendas evaluadas,2024-02-01,75,75
TIQUIPAYA,chagas viviendas,viviendas evaluadas,2024-02-01,296,296
TOCO,chagas viviendas,viviendas evaluadas,2024-02-01,107,107
TOLATA,chagas viviendas,viviendas evaluadas,2024-02-01,88,88
TORO TORO,chagas viviendas,viviendas evaluadas,2024-02-01,169,169
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2024-02-01,289,289
TUPIZA,chagas viviendas,viviendas evaluadas,2024-02-01,724,724
URIONDO (A. CONCEPCION),chagas viviendas,viviendas evaluadas,2024-02-01,70,70
VALLEGRANDE,chagas viviendas,viviendas evaluadas,2024-02-01,205,205
VILA VILA,chagas viviendas,viviendas evaluadas,2024-02-01,200,200
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2024-02-01,303,303
VILLA SERRANO,chagas viviendas,viviendas evaluadas,2024-02-01,216,216
VINTO,chagas viviendas,viviendas evaluadas,2024-02-01,320,320
VITICHI,chagas viviendas,viviendas evaluadas,2024-02-01,236,236
YACUIBA,chagas viviendas,viviendas evaluadas,2024-02-01,16,16
YAMPARAEZ,chagas viviendas,viviendas evaluadas,2024-02-01,366,366
YOTALA,chagas viviendas,viviendas evaluadas,2024-02-01,113,113
YUNCHARA,chagas viviendas,viviendas evaluadas,2024-02-01,69,69
ACACIO,chagas viviendas,viviendas evaluadas,2024-03-01,274,274
AIQUILE,chagas viviendas,viviendas evaluadas,2024-03-01,715,715
ANZALDO,chagas viviendas,viviendas evaluadas,2024-03-01,221,221
ARAMPAMPA,chagas viviendas,viviendas evaluadas,2024-03-01,140,140
ARANI,chagas viviendas,viviendas evaluadas,2024-03-01,316,316
ARBIETO,chagas viviendas,viviendas evaluadas,2024-03-01,181,181
ARQUE,chagas viviendas,viviendas evaluadas,2024-03-01,44,44
BETANZOS,chagas viviendas,viviendas evaluadas,2024-03-01,230,230
CAMARGO,chagas viviendas,viviendas evaluadas,2024-03-01,121,121
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas evaluadas,2024-03-01,72,72
CAPINOTA,chagas viviendas,viviendas evaluadas,2024-03-01,215,215
CKOCHAS,chagas viviendas,viviendas evaluadas,2024-03-01,189,189
CLIZA,chagas viviendas,viviendas evaluadas,2024-03-01,210,210
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2024-03-01,386,386
COTAGAITA,chagas viviendas,viviendas evaluadas,2024-03-01,608,608
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2024-03-01,149,149
CULPINA,chagas viviendas,viviendas evaluadas,2024-03-01,145,145
EL PUENTE(TJA),chagas viviendas,viviendas evaluadas,2024-03-01,31,31
EL TORNO,chagas viviendas,viviendas evaluadas,2024-03-01,79,79
EL VILLAR,chagas viviendas,viviendas evaluadas,2024-03-01,85,85
ENTRE RIOS TRJ,chagas viviendas,viviendas evaluadas,2024-03-01,87,87
GAIOC JATUN AYLLU YURA,chagas viviendas,viviendas evaluadas,2024-03-01,261,261
HUACARETA,chagas viviendas,viviendas evaluadas,2024-03-01,579,579
MIZQUE,chagas viviendas,viviendas evaluadas,2024-03-01,276,276
OCURI,chagas viviendas,viviendas evaluadas,2024-03-01,85,85
OMEREQUE,chagas viviendas,viviendas evaluadas,2024-03-01,134,134
PADCAYA,chagas viviendas,viviendas evaluadas,2024-03-01,144,144
PADILLA,chagas viviendas,viviendas evaluadas,2024-03-01,162,162
PAMPA GRANDE,chagas viviendas,viviendas evaluadas,2024-03-01,21,21
PASORAPA,chagas viviendas,viviendas evaluadas,2024-03-01,14,14
POCOATA,chagas viviendas,viviendas evaluadas,2024-03-01,141,141
POCONA,chagas viviendas,viviendas evaluadas,2024-03-01,293,293
POJO (CBBA),chagas viviendas,viviendas evaluadas,2024-03-01,343,343
PUNATA,chagas viviendas,viviendas evaluadas,2024-03-01,323,323
QUILLACOLLO,chagas viviendas,viviendas evaluadas,2024-03-01,592,592
QUIRUSILLAS,chagas viviendas,viviendas evaluadas,2024-03-01,19,19
RAVELO,chagas viviendas,viviendas evaluadas,2024-03-01,144,144
SAN BENITO,chagas viviendas,viviendas evaluadas,2024-03-01,365,365
SAN LORENZO(TJA),chagas viviendas,viviendas evaluadas,2024-03-01,215,215
SAN LUCAS,chagas viviendas,viviendas evaluadas,2024-03-01,46,46
SANTIVAÑES,chagas viviendas,viviendas evaluadas,2024-03-01,256,256
SIPE SIPE,chagas viviendas,viviendas evaluadas,2024-03-01,263,263
TACACHI,chagas viviendas,viviendas evaluadas,2024-03-01,19,19
TACOPAYA,chagas viviendas,viviendas evaluadas,2024-03-01,187,187
TAPACARI,chagas viviendas,viviendas evaluadas,2024-03-01,142,142
TARATA,chagas viviendas,viviendas evaluadas,2024-03-01,199,199
TIQUIPAYA,chagas viviendas,viviendas evaluadas,2024-03-01,318,318
TOCO,chagas viviendas,viviendas evaluadas,2024-03-01,140,140
TOLATA,chagas viviendas,viviendas evaluadas,2024-03-01,70,70
TORO TORO,chagas viviendas,viviendas evaluadas,2024-03-01,134,134
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2024-03-01,256,256
TUPIZA,chagas viviendas,viviendas evaluadas,2024-03-01,898,898
URIONDO (A. CONCEPCION),chagas viviendas,viviendas evaluadas,2024-03-01,226,226
VALLEGRANDE,chagas viviendas,viviendas evaluadas,2024-03-01,105,105
VILA VILA,chagas viviendas,viviendas evaluadas,2024-03-01,192,192
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2024-03-01,320,320
VILLA SERRANO,chagas viviendas,viviendas evaluadas,2024-03-01,500,500
VINTO,chagas viviendas,viviendas evaluadas,2024-03-01,246,246
VITICHI,chagas viviendas,viviendas evaluadas,2024-03-01,298,298
YAMPARAEZ,chagas viviendas,viviendas evaluadas,2024-03-01,282,282
YUNCHARA,chagas viviendas,viviendas evaluadas,2024-03-01,163,163
ACACIO,chagas viviendas,viviendas evaluadas,2024-04-01,239,239
AIQUILE,chagas viviendas,viviendas evaluadas,2024-04-01,61,61
ANZALDO,chagas viviendas,viviendas evaluadas,2024-04-01,128,128
ARAMPAMPA,chagas viviendas,viviendas evaluadas,2024-04-01,106,106
ARANI,chagas viviendas,viviendas evaluadas,2024-04-01,324,324
ARBIETO,chagas viviendas,viviendas evaluadas,2024-04-01,140,140
ARQUE,chagas viviendas,viviendas evaluadas,2024-04-01,37,37
BETANZOS,chagas viviendas,viviendas evaluadas,2024-04-01,510,510
"CAIZA ""D""",chagas viviendas,viviendas evaluadas,2024-04-01,239,239
CAMARGO,chagas viviendas,viviendas evaluadas,2024-04-01,189,189
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas evaluadas,2024-04-01,109,109
CARAPARI,chagas viviendas,viviendas evaluadas,2024-04-01,284,284
CLIZA,chagas viviendas,viviendas evaluadas,2024-04-01,237,237
COCHABAMBA,chagas viviendas,viviendas evaluadas,2024-04-01,1837,1837
COROICO,chagas viviendas,viviendas evaluadas,2024-04-01,1522,1522
COTAGAITA,chagas viviendas,viviendas evaluadas,2024-04-01,120,120
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2024-04-01,286,286
CUEVO,chagas viviendas,viviendas evaluadas,2024-04-01,20,20
CULPINA,chagas viviendas,viviendas evaluadas,2024-04-01,67,67
EL PUENTE(TJA),chagas viviendas,viviendas evaluadas,2024-04-01,178,178
EL TORNO,chagas viviendas,viviendas evaluadas,2024-04-01,17,17
EL VILLAR,chagas viviendas,viviendas evaluadas,2024-04-01,214,214
ENTRE RIOS TRJ,chagas viviendas,viviendas evaluadas,2024-04-01,104,104
GAIOC JATUN AYLLU YURA,chagas viviendas,viviendas evaluadas,2024-04-01,292,292
ICLA,chagas viviendas,viviendas evaluadas,2024-04-01,69,69
OCURI,chagas viviendas,viviendas evaluadas,2024-04-01,179,179
OMEREQUE,chagas viviendas,viviendas evaluadas,2024-04-01,353,353
PADCAYA,chagas viviendas,viviendas evaluadas,2024-04-01,115,115
PAMPA GRANDE,chagas viviendas,viviendas evaluadas,2024-04-01,53,53
PASORAPA,chagas viviendas,viviendas evaluadas,2024-04-01,60,60
POCOATA,chagas viviendas,viviendas evaluadas,2024-04-01,101,101
POCONA,chagas viviendas,viviendas evaluadas,2024-04-01,286,286
POJO (CBBA),chagas viviendas,viviendas evaluadas,2024-04-01,297,297
PRESTO,chagas viviendas,viviendas evaluadas,2024-04-01,148,148
PUCARA,chagas viviendas,viviendas evaluadas,2024-04-01,27,27
PUNA,chagas viviendas,viviendas evaluadas,2024-04-01,267,267
PUNATA,chagas viviendas,viviendas evaluadas,2024-04-01,398,398
QUILLACOLLO,chagas viviendas,viviendas evaluadas,2024-04-01,685,685
QUIRUSILLAS,chagas viviendas,viviendas evaluadas,2024-04-01,75,75
RAVELO,chagas viviendas,viviendas evaluadas,2024-04-01,146,146
SACABA,chagas viviendas,viviendas evaluadas,2024-04-01,1283,1283
SAN BENITO,chagas viviendas,viviendas evaluadas,2024-04-01,397,397
SAN LORENZO(TJA),chagas viviendas,viviendas evaluadas,2024-04-01,251,251
SAN LUCAS,chagas viviendas,viviendas evaluadas,2024-04-01,168,168
SANTIVAÑES,chagas viviendas,viviendas evaluadas,2024-04-01,303,303
SIPE SIPE,chagas viviendas,viviendas evaluadas,2024-04-01,94,94
SOPACHUY,chagas viviendas,viviendas evaluadas,2024-04-01,124,124
TACACHI,chagas viviendas,viviendas evaluadas,2024-04-01,171,171
TACOPAYA,chagas viviendas,viviendas evaluadas,2024-04-01,229,229
TAPACARI,chagas viviendas,viviendas evaluadas,2024-04-01,140,140
TARATA,chagas viviendas,viviendas evaluadas,2024-04-01,135,135
TINGUIPAYA,chagas viviendas,viviendas evaluadas,2024-04-01,4,4
TIQUIPAYA,chagas viviendas,viviendas evaluadas,2024-04-01,317,317
TOCO,chagas viviendas,viviendas evaluadas,2024-04-01,235,235
TOLATA,chagas viviendas,viviendas evaluadas,2024-04-01,84,84
TOMINA,chagas viviendas,viviendas evaluadas,2024-04-01,212,212
TORO TORO,chagas viviendas,viviendas evaluadas,2024-04-01,156,156
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2024-04-01,340,340
TUPIZA,chagas viviendas,viviendas evaluadas,2024-04-01,903,903
URIONDO (A. CONCEPCION),chagas viviendas,viviendas evaluadas,2024-04-01,212,212
VALLEGRANDE,chagas viviendas,viviendas evaluadas,2024-04-01,215,215
VILA VILA,chagas viviendas,viviendas evaluadas,2024-04-01,165,165
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2024-04-01,349,349
VILLA SERRANO,chagas viviendas,viviendas evaluadas,2024-04-01,485,485
VINTO,chagas viviendas,viviendas evaluadas,2024-04-01,380,380
VITICHI,chagas viviendas,viviendas evaluadas,2024-04-01,255,255
YAMPARAEZ,chagas viviendas,viviendas evaluadas,2024-04-01,129,129
YUNCHARA,chagas viviendas,viviendas evaluadas,2024-04-01,130,130
ZUDAÑEZ,chagas viviendas,viviendas evaluadas,2024-04-01,217,217
ACACIO,chagas viviendas,viviendas evaluadas,2024-05-01,237,237
AIQUILE,chagas viviendas,viviendas evaluadas,2024-05-01,719,719
ALCALA,chagas viviendas,viviendas evaluadas,2024-05-01,255,255
ANZALDO,chagas viviendas,viviendas evaluadas,2024-05-01,168,168
ARAMPAMPA,chagas viviendas,viviendas evaluadas,2024-05-01,130,130
ARANI,chagas viviendas,viviendas evaluadas,2024-05-01,265,265
ARBIETO,chagas viviendas,viviendas evaluadas,2024-05-01,56,56
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas evaluadas,2024-05-01,356,356
BETANZOS,chagas viviendas,viviendas evaluadas,2024-05-01,735,735
"CAIZA ""D""",chagas viviendas,viviendas evaluadas,2024-05-01,324,324
CAMARGO,chagas viviendas,viviendas evaluadas,2024-05-01,54,54
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas evaluadas,2024-05-01,2,2
CAPINOTA,chagas viviendas,viviendas evaluadas,2024-05-01,298,298
CARAPARI,chagas viviendas,viviendas evaluadas,2024-05-01,348,348
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,viviendas evaluadas,2024-05-01,289,289
CKOCHAS,chagas viviendas,viviendas evaluadas,2024-05-01,95,95
CLIZA,chagas viviendas,viviendas evaluadas,2024-05-01,207,207
COCHABAMBA,chagas viviendas,viviendas evaluadas,2024-05-01,603,603
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2024-05-01,392,392
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2024-05-01,292,292
CUEVO,chagas viviendas,viviendas evaluadas,2024-05-01,111,111
CULPINA,chagas viviendas,viviendas evaluadas,2024-05-01,469,469
EL PUENTE(TJA),chagas viviendas,viviendas evaluadas,2024-05-01,52,52
EL TORNO,chagas viviendas,viviendas evaluadas,2024-05-01,8,8
EL VILLAR,chagas viviendas,viviendas evaluadas,2024-05-01,241,241
GAIOC JATUN AYLLU YURA,chagas viviendas,viviendas evaluadas,2024-05-01,219,219
HUACARETA,chagas viviendas,viviendas evaluadas,2024-05-01,395,395
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas evaluadas,2024-05-01,63,63
ICLA,chagas viviendas,viviendas evaluadas,2024-05-01,132,132
LAS CARRERAS,chagas viviendas,viviendas evaluadas,2024-05-01,58,58
LURIBAY,chagas viviendas,viviendas evaluadas,2024-05-01,43,43
MAIRANA,chagas viviendas,viviendas evaluadas,2024-05-01,166,166
MIZQUE,chagas viviendas,viviendas evaluadas,2024-05-01,316,316
MOJOCOYA,chagas viviendas,viviendas evaluadas,2024-05-01,43,43
OMEREQUE,chagas viviendas,viviendas evaluadas,2024-05-01,50,50
PADILLA,chagas viviendas,viviendas evaluadas,2024-05-01,56,56
PALCA,chagas viviendas,viviendas evaluadas,2024-05-01,326,326
PAMPA GRANDE,chagas viviendas,viviendas evaluadas,2024-05-01,72,72
PASORAPA,chagas viviendas,viviendas evaluadas,2024-05-01,156,156
POCOATA,chagas viviendas,viviendas evaluadas,2024-05-01,124,124
POCONA,chagas viviendas,viviendas evaluadas,2024-05-01,261,261
POJO (CBBA),chagas viviendas,viviendas evaluadas,2024-05-01,326,326
PRESTO,chagas viviendas,viviendas evaluadas,2024-05-01,53,53
PUNA,chagas viviendas,viviendas evaluadas,2024-05-01,182,182
PUNATA,chagas viviendas,viviendas evaluadas,2024-05-01,420,420
QUILLACOLLO,chagas viviendas,viviendas evaluadas,2024-05-01,703,703
QUIRUSILLAS,chagas viviendas,viviendas evaluadas,2024-05-01,29,29
RAVELO,chagas viviendas,viviendas evaluadas,2024-05-01,164,164
SACABA,chagas viviendas,viviendas evaluadas,2024-05-01,1369,1369
SAMAIPATA,chagas viviendas,viviendas evaluadas,2024-05-01,32,32
SAN BENITO,chagas viviendas,viviendas evaluadas,2024-05-01,467,467
SAN LORENZO(TJA),chagas viviendas,viviendas evaluadas,2024-05-01,203,203
SAN LUCAS,chagas viviendas,viviendas evaluadas,2024-05-01,228,228
SANTIVAÑES,chagas viviendas,viviendas evaluadas,2024-05-01,239,239
SAPAHAQUI,chagas viviendas,viviendas evaluadas,2024-05-01,504,504
SICAYA,chagas viviendas,viviendas evaluadas,2024-05-01,60,60
SIPE SIPE,chagas viviendas,viviendas evaluadas,2024-05-01,419,419
SOPACHUY,chagas viviendas,viviendas evaluadas,2024-05-01,201,201
TACACHI,chagas viviendas,viviendas evaluadas,2024-05-01,176,176
TACOPAYA,chagas viviendas,viviendas evaluadas,2024-05-01,240,240
TAPACARI,chagas viviendas,viviendas evaluadas,2024-05-01,566,566
TARABUCO,chagas viviendas,viviendas evaluadas,2024-05-01,77,77
TARATA,chagas viviendas,viviendas evaluadas,2024-05-01,193,193
TARIJA,chagas viviendas,viviendas evaluadas,2024-05-01,79,79
TIQUIPAYA,chagas viviendas,viviendas evaluadas,2024-05-01,331,331
TOCO,chagas viviendas,viviendas evaluadas,2024-05-01,208,208
TOLATA,chagas viviendas,viviendas evaluadas,2024-05-01,154,154
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2024-05-01,329,329
TUPIZA,chagas viviendas,viviendas evaluadas,2024-05-01,423,423
URIONDO (A. CONCEPCION),chagas viviendas,viviendas evaluadas,2024-05-01,269,269
VALLEGRANDE,chagas viviendas,viviendas evaluadas,2024-05-01,255,255
VILA VILA,chagas viviendas,viviendas evaluadas,2024-05-01,218,218
VILLA MONTES,chagas viviendas,viviendas evaluadas,2024-05-01,572,572
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2024-05-01,328,328
VILLA SERRANO,chagas viviendas,viviendas evaluadas,2024-05-01,473,473
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,viviendas evaluadas,2024-05-01,48,48
VINTO,chagas viviendas,viviendas evaluadas,2024-05-01,512,512
VITICHI,chagas viviendas,viviendas evaluadas,2024-05-01,269,269
YAMPARAEZ,chagas viviendas,viviendas evaluadas,2024-05-01,190,190
YUNCHARA,chagas viviendas,viviendas evaluadas,2024-05-01,118,118
ZUDAÑEZ,chagas viviendas,viviendas evaluadas,2024-05-01,1,1
ACACIO,chagas viviendas,viviendas evaluadas,2024-06-01,258,258
AIQUILE,chagas viviendas,viviendas evaluadas,2024-06-01,456,456
ALCALA,chagas viviendas,viviendas evaluadas,2024-06-01,156,156
ANZALDO,chagas viviendas,viviendas evaluadas,2024-06-01,79,79
ARAMPAMPA,chagas viviendas,viviendas evaluadas,2024-06-01,91,91
ARANI,chagas viviendas,viviendas evaluadas,2024-06-01,247,247
ARBIETO,chagas viviendas,viviendas evaluadas,2024-06-01,164,164
ARQUE,chagas viviendas,viviendas evaluadas,2024-06-01,11,11
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas evaluadas,2024-06-01,534,534
BETANZOS,chagas viviendas,viviendas evaluadas,2024-06-01,335,335
"CAIZA ""D""",chagas viviendas,viviendas evaluadas,2024-06-01,336,336
CAMARGO,chagas viviendas,viviendas evaluadas,2024-06-01,498,498
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas evaluadas,2024-06-01,129,129
CAPINOTA,chagas viviendas,viviendas evaluadas,2024-06-01,485,485
CARAPARI,chagas viviendas,viviendas evaluadas,2024-06-01,563,563
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,viviendas evaluadas,2024-06-01,607,607
CKOCHAS,chagas viviendas,viviendas evaluadas,2024-06-01,147,147
CLIZA,chagas viviendas,viviendas evaluadas,2024-06-01,213,213
COCHABAMBA,chagas viviendas,viviendas evaluadas,2024-06-01,1952,1952
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2024-06-01,320,320
COTAGAITA,chagas viviendas,viviendas evaluadas,2024-06-01,82,82
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2024-06-01,248,248
EL PUENTE(TJA),chagas viviendas,viviendas evaluadas,2024-06-01,138,138
EL TORNO,chagas viviendas,viviendas evaluadas,2024-06-01,64,64
EL VILLAR,chagas viviendas,viviendas evaluadas,2024-06-01,68,68
GAIOC JATUN AYLLU YURA,chagas viviendas,viviendas evaluadas,2024-06-01,248,248
HUACARETA,chagas viviendas,viviendas evaluadas,2024-06-01,444,444
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas evaluadas,2024-06-01,162,162
LA ASUNTA,chagas viviendas,viviendas evaluadas,2024-06-01,396,396
LURIBAY,chagas viviendas,viviendas evaluadas,2024-06-01,224,224
MACHARETI,chagas viviendas,viviendas evaluadas,2024-06-01,961,961
MAIRANA,chagas viviendas,viviendas evaluadas,2024-06-01,167,167
OMEREQUE,chagas viviendas,viviendas evaluadas,2024-06-01,171,171
PADCAYA,chagas viviendas,viviendas evaluadas,2024-06-01,160,160
PADILLA,chagas viviendas,viviendas evaluadas,2024-06-01,85,85
PAMPA GRANDE,chagas viviendas,viviendas evaluadas,2024-06-01,91,91
PASORAPA,chagas viviendas,viviendas evaluadas,2024-06-01,277,277
POCOATA,chagas viviendas,viviendas evaluadas,2024-06-01,115,115
POCONA,chagas viviendas,viviendas evaluadas,2024-06-01,260,260
POJO (CBBA),chagas viviendas,viviendas evaluadas,2024-06-01,294,294
PRESTO,chagas viviendas,viviendas evaluadas,2024-06-01,53,53
PUCARA,chagas viviendas,viviendas evaluadas,2024-06-01,20,20
PUNA,chagas viviendas,viviendas evaluadas,2024-06-01,315,315
PUNATA,chagas viviendas,viviendas evaluadas,2024-06-01,403,403
QUILLACOLLO,chagas viviendas,viviendas evaluadas,2024-06-01,721,721
QUIRUSILLAS,chagas viviendas,viviendas evaluadas,2024-06-01,16,16
RAQAYPAMPA(ETA),chagas viviendas,viviendas evaluadas,2024-06-01,394,394
SACABA,chagas viviendas,viviendas evaluadas,2024-06-01,877,877
SAMAIPATA,chagas viviendas,viviendas evaluadas,2024-06-01,11,11
SAN BENITO,chagas viviendas,viviendas evaluadas,2024-06-01,294,294
SAN LORENZO(TJA),chagas viviendas,viviendas evaluadas,2024-06-01,211,211
SAN LUCAS,chagas viviendas,viviendas evaluadas,2024-06-01,64,64
SANTIVAÑES,chagas viviendas,viviendas evaluadas,2024-06-01,235,235
SICAYA,chagas viviendas,viviendas evaluadas,2024-06-01,33,33
