municipality,group,variable,month,8. Viviendas Rociadas,TOTAL
"CAIZA ""D""",chagas viviendas,viviendas rociadas,2024-04-01,10,10
CAMARGO,chagas viviendas,viviendas rociadas,2024-04-01,9,9
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas rociadas,2024-04-01,2,2
CAPINOTA,chagas viviendas,viviendas rociadas,2024-04-01,6,6
COCHABAMBA,chagas viviendas,viviendas rociadas,2024-04-01,129,129
COLCAPIRHUA,chagas viviendas,viviendas rociadas,2024-04-01,3,3
COTAGAITA,chagas viviendas,viviendas rociadas,2024-04-01,2,2
CULPINA,chagas viviendas,viviendas rociadas,2024-04-01,59,59
EL PUENTE(TJA),chagas viviendas,viviendas rociadas,2024-04-01,4,4
EL TORNO,chagas viviendas,viviendas rociadas,2024-04-01,12,12
EL VILLAR,chagas viviendas,viviendas rociadas,2024-04-01,3,3
GAIOC JATUN AYLLU YURA,chagas viviendas,viviendas rociadas,2024-04-01,1,1
ICLA,chagas viviendas,viviendas rociadas,2024-04-01,2,2
LAS CARRERAS,chagas viviendas,viviendas rociadas,2024-04-01,16,16
MACHARETI,chagas viviendas,viviendas rociadas,2024-04-01,1,1
MIZQUE,chagas viviendas,viviendas rociadas,2024-04-01,57,57
MOJOCOYA,chagas viviendas,viviendas rociadas,2024-04-01,68,68
PAMPA GRANDE,chagas viviendas,viviendas rociadas,2024-04-01,16,16
PASORAPA,chagas viviendas,viviendas rociadas,2024-04-01,7,7
POCOATA,chagas viviendas,viviendas rociadas,2024-04-01,14,14
POCONA,chagas viviendas,viviendas rociadas,2024-04-01,1,1
POJO (CBBA),chagas viviendas,viviendas rociadas,2024-04-01,4,4
PRESTO,chagas viviendas,viviendas rociadas,2024-04-01,3,3
PUNA,chagas viviendas,viviendas rociadas,2024-04-01,8,8
PUNATA,chagas viviendas,viviendas rociadas,2024-04-01,6,6
QUILLACOLLO,chagas viviendas,viviendas rociadas,2024-04-01,12,12
RAVELO,chagas viviendas,viviendas rociadas,2024-04-01,18,18
SACABA,chagas viviendas,viviendas rociadas,2024-04-01,4,4
SAN BENITO,chagas viviendas,viviendas rociadas,2024-04-01,4,4
SAN LUCAS,chagas viviendas,viviendas rociadas,2024-04-01,42,42
SANTIVAÑES,chagas viviendas,viviendas rociadas,2024-04-01,14,14
SIPE SIPE,chagas viviendas,viviendas rociadas,2024-04-01,41,41
TAPACARI,chagas viviendas,viviendas rociadas,2024-04-01,2,2
TARIJA,chagas viviendas,viviendas rociadas,2024-04-01,3,3
TINGUIPAYA,chagas viviendas,viviendas rociadas,2024-04-01,14,14
TOLATA,chagas viviendas,viviendas rociadas,2024-04-01,1,1
TORO TORO,chagas viviendas,viviendas rociadas,2024-04-01,19,19
TOTORA(CBBA),chagas viviendas,viviendas rociadas,2024-04-01,4,4
TUPIZA,chagas viviendas,viviendas rociadas,2024-04-01,16,16
URIONDO (A. CONCEPCION),chagas viviendas,viviendas rociadas,2024-04-01,4,4
VALLEGRANDE,chagas viviendas,viviendas rociadas,2024-04-01,7,7
VILLA RIVERO,chagas viviendas,viviendas rociadas,2024-04-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,viviendas rociadas,2024-04-01,38,38
VINTO,chagas viviendas,viviendas rociadas,2024-04-01,4,4
YAMPARAEZ,chagas viviendas,viviendas rociadas,2024-04-01,21,21
YOTALA,chagas viviendas,viviendas rociadas,2024-04-01,1,1
ACACIO,chagas viviendas,viviendas rociadas,2024-05-01,4,4
AIQUILE,chagas viviendas,viviendas rociadas,2024-05-01,24,24
ANZALDO,chagas viviendas,viviendas rociadas,2024-05-01,18,18
ARAMPAMPA,chagas viviendas,viviendas rociadas,2024-05-01,9,9
ARANI,chagas viviendas,viviendas rociadas,2024-05-01,8,8
ARBIETO,chagas viviendas,viviendas rociadas,2024-05-01,12,12
ARQUE,chagas viviendas,viviendas rociadas,2024-05-01,39,39
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas rociadas,2024-05-01,17,17
BETANZOS,chagas viviendas,viviendas rociadas,2024-05-01,46,46
"CAIZA ""D""",chagas viviendas,viviendas rociadas,2024-05-01,3,3
CAMARGO,chagas viviendas,viviendas rociadas,2024-05-01,2,2
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas rociadas,2024-05-01,2,2
CAPINOTA,chagas viviendas,viviendas rociadas,2024-05-01,25,25
CARAPARI,chagas viviendas,viviendas rociadas,2024-05-01,18,18
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,viviendas rociadas,2024-05-01,32,32
CKOCHAS,chagas viviendas,viviendas rociadas,2024-05-01,5,5
CLIZA,chagas viviendas,viviendas rociadas,2024-05-01,3,3
COCHABAMBA,chagas viviendas,viviendas rociadas,2024-05-01,53,53
COLCAPIRHUA,chagas viviendas,viviendas rociadas,2024-05-01,2,2
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas rociadas,2024-05-01,2,2
EL PUENTE(TJA),chagas viviendas,viviendas rociadas,2024-05-01,37,37
EL TORNO,chagas viviendas,viviendas rociadas,2024-05-01,4,4
EL VILLAR,chagas viviendas,viviendas rociadas,2024-05-01,3,3
GAIOC JATUN AYLLU YURA,chagas viviendas,viviendas rociadas,2024-05-01,1,1
HUACARETA,chagas viviendas,viviendas rociadas,2024-05-01,3,3
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas rociadas,2024-05-01,17,17
ICLA,chagas viviendas,viviendas rociadas,2024-05-01,8,8
LAS CARRERAS,chagas viviendas,viviendas rociadas,2024-05-01,2,2
MAIRANA,chagas viviendas,viviendas rociadas,2024-05-01,1,1
MIZQUE,chagas viviendas,viviendas rociadas,2024-05-01,63,63
MOJOCOYA,chagas viviendas,viviendas rociadas,2024-05-01,34,34
PALCA,chagas viviendas,viviendas rociadas,2024-05-01,19,19
PAMPA GRANDE,chagas viviendas,viviendas rociadas,2024-05-01,44,44
PASORAPA,chagas viviendas,viviendas rociadas,2024-05-01,16,16
POCOATA,chagas viviendas,viviendas rociadas,2024-05-01,5,5
POCONA,chagas viviendas,viviendas rociadas,2024-05-01,1,1
POJO (CBBA),chagas viviendas,viviendas rociadas,2024-05-01,9,9
PUNA,chagas viviendas,viviendas rociadas,2024-05-01,4,4
PUNATA,chagas viviendas,viviendas rociadas,2024-05-01,2,2
QUILLACOLLO,chagas viviendas,viviendas rociadas,2024-05-01,19,19
RAVELO,chagas viviendas,viviendas rociadas,2024-05-01,8,8
SACABA,chagas viviendas,viviendas rociadas,2024-05-01,4,4
SAN LORENZO(TJA),chagas viviendas,viviendas rociadas,2024-05-01,2,2
SAN LUCAS,chagas viviendas,viviendas rociadas,2024-05-01,20,20
SANTIVAÑES,chagas viviendas,viviendas rociadas,2024-05-01,17,17
SAPAHAQUI,chagas viviendas,viviendas rociadas,2024-05-01,13,13
SICAYA,chagas viviendas,viviendas rociadas,2024-05-01,8,8
SIPE SIPE,chagas viviendas,viviendas rociadas,2024-05-01,34,34
TACACHI,chagas viviendas,viviendas rociadas,2024-05-01,6,6
TAPACARI,chagas viviendas,viviendas rociadas,2024-05-01,2,2
TARIJA,chagas viviendas,viviendas rociadas,2024-05-01,27,27
TINGUIPAYA,chagas viviendas,viviendas rociadas,2024-05-01,6,6
TOCO,chagas viviendas,viviendas rociadas,2024-05-01,3,3
TOLATA,chagas viviendas,viviendas rociadas,2024-05-01,1,1
TOTORA(CBBA),chagas viviendas,viviendas rociadas,2024-05-01,7,7
TUPIZA,chagas viviendas,viviendas rociadas,2024-05-01,4,4
URIONDO (A. CONCEPCION),chagas viviendas,viviendas rociadas,2024-05-01,5,5
VALLEGRANDE,chagas viviendas,viviendas rociadas,2024-05-01,5,5
VILA VILA,chagas viviendas,viviendas rociadas,2024-05-01,17,17
VILLA MONTES,chagas viviendas,viviendas rociadas,2024-05-01,4,4
VILLA RIVERO,chagas viviendas,viviendas rociadas,2024-05-01,3,3
VILLA SERRANO,chagas viviendas,viviendas rociadas,2024-05-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,viviendas rociadas,2024-05-01,30,30
VINTO,chagas viviendas,viviendas rociadas,2024-05-01,2,2
YACUIBA,chagas viviendas,viviendas rociadas,2024-05-01,16,16
YAMPARAEZ,chagas viviendas,viviendas rociadas,2024-05-01,94,94
YOTALA,chagas viviendas,viviendas rociadas,2024-05-01,23,23
ACACIO,chagas viviendas,viviendas rociadas,2024-06-01,6,6
AIQUILE,chagas viviendas,viviendas rociadas,2024-06-01,44,44
ANZALDO,chagas viviendas,viviendas rociadas,2024-06-01,1,1
ARAMPAMPA,chagas viviendas,viviendas rociadas,2024-06-01,2,2
ARANI,chagas viviendas,viviendas rociadas,2024-06-01,5,5
ARBIETO,chagas viviendas,viviendas rociadas,2024-06-01,6,6
ARQUE,chagas viviendas,viviendas rociadas,2024-06-01,13,13
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas rociadas,2024-06-01,17,17
AZURDUY,chagas viviendas,viviendas rociadas,2024-06-01,13,13
BETANZOS,chagas viviendas,viviendas rociadas,2024-06-01,2,2
"CAIZA ""D""",chagas viviendas,viviendas rociadas,2024-06-01,6,6
CAMARGO,chagas viviendas,viviendas rociadas,2024-06-01,8,8
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas rociadas,2024-06-01,3,3
CAPINOTA,chagas viviendas,viviendas rociadas,2024-06-01,16,16
CARAPARI,chagas viviendas,viviendas rociadas,2024-06-01,15,15
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,viviendas rociadas,2024-06-01,13,13
CLIZA,chagas viviendas,viviendas rociadas,2024-06-01,2,2
COCHABAMBA,chagas viviendas,viviendas rociadas,2024-06-01,156,156
COLCAPIRHUA,chagas viviendas,viviendas rociadas,2024-06-01,3,3
COTAGAITA,chagas viviendas,viviendas rociadas,2024-06-01,1,1
CULPINA,chagas viviendas,viviendas rociadas,2024-06-01,70,70
EL PUENTE(TJA),chagas viviendas,viviendas rociadas,2024-06-01,8,8
EL TORNO,chagas viviendas,viviendas rociadas,2024-06-01,59,59
EL VILLAR,chagas viviendas,viviendas rociadas,2024-06-01,1,1
HUACARETA,chagas viviendas,viviendas rociadas,2024-06-01,1,1
LA ASUNTA,chagas viviendas,viviendas rociadas,2024-06-01,141,141
LAS CARRERAS,chagas viviendas,viviendas rociadas,2024-06-01,14,14
MACHARETI,chagas viviendas,viviendas rociadas,2024-06-01,169,169
MAIRANA,chagas viviendas,viviendas rociadas,2024-06-01,3,3
MIZQUE,chagas viviendas,viviendas rociadas,2024-06-01,113,113
OMEREQUE,chagas viviendas,viviendas rociadas,2024-06-01,35,35
PADILLA,chagas viviendas,viviendas rociadas,2024-06-01,2,2
PAMPA GRANDE,chagas viviendas,viviendas rociadas,2024-06-01,25,25
POCOATA,chagas viviendas,viviendas rociadas,2024-06-01,6,6
POJO (CBBA),chagas viviendas,viviendas rociadas,2024-06-01,3,3
PRESTO,chagas viviendas,viviendas rociadas,2024-06-01,11,11
PUCARA,chagas viviendas,viviendas rociadas,2024-06-01,1,1
PUNA,chagas viviendas,viviendas rociadas,2024-06-01,7,7
PUNATA,chagas viviendas,viviendas rociadas,2024-06-01,4,4
QUILLACOLLO,chagas viviendas,viviendas rociadas,2024-06-01,6,6
RAQAYPAMPA(ETA),chagas viviendas,viviendas rociadas,2024-06-01,37,37
SACABA,chagas viviendas,viviendas rociadas,2024-06-01,8,8
SAN BENITO,chagas viviendas,viviendas rociadas,2024-06-01,6,6
SAN LORENZO(TJA),chagas viviendas,viviendas rociadas,2024-06-01,1,1
SAN LUCAS,chagas viviendas,viviendas rociadas,2024-06-01,22,22
SANTIVAÑES,chagas viviendas,viviendas rociadas,2024-06-01,13,13
SICAYA,chagas viviendas,viviendas rociadas,2024-06-01,17,17
SIPE SIPE,chagas viviendas,viviendas rociadas,2024-06-01,26,26
SUCRE,chagas viviendas,viviendas rociadas,2024-06-01,75,75
TACACHI,chagas viviendas,viviendas rociadas,2024-06-01,4,4
TAPACARI,chagas viviendas,viviendas rociadas,2024-06-01,7,7
TARIJA,chagas viviendas,viviendas rociadas,2024-06-01,18,18
TOCO,chagas viviendas,viviendas rociadas,2024-06-01,6,6
TOLATA,chagas viviendas,viviendas rociadas,2024-06-01,2,2
TORO TORO,chagas viviendas,viviendas rociadas,2024-06-01,4,4
TUPIZA,chagas viviendas,viviendas rociadas,2024-06-01,4,4
URIONDO (A. CONCEPCION),chagas viviendas,viviendas rociadas,2024-06-01,10,10
VALLEGRANDE,chagas viviendas,viviendas rociadas,2024-06-01,4,4
VILA VILA,chagas viviendas,viviendas rociadas,2024-06-01,37,37
VILLA MONTES,chagas viviendas,viviendas rociadas,2024-06-01,5,5
VILLA SERRANO,chagas viviendas,viviendas rociadas,2024-06-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,viviendas rociadas,2024-06-01,21,21
VINTO,chagas viviendas,viviendas rociadas,2024-06-01,1,1
YAMPARAEZ,chagas viviendas,viviendas rociadas,2024-06-01,2,2
ACACIO,chagas viviendas,viviendas rociadas,2024-07-01,1,1
AIQUILE,chagas viviendas,viviendas rociadas,2024-07-01,59,59
ALCALA,chagas viviendas,viviendas rociadas,2024-07-01,3,3
ANZALDO,chagas viviendas,viviendas rociadas,2024-07-01,16,16
ARAMPAMPA,chagas viviendas,viviendas rociadas,2024-07-01,6,6
ARANI,chagas viviendas,viviendas rociadas,2024-07-01,4,4
ARBIETO,chagas viviendas,viviendas rociadas,2024-07-01,19,19
ARQUE,chagas viviendas,viviendas rociadas,2024-07-01,8,8
BETANZOS,chagas viviendas,viviendas rociadas,2024-07-01,16,16
CAMARGO,chagas viviendas,viviendas rociadas,2024-07-01,8,8
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas rociadas,2024-07-01,3,3
CAPINOTA,chagas viviendas,viviendas rociadas,2024-07-01,30,30
CARAPARI,chagas viviendas,viviendas rociadas,2024-07-01,2,2
CKOCHAS,chagas viviendas,viviendas rociadas,2024-07-01,43,43
CLIZA,chagas viviendas,viviendas rociadas,2024-07-01,1,1
COCHABAMBA,chagas viviendas,viviendas rociadas,2024-07-01,76,76
COLCAPIRHUA,chagas viviendas,viviendas rociadas,2024-07-01,4,4
EL PUENTE(TJA),chagas viviendas,viviendas rociadas,2024-07-01,6,6
EL TORNO,chagas viviendas,viviendas rociadas,2024-07-01,11,11
ENTRE RIOS TRJ,chagas viviendas,viviendas rociadas,2024-07-01,26,26
GAIOC JATUN AYLLU YURA,chagas viviendas,viviendas rociadas,2024-07-01,2,2
HUACARETA,chagas viviendas,viviendas rociadas,2024-07-01,1,1
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas rociadas,2024-07-01,7,7
ICLA,chagas viviendas,viviendas rociadas,2024-07-01,4,4
LAS CARRERAS,chagas viviendas,viviendas rociadas,2024-07-01,15,15
MACHARETI,chagas viviendas,viviendas rociadas,2024-07-01,94,94
MIZQUE,chagas viviendas,viviendas rociadas,2024-07-01,40,40
OMEREQUE,chagas viviendas,viviendas rociadas,2024-07-01,17,17
PADILLA,chagas viviendas,viviendas rociadas,2024-07-01,12,12
PASORAPA,chagas viviendas,viviendas rociadas,2024-07-01,14,14
POCONA,chagas viviendas,viviendas rociadas,2024-07-01,2,2
POJO (CBBA),chagas viviendas,viviendas rociadas,2024-07-01,3,3
POROMA,chagas viviendas,viviendas rociadas,2024-07-01,15,15
PRESTO,chagas viviendas,viviendas rociadas,2024-07-01,10,10
PUNA,chagas viviendas,viviendas rociadas,2024-07-01,6,6
PUNATA,chagas viviendas,viviendas rociadas,2024-07-01,7,7
QUILLACOLLO,chagas viviendas,viviendas rociadas,2024-07-01,3,3
RAVELO,chagas viviendas,viviendas rociadas,2024-07-01,4,4
SACABA,chagas viviendas,viviendas rociadas,2024-07-01,7,7
SAN BENITO,chagas viviendas,viviendas rociadas,2024-07-01,4,4
SAN LORENZO(TJA),chagas viviendas,viviendas rociadas,2024-07-01,5,5
SAN LUCAS,chagas viviendas,viviendas rociadas,2024-07-01,53,53
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas rociadas,2024-07-01,387,387
SANTIVAÑES,chagas viviendas,viviendas rociadas,2024-07-01,28,28
SICAYA,chagas viviendas,viviendas rociadas,2024-07-01,86,86
SIPE SIPE,chagas viviendas,viviendas rociadas,2024-07-01,37,37
SUCRE,chagas viviendas,viviendas rociadas,2024-07-01,21,21
TACACHI,chagas viviendas,viviendas rociadas,2024-07-01,3,3
TAPACARI,chagas viviendas,viviendas rociadas,2024-07-01,23,23
TARATA,chagas viviendas,viviendas rociadas,2024-07-01,2,2
TARIJA,chagas viviendas,viviendas rociadas,2024-07-01,143,143
TOLATA,chagas viviendas,viviendas rociadas,2024-07-01,1,1
TORO TORO,chagas viviendas,viviendas rociadas,2024-07-01,16,16
TOTORA(CBBA),chagas viviendas,viviendas rociadas,2024-07-01,4,4
TUPIZA,chagas viviendas,viviendas rociadas,2024-07-01,1,1
VILLA MONTES,chagas viviendas,viviendas rociadas,2024-07-01,4,4
VILLA RIVERO,chagas viviendas,viviendas rociadas,2024-07-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,viviendas rociadas,2024-07-01,36,36
VINTO,chagas viviendas,viviendas rociadas,2024-07-01,2,2
VITICHI,chagas viviendas,viviendas rociadas,2024-07-01,19,19
YACUIBA,chagas viviendas,viviendas rociadas,2024-07-01,6,6
YAMPARAEZ,chagas viviendas,viviendas rociadas,2024-07-01,31,31
ACACIO,chagas viviendas,viviendas rociadas,2024-08-01,2,2
AIQUILE,chagas viviendas,viviendas rociadas,2024-08-01,29,29
ANZALDO,chagas viviendas,viviendas rociadas,2024-08-01,8,8
ARANI,chagas viviendas,viviendas rociadas,2024-08-01,7,7
ARBIETO,chagas viviendas,viviendas rociadas,2024-08-01,13,13
AZURDUY,chagas viviendas,viviendas rociadas,2024-08-01,1,1
BETANZOS,chagas viviendas,viviendas rociadas,2024-08-01,25,25
"CAIZA ""D""",chagas viviendas,viviendas rociadas,2024-08-01,1,1
CAMARGO,chagas viviendas,viviendas rociadas,2024-08-01,19,19
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas rociadas,2024-08-01,7,7
CAPINOTA,chagas viviendas,viviendas rociadas,2024-08-01,16,16
CARAPARI,chagas viviendas,viviendas rociadas,2024-08-01,10,10
CKOCHAS,chagas viviendas,viviendas rociadas,2024-08-01,7,7
CLIZA,chagas viviendas,viviendas rociadas,2024-08-01,3,3
COCHABAMBA,chagas viviendas,viviendas rociadas,2024-08-01,102,102
COLCAPIRHUA,chagas viviendas,viviendas rociadas,2024-08-01,3,3
COTAGAITA,chagas viviendas,viviendas rociadas,2024-08-01,15,15
EL PUENTE(TJA),chagas viviendas,viviendas rociadas,2024-08-01,24,24
EL TORNO,chagas viviendas,viviendas rociadas,2024-08-01,2,2
GAIOC JATUN AYLLU YURA,chagas viviendas,viviendas rociadas,2024-08-01,1,1
HUACARETA,chagas viviendas,viviendas rociadas,2024-08-01,12,12
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas rociadas,2024-08-01,11,11
ICLA,chagas viviendas,viviendas rociadas,2024-08-01,8,8
LURIBAY,chagas viviendas,viviendas rociadas,2024-08-01,59,59
MACHARETI,chagas viviendas,viviendas rociadas,2024-08-01,60,60
MIZQUE,chagas viviendas,viviendas rociadas,2024-08-01,41,41
OMEREQUE,chagas viviendas,viviendas rociadas,2024-08-01,14,14
PADILLA,chagas viviendas,viviendas rociadas,2024-08-01,2,2
PASORAPA,chagas viviendas,viviendas rociadas,2024-08-01,1,1
POCONA,chagas viviendas,viviendas rociadas,2024-08-01,6,6
PRESTO,chagas viviendas,viviendas rociadas,2024-08-01,6,6
PUNA,chagas viviendas,viviendas rociadas,2024-08-01,11,11
PUNATA,chagas viviendas,viviendas rociadas,2024-08-01,4,4
QUILLACOLLO,chagas viviendas,viviendas rociadas,2024-08-01,6,6
RAQAYPAMPA(ETA),chagas viviendas,viviendas rociadas,2024-08-01,13,13
SACABA,chagas viviendas,viviendas rociadas,2024-08-01,101,101
SAN BENITO,chagas viviendas,viviendas rociadas,2024-08-01,4,4
SAN LORENZO(TJA),chagas viviendas,viviendas rociadas,2024-08-01,1,1
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas rociadas,2024-08-01,264,264
