,group,variable,month,CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,TOTALES,TOTALES,TOTALES
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,53,130,53,130,183
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,27,93,27,93,120
GUANAY,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,16,104,16,104,120
GUAQUI,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,10,51,10,51,61
GUAYARAMERIN,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,96,510,96,510,606
GUTIERREZ,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,42,238,42,238,280
HUACARETA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,97,0,97,0,97
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,26,0,26,0,26
HUACHACALLA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,5,21,5,21,26
HUANUNI,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,41,252,41,252,293
HUARACAJE,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,9,35,9,35,44
HUAYLLAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,17,0,17,0,17
ICHOCA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,16,35,16,35,51
ICLA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,146,0,146,0,146
INCAHUASI,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,399,0,399,0,399
INGAVI (HUMAITA),control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,3,0,3,0,3
INQUISIVI,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,24,101,24,101,125
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,7,121,7,121,128
IXIAMAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,13,80,13,80,93
JESUS DE MACHACA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,14,62,14,62,76
LA ASUNTA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,102,258,102,258,360
LA GUARDIA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,134,633,134,633,767
LA PAZ,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,2437,3581,2437,3581,6018
LAGUNILLAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,9,157,9,157,166
LAJA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,48,175,48,175,223
LAS CARRERAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,39,0,39,0,39
LICOMA PAMPA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,5,31,5,31,36
LLALLAGUA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,108,145,108,145,253
LLICA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,8,27,8,27,35
LORETO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,6,7,6,7,13
LURIBAY,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,43,56,43,56,99
MACHACAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,60,0,60,0,60
MACHARETI,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,116,0,116,0,116
MAGDALENA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,31,124,31,124,155
MAIRANA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,23,106,23,106,129
MALLA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,6,29,6,29,35
MAPIRI,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,26,64,26,64,90
MECAPACA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,78,21,78,21,99
MINEROS,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,145,180,145,180,325
MIZQUE,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,32,163,32,163,195
MOCOMOCO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,27,93,27,93,120
MOJINETE,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,1,0,1,0,1
MOJOCOYA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,106,0,106,0,106
MONTEAGUDO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,368,0,368,0,368
MONTERO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,283,973,283,973,1256
MORO MORO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,4,24,4,24,28
MOROCHATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,103,99,103,99,202
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,13,0,13,0,13
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,7,18,7,18,25
OCURI,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,32,165,32,165,197
OKINAWA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,150,0,150,0,150
OMEREQUE,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,22,52,22,52,74
ORURO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,957,1670,957,1670,2627
PADCAYA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,35,145,35,145,180
PADILLA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,138,0,138,0,138
PAILON,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,23,161,23,161,184
PALCA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,96,20,96,20,116
PALOS BLANCOS,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,64,285,64,285,349
PAMPA AULLAGAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,6,23,6,23,29
PAMPA GRANDE,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,14,61,14,61,75
PAPEL PAMPA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,22,20,22,20,42
PASORAPA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,9,48,9,48,57
PATACAMAYA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,119,120,119,120,239
PAZÑA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,7,40,7,40,47
PELECHUCO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,5,35,5,35,40
POCOATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,48,177,48,177,225
POCONA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,109,21,109,21,130
POJO (CBBA),control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,25,69,25,69,94
POOPO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,18,46,18,46,64
PORCO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,75,103,75,103,178
POROMA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,143,0,143,0,143
PORONGO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,73,0,73,0,73
PORTACHUELO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,76,228,76,228,304
PORVENIR,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,60,0,60,0,60
POSTRER VALLE,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,0,15,0,15,15
POTOSI,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,585,1425,585,1425,2010
PRESTO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,112,0,112,0,112
PUCARA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,2,10,2,10,12
PUCARANI,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,45,160,45,160,205
PUERTO ACOSTA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,46,116,46,116,162
PUERTO CARABUCO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,21,115,21,115,136
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,13,34,13,34,47
PUERTO PEREZ,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,17,44,17,44,61
PUERTO QUIJARRO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,12,12,12,12,24
PUERTO RICO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,16,8,16,8,24
PUERTO SILES,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,12,0,12,0,12
PUERTO SUAREZ,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,38,107,38,107,145
PUERTO VILLARROEL,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,114,162,114,162,276
PUNA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,83,231,83,231,314
PUNATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,313,150,313,150,463
QUIABAYA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,19,0,19,0,19
QUILLACOLLO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,516,287,516,287,803
QUIME,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,14,98,14,98,112
QUIRUSILLAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,2,9,2,9,11
RAVELO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,29,133,29,133,162
REYES,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,33,140,33,140,173
RIBERALTA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,373,1292,373,1292,1665
ROBORE,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,47,105,47,105,152
RURRENABAQUE,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,20,142,20,142,162
SABAYA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,9,25,9,25,34
SACABA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,629,209,629,209,838
SACABAMBA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,16,28,16,28,44
SACACA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,25,169,25,169,194
SAIPINA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,10,96,10,96,106
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,10,55,10,55,65
SAMAIPATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,12,94,12,94,106
SAN AGUSTIN,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,5,12,5,12,17
SAN ANDRES,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,28,80,28,80,108
SAN ANDRES DE MACHACA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,8,19,8,19,27
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,6,6,6,6,12
SAN BENITO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,62,40,62,40,102
SAN BORJA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,85,488,85,488,573
SAN BUENA VENTURA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,16,74,16,74,90
SAN CARLOS,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,43,255,43,255,298
SAN IGNACIO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,179,91,179,91,270
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,107,596,107,596,703
SAN JAVIER(BNI),control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,10,4,10,4,14
SAN JAVIER(STC),control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,70,94,70,94,164
SAN JOAQUIN,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,17,58,17,58,75
SAN JOSE DE CHIQUITOS,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,68,58,68,58,126
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,10,72,10,72,82
SAN JULIAN,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,108,130,108,130,238
SAN LORENZO(PND),control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,24,0,24,0,24
SAN LORENZO(TJA),control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,40,124,40,124,164
SAN LUCAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,623,0,623,0,623
SAN MATIAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,37,102,37,102,139
SAN MIGUEL DE VELASCO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,14,114,14,114,128
SAN PABLO DE LIPEZ,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,12,5,12,5,17
SAN PEDRO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,37,98,37,98,135
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,38,121,38,121,159
SAN PEDRO DE CURAHUARA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,5,70,5,70,75
SAN PEDRO DE QUEMES,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,0,9,0,9,9
SAN PEDRO DE TIQUINA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,8,25,8,25,33
SAN PEDRO(PND),control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,14,4,14,4,18
SAN RAFAEL,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,10,76,10,76,86
SANTA ANA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,40,204,40,204,244
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,3249,3569,3249,3569,6818
SANTA ROSA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,77,0,77,0,77
SANTA ROSA DEL SARA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,38,117,38,117,155
SANTIAGO DE CALLAPA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,4,6,4,6,10
SANTIAGO DE HUARI,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,16,66,16,66,82
SANTIAGO DE MACHACA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,3,24,3,24,27
SANTIVAÑES,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,9,51,9,51,60
SANTUARIO DE QUILLACAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,2,7,2,7,9
SAPAHAQUI,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,18,65,18,65,83
SENA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,24,0,24,0,24
SICA SICA (VILLA AROMA),control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,25,181,25,181,206
SICAYA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,1,14,1,14,15
SIPE SIPE,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,164,256,164,256,420
SOPACHUY,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,111,0,111,0,111
SORACACHI,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,12,62,12,62,74
SORATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,33,113,33,113,146
SUCRE,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,2089,29,2089,29,2118
TACACHI,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,3,9,3,9,12
TACACOMA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,32,37,32,37,69
TACOBAMBA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,15,64,15,64,79
TACOPAYA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,29,52,29,52,81
TAHUA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,0,8,0,8,8
TAPACARI,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,93,166,93,166,259
TARABUCO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,288,0,288,0,288
TARACO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,10,29,10,29,39
TARATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,24,74,24,74,98
TARIJA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,1764,922,1764,922,2686
TARVITA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,285,0,285,0,285
TEOPONTE,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,8,105,8,105,113
TIAWANACU,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,29,98,29,98,127
TINGUIPAYA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,23,84,23,84,107
TIPUANI,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,29,108,29,108,137
