,group,variable,month,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,TOTALES,TOTALES,TOTALES
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,1,49,1,49,50
CURVA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,1,17,1,17,18
DESAGUADERO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,32,0,32,32
EL ALTO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,1138,2547,1138,2547,3685
EL CHORO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,13,38,13,38,51
EL PUENTE(STC),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,148,0,148,0,148
EL PUENTE(TJA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,1,88,1,88,89
EL TORNO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,246,13,246,13,259
EL VILLAR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,87,0,87,0,87
ENTRE RIOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,42,168,42,168,210
ENTRE RIOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,4,187,4,187,191
EUCALIPTUS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,2,46,2,46,48
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,1,7,1,7,8
EXALTACION,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,6,8,6,8,14
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,5,140,5,140,145
FILADELFIA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,17,0,17,0,17
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,51,106,51,106,157
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,2,59,2,59,61
GUANAY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,52,0,52,52
GUAQUI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,37,0,37,37
GUAYARAMERIN,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,6,334,6,334,340
GUTIERREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,339,0,339,339
HUACARETA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,108,0,108,0,108
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,36,0,36,0,36
HUACHACALLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,2,22,2,22,24
HUANUNI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,3,152,3,152,155
HUARACAJE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,31,0,31,31
HUAYLLAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,70,0,70,0,70
ICHOCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,37,0,37,37
ICLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,184,0,184,0,184
INCAHUASI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,383,0,383,0,383
INGAVI (HUMAITA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,2,5,2,5,7
INQUISIVI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,1,100,1,100,101
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,2,103,2,103,105
IXIAMAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,8,54,8,54,62
JESUS DE MACHACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,8,113,8,113,121
LA ASUNTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,38,136,38,136,174
LA GUARDIA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,26,403,26,403,429
LA PAZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,959,1941,959,1941,2900
LAGUNILLAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,121,0,121,121
LAJA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,1,83,1,83,84
LAS CARRERAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,34,0,34,0,34
LICOMA PAMPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,12,23,12,23,35
LLALLAGUA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,36,149,36,149,185
LLICA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,1,25,1,25,26
LORETO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,3,18,3,18,21
LURIBAY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,18,42,18,42,60
MACHACAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,38,0,38,0,38
MACHARETI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,105,0,105,0,105
MAGDALENA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,2,86,2,86,88
MAIRANA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,68,0,68,68
MALLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,28,0,28,28
MAPIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,176,0,176,176
MECAPACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,20,37,20,37,57
MINEROS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,91,130,91,130,221
MIZQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,16,186,16,186,202
MOCOMOCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,6,82,6,82,88
MOJOCOYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,75,0,75,0,75
MONTEAGUDO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,246,0,246,0,246
MONTERO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,101,828,101,828,929
MORO MORO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,6,19,6,19,25
MOROCHATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,47,88,47,88,135
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,25,0,25,0,25
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,2,6,2,6,8
OCURI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,26,225,26,225,251
OKINAWA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,135,0,135,0,135
OMEREQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,8,38,8,38,46
ORURO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,450,1420,450,1420,1870
PADCAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,5,123,5,123,128
PADILLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,140,0,140,0,140
PAILON,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,11,142,11,142,153
PALCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,52,11,52,11,63
PALOS BLANCOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,14,190,14,190,204
PAMPA AULLAGAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,37,0,37,37
PAMPA GRANDE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,34,0,34,34
PAPEL PAMPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,6,6,6,6,12
PASORAPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,1,40,1,40,41
PATACAMAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,47,113,47,113,160
PAZÑA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,51,0,51,51
PELECHUCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,1,39,1,39,40
POCOATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,9,154,9,154,163
POCONA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,59,23,59,23,82
POJO (CBBA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,9,69,9,69,78
POOPO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,6,51,6,51,57
PORCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,20,36,20,36,56
POROMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,122,0,122,0,122
PORONGO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,64,0,64,0,64
PORTACHUELO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,26,146,26,146,172
PORVENIR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,47,2,47,2,49
POSTRER VALLE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,5,0,5,5
POTOSI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,213,2696,213,2696,2909
PRESTO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,84,0,84,0,84
PUCARA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,3,0,3,3
PUCARANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,11,84,11,84,95
PUERTO ACOSTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,22,70,22,70,92
PUERTO CARABUCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,9,65,9,65,74
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,2,69,2,69,71
PUERTO PEREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,2,34,2,34,36
PUERTO QUIJARRO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,96,135,96,135,231
PUERTO RICO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,15,6,15,6,21
PUERTO SILES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,13,5,13,5,18
PUERTO SUAREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,1,53,1,53,54
PUERTO VILLARROEL,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,49,133,49,133,182
PUNA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,29,229,29,229,258
PUNATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,147,158,147,158,305
QUIABAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,6,0,6,0,6
QUILLACOLLO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,210,189,210,189,399
QUIME,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,3,82,3,82,85
QUIRUSILLAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,11,0,11,11
RAVELO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,312,0,312,312
REYES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,1,126,1,126,127
RIBERALTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,149,837,149,837,986
ROBORE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,26,127,26,127,153
RURRENABAQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,3,94,3,94,97
SABAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,26,0,26,26
SACABA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,212,142,212,142,354
SACABAMBA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,31,0,31,31
SACACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,7,219,7,219,226
SAIPINA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,2,69,2,69,71
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,5,77,5,77,82
SAMAIPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,51,0,51,51
SAN AGUSTIN,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,1,9,1,9,10
SAN ANDRES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,19,81,19,81,100
SAN ANDRES DE MACHACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,13,0,13,13
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,2,0,2,2
SAN ANTONIO DE LOMERIO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,9,244,9,244,253
SAN BENITO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,27,54,27,54,81
SAN BORJA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,26,353,26,353,379
SAN BUENA VENTURA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,45,0,45,45
SAN CARLOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,12,198,12,198,210
SAN IGNACIO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,126,60,126,60,186
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,91,334,91,334,425
SAN JAVIER(BNI),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,13,9,13,9,22
SAN JAVIER(STC),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,62,76,62,76,138
SAN JOAQUIN,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,8,53,8,53,61
SAN JOSE DE CHIQUITOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,56,88,56,88,144
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,25,205,25,205,230
SAN JULIAN,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,71,128,71,128,199
SAN LORENZO(PND),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,34,0,34,0,34
