,group,variable,month,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,TOTALES,TOTALES,TOTALES
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,1,36,1,36,37
CURVA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,55,0,55,55
DESAGUADERO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,1,37,1,37,38
EL ALTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,1302,2978,1302,2978,4280
EL CHORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,40,52,40,52,92
EL PUENTE(STC),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,218,0,218,0,218
EL PUENTE(TJA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,1,252,1,252,253
EL TORNO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,162,36,162,36,198
EL VILLAR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,181,0,181,0,181
ENTRE RIOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,71,199,71,199,270
ENTRE RIOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,12,290,12,290,302
ESCARA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,2,0,2,0,2
EUCALIPTUS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,2,65,2,65,67
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,1,23,1,23,24
EXALTACION,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,6,18,6,18,24
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,17,186,17,186,203
FILADELFIA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,35,0,35,0,35
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,74,209,74,209,283
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,7,145,7,145,152
GUANAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,116,0,116,116
GUAQUI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,37,0,37,37
GUAYARAMERIN,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,65,362,65,362,427
GUTIERREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,758,0,758,758
HUACARETA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,214,0,214,0,214
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,105,0,105,0,105
HUACHACALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,3,46,3,46,49
HUANUNI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,178,0,178,178
HUARACAJE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,66,0,66,66
HUAYLLAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,62,0,62,0,62
ICHOCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,2,72,2,72,74
ICLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,488,0,488,0,488
INCAHUASI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,597,0,597,0,597
INGAVI (HUMAITA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,3,2,3,2,5
INQUISIVI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,7,174,7,174,181
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,12,215,12,215,227
IXIAMAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,9,108,9,108,117
JESUS DE MACHACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,2,146,2,146,148
LA ASUNTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,7,95,7,95,102
LA GUARDIA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,21,538,21,538,559
LA PAZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,1605,2837,1605,2837,4442
LAGUNILLAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,264,0,264,264
LAJA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,122,0,122,122
LAS CARRERAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,69,0,69,0,69
LICOMA PAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,7,33,7,33,40
LLALLAGUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,13,309,13,309,322
LLICA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,41,0,41,41
LORETO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,8,12,8,12,20
LURIBAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,43,147,43,147,190
MACHACAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,39,0,39,0,39
MACHARETI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,247,0,247,0,247
MAGDALENA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,115,0,115,115
MAIRANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,81,0,81,81
MALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,73,0,73,73
MAPIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,92,0,92,92
MECAPACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,27,62,27,62,89
MINEROS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,121,210,121,210,331
MIZQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,4,363,4,363,367
MOCOMOCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,10,146,10,146,156
MOJOCOYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,203,0,203,0,203
MONTEAGUDO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,555,0,555,0,555
MONTERO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,215,1298,215,1298,1513
MORO MORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,4,27,4,27,31
MOROCHATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,109,88,109,88,197
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,46,0,46,0,46
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,6,13,6,13,19
OCURI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,19,273,19,273,292
OKINAWA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,220,0,220,0,220
OMEREQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,3,65,3,65,68
ORURO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,281,1109,281,1109,1390
PADCAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,15,189,15,189,204
PADILLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,370,0,370,0,370
PAILON,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,4,169,4,169,173
PALCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,57,18,57,18,75
PALOS BLANCOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,25,337,25,337,362
PAMPA AULLAGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,47,0,47,47
PAMPA GRANDE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,50,0,50,50
PAPEL PAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,4,4,4,4,8
PASORAPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,6,93,6,93,99
PATACAMAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,11,171,11,171,182
PAZÑA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,60,0,60,60
PELECHUCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,1,57,1,57,58
POCOATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,343,0,343,343
POCONA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,107,26,107,26,133
POJO (CBBA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,30,52,30,52,82
POOPO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,9,47,9,47,56
PORCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,21,32,21,32,53
POROMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,232,0,232,0,232
PORONGO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,88,0,88,0,88
PORTACHUELO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,54,221,54,221,275
PORVENIR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,65,2,65,2,67
POSTRER VALLE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,31,0,31,31
POTOSI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,205,1566,205,1566,1771
PRESTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,193,0,193,0,193
PUCARA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,5,0,5,5
PUCARANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,12,93,12,93,105
PUERTO ACOSTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,70,130,70,130,200
PUERTO CARABUCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,8,158,8,158,166
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,2,99,2,99,101
PUERTO PEREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,11,87,11,87,98
PUERTO QUIJARRO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,19,33,19,33,52
PUERTO RICO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,26,2,26,2,28
PUERTO SILES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,11,1,11,1,12
PUERTO SUAREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,2,30,2,30,32
PUERTO VILLARROEL,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,66,206,66,206,272
PUNA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,72,492,72,492,564
PUNATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,451,174,451,174,625
QUILLACOLLO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,236,207,236,207,443
QUIME,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,3,112,3,112,115
QUIRUSILLAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,32,0,32,32
RAVELO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,290,0,290,290
REYES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,227,0,227,227
RIBERALTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,121,728,121,728,849
ROBORE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,23,147,23,147,170
RURRENABAQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,5,104,5,104,109
SABAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,36,0,36,36
SACABA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,411,205,411,205,616
SACABAMBA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,3,55,3,55,58
SACACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,27,477,27,477,504
SAIPINA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,2,155,2,155,157
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,7,96,7,96,103
SAMAIPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,70,0,70,70
SAN AGUSTIN,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,1,27,1,27,28
SAN ANDRES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,20,86,20,86,106
SAN ANDRES DE MACHACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,25,0,25,25
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,6,1,6,1,7
SAN ANTONIO DE LOMERIO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,271,0,271,271
SAN BENITO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,24,50,24,50,74
SAN BORJA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,4,634,4,634,638
SAN BUENA VENTURA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,4,72,4,72,76
SAN CARLOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,19,207,19,207,226
SAN IGNACIO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,151,89,151,89,240
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,149,566,149,566,715
SAN JAVIER(BNI),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,45,12,45,12,57
SAN JAVIER(STC),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,98,101,98,101,199
SAN JOAQUIN,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,9,54,9,54,63
SAN JOSE DE CHIQUITOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,147,56,147,56,203
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,216,0,216,216
SAN JULIAN,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,89,191,89,191,280
SAN LORENZO(PND),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,27,0,27,0,27
