municipality,group,variable,month,Otros,TOTAL
SAN IGNACIO,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,75,75
SAN JAVIER(STC),diagnostico de egreso en menores de 5 anos,otros,2006-01-01,2,2
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,4,4
SAN JOSE DE CHIQUITOS,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,3,3
SAN JULIAN,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,17,17
SAN LORENZO(TJA),diagnostico de egreso en menores de 5 anos,otros,2006-01-01,1,1
SAN LUCAS,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,3,3
SAN MATIAS,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,1,1
SAN MIGUEL DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,1,1
SAN PEDRO,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,35,35
SAN RAFAEL,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,1,1
SAN RAMON,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,2,2
SANTA ANA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,3832,3832
SANTA ROSA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,2,2
SORATA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,1,1
SUCRE,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,130,130
TARABUCO,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,3,3
TARIJA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,124,124
TIQUIPAYA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,4,4
TIRAQUE (CBBA),diagnostico de egreso en menores de 5 anos,otros,2006-01-01,21,21
TRINIDAD,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,233,233
TUPIZA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,31,31
UNCIA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,83,83
URIONDO (A. CONCEPCION),diagnostico de egreso en menores de 5 anos,otros,2006-01-01,4,4
VALLEGRANDE,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,15,15
VILLA MONTES,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,19,19
VILLA TUNARI,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,14,14
VILLA VACA GUZMAN (MUYUPAMPA),diagnostico de egreso en menores de 5 anos,otros,2006-01-01,1,1
VILLAZON,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,25,25
VINTO,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,2,2
WARNES,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,6,6
YACUIBA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,57,57
YAPACANI,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,112,112
AIQUILE,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,8,8
APOLO,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,1,1
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,17,17
ATOCHA,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,5,5
BERMEJO,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,6,6
BETANZOS,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,2,2
CAMARGO,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,13,13
CAMIRI,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,47,47
CARANAVI,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,20,20
CHALLAPATA,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,2,2
CHARAGUA,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,4,4
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,otros,2006-02-01,3,3
COBIJA,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,16,16
COCHABAMBA,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,172,172
COLCAPIRHUA,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,6,6
COLQUIRI,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,1,1
COMARAPA,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,11,11
CONCEPCION,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,2,2
COROICO,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,11,11
COTAGAITA,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,6,6
COTOCA,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,2,2
EL ALTO,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,123,123
EL TORNO,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,1,1
ENTRE RIOS,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,1,1
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,256,256
GUTIERREZ,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,2,2
HUANUNI,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,3,3
LA ASUNTA,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,3,3
LA GUARDIA,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,3,3
LA PAZ,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,510,510
LAGUNILLAS,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,1,1
LLALLAGUA,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,24,24
MAGDALENA,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,8,8
MAIRANA,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,1,1
MIZQUE,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,1,1
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,14,14
MONTERO,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,113,113
ORURO,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,46,46
PADILLA,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,22,22
POTOSI,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,29,29
PUERTO QUIJARRO,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,1,1
PUERTO RICO,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,4,4
PUERTO SUAREZ,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,2,2
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,12,12
PUNATA,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,29,29
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,34,34
RIBERALTA,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,33,33
ROBORE,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,5,5
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,6,6
SACABA,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,33,33
SAN BORJA,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,3,3
SAN CARLOS,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,8,8
SAN IGNACIO,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,4,4
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,75,75
SAN JAVIER(STC),diagnostico de egreso en menores de 5 anos,otros,2006-02-01,4,4
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,6,6
SAN JOSE DE CHIQUITOS,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,4,4
SAN LUCAS,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,8,8
SAN MATIAS,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,2,2
SAN MIGUEL DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,4,4
SAN PEDRO,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,6,6
SAN RAMON,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,1,1
SAN RAMON,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,1,1
SANTA ANA,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,3,3
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,799,799
SANTA ROSA DEL SARA,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,1,1
SOPACHUY,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,1,1
SUCRE,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,93,93
TARIJA,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,92,92
TIQUIPAYA,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,1,1
TIRAQUE (CBBA),diagnostico de egreso en menores de 5 anos,otros,2006-02-01,28,28
TORO TORO,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,1,1
TOTORA(CBBA),diagnostico de egreso en menores de 5 anos,otros,2006-02-01,2,2
TRINIDAD,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,143,143
TUPIZA,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,41,41
UNCIA,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,70,70
URIONDO (A. CONCEPCION),diagnostico de egreso en menores de 5 anos,otros,2006-02-01,7,7
VALLEGRANDE,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,6,6
VILLA MONTES,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,11,11
VILLA TUNARI,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,15,15
VILLAZON,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,19,19
WARNES,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,4,4
YACUIBA,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,83,83
YAMPARAEZ,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,1,1
YAPACANI,diagnostico de egreso en menores de 5 anos,otros,2006-02-01,11,11
ACHACACHI,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,2,2
AIQUILE,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,4,4
APOLO,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,1,1
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,16,16
ATOCHA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso en menores de 5 anos,otros,2006-03-01,2,2
BERMEJO,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,18,18
BETANZOS,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,2,2
BOYUIBE,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,2,2
BUENA VISTA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,1,1
CAMARGO,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,20,20
CAMIRI,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,30,30
CARANAVI,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,29,29
CHALLAPATA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,3,3
CHARAGUA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,12,12
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,otros,2006-03-01,2,2
COBIJA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,7,7
COCHABAMBA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,249,249
COLCAPIRHUA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,4,4
COMARAPA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,8,8
COROICO,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,13,13
COTAGAITA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,3,3
COTOCA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,1,1
EL ALTO,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,156,156
EL VILLAR,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,1,1
ENTRE RIOS,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,1,1
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,250,250
GUTIERREZ,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,1,1
HUANUNI,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,7,7
INCAHUASI,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,1,1
LA ASUNTA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,2,2
LA GUARDIA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,5,5
LA PAZ,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,620,620
LLALLAGUA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,39,39
MAGDALENA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,2,2
MAIRANA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,2,2
MIZQUE,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,3,3
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,10,10
MONTERO,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,137,137
ORURO,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,63,63
PADILLA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,14,14
PALOS BLANCOS,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,2,2
POTOSI,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,57,57
PUERTO QUIJARRO,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,1,1
PUERTO RICO,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,2,2
PUERTO SUAREZ,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,3,3
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,20,20
PUNATA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,33,33
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,34,34
QUIRUSILLAS,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,5,5
REYES,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,2,2
RIBERALTA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,42,42
ROBORE,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,8,8
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,9,9
SACABA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,34,34
SAMAIPATA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,2,2
SAN BORJA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,5,5
SAN CARLOS,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,16,16
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,107,107
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,1,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,3,3
SAN JULIAN,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,2,2
SAN LORENZO(PND),diagnostico de egreso en menores de 5 anos,otros,2006-03-01,1,1
SAN LUCAS,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,3,3
SAN MATIAS,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,2,2
SAN MIGUEL DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,1,1
SAN RAMON,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,2,2
SAN RAMON,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,4,4
SANTA ANA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,838,838
SANTA ROSA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,2,2
SANTA ROSA DEL SARA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,1,1
SOPACHUY,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,4,4
SUCRE,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,213,213
TARABUCO,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,1,1
TARIJA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,112,112
TIQUIPAYA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,5,5
TIRAQUE (CBBA),diagnostico de egreso en menores de 5 anos,otros,2006-03-01,25,25
TORO TORO,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,1,1
TOTORA(CBBA),diagnostico de egreso en menores de 5 anos,otros,2006-03-01,1,1
TRINIDAD,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,207,207
TUPIZA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,46,46
UNCIA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,55,55
URIONDO (A. CONCEPCION),diagnostico de egreso en menores de 5 anos,otros,2006-03-01,2,2
VALLEGRANDE,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,8,8
VILLA MONTES,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,14,14
VILLA TUNARI,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,19,19
VILLAZON,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,13,13
VINTO,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,1,1
VITICHI,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,2,2
WARNES,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,3,3
YACUIBA,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,67,67
YAPACANI,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,8,8
ZUDAÑEZ,diagnostico de egreso en menores de 5 anos,otros,2006-03-01,1,1
ACHACACHI,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,2,2
APOLO,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,8,8
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,14,14
ATOCHA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,12,12
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso en menores de 5 anos,otros,2006-04-01,1,1
BERMEJO,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,11,11
BETANZOS,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,2,2
BOYUIBE,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,3,3
CAMARGO,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,9,9
CAMIRI,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,20,20
CARANAVI,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,21,21
CHALLAPATA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,2,2
CHARAGUA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,5,5
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,otros,2006-04-01,6,6
COBIJA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,13,13
COCHABAMBA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,271,271
COLCAPIRHUA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,2,2
COMARAPA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,6,6
CONCEPCION,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,1,1
COROICO,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,27,27
COTAGAITA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,1,1
COTOCA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,1,1
CULPINA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,1,1
EL ALTO,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,130,130
EL TORNO,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,1,1
GUANAY,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,1,1
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,256,256
GUTIERREZ,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,2,2
HUANUNI,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,13,13
LA ASUNTA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,2,2
LA GUARDIA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,4,4
LA PAZ,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,706,706
LLALLAGUA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,17,17
MAGDALENA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,5,5
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,2,2
MONTERO,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,137,137
ORURO,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,64,64
PADILLA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,5,5
PALOS BLANCOS,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,1,1
PATACAMAYA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,1,1
POTOSI,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,45,45
PUERTO QUIJARRO,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,1,1
PUERTO SUAREZ,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,6,6
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,15,15
PUNATA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,26,26
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,26,26
REYES,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,2,2
RIBERALTA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,43,43
ROBORE,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,1,1
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,1,1
SACABA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,30,30
SACACA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,1,1
SAN BORJA,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,5,5
SAN CARLOS,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,12,12
SAN IGNACIO,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,2,2
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,117,117
SAN JAVIER(STC),diagnostico de egreso en menores de 5 anos,otros,2006-04-01,1,1
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,1,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso en menores de 5 anos,otros,2006-04-01,6,6
