municipality,group,variable,month,Partos atendidos por partera empírica,TOTAL
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-03-01,1,1
SUCRE,atencion de partos en domicilio,partos atendidos por partera empirica,2016-03-01,1,1
TARIJA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-03-01,1,1
YACUIBA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-03-01,1,1
YAPACANI,atencion de partos en domicilio,partos atendidos por partera empirica,2016-03-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,1,1
BETANZOS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,1,1
CABEZAS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,1,1
CAMIRI,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,1,1
CARIPUYO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,1,1
CHIMORE,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,2,2
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,5,5
COLQUENCHA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,1,1
ENTRE RIOS CBBA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,3,3
GUAYARAMERIN,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,2,2
LA ASUNTA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,1,1
LAJA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,1,1
LORETO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,1,1
PUNA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,4,4
SAN ANDRES,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,6,6
SAN BUENA VENTURA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,1,1
SAN MATIAS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,2,2
SICAYA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,1,1
TAPACARI,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,1,1
TARIJA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,1,1
TIQUIPAYA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,1,1
TORO TORO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-04-01,1,1
ANDAMARCA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,1,1
APOLO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,2,2
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,1,1
BETANZOS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,2,2
CAPINOTA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,1,1
CHIMORE,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,2,2
COCAPATA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,2,2
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,6,6
EL ALTO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,2,2
EL TORNO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,1,1
EUCALIPTUS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,1,1
MIZQUE,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,1,1
MOROCHATA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,1,1
PUERTO ACOSTA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,1,1
PUERTO SILES,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,4,4
SAN ANDRES,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,2,2
SAN BUENA VENTURA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,2,2
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,2,2
SAN JOSE DE CHIQUITOS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,1,1
SAN PABLO DE LIPEZ,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,2,2
SANTUARIO DE QUILLACAS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,1,1
TACOPAYA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,2,2
TAPACARI,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,4,4
TIQUIPAYA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,2,2
VACAS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,1,1
VALLEGRANDE,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,1,1
VILLAZON,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,1,1
VINTO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-05-01,2,2
ACHOCALLA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-06-01,1,1
