municipality,group,variable,month,Partos atendidos por partera capacitada,TOTAL
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-05-01,1,1
SAN LUCAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-05-01,3,3
SORATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-05-01,2,2
SUCRE,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-05-01,1,1
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-05-01,3,3
TARABUCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-05-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-05-01,2,2
TIQUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-05-01,1,1
TORO TORO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-05-01,1,1
TUPIZA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-05-01,1,1
UNCIA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-05-01,1,1
ANDAMARCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-06-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-06-01,2,2
COLOMI,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-06-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-06-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-06-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-06-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-06-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-06-01,4,4
ROBORE,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-06-01,1,1
SACACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-06-01,1,1
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-06-01,2,2
SAN JOSE DE CHIQUITOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-06-01,1,1
SAN LUCAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-06-01,2,2
SAN MATIAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-06-01,1,1
SAN PABLO DE LIPEZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-06-01,1,1
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-06-01,3,3
TARIJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-06-01,1,1
TUPIZA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-06-01,1,1
UNCIA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-06-01,1,1
VILLA MONTES,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-06-01,1,1
ACHACACHI,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-07-01,1,1
APOLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-07-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-07-01,1,1
CARIPUYO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-07-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-07-01,1,1
CHAYANTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-07-01,1,1
CHIMORE,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-07-01,1,1
COCHABAMBA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-07-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-07-01,1,1
LAJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-07-01,2,2
MOROCHATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-07-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-07-01,2,2
POOPO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-07-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-07-01,2,2
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-07-01,1,1
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-07-01,1,1
SAN LUCAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-07-01,1,1
SORATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-07-01,4,4
TACOPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-07-01,1,1
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-07-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-07-01,1,1
VACAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-07-01,2,2
VILLA MONTES,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-07-01,1,1
ACHOCALLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-08-01,1,1
CHAYANTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-08-01,1,1
COCHABAMBA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-08-01,1,1
CURVA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-08-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-08-01,4,4
EL PUENTE(STC),atencion de partos en domicilio,partos atendidos por partera capacitada,2016-08-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-08-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-08-01,4,4
PORTACHUELO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-08-01,1,1
SAN LUCAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-08-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-08-01,1,1
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-08-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-08-01,1,1
TUPIZA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-08-01,1,1
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-08-01,1,1
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-09-01,1,1
CAMIRI,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-09-01,1,1
CHAYANTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-09-01,1,1
CHIMORE,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-09-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-09-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-09-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-09-01,3,3
EXALTACION,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-09-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-09-01,1,1
HUACARETA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-09-01,1,1
LA ASUNTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-09-01,1,1
LAJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-09-01,2,2
MONTEAGUDO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-09-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-09-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-09-01,2,2
ROBORE,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-09-01,1,1
SANTIAGO DE HUARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-09-01,1,1
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-09-01,2,2
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-09-01,5,5
TIQUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-09-01,1,1
VACAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-09-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,partos atendidos por partera capacitada,2016-09-01,2,2
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-10-01,2,2
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-10-01,2,2
HUACARETA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-10-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-10-01,2,2
POCOATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-10-01,6,6
RAVELO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-10-01,2,2
REYES,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-10-01,1,1
SAN ANDRES,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-10-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-10-01,2,2
SAN LORENZO(TJA),atencion de partos en domicilio,partos atendidos por partera capacitada,2016-10-01,1,1
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-10-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-10-01,3,3
TIQUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-10-01,1,1
TOMAVE,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-10-01,1,1
UNCIA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-10-01,1,1
YACUIBA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-10-01,2,2
CHARAGUA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-11-01,1,1
CUEVO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-11-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-11-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-11-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-11-01,1,1
INCAHUASI,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-11-01,1,1
PALCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-11-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-11-01,3,3
POCONA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-11-01,1,1
REYES,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-11-01,1,1
SAN LORENZO(PND),atencion de partos en domicilio,partos atendidos por partera capacitada,2016-11-01,1,1
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-11-01,2,2
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-11-01,3,3
TIQUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-11-01,1,1
UNCIA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-11-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,partos atendidos por partera capacitada,2016-11-01,2,2
YACUIBA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-11-01,1,1
ACHACACHI,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-12-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-12-01,1,1
CARIPUYO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-12-01,2,2
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-12-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-12-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-12-01,1,1
LAGUNILLAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-12-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-12-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-12-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-12-01,1,1
SAN LORENZO(PND),atencion de partos en domicilio,partos atendidos por partera capacitada,2016-12-01,1,1
SUCRE,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-12-01,1,1
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-12-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-12-01,2,2
TIQUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-12-01,2,2
UNCIA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-12-01,1,1
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-12-01,3,3
