municipality,group,variable,month,Cirugia maxilo faciales,TOTAL
CHUMA,atenciones odontologicas,cirugia maxilo faciales,2008-02-01,2,2
COCHABAMBA,atenciones odontologicas,cirugia maxilo faciales,2008-02-01,70,70
COLPA BELGICA,atenciones odontologicas,cirugia maxilo faciales,2008-02-01,1,1
CORIPATA,atenciones odontologicas,cirugia maxilo faciales,2008-02-01,5,5
EL ALTO,atenciones odontologicas,cirugia maxilo faciales,2008-02-01,5,5
IXIAMAS,atenciones odontologicas,cirugia maxilo faciales,2008-02-01,6,6
LA PAZ,atenciones odontologicas,cirugia maxilo faciales,2008-02-01,28,28
MECAPACA,atenciones odontologicas,cirugia maxilo faciales,2008-02-01,18,18
ORURO,atenciones odontologicas,cirugia maxilo faciales,2008-02-01,12,12
PADILLA,atenciones odontologicas,cirugia maxilo faciales,2008-02-01,1,1
POTOSI,atenciones odontologicas,cirugia maxilo faciales,2008-02-01,4,4
PUCARANI,atenciones odontologicas,cirugia maxilo faciales,2008-02-01,4,4
PUERTO ACOSTA,atenciones odontologicas,cirugia maxilo faciales,2008-02-01,1,1
PUNATA,atenciones odontologicas,cirugia maxilo faciales,2008-02-01,3,3
SAN BUENA VENTURA,atenciones odontologicas,cirugia maxilo faciales,2008-02-01,1,1
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,cirugia maxilo faciales,2008-02-01,65,65
SUCRE,atenciones odontologicas,cirugia maxilo faciales,2008-02-01,10,10
TIAWANACU,atenciones odontologicas,cirugia maxilo faciales,2008-02-01,9,9
TOTORA(CBBA),atenciones odontologicas,cirugia maxilo faciales,2008-02-01,4,4
TUPIZA,atenciones odontologicas,cirugia maxilo faciales,2008-02-01,3,3
VIACHA,atenciones odontologicas,cirugia maxilo faciales,2008-02-01,13,13
VILLA TUNARI,atenciones odontologicas,cirugia maxilo faciales,2008-02-01,2,2
YACUIBA,atenciones odontologicas,cirugia maxilo faciales,2008-02-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,cirugia maxilo faciales,2008-03-01,2,2
CHUMA,atenciones odontologicas,cirugia maxilo faciales,2008-03-01,7,7
COCHABAMBA,atenciones odontologicas,cirugia maxilo faciales,2008-03-01,66,66
CORIPATA,atenciones odontologicas,cirugia maxilo faciales,2008-03-01,2,2
EL ALTO,atenciones odontologicas,cirugia maxilo faciales,2008-03-01,3,3
IXIAMAS,atenciones odontologicas,cirugia maxilo faciales,2008-03-01,3,3
JESUS DE MACHACA,atenciones odontologicas,cirugia maxilo faciales,2008-03-01,8,8
LA PAZ,atenciones odontologicas,cirugia maxilo faciales,2008-03-01,22,22
LLALLAGUA,atenciones odontologicas,cirugia maxilo faciales,2008-03-01,2,2
ORURO,atenciones odontologicas,cirugia maxilo faciales,2008-03-01,28,28
PORTACHUELO,atenciones odontologicas,cirugia maxilo faciales,2008-03-01,1,1
POTOSI,atenciones odontologicas,cirugia maxilo faciales,2008-03-01,6,6
PUCARANI,atenciones odontologicas,cirugia maxilo faciales,2008-03-01,2,2
PUERTO ACOSTA,atenciones odontologicas,cirugia maxilo faciales,2008-03-01,1,1
SAN BENITO,atenciones odontologicas,cirugia maxilo faciales,2008-03-01,1,1
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,cirugia maxilo faciales,2008-03-01,112,112
SUCRE,atenciones odontologicas,cirugia maxilo faciales,2008-03-01,34,34
TIAWANACU,atenciones odontologicas,cirugia maxilo faciales,2008-03-01,7,7
UYUNI,atenciones odontologicas,cirugia maxilo faciales,2008-03-01,1,1
ASCENCION DE GUARAYOS,atenciones odontologicas,cirugia maxilo faciales,2008-04-01,6,6
COCHABAMBA,atenciones odontologicas,cirugia maxilo faciales,2008-04-01,98,98
COLPA BELGICA,atenciones odontologicas,cirugia maxilo faciales,2008-04-01,1,1
CORIPATA,atenciones odontologicas,cirugia maxilo faciales,2008-04-01,6,6
EL ALTO,atenciones odontologicas,cirugia maxilo faciales,2008-04-01,18,18
EXALTACION,atenciones odontologicas,cirugia maxilo faciales,2008-04-01,55,55
GUAYARAMERIN,atenciones odontologicas,cirugia maxilo faciales,2008-04-01,4,4
IXIAMAS,atenciones odontologicas,cirugia maxilo faciales,2008-04-01,5,5
LA PAZ,atenciones odontologicas,cirugia maxilo faciales,2008-04-01,21,21
LLALLAGUA,atenciones odontologicas,cirugia maxilo faciales,2008-04-01,4,4
MONTERO,atenciones odontologicas,cirugia maxilo faciales,2008-04-01,16,16
ORURO,atenciones odontologicas,cirugia maxilo faciales,2008-04-01,15,15
POTOSI,atenciones odontologicas,cirugia maxilo faciales,2008-04-01,7,7
PUCARANI,atenciones odontologicas,cirugia maxilo faciales,2008-04-01,4,4
QUILLACOLLO,atenciones odontologicas,cirugia maxilo faciales,2008-04-01,1,1
RURRENABAQUE,atenciones odontologicas,cirugia maxilo faciales,2008-04-01,1,1
SAN MATIAS,atenciones odontologicas,cirugia maxilo faciales,2008-04-01,5,5
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,cirugia maxilo faciales,2008-04-01,63,63
SUCRE,atenciones odontologicas,cirugia maxilo faciales,2008-04-01,11,11
TARIJA,atenciones odontologicas,cirugia maxilo faciales,2008-04-01,3,3
TIAWANACU,atenciones odontologicas,cirugia maxilo faciales,2008-04-01,11,11
TOTORA(CBBA),atenciones odontologicas,cirugia maxilo faciales,2008-04-01,2,2
TRINIDAD,atenciones odontologicas,cirugia maxilo faciales,2008-04-01,267,267
TUPIZA,atenciones odontologicas,cirugia maxilo faciales,2008-04-01,1,1
VILLA TUNARI,atenciones odontologicas,cirugia maxilo faciales,2008-04-01,2,2
BETANZOS,atenciones odontologicas,cirugia maxilo faciales,2008-05-01,1,1
CALACOTO,atenciones odontologicas,cirugia maxilo faciales,2008-05-01,1,1
COCHABAMBA,atenciones odontologicas,cirugia maxilo faciales,2008-05-01,77,77
EL ALTO,atenciones odontologicas,cirugia maxilo faciales,2008-05-01,4,4
LA GUARDIA,atenciones odontologicas,cirugia maxilo faciales,2008-05-01,1,1
LA PAZ,atenciones odontologicas,cirugia maxilo faciales,2008-05-01,36,36
LLALLAGUA,atenciones odontologicas,cirugia maxilo faciales,2008-05-01,2,2
ORURO,atenciones odontologicas,cirugia maxilo faciales,2008-05-01,14,14
POTOSI,atenciones odontologicas,cirugia maxilo faciales,2008-05-01,3,3
PUNATA,atenciones odontologicas,cirugia maxilo faciales,2008-05-01,1,1
QUILLACOLLO,atenciones odontologicas,cirugia maxilo faciales,2008-05-01,1,1
QUIME,atenciones odontologicas,cirugia maxilo faciales,2008-05-01,1,1
RIBERALTA,atenciones odontologicas,cirugia maxilo faciales,2008-05-01,1,1
SACABA,atenciones odontologicas,cirugia maxilo faciales,2008-05-01,1,1
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,cirugia maxilo faciales,2008-05-01,58,58
SUCRE,atenciones odontologicas,cirugia maxilo faciales,2008-05-01,2,2
TARIJA,atenciones odontologicas,cirugia maxilo faciales,2008-05-01,62,62
UNCIA,atenciones odontologicas,cirugia maxilo faciales,2008-05-01,5,5
VILLA MONTES,atenciones odontologicas,cirugia maxilo faciales,2008-05-01,2,2
BETANZOS,atenciones odontologicas,cirugia maxilo faciales,2008-06-01,1,1
COCHABAMBA,atenciones odontologicas,cirugia maxilo faciales,2008-06-01,77,77
COLCAPIRHUA,atenciones odontologicas,cirugia maxilo faciales,2008-06-01,1,1
EL ALTO,atenciones odontologicas,cirugia maxilo faciales,2008-06-01,9,9
LA GUARDIA,atenciones odontologicas,cirugia maxilo faciales,2008-06-01,8,8
LA PAZ,atenciones odontologicas,cirugia maxilo faciales,2008-06-01,45,45
LLALLAGUA,atenciones odontologicas,cirugia maxilo faciales,2008-06-01,3,3
ORURO,atenciones odontologicas,cirugia maxilo faciales,2008-06-01,5,5
POTOSI,atenciones odontologicas,cirugia maxilo faciales,2008-06-01,4,4
RIBERALTA,atenciones odontologicas,cirugia maxilo faciales,2008-06-01,1,1
RURRENABAQUE,atenciones odontologicas,cirugia maxilo faciales,2008-06-01,1,1
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,cirugia maxilo faciales,2008-06-01,156,156
SUCRE,atenciones odontologicas,cirugia maxilo faciales,2008-06-01,14,14
VILLA MONTES,atenciones odontologicas,cirugia maxilo faciales,2008-06-01,2,2
ACACIO,atenciones odontologicas,cirugia maxilo faciales,2008-07-01,2,2
CALACOTO,atenciones odontologicas,cirugia maxilo faciales,2008-07-01,1,1
COCHABAMBA,atenciones odontologicas,cirugia maxilo faciales,2008-07-01,102,102
COLCAPIRHUA,atenciones odontologicas,cirugia maxilo faciales,2008-07-01,1,1
EL ALTO,atenciones odontologicas,cirugia maxilo faciales,2008-07-01,7,7
LA PAZ,atenciones odontologicas,cirugia maxilo faciales,2008-07-01,42,42
ORURO,atenciones odontologicas,cirugia maxilo faciales,2008-07-01,18,18
POTOSI,atenciones odontologicas,cirugia maxilo faciales,2008-07-01,3,3
PUERTO ACOSTA,atenciones odontologicas,cirugia maxilo faciales,2008-07-01,1,1
SAN BORJA,atenciones odontologicas,cirugia maxilo faciales,2008-07-01,12,12
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,cirugia maxilo faciales,2008-07-01,153,153
SUCRE,atenciones odontologicas,cirugia maxilo faciales,2008-07-01,15,15
TARIJA,atenciones odontologicas,cirugia maxilo faciales,2008-07-01,25,25
VILLA MONTES,atenciones odontologicas,cirugia maxilo faciales,2008-07-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,cirugia maxilo faciales,2008-08-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,cirugia maxilo faciales,2008-08-01,1,1
COCHABAMBA,atenciones odontologicas,cirugia maxilo faciales,2008-08-01,74,74
EL ALTO,atenciones odontologicas,cirugia maxilo faciales,2008-08-01,4,4
LA PAZ,atenciones odontologicas,cirugia maxilo faciales,2008-08-01,26,26
ORURO,atenciones odontologicas,cirugia maxilo faciales,2008-08-01,19,19
POTOSI,atenciones odontologicas,cirugia maxilo faciales,2008-08-01,2,2
PUNATA,atenciones odontologicas,cirugia maxilo faciales,2008-08-01,7,7
QUIME,atenciones odontologicas,cirugia maxilo faciales,2008-08-01,2,2
REYES,atenciones odontologicas,cirugia maxilo faciales,2008-08-01,30,30
SAN JULIAN,atenciones odontologicas,cirugia maxilo faciales,2008-08-01,1,1
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,cirugia maxilo faciales,2008-08-01,200,200
SUCRE,atenciones odontologicas,cirugia maxilo faciales,2008-08-01,23,23
TARIJA,atenciones odontologicas,cirugia maxilo faciales,2008-08-01,1,1
TOTORA(CBBA),atenciones odontologicas,cirugia maxilo faciales,2008-08-01,2,2
COCHABAMBA,atenciones odontologicas,cirugia maxilo faciales,2008-09-01,63,63
EL ALTO,atenciones odontologicas,cirugia maxilo faciales,2008-09-01,3,3
LA PAZ,atenciones odontologicas,cirugia maxilo faciales,2008-09-01,26,26
ORURO,atenciones odontologicas,cirugia maxilo faciales,2008-09-01,15,15
PORONGO,atenciones odontologicas,cirugia maxilo faciales,2008-09-01,62,62
POTOSI,atenciones odontologicas,cirugia maxilo faciales,2008-09-01,16,16
RIBERALTA,atenciones odontologicas,cirugia maxilo faciales,2008-09-01,1,1
SAN BORJA,atenciones odontologicas,cirugia maxilo faciales,2008-09-01,1,1
SAN BUENA VENTURA,atenciones odontologicas,cirugia maxilo faciales,2008-09-01,6,6
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,cirugia maxilo faciales,2008-09-01,112,112
SUCRE,atenciones odontologicas,cirugia maxilo faciales,2008-09-01,34,34
TARIJA,atenciones odontologicas,cirugia maxilo faciales,2008-09-01,7,7
TUPIZA,atenciones odontologicas,cirugia maxilo faciales,2008-09-01,1,1
VILLA TUNARI,atenciones odontologicas,cirugia maxilo faciales,2008-09-01,1,1
ACACIO,atenciones odontologicas,cirugia maxilo faciales,2008-10-01,1,1
BAURES,atenciones odontologicas,cirugia maxilo faciales,2008-10-01,1,1
CAMARGO,atenciones odontologicas,cirugia maxilo faciales,2008-10-01,2,2
CAPINOTA,atenciones odontologicas,cirugia maxilo faciales,2008-10-01,1,1
COCHABAMBA,atenciones odontologicas,cirugia maxilo faciales,2008-10-01,111,111
"COLCHA ""K""",atenciones odontologicas,cirugia maxilo faciales,2008-10-01,147,147
EL ALTO,atenciones odontologicas,cirugia maxilo faciales,2008-10-01,6,6
LA PAZ,atenciones odontologicas,cirugia maxilo faciales,2008-10-01,27,27
LAGUNILLAS,atenciones odontologicas,cirugia maxilo faciales,2008-10-01,3,3
ORURO,atenciones odontologicas,cirugia maxilo faciales,2008-10-01,9,9
PADILLA,atenciones odontologicas,cirugia maxilo faciales,2008-10-01,1,1
PORONGO,atenciones odontologicas,cirugia maxilo faciales,2008-10-01,383,383
POTOSI,atenciones odontologicas,cirugia maxilo faciales,2008-10-01,5,5
PUNATA,atenciones odontologicas,cirugia maxilo faciales,2008-10-01,1,1
QUIABAYA,atenciones odontologicas,cirugia maxilo faciales,2008-10-01,1,1
SACABA,atenciones odontologicas,cirugia maxilo faciales,2008-10-01,8,8
SAN BORJA,atenciones odontologicas,cirugia maxilo faciales,2008-10-01,1,1
SAN BUENA VENTURA,atenciones odontologicas,cirugia maxilo faciales,2008-10-01,5,5
SAN JULIAN,atenciones odontologicas,cirugia maxilo faciales,2008-10-01,7,7
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,cirugia maxilo faciales,2008-10-01,164,164
SUCRE,atenciones odontologicas,cirugia maxilo faciales,2008-10-01,26,26
TARIJA,atenciones odontologicas,cirugia maxilo faciales,2008-10-01,1,1
UYUNI,atenciones odontologicas,cirugia maxilo faciales,2008-10-01,2,2
VILLAZON,atenciones odontologicas,cirugia maxilo faciales,2008-10-01,183,183
AIQUILE,atenciones odontologicas,cirugia maxilo faciales,2008-11-01,6,6
CALACOTO,atenciones odontologicas,cirugia maxilo faciales,2008-11-01,1,1
COCHABAMBA,atenciones odontologicas,cirugia maxilo faciales,2008-11-01,64,64
EL ALTO,atenciones odontologicas,cirugia maxilo faciales,2008-11-01,7,7
LA PAZ,atenciones odontologicas,cirugia maxilo faciales,2008-11-01,14,14
ORURO,atenciones odontologicas,cirugia maxilo faciales,2008-11-01,15,15
PORONGO,atenciones odontologicas,cirugia maxilo faciales,2008-11-01,1,1
POTOSI,atenciones odontologicas,cirugia maxilo faciales,2008-11-01,3,3
REYES,atenciones odontologicas,cirugia maxilo faciales,2008-11-01,1,1
SAN BUENA VENTURA,atenciones odontologicas,cirugia maxilo faciales,2008-11-01,2,2
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,cirugia maxilo faciales,2008-11-01,110,110
SUCRE,atenciones odontologicas,cirugia maxilo faciales,2008-11-01,26,26
TARIJA,atenciones odontologicas,cirugia maxilo faciales,2008-11-01,2,2
TIQUIPAYA,atenciones odontologicas,cirugia maxilo faciales,2008-11-01,12,12
TRINIDAD,atenciones odontologicas,cirugia maxilo faciales,2008-11-01,2,2
VILLA TUNARI,atenciones odontologicas,cirugia maxilo faciales,2008-11-01,1,1
BELEN DE URMIRI,atenciones odontologicas,cirugia maxilo faciales,2008-12-01,5,5
BERMEJO,atenciones odontologicas,cirugia maxilo faciales,2008-12-01,1,1
CHARAGUA,atenciones odontologicas,cirugia maxilo faciales,2008-12-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,cirugia maxilo faciales,2008-12-01,2,2
COCHABAMBA,atenciones odontologicas,cirugia maxilo faciales,2008-12-01,72,72
EL ALTO,atenciones odontologicas,cirugia maxilo faciales,2008-12-01,5,5
LA PAZ,atenciones odontologicas,cirugia maxilo faciales,2008-12-01,11,11
ORURO,atenciones odontologicas,cirugia maxilo faciales,2008-12-01,15,15
PUERTO VILLARROEL,atenciones odontologicas,cirugia maxilo faciales,2008-12-01,6,6
PUNATA,atenciones odontologicas,cirugia maxilo faciales,2008-12-01,1,1
QUIME,atenciones odontologicas,cirugia maxilo faciales,2008-12-01,2,2
REYES,atenciones odontologicas,cirugia maxilo faciales,2008-12-01,1,1
SAN BUENA VENTURA,atenciones odontologicas,cirugia maxilo faciales,2008-12-01,2,2
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,cirugia maxilo faciales,2008-12-01,84,84
SUCRE,atenciones odontologicas,cirugia maxilo faciales,2008-12-01,14,14
UYUNI,atenciones odontologicas,cirugia maxilo faciales,2008-12-01,1,1
