municipality,group,variable,month,Restauraciones,TOTAL
CARAPARI,atenciones odontologicas,restauraciones,2008-01-01,228,228
CARIPUYO,atenciones odontologicas,restauraciones,2008-01-01,17,17
CARMEN RIVERO TORREZ,atenciones odontologicas,restauraciones,2008-01-01,6,6
CATACORA,atenciones odontologicas,restauraciones,2008-01-01,1,1
CHALLAPATA,atenciones odontologicas,restauraciones,2008-01-01,114,114
CHAQUI,atenciones odontologicas,restauraciones,2008-01-01,12,12
CHARAGUA,atenciones odontologicas,restauraciones,2008-01-01,154,154
CHAYANTA,atenciones odontologicas,restauraciones,2008-01-01,49,49
CHIMORE,atenciones odontologicas,restauraciones,2008-01-01,71,71
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,restauraciones,2008-01-01,107,107
CHUMA,atenciones odontologicas,restauraciones,2008-01-01,58,58
CLIZA,atenciones odontologicas,restauraciones,2008-01-01,288,288
COBIJA,atenciones odontologicas,restauraciones,2008-01-01,279,279
COCHABAMBA,atenciones odontologicas,restauraciones,2008-01-01,7559,7559
COLCAPIRHUA,atenciones odontologicas,restauraciones,2008-01-01,332,332
"COLCHA ""K""",atenciones odontologicas,restauraciones,2008-01-01,6,6
COLLANA,atenciones odontologicas,restauraciones,2008-01-01,6,6
COLOMI,atenciones odontologicas,restauraciones,2008-01-01,71,71
COLPA BELGICA,atenciones odontologicas,restauraciones,2008-01-01,99,99
COLQUECHACA,atenciones odontologicas,restauraciones,2008-01-01,27,27
COLQUENCHA,atenciones odontologicas,restauraciones,2008-01-01,32,32
COLQUIRI,atenciones odontologicas,restauraciones,2008-01-01,127,127
COMANCHE,atenciones odontologicas,restauraciones,2008-01-01,5,5
COMARAPA,atenciones odontologicas,restauraciones,2008-01-01,387,387
COMBAYA,atenciones odontologicas,restauraciones,2008-01-01,7,7
CONCEPCION,atenciones odontologicas,restauraciones,2008-01-01,102,102
COPACABANA,atenciones odontologicas,restauraciones,2008-01-01,22,22
CORIPATA,atenciones odontologicas,restauraciones,2008-01-01,29,29
CORO CORO,atenciones odontologicas,restauraciones,2008-01-01,12,12
COROICO,atenciones odontologicas,restauraciones,2008-01-01,244,244
CORQUE,atenciones odontologicas,restauraciones,2008-01-01,40,40
COTAGAITA,atenciones odontologicas,restauraciones,2008-01-01,3,3
COTOCA,atenciones odontologicas,restauraciones,2008-01-01,62,62
CUCHUMUELA (V. G. VILLARROEL),atenciones odontologicas,restauraciones,2008-01-01,31,31
CUEVO,atenciones odontologicas,restauraciones,2008-01-01,24,24
CULPINA,atenciones odontologicas,restauraciones,2008-01-01,26,26
CURAHUARA DE CARANGAS,atenciones odontologicas,restauraciones,2008-01-01,68,68
EL ALTO,atenciones odontologicas,restauraciones,2008-01-01,6925,6925
EL PUENTE(STC),atenciones odontologicas,restauraciones,2008-01-01,57,57
EL PUENTE(TJA),atenciones odontologicas,restauraciones,2008-01-01,80,80
EL TORNO,atenciones odontologicas,restauraciones,2008-01-01,250,250
EL VILLAR,atenciones odontologicas,restauraciones,2008-01-01,11,11
ENTRE RIOS,atenciones odontologicas,restauraciones,2008-01-01,118,118
ENTRE RIOS,atenciones odontologicas,restauraciones,2008-01-01,115,115
EUCALIPTUS,atenciones odontologicas,restauraciones,2008-01-01,26,26
FERNANDEZ ALONSO,atenciones odontologicas,restauraciones,2008-01-01,82,82
FILADELFIA,atenciones odontologicas,restauraciones,2008-01-01,15,15
GENERAL SAAVEDRA,atenciones odontologicas,restauraciones,2008-01-01,58,58
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,restauraciones,2008-01-01,25,25
GUANAY,atenciones odontologicas,restauraciones,2008-01-01,120,120
GUAQUI,atenciones odontologicas,restauraciones,2008-01-01,80,80
GUAYARAMERIN,atenciones odontologicas,restauraciones,2008-01-01,369,369
GUTIERREZ,atenciones odontologicas,restauraciones,2008-01-01,28,28
HUACARETA,atenciones odontologicas,restauraciones,2008-01-01,48,48
HUACHACALLA,atenciones odontologicas,restauraciones,2008-01-01,27,27
HUANUNI,atenciones odontologicas,restauraciones,2008-01-01,231,231
HUARACAJE,atenciones odontologicas,restauraciones,2008-01-01,45,45
HUAYLLAMARCA,atenciones odontologicas,restauraciones,2008-01-01,13,13
ICLA,atenciones odontologicas,restauraciones,2008-01-01,67,67
INCAHUASI,atenciones odontologicas,restauraciones,2008-01-01,42,42
INQUISIVI,atenciones odontologicas,restauraciones,2008-01-01,41,41
IRUPANA (VILLA DE LANZA),atenciones odontologicas,restauraciones,2008-01-01,103,103
IXIAMAS,atenciones odontologicas,restauraciones,2008-01-01,55,55
JESUS DE MACHACA,atenciones odontologicas,restauraciones,2008-01-01,45,45
LA ASUNTA,atenciones odontologicas,restauraciones,2008-01-01,12,12
LA GUARDIA,atenciones odontologicas,restauraciones,2008-01-01,225,225
LA PAZ,atenciones odontologicas,restauraciones,2008-01-01,13313,13313
LAGUNILLAS,atenciones odontologicas,restauraciones,2008-01-01,15,15
LAJA,atenciones odontologicas,restauraciones,2008-01-01,37,37
LICOMA PAMPA,atenciones odontologicas,restauraciones,2008-01-01,18,18
LLALLAGUA,atenciones odontologicas,restauraciones,2008-01-01,219,219
LLICA,atenciones odontologicas,restauraciones,2008-01-01,6,6
LURIBAY,atenciones odontologicas,restauraciones,2008-01-01,5,5
MACHACAMARCA,atenciones odontologicas,restauraciones,2008-01-01,64,64
MACHARETI,atenciones odontologicas,restauraciones,2008-01-01,26,26
MAGDALENA,atenciones odontologicas,restauraciones,2008-01-01,203,203
MAIRANA,atenciones odontologicas,restauraciones,2008-01-01,63,63
MAPIRI,atenciones odontologicas,restauraciones,2008-01-01,94,94
MECAPACA,atenciones odontologicas,restauraciones,2008-01-01,27,27
MINEROS,atenciones odontologicas,restauraciones,2008-01-01,20,20
MIZQUE,atenciones odontologicas,restauraciones,2008-01-01,92,92
MOCOMOCO,atenciones odontologicas,restauraciones,2008-01-01,11,11
MOJOCOYA,atenciones odontologicas,restauraciones,2008-01-01,12,12
MONTEAGUDO,atenciones odontologicas,restauraciones,2008-01-01,271,271
MONTERO,atenciones odontologicas,restauraciones,2008-01-01,484,484
MORO MORO,atenciones odontologicas,restauraciones,2008-01-01,45,45
MOROCHATA,atenciones odontologicas,restauraciones,2008-01-01,66,66
OCURI,atenciones odontologicas,restauraciones,2008-01-01,18,18
OKINAWA,atenciones odontologicas,restauraciones,2008-01-01,35,35
OMEREQUE,atenciones odontologicas,restauraciones,2008-01-01,17,17
ORURO,atenciones odontologicas,restauraciones,2008-01-01,1842,1842
PADCAYA,atenciones odontologicas,restauraciones,2008-01-01,386,386
PADILLA,atenciones odontologicas,restauraciones,2008-01-01,81,81
PAILON,atenciones odontologicas,restauraciones,2008-01-01,77,77
PALCA,atenciones odontologicas,restauraciones,2008-01-01,57,57
PALOS BLANCOS,atenciones odontologicas,restauraciones,2008-01-01,112,112
PAMPA AULLAGAS,atenciones odontologicas,restauraciones,2008-01-01,22,22
PAPEL PAMPA,atenciones odontologicas,restauraciones,2008-01-01,12,12
PASORAPA,atenciones odontologicas,restauraciones,2008-01-01,29,29
PAZÑA,atenciones odontologicas,restauraciones,2008-01-01,66,66
PELECHUCO,atenciones odontologicas,restauraciones,2008-01-01,7,7
POCOATA,atenciones odontologicas,restauraciones,2008-01-01,22,22
POCONA,atenciones odontologicas,restauraciones,2008-01-01,6,6
POJO (CBBA),atenciones odontologicas,restauraciones,2008-01-01,25,25
POOPO,atenciones odontologicas,restauraciones,2008-01-01,75,75
PORCO,atenciones odontologicas,restauraciones,2008-01-01,24,24
POROMA,atenciones odontologicas,restauraciones,2008-01-01,3,3
PORONGO,atenciones odontologicas,restauraciones,2008-01-01,62,62
PORTACHUELO,atenciones odontologicas,restauraciones,2008-01-01,69,69
PORVENIR,atenciones odontologicas,restauraciones,2008-01-01,17,17
POSTRER VALLE,atenciones odontologicas,restauraciones,2008-01-01,42,42
POTOSI,atenciones odontologicas,restauraciones,2008-01-01,828,828
PUCARA,atenciones odontologicas,restauraciones,2008-01-01,15,15
PUCARANI,atenciones odontologicas,restauraciones,2008-01-01,72,72
PUERTO ACOSTA,atenciones odontologicas,restauraciones,2008-01-01,111,111
PUERTO CARABUCO,atenciones odontologicas,restauraciones,2008-01-01,96,96
PUERTO GONZALO MORENO,atenciones odontologicas,restauraciones,2008-01-01,5,5
PUERTO QUIJARRO,atenciones odontologicas,restauraciones,2008-01-01,69,69
PUERTO RICO,atenciones odontologicas,restauraciones,2008-01-01,2,2
PUERTO SUAREZ,atenciones odontologicas,restauraciones,2008-01-01,116,116
PUERTO VILLARROEL,atenciones odontologicas,restauraciones,2008-01-01,303,303
PUNA,atenciones odontologicas,restauraciones,2008-01-01,99,99
PUNATA,atenciones odontologicas,restauraciones,2008-01-01,369,369
QUIABAYA,atenciones odontologicas,restauraciones,2008-01-01,1,1
QUILLACOLLO,atenciones odontologicas,restauraciones,2008-01-01,1231,1231
QUIME,atenciones odontologicas,restauraciones,2008-01-01,146,146
QUIRUSILLAS,atenciones odontologicas,restauraciones,2008-01-01,98,98
REYES,atenciones odontologicas,restauraciones,2008-01-01,69,69
RIBERALTA,atenciones odontologicas,restauraciones,2008-01-01,519,519
ROBORE,atenciones odontologicas,restauraciones,2008-01-01,86,86
RURRENABAQUE,atenciones odontologicas,restauraciones,2008-01-01,47,47
SABAYA,atenciones odontologicas,restauraciones,2008-01-01,13,13
SACABA,atenciones odontologicas,restauraciones,2008-01-01,622,622
SACACA,atenciones odontologicas,restauraciones,2008-01-01,53,53
SAIPINA,atenciones odontologicas,restauraciones,2008-01-01,181,181
SALINAS DE GARCI MENDOZA,atenciones odontologicas,restauraciones,2008-01-01,95,95
SAMAIPATA,atenciones odontologicas,restauraciones,2008-01-01,100,100
SAN AGUSTIN,atenciones odontologicas,restauraciones,2008-01-01,10,10
SAN ANDRES,atenciones odontologicas,restauraciones,2008-01-01,4,4
SAN ANDRES DE MACHACA,atenciones odontologicas,restauraciones,2008-01-01,15,15
SAN ANTONIO DE LOMERIO,atenciones odontologicas,restauraciones,2008-01-01,53,53
SAN BORJA,atenciones odontologicas,restauraciones,2008-01-01,179,179
SAN BUENA VENTURA,atenciones odontologicas,restauraciones,2008-01-01,18,18
SAN CARLOS,atenciones odontologicas,restauraciones,2008-01-01,161,161
SAN IGNACIO,atenciones odontologicas,restauraciones,2008-01-01,142,142
SAN IGNACIO DE VELASCO,atenciones odontologicas,restauraciones,2008-01-01,294,294
SAN JAVIER(STC),atenciones odontologicas,restauraciones,2008-01-01,55,55
SAN JOAQUIN,atenciones odontologicas,restauraciones,2008-01-01,83,83
SAN JUAN DE YAPACANI,atenciones odontologicas,restauraciones,2008-01-01,17,17
SAN LORENZO(TJA),atenciones odontologicas,restauraciones,2008-01-01,238,238
SAN LUCAS,atenciones odontologicas,restauraciones,2008-01-01,72,72
SAN MATIAS,atenciones odontologicas,restauraciones,2008-01-01,88,88
SAN MIGUEL DE VELASCO,atenciones odontologicas,restauraciones,2008-01-01,147,147
SAN PEDRO,atenciones odontologicas,restauraciones,2008-01-01,63,63
SAN PEDRO DE BUENA VISTA,atenciones odontologicas,restauraciones,2008-01-01,14,14
SAN PEDRO DE CURAHUARA,atenciones odontologicas,restauraciones,2008-01-01,61,61
SAN PEDRO DE TIQUINA,atenciones odontologicas,restauraciones,2008-01-01,27,27
SAN RAFAEL,atenciones odontologicas,restauraciones,2008-01-01,41,41
SAN RAMON,atenciones odontologicas,restauraciones,2008-01-01,24,24
SAN RAMON,atenciones odontologicas,restauraciones,2008-01-01,111,111
SANTA ANA,atenciones odontologicas,restauraciones,2008-01-01,297,297
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,restauraciones,2008-01-01,8593,8593
SANTA ROSA DEL SARA,atenciones odontologicas,restauraciones,2008-01-01,138,138
SANTIAGO DE CALLAPA,atenciones odontologicas,restauraciones,2008-01-01,1,1
SANTIAGO DE HUARI,atenciones odontologicas,restauraciones,2008-01-01,100,100
SANTIAGO DE MACHACA,atenciones odontologicas,restauraciones,2008-01-01,28,28
SANTIVAÑES,atenciones odontologicas,restauraciones,2008-01-01,16,16
SANTUARIO DE QUILLACAS,atenciones odontologicas,restauraciones,2008-01-01,37,37
SAPAHAQUI,atenciones odontologicas,restauraciones,2008-01-01,12,12
SENA,atenciones odontologicas,restauraciones,2008-01-01,16,16
SICA SICA (VILLA AROMA),atenciones odontologicas,restauraciones,2008-01-01,123,123
SICAYA,atenciones odontologicas,restauraciones,2008-01-01,24,24
SIPE SIPE,atenciones odontologicas,restauraciones,2008-01-01,581,581
SORACACHI,atenciones odontologicas,restauraciones,2008-01-01,43,43
SORATA,atenciones odontologicas,restauraciones,2008-01-01,22,22
SUCRE,atenciones odontologicas,restauraciones,2008-01-01,4235,4235
TACACOMA,atenciones odontologicas,restauraciones,2008-01-01,22,22
TACOPAYA,atenciones odontologicas,restauraciones,2008-01-01,23,23
TAPACARI,atenciones odontologicas,restauraciones,2008-01-01,77,77
TARABUCO,atenciones odontologicas,restauraciones,2008-01-01,40,40
TARACO,atenciones odontologicas,restauraciones,2008-01-01,13,13
TARATA,atenciones odontologicas,restauraciones,2008-01-01,81,81
TARIJA,atenciones odontologicas,restauraciones,2008-01-01,2047,2047
TARVITA,atenciones odontologicas,restauraciones,2008-01-01,55,55
TEOPONTE,atenciones odontologicas,restauraciones,2008-01-01,46,46
TIAWANACU,atenciones odontologicas,restauraciones,2008-01-01,3,3
TINGUIPAYA,atenciones odontologicas,restauraciones,2008-01-01,10,10
TIPUANI,atenciones odontologicas,restauraciones,2008-01-01,16,16
TIQUIPAYA,atenciones odontologicas,restauraciones,2008-01-01,559,559
TIRAQUE (CBBA),atenciones odontologicas,restauraciones,2008-01-01,696,696
TOCO,atenciones odontologicas,restauraciones,2008-01-01,156,156
TOLATA,atenciones odontologicas,restauraciones,2008-01-01,93,93
TOLEDO,atenciones odontologicas,restauraciones,2008-01-01,141,141
TOMAVE,atenciones odontologicas,restauraciones,2008-01-01,14,14
TOMINA,atenciones odontologicas,restauraciones,2008-01-01,62,62
TORO TORO,atenciones odontologicas,restauraciones,2008-01-01,43,43
TOTORA(CBBA),atenciones odontologicas,restauraciones,2008-01-01,48,48
TOTORA(ORR),atenciones odontologicas,restauraciones,2008-01-01,11,11
TRIGAL,atenciones odontologicas,restauraciones,2008-01-01,35,35
TRINIDAD,atenciones odontologicas,restauraciones,2008-01-01,1025,1025
TUPIZA,atenciones odontologicas,restauraciones,2008-01-01,278,278
TURCO,atenciones odontologicas,restauraciones,2008-01-01,20,20
UMALA,atenciones odontologicas,restauraciones,2008-01-01,13,13
UNCIA,atenciones odontologicas,restauraciones,2008-01-01,104,104
URIONDO (A. CONCEPCION),atenciones odontologicas,restauraciones,2008-01-01,112,112
URUBICHA,atenciones odontologicas,restauraciones,2008-01-01,25,25
UYUNI,atenciones odontologicas,restauraciones,2008-01-01,24,24
VACAS,atenciones odontologicas,restauraciones,2008-01-01,61,61
VALLEGRANDE,atenciones odontologicas,restauraciones,2008-01-01,330,330
VIACHA,atenciones odontologicas,restauraciones,2008-01-01,231,231
VILLA MONTES,atenciones odontologicas,restauraciones,2008-01-01,234,234
VILLA NUEVA (LOMA ALTA),atenciones odontologicas,restauraciones,2008-01-01,18,18
VILLA RIVERO,atenciones odontologicas,restauraciones,2008-01-01,53,53
VILLA SERRANO,atenciones odontologicas,restauraciones,2008-01-01,65,65
VILLA TUNARI,atenciones odontologicas,restauraciones,2008-01-01,385,385
VILLA VACA GUZMAN (MUYUPAMPA),atenciones odontologicas,restauraciones,2008-01-01,85,85
VILLAZON,atenciones odontologicas,restauraciones,2008-01-01,117,117
VINTO,atenciones odontologicas,restauraciones,2008-01-01,130,130
VITICHI,atenciones odontologicas,restauraciones,2008-01-01,7,7
WALDO BALLIVIAN,atenciones odontologicas,restauraciones,2008-01-01,15,15
WARNES,atenciones odontologicas,restauraciones,2008-01-01,349,349
YACUIBA,atenciones odontologicas,restauraciones,2008-01-01,895,895
YAMPARAEZ,atenciones odontologicas,restauraciones,2008-01-01,28,28
YANACACHI,atenciones odontologicas,restauraciones,2008-01-01,19,19
YAPACANI,atenciones odontologicas,restauraciones,2008-01-01,147,147
YOCALLA,atenciones odontologicas,restauraciones,2008-01-01,15,15
YOTALA,atenciones odontologicas,restauraciones,2008-01-01,25,25
YUNCHARA,atenciones odontologicas,restauraciones,2008-01-01,27,27
ZUDAÑEZ,atenciones odontologicas,restauraciones,2008-01-01,90,90
ACACIO,atenciones odontologicas,restauraciones,2008-02-01,4,4
ACHACACHI,atenciones odontologicas,restauraciones,2008-02-01,95,95
ACHOCALLA,atenciones odontologicas,restauraciones,2008-02-01,56,56
AIQUILE,atenciones odontologicas,restauraciones,2008-02-01,101,101
ALCALA,atenciones odontologicas,restauraciones,2008-02-01,17,17
ANCORAIMES,atenciones odontologicas,restauraciones,2008-02-01,45,45
ANDAMARCA,atenciones odontologicas,restauraciones,2008-02-01,56,56
ANTEQUERA,atenciones odontologicas,restauraciones,2008-02-01,27,27
ANZALDO,atenciones odontologicas,restauraciones,2008-02-01,30,30
APOLO,atenciones odontologicas,restauraciones,2008-02-01,45,45
ARANI,atenciones odontologicas,restauraciones,2008-02-01,65,65
ARBIETO,atenciones odontologicas,restauraciones,2008-02-01,8,8
ARQUE,atenciones odontologicas,restauraciones,2008-02-01,32,32
ASCENCION DE GUARAYOS,atenciones odontologicas,restauraciones,2008-02-01,31,31
ATOCHA,atenciones odontologicas,restauraciones,2008-02-01,327,327
AUCAPATA,atenciones odontologicas,restauraciones,2008-02-01,19,19
AYO AYO,atenciones odontologicas,restauraciones,2008-02-01,38,38
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,restauraciones,2008-02-01,111,111
AZURDUY,atenciones odontologicas,restauraciones,2008-02-01,34,34
BATALLAS,atenciones odontologicas,restauraciones,2008-02-01,25,25
BAURES,atenciones odontologicas,restauraciones,2008-02-01,68,68
BERMEJO,atenciones odontologicas,restauraciones,2008-02-01,339,339
BETANZOS,atenciones odontologicas,restauraciones,2008-02-01,155,155
BOLIVAR,atenciones odontologicas,restauraciones,2008-02-01,9,9
BOLPEBRA,atenciones odontologicas,restauraciones,2008-02-01,13,13
BOYUIBE,atenciones odontologicas,restauraciones,2008-02-01,53,53
BUENA VISTA,atenciones odontologicas,restauraciones,2008-02-01,51,51
CABEZAS,atenciones odontologicas,restauraciones,2008-02-01,66,66
CAIROMA,atenciones odontologicas,restauraciones,2008-02-01,10,10
"CAIZA ""D""",atenciones odontologicas,restauraciones,2008-02-01,7,7
CALACOTO,atenciones odontologicas,restauraciones,2008-02-01,8,8
CALAMARCA,atenciones odontologicas,restauraciones,2008-02-01,51,51
CAMARGO,atenciones odontologicas,restauraciones,2008-02-01,110,110
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,restauraciones,2008-02-01,25,25
CAMIRI,atenciones odontologicas,restauraciones,2008-02-01,299,299
CAPINOTA,atenciones odontologicas,restauraciones,2008-02-01,101,101
CAQUIAVIRI,atenciones odontologicas,restauraciones,2008-02-01,5,5
CARACOLLO,atenciones odontologicas,restauraciones,2008-02-01,91,91
CARANAVI,atenciones odontologicas,restauraciones,2008-02-01,32,32
CARAPARI,atenciones odontologicas,restauraciones,2008-02-01,171,171
CARIPUYO,atenciones odontologicas,restauraciones,2008-02-01,5,5
CHALLAPATA,atenciones odontologicas,restauraciones,2008-02-01,129,129
CHARAGUA,atenciones odontologicas,restauraciones,2008-02-01,140,140
CHAYANTA,atenciones odontologicas,restauraciones,2008-02-01,35,35
CHIMORE,atenciones odontologicas,restauraciones,2008-02-01,85,85
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,restauraciones,2008-02-01,80,80
CHUMA,atenciones odontologicas,restauraciones,2008-02-01,19,19
CLIZA,atenciones odontologicas,restauraciones,2008-02-01,237,237
COBIJA,atenciones odontologicas,restauraciones,2008-02-01,257,257
COCHABAMBA,atenciones odontologicas,restauraciones,2008-02-01,6110,6110
COLCAPIRHUA,atenciones odontologicas,restauraciones,2008-02-01,308,308
"COLCHA ""K""",atenciones odontologicas,restauraciones,2008-02-01,11,11
COLLANA,atenciones odontologicas,restauraciones,2008-02-01,8,8
COLOMI,atenciones odontologicas,restauraciones,2008-02-01,58,58
COLPA BELGICA,atenciones odontologicas,restauraciones,2008-02-01,74,74
COLQUECHACA,atenciones odontologicas,restauraciones,2008-02-01,19,19
COLQUENCHA,atenciones odontologicas,restauraciones,2008-02-01,42,42
COLQUIRI,atenciones odontologicas,restauraciones,2008-02-01,117,117
COMANCHE,atenciones odontologicas,restauraciones,2008-02-01,24,24
COMARAPA,atenciones odontologicas,restauraciones,2008-02-01,286,286
COMBAYA,atenciones odontologicas,restauraciones,2008-02-01,5,5
CONCEPCION,atenciones odontologicas,restauraciones,2008-02-01,20,20
COPACABANA,atenciones odontologicas,restauraciones,2008-02-01,21,21
CORIPATA,atenciones odontologicas,restauraciones,2008-02-01,41,41
CORO CORO,atenciones odontologicas,restauraciones,2008-02-01,8,8
COROICO,atenciones odontologicas,restauraciones,2008-02-01,176,176
CORQUE,atenciones odontologicas,restauraciones,2008-02-01,8,8
COTAGAITA,atenciones odontologicas,restauraciones,2008-02-01,31,31
COTOCA,atenciones odontologicas,restauraciones,2008-02-01,27,27
CUCHUMUELA (V. G. VILLARROEL),atenciones odontologicas,restauraciones,2008-02-01,45,45
CUEVO,atenciones odontologicas,restauraciones,2008-02-01,17,17
CULPINA,atenciones odontologicas,restauraciones,2008-02-01,22,22
CURAHUARA DE CARANGAS,atenciones odontologicas,restauraciones,2008-02-01,37,37
DESAGUADERO,atenciones odontologicas,restauraciones,2008-02-01,28,28
EL ALTO,atenciones odontologicas,restauraciones,2008-02-01,6580,6580
EL PUENTE(STC),atenciones odontologicas,restauraciones,2008-02-01,43,43
EL PUENTE(TJA),atenciones odontologicas,restauraciones,2008-02-01,40,40
EL TORNO,atenciones odontologicas,restauraciones,2008-02-01,61,61
EL VILLAR,atenciones odontologicas,restauraciones,2008-02-01,1,1
ENTRE RIOS,atenciones odontologicas,restauraciones,2008-02-01,44,44
ENTRE RIOS,atenciones odontologicas,restauraciones,2008-02-01,90,90
EUCALIPTUS,atenciones odontologicas,restauraciones,2008-02-01,11,11
EXALTACION,atenciones odontologicas,restauraciones,2008-02-01,19,19
FERNANDEZ ALONSO,atenciones odontologicas,restauraciones,2008-02-01,101,101
FILADELFIA,atenciones odontologicas,restauraciones,2008-02-01,10,10
GENERAL SAAVEDRA,atenciones odontologicas,restauraciones,2008-02-01,58,58
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,restauraciones,2008-02-01,54,54
GUANAY,atenciones odontologicas,restauraciones,2008-02-01,118,118
GUAQUI,atenciones odontologicas,restauraciones,2008-02-01,51,51
GUAYARAMERIN,atenciones odontologicas,restauraciones,2008-02-01,312,312
GUTIERREZ,atenciones odontologicas,restauraciones,2008-02-01,35,35
HUACARETA,atenciones odontologicas,restauraciones,2008-02-01,44,44
HUACAYA (VILLA DE HUACAYA),atenciones odontologicas,restauraciones,2008-02-01,47,47
HUACHACALLA,atenciones odontologicas,restauraciones,2008-02-01,17,17
HUANUNI,atenciones odontologicas,restauraciones,2008-02-01,272,272
HUARACAJE,atenciones odontologicas,restauraciones,2008-02-01,29,29
HUAYLLAMARCA,atenciones odontologicas,restauraciones,2008-02-01,14,14
ICLA,atenciones odontologicas,restauraciones,2008-02-01,52,52
INCAHUASI,atenciones odontologicas,restauraciones,2008-02-01,49,49
INQUISIVI,atenciones odontologicas,restauraciones,2008-02-01,38,38
IRUPANA (VILLA DE LANZA),atenciones odontologicas,restauraciones,2008-02-01,94,94
IXIAMAS,atenciones odontologicas,restauraciones,2008-02-01,34,34
JESUS DE MACHACA,atenciones odontologicas,restauraciones,2008-02-01,37,37
LA ASUNTA,atenciones odontologicas,restauraciones,2008-02-01,29,29
LA GUARDIA,atenciones odontologicas,restauraciones,2008-02-01,194,194
LA PAZ,atenciones odontologicas,restauraciones,2008-02-01,12338,12338
LAGUNILLAS,atenciones odontologicas,restauraciones,2008-02-01,23,23
LAJA,atenciones odontologicas,restauraciones,2008-02-01,44,44
LICOMA PAMPA,atenciones odontologicas,restauraciones,2008-02-01,30,30
LLALLAGUA,atenciones odontologicas,restauraciones,2008-02-01,134,134
LLICA,atenciones odontologicas,restauraciones,2008-02-01,19,19
LURIBAY,atenciones odontologicas,restauraciones,2008-02-01,13,13
MACHACAMARCA,atenciones odontologicas,restauraciones,2008-02-01,91,91
MACHARETI,atenciones odontologicas,restauraciones,2008-02-01,28,28
MAGDALENA,atenciones odontologicas,restauraciones,2008-02-01,76,76
MAIRANA,atenciones odontologicas,restauraciones,2008-02-01,19,19
MAPIRI,atenciones odontologicas,restauraciones,2008-02-01,182,182
MECAPACA,atenciones odontologicas,restauraciones,2008-02-01,22,22
