,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
ARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,7,8,63,50,70,58,128
ARBIETO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,12,16,183,169,195,185,380
ARQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,5,4,85,77,90,81,171
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,60,57,194,182,254,239,493
ATOCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,5,4,47,52,52,56,108
AUCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,6,5,43,21,49,26,75
AYATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,4,2,37,39,41,41,82
AYO AYO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,3,2,40,46,43,48,91
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,21,11,100,102,121,113,234
AZURDUY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,11,10,41,34,52,44,96
BATALLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,9,3,102,96,111,99,210
BAURES,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,0,0,10,6,10,6,16
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,3,4,6,5,9,14
BELEN DE URMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,0,0,0,2,0,2,2
BELLA FLOR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,3,10,9,11,12,23
BERMEJO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,58,46,84,87,142,133,275
BETANZOS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,11,18,139,142,150,160,310
BOLIVAR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,4,7,24,19,28,26,54
BOLPEBRA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,1,5,1,6,2,8
BOYUIBE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,2,3,24,25,26,28,54
BUENA VISTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,14,5,88,69,102,74,176
CABEZAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,11,14,137,126,148,140,288
CAIROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,6,6,60,41,66,47,113
"CAIZA ""D""",control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,3,2,28,33,31,35,66
CAJUATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,15,9,80,92,95,101,196
CALACOTO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,0,5,5,6,5,11
CALAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,5,71,63,72,68,140
CAMARGO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,11,6,44,44,55,50,105
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,0,15,10,16,10,26
CAMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,27,31,152,148,179,179,358
CAPINOTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,13,18,134,165,147,183,330
CAQUIAVIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,3,5,38,38,41,43,84
CARACOLLO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,12,9,119,109,131,118,249
CARANAVI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,79,93,168,155,247,248,495
CARANGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,0,1,0,1,0,2,2
CARAPARI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,9,9,86,71,95,80,175
CARIPUYO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,3,2,39,38,42,40,82
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,8,9,26,24,34,33,67
CATACORA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,0,1,6,4,6,5,11
CHACARILLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,0,0,10,4,10,4,14
CHALLAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,17,25,166,167,183,192,375
CHAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,3,4,46,44,49,48,97
CHARAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,11,11,81,75,92,86,178
CHARAÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,1,5,6,6,7,13
CHAYANTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,11,14,79,65,90,79,169
CHIMORE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,115,84,118,125,233,209,442
CHIPAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,2,9,8,10,10,20
CHOQUE COTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,2,0,7,6,9,6,15
CHUA COCANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,2,2,20,13,22,15,37
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,17,13,54,54,71,67,138
CHUMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,0,1,27,26,27,27,54
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,8,9,51,28,59,37,96
CKOCHAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,8,6,60,41,68,47,115
CLIZA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,22,16,88,75,110,91,201
COBIJA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,34,32,277,270,311,302,613
COCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,19,17,52,56,71,73,144
COCHABAMBA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1027,1012,2198,2153,3225,3165,6390
COIPASA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,0,0,4,1,4,1,5
COLCAPIRHUA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,45,39,150,150,195,189,384
"COLCHA ""K""",control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,2,0,53,50,55,50,105
COLLANA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,0,3,8,4,8,12
COLOMI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,16,10,159,163,175,173,348
COLPA BELGICA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,4,29,21,30,25,55
COLQUECHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,13,3,69,70,82,73,155
COLQUENCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,5,3,71,64,76,67,143
COLQUIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,9,9,65,53,74,62,136
COMANCHE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,2,1,10,20,12,21,33
COMARAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,13,17,95,101,108,118,226
COMBAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,1,6,4,7,5,12
CONCEPCION,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,15,19,154,132,169,151,320
COPACABANA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,6,1,34,21,40,22,62
CORIPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,18,12,130,95,148,107,255
CORO CORO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,4,2,34,38,38,40,78
COROICO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,16,9,63,57,79,66,145
CORQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,4,1,40,27,44,28,72
COTAGAITA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,13,14,103,117,116,131,247
COTOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,46,56,364,360,410,416,826
CRUZ DE MACHACAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,0,0,1,0,1,0,1
CUATRO CAÑADAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,16,16,131,140,147,156,303
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,2,0,5,1,7,1,8
CUEVO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,10,4,22,11,32,15,47
CULPINA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,10,4,96,86,106,90,196
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,2,1,26,19,28,20,48
CURVA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,0,12,9,13,9,22
DESAGUADERO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,3,7,30,30,33,37,70
EL ALTO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,851,783,2950,2870,3801,3653,7454
EL CHORO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,0,8,11,9,11,20
EL PUENTE(STC),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,2,6,48,46,50,52,102
EL PUENTE(TJA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,10,10,49,40,59,50,109
EL TORNO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,26,32,368,343,394,375,769
EL VILLAR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,4,3,17,16,21,19,40
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,11,10,112,117,123,127,250
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,85,88,356,311,441,399,840
ESCARA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,0,0,2,1,2,1,3
ESCOMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,2,2,31,19,33,21,54
ESMERALDA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,0,0,2,1,2,1,3
EUCALIPTUS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,2,0,27,16,29,16,45
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,0,7,8,8,8,16
EXALTACION,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,8,4,5,5,13,9,22
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,3,8,70,62,73,70,143
FILADELFIA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,6,3,24,23,30,26,56
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,6,7,95,86,101,93,194
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,7,11,38,37,45,48,93
GUANAY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,11,5,81,68,92,73,165
GUAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,0,4,25,28,25,32,57
GUAYARAMERIN,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,46,62,243,223,289,285,574
GUTIERREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,3,7,47,57,50,64,114
HUACARETA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,5,6,26,18,31,24,55
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,0,2,4,8,4,10,14
HUACHACALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,6,0,8,3,14,3,17
HUANUNI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,13,16,78,82,91,98,189
HUARACAJE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,2,9,9,10,11,21
HUARINA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,0,0,40,22,40,22,62
HUATAJATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,0,0,5,6,5,6,11
HUAYLLAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,0,1,22,16,22,17,39
HUMANATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,0,0,15,12,15,12,27
ICHOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,1,14,13,15,14,29
ICLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,5,1,25,16,30,17,47
INCAHUASI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,5,3,52,50,57,53,110
INGAVI (HUMAITA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,3,3,8,1,11,4,15
INQUISIVI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,4,2,70,55,74,57,131
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,10,11,72,63,82,74,156
IXIAMAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,9,8,44,53,53,61,114
JESUS DE MACHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,3,6,50,61,53,67,120
LA ASUNTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,39,36,254,208,293,244,537
LA GUARDIA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,69,78,582,527,651,605,1256
LA PAZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,859,881,1520,1412,2379,2293,4672
LA RIVERA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,0,0,0,3,0,3,3
LAGUNILLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,3,3,18,22,21,25,46
LAJA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,5,5,105,89,110,94,204
LAS CARRERAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,0,1,14,18,14,19,33
LICOMA PAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,0,0,9,3,9,3,12
LLALLAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,17,25,170,137,187,162,349
LLICA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,3,4,12,9,15,13,28
LORETO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,2,3,9,6,11,9,20
LURIBAY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,6,4,57,43,63,47,110
MACHACAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,2,1,19,24,21,25,46
MACHARETI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,3,4,18,33,21,37,58
MAGDALENA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,9,14,53,37,62,51,113
MAIRANA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,8,14,81,95,89,109,198
MALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,0,0,0,4,0,4,4
MAPIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,19,19,120,104,139,123,262
MECAPACA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,14,6,70,54,84,60,144
MINEROS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,15,14,118,129,133,143,276
MIZQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,19,32,95,89,114,121,235
MOCOMOCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,2,1,64,40,66,41,107
MOJINETE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,0,1,4,7,4,8,12
MOJOCOYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,6,1,49,38,55,39,94
MONTEAGUDO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,23,16,122,131,145,147,292
MONTERO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,122,97,705,673,827,770,1597
MORO MORO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,0,1,4,2,4,6
MOROCHATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,5,8,33,23,38,31,69
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,1,25,10,26,11,37
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,0,5,6,6,6,12
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,1,6,13,7,14,21
OCURI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,4,2,61,29,65,31,96
OKINAWA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,4,4,48,53,52,57,109
OMEREQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,5,60,47,61,52,113
ORURO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,300,293,1507,1452,1807,1745,3552
PADCAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,8,12,95,113,103,125,228
PADILLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,12,8,54,65,66,73,139
PAILON,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,63,52,162,109,225,161,386
PALCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,42,46,81,82,123,128,251
PALOS BLANCOS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,22,34,130,147,152,181,333
PAMPA AULLAGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,2,12,16,13,18,31
PAMPA GRANDE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,4,4,44,57,48,61,109
PAPEL PAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,0,4,23,26,23,30,53
PASORAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,2,1,14,10,16,11,27
PATACAMAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,57,47,80,68,137,115,252
PAZÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,8,2,28,27,36,29,65
PELECHUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,2,2,52,37,54,39,93
POCOATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,3,8,60,53,63,61,124
POCONA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,11,18,53,49,64,67,131
POJO (CBBA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,8,13,70,69,78,82,160
POOPO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,5,23,18,24,23,47
PORCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,7,7,80,78,87,85,172
POROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,6,5,40,48,46,53,99
PORONGO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,9,9,47,57,56,66,122
PORTACHUELO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,10,6,44,53,54,59,113
PORVENIR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,7,2,29,27,36,29,65
POSTRER VALLE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,1,6,3,7,4,11
POTOSI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,176,186,1147,1097,1323,1283,2606
PRESTO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,4,21,21,22,25,47
PUCARA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,1,7,10,8,11,19
PUCARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,10,7,156,151,166,158,324
PUERTO ACOSTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,7,6,35,29,42,35,77
PUERTO CARABUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,0,44,40,45,40,85
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,4,5,28,32,32,37,69
PUERTO PEREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,0,0,14,18,14,18,32
PUERTO QUIJARRO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,9,15,80,72,89,87,176
