,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
ARBIETO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,8,1,8,1,9
ARQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,7,2,7,2,9
ATOCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,1,1,1,1,2
AUCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,6,0,0,0,6,6
AYATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,3,2,5,5,8,7,15
AYO AYO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,4,2,4,2,8,4,12
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,5,4,11,9,16,13,29
AZURDUY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,2,1,27,30,29,31,60
BATALLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,6,6,6,6,12,12,24
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,4,0,4,0,4
BELEN DE URMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,0,3,2,4,2,6
BELLA FLOR,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,3,2,3,2,5
BERMEJO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,1,3,1,3,4
BETANZOS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,3,4,59,54,62,58,120
BOLIVAR,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,3,17,15,17,18,35
BOLPEBRA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,0,1,0,1,1
BOYUIBE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,4,9,4,9,13
BUENA VISTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,0,2,0,2,2
CABEZAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,12,7,19,38,31,45,76
CAIROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,3,1,6,9,9,10,19
"CAIZA ""D""",control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,5,2,34,31,39,33,72
CALACOTO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,4,2,6,12,10,14,24
CALAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,5,3,3,5,8,8,16
CAMARGO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,2,1,22,13,24,14,38
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,2,2,2,2,4
CAMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,6,3,6,3,9
CAPINOTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,0,4,0,4,4
CAQUIAVIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,1,1,0,2,1,3
CARACOLLO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,3,0,4,5,7,5,12
CARANAVI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,1,2,0,2,1,3
CARAPARI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,0,1,0,1,1
CARIPUYO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,2,5,1,5,3,8
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,1,0,0,0,1,1
CATACORA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,0,1,3,2,3,5
CHACARILLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,0,1,1,2,1,3
CHALLAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,4,3,33,23,37,26,63
CHAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,3,2,11,18,14,20,34
CHARAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,1,1,1,1,2
CHARAÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,2,1,4,2,6,3,9
CHAYANTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,2,5,15,18,17,23,40
CHIMORE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,1,13,9,14,10,24
CHOQUE COTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,0,1,0,1,1
CHUMA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,4,2,27,15,31,17,48
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,2,2,4,6,6,8,14
CKOCHAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,5,6,30,37,35,43,78
CLIZA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,7,13,7,13,20
COBIJA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,1,0,1,0,1
COCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,13,12,42,50,55,62,117
COCHABAMBA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,3,6,8,7,11,18
COLCAPIRHUA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,2,22,28,22,30,52
"COLCHA ""K""",control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,2,1,5,9,7,10,17
COLLANA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,0,0,0,1,0,1
COLOMI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,1,2,1,2,3
COLQUECHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,7,7,19,22,26,29,55
COLQUENCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,6,1,0,0,6,1,7
COLQUIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,2,7,19,16,21,23,44
COMANCHE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,0,1,0,1,1
COMARAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,3,4,7,5,10,15
COMBAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,1,1,0,1,1,2
CONCEPCION,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,7,2,26,22,33,24,57
COPACABANA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,4,2,14,25,18,27,45
CORO CORO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,2,3,7,3,9,12
COROICO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,6,1,6,1,7
CORQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,0,0,0,1,0,1
COTAGAITA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,4,5,13,12,17,17,34
COTOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,0,22,16,23,16,39
CUATRO CAÑADAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,1,1,0,1,1,2
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,5,6,5,6,11
CUEVO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,6,5,6,5,11
CULPINA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,1,19,18,19,19,38
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,1,1,1,1,2
CURVA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,3,2,8,5,11,7,18
DESAGUADERO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,0,1,0,1,1
EL ALTO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,69,49,1306,1208,1375,1257,2632
EL CHORO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,0,2,4,3,4,7
EL PUENTE(TJA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,1,2,11,3,12,15
EL TORNO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,1,0,0,0,1,1
EL VILLAR,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,1,8,4,8,5,13
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,2,0,8,6,10,6,16
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,0,1,0,1,1
ESCOMA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,2,1,2,1,3
EUCALIPTUS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,1,0,1,0,1
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,1,3,3,4,4,8
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,4,0,4,0,4
FILADELFIA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,1,15,15,15,16,31
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,2,2,7,2,9,4,13
GUANAY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,2,5,5,5,7,12
GUAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,2,8,5,2,7,10,17
GUAYARAMERIN,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,1,1,2,2,3,5
HUACARETA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,1,1,4,1,5,6
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,4,2,4,2,6
HUANUNI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,4,2,24,17,28,19,47
HUARINA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,4,4,4,4,8
HUMANATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,3,1,13,10,16,11,27
ICHOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,2,2,17,15,19,17,36
ICLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,1,16,15,17,16,33
INCAHUASI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,2,0,22,32,24,32,56
INQUISIVI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,4,1,23,23,27,24,51
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,5,2,10,5,15,7,22
JESUS DE MACHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,4,2,0,3,4,7
LA ASUNTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,28,17,28,17,45
LA GUARDIA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,3,1,6,1,9,10
LA PAZ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,0,2,3,3,3,6
LAGUNILLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,2,20,12,21,14,35
LAJA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,3,4,2,2,5,6,11
LAS CARRERAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,1,1,3,1,4,5
LLALLAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,25,22,139,128,164,150,314
LLICA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,0,1,2,2,2,4
LURIBAY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,1,2,1,2,2,4
MACHACAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,1,0,1,0,1
MACHARETI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,1,4,2,4,3,7
MAGDALENA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,1,0,0,1,1,2
MAIRANA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,1,0,1,0,2,2
MALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,3,14,12,15,15,30
MECAPACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,2,1,4,8,6,9,15
MINEROS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,5,0,5,0,5
MIZQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,2,4,22,28,24,32,56
MOCOMOCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,7,8,25,24,32,32,64
MOJINETE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,1,1,1,1,2
MOJOCOYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,2,1,13,5,15,6,21
MONTEAGUDO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,4,4,4,4,8
MORO MORO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,2,1,9,3,11,4,15
MOROCHATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,3,1,12,15,15,16,31
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,2,1,2,1,3
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,1,1,0,1,1,2
OCURI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,7,7,32,35,39,42,81
OMEREQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,2,9,7,9,9,18
ORURO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,5,3,30,26,35,29,64
PADCAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,1,2,1,2,3
PADILLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,2,2,2,2,4
PAILON,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,15,15,22,28,37,43,80
PALCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,5,3,15,16,20,19,39
PALOS BLANCOS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,3,3,6,4,9,13
PAMPA AULLAGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,0,1,0,1,1
PAMPA GRANDE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,1,1,1,1,2
PAPEL PAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,2,4,3,5,5,10
PASORAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,2,0,1,0,3,0,3
PATACAMAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,1,3,1,3,4
PAZÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,0,3,4,4,4,8
PELECHUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,2,3,0,0,2,3,5
POCOATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,12,17,65,58,77,75,152
POCONA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,8,9,8,9,17
POJO (CBBA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,1,0,1,0,1
POOPO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,1,2,1,3,2,5
PORCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,9,11,9,11,20
POROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,7,6,27,28,34,34,68
PORONGO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,6,1,6,1,7
PORVENIR,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,1,2,1,2,3
POSTRER VALLE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,0,1,0,1,1
POTOSI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,10,24,70,73,80,97,177
PRESTO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,5,2,15,21,20,23,43
PUCARA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,1,0,1,0,1
PUCARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,10,9,33,34,43,43,86
PUERTO ACOSTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,4,5,7,11,11,16,27
PUERTO CARABUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,5,4,19,17,24,21,45
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,1,5,5,5,6,11
PUERTO PEREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,2,3,19,18,21,21,42
PUERTO VILLARROEL,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,7,9,7,9,16
PUNA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,5,2,57,60,62,62,124
PUNATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,1,34,24,34,25,59
QUIABAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,3,0,0,0,3,0,3
QUILLACOLLO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,20,11,270,249,290,260,550
QUIME,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,1,1,3,1,4,5
RAQAYPAMPA(ETA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,4,1,4,1,5
RAVELO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,2,4,40,36,42,40,82
RIBERALTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,3,3,1,4,4,8
RURRENABAQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,3,1,3,1,4
SABAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,3,2,3,2,5
SACABA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,17,16,50,49,67,65,132
SACABAMBA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,2,3,0,3,2,5
SACACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,12,6,62,46,74,52,126
SAIPINA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,0,2,0,2,2
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,2,1,5,3,7,4,11
SAMAIPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,2,3,2,3,5
SAN AGUSTIN,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,1,0,0,0,1,1
SAN ANDRES DE MACHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,3,1,2,2,5,3,8
SAN ANTONIO DE LOMERIO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,3,2,3,2,5
SAN BENITO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,1,1,1,1,2
SAN BORJA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,0,9,12,10,12,22
SAN BUENA VENTURA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,1,1,0,1,1,2
SAN IGNACIO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,2,5,3,6,5,11
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,2,2,28,44,30,46,76
SAN JOAQUIN,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,2,1,2,1,4,2,6
SAN JOSE DE CHIQUITOS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,3,4,4,5,7,9,16
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,1,1,1,1,2
SAN JULIAN,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,5,2,3,7,8,9,17
SAN LORENZO(PND),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,0,1,0,1,1
SAN LORENZO(TJA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,2,6,6,7,8,13,21
SAN LUCAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,9,8,89,80,98,88,186
