municipality,group,variable,month,Viviendas rociadas,TOTAL
LURIBAY,chagas,viviendas rociadas,2005-03-01,792,792
MACHARETI,chagas,viviendas rociadas,2005-03-01,250,250
MONTEAGUDO,chagas,viviendas rociadas,2005-03-01,155,155
PADCAYA,chagas,viviendas rociadas,2005-03-01,85,85
PADILLA,chagas,viviendas rociadas,2005-03-01,2,2
PAMPA GRANDE,chagas,viviendas rociadas,2005-03-01,22,22
POCOATA,chagas,viviendas rociadas,2005-03-01,21,21
POCONA,chagas,viviendas rociadas,2005-03-01,603,603
POROMA,chagas,viviendas rociadas,2005-03-01,43,43
PRESTO,chagas,viviendas rociadas,2005-03-01,34,34
PUNA,chagas,viviendas rociadas,2005-03-01,258,258
QUILLACOLLO,chagas,viviendas rociadas,2005-03-01,539,539
RAVELO,chagas,viviendas rociadas,2005-03-01,180,180
SACABA,chagas,viviendas rociadas,2005-03-01,7032,7032
SAIPINA,chagas,viviendas rociadas,2005-03-01,57,57
SAN LORENZO(TJA),chagas,viviendas rociadas,2005-03-01,6,6
SAN LUCAS,chagas,viviendas rociadas,2005-03-01,24,24
SAN PEDRO,chagas,viviendas rociadas,2005-03-01,156,156
SAN PEDRO DE BUENA VISTA,chagas,viviendas rociadas,2005-03-01,282,282
SAPAHAQUI,chagas,viviendas rociadas,2005-03-01,1,1
SIPE SIPE,chagas,viviendas rociadas,2005-03-01,1124,1124
SUCRE,chagas,viviendas rociadas,2005-03-01,248,248
TACOBAMBA,chagas,viviendas rociadas,2005-03-01,33,33
TARABUCO,chagas,viviendas rociadas,2005-03-01,212,212
TARIJA,chagas,viviendas rociadas,2005-03-01,62,62
TARVITA,chagas,viviendas rociadas,2005-03-01,269,269
TINGUIPAYA,chagas,viviendas rociadas,2005-03-01,9,9
TIQUIPAYA,chagas,viviendas rociadas,2005-03-01,466,466
TIRAQUE (CBBA),chagas,viviendas rociadas,2005-03-01,314,314
TOMINA,chagas,viviendas rociadas,2005-03-01,19,19
TORO TORO,chagas,viviendas rociadas,2005-03-01,169,169
TOTORA(CBBA),chagas,viviendas rociadas,2005-03-01,471,471
URIONDO (A. CONCEPCION),chagas,viviendas rociadas,2005-03-01,7,7
VACAS,chagas,viviendas rociadas,2005-03-01,304,304
VILLA SERRANO,chagas,viviendas rociadas,2005-03-01,18,18
VILLA VACA GUZMAN (MUYUPAMPA),chagas,viviendas rociadas,2005-03-01,6,6
VINTO,chagas,viviendas rociadas,2005-03-01,486,486
VITICHI,chagas,viviendas rociadas,2005-03-01,593,593
YAMPARAEZ,chagas,viviendas rociadas,2005-03-01,30,30
YANACACHI,chagas,viviendas rociadas,2005-03-01,1,1
YOTALA,chagas,viviendas rociadas,2005-03-01,204,204
YUNCHARA,chagas,viviendas rociadas,2005-03-01,2,2
ZUDAÑEZ,chagas,viviendas rociadas,2005-03-01,6,6
AIQUILE,chagas,viviendas rociadas,2005-04-01,896,896
ALCALA,chagas,viviendas rociadas,2005-04-01,204,204
ANZALDO,chagas,viviendas rociadas,2005-04-01,17,17
ARANI,chagas,viviendas rociadas,2005-04-01,54,54
ARBIETO,chagas,viviendas rociadas,2005-04-01,5,5
ARQUE,chagas,viviendas rociadas,2005-04-01,443,443
BETANZOS,chagas,viviendas rociadas,2005-04-01,323,323
BUENA VISTA,chagas,viviendas rociadas,2005-04-01,701,701
"CAIZA ""D""",chagas,viviendas rociadas,2005-04-01,146,146
CAJUATA,chagas,viviendas rociadas,2005-04-01,127,127
CAMARGO,chagas,viviendas rociadas,2005-04-01,193,193
CAMATAQUI (C. VILLA ABECIA),chagas,viviendas rociadas,2005-04-01,1,1
CAPINOTA,chagas,viviendas rociadas,2005-04-01,156,156
CARAPARI,chagas,viviendas rociadas,2005-04-01,195,195
CLIZA,chagas,viviendas rociadas,2005-04-01,33,33
COCHABAMBA,chagas,viviendas rociadas,2005-04-01,86,86
COLCAPIRHUA,chagas,viviendas rociadas,2005-04-01,25,25
COROICO,chagas,viviendas rociadas,2005-04-01,1825,1825
COTAGAITA,chagas,viviendas rociadas,2005-04-01,588,588
CUCHUMUELA (V. G. VILLARROEL),chagas,viviendas rociadas,2005-04-01,2,2
CULPINA,chagas,viviendas rociadas,2005-04-01,185,185
EL PUENTE(TJA),chagas,viviendas rociadas,2005-04-01,10,10
EL TORNO,chagas,viviendas rociadas,2005-04-01,281,281
EL VILLAR,chagas,viviendas rociadas,2005-04-01,172,172
ENTRE RIOS,chagas,viviendas rociadas,2005-04-01,260,260
HUACAYA (VILLA DE HUACAYA),chagas,viviendas rociadas,2005-04-01,68,68
INCAHUASI,chagas,viviendas rociadas,2005-04-01,25,25
LAS CARRERAS,chagas,viviendas rociadas,2005-04-01,211,211
MACHARETI,chagas,viviendas rociadas,2005-04-01,560,560
MAIRANA,chagas,viviendas rociadas,2005-04-01,84,84
MOJOCOYA,chagas,viviendas rociadas,2005-04-01,92,92
MONTEAGUDO,chagas,viviendas rociadas,2005-04-01,411,411
MOROCHATA,chagas,viviendas rociadas,2005-04-01,641,641
OMEREQUE,chagas,viviendas rociadas,2005-04-01,512,512
PADCAYA,chagas,viviendas rociadas,2005-04-01,192,192
PADILLA,chagas,viviendas rociadas,2005-04-01,70,70
PASORAPA,chagas,viviendas rociadas,2005-04-01,273,273
POCOATA,chagas,viviendas rociadas,2005-04-01,6,6
POCONA,chagas,viviendas rociadas,2005-04-01,22,22
POJO (CBBA),chagas,viviendas rociadas,2005-04-01,88,88
POROMA,chagas,viviendas rociadas,2005-04-01,156,156
PRESTO,chagas,viviendas rociadas,2005-04-01,123,123
PUNA,chagas,viviendas rociadas,2005-04-01,451,451
PUNATA,chagas,viviendas rociadas,2005-04-01,16,16
QUILLACOLLO,chagas,viviendas rociadas,2005-04-01,44,44
RAVELO,chagas,viviendas rociadas,2005-04-01,274,274
SACABA,chagas,viviendas rociadas,2005-04-01,240,240
SACABAMBA,chagas,viviendas rociadas,2005-04-01,5,5
SAN BENITO,chagas,viviendas rociadas,2005-04-01,10,10
SAN JULIAN,chagas,viviendas rociadas,2005-04-01,271,271
SAN LORENZO(TJA),chagas,viviendas rociadas,2005-04-01,72,72
SAN LUCAS,chagas,viviendas rociadas,2005-04-01,268,268
SAN PEDRO DE BUENA VISTA,chagas,viviendas rociadas,2005-04-01,21,21
SANTIVAÑES,chagas,viviendas rociadas,2005-04-01,88,88
SIPE SIPE,chagas,viviendas rociadas,2005-04-01,55,55
SUCRE,chagas,viviendas rociadas,2005-04-01,650,650
TACACHI,chagas,viviendas rociadas,2005-04-01,6,6
TACOBAMBA,chagas,viviendas rociadas,2005-04-01,156,156
TACOPAYA,chagas,viviendas rociadas,2005-04-01,175,175
TAPACARI,chagas,viviendas rociadas,2005-04-01,94,94
TARABUCO,chagas,viviendas rociadas,2005-04-01,244,244
TARATA,chagas,viviendas rociadas,2005-04-01,9,9
TARIJA,chagas,viviendas rociadas,2005-04-01,366,366
TARVITA,chagas,viviendas rociadas,2005-04-01,189,189
TINGUIPAYA,chagas,viviendas rociadas,2005-04-01,65,65
TIQUIPAYA,chagas,viviendas rociadas,2005-04-01,238,238
TIRAQUE (CBBA),chagas,viviendas rociadas,2005-04-01,1,1
TOCO,chagas,viviendas rociadas,2005-04-01,14,14
TOLATA,chagas,viviendas rociadas,2005-04-01,28,28
TORO TORO,chagas,viviendas rociadas,2005-04-01,131,131
TOTORA(CBBA),chagas,viviendas rociadas,2005-04-01,24,24
TUPIZA,chagas,viviendas rociadas,2005-04-01,25,25
URIONDO (A. CONCEPCION),chagas,viviendas rociadas,2005-04-01,175,175
VALLEGRANDE,chagas,viviendas rociadas,2005-04-01,103,103
VILA VILA,chagas,viviendas rociadas,2005-04-01,495,495
VILLA RIVERO,chagas,viviendas rociadas,2005-04-01,24,24
VILLA SERRANO,chagas,viviendas rociadas,2005-04-01,630,630
VINTO,chagas,viviendas rociadas,2005-04-01,18,18
VITICHI,chagas,viviendas rociadas,2005-04-01,612,612
YAMPARAEZ,chagas,viviendas rociadas,2005-04-01,312,312
YOTALA,chagas,viviendas rociadas,2005-04-01,200,200
YUNCHARA,chagas,viviendas rociadas,2005-04-01,20,20
ZUDAÑEZ,chagas,viviendas rociadas,2005-04-01,1,1
AIQUILE,chagas,viviendas rociadas,2005-05-01,957,957
ANZALDO,chagas,viviendas rociadas,2005-05-01,3,3
ARANI,chagas,viviendas rociadas,2005-05-01,72,72
ARBIETO,chagas,viviendas rociadas,2005-05-01,9,9
ARQUE,chagas,viviendas rociadas,2005-05-01,13,13
ASCENCION DE GUARAYOS,chagas,viviendas rociadas,2005-05-01,252,252
AZURDUY,chagas,viviendas rociadas,2005-05-01,19,19
BETANZOS,chagas,viviendas rociadas,2005-05-01,870,870
CABEZAS,chagas,viviendas rociadas,2005-05-01,240,240
"CAIZA ""D""",chagas,viviendas rociadas,2005-05-01,149,149
CAMARGO,chagas,viviendas rociadas,2005-05-01,166,166
CAPINOTA,chagas,viviendas rociadas,2005-05-01,209,209
CARAPARI,chagas,viviendas rociadas,2005-05-01,154,154
CHULUMANI (V. DE LA LIBERTAD),chagas,viviendas rociadas,2005-05-01,11,11
CLIZA,chagas,viviendas rociadas,2005-05-01,35,35
COCHABAMBA,chagas,viviendas rociadas,2005-05-01,100,100
COLCAPIRHUA,chagas,viviendas rociadas,2005-05-01,23,23
CORIPATA,chagas,viviendas rociadas,2005-05-01,82,82
COROICO,chagas,viviendas rociadas,2005-05-01,104,104
COTAGAITA,chagas,viviendas rociadas,2005-05-01,847,847
CULPINA,chagas,viviendas rociadas,2005-05-01,307,307
EL PUENTE(TJA),chagas,viviendas rociadas,2005-05-01,223,223
EL TORNO,chagas,viviendas rociadas,2005-05-01,525,525
EL VILLAR,chagas,viviendas rociadas,2005-05-01,114,114
ENTRE RIOS,chagas,viviendas rociadas,2005-05-01,342,342
INCAHUASI,chagas,viviendas rociadas,2005-05-01,238,238
LA ASUNTA,chagas,viviendas rociadas,2005-05-01,6,6
LAGUNILLAS,chagas,viviendas rociadas,2005-05-01,75,75
LAS CARRERAS,chagas,viviendas rociadas,2005-05-01,92,92
MACHARETI,chagas,viviendas rociadas,2005-05-01,129,129
MAIRANA,chagas,viviendas rociadas,2005-05-01,193,193
MOJOCOYA,chagas,viviendas rociadas,2005-05-01,413,413
MONTEAGUDO,chagas,viviendas rociadas,2005-05-01,380,380
MORO MORO,chagas,viviendas rociadas,2005-05-01,154,154
MOROCHATA,chagas,viviendas rociadas,2005-05-01,30,30
OMEREQUE,chagas,viviendas rociadas,2005-05-01,378,378
PADCAYA,chagas,viviendas rociadas,2005-05-01,131,131
PADILLA,chagas,viviendas rociadas,2005-05-01,11,11
PASORAPA,chagas,viviendas rociadas,2005-05-01,199,199
POCONA,chagas,viviendas rociadas,2005-05-01,26,26
POJO (CBBA),chagas,viviendas rociadas,2005-05-01,130,130
PRESTO,chagas,viviendas rociadas,2005-05-01,198,198
PUNA,chagas,viviendas rociadas,2005-05-01,487,487
PUNATA,chagas,viviendas rociadas,2005-05-01,96,96
QUILLACOLLO,chagas,viviendas rociadas,2005-05-01,57,57
QUIRUSILLAS,chagas,viviendas rociadas,2005-05-01,81,81
RAVELO,chagas,viviendas rociadas,2005-05-01,259,259
SACABA,chagas,viviendas rociadas,2005-05-01,341,341
SAN BENITO,chagas,viviendas rociadas,2005-05-01,36,36
SAN IGNACIO DE VELASCO,chagas,viviendas rociadas,2005-05-01,4,4
SAN JULIAN,chagas,viviendas rociadas,2005-05-01,369,369
SAN LORENZO(TJA),chagas,viviendas rociadas,2005-05-01,368,368
SAN LUCAS,chagas,viviendas rociadas,2005-05-01,354,354
SAN MIGUEL DE VELASCO,chagas,viviendas rociadas,2005-05-01,5,5
SAN PEDRO DE BUENA VISTA,chagas,viviendas rociadas,2005-05-01,15,15
SAN RAFAEL,chagas,viviendas rociadas,2005-05-01,1,1
SANTIVAÑES,chagas,viviendas rociadas,2005-05-01,201,201
SIPE SIPE,chagas,viviendas rociadas,2005-05-01,86,86
SUCRE,chagas,viviendas rociadas,2005-05-01,281,281
TACOBAMBA,chagas,viviendas rociadas,2005-05-01,31,31
TACOPAYA,chagas,viviendas rociadas,2005-05-01,195,195
TAPACARI,chagas,viviendas rociadas,2005-05-01,64,64
TARABUCO,chagas,viviendas rociadas,2005-05-01,535,535
TARATA,chagas,viviendas rociadas,2005-05-01,12,12
TARIJA,chagas,viviendas rociadas,2005-05-01,611,611
TARVITA,chagas,viviendas rociadas,2005-05-01,273,273
TINGUIPAYA,chagas,viviendas rociadas,2005-05-01,322,322
TIQUIPAYA,chagas,viviendas rociadas,2005-05-01,100,100
TOCO,chagas,viviendas rociadas,2005-05-01,15,15
TOLATA,chagas,viviendas rociadas,2005-05-01,11,11
TOMINA,chagas,viviendas rociadas,2005-05-01,2883,2883
TOTORA(CBBA),chagas,viviendas rociadas,2005-05-01,35,35
TUPIZA,chagas,viviendas rociadas,2005-05-01,120,120
URIONDO (A. CONCEPCION),chagas,viviendas rociadas,2005-05-01,341,341
VILA VILA,chagas,viviendas rociadas,2005-05-01,240,240
VILLA MONTES,chagas,viviendas rociadas,2005-05-01,238,238
VILLA RIVERO,chagas,viviendas rociadas,2005-05-01,50,50
VILLA SERRANO,chagas,viviendas rociadas,2005-05-01,356,356
VINTO,chagas,viviendas rociadas,2005-05-01,49,49
VITICHI,chagas,viviendas rociadas,2005-05-01,909,909
YACUIBA,chagas,viviendas rociadas,2005-05-01,115,115
YAMPARAEZ,chagas,viviendas rociadas,2005-05-01,363,363
YOTALA,chagas,viviendas rociadas,2005-05-01,698,698
YUNCHARA,chagas,viviendas rociadas,2005-05-01,54,54
ZUDAÑEZ,chagas,viviendas rociadas,2005-05-01,17,17
ACACIO,chagas,viviendas rociadas,2005-06-01,44,44
AIQUILE,chagas,viviendas rociadas,2005-06-01,961,961
ANZALDO,chagas,viviendas rociadas,2005-06-01,186,186
ARANI,chagas,viviendas rociadas,2005-06-01,81,81
ARBIETO,chagas,viviendas rociadas,2005-06-01,6,6
ARQUE,chagas,viviendas rociadas,2005-06-01,63,63
AYOPAYA (V. DE INDEPENDENCIA),chagas,viviendas rociadas,2005-06-01,32,32
BETANZOS,chagas,viviendas rociadas,2005-06-01,332,332
CABEZAS,chagas,viviendas rociadas,2005-06-01,87,87
"CAIZA ""D""",chagas,viviendas rociadas,2005-06-01,227,227
CAMARGO,chagas,viviendas rociadas,2005-06-01,109,109
CAPINOTA,chagas,viviendas rociadas,2005-06-01,283,283
CARANAVI,chagas,viviendas rociadas,2005-06-01,25,25
CARAPARI,chagas,viviendas rociadas,2005-06-01,381,381
CHAQUI,chagas,viviendas rociadas,2005-06-01,39,39
CHULUMANI (V. DE LA LIBERTAD),chagas,viviendas rociadas,2005-06-01,118,118
CLIZA,chagas,viviendas rociadas,2005-06-01,16,16
COCHABAMBA,chagas,viviendas rociadas,2005-06-01,101,101
COLCAPIRHUA,chagas,viviendas rociadas,2005-06-01,42,42
COMARAPA,chagas,viviendas rociadas,2005-06-01,130,130
CORIPATA,chagas,viviendas rociadas,2005-06-01,93,93
COROICO,chagas,viviendas rociadas,2005-06-01,74,74
COTAGAITA,chagas,viviendas rociadas,2005-06-01,226,226
CUEVO,chagas,viviendas rociadas,2005-06-01,89,89
CULPINA,chagas,viviendas rociadas,2005-06-01,180,180
EL PUENTE(TJA),chagas,viviendas rociadas,2005-06-01,247,247
EL TORNO,chagas,viviendas rociadas,2005-06-01,719,719
EL VILLAR,chagas,viviendas rociadas,2005-06-01,99,99
ENTRE RIOS,chagas,viviendas rociadas,2005-06-01,538,538
INCAHUASI,chagas,viviendas rociadas,2005-06-01,374,374
INQUISIVI,chagas,viviendas rociadas,2005-06-01,10,10
LAGUNILLAS,chagas,viviendas rociadas,2005-06-01,26,26
LAS CARRERAS,chagas,viviendas rociadas,2005-06-01,530,530
LICOMA PAMPA,chagas,viviendas rociadas,2005-06-01,13,13
LURIBAY,chagas,viviendas rociadas,2005-06-01,215,215
MAIRANA,chagas,viviendas rociadas,2005-06-01,210,210
MIZQUE,chagas,viviendas rociadas,2005-06-01,67,67
MOJOCOYA,chagas,viviendas rociadas,2005-06-01,139,139
MOROCHATA,chagas,viviendas rociadas,2005-06-01,20,20
OMEREQUE,chagas,viviendas rociadas,2005-06-01,396,396
PADCAYA,chagas,viviendas rociadas,2005-06-01,264,264
PADILLA,chagas,viviendas rociadas,2005-06-01,19,19
PASORAPA,chagas,viviendas rociadas,2005-06-01,217,217
POCONA,chagas,viviendas rociadas,2005-06-01,83,83
POJO (CBBA),chagas,viviendas rociadas,2005-06-01,128,128
PORONGO,chagas,viviendas rociadas,2005-06-01,51,51
PRESTO,chagas,viviendas rociadas,2005-06-01,44,44
PUNATA,chagas,viviendas rociadas,2005-06-01,152,152
QUILLACOLLO,chagas,viviendas rociadas,2005-06-01,350,350
QUIRUSILLAS,chagas,viviendas rociadas,2005-06-01,89,89
RAVELO,chagas,viviendas rociadas,2005-06-01,230,230
SACABA,chagas,viviendas rociadas,2005-06-01,185,185
SACABAMBA,chagas,viviendas rociadas,2005-06-01,28,28
SAN BENITO,chagas,viviendas rociadas,2005-06-01,176,176
SAN IGNACIO DE VELASCO,chagas,viviendas rociadas,2005-06-01,12,12
SAN LORENZO(TJA),chagas,viviendas rociadas,2005-06-01,359,359
SAN LUCAS,chagas,viviendas rociadas,2005-06-01,35,35
SAN MIGUEL DE VELASCO,chagas,viviendas rociadas,2005-06-01,5,5
SANTIVAÑES,chagas,viviendas rociadas,2005-06-01,174,174
SIPE SIPE,chagas,viviendas rociadas,2005-06-01,89,89
SUCRE,chagas,viviendas rociadas,2005-06-01,159,159
TACACHI,chagas,viviendas rociadas,2005-06-01,3,3
TACOPAYA,chagas,viviendas rociadas,2005-06-01,59,59
TAPACARI,chagas,viviendas rociadas,2005-06-01,251,251
TARABUCO,chagas,viviendas rociadas,2005-06-01,216,216
TARATA,chagas,viviendas rociadas,2005-06-01,14,14
TARIJA,chagas,viviendas rociadas,2005-06-01,589,589
TIQUIPAYA,chagas,viviendas rociadas,2005-06-01,92,92
TOCO,chagas,viviendas rociadas,2005-06-01,13,13
TOLATA,chagas,viviendas rociadas,2005-06-01,6,6
TOMAVE,chagas,viviendas rociadas,2005-06-01,25,25
TOMINA,chagas,viviendas rociadas,2005-06-01,30,30
TOTORA(CBBA),chagas,viviendas rociadas,2005-06-01,25,25
TUPIZA,chagas,viviendas rociadas,2005-06-01,14,14
URIONDO (A. CONCEPCION),chagas,viviendas rociadas,2005-06-01,356,356
VILA VILA,chagas,viviendas rociadas,2005-06-01,72,72
VILLA MONTES,chagas,viviendas rociadas,2005-06-01,240,240
VILLA RIVERO,chagas,viviendas rociadas,2005-06-01,28,28
VILLA SERRANO,chagas,viviendas rociadas,2005-06-01,82,82
VINTO,chagas,viviendas rociadas,2005-06-01,170,170
VITICHI,chagas,viviendas rociadas,2005-06-01,955,955
YACUIBA,chagas,viviendas rociadas,2005-06-01,480,480
YAMPARAEZ,chagas,viviendas rociadas,2005-06-01,241,241
YOTALA,chagas,viviendas rociadas,2005-06-01,387,387
YUNCHARA,chagas,viviendas rociadas,2005-06-01,27,27
ACACIO,chagas,viviendas rociadas,2005-07-01,62,62
AIQUILE,chagas,viviendas rociadas,2005-07-01,1100,1100
ANZALDO,chagas,viviendas rociadas,2005-07-01,89,89
ARAMPAMPA,chagas,viviendas rociadas,2005-07-01,134,134
ARANI,chagas,viviendas rociadas,2005-07-01,170,170
ARBIETO,chagas,viviendas rociadas,2005-07-01,60,60
ARQUE,chagas,viviendas rociadas,2005-07-01,109,109
BETANZOS,chagas,viviendas rociadas,2005-07-01,491,491
CABEZAS,chagas,viviendas rociadas,2005-07-01,35,35
"CAIZA ""D""",chagas,viviendas rociadas,2005-07-01,143,143
CAMARGO,chagas,viviendas rociadas,2005-07-01,44,44
CAMATAQUI (C. VILLA ABECIA),chagas,viviendas rociadas,2005-07-01,35,35
CAPINOTA,chagas,viviendas rociadas,2005-07-01,152,152
CARANAVI,chagas,viviendas rociadas,2005-07-01,99,99
CARAPARI,chagas,viviendas rociadas,2005-07-01,353,353
CHAQUI,chagas,viviendas rociadas,2005-07-01,96,96
CHULUMANI (V. DE LA LIBERTAD),chagas,viviendas rociadas,2005-07-01,232,232
CLIZA,chagas,viviendas rociadas,2005-07-01,9,9
COCHABAMBA,chagas,viviendas rociadas,2005-07-01,122,122
COLCAPIRHUA,chagas,viviendas rociadas,2005-07-01,104,104
CORIPATA,chagas,viviendas rociadas,2005-07-01,119,119
COTAGAITA,chagas,viviendas rociadas,2005-07-01,192,192
COTOCA,chagas,viviendas rociadas,2005-07-01,233,233
CUEVO,chagas,viviendas rociadas,2005-07-01,178,178
CULPINA,chagas,viviendas rociadas,2005-07-01,86,86
EL PUENTE(TJA),chagas,viviendas rociadas,2005-07-01,336,336
EL TORNO,chagas,viviendas rociadas,2005-07-01,387,387
EL VILLAR,chagas,viviendas rociadas,2005-07-01,43,43
ENTRE RIOS,chagas,viviendas rociadas,2005-07-01,462,462
HUACARETA,chagas,viviendas rociadas,2005-07-01,1,1
HUACAYA (VILLA DE HUACAYA),chagas,viviendas rociadas,2005-07-01,17,17
ICLA,chagas,viviendas rociadas,2005-07-01,54,54
INCAHUASI,chagas,viviendas rociadas,2005-07-01,248,248
INQUISIVI,chagas,viviendas rociadas,2005-07-01,9,9
LURIBAY,chagas,viviendas rociadas,2005-07-01,344,344
MAIRANA,chagas,viviendas rociadas,2005-07-01,81,81
MIZQUE,chagas,viviendas rociadas,2005-07-01,577,577
MOJOCOYA,chagas,viviendas rociadas,2005-07-01,4,4
MONTEAGUDO,chagas,viviendas rociadas,2005-07-01,67,67
MORO MORO,chagas,viviendas rociadas,2005-07-01,24,24
MOROCHATA,chagas,viviendas rociadas,2005-07-01,5,5
OMEREQUE,chagas,viviendas rociadas,2005-07-01,492,492
PADCAYA,chagas,viviendas rociadas,2005-07-01,357,357
PADILLA,chagas,viviendas rociadas,2005-07-01,4,4
PAILON,chagas,viviendas rociadas,2005-07-01,104,104
PASORAPA,chagas,viviendas rociadas,2005-07-01,19,19
POCONA,chagas,viviendas rociadas,2005-07-01,91,91
POJO (CBBA),chagas,viviendas rociadas,2005-07-01,99,99
POROMA,chagas,viviendas rociadas,2005-07-01,21,21
PORONGO,chagas,viviendas rociadas,2005-07-01,20,20
PRESTO,chagas,viviendas rociadas,2005-07-01,46,46
PUNATA,chagas,viviendas rociadas,2005-07-01,201,201
QUILLACOLLO,chagas,viviendas rociadas,2005-07-01,25,25
QUIRUSILLAS,chagas,viviendas rociadas,2005-07-01,70,70
RAVELO,chagas,viviendas rociadas,2005-07-01,184,184
SACABA,chagas,viviendas rociadas,2005-07-01,41,41
SACABAMBA,chagas,viviendas rociadas,2005-07-01,2,2
SAN BENITO,chagas,viviendas rociadas,2005-07-01,52,52
SAN IGNACIO DE VELASCO,chagas,viviendas rociadas,2005-07-01,65,65
SAN LORENZO(TJA),chagas,viviendas rociadas,2005-07-01,212,212
SAN LUCAS,chagas,viviendas rociadas,2005-07-01,12,12
SAN MIGUEL DE VELASCO,chagas,viviendas rociadas,2005-07-01,2,2
SAN PEDRO DE BUENA VISTA,chagas,viviendas rociadas,2005-07-01,224,224
SAN RAFAEL,chagas,viviendas rociadas,2005-07-01,5,5
SANTIVAÑES,chagas,viviendas rociadas,2005-07-01,166,166
SICAYA,chagas,viviendas rociadas,2005-07-01,154,154
SIPE SIPE,chagas,viviendas rociadas,2005-07-01,172,172
SOPACHUY,chagas,viviendas rociadas,2005-07-01,1504,1504
SUCRE,chagas,viviendas rociadas,2005-07-01,1183,1183
TACOBAMBA,chagas,viviendas rociadas,2005-07-01,14,14
TAPACARI,chagas,viviendas rociadas,2005-07-01,170,170
TARABUCO,chagas,viviendas rociadas,2005-07-01,1,1
TARATA,chagas,viviendas rociadas,2005-07-01,19,19
TARIJA,chagas,viviendas rociadas,2005-07-01,427,427
TARVITA,chagas,viviendas rociadas,2005-07-01,34,34
TIQUIPAYA,chagas,viviendas rociadas,2005-07-01,39,39
TOCO,chagas,viviendas rociadas,2005-07-01,5,5
TOLATA,chagas,viviendas rociadas,2005-07-01,6,6
TOMAVE,chagas,viviendas rociadas,2005-07-01,126,126
TORO TORO,chagas,viviendas rociadas,2005-07-01,151,151
TUPIZA,chagas,viviendas rociadas,2005-07-01,541,541
URIONDO (A. CONCEPCION),chagas,viviendas rociadas,2005-07-01,274,274
VILLA MONTES,chagas,viviendas rociadas,2005-07-01,109,109
VILLA RIVERO,chagas,viviendas rociadas,2005-07-01,5,5
VILLA SERRANO,chagas,viviendas rociadas,2005-07-01,60,60
VILLAZON,chagas,viviendas rociadas,2005-07-01,136,136
VINTO,chagas,viviendas rociadas,2005-07-01,270,270
VITICHI,chagas,viviendas rociadas,2005-07-01,308,308
YACUIBA,chagas,viviendas rociadas,2005-07-01,67,67
