,group,variable,month,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS REPETIDO,NIÑOS DE 1 A 4 AÑOS REPETIDO,NIÑOS DE 1 A 4 AÑOS PRIMERA,NIÑOS DE 1 A 4 AÑOS PRIMERA,TOTALES,TOTALES,TOTALES
COBIJA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,378,339,136,118,22,31,717,254,971
COCAPATA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,263,252,5,6,84,85,515,11,526
COCHABAMBA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,6651,6135,2107,1901,975,861,12786,4008,16794
COIPASA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,11,3,2,1,11,3,14,3,17
COLCAPIRHUA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,285,287,122,101,0,0,572,223,795
"COLCHA ""K""",consulta externa,ninos  de 1 a 4 anos,2024-01-01,101,118,8,36,96,115,219,44,263
COLLANA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,22,20,3,4,0,0,42,7,49
COLOMI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,211,218,46,48,243,254,429,94,523
COLPA BELGICA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,52,59,6,11,50,54,111,17,128
COLQUECHACA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,94,92,0,0,82,82,186,0,186
COLQUENCHA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,92,75,34,21,0,0,167,55,222
COLQUIRI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,80,90,22,9,62,41,170,31,201
COMANCHE,consulta externa,ninos  de 1 a 4 anos,2024-01-01,3,10,0,0,0,0,13,0,13
COMARAPA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,157,197,14,23,2,6,354,37,391
COMBAYA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,8,9,2,2,0,0,17,4,21
CONCEPCION,consulta externa,ninos  de 1 a 4 anos,2024-01-01,162,146,31,32,0,0,308,63,371
COPACABANA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,48,34,1,8,0,0,82,9,91
CORIPATA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,157,107,22,13,0,0,264,35,299
CORO CORO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,68,68,10,5,0,0,136,15,151
COROICO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,176,158,23,35,4,3,334,58,392
CORQUE,consulta externa,ninos  de 1 a 4 anos,2024-01-01,1,3,6,4,47,35,4,10,14
COTAGAITA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,230,163,10,21,187,141,393,31,424
COTOCA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,762,627,50,40,731,606,1389,90,1479
CUATRO CAÑADAS,consulta externa,ninos  de 1 a 4 anos,2024-01-01,170,171,23,33,7,7,341,56,397
CUCHUMUELA (V. G. VILLARROEL),consulta externa,ninos  de 1 a 4 anos,2024-01-01,38,24,3,6,0,0,62,9,71
CUEVO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,79,66,6,5,0,0,145,11,156
CULPINA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,123,123,1,2,0,0,246,3,249
CURAHUARA DE CARANGAS,consulta externa,ninos  de 1 a 4 anos,2024-01-01,19,4,5,2,17,4,23,7,30
CURVA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,16,23,1,4,24,16,39,5,44
DESAGUADERO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,21,26,6,5,1,3,47,11,58
EL ALTO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,4999,4355,1900,1724,1342,1202,9354,3624,12978
EL CHORO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,35,39,0,1,35,39,74,1,75
EL PUENTE(STC),consulta externa,ninos  de 1 a 4 anos,2024-01-01,144,94,1,1,144,94,238,2,240
EL PUENTE(TJA),consulta externa,ninos  de 1 a 4 anos,2024-01-01,84,105,3,3,73,96,189,6,195
EL TORNO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,777,650,55,33,0,0,1427,88,1515
EL VILLAR,consulta externa,ninos  de 1 a 4 anos,2024-01-01,86,70,4,4,0,0,156,8,164
ENTRE RIOS TRJ,consulta externa,ninos  de 1 a 4 anos,2024-01-01,252,221,9,6,0,0,473,15,488
ENTRE RIOS CBBA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,660,587,39,31,165,145,1247,70,1317
ESCARA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,0,0,0,0,5,2,0,0,0
ESCOMA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,57,43,0,0,0,0,100,0,100
ESMERALDA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,2,2,0,1,1,2,4,1,5
EUCALIPTUS,consulta externa,ninos  de 1 a 4 anos,2024-01-01,28,21,4,3,23,19,49,7,56
EUREKA (SANTOS MERCADO),consulta externa,ninos  de 1 a 4 anos,2024-01-01,20,28,0,0,0,0,48,0,48
EXALTACION,consulta externa,ninos  de 1 a 4 anos,2024-01-01,32,30,0,1,0,0,62,1,63
FERNANDEZ ALONSO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,207,193,14,24,4,2,400,38,438
FILADELFIA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,83,81,1,0,104,80,164,1,165
GAIOC JATUN AYLLU YURA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,17,18,0,4,34,26,35,4,39
GENERAL SAAVEDRA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,262,215,11,15,0,0,477,26,503
GIA-TIM,consulta externa,ninos  de 1 a 4 anos,2024-01-01,48,53,3,1,0,0,101,4,105
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,ninos  de 1 a 4 anos,2024-01-01,118,90,9,8,10,2,208,17,225
GUANAY,consulta externa,ninos  de 1 a 4 anos,2024-01-01,108,124,128,119,0,0,232,247,479
GUAQUI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,28,28,8,4,9,5,56,12,68
GUAYARAMERIN,consulta externa,ninos  de 1 a 4 anos,2024-01-01,387,323,37,21,45,26,710,58,768
GUTIERREZ,consulta externa,ninos  de 1 a 4 anos,2024-01-01,164,186,14,13,0,0,350,27,377
HUACARAJE,consulta externa,ninos  de 1 a 4 anos,2024-01-01,31,20,17,15,0,0,51,32,83
HUACARETA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,78,64,12,8,0,0,142,20,162
HUACAYA (VILLA DE HUACAYA),consulta externa,ninos  de 1 a 4 anos,2024-01-01,28,38,6,6,0,0,66,12,78
HUACHACALLA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,7,4,6,4,7,4,11,10,21
HUANUNI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,106,57,66,38,82,65,163,104,267
HUARINA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,54,37,38,26,0,0,91,64,155
HUATAJATA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,18,13,9,8,0,0,31,17,48
HUAYLLAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,15,6,6,7,7,8,21,13,34
HUMANATA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,27,19,14,11,0,0,46,25,71
ICHOCA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,42,42,7,8,19,32,84,15,99
ICLA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,107,105,23,26,0,0,212,49,261
INCAHUASI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,168,171,1,7,190,189,339,8,347
INGAVI (HUMAITA),consulta externa,ninos  de 1 a 4 anos,2024-01-01,29,28,0,0,0,0,57,0,57
INQUISIVI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,111,114,3,3,51,60,225,6,231
IRUPANA (VILLA DE LANZA),consulta externa,ninos  de 1 a 4 anos,2024-01-01,188,191,15,11,46,57,379,26,405
IXIAMAS,consulta externa,ninos  de 1 a 4 anos,2024-01-01,103,102,23,22,0,0,205,45,250
JESUS DE MACHACA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,59,52,23,22,4,9,111,45,156
LA ASUNTA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,423,355,27,16,261,219,778,43,821
LA GUARDIA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,1094,991,421,399,69,29,2085,820,2905
LA PAZ,consulta externa,ninos  de 1 a 4 anos,2024-01-01,5335,4848,1718,1513,738,675,10183,3231,13414
LA RIVERA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,0,0,0,0,0,2,0,0,0
LAGUNILLAS,consulta externa,ninos  de 1 a 4 anos,2024-01-01,78,82,14,14,0,0,160,28,188
LAJA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,110,94,13,20,0,0,204,33,237
LAS CARRERAS,consulta externa,ninos  de 1 a 4 anos,2024-01-01,7,3,0,0,36,46,10,0,10
LICOMA PAMPA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,21,27,0,2,7,5,48,2,50
LLALLAGUA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,311,322,21,16,13,5,633,37,670
LLICA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,29,25,1,1,0,0,54,2,56
LORETO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,17,23,2,6,1,0,40,8,48
LURIBAY,consulta externa,ninos  de 1 a 4 anos,2024-01-01,83,103,3,1,0,0,186,4,190
MACHACAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,20,28,2,4,18,20,48,6,54
MACHARETI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,41,46,4,4,52,51,87,8,95
MAGDALENA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,47,53,4,3,25,23,100,7,107
MAIRANA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,99,114,22,21,0,0,213,43,256
MALLA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,24,19,3,0,0,0,43,3,46
MAPIRI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,178,158,27,42,0,0,336,69,405
MECAPACA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,81,54,38,23,0,0,135,61,196
MINEROS,consulta externa,ninos  de 1 a 4 anos,2024-01-01,137,150,40,38,0,0,287,78,365
MIZQUE,consulta externa,ninos  de 1 a 4 anos,2024-01-01,204,267,37,45,187,238,471,82,553
MOCOMOCO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,71,59,22,22,0,0,130,44,174
MOJINETE,consulta externa,ninos  de 1 a 4 anos,2024-01-01,12,10,1,1,0,0,22,2,24
MOJOCOYA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,58,54,11,4,31,18,112,15,127
MONTEAGUDO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,276,241,51,66,10,14,517,117,634
MONTERO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,1686,1320,311,260,8,2,3006,571,3577
MORO MORO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,19,19,5,4,0,0,38,9,47
MOROCHATA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,34,48,1,0,0,0,82,1,83
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,ninos  de 1 a 4 anos,2024-01-01,55,45,3,2,0,0,100,5,105
NAZACARA DE PACAJES,consulta externa,ninos  de 1 a 4 anos,2024-01-01,5,6,3,6,0,0,11,9,20
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,ninos  de 1 a 4 anos,2024-01-01,19,10,0,0,0,0,29,0,29
OCURI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,85,72,0,1,0,0,157,1,158
OKINAWA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,134,101,15,8,0,0,235,23,258
OMEREQUE,consulta externa,ninos  de 1 a 4 anos,2024-01-01,69,57,19,10,0,0,126,29,155
ORURO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,3136,2674,529,461,888,749,5810,990,6800
PADCAYA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,188,180,22,25,195,168,368,47,415
PADILLA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,138,142,22,28,0,0,280,50,330
PAILON,consulta externa,ninos  de 1 a 4 anos,2024-01-01,408,348,45,37,0,0,756,82,838
PALCA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,143,120,6,4,94,60,263,10,273
PALOS BLANCOS,consulta externa,ninos  de 1 a 4 anos,2024-01-01,426,395,32,17,0,0,821,49,870
PAMPA AULLAGAS,consulta externa,ninos  de 1 a 4 anos,2024-01-01,20,13,0,0,15,8,33,0,33
PAMPA GRANDE,consulta externa,ninos  de 1 a 4 anos,2024-01-01,70,71,1,0,0,0,141,1,142
PAPEL PAMPA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,37,56,1,4,0,0,93,5,98
PASORAPA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,30,16,8,5,29,16,46,13,59
PATACAMAYA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,144,134,19,23,0,0,278,42,320
PAZÑA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,24,29,4,0,44,33,53,4,57
PELECHUCO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,69,74,8,6,31,30,143,14,157
POCOATA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,148,116,3,2,27,29,264,5,269
POCONA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,119,88,6,8,0,0,207,14,221
POJO (CBBA),consulta externa,ninos  de 1 a 4 anos,2024-01-01,81,85,14,19,0,0,166,33,199
POOPO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,7,5,16,9,44,46,12,25,37
PORCO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,101,64,0,1,75,46,165,1,166
POROMA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,141,155,4,12,155,167,296,16,312
PORONGO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,96,63,27,24,0,0,159,51,210
PORTACHUELO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,91,69,131,144,30,34,160,275,435
PORVENIR,consulta externa,ninos  de 1 a 4 anos,2024-01-01,49,46,11,9,0,0,95,20,115
POSTRER VALLE,consulta externa,ninos  de 1 a 4 anos,2024-01-01,12,9,3,1,0,0,21,4,25
POTOSI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,1972,1852,239,240,565,553,3824,479,4303
PRESTO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,107,99,9,3,0,0,206,12,218
PUCARA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,19,13,3,4,0,0,32,7,39
PUCARANI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,218,233,10,17,0,0,451,27,478
PUERTO ACOSTA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,37,25,7,14,0,0,62,21,83
PUERTO CARABUCO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,69,61,12,7,0,0,130,19,149
PUERTO GONZALO MORENO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,111,143,42,39,113,130,254,81,335
PUERTO PEREZ,consulta externa,ninos  de 1 a 4 anos,2024-01-01,30,32,17,20,0,0,62,37,99
PUERTO QUIJARRO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,76,78,2,1,122,132,154,3,157
PUERTO RICO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,72,63,1,0,0,0,135,1,136
PUERTO SILES,consulta externa,ninos  de 1 a 4 anos,2024-01-01,14,24,1,1,0,0,38,2,40
PUERTO SUAREZ,consulta externa,ninos  de 1 a 4 anos,2024-01-01,83,77,0,2,84,77,160,2,162
PUERTO VILLARROEL,consulta externa,ninos  de 1 a 4 anos,2024-01-01,1213,1178,81,64,548,516,2391,145,2536
PUNA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,103,127,1,0,146,173,230,1,231
PUNATA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,346,343,281,257,0,0,689,538,1227
QUIABAYA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,38,48,12,9,0,0,86,21,107
QUILLACOLLO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,1323,1272,338,337,0,0,2595,675,3270
QUIME,consulta externa,ninos  de 1 a 4 anos,2024-01-01,74,52,4,4,2,0,126,8,134
QUIRUSILLAS,consulta externa,ninos  de 1 a 4 anos,2024-01-01,19,18,1,3,0,0,37,4,41
RAQAYPAMPA(ETA),consulta externa,ninos  de 1 a 4 anos,2024-01-01,46,40,13,13,39,32,86,26,112
RAVELO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,94,96,0,0,0,0,190,0,190
REYES,consulta externa,ninos  de 1 a 4 anos,2024-01-01,120,89,0,0,0,0,209,0,209
RIBERALTA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,1064,986,142,116,514,531,2050,258,2308
ROBORE,consulta externa,ninos  de 1 a 4 anos,2024-01-01,115,117,20,12,61,63,232,32,264
RURRENABAQUE,consulta externa,ninos  de 1 a 4 anos,2024-01-01,227,219,16,5,74,46,446,21,467
SABAYA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,38,33,4,5,38,33,71,9,80
SACABA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,1458,1377,297,306,1485,1418,2835,603,3438
SACABAMBA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,27,21,8,10,0,0,48,18,66
SACACA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,125,99,0,0,7,6,224,0,224
SAIPINA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,54,56,4,135,0,0,110,139,249
SALINAS DE GARCI MENDOZA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,62,53,5,3,56,48,115,8,123
SAMAIPATA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,124,120,18,22,0,0,244,40,284
SAN AGUSTIN,consulta externa,ninos  de 1 a 4 anos,2024-01-01,16,15,0,0,0,0,31,0,31
SAN ANDRES,consulta externa,ninos  de 1 a 4 anos,2024-01-01,135,121,38,31,4,7,256,69,325
SAN ANDRES DE MACHACA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,14,14,13,12,0,0,28,25,53
SAN ANTONIO DE ESMORUCO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,14,18,0,0,0,0,32,0,32
SAN ANTONIO DE LOMERIO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,62,89,1,6,0,0,151,7,158
SAN BENITO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,92,88,26,17,0,0,180,43,223
SAN BORJA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,300,269,57,46,403,401,569,103,672
SAN BUENA VENTURA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,122,129,8,10,0,0,251,18,269
SAN CARLOS,consulta externa,ninos  de 1 a 4 anos,2024-01-01,108,94,29,40,0,0,202,69,271
SAN IGNACIO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,265,195,8,8,21,9,460,16,476
SAN IGNACIO DE VELASCO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,412,386,20,12,0,0,798,32,830
SAN JAVIER(BNI),consulta externa,ninos  de 1 a 4 anos,2024-01-01,19,16,0,3,29,30,35,3,38
SAN JAVIER(STC),consulta externa,ninos  de 1 a 4 anos,2024-01-01,69,71,0,1,0,0,140,1,141
SAN JOAQUIN,consulta externa,ninos  de 1 a 4 anos,2024-01-01,52,43,1,1,12,12,95,2,97
SAN JOSE DE CHIQUITOS,consulta externa,ninos  de 1 a 4 anos,2024-01-01,102,127,17,12,0,0,229,29,258
SAN JUAN DE YAPACANI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,16,30,1,0,0,0,46,1,47
SAN JULIAN,consulta externa,ninos  de 1 a 4 anos,2024-01-01,409,410,82,91,0,0,819,173,992
