,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
ARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,3,5,90,61,93,66,159
ARBIETO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,16,17,163,137,179,154,333
ARQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,13,4,101,82,114,86,200
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,57,71,227,226,284,297,581
ATOCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,12,11,63,55,75,66,141
AUCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,3,25,33,26,36,62
AYATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,0,32,37,33,37,70
AYO AYO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,1,48,37,49,38,87
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,12,7,145,144,157,151,308
AZURDUY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,2,2,39,35,41,37,78
BATALLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,3,4,109,109,112,113,225
BAURES,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,9,41,38,42,47,89
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,1,0,2,1,3,4
BELEN DE URMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,0,0,0,1,0,1
BELLA FLOR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,2,0,20,14,22,14,36
BERMEJO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,83,64,154,135,237,199,436
BETANZOS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,18,10,130,147,148,157,305
BOLIVAR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,4,2,21,20,25,22,47
BOLPEBRA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,1,6,7,7,8,15
BOYUIBE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,4,7,32,46,36,53,89
BUENA VISTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,9,4,118,90,127,94,221
CABEZAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,13,13,151,146,164,159,323
CAIROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,7,5,44,44,51,49,100
"CAIZA ""D""",control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,5,6,47,50,52,56,108
CAJUATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,8,11,125,134,133,145,278
CALACOTO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,3,8,9,9,12,21
CALAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,1,53,65,54,66,120
CAMARGO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,22,20,70,55,92,75,167
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,1,17,16,18,17,35
CAMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,58,59,214,216,272,275,547
CAPINOTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,15,10,230,212,245,222,467
CAQUIAVIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,4,2,50,48,54,50,104
CARACOLLO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,6,12,110,115,116,127,243
CARANAVI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,58,60,298,249,356,309,665
CARANGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,0,0,1,1,1,1,2
CARAPARI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,10,17,106,87,116,104,220
CARIPUYO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,2,2,33,33,35,35,70
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,9,15,33,32,42,47,89
CATACORA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,0,4,4,5,4,9
CHACARILLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,1,5,4,6,5,11
CHALLAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,29,35,248,220,277,255,532
CHAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,2,7,47,40,49,47,96
CHARAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,31,38,135,104,166,142,308
CHARAÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,0,1,9,6,9,7,16
CHAYANTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,5,12,48,52,53,64,117
CHIMORE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,128,82,272,255,400,337,737
CHIPAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,3,7,14,8,17,25
CHOQUE COTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,0,0,4,5,4,5,9
CHUA COCANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,3,3,18,4,21,7,28
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,35,27,117,69,152,96,248
CHUMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,3,3,36,30,39,33,72
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,6,1,35,29,41,30,71
CKOCHAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,6,9,58,45,64,54,118
CLIZA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,49,43,72,67,121,110,231
COBIJA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,74,64,462,494,536,558,1094
COCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,15,8,79,65,94,73,167
COCHABAMBA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1717,1670,3115,3161,4832,4831,9663
COIPASA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,0,3,3,1,3,4,7
COLCAPIRHUA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,293,141,298,252,591,393,984
"COLCHA ""K""",control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,5,15,67,65,72,80,152
COLLANA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,0,1,22,20,22,21,43
COLOMI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,31,22,190,146,221,168,389
COLPA BELGICA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,4,3,24,28,28,31,59
COLQUECHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,17,14,184,149,201,163,364
COLQUENCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,7,61,80,62,87,149
COLQUIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,13,9,75,86,88,95,183
COMANCHE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,2,11,11,12,13,25
COMARAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,15,8,147,132,162,140,302
COMBAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,0,0,7,5,7,5,12
CONCEPCION,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,15,12,168,163,183,175,358
COPACABANA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,9,8,39,54,48,62,110
CORIPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,4,9,82,84,86,93,179
CORO CORO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,7,6,43,32,50,38,88
COROICO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,13,18,113,87,126,105,231
CORQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,5,7,27,21,32,28,60
COTAGAITA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,10,14,126,120,136,134,270
COTOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,88,95,501,495,589,590,1179
CRUZ DE MACHACAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,0,1,0,1,0,2,2
CUATRO CAÑADAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,23,18,142,133,165,151,316
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,3,6,9,7,12,19
CUEVO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,2,1,30,27,32,28,60
CULPINA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,7,10,111,83,118,93,211
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,3,1,21,26,24,27,51
CURVA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,2,4,15,5,17,9,26
DESAGUADERO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,2,5,26,31,28,36,64
EL ALTO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1461,1577,4832,4522,6293,6099,12392
EL CHORO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,3,1,15,15,18,16,34
EL PUENTE(STC),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,10,6,86,62,96,68,164
EL PUENTE(TJA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,6,7,47,53,53,60,113
EL TORNO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,48,36,421,390,469,426,895
EL VILLAR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,3,1,14,10,17,11,28
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,18,3,143,166,161,169,330
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,81,60,516,497,597,557,1154
ESCARA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,0,0,1,2,1,2,3
ESCOMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,1,29,31,30,32,62
ESMERALDA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,0,2,2,3,2,5
EUCALIPTUS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,0,0,31,20,31,20,51
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,2,0,11,7,13,7,20
EXALTACION,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,11,5,11,12,22,17,39
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,11,4,80,63,91,67,158
FILADELFIA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,2,43,42,44,44,88
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,12,13,109,136,121,149,270
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,3,6,34,38,37,44,81
GUANAY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,7,8,158,120,165,128,293
GUAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,4,18,18,19,22,41
GUAYARAMERIN,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,127,100,262,233,389,333,722
GUTIERREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,60,61,42,43,102,104,206
HUACARETA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,5,4,42,43,47,47,94
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,2,1,11,3,13,4,17
HUACHACALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,8,5,8,3,16,8,24
HUANUNI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,18,12,113,106,131,118,249
HUARACAJE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,4,4,18,25,22,29,51
HUARINA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,3,0,32,24,35,24,59
HUATAJATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,2,2,8,2,10,4,14
HUAYLLAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,3,1,17,16,20,17,37
HUMANATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,1,10,11,11,12,23
ICHOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,4,2,15,18,19,20,39
ICLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,2,1,23,10,25,11,36
INCAHUASI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,9,3,55,48,64,51,115
INGAVI (HUMAITA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,0,13,13,14,13,27
INQUISIVI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,3,11,64,56,67,67,134
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,23,21,78,61,101,82,183
IXIAMAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,7,8,70,66,77,74,151
JESUS DE MACHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,4,5,61,59,65,64,129
LA ASUNTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,42,46,278,270,320,316,636
LA GUARDIA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,73,94,747,769,820,863,1683
LA PAZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1825,1776,3003,2786,4828,4562,9390
LA RIVERA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,0,1,0,2,0,2
LAGUNILLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,3,7,55,29,58,36,94
LAJA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,8,11,117,100,125,111,236
LAS CARRERAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,2,1,11,7,13,8,21
LICOMA PAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,0,2,14,11,14,13,27
LLALLAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,3,10,214,237,217,247,464
LLICA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,4,3,11,8,15,11,26
LORETO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,6,8,25,18,31,26,57
LURIBAY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,5,2,53,43,58,45,103
MACHACAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,2,2,24,23,26,25,51
MACHARETI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,3,2,28,24,31,26,57
MAGDALENA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,11,17,123,99,134,116,250
MAIRANA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,21,12,96,75,117,87,204
MALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,0,0,9,5,9,5,14
MAPIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,19,14,108,135,127,149,276
MECAPACA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,11,10,58,59,69,69,138
MINEROS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,21,25,180,207,201,232,433
MIZQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,27,30,229,208,256,238,494
MOCOMOCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,1,48,44,49,45,94
MOJINETE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,0,1,3,1,3,2,5
MOJOCOYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,6,2,26,36,32,38,70
MONTEAGUDO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,31,23,165,160,196,183,379
MONTERO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,173,133,909,885,1082,1018,2100
MORO MORO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,2,6,12,7,14,21
MOROCHATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,4,3,35,26,39,29,68
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,1,18,21,19,22,41
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,0,0,2,12,2,12,14
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,3,5,8,6,11,17
OCURI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,3,7,46,39,49,46,95
OKINAWA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,9,16,74,91,83,107,190
OMEREQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,3,3,58,62,61,65,126
ORURO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,575,588,1899,1886,2474,2474,4948
PADCAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,9,5,127,102,136,107,243
PADILLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,8,12,55,61,63,73,136
PAILON,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,47,28,219,187,266,215,481
PALCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,28,33,89,92,117,125,242
PALOS BLANCOS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,35,69,184,196,219,265,484
PAMPA AULLAGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,0,0,10,9,10,9,19
PAMPA GRANDE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,4,7,63,79,67,86,153
PAPEL PAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,3,2,22,11,25,13,38
PASORAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,2,0,17,9,19,9,28
PATACAMAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,41,50,91,72,132,122,254
PAZÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,2,17,27,18,29,47
PELECHUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,3,0,40,46,43,46,89
POCOATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,5,8,63,58,68,66,134
POCONA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,4,6,50,36,54,42,96
POJO (CBBA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,17,19,50,64,67,83,150
POOPO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,6,5,35,31,41,36,77
PORCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,17,10,102,107,119,117,236
POROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,10,4,42,38,52,42,94
PORONGO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,4,11,43,45,47,56,103
PORTACHUELO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,23,18,136,128,159,146,305
PORVENIR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,8,4,34,42,42,46,88
POSTRER VALLE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,4,3,5,4,9,13
POTOSI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,256,256,1347,1234,1603,1490,3093
PRESTO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,4,3,42,41,46,44,90
PUCARA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,0,1,7,9,7,10,17
PUCARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,10,10,163,151,173,161,334
PUERTO ACOSTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,3,4,39,27,42,31,73
PUERTO CARABUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,5,9,31,41,36,50,86
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,9,37,45,38,54,92
PUERTO PEREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,0,19,18,20,18,38
PUERTO QUIJARRO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,5,3,104,105,109,108,217
