municipality,group,variable,month,Viviendas rociadas,TOTAL
ACACIO,chagas,viviendas rociadas,2006-03-01,9,9
AIQUILE,chagas,viviendas rociadas,2006-03-01,8,8
ANZALDO,chagas,viviendas rociadas,2006-03-01,20,20
ARANI,chagas,viviendas rociadas,2006-03-01,20,20
ARBIETO,chagas,viviendas rociadas,2006-03-01,15,15
ARQUE,chagas,viviendas rociadas,2006-03-01,15,15
BETANZOS,chagas,viviendas rociadas,2006-03-01,142,142
"CAIZA ""D""",chagas,viviendas rociadas,2006-03-01,32,32
CAPINOTA,chagas,viviendas rociadas,2006-03-01,5321,5321
CLIZA,chagas,viviendas rociadas,2006-03-01,6,6
COCHABAMBA,chagas,viviendas rociadas,2006-03-01,103,103
COLCAPIRHUA,chagas,viviendas rociadas,2006-03-01,8,8
COMARAPA,chagas,viviendas rociadas,2006-03-01,19,19
COTAGAITA,chagas,viviendas rociadas,2006-03-01,7,7
CUCHUMUELA (V. G. VILLARROEL),chagas,viviendas rociadas,2006-03-01,18,18
EL PUENTE(TJA),chagas,viviendas rociadas,2006-03-01,74,74
MECAPACA,chagas,viviendas rociadas,2006-03-01,213,213
MIZQUE,chagas,viviendas rociadas,2006-03-01,5,5
MONTEAGUDO,chagas,viviendas rociadas,2006-03-01,3,3
MOROCHATA,chagas,viviendas rociadas,2006-03-01,1,1
OMEREQUE,chagas,viviendas rociadas,2006-03-01,17,17
PADCAYA,chagas,viviendas rociadas,2006-03-01,321,321
PALCA,chagas,viviendas rociadas,2006-03-01,39,39
PASORAPA,chagas,viviendas rociadas,2006-03-01,6,6
PUNA,chagas,viviendas rociadas,2006-03-01,125,125
PUNATA,chagas,viviendas rociadas,2006-03-01,12,12
QUILLACOLLO,chagas,viviendas rociadas,2006-03-01,9,9
SACABA,chagas,viviendas rociadas,2006-03-01,35,35
SAIPINA,chagas,viviendas rociadas,2006-03-01,351,351
SAN BENITO,chagas,viviendas rociadas,2006-03-01,23,23
SAN LORENZO(TJA),chagas,viviendas rociadas,2006-03-01,809,809
SICAYA,chagas,viviendas rociadas,2006-03-01,793,793
SIPE SIPE,chagas,viviendas rociadas,2006-03-01,16,16
SOPACHUY,chagas,viviendas rociadas,2006-03-01,4,4
TAPACARI,chagas,viviendas rociadas,2006-03-01,691,691
TARATA,chagas,viviendas rociadas,2006-03-01,4,4
TARIJA,chagas,viviendas rociadas,2006-03-01,408,408
TIQUIPAYA,chagas,viviendas rociadas,2006-03-01,12,12
TOCO,chagas,viviendas rociadas,2006-03-01,2,2
TOLATA,chagas,viviendas rociadas,2006-03-01,4,4
TRIGAL,chagas,viviendas rociadas,2006-03-01,30,30
TUPIZA,chagas,viviendas rociadas,2006-03-01,10,10
URIONDO (A. CONCEPCION),chagas,viviendas rociadas,2006-03-01,954,954
VILLA RIVERO,chagas,viviendas rociadas,2006-03-01,12,12
VILLA VACA GUZMAN (MUYUPAMPA),chagas,viviendas rociadas,2006-03-01,299,299
VITICHI,chagas,viviendas rociadas,2006-03-01,70,70
YUNCHARA,chagas,viviendas rociadas,2006-03-01,6,6
AIQUILE,chagas,viviendas rociadas,2006-04-01,14,14
ANZALDO,chagas,viviendas rociadas,2006-04-01,5,5
ARANI,chagas,viviendas rociadas,2006-04-01,26,26
ARBIETO,chagas,viviendas rociadas,2006-04-01,16,16
AYOPAYA (V. DE INDEPENDENCIA),chagas,viviendas rociadas,2006-04-01,6,6
BOYUIBE,chagas,viviendas rociadas,2006-04-01,46,46
"CAIZA ""D""",chagas,viviendas rociadas,2006-04-01,8,8
CHARAGUA,chagas,viviendas rociadas,2006-04-01,27,27
CLIZA,chagas,viviendas rociadas,2006-04-01,8,8
COCHABAMBA,chagas,viviendas rociadas,2006-04-01,122,122
COLCAPIRHUA,chagas,viviendas rociadas,2006-04-01,8,8
CUEVO,chagas,viviendas rociadas,2006-04-01,52,52
MOROCHATA,chagas,viviendas rociadas,2006-04-01,20,20
OKINAWA,chagas,viviendas rociadas,2006-04-01,1573,1573
PADCAYA,chagas,viviendas rociadas,2006-04-01,365,365
PASORAPA,chagas,viviendas rociadas,2006-04-01,5,5
POJO (CBBA),chagas,viviendas rociadas,2006-04-01,51,51
PUNA,chagas,viviendas rociadas,2006-04-01,55,55
PUNATA,chagas,viviendas rociadas,2006-04-01,23,23
QUILLACOLLO,chagas,viviendas rociadas,2006-04-01,27,27
SACABA,chagas,viviendas rociadas,2006-04-01,66,66
SAIPINA,chagas,viviendas rociadas,2006-04-01,12,12
SAN BENITO,chagas,viviendas rociadas,2006-04-01,26,26
SAN LORENZO(TJA),chagas,viviendas rociadas,2006-04-01,583,583
SAPAHAQUI,chagas,viviendas rociadas,2006-04-01,613,613
SIPE SIPE,chagas,viviendas rociadas,2006-04-01,69,69
TACACHI,chagas,viviendas rociadas,2006-04-01,7,7
TARIJA,chagas,viviendas rociadas,2006-04-01,438,438
TIQUIPAYA,chagas,viviendas rociadas,2006-04-01,5,5
TOCO,chagas,viviendas rociadas,2006-04-01,7,7
TUPIZA,chagas,viviendas rociadas,2006-04-01,3,3
URIONDO (A. CONCEPCION),chagas,viviendas rociadas,2006-04-01,398,398
VILLA RIVERO,chagas,viviendas rociadas,2006-04-01,10,10
ANZALDO,chagas,viviendas rociadas,2006-05-01,33,33
ARAMPAMPA,chagas,viviendas rociadas,2006-05-01,2,2
ARANI,chagas,viviendas rociadas,2006-05-01,49,49
ARBIETO,chagas,viviendas rociadas,2006-05-01,4,4
ARQUE,chagas,viviendas rociadas,2006-05-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),chagas,viviendas rociadas,2006-05-01,3,3
BETANZOS,chagas,viviendas rociadas,2006-05-01,109,109
CAPINOTA,chagas,viviendas rociadas,2006-05-01,20,20
CLIZA,chagas,viviendas rociadas,2006-05-01,4,4
COCHABAMBA,chagas,viviendas rociadas,2006-05-01,48,48
COLCAPIRHUA,chagas,viviendas rociadas,2006-05-01,10,10
COROICO,chagas,viviendas rociadas,2006-05-01,3,3
CUCHUMUELA (V. G. VILLARROEL),chagas,viviendas rociadas,2006-05-01,22,22
EL PUENTE(TJA),chagas,viviendas rociadas,2006-05-01,228,228
EL TORNO,chagas,viviendas rociadas,2006-05-01,28,28
ENTRE RIOS,chagas,viviendas rociadas,2006-05-01,31,31
LA GUARDIA,chagas,viviendas rociadas,2006-05-01,116,116
LAGUNILLAS,chagas,viviendas rociadas,2006-05-01,2,2
LURIBAY,chagas,viviendas rociadas,2006-05-01,48,48
MAIRANA,chagas,viviendas rociadas,2006-05-01,1,1
MORO MORO,chagas,viviendas rociadas,2006-05-01,1,1
MOROCHATA,chagas,viviendas rociadas,2006-05-01,2,2
PADCAYA,chagas,viviendas rociadas,2006-05-01,411,411
POJO (CBBA),chagas,viviendas rociadas,2006-05-01,12,12
PUNA,chagas,viviendas rociadas,2006-05-01,118,118
PUNATA,chagas,viviendas rociadas,2006-05-01,35,35
QUILLACOLLO,chagas,viviendas rociadas,2006-05-01,20,20
SACABA,chagas,viviendas rociadas,2006-05-01,116,116
SACABAMBA,chagas,viviendas rociadas,2006-05-01,5,5
SAIPINA,chagas,viviendas rociadas,2006-05-01,71,71
SAN BENITO,chagas,viviendas rociadas,2006-05-01,59,59
SAN LORENZO(TJA),chagas,viviendas rociadas,2006-05-01,433,433
SAN PEDRO DE BUENA VISTA,chagas,viviendas rociadas,2006-05-01,112,112
SANTIVAÑES,chagas,viviendas rociadas,2006-05-01,8,8
SAPAHAQUI,chagas,viviendas rociadas,2006-05-01,248,248
SIPE SIPE,chagas,viviendas rociadas,2006-05-01,44,44
TACACHI,chagas,viviendas rociadas,2006-05-01,2,2
TACOPAYA,chagas,viviendas rociadas,2006-05-01,4,4
TAPACARI,chagas,viviendas rociadas,2006-05-01,182,182
TARATA,chagas,viviendas rociadas,2006-05-01,5,5
TARIJA,chagas,viviendas rociadas,2006-05-01,411,411
TIQUIPAYA,chagas,viviendas rociadas,2006-05-01,13,13
TOCO,chagas,viviendas rociadas,2006-05-01,10,10
URIONDO (A. CONCEPCION),chagas,viviendas rociadas,2006-05-01,817,817
VILLA RIVERO,chagas,viviendas rociadas,2006-05-01,43,43
AIQUILE,chagas,viviendas rociadas,2006-06-01,4,4
ANZALDO,chagas,viviendas rociadas,2006-06-01,55,55
ARANI,chagas,viviendas rociadas,2006-06-01,156,156
AYOPAYA (V. DE INDEPENDENCIA),chagas,viviendas rociadas,2006-06-01,4,4
BETANZOS,chagas,viviendas rociadas,2006-06-01,39,39
CABEZAS,chagas,viviendas rociadas,2006-06-01,1,1
CAPINOTA,chagas,viviendas rociadas,2006-06-01,4,4
CLIZA,chagas,viviendas rociadas,2006-06-01,3,3
COCHABAMBA,chagas,viviendas rociadas,2006-06-01,53,53
COLCAPIRHUA,chagas,viviendas rociadas,2006-06-01,10,10
CUCHUMUELA (V. G. VILLARROEL),chagas,viviendas rociadas,2006-06-01,50,50
CUEVO,chagas,viviendas rociadas,2006-06-01,3,3
EL PUENTE(TJA),chagas,viviendas rociadas,2006-06-01,153,153
INQUISIVI,chagas,viviendas rociadas,2006-06-01,227,227
LURIBAY,chagas,viviendas rociadas,2006-06-01,65,65
MIZQUE,chagas,viviendas rociadas,2006-06-01,2,2
MORO MORO,chagas,viviendas rociadas,2006-06-01,9,9
MOROCHATA,chagas,viviendas rociadas,2006-06-01,11,11
PADCAYA,chagas,viviendas rociadas,2006-06-01,150,150
POCONA,chagas,viviendas rociadas,2006-06-01,4,4
POJO (CBBA),chagas,viviendas rociadas,2006-06-01,3,3
PUCARA,chagas,viviendas rociadas,2006-06-01,8,8
PUNATA,chagas,viviendas rociadas,2006-06-01,13,13
QUILLACOLLO,chagas,viviendas rociadas,2006-06-01,22,22
QUIRUSILLAS,chagas,viviendas rociadas,2006-06-01,5,5
SACABA,chagas,viviendas rociadas,2006-06-01,12,12
SAIPINA,chagas,viviendas rociadas,2006-06-01,12,12
SAN BENITO,chagas,viviendas rociadas,2006-06-01,60,60
SAN LORENZO(TJA),chagas,viviendas rociadas,2006-06-01,145,145
SANTIVAÑES,chagas,viviendas rociadas,2006-06-01,12,12
SIPE SIPE,chagas,viviendas rociadas,2006-06-01,99,99
TAPACARI,chagas,viviendas rociadas,2006-06-01,319,319
TARATA,chagas,viviendas rociadas,2006-06-01,7,7
TARIJA,chagas,viviendas rociadas,2006-06-01,254,254
TIQUIPAYA,chagas,viviendas rociadas,2006-06-01,4,4
TOCO,chagas,viviendas rociadas,2006-06-01,1,1
TOLATA,chagas,viviendas rociadas,2006-06-01,3,3
URIONDO (A. CONCEPCION),chagas,viviendas rociadas,2006-06-01,30,30
VALLEGRANDE,chagas,viviendas rociadas,2006-06-01,274,274
VILLA RIVERO,chagas,viviendas rociadas,2006-06-01,63,63
VINTO,chagas,viviendas rociadas,2006-06-01,145,145
ANZALDO,chagas,viviendas rociadas,2006-07-01,22,22
ARANI,chagas,viviendas rociadas,2006-07-01,42,42
ARBIETO,chagas,viviendas rociadas,2006-07-01,28,28
AYOPAYA (V. DE INDEPENDENCIA),chagas,viviendas rociadas,2006-07-01,1,1
BETANZOS,chagas,viviendas rociadas,2006-07-01,14,14
CAJUATA,chagas,viviendas rociadas,2006-07-01,10,10
CAPINOTA,chagas,viviendas rociadas,2006-07-01,8,8
CLIZA,chagas,viviendas rociadas,2006-07-01,4,4
COCHABAMBA,chagas,viviendas rociadas,2006-07-01,81,81
CUCHUMUELA (V. G. VILLARROEL),chagas,viviendas rociadas,2006-07-01,11,11
CUEVO,chagas,viviendas rociadas,2006-07-01,7,7
EL PUENTE(TJA),chagas,viviendas rociadas,2006-07-01,91,91
EL TORNO,chagas,viviendas rociadas,2006-07-01,13,13
GUTIERREZ,chagas,viviendas rociadas,2006-07-01,10,10
INQUISIVI,chagas,viviendas rociadas,2006-07-01,15,15
LICOMA PAMPA,chagas,viviendas rociadas,2006-07-01,8,8
MIZQUE,chagas,viviendas rociadas,2006-07-01,2,2
MOROCHATA,chagas,viviendas rociadas,2006-07-01,62,62
OKINAWA,chagas,viviendas rociadas,2006-07-01,376,376
PADCAYA,chagas,viviendas rociadas,2006-07-01,118,118
PAMPA GRANDE,chagas,viviendas rociadas,2006-07-01,4,4
POCONA,chagas,viviendas rociadas,2006-07-01,47,47
POJO (CBBA),chagas,viviendas rociadas,2006-07-01,4,4
PUNA,chagas,viviendas rociadas,2006-07-01,21,21
PUNATA,chagas,viviendas rociadas,2006-07-01,8,8
QUILLACOLLO,chagas,viviendas rociadas,2006-07-01,37,37
QUIRUSILLAS,chagas,viviendas rociadas,2006-07-01,3,3
SACABA,chagas,viviendas rociadas,2006-07-01,25,25
SAIPINA,chagas,viviendas rociadas,2006-07-01,35,35
SAN BENITO,chagas,viviendas rociadas,2006-07-01,47,47
SAN LORENZO(TJA),chagas,viviendas rociadas,2006-07-01,123,123
SAN PEDRO DE BUENA VISTA,chagas,viviendas rociadas,2006-07-01,58,58
SANTIVAÑES,chagas,viviendas rociadas,2006-07-01,4,4
SIPE SIPE,chagas,viviendas rociadas,2006-07-01,89,89
TACACHI,chagas,viviendas rociadas,2006-07-01,17,17
TAPACARI,chagas,viviendas rociadas,2006-07-01,84,84
TARATA,chagas,viviendas rociadas,2006-07-01,2,2
TARIJA,chagas,viviendas rociadas,2006-07-01,221,221
TIQUIPAYA,chagas,viviendas rociadas,2006-07-01,6,6
TOCO,chagas,viviendas rociadas,2006-07-01,3,3
TOTORA(CBBA),chagas,viviendas rociadas,2006-07-01,50,50
URIONDO (A. CONCEPCION),chagas,viviendas rociadas,2006-07-01,5,5
VALLEGRANDE,chagas,viviendas rociadas,2006-07-01,1073,1073
VILLA RIVERO,chagas,viviendas rociadas,2006-07-01,10,10
VINTO,chagas,viviendas rociadas,2006-07-01,71,71
ANZALDO,chagas,viviendas rociadas,2006-08-01,30,30
ARANI,chagas,viviendas rociadas,2006-08-01,16,16
ARBIETO,chagas,viviendas rociadas,2006-08-01,27,27
AYOPAYA (V. DE INDEPENDENCIA),chagas,viviendas rociadas,2006-08-01,12,12
BETANZOS,chagas,viviendas rociadas,2006-08-01,11,11
BOYUIBE,chagas,viviendas rociadas,2006-08-01,18,18
CABEZAS,chagas,viviendas rociadas,2006-08-01,7,7
CLIZA,chagas,viviendas rociadas,2006-08-01,5,5
COCHABAMBA,chagas,viviendas rociadas,2006-08-01,78,78
CORIPATA,chagas,viviendas rociadas,2006-08-01,26,26
CUCHUMUELA (V. G. VILLARROEL),chagas,viviendas rociadas,2006-08-01,15,15
EL PUENTE(TJA),chagas,viviendas rociadas,2006-08-01,75,75
EL TORNO,chagas,viviendas rociadas,2006-08-01,7,7
ENTRE RIOS,chagas,viviendas rociadas,2006-08-01,3,3
GUTIERREZ,chagas,viviendas rociadas,2006-08-01,2,2
INQUISIVI,chagas,viviendas rociadas,2006-08-01,9,9
LA GUARDIA,chagas,viviendas rociadas,2006-08-01,1,1
MAIRANA,chagas,viviendas rociadas,2006-08-01,3,3
MIZQUE,chagas,viviendas rociadas,2006-08-01,2,2
OMEREQUE,chagas,viviendas rociadas,2006-08-01,8,8
PADCAYA,chagas,viviendas rociadas,2006-08-01,79,79
PAMPA GRANDE,chagas,viviendas rociadas,2006-08-01,3,3
POCONA,chagas,viviendas rociadas,2006-08-01,15,15
POJO (CBBA),chagas,viviendas rociadas,2006-08-01,28,28
PUCARA,chagas,viviendas rociadas,2006-08-01,12,12
PUNATA,chagas,viviendas rociadas,2006-08-01,21,21
QUILLACOLLO,chagas,viviendas rociadas,2006-08-01,10,10
QUIRUSILLAS,chagas,viviendas rociadas,2006-08-01,6,6
SACABA,chagas,viviendas rociadas,2006-08-01,32,32
SAIPINA,chagas,viviendas rociadas,2006-08-01,36,36
SAN BENITO,chagas,viviendas rociadas,2006-08-01,46,46
SAN LORENZO(TJA),chagas,viviendas rociadas,2006-08-01,143,143
SANTIVAÑES,chagas,viviendas rociadas,2006-08-01,3,3
SIPE SIPE,chagas,viviendas rociadas,2006-08-01,220,220
SOPACHUY,chagas,viviendas rociadas,2006-08-01,4,4
TACACHI,chagas,viviendas rociadas,2006-08-01,9,9
TAPACARI,chagas,viviendas rociadas,2006-08-01,14,14
TARATA,chagas,viviendas rociadas,2006-08-01,5,5
TARIJA,chagas,viviendas rociadas,2006-08-01,189,189
TIQUIPAYA,chagas,viviendas rociadas,2006-08-01,13,13
TOCO,chagas,viviendas rociadas,2006-08-01,5,5
TOLATA,chagas,viviendas rociadas,2006-08-01,8,8
TOTORA(CBBA),chagas,viviendas rociadas,2006-08-01,7,7
TUPIZA,chagas,viviendas rociadas,2006-08-01,1,1
URIONDO (A. CONCEPCION),chagas,viviendas rociadas,2006-08-01,44,44
VALLEGRANDE,chagas,viviendas rociadas,2006-08-01,963,963
VILLA RIVERO,chagas,viviendas rociadas,2006-08-01,7,7
AIQUILE,chagas,viviendas rociadas,2006-09-01,1,1
ANZALDO,chagas,viviendas rociadas,2006-09-01,20,20
ARANI,chagas,viviendas rociadas,2006-09-01,39,39
ARBIETO,chagas,viviendas rociadas,2006-09-01,14,14
ARQUE,chagas,viviendas rociadas,2006-09-01,86,86
AYOPAYA (V. DE INDEPENDENCIA),chagas,viviendas rociadas,2006-09-01,4,4
CLIZA,chagas,viviendas rociadas,2006-09-01,6,6
COCHABAMBA,chagas,viviendas rociadas,2006-09-01,56,56
COLCAPIRHUA,chagas,viviendas rociadas,2006-09-01,15,15
COTOCA,chagas,viviendas rociadas,2006-09-01,2,2
CUCHUMUELA (V. G. VILLARROEL),chagas,viviendas rociadas,2006-09-01,10,10
EL PUENTE(TJA),chagas,viviendas rociadas,2006-09-01,66,66
ENTRE RIOS,chagas,viviendas rociadas,2006-09-01,89,89
GUTIERREZ,chagas,viviendas rociadas,2006-09-01,9,9
IRUPANA (VILLA DE LANZA),chagas,viviendas rociadas,2006-09-01,26,26
MAIRANA,chagas,viviendas rociadas,2006-09-01,2,2
MOROCHATA,chagas,viviendas rociadas,2006-09-01,1,1
PADCAYA,chagas,viviendas rociadas,2006-09-01,7,7
PAMPA GRANDE,chagas,viviendas rociadas,2006-09-01,3,3
POCONA,chagas,viviendas rociadas,2006-09-01,22,22
POJO (CBBA),chagas,viviendas rociadas,2006-09-01,37,37
PUCARA,chagas,viviendas rociadas,2006-09-01,2,2
PUNATA,chagas,viviendas rociadas,2006-09-01,18,18
QUILLACOLLO,chagas,viviendas rociadas,2006-09-01,88,88
QUIRUSILLAS,chagas,viviendas rociadas,2006-09-01,3,3
SACABA,chagas,viviendas rociadas,2006-09-01,36,36
SACABAMBA,chagas,viviendas rociadas,2006-09-01,8,8
SAIPINA,chagas,viviendas rociadas,2006-09-01,20,20
SAN BENITO,chagas,viviendas rociadas,2006-09-01,12,12
SAN LORENZO(TJA),chagas,viviendas rociadas,2006-09-01,141,141
SAN PEDRO DE BUENA VISTA,chagas,viviendas rociadas,2006-09-01,12,12
SICAYA,chagas,viviendas rociadas,2006-09-01,11,11
SIPE SIPE,chagas,viviendas rociadas,2006-09-01,24,24
TACACHI,chagas,viviendas rociadas,2006-09-01,7,7
TACOPAYA,chagas,viviendas rociadas,2006-09-01,3,3
TAPACARI,chagas,viviendas rociadas,2006-09-01,46,46
TARATA,chagas,viviendas rociadas,2006-09-01,3,3
TARIJA,chagas,viviendas rociadas,2006-09-01,17,17
TIQUIPAYA,chagas,viviendas rociadas,2006-09-01,21,21
TOCO,chagas,viviendas rociadas,2006-09-01,3,3
TOTORA(CBBA),chagas,viviendas rociadas,2006-09-01,29,29
TRIGAL,chagas,viviendas rociadas,2006-09-01,19,19
TUPIZA,chagas,viviendas rociadas,2006-09-01,2,2
URIONDO (A. CONCEPCION),chagas,viviendas rociadas,2006-09-01,28,28
VILLA MONTES,chagas,viviendas rociadas,2006-09-01,378,378
VILLA RIVERO,chagas,viviendas rociadas,2006-09-01,39,39
VINTO,chagas,viviendas rociadas,2006-09-01,42,42
YACUIBA,chagas,viviendas rociadas,2006-09-01,426,426
AIQUILE,chagas,viviendas rociadas,2006-10-01,64,64
ANZALDO,chagas,viviendas rociadas,2006-10-01,84,84
ARANI,chagas,viviendas rociadas,2006-10-01,28,28
ARBIETO,chagas,viviendas rociadas,2006-10-01,4,4
CARAPARI,chagas,viviendas rociadas,2006-10-01,93,93
CHARAGUA,chagas,viviendas rociadas,2006-10-01,12,12
COCHABAMBA,chagas,viviendas rociadas,2006-10-01,82,82
CORIPATA,chagas,viviendas rociadas,2006-10-01,47,47
COTOCA,chagas,viviendas rociadas,2006-10-01,3,3
EL PUENTE(TJA),chagas,viviendas rociadas,2006-10-01,17,17
EL TORNO,chagas,viviendas rociadas,2006-10-01,17,17
ENTRE RIOS,chagas,viviendas rociadas,2006-10-01,595,595
GUTIERREZ,chagas,viviendas rociadas,2006-10-01,33,33
LA ASUNTA,chagas,viviendas rociadas,2006-10-01,246,246
LA GUARDIA,chagas,viviendas rociadas,2006-10-01,16,16
MAIRANA,chagas,viviendas rociadas,2006-10-01,10,10
MONTEAGUDO,chagas,viviendas rociadas,2006-10-01,333,333
OMEREQUE,chagas,viviendas rociadas,2006-10-01,533,533
PASORAPA,chagas,viviendas rociadas,2006-10-01,153,153
POJO (CBBA),chagas,viviendas rociadas,2006-10-01,540,540
PUCARA,chagas,viviendas rociadas,2006-10-01,4,4
PUNA,chagas,viviendas rociadas,2006-10-01,56,56
PUNATA,chagas,viviendas rociadas,2006-10-01,3,3
QUIRUSILLAS,chagas,viviendas rociadas,2006-10-01,11,11
SACABAMBA,chagas,viviendas rociadas,2006-10-01,3,3
SAIPINA,chagas,viviendas rociadas,2006-10-01,41,41
SAN BENITO,chagas,viviendas rociadas,2006-10-01,4,4
TARIJA,chagas,viviendas rociadas,2006-10-01,45,45
TOCO,chagas,viviendas rociadas,2006-10-01,1,1
TOLATA,chagas,viviendas rociadas,2006-10-01,2,2
TRIGAL,chagas,viviendas rociadas,2006-10-01,9,9
TUPIZA,chagas,viviendas rociadas,2006-10-01,2,2
URIONDO (A. CONCEPCION),chagas,viviendas rociadas,2006-10-01,53,53
VALLEGRANDE,chagas,viviendas rociadas,2006-10-01,300,300
VILLA MONTES,chagas,viviendas rociadas,2006-10-01,1176,1176
VILLA VACA GUZMAN (MUYUPAMPA),chagas,viviendas rociadas,2006-10-01,753,753
YACUIBA,chagas,viviendas rociadas,2006-10-01,2073,2073
YANACACHI,chagas,viviendas rociadas,2006-10-01,10,10
ZUDAÑEZ,chagas,viviendas rociadas,2006-10-01,1,1
ACACIO,chagas,viviendas rociadas,2006-11-01,12,12
ANZALDO,chagas,viviendas rociadas,2006-11-01,163,163
ARANI,chagas,viviendas rociadas,2006-11-01,41,41
AYOPAYA (V. DE INDEPENDENCIA),chagas,viviendas rociadas,2006-11-01,5,5
AZURDUY,chagas,viviendas rociadas,2006-11-01,73,73
BOYUIBE,chagas,viviendas rociadas,2006-11-01,32,32
CABEZAS,chagas,viviendas rociadas,2006-11-01,15,15
CARAPARI,chagas,viviendas rociadas,2006-11-01,285,285
CHARAGUA,chagas,viviendas rociadas,2006-11-01,16,16
CHUMA,chagas,viviendas rociadas,2006-11-01,39,39
CLIZA,chagas,viviendas rociadas,2006-11-01,1,1
COCHABAMBA,chagas,viviendas rociadas,2006-11-01,92,92
COTAGAITA,chagas,viviendas rociadas,2006-11-01,2,2
COTOCA,chagas,viviendas rociadas,2006-11-01,4,4
CUEVO,chagas,viviendas rociadas,2006-11-01,42,42
EL PUENTE(TJA),chagas,viviendas rociadas,2006-11-01,80,80
EL TORNO,chagas,viviendas rociadas,2006-11-01,29,29
ENTRE RIOS,chagas,viviendas rociadas,2006-11-01,949,949
GUTIERREZ,chagas,viviendas rociadas,2006-11-01,36,36
LA GUARDIA,chagas,viviendas rociadas,2006-11-01,11,11
MACHARETI,chagas,viviendas rociadas,2006-11-01,244,244
MAIRANA,chagas,viviendas rociadas,2006-11-01,32,32
MIZQUE,chagas,viviendas rociadas,2006-11-01,4,4
MOJOCOYA,chagas,viviendas rociadas,2006-11-01,70,70
MONTEAGUDO,chagas,viviendas rociadas,2006-11-01,374,374
MORO MORO,chagas,viviendas rociadas,2006-11-01,17,17
OMEREQUE,chagas,viviendas rociadas,2006-11-01,179,179
PADCAYA,chagas,viviendas rociadas,2006-11-01,113,113
PAILON,chagas,viviendas rociadas,2006-11-01,2,2
PAMPA GRANDE,chagas,viviendas rociadas,2006-11-01,2,2
POJO (CBBA),chagas,viviendas rociadas,2006-11-01,499,499
PUNATA,chagas,viviendas rociadas,2006-11-01,7,7
QUILLACOLLO,chagas,viviendas rociadas,2006-11-01,29,29
QUIRUSILLAS,chagas,viviendas rociadas,2006-11-01,13,13
SACABA,chagas,viviendas rociadas,2006-11-01,4,4
SAIPINA,chagas,viviendas rociadas,2006-11-01,28,28
SAMAIPATA,chagas,viviendas rociadas,2006-11-01,40,40
SAN BENITO,chagas,viviendas rociadas,2006-11-01,3,3
SAN LORENZO(TJA),chagas,viviendas rociadas,2006-11-01,33,33
SAN LUCAS,chagas,viviendas rociadas,2006-11-01,170,170
SAN PEDRO DE BUENA VISTA,chagas,viviendas rociadas,2006-11-01,25,25
SORATA,chagas,viviendas rociadas,2006-11-01,6,6
TARIJA,chagas,viviendas rociadas,2006-11-01,120,120
TARVITA,chagas,viviendas rociadas,2006-11-01,444,444
TOLATA,chagas,viviendas rociadas,2006-11-01,3,3
TRIGAL,chagas,viviendas rociadas,2006-11-01,9,9
TUPIZA,chagas,viviendas rociadas,2006-11-01,1,1
URIONDO (A. CONCEPCION),chagas,viviendas rociadas,2006-11-01,47,47
