municipality,group,variable,month,Viviendas visitadas por agente comunitario,TOTAL
TUPIZA,chagas,viviendas visitadas por agente comunitario,2006-04-01,460,460
VINTO,chagas,viviendas visitadas por agente comunitario,2006-04-01,805,805
ARAMPAMPA,chagas,viviendas visitadas por agente comunitario,2006-05-01,226,226
BETANZOS,chagas,viviendas visitadas por agente comunitario,2006-05-01,9,9
BUENA VISTA,chagas,viviendas visitadas por agente comunitario,2006-05-01,2,2
EL TORNO,chagas,viviendas visitadas por agente comunitario,2006-05-01,400,400
MAIRANA,chagas,viviendas visitadas por agente comunitario,2006-05-01,1,1
PORONGO,chagas,viviendas visitadas por agente comunitario,2006-05-01,3,3
PORTACHUELO,chagas,viviendas visitadas por agente comunitario,2006-05-01,14,14
PUNA,chagas,viviendas visitadas por agente comunitario,2006-05-01,24,24
PUNATA,chagas,viviendas visitadas por agente comunitario,2006-05-01,4,4
QUIRUSILLAS,chagas,viviendas visitadas por agente comunitario,2006-05-01,5,5
RURRENABAQUE,chagas,viviendas visitadas por agente comunitario,2006-05-01,50,50
SAN BENITO,chagas,viviendas visitadas por agente comunitario,2006-05-01,219,219
SANTIVAÑES,chagas,viviendas visitadas por agente comunitario,2006-05-01,241,241
TACOPAYA,chagas,viviendas visitadas por agente comunitario,2006-05-01,4,4
TARVITA,chagas,viviendas visitadas por agente comunitario,2006-05-01,210,210
ARQUE,chagas,viviendas visitadas por agente comunitario,2006-06-01,2,2
AZURDUY,chagas,viviendas visitadas por agente comunitario,2006-06-01,3,3
CAPINOTA,chagas,viviendas visitadas por agente comunitario,2006-06-01,264,264
CLIZA,chagas,viviendas visitadas por agente comunitario,2006-06-01,216,216
MAIRANA,chagas,viviendas visitadas por agente comunitario,2006-06-01,12,12
MORO MORO,chagas,viviendas visitadas por agente comunitario,2006-06-01,32,32
PORTACHUELO,chagas,viviendas visitadas por agente comunitario,2006-06-01,10,10
PUCARA,chagas,viviendas visitadas por agente comunitario,2006-06-01,21,21
QUIRUSILLAS,chagas,viviendas visitadas por agente comunitario,2006-06-01,57,57
SAIPINA,chagas,viviendas visitadas por agente comunitario,2006-06-01,12,12
TARVITA,chagas,viviendas visitadas por agente comunitario,2006-06-01,58,58
VILLA VACA GUZMAN (MUYUPAMPA),chagas,viviendas visitadas por agente comunitario,2006-06-01,28,28
ARBIETO,chagas,viviendas visitadas por agente comunitario,2006-07-01,59,59
AZURDUY,chagas,viviendas visitadas por agente comunitario,2006-07-01,4,4
CAPINOTA,chagas,viviendas visitadas por agente comunitario,2006-07-01,315,315
COTAGAITA,chagas,viviendas visitadas por agente comunitario,2006-07-01,2,2
CUCHUMUELA (V. G. VILLARROEL),chagas,viviendas visitadas por agente comunitario,2006-07-01,229,229
MOROCHATA,chagas,viviendas visitadas por agente comunitario,2006-07-01,92,92
POJO (CBBA),chagas,viviendas visitadas por agente comunitario,2006-07-01,496,496
POROMA,chagas,viviendas visitadas por agente comunitario,2006-07-01,297,297
PORTACHUELO,chagas,viviendas visitadas por agente comunitario,2006-07-01,14,14
PUNATA,chagas,viviendas visitadas por agente comunitario,2006-07-01,1,1
SAN BENITO,chagas,viviendas visitadas por agente comunitario,2006-07-01,97,97
SANTA CRUZ DE LA SIERRA,chagas,viviendas visitadas por agente comunitario,2006-07-01,10,10
SANTIVAÑES,chagas,viviendas visitadas por agente comunitario,2006-07-01,6,6
TARATA,chagas,viviendas visitadas por agente comunitario,2006-07-01,358,358
TARVITA,chagas,viviendas visitadas por agente comunitario,2006-07-01,54,54
TOTORA(CBBA),chagas,viviendas visitadas por agente comunitario,2006-07-01,280,280
VACAS,chagas,viviendas visitadas por agente comunitario,2006-07-01,111,111
VINTO,chagas,viviendas visitadas por agente comunitario,2006-07-01,36,36
ACACIO,chagas,viviendas visitadas por agente comunitario,2006-08-01,37,37
ANZALDO,chagas,viviendas visitadas por agente comunitario,2006-08-01,15,15
ARBIETO,chagas,viviendas visitadas por agente comunitario,2006-08-01,242,242
AZURDUY,chagas,viviendas visitadas por agente comunitario,2006-08-01,31,31
COTOCA,chagas,viviendas visitadas por agente comunitario,2006-08-01,33,33
MAIRANA,chagas,viviendas visitadas por agente comunitario,2006-08-01,13,13
OMEREQUE,chagas,viviendas visitadas por agente comunitario,2006-08-01,10,10
POJO (CBBA),chagas,viviendas visitadas por agente comunitario,2006-08-01,502,502
PORTACHUELO,chagas,viviendas visitadas por agente comunitario,2006-08-01,24,24
QUIRUSILLAS,chagas,viviendas visitadas por agente comunitario,2006-08-01,85,85
SAN BENITO,chagas,viviendas visitadas por agente comunitario,2006-08-01,82,82
TARATA,chagas,viviendas visitadas por agente comunitario,2006-08-01,334,334
TARVITA,chagas,viviendas visitadas por agente comunitario,2006-08-01,125,125
TOTORA(CBBA),chagas,viviendas visitadas por agente comunitario,2006-08-01,2,2
TUPIZA,chagas,viviendas visitadas por agente comunitario,2006-08-01,60,60
VALLEGRANDE,chagas,viviendas visitadas por agente comunitario,2006-08-01,1387,1387
VILLA RIVERO,chagas,viviendas visitadas por agente comunitario,2006-08-01,32,32
VILLA SERRANO,chagas,viviendas visitadas por agente comunitario,2006-08-01,8,8
AIQUILE,chagas,viviendas visitadas por agente comunitario,2006-09-01,1,1
ANZALDO,chagas,viviendas visitadas por agente comunitario,2006-09-01,6,6
AZURDUY,chagas,viviendas visitadas por agente comunitario,2006-09-01,19,19
COTOCA,chagas,viviendas visitadas por agente comunitario,2006-09-01,2,2
CUEVO,chagas,viviendas visitadas por agente comunitario,2006-09-01,12,12
EL TORNO,chagas,viviendas visitadas por agente comunitario,2006-09-01,11,11
EL VILLAR,chagas,viviendas visitadas por agente comunitario,2006-09-01,5,5
IRUPANA (VILLA DE LANZA),chagas,viviendas visitadas por agente comunitario,2006-09-01,1,1
POJO (CBBA),chagas,viviendas visitadas por agente comunitario,2006-09-01,455,455
PUNA,chagas,viviendas visitadas por agente comunitario,2006-09-01,14,14
PUNATA,chagas,viviendas visitadas por agente comunitario,2006-09-01,1,1
SAN BENITO,chagas,viviendas visitadas por agente comunitario,2006-09-01,64,64
SUCRE,chagas,viviendas visitadas por agente comunitario,2006-09-01,302,302
TACOPAYA,chagas,viviendas visitadas por agente comunitario,2006-09-01,1,1
TARVITA,chagas,viviendas visitadas por agente comunitario,2006-09-01,85,85
TUPIZA,chagas,viviendas visitadas por agente comunitario,2006-09-01,7,7
VINTO,chagas,viviendas visitadas por agente comunitario,2006-09-01,11,11
AIQUILE,chagas,viviendas visitadas por agente comunitario,2006-10-01,4,4
AZURDUY,chagas,viviendas visitadas por agente comunitario,2006-10-01,11,11
BETANZOS,chagas,viviendas visitadas por agente comunitario,2006-10-01,21,21
COTOCA,chagas,viviendas visitadas por agente comunitario,2006-10-01,22,22
EL TORNO,chagas,viviendas visitadas por agente comunitario,2006-10-01,17,17
LA GUARDIA,chagas,viviendas visitadas por agente comunitario,2006-10-01,16,16
MAIRANA,chagas,viviendas visitadas por agente comunitario,2006-10-01,5,5
OKINAWA,chagas,viviendas visitadas por agente comunitario,2006-10-01,3,3
PORONGO,chagas,viviendas visitadas por agente comunitario,2006-10-01,5,5
PORTACHUELO,chagas,viviendas visitadas por agente comunitario,2006-10-01,10,10
QUIRUSILLAS,chagas,viviendas visitadas por agente comunitario,2006-10-01,414,414
SUCRE,chagas,viviendas visitadas por agente comunitario,2006-10-01,645,645
TARIJA,chagas,viviendas visitadas por agente comunitario,2006-10-01,6,6
TARVITA,chagas,viviendas visitadas por agente comunitario,2006-10-01,71,71
TOMINA,chagas,viviendas visitadas por agente comunitario,2006-10-01,3,3
URIONDO (A. CONCEPCION),chagas,viviendas visitadas por agente comunitario,2006-10-01,1,1
VILLA MONTES,chagas,viviendas visitadas por agente comunitario,2006-10-01,13,13
VILLA SERRANO,chagas,viviendas visitadas por agente comunitario,2006-10-01,9,9
VILLA VACA GUZMAN (MUYUPAMPA),chagas,viviendas visitadas por agente comunitario,2006-10-01,25,25
ZUDAÑEZ,chagas,viviendas visitadas por agente comunitario,2006-10-01,41,41
ARBIETO,chagas,viviendas visitadas por agente comunitario,2006-11-01,40,40
ARQUE,chagas,viviendas visitadas por agente comunitario,2006-11-01,4,4
BETANZOS,chagas,viviendas visitadas por agente comunitario,2006-11-01,12,12
CHUMA,chagas,viviendas visitadas por agente comunitario,2006-11-01,208,208
COTOCA,chagas,viviendas visitadas por agente comunitario,2006-11-01,4,4
MAIRANA,chagas,viviendas visitadas por agente comunitario,2006-11-01,7,7
MIZQUE,chagas,viviendas visitadas por agente comunitario,2006-11-01,4,4
PORONGO,chagas,viviendas visitadas por agente comunitario,2006-11-01,19,19
PORTACHUELO,chagas,viviendas visitadas por agente comunitario,2006-11-01,25,25
QUIRUSILLAS,chagas,viviendas visitadas por agente comunitario,2006-11-01,536,536
TACOPAYA,chagas,viviendas visitadas por agente comunitario,2006-11-01,1,1
TARVITA,chagas,viviendas visitadas por agente comunitario,2006-11-01,22,22
TUPIZA,chagas,viviendas visitadas por agente comunitario,2006-11-01,3,3
ACACIO,chagas,viviendas visitadas por agente comunitario,2006-12-01,7,7
ARBIETO,chagas,viviendas visitadas por agente comunitario,2006-12-01,31,31
ARQUE,chagas,viviendas visitadas por agente comunitario,2006-12-01,30,30
AZURDUY,chagas,viviendas visitadas por agente comunitario,2006-12-01,7,7
BETANZOS,chagas,viviendas visitadas por agente comunitario,2006-12-01,6,6
COTOCA,chagas,viviendas visitadas por agente comunitario,2006-12-01,9,9
EL TORNO,chagas,viviendas visitadas por agente comunitario,2006-12-01,12,12
MAIRANA,chagas,viviendas visitadas por agente comunitario,2006-12-01,3,3
MORO MORO,chagas,viviendas visitadas por agente comunitario,2006-12-01,58,58
POCONA,chagas,viviendas visitadas por agente comunitario,2006-12-01,1,1
POJO (CBBA),chagas,viviendas visitadas por agente comunitario,2006-12-01,17,17
POSTRER VALLE,chagas,viviendas visitadas por agente comunitario,2006-12-01,35,35
PUCARA,chagas,viviendas visitadas por agente comunitario,2006-12-01,5,5
PUNATA,chagas,viviendas visitadas por agente comunitario,2006-12-01,1,1
QUILLACOLLO,chagas,viviendas visitadas por agente comunitario,2006-12-01,1,1
QUIRUSILLAS,chagas,viviendas visitadas por agente comunitario,2006-12-01,11,11
SUCRE,chagas,viviendas visitadas por agente comunitario,2006-12-01,2,2
TARATA,chagas,viviendas visitadas por agente comunitario,2006-12-01,11,11
TARIJA,chagas,viviendas visitadas por agente comunitario,2006-12-01,47,47
TARVITA,chagas,viviendas visitadas por agente comunitario,2006-12-01,4,4
TOMAVE,chagas,viviendas visitadas por agente comunitario,2006-12-01,23,23
TORO TORO,chagas,viviendas visitadas por agente comunitario,2006-12-01,6,6
TUPIZA,chagas,viviendas visitadas por agente comunitario,2006-12-01,6,6
URIONDO (A. CONCEPCION),chagas,viviendas visitadas por agente comunitario,2006-12-01,66,66
VINTO,chagas,viviendas visitadas por agente comunitario,2006-12-01,59,59
