,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
COCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,12,7,58,54,70,61,131
COCHABAMBA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,1468,1398,3256,3022,4724,4420,9144
COIPASA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,0,0,5,3,5,3,8
COLCAPIRHUA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,93,80,170,144,263,224,487
"COLCHA ""K""",control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,6,3,61,51,67,54,121
COLLANA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,0,2,12,17,12,19,31
COLOMI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,13,11,166,185,179,196,375
COLPA BELGICA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,5,4,25,21,30,25,55
COLQUECHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,22,19,187,168,209,187,396
COLQUENCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,9,1,74,70,83,71,154
COLQUIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,7,9,75,52,82,61,143
COMANCHE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,0,2,9,12,9,14,23
COMARAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,11,9,132,110,143,119,262
COMBAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,0,3,9,2,9,5,14
CONCEPCION,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,16,10,206,150,222,160,382
COPACABANA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,5,5,44,35,49,40,89
CORIPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,7,5,84,100,91,105,196
CORO CORO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,9,5,25,24,34,29,63
COROICO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,11,15,73,102,84,117,201
CORQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,5,2,26,27,31,29,60
COTAGAITA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,7,13,111,126,118,139,257
COTOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,109,99,553,494,662,593,1255
CUATRO CAÑADAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,13,17,206,156,219,173,392
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,3,1,7,5,10,6,16
CUEVO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,7,3,27,24,34,27,61
CULPINA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,9,14,83,74,92,88,180
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,1,0,26,19,27,19,46
CURVA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,5,4,5,13,10,17,27
DESAGUADERO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,2,3,34,31,36,34,70
EL ALTO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,1426,1428,4342,3851,5768,5279,11047
EL CHORO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,0,1,7,12,7,13,20
EL PUENTE(STC),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,9,6,71,65,80,71,151
EL PUENTE(TJA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,4,6,45,43,49,49,98
EL TORNO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,53,60,477,414,530,474,1004
EL VILLAR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,4,3,11,13,15,16,31
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,12,10,120,109,132,119,251
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,91,80,374,357,465,437,902
ESCARA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,2,0,2,1,4,1,5
ESCOMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,3,1,18,12,21,13,34
ESMERALDA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,0,0,2,4,2,4,6
EUCALIPTUS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,0,1,32,24,32,25,57
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,2,2,5,4,7,6,13
EXALTACION,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,6,3,5,8,11,11,22
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,3,13,77,74,80,87,167
FILADELFIA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,2,2,34,28,36,30,66
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,13,17,117,73,130,90,220
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,4,10,35,45,39,55,94
GUANAY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,8,14,99,106,107,120,227
GUAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,2,0,24,25,26,25,51
GUAYARAMERIN,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,100,66,248,225,348,291,639
GUTIERREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,9,15,91,76,100,91,191
HUACARETA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,3,5,38,37,41,42,83
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,1,0,14,9,15,9,24
