municipality,group,variable,month,Total 25.7 Viviendas Positivas,TOTAL
GUTIERREZ,chagas viviendas,       viviendas positivas,2014-03-01,8,8
MOJOCOYA,chagas viviendas,       viviendas positivas,2014-03-01,84,84
OMEREQUE,chagas viviendas,       viviendas positivas,2014-03-01,9,9
PADILLA,chagas viviendas,       viviendas positivas,2014-03-01,8,8
POCOATA,chagas viviendas,       viviendas positivas,2014-03-01,4,4
POJO (CBBA),chagas viviendas,       viviendas positivas,2014-03-01,13,13
POSTRER VALLE,chagas viviendas,       viviendas positivas,2014-03-01,1,1
PUNATA,chagas viviendas,       viviendas positivas,2014-03-01,3,3
SACABA,chagas viviendas,       viviendas positivas,2014-03-01,8,8
SAIPINA,chagas viviendas,       viviendas positivas,2014-03-01,4,4
SAN BENITO,chagas viviendas,       viviendas positivas,2014-03-01,1,1
SAN JULIAN,chagas viviendas,       viviendas positivas,2014-03-01,2,2
SAN LORENZO(TJA),chagas viviendas,       viviendas positivas,2014-03-01,3,3
SAN LUCAS,chagas viviendas,       viviendas positivas,2014-03-01,7,7
SANTIVAÑES,chagas viviendas,       viviendas positivas,2014-03-01,2,2
SICAYA,chagas viviendas,       viviendas positivas,2014-03-01,16,16
SIPE SIPE,chagas viviendas,       viviendas positivas,2014-03-01,7,7
SUCRE,chagas viviendas,       viviendas positivas,2014-03-01,3,3
TACOPAYA,chagas viviendas,       viviendas positivas,2014-03-01,1,1
TAPACARI,chagas viviendas,       viviendas positivas,2014-03-01,1,1
TARIJA,chagas viviendas,       viviendas positivas,2014-03-01,3,3
TOMAVE,chagas viviendas,       viviendas positivas,2014-03-01,3,3
TOTORA(CBBA),chagas viviendas,       viviendas positivas,2014-03-01,1,1
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas positivas,2014-03-01,2,2
VALLEGRANDE,chagas viviendas,       viviendas positivas,2014-03-01,3,3
VILLA RIVERO,chagas viviendas,       viviendas positivas,2014-03-01,1,1
VINTO,chagas viviendas,       viviendas positivas,2014-03-01,5,5
VITICHI,chagas viviendas,       viviendas positivas,2014-03-01,6,6
ZUDAÑEZ,chagas viviendas,       viviendas positivas,2014-03-01,4,4
AIQUILE,chagas viviendas,       viviendas positivas,2014-04-01,15,15
ALCALA,chagas viviendas,       viviendas positivas,2014-04-01,7,7
ARAMPAMPA,chagas viviendas,       viviendas positivas,2014-04-01,2,2
ARANI,chagas viviendas,       viviendas positivas,2014-04-01,3,3
ARBIETO,chagas viviendas,       viviendas positivas,2014-04-01,7,7
ARQUE,chagas viviendas,       viviendas positivas,2014-04-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,       viviendas positivas,2014-04-01,1,1
BOYUIBE,chagas viviendas,       viviendas positivas,2014-04-01,24,24
CAMARGO,chagas viviendas,       viviendas positivas,2014-04-01,17,17
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,       viviendas positivas,2014-04-01,8,8
CAPINOTA,chagas viviendas,       viviendas positivas,2014-04-01,14,14
CARAPARI,chagas viviendas,       viviendas positivas,2014-04-01,9,9
CHAQUI,chagas viviendas,       viviendas positivas,2014-04-01,1,1
CLIZA,chagas viviendas,       viviendas positivas,2014-04-01,3,3
COCHABAMBA,chagas viviendas,       viviendas positivas,2014-04-01,18,18
COLQUECHACA,chagas viviendas,       viviendas positivas,2014-04-01,5,5
COMARAPA,chagas viviendas,       viviendas positivas,2014-04-01,18,18
CULPINA,chagas viviendas,       viviendas positivas,2014-04-01,12,12
EL PUENTE(TJA),chagas viviendas,       viviendas positivas,2014-04-01,1,1
EL TORNO,chagas viviendas,       viviendas positivas,2014-04-01,7,7
ENTRE RIOS TRJ,chagas viviendas,       viviendas positivas,2014-04-01,20,20
ICLA,chagas viviendas,       viviendas positivas,2014-04-01,9,9
MECAPACA,chagas viviendas,       viviendas positivas,2014-04-01,2,2
MIZQUE,chagas viviendas,       viviendas positivas,2014-04-01,9,9
MORO MORO,chagas viviendas,       viviendas positivas,2014-04-01,23,23
OMEREQUE,chagas viviendas,       viviendas positivas,2014-04-01,7,7
PALCA,chagas viviendas,       viviendas positivas,2014-04-01,1,1
PASORAPA,chagas viviendas,       viviendas positivas,2014-04-01,2,2
POCONA,chagas viviendas,       viviendas positivas,2014-04-01,3,3
POJO (CBBA),chagas viviendas,       viviendas positivas,2014-04-01,5,5
POROMA,chagas viviendas,       viviendas positivas,2014-04-01,578,578
POSTRER VALLE,chagas viviendas,       viviendas positivas,2014-04-01,1,1
PUCARA,chagas viviendas,       viviendas positivas,2014-04-01,1,1
PUNATA,chagas viviendas,       viviendas positivas,2014-04-01,4,4
RAVELO,chagas viviendas,       viviendas positivas,2014-04-01,4,4
SACABA,chagas viviendas,       viviendas positivas,2014-04-01,6,6
SAIPINA,chagas viviendas,       viviendas positivas,2014-04-01,2,2
SAN JULIAN,chagas viviendas,       viviendas positivas,2014-04-01,1,1
SAN LORENZO(TJA),chagas viviendas,       viviendas positivas,2014-04-01,2,2
SAN PEDRO DE BUENA VISTA,chagas viviendas,       viviendas positivas,2014-04-01,1,1
SANTIVAÑES,chagas viviendas,       viviendas positivas,2014-04-01,14,14
SICAYA,chagas viviendas,       viviendas positivas,2014-04-01,8,8
SIPE SIPE,chagas viviendas,       viviendas positivas,2014-04-01,6,6
SUCRE,chagas viviendas,       viviendas positivas,2014-04-01,8,8
TAPACARI,chagas viviendas,       viviendas positivas,2014-04-01,3,3
TARABUCO,chagas viviendas,       viviendas positivas,2014-04-01,1,1
TARATA,chagas viviendas,       viviendas positivas,2014-04-01,6,6
TARIJA,chagas viviendas,       viviendas positivas,2014-04-01,11,11
TIQUIPAYA,chagas viviendas,       viviendas positivas,2014-04-01,1,1
TOMAVE,chagas viviendas,       viviendas positivas,2014-04-01,4,4
TORO TORO,chagas viviendas,       viviendas positivas,2014-04-01,14,14
TOTORA(CBBA),chagas viviendas,       viviendas positivas,2014-04-01,1,1
TUPIZA,chagas viviendas,       viviendas positivas,2014-04-01,2,2
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas positivas,2014-04-01,2,2
VALLEGRANDE,chagas viviendas,       viviendas positivas,2014-04-01,6,6
VILLA CHARCAS,chagas viviendas,       viviendas positivas,2014-04-01,7,7
VILLA SERRANO,chagas viviendas,       viviendas positivas,2014-04-01,24,24
VITICHI,chagas viviendas,       viviendas positivas,2014-04-01,7,7
YACUIBA,chagas viviendas,       viviendas positivas,2014-04-01,134,134
ACACIO,chagas viviendas,       viviendas positivas,2014-05-01,4,4
AIQUILE,chagas viviendas,       viviendas positivas,2014-05-01,35,35
ALCALA,chagas viviendas,       viviendas positivas,2014-05-01,2,2
ANZALDO,chagas viviendas,       viviendas positivas,2014-05-01,4,4
ARAMPAMPA,chagas viviendas,       viviendas positivas,2014-05-01,3,3
ARBIETO,chagas viviendas,       viviendas positivas,2014-05-01,9,9
ARQUE,chagas viviendas,       viviendas positivas,2014-05-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,       viviendas positivas,2014-05-01,1,1
CAPINOTA,chagas viviendas,       viviendas positivas,2014-05-01,15,15
CLIZA,chagas viviendas,       viviendas positivas,2014-05-01,1,1
COLCAPIRHUA,chagas viviendas,       viviendas positivas,2014-05-01,2,2
COLQUECHACA,chagas viviendas,       viviendas positivas,2014-05-01,2,2
COMARAPA,chagas viviendas,       viviendas positivas,2014-05-01,9,9
COTAGAITA,chagas viviendas,       viviendas positivas,2014-05-01,3,3
EL TORNO,chagas viviendas,       viviendas positivas,2014-05-01,1,1
EL VILLAR,chagas viviendas,       viviendas positivas,2014-05-01,2,2
ENTRE RIOS TRJ,chagas viviendas,       viviendas positivas,2014-05-01,20,20
HUACARETA,chagas viviendas,       viviendas positivas,2014-05-01,3,3
HUACAYA (VILLA DE HUACAYA),chagas viviendas,       viviendas positivas,2014-05-01,18,18
ICLA,chagas viviendas,       viviendas positivas,2014-05-01,4,4
INQUISIVI,chagas viviendas,       viviendas positivas,2014-05-01,7,7
LA GUARDIA,chagas viviendas,       viviendas positivas,2014-05-01,6,6
MIZQUE,chagas viviendas,       viviendas positivas,2014-05-01,9,9
MOJOCOYA,chagas viviendas,       viviendas positivas,2014-05-01,14,14
OMEREQUE,chagas viviendas,       viviendas positivas,2014-05-01,3,3
PADCAYA,chagas viviendas,       viviendas positivas,2014-05-01,1,1
PADILLA,chagas viviendas,       viviendas positivas,2014-05-01,3,3
PALCA,chagas viviendas,       viviendas positivas,2014-05-01,15,15
POJO (CBBA),chagas viviendas,       viviendas positivas,2014-05-01,9,9
POROMA,chagas viviendas,       viviendas positivas,2014-05-01,1,1
PRESTO,chagas viviendas,       viviendas positivas,2014-05-01,33,33
PUNA,chagas viviendas,       viviendas positivas,2014-05-01,6,6
PUNATA,chagas viviendas,       viviendas positivas,2014-05-01,7,7
RAVELO,chagas viviendas,       viviendas positivas,2014-05-01,55,55
SACABA,chagas viviendas,       viviendas positivas,2014-05-01,4,4
SAIPINA,chagas viviendas,       viviendas positivas,2014-05-01,7,7
SAN BENITO,chagas viviendas,       viviendas positivas,2014-05-01,2,2
SAN JULIAN,chagas viviendas,       viviendas positivas,2014-05-01,3,3
SAN LORENZO(TJA),chagas viviendas,       viviendas positivas,2014-05-01,2,2
SAN LUCAS,chagas viviendas,       viviendas positivas,2014-05-01,27,27
SANTIVAÑES,chagas viviendas,       viviendas positivas,2014-05-01,8,8
SAPAHAQUI,chagas viviendas,       viviendas positivas,2014-05-01,24,24
SICAYA,chagas viviendas,       viviendas positivas,2014-05-01,5,5
SUCRE,chagas viviendas,       viviendas positivas,2014-05-01,9,9
TAPACARI,chagas viviendas,       viviendas positivas,2014-05-01,2,2
TARIJA,chagas viviendas,       viviendas positivas,2014-05-01,4,4
TARVITA,chagas viviendas,       viviendas positivas,2014-05-01,2,2
TOMAVE,chagas viviendas,       viviendas positivas,2014-05-01,5,5
TOMINA,chagas viviendas,       viviendas positivas,2014-05-01,34,34
TORO TORO,chagas viviendas,       viviendas positivas,2014-05-01,13,13
TUPIZA,chagas viviendas,       viviendas positivas,2014-05-01,4,4
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas positivas,2014-05-01,2,2
VALLEGRANDE,chagas viviendas,       viviendas positivas,2014-05-01,7,7
VILLA CHARCAS,chagas viviendas,       viviendas positivas,2014-05-01,17,17
VILLA MONTES,chagas viviendas,       viviendas positivas,2014-05-01,18,18
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,       viviendas positivas,2014-05-01,23,23
VINTO,chagas viviendas,       viviendas positivas,2014-05-01,1,1
VITICHI,chagas viviendas,       viviendas positivas,2014-05-01,17,17
YACUIBA,chagas viviendas,       viviendas positivas,2014-05-01,40,40
YAMPARAEZ,chagas viviendas,       viviendas positivas,2014-05-01,20,20
YOTALA,chagas viviendas,       viviendas positivas,2014-05-01,6,6
YUNCHARA,chagas viviendas,       viviendas positivas,2014-05-01,1,1
ACACIO,chagas viviendas,       viviendas positivas,2014-06-01,3,3
ARAMPAMPA,chagas viviendas,       viviendas positivas,2014-06-01,2,2
ARANI,chagas viviendas,       viviendas positivas,2014-06-01,4,4
ARBIETO,chagas viviendas,       viviendas positivas,2014-06-01,11,11
ARQUE,chagas viviendas,       viviendas positivas,2014-06-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,       viviendas positivas,2014-06-01,2,2
"CAIZA ""D""",chagas viviendas,       viviendas positivas,2014-06-01,4,4
CAMARGO,chagas viviendas,       viviendas positivas,2014-06-01,2,2
CAPINOTA,chagas viviendas,       viviendas positivas,2014-06-01,12,12
COLCAPIRHUA,chagas viviendas,       viviendas positivas,2014-06-01,11,11
COTAGAITA,chagas viviendas,       viviendas positivas,2014-06-01,2,2
EL PUENTE(TJA),chagas viviendas,       viviendas positivas,2014-06-01,2,2
EL TORNO,chagas viviendas,       viviendas positivas,2014-06-01,6,6
EL VILLAR,chagas viviendas,       viviendas positivas,2014-06-01,1,1
HUACARETA,chagas viviendas,       viviendas positivas,2014-06-01,11,11
HUACAYA (VILLA DE HUACAYA),chagas viviendas,       viviendas positivas,2014-06-01,23,23
ICLA,chagas viviendas,       viviendas positivas,2014-06-01,12,12
INCAHUASI,chagas viviendas,       viviendas positivas,2014-06-01,10,10
LURIBAY,chagas viviendas,       viviendas positivas,2014-06-01,1,1
MACHARETI,chagas viviendas,       viviendas positivas,2014-06-01,6,6
MAIRANA,chagas viviendas,       viviendas positivas,2014-06-01,15,15
MOJOCOYA,chagas viviendas,       viviendas positivas,2014-06-01,5,5
MONTEAGUDO,chagas viviendas,       viviendas positivas,2014-06-01,5,5
MORO MORO,chagas viviendas,       viviendas positivas,2014-06-01,1,1
OMEREQUE,chagas viviendas,       viviendas positivas,2014-06-01,1,1
PADILLA,chagas viviendas,       viviendas positivas,2014-06-01,2,2
POCONA,chagas viviendas,       viviendas positivas,2014-06-01,2,2
POJO (CBBA),chagas viviendas,       viviendas positivas,2014-06-01,12,12
POROMA,chagas viviendas,       viviendas positivas,2014-06-01,96,96
PUCARA,chagas viviendas,       viviendas positivas,2014-06-01,5,5
PUNA,chagas viviendas,       viviendas positivas,2014-06-01,3,3
PUNATA,chagas viviendas,       viviendas positivas,2014-06-01,1,1
RAVELO,chagas viviendas,       viviendas positivas,2014-06-01,5,5
SACABA,chagas viviendas,       viviendas positivas,2014-06-01,5,5
SAIPINA,chagas viviendas,       viviendas positivas,2014-06-01,4,4
SAN JULIAN,chagas viviendas,       viviendas positivas,2014-06-01,4,4
SAN PEDRO DE BUENA VISTA,chagas viviendas,       viviendas positivas,2014-06-01,6,6
SANTIVAÑES,chagas viviendas,       viviendas positivas,2014-06-01,3,3
SAPAHAQUI,chagas viviendas,       viviendas positivas,2014-06-01,5,5
SICAYA,chagas viviendas,       viviendas positivas,2014-06-01,10,10
TAPACARI,chagas viviendas,       viviendas positivas,2014-06-01,4,4
TARATA,chagas viviendas,       viviendas positivas,2014-06-01,1,1
TARIJA,chagas viviendas,       viviendas positivas,2014-06-01,35,35
TARVITA,chagas viviendas,       viviendas positivas,2014-06-01,3,3
TOCO,chagas viviendas,       viviendas positivas,2014-06-01,2,2
TOMINA,chagas viviendas,       viviendas positivas,2014-06-01,46,46
TUPIZA,chagas viviendas,       viviendas positivas,2014-06-01,7,7
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas positivas,2014-06-01,1,1
VALLEGRANDE,chagas viviendas,       viviendas positivas,2014-06-01,1,1
VILLA CHARCAS,chagas viviendas,       viviendas positivas,2014-06-01,12,12
VILLA MONTES,chagas viviendas,       viviendas positivas,2014-06-01,22,22
VILLA RIVERO,chagas viviendas,       viviendas positivas,2014-06-01,1,1
VILLA SERRANO,chagas viviendas,       viviendas positivas,2014-06-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,       viviendas positivas,2014-06-01,141,141
VITICHI,chagas viviendas,       viviendas positivas,2014-06-01,11,11
YACUIBA,chagas viviendas,       viviendas positivas,2014-06-01,103,103
YOTALA,chagas viviendas,       viviendas positivas,2014-06-01,10,10
YUNCHARA,chagas viviendas,       viviendas positivas,2014-06-01,1,1
ACACIO,chagas viviendas,       viviendas positivas,2014-07-01,5,5
ARAMPAMPA,chagas viviendas,       viviendas positivas,2014-07-01,1,1
ARANI,chagas viviendas,       viviendas positivas,2014-07-01,3,3
ARBIETO,chagas viviendas,       viviendas positivas,2014-07-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,       viviendas positivas,2014-07-01,3,3
BETANZOS,chagas viviendas,       viviendas positivas,2014-07-01,3,3
CABEZAS,chagas viviendas,       viviendas positivas,2014-07-01,9,9
"CAIZA ""D""",chagas viviendas,       viviendas positivas,2014-07-01,2,2
CAMARGO,chagas viviendas,       viviendas positivas,2014-07-01,2,2
CAPINOTA,chagas viviendas,       viviendas positivas,2014-07-01,26,26
CLIZA,chagas viviendas,       viviendas positivas,2014-07-01,3,3
COLCAPIRHUA,chagas viviendas,       viviendas positivas,2014-07-01,1,1
COLQUECHACA,chagas viviendas,       viviendas positivas,2014-07-01,2,2
COMARAPA,chagas viviendas,       viviendas positivas,2014-07-01,8,8
COTAGAITA,chagas viviendas,       viviendas positivas,2014-07-01,3,3
CULPINA,chagas viviendas,       viviendas positivas,2014-07-01,25,25
EL PUENTE(TJA),chagas viviendas,       viviendas positivas,2014-07-01,4,4
INCAHUASI,chagas viviendas,       viviendas positivas,2014-07-01,11,11
LURIBAY,chagas viviendas,       viviendas positivas,2014-07-01,6,6
MAIRANA,chagas viviendas,       viviendas positivas,2014-07-01,19,19
MIZQUE,chagas viviendas,       viviendas positivas,2014-07-01,12,12
MONTEAGUDO,chagas viviendas,       viviendas positivas,2014-07-01,10,10
MORO MORO,chagas viviendas,       viviendas positivas,2014-07-01,4,4
PAILON,chagas viviendas,       viviendas positivas,2014-07-01,4,4
POCONA,chagas viviendas,       viviendas positivas,2014-07-01,3,3
POJO (CBBA),chagas viviendas,       viviendas positivas,2014-07-01,7,7
PUCARA,chagas viviendas,       viviendas positivas,2014-07-01,5,5
PUNATA,chagas viviendas,       viviendas positivas,2014-07-01,3,3
QUILLACOLLO,chagas viviendas,       viviendas positivas,2014-07-01,6,6
RAVELO,chagas viviendas,       viviendas positivas,2014-07-01,6,6
SACABA,chagas viviendas,       viviendas positivas,2014-07-01,2,2
SAIPINA,chagas viviendas,       viviendas positivas,2014-07-01,2,2
SAN ANTONIO DE LOMERIO,chagas viviendas,       viviendas positivas,2014-07-01,7,7
SAN LUCAS,chagas viviendas,       viviendas positivas,2014-07-01,9,9
SAN PEDRO DE BUENA VISTA,chagas viviendas,       viviendas positivas,2014-07-01,15,15
SANTIVAÑES,chagas viviendas,       viviendas positivas,2014-07-01,17,17
SICAYA,chagas viviendas,       viviendas positivas,2014-07-01,4,4
TAPACARI,chagas viviendas,       viviendas positivas,2014-07-01,41,41
TARATA,chagas viviendas,       viviendas positivas,2014-07-01,3,3
TARIJA,chagas viviendas,       viviendas positivas,2014-07-01,2,2
TINGUIPAYA,chagas viviendas,       viviendas positivas,2014-07-01,2,2
TOMAVE,chagas viviendas,       viviendas positivas,2014-07-01,2,2
TOTORA(CBBA),chagas viviendas,       viviendas positivas,2014-07-01,2,2
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas positivas,2014-07-01,1,1
VILLA MONTES,chagas viviendas,       viviendas positivas,2014-07-01,41,41
YACUIBA,chagas viviendas,       viviendas positivas,2014-07-01,157,157
YOTALA,chagas viviendas,       viviendas positivas,2014-07-01,13,13
AIQUILE,chagas viviendas,       viviendas positivas,2014-08-01,24,24
ANZALDO,chagas viviendas,       viviendas positivas,2014-08-01,3,3
ARANI,chagas viviendas,       viviendas positivas,2014-08-01,2,2
ARBIETO,chagas viviendas,       viviendas positivas,2014-08-01,8,8
ARQUE,chagas viviendas,       viviendas positivas,2014-08-01,4,4
