municipality,group,variable,month,Total 25.6 Viviendas Evaluadas,TOTAL
COCHABAMBA,chagas viviendas,       viviendas evaluadas,2014-03-01,9,9
COLCAPIRHUA,chagas viviendas,       viviendas evaluadas,2014-03-01,133,133
COLQUECHACA,chagas viviendas,       viviendas evaluadas,2014-03-01,163,163
COMARAPA,chagas viviendas,       viviendas evaluadas,2014-03-01,122,122
CULPINA,chagas viviendas,       viviendas evaluadas,2014-03-01,91,91
EL PUENTE(TJA),chagas viviendas,       viviendas evaluadas,2014-03-01,318,318
EL TORNO,chagas viviendas,       viviendas evaluadas,2014-03-01,32,32
ENTRE RIOS TRJ,chagas viviendas,       viviendas evaluadas,2014-03-01,194,194
GUTIERREZ,chagas viviendas,       viviendas evaluadas,2014-03-01,41,41
ICLA,chagas viviendas,       viviendas evaluadas,2014-03-01,101,101
LURIBAY,chagas viviendas,       viviendas evaluadas,2014-03-01,227,227
MAIRANA,chagas viviendas,       viviendas evaluadas,2014-03-01,48,48
MONTERO,chagas viviendas,       viviendas evaluadas,2014-03-01,2,2
OCURI,chagas viviendas,       viviendas evaluadas,2014-03-01,311,311
OMEREQUE,chagas viviendas,       viviendas evaluadas,2014-03-01,109,109
PADCAYA,chagas viviendas,       viviendas evaluadas,2014-03-01,154,154
PADILLA,chagas viviendas,       viviendas evaluadas,2014-03-01,382,382
POCOATA,chagas viviendas,       viviendas evaluadas,2014-03-01,123,123
POCONA,chagas viviendas,       viviendas evaluadas,2014-03-01,174,174
POJO (CBBA),chagas viviendas,       viviendas evaluadas,2014-03-01,313,313
POSTRER VALLE,chagas viviendas,       viviendas evaluadas,2014-03-01,32,32
PUNATA,chagas viviendas,       viviendas evaluadas,2014-03-01,220,220
RAVELO,chagas viviendas,       viviendas evaluadas,2014-03-01,339,339
SACABA,chagas viviendas,       viviendas evaluadas,2014-03-01,249,249
SACABAMBA,chagas viviendas,       viviendas evaluadas,2014-03-01,165,165
SAIPINA,chagas viviendas,       viviendas evaluadas,2014-03-01,121,121
SAN BENITO,chagas viviendas,       viviendas evaluadas,2014-03-01,182,182
SAN JULIAN,chagas viviendas,       viviendas evaluadas,2014-03-01,6,6
SAN LORENZO(TJA),chagas viviendas,       viviendas evaluadas,2014-03-01,222,222
SAN LUCAS,chagas viviendas,       viviendas evaluadas,2014-03-01,616,616
SAN PEDRO DE BUENA VISTA,chagas viviendas,       viviendas evaluadas,2014-03-01,837,837
SANTIVAÑES,chagas viviendas,       viviendas evaluadas,2014-03-01,3,3
SICAYA,chagas viviendas,       viviendas evaluadas,2014-03-01,181,181
SIPE SIPE,chagas viviendas,       viviendas evaluadas,2014-03-01,136,136
SOPACHUY,chagas viviendas,       viviendas evaluadas,2014-03-01,142,142
SUCRE,chagas viviendas,       viviendas evaluadas,2014-03-01,483,483
TACOPAYA,chagas viviendas,       viviendas evaluadas,2014-03-01,221,221
TAPACARI,chagas viviendas,       viviendas evaluadas,2014-03-01,121,121
TARATA,chagas viviendas,       viviendas evaluadas,2014-03-01,76,76
TARIJA,chagas viviendas,       viviendas evaluadas,2014-03-01,573,573
TIQUIPAYA,chagas viviendas,       viviendas evaluadas,2014-03-01,270,270
TOCO,chagas viviendas,       viviendas evaluadas,2014-03-01,103,103
TOMAVE,chagas viviendas,       viviendas evaluadas,2014-03-01,118,118
TOTORA(CBBA),chagas viviendas,       viviendas evaluadas,2014-03-01,84,84
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas evaluadas,2014-03-01,242,242
VALLEGRANDE,chagas viviendas,       viviendas evaluadas,2014-03-01,239,239
VILLA RIVERO,chagas viviendas,       viviendas evaluadas,2014-03-01,139,139
VINTO,chagas viviendas,       viviendas evaluadas,2014-03-01,179,179
VITICHI,chagas viviendas,       viviendas evaluadas,2014-03-01,331,331
YUNCHARA,chagas viviendas,       viviendas evaluadas,2014-03-01,68,68
ZUDAÑEZ,chagas viviendas,       viviendas evaluadas,2014-03-01,104,104
ACACIO,chagas viviendas,       viviendas evaluadas,2014-04-01,350,350
AIQUILE,chagas viviendas,       viviendas evaluadas,2014-04-01,387,387
ALCALA,chagas viviendas,       viviendas evaluadas,2014-04-01,237,237
ANZALDO,chagas viviendas,       viviendas evaluadas,2014-04-01,21,21
ARAMPAMPA,chagas viviendas,       viviendas evaluadas,2014-04-01,209,209
ARANI,chagas viviendas,       viviendas evaluadas,2014-04-01,250,250
ARBIETO,chagas viviendas,       viviendas evaluadas,2014-04-01,264,264
ARQUE,chagas viviendas,       viviendas evaluadas,2014-04-01,112,112
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,       viviendas evaluadas,2014-04-01,206,206
BOYUIBE,chagas viviendas,       viviendas evaluadas,2014-04-01,26,26
"CAIZA ""D""",chagas viviendas,       viviendas evaluadas,2014-04-01,97,97
CAMARGO,chagas viviendas,       viviendas evaluadas,2014-04-01,430,430
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,       viviendas evaluadas,2014-04-01,512,512
CAPINOTA,chagas viviendas,       viviendas evaluadas,2014-04-01,142,142
CARAPARI,chagas viviendas,       viviendas evaluadas,2014-04-01,183,183
CHAQUI,chagas viviendas,       viviendas evaluadas,2014-04-01,588,588
CLIZA,chagas viviendas,       viviendas evaluadas,2014-04-01,312,312
COCHABAMBA,chagas viviendas,       viviendas evaluadas,2014-04-01,21,21
COLCAPIRHUA,chagas viviendas,       viviendas evaluadas,2014-04-01,235,235
COLQUECHACA,chagas viviendas,       viviendas evaluadas,2014-04-01,131,131
COMARAPA,chagas viviendas,       viviendas evaluadas,2014-04-01,67,67
COTAGAITA,chagas viviendas,       viviendas evaluadas,2014-04-01,1010,1010
CUATRO CAÑADAS,chagas viviendas,       viviendas evaluadas,2014-04-01,1,1
CULPINA,chagas viviendas,       viviendas evaluadas,2014-04-01,2,2
EL PUENTE(TJA),chagas viviendas,       viviendas evaluadas,2014-04-01,207,207
EL TORNO,chagas viviendas,       viviendas evaluadas,2014-04-01,55,55
ENTRE RIOS TRJ,chagas viviendas,       viviendas evaluadas,2014-04-01,263,263
HUACARETA,chagas viviendas,       viviendas evaluadas,2014-04-01,128,128
ICLA,chagas viviendas,       viviendas evaluadas,2014-04-01,316,316
MAIRANA,chagas viviendas,       viviendas evaluadas,2014-04-01,50,50
MECAPACA,chagas viviendas,       viviendas evaluadas,2014-04-01,826,826
MIZQUE,chagas viviendas,       viviendas evaluadas,2014-04-01,370,370
MONTERO,chagas viviendas,       viviendas evaluadas,2014-04-01,3,3
MORO MORO,chagas viviendas,       viviendas evaluadas,2014-04-01,448,448
OMEREQUE,chagas viviendas,       viviendas evaluadas,2014-04-01,91,91
PADCAYA,chagas viviendas,       viviendas evaluadas,2014-04-01,229,229
PADILLA,chagas viviendas,       viviendas evaluadas,2014-04-01,18,18
PALCA,chagas viviendas,       viviendas evaluadas,2014-04-01,461,461
POCONA,chagas viviendas,       viviendas evaluadas,2014-04-01,155,155
POJO (CBBA),chagas viviendas,       viviendas evaluadas,2014-04-01,63,63
POROMA,chagas viviendas,       viviendas evaluadas,2014-04-01,705,705
POSTRER VALLE,chagas viviendas,       viviendas evaluadas,2014-04-01,32,32
PUCARA,chagas viviendas,       viviendas evaluadas,2014-04-01,35,35
PUNATA,chagas viviendas,       viviendas evaluadas,2014-04-01,290,290
RAVELO,chagas viviendas,       viviendas evaluadas,2014-04-01,368,368
SACABA,chagas viviendas,       viviendas evaluadas,2014-04-01,462,462
SACABAMBA,chagas viviendas,       viviendas evaluadas,2014-04-01,120,120
SAIPINA,chagas viviendas,       viviendas evaluadas,2014-04-01,108,108
SAN BENITO,chagas viviendas,       viviendas evaluadas,2014-04-01,198,198
SAN LORENZO(TJA),chagas viviendas,       viviendas evaluadas,2014-04-01,287,287
SAN LUCAS,chagas viviendas,       viviendas evaluadas,2014-04-01,1254,1254
SAN PEDRO DE BUENA VISTA,chagas viviendas,       viviendas evaluadas,2014-04-01,658,658
SANTIVAÑES,chagas viviendas,       viviendas evaluadas,2014-04-01,166,166
SAPAHAQUI,chagas viviendas,       viviendas evaluadas,2014-04-01,137,137
SICAYA,chagas viviendas,       viviendas evaluadas,2014-04-01,200,200
SIPE SIPE,chagas viviendas,       viviendas evaluadas,2014-04-01,237,237
SOPACHUY,chagas viviendas,       viviendas evaluadas,2014-04-01,97,97
SUCRE,chagas viviendas,       viviendas evaluadas,2014-04-01,311,311
TACOPAYA,chagas viviendas,       viviendas evaluadas,2014-04-01,220,220
TAPACARI,chagas viviendas,       viviendas evaluadas,2014-04-01,116,116
TARABUCO,chagas viviendas,       viviendas evaluadas,2014-04-01,313,313
TARATA,chagas viviendas,       viviendas evaluadas,2014-04-01,102,102
TARIJA,chagas viviendas,       viviendas evaluadas,2014-04-01,354,354
TIQUIPAYA,chagas viviendas,       viviendas evaluadas,2014-04-01,267,267
TOCO,chagas viviendas,       viviendas evaluadas,2014-04-01,79,79
TOMAVE,chagas viviendas,       viviendas evaluadas,2014-04-01,188,188
TORO TORO,chagas viviendas,       viviendas evaluadas,2014-04-01,203,203
TOTORA(CBBA),chagas viviendas,       viviendas evaluadas,2014-04-01,214,214
TUPIZA,chagas viviendas,       viviendas evaluadas,2014-04-01,317,317
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas evaluadas,2014-04-01,240,240
VALLEGRANDE,chagas viviendas,       viviendas evaluadas,2014-04-01,369,369
VILLA CHARCAS,chagas viviendas,       viviendas evaluadas,2014-04-01,281,281
VILLA RIVERO,chagas viviendas,       viviendas evaluadas,2014-04-01,129,129
VILLA SERRANO,chagas viviendas,       viviendas evaluadas,2014-04-01,719,719
VILLAZON,chagas viviendas,       viviendas evaluadas,2014-04-01,153,153
VITICHI,chagas viviendas,       viviendas evaluadas,2014-04-01,250,250
YACUIBA,chagas viviendas,       viviendas evaluadas,2014-04-01,304,304
YUNCHARA,chagas viviendas,       viviendas evaluadas,2014-04-01,168,168
ZUDAÑEZ,chagas viviendas,       viviendas evaluadas,2014-04-01,298,298
ACACIO,chagas viviendas,       viviendas evaluadas,2014-05-01,249,249
AIQUILE,chagas viviendas,       viviendas evaluadas,2014-05-01,521,521
ALCALA,chagas viviendas,       viviendas evaluadas,2014-05-01,143,143
ANZALDO,chagas viviendas,       viviendas evaluadas,2014-05-01,181,181
ARAMPAMPA,chagas viviendas,       viviendas evaluadas,2014-05-01,195,195
ARANI,chagas viviendas,       viviendas evaluadas,2014-05-01,235,235
ARBIETO,chagas viviendas,       viviendas evaluadas,2014-05-01,283,283
ARQUE,chagas viviendas,       viviendas evaluadas,2014-05-01,108,108
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,       viviendas evaluadas,2014-05-01,241,241
CAPINOTA,chagas viviendas,       viviendas evaluadas,2014-05-01,134,134
CLIZA,chagas viviendas,       viviendas evaluadas,2014-05-01,321,321
COLCAPIRHUA,chagas viviendas,       viviendas evaluadas,2014-05-01,164,164
COLQUECHACA,chagas viviendas,       viviendas evaluadas,2014-05-01,153,153
COMARAPA,chagas viviendas,       viviendas evaluadas,2014-05-01,412,412
COTAGAITA,chagas viviendas,       viviendas evaluadas,2014-05-01,281,281
EL PUENTE(TJA),chagas viviendas,       viviendas evaluadas,2014-05-01,257,257
EL TORNO,chagas viviendas,       viviendas evaluadas,2014-05-01,27,27
ENTRE RIOS TRJ,chagas viviendas,       viviendas evaluadas,2014-05-01,374,374
HUACARETA,chagas viviendas,       viviendas evaluadas,2014-05-01,7,7
HUACAYA (VILLA DE HUACAYA),chagas viviendas,       viviendas evaluadas,2014-05-01,123,123
ICLA,chagas viviendas,       viviendas evaluadas,2014-05-01,284,284
INQUISIVI,chagas viviendas,       viviendas evaluadas,2014-05-01,148,148
LA GUARDIA,chagas viviendas,       viviendas evaluadas,2014-05-01,85,85
LAS CARRERAS,chagas viviendas,       viviendas evaluadas,2014-05-01,381,381
MAIRANA,chagas viviendas,       viviendas evaluadas,2014-05-01,85,85
MIZQUE,chagas viviendas,       viviendas evaluadas,2014-05-01,370,370
MOJOCOYA,chagas viviendas,       viviendas evaluadas,2014-05-01,83,83
MONTERO,chagas viviendas,       viviendas evaluadas,2014-05-01,1,1
OMEREQUE,chagas viviendas,       viviendas evaluadas,2014-05-01,43,43
PADCAYA,chagas viviendas,       viviendas evaluadas,2014-05-01,251,251
PADILLA,chagas viviendas,       viviendas evaluadas,2014-05-01,523,523
PALCA,chagas viviendas,       viviendas evaluadas,2014-05-01,690,690
POCONA,chagas viviendas,       viviendas evaluadas,2014-05-01,103,103
POJO (CBBA),chagas viviendas,       viviendas evaluadas,2014-05-01,169,169
POROMA,chagas viviendas,       viviendas evaluadas,2014-05-01,163,163
POSTRER VALLE,chagas viviendas,       viviendas evaluadas,2014-05-01,19,19
PRESTO,chagas viviendas,       viviendas evaluadas,2014-05-01,138,138
PUCARA,chagas viviendas,       viviendas evaluadas,2014-05-01,26,26
PUNA,chagas viviendas,       viviendas evaluadas,2014-05-01,82,82
PUNATA,chagas viviendas,       viviendas evaluadas,2014-05-01,264,264
RAVELO,chagas viviendas,       viviendas evaluadas,2014-05-01,479,479
SACABA,chagas viviendas,       viviendas evaluadas,2014-05-01,355,355
SACABAMBA,chagas viviendas,       viviendas evaluadas,2014-05-01,122,122
SAIPINA,chagas viviendas,       viviendas evaluadas,2014-05-01,143,143
SAN BENITO,chagas viviendas,       viviendas evaluadas,2014-05-01,183,183
SAN LORENZO(TJA),chagas viviendas,       viviendas evaluadas,2014-05-01,136,136
SAN LUCAS,chagas viviendas,       viviendas evaluadas,2014-05-01,578,578
SANTIVAÑES,chagas viviendas,       viviendas evaluadas,2014-05-01,136,136
SAPAHAQUI,chagas viviendas,       viviendas evaluadas,2014-05-01,1826,1826
SICAYA,chagas viviendas,       viviendas evaluadas,2014-05-01,194,194
SOPACHUY,chagas viviendas,       viviendas evaluadas,2014-05-01,87,87
SUCRE,chagas viviendas,       viviendas evaluadas,2014-05-01,1955,1955
TACOPAYA,chagas viviendas,       viviendas evaluadas,2014-05-01,218,218
TAPACARI,chagas viviendas,       viviendas evaluadas,2014-05-01,117,117
TARATA,chagas viviendas,       viviendas evaluadas,2014-05-01,382,382
TARIJA,chagas viviendas,       viviendas evaluadas,2014-05-01,192,192
TARVITA,chagas viviendas,       viviendas evaluadas,2014-05-01,394,394
TIQUIPAYA,chagas viviendas,       viviendas evaluadas,2014-05-01,275,275
TOCO,chagas viviendas,       viviendas evaluadas,2014-05-01,177,177
TOMAVE,chagas viviendas,       viviendas evaluadas,2014-05-01,129,129
TOMINA,chagas viviendas,       viviendas evaluadas,2014-05-01,190,190
TORO TORO,chagas viviendas,       viviendas evaluadas,2014-05-01,219,219
TOTORA(CBBA),chagas viviendas,       viviendas evaluadas,2014-05-01,207,207
TUPIZA,chagas viviendas,       viviendas evaluadas,2014-05-01,370,370
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas evaluadas,2014-05-01,268,268
VALLEGRANDE,chagas viviendas,       viviendas evaluadas,2014-05-01,204,204
VILLA CHARCAS,chagas viviendas,       viviendas evaluadas,2014-05-01,339,339
VILLA MONTES,chagas viviendas,       viviendas evaluadas,2014-05-01,678,678
VILLA RIVERO,chagas viviendas,       viviendas evaluadas,2014-05-01,164,164
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,       viviendas evaluadas,2014-05-01,135,135
VILLAZON,chagas viviendas,       viviendas evaluadas,2014-05-01,156,156
VINTO,chagas viviendas,       viviendas evaluadas,2014-05-01,266,266
VITICHI,chagas viviendas,       viviendas evaluadas,2014-05-01,529,529
YACUIBA,chagas viviendas,       viviendas evaluadas,2014-05-01,402,402
YAMPARAEZ,chagas viviendas,       viviendas evaluadas,2014-05-01,185,185
YOTALA,chagas viviendas,       viviendas evaluadas,2014-05-01,273,273
YUNCHARA,chagas viviendas,       viviendas evaluadas,2014-05-01,230,230
ZUDAÑEZ,chagas viviendas,       viviendas evaluadas,2014-05-01,438,438
ACACIO,chagas viviendas,       viviendas evaluadas,2014-06-01,410,410
ANZALDO,chagas viviendas,       viviendas evaluadas,2014-06-01,72,72
ARAMPAMPA,chagas viviendas,       viviendas evaluadas,2014-06-01,209,209
ARANI,chagas viviendas,       viviendas evaluadas,2014-06-01,254,254
ARBIETO,chagas viviendas,       viviendas evaluadas,2014-06-01,210,210
ARQUE,chagas viviendas,       viviendas evaluadas,2014-06-01,37,37
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,       viviendas evaluadas,2014-06-01,169,169
"CAIZA ""D""",chagas viviendas,       viviendas evaluadas,2014-06-01,210,210
CAMARGO,chagas viviendas,       viviendas evaluadas,2014-06-01,40,40
CAPINOTA,chagas viviendas,       viviendas evaluadas,2014-06-01,160,160
CLIZA,chagas viviendas,       viviendas evaluadas,2014-06-01,289,289
COLCAPIRHUA,chagas viviendas,       viviendas evaluadas,2014-06-01,232,232
COLQUECHACA,chagas viviendas,       viviendas evaluadas,2014-06-01,161,161
COMARAPA,chagas viviendas,       viviendas evaluadas,2014-06-01,348,348
COTAGAITA,chagas viviendas,       viviendas evaluadas,2014-06-01,723,723
EL PUENTE(TJA),chagas viviendas,       viviendas evaluadas,2014-06-01,278,278
EL TORNO,chagas viviendas,       viviendas evaluadas,2014-06-01,241,241
EL VILLAR,chagas viviendas,       viviendas evaluadas,2014-06-01,241,241
HUACARETA,chagas viviendas,       viviendas evaluadas,2014-06-01,229,229
HUACAYA (VILLA DE HUACAYA),chagas viviendas,       viviendas evaluadas,2014-06-01,107,107
ICLA,chagas viviendas,       viviendas evaluadas,2014-06-01,539,539
INCAHUASI,chagas viviendas,       viviendas evaluadas,2014-06-01,180,180
LURIBAY,chagas viviendas,       viviendas evaluadas,2014-06-01,46,46
MACHARETI,chagas viviendas,       viviendas evaluadas,2014-06-01,15,15
MAIRANA,chagas viviendas,       viviendas evaluadas,2014-06-01,116,116
MOJOCOYA,chagas viviendas,       viviendas evaluadas,2014-06-01,468,468
MONTEAGUDO,chagas viviendas,       viviendas evaluadas,2014-06-01,458,458
MONTERO,chagas viviendas,       viviendas evaluadas,2014-06-01,3,3
MORO MORO,chagas viviendas,       viviendas evaluadas,2014-06-01,158,158
MOROCHATA,chagas viviendas,       viviendas evaluadas,2014-06-01,78,78
OMEREQUE,chagas viviendas,       viviendas evaluadas,2014-06-01,41,41
PADCAYA,chagas viviendas,       viviendas evaluadas,2014-06-01,272,272
PADILLA,chagas viviendas,       viviendas evaluadas,2014-06-01,476,476
PAMPA GRANDE,chagas viviendas,       viviendas evaluadas,2014-06-01,24,24
PASORAPA,chagas viviendas,       viviendas evaluadas,2014-06-01,4,4
POCONA,chagas viviendas,       viviendas evaluadas,2014-06-01,175,175
POJO (CBBA),chagas viviendas,       viviendas evaluadas,2014-06-01,183,183
POROMA,chagas viviendas,       viviendas evaluadas,2014-06-01,427,427
POSTRER VALLE,chagas viviendas,       viviendas evaluadas,2014-06-01,18,18
PUCARA,chagas viviendas,       viviendas evaluadas,2014-06-01,210,210
PUNA,chagas viviendas,       viviendas evaluadas,2014-06-01,547,547
PUNATA,chagas viviendas,       viviendas evaluadas,2014-06-01,236,236
RAVELO,chagas viviendas,       viviendas evaluadas,2014-06-01,500,500
ROBORE,chagas viviendas,       viviendas evaluadas,2014-06-01,112,112
SACABA,chagas viviendas,       viviendas evaluadas,2014-06-01,176,176
SACABAMBA,chagas viviendas,       viviendas evaluadas,2014-06-01,180,180
SAIPINA,chagas viviendas,       viviendas evaluadas,2014-06-01,141,141
SAN BENITO,chagas viviendas,       viviendas evaluadas,2014-06-01,209,209
SAN JULIAN,chagas viviendas,       viviendas evaluadas,2014-06-01,5,5
SAN LORENZO(TJA),chagas viviendas,       viviendas evaluadas,2014-06-01,229,229
SAN PEDRO DE BUENA VISTA,chagas viviendas,       viviendas evaluadas,2014-06-01,494,494
SANTIVAÑES,chagas viviendas,       viviendas evaluadas,2014-06-01,82,82
SAPAHAQUI,chagas viviendas,       viviendas evaluadas,2014-06-01,153,153
