municipality,group,variable,month,Total 25.8 Viviendas Roceadas,TOTAL
TARATA,chagas viviendas,       viviendas roceadas,2014-07-01,3,3
TARIJA,chagas viviendas,       viviendas roceadas,2014-07-01,126,126
TOMAVE,chagas viviendas,       viviendas roceadas,2014-07-01,2,2
TORO TORO,chagas viviendas,       viviendas roceadas,2014-07-01,20,20
TOTORA(CBBA),chagas viviendas,       viviendas roceadas,2014-07-01,2,2
TRIGAL,chagas viviendas,       viviendas roceadas,2014-07-01,163,163
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas roceadas,2014-07-01,20,20
VILLA MONTES,chagas viviendas,       viviendas roceadas,2014-07-01,79,79
YACUIBA,chagas viviendas,       viviendas roceadas,2014-07-01,221,221
YOTALA,chagas viviendas,       viviendas roceadas,2014-07-01,29,29
YUNCHARA,chagas viviendas,       viviendas roceadas,2014-07-01,2,2
AIQUILE,chagas viviendas,       viviendas roceadas,2014-08-01,55,55
ANZALDO,chagas viviendas,       viviendas roceadas,2014-08-01,6,6
ARANI,chagas viviendas,       viviendas roceadas,2014-08-01,8,8
ARBIETO,chagas viviendas,       viviendas roceadas,2014-08-01,7,7
ARQUE,chagas viviendas,       viviendas roceadas,2014-08-01,8,8
CAMARGO,chagas viviendas,       viviendas roceadas,2014-08-01,76,76
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,       viviendas roceadas,2014-08-01,7,7
CAPINOTA,chagas viviendas,       viviendas roceadas,2014-08-01,22,22
CARAPARI,chagas viviendas,       viviendas roceadas,2014-08-01,114,114
COCHABAMBA,chagas viviendas,       viviendas roceadas,2014-08-01,15,15
COLCAPIRHUA,chagas viviendas,       viviendas roceadas,2014-08-01,6,6
COLQUECHACA,chagas viviendas,       viviendas roceadas,2014-08-01,2,2
COMARAPA,chagas viviendas,       viviendas roceadas,2014-08-01,386,386
COTAGAITA,chagas viviendas,       viviendas roceadas,2014-08-01,31,31
EL PUENTE(TJA),chagas viviendas,       viviendas roceadas,2014-08-01,15,15
EL VILLAR,chagas viviendas,       viviendas roceadas,2014-08-01,44,44
ENTRE RIOS TRJ,chagas viviendas,       viviendas roceadas,2014-08-01,146,146
HUACARETA,chagas viviendas,       viviendas roceadas,2014-08-01,48,48
ICLA,chagas viviendas,       viviendas roceadas,2014-08-01,2,2
LAS CARRERAS,chagas viviendas,       viviendas roceadas,2014-08-01,304,304
LURIBAY,chagas viviendas,       viviendas roceadas,2014-08-01,744,744
MAIRANA,chagas viviendas,       viviendas roceadas,2014-08-01,28,28
MOJOCOYA,chagas viviendas,       viviendas roceadas,2014-08-01,57,57
MONTEAGUDO,chagas viviendas,       viviendas roceadas,2014-08-01,30,30
MORO MORO,chagas viviendas,       viviendas roceadas,2014-08-01,125,125
OMEREQUE,chagas viviendas,       viviendas roceadas,2014-08-01,41,41
PADCAYA,chagas viviendas,       viviendas roceadas,2014-08-01,2,2
PADILLA,chagas viviendas,       viviendas roceadas,2014-08-01,494,494
PASORAPA,chagas viviendas,       viviendas roceadas,2014-08-01,3,3
POJO (CBBA),chagas viviendas,       viviendas roceadas,2014-08-01,11,11
POROMA,chagas viviendas,       viviendas roceadas,2014-08-01,5,5
POSTRER VALLE,chagas viviendas,       viviendas roceadas,2014-08-01,16,16
PRESTO,chagas viviendas,       viviendas roceadas,2014-08-01,56,56
PUCARA,chagas viviendas,       viviendas roceadas,2014-08-01,162,162
PUNA,chagas viviendas,       viviendas roceadas,2014-08-01,2,2
PUNATA,chagas viviendas,       viviendas roceadas,2014-08-01,12,12
QUILLACOLLO,chagas viviendas,       viviendas roceadas,2014-08-01,5,5
RAVELO,chagas viviendas,       viviendas roceadas,2014-08-01,71,71
ROBORE,chagas viviendas,       viviendas roceadas,2014-08-01,195,195
SACABA,chagas viviendas,       viviendas roceadas,2014-08-01,19,19
SAN ANTONIO DE LOMERIO,chagas viviendas,       viviendas roceadas,2014-08-01,11,11
SAN BENITO,chagas viviendas,       viviendas roceadas,2014-08-01,5,5
SAN JULIAN,chagas viviendas,       viviendas roceadas,2014-08-01,26,26
SAN LORENZO(TJA),chagas viviendas,       viviendas roceadas,2014-08-01,24,24
SAN LUCAS,chagas viviendas,       viviendas roceadas,2014-08-01,16,16
SANTIVAÑES,chagas viviendas,       viviendas roceadas,2014-08-01,12,12
SIPE SIPE,chagas viviendas,       viviendas roceadas,2014-08-01,17,17
SUCRE,chagas viviendas,       viviendas roceadas,2014-08-01,92,92
TAPACARI,chagas viviendas,       viviendas roceadas,2014-08-01,7,7
TARABUCO,chagas viviendas,       viviendas roceadas,2014-08-01,224,224
TARATA,chagas viviendas,       viviendas roceadas,2014-08-01,1,1
TARIJA,chagas viviendas,       viviendas roceadas,2014-08-01,438,438
TARVITA,chagas viviendas,       viviendas roceadas,2014-08-01,9,9
TIQUIPAYA,chagas viviendas,       viviendas roceadas,2014-08-01,9,9
TOCO,chagas viviendas,       viviendas roceadas,2014-08-01,1,1
TOLATA,chagas viviendas,       viviendas roceadas,2014-08-01,2,2
TOMAVE,chagas viviendas,       viviendas roceadas,2014-08-01,1,1
TOMINA,chagas viviendas,       viviendas roceadas,2014-08-01,52,52
TORO TORO,chagas viviendas,       viviendas roceadas,2014-08-01,35,35
TRIGAL,chagas viviendas,       viviendas roceadas,2014-08-01,86,86
TUPIZA,chagas viviendas,       viviendas roceadas,2014-08-01,8,8
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas roceadas,2014-08-01,2,2
VILLA CHARCAS,chagas viviendas,       viviendas roceadas,2014-08-01,9,9
VILLA MONTES,chagas viviendas,       viviendas roceadas,2014-08-01,36,36
VILLA RIVERO,chagas viviendas,       viviendas roceadas,2014-08-01,1,1
VILLA SERRANO,chagas viviendas,       viviendas roceadas,2014-08-01,33,33
VITICHI,chagas viviendas,       viviendas roceadas,2014-08-01,1,1
YACUIBA,chagas viviendas,       viviendas roceadas,2014-08-01,213,213
YOTALA,chagas viviendas,       viviendas roceadas,2014-08-01,51,51
YUNCHARA,chagas viviendas,       viviendas roceadas,2014-08-01,1,1
ZUDAÑEZ,chagas viviendas,       viviendas roceadas,2014-08-01,19,19
AIQUILE,chagas viviendas,       viviendas roceadas,2014-09-01,59,59
ANZALDO,chagas viviendas,       viviendas roceadas,2014-09-01,34,34
ARAMPAMPA,chagas viviendas,       viviendas roceadas,2014-09-01,11,11
ARANI,chagas viviendas,       viviendas roceadas,2014-09-01,3,3
ARBIETO,chagas viviendas,       viviendas roceadas,2014-09-01,9,9
ARQUE,chagas viviendas,       viviendas roceadas,2014-09-01,2,2
AZURDUY,chagas viviendas,       viviendas roceadas,2014-09-01,48,48
CABEZAS,chagas viviendas,       viviendas roceadas,2014-09-01,246,246
CAMIRI,chagas viviendas,       viviendas roceadas,2014-09-01,19,19
CAPINOTA,chagas viviendas,       viviendas roceadas,2014-09-01,32,32
CARAPARI,chagas viviendas,       viviendas roceadas,2014-09-01,128,128
CLIZA,chagas viviendas,       viviendas roceadas,2014-09-01,4,4
COCHABAMBA,chagas viviendas,       viviendas roceadas,2014-09-01,29,29
COLCAPIRHUA,chagas viviendas,       viviendas roceadas,2014-09-01,18,18
COLQUECHACA,chagas viviendas,       viviendas roceadas,2014-09-01,11,11
COMARAPA,chagas viviendas,       viviendas roceadas,2014-09-01,420,420
COTAGAITA,chagas viviendas,       viviendas roceadas,2014-09-01,35,35
CULPINA,chagas viviendas,       viviendas roceadas,2014-09-01,114,114
EL PUENTE(TJA),chagas viviendas,       viviendas roceadas,2014-09-01,18,18
EL TORNO,chagas viviendas,       viviendas roceadas,2014-09-01,36,36
EL VILLAR,chagas viviendas,       viviendas roceadas,2014-09-01,1,1
ENTRE RIOS TRJ,chagas viviendas,       viviendas roceadas,2014-09-01,144,144
HUACARETA,chagas viviendas,       viviendas roceadas,2014-09-01,1,1
ICLA,chagas viviendas,       viviendas roceadas,2014-09-01,1,1
LAS CARRERAS,chagas viviendas,       viviendas roceadas,2014-09-01,259,259
LURIBAY,chagas viviendas,       viviendas roceadas,2014-09-01,355,355
MACHARETI,chagas viviendas,       viviendas roceadas,2014-09-01,121,121
MIZQUE,chagas viviendas,       viviendas roceadas,2014-09-01,26,26
MONTEAGUDO,chagas viviendas,       viviendas roceadas,2014-09-01,49,49
MORO MORO,chagas viviendas,       viviendas roceadas,2014-09-01,152,152
OMEREQUE,chagas viviendas,       viviendas roceadas,2014-09-01,2,2
PADILLA,chagas viviendas,       viviendas roceadas,2014-09-01,173,173
POCOATA,chagas viviendas,       viviendas roceadas,2014-09-01,4,4
POCONA,chagas viviendas,       viviendas roceadas,2014-09-01,9,9
POJO (CBBA),chagas viviendas,       viviendas roceadas,2014-09-01,1,1
POROMA,chagas viviendas,       viviendas roceadas,2014-09-01,139,139
POSTRER VALLE,chagas viviendas,       viviendas roceadas,2014-09-01,10,10
PUCARA,chagas viviendas,       viviendas roceadas,2014-09-01,208,208
PUNATA,chagas viviendas,       viviendas roceadas,2014-09-01,14,14
QUILLACOLLO,chagas viviendas,       viviendas roceadas,2014-09-01,34,34
RAVELO,chagas viviendas,       viviendas roceadas,2014-09-01,96,96
SACABA,chagas viviendas,       viviendas roceadas,2014-09-01,9,9
SAIPINA,chagas viviendas,       viviendas roceadas,2014-09-01,7,7
SAN BENITO,chagas viviendas,       viviendas roceadas,2014-09-01,8,8
SAN JULIAN,chagas viviendas,       viviendas roceadas,2014-09-01,110,110
SAN LORENZO(TJA),chagas viviendas,       viviendas roceadas,2014-09-01,25,25
SAN PEDRO DE BUENA VISTA,chagas viviendas,       viviendas roceadas,2014-09-01,85,85
SANTIVAÑES,chagas viviendas,       viviendas roceadas,2014-09-01,40,40
SICAYA,chagas viviendas,       viviendas roceadas,2014-09-01,14,14
SIPE SIPE,chagas viviendas,       viviendas roceadas,2014-09-01,8,8
SOPACHUY,chagas viviendas,       viviendas roceadas,2014-09-01,8,8
SUCRE,chagas viviendas,       viviendas roceadas,2014-09-01,152,152
TACOBAMBA,chagas viviendas,       viviendas roceadas,2014-09-01,10,10
TAPACARI,chagas viviendas,       viviendas roceadas,2014-09-01,7,7
TARABUCO,chagas viviendas,       viviendas roceadas,2014-09-01,65,65
TARATA,chagas viviendas,       viviendas roceadas,2014-09-01,2,2
TARIJA,chagas viviendas,       viviendas roceadas,2014-09-01,1827,1827
TIQUIPAYA,chagas viviendas,       viviendas roceadas,2014-09-01,9,9
TOMAVE,chagas viviendas,       viviendas roceadas,2014-09-01,1,1
TOMINA,chagas viviendas,       viviendas roceadas,2014-09-01,28,28
TRIGAL,chagas viviendas,       viviendas roceadas,2014-09-01,129,129
TUPIZA,chagas viviendas,       viviendas roceadas,2014-09-01,7,7
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas roceadas,2014-09-01,29,29
VALLEGRANDE,chagas viviendas,       viviendas roceadas,2014-09-01,173,173
VILLA CHARCAS,chagas viviendas,       viviendas roceadas,2014-09-01,36,36
VILLA MONTES,chagas viviendas,       viviendas roceadas,2014-09-01,105,105
VILLA SERRANO,chagas viviendas,       viviendas roceadas,2014-09-01,27,27
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,       viviendas roceadas,2014-09-01,87,87
VILLAZON,chagas viviendas,       viviendas roceadas,2014-09-01,25,25
VITICHI,chagas viviendas,       viviendas roceadas,2014-09-01,10,10
YACUIBA,chagas viviendas,       viviendas roceadas,2014-09-01,149,149
YOTALA,chagas viviendas,       viviendas roceadas,2014-09-01,25,25
YUNCHARA,chagas viviendas,       viviendas roceadas,2014-09-01,1,1
ZUDAÑEZ,chagas viviendas,       viviendas roceadas,2014-09-01,4,4
ACACIO,chagas viviendas,       viviendas roceadas,2014-10-01,10,10
AIQUILE,chagas viviendas,       viviendas roceadas,2014-10-01,17,17
ANZALDO,chagas viviendas,       viviendas roceadas,2014-10-01,1,1
ARAMPAMPA,chagas viviendas,       viviendas roceadas,2014-10-01,15,15
ARANI,chagas viviendas,       viviendas roceadas,2014-10-01,8,8
ARBIETO,chagas viviendas,       viviendas roceadas,2014-10-01,10,10
ARQUE,chagas viviendas,       viviendas roceadas,2014-10-01,12,12
AZURDUY,chagas viviendas,       viviendas roceadas,2014-10-01,10,10
CABEZAS,chagas viviendas,       viviendas roceadas,2014-10-01,23,23
CAMARGO,chagas viviendas,       viviendas roceadas,2014-10-01,15,15
CAMIRI,chagas viviendas,       viviendas roceadas,2014-10-01,1,1
CAPINOTA,chagas viviendas,       viviendas roceadas,2014-10-01,14,14
CARAPARI,chagas viviendas,       viviendas roceadas,2014-10-01,136,136
CLIZA,chagas viviendas,       viviendas roceadas,2014-10-01,4,4
COCHABAMBA,chagas viviendas,       viviendas roceadas,2014-10-01,34,34
COLCAPIRHUA,chagas viviendas,       viviendas roceadas,2014-10-01,6,6
COLQUECHACA,chagas viviendas,       viviendas roceadas,2014-10-01,3,3
COMARAPA,chagas viviendas,       viviendas roceadas,2014-10-01,398,398
CUATRO CAÑADAS,chagas viviendas,       viviendas roceadas,2014-10-01,384,384
EL PUENTE(TJA),chagas viviendas,       viviendas roceadas,2014-10-01,4,4
HUACARETA,chagas viviendas,       viviendas roceadas,2014-10-01,43,43
ICLA,chagas viviendas,       viviendas roceadas,2014-10-01,23,23
LAS CARRERAS,chagas viviendas,       viviendas roceadas,2014-10-01,240,240
LURIBAY,chagas viviendas,       viviendas roceadas,2014-10-01,438,438
MAIRANA,chagas viviendas,       viviendas roceadas,2014-10-01,18,18
MORO MORO,chagas viviendas,       viviendas roceadas,2014-10-01,154,154
OMEREQUE,chagas viviendas,       viviendas roceadas,2014-10-01,116,116
PADCAYA,chagas viviendas,       viviendas roceadas,2014-10-01,3,3
PADILLA,chagas viviendas,       viviendas roceadas,2014-10-01,9,9
POCOATA,chagas viviendas,       viviendas roceadas,2014-10-01,17,17
POCONA,chagas viviendas,       viviendas roceadas,2014-10-01,3,3
POJO (CBBA),chagas viviendas,       viviendas roceadas,2014-10-01,17,17
POROMA,chagas viviendas,       viviendas roceadas,2014-10-01,508,508
PUNATA,chagas viviendas,       viviendas roceadas,2014-10-01,21,21
RAVELO,chagas viviendas,       viviendas roceadas,2014-10-01,120,120
SACABA,chagas viviendas,       viviendas roceadas,2014-10-01,7,7
SAIPINA,chagas viviendas,       viviendas roceadas,2014-10-01,10,10
SAN BENITO,chagas viviendas,       viviendas roceadas,2014-10-01,10,10
SAN LORENZO(TJA),chagas viviendas,       viviendas roceadas,2014-10-01,11,11
SANTIVAÑES,chagas viviendas,       viviendas roceadas,2014-10-01,9,9
SOPACHUY,chagas viviendas,       viviendas roceadas,2014-10-01,9,9
SUCRE,chagas viviendas,       viviendas roceadas,2014-10-01,90,90
TACOBAMBA,chagas viviendas,       viviendas roceadas,2014-10-01,15,15
TAPACARI,chagas viviendas,       viviendas roceadas,2014-10-01,2,2
TARABUCO,chagas viviendas,       viviendas roceadas,2014-10-01,30,30
TARATA,chagas viviendas,       viviendas roceadas,2014-10-01,2,2
TARVITA,chagas viviendas,       viviendas roceadas,2014-10-01,1,1
TOMINA,chagas viviendas,       viviendas roceadas,2014-10-01,154,154
TORO TORO,chagas viviendas,       viviendas roceadas,2014-10-01,13,13
TOTORA(CBBA),chagas viviendas,       viviendas roceadas,2014-10-01,2,2
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas roceadas,2014-10-01,15,15
VALLEGRANDE,chagas viviendas,       viviendas roceadas,2014-10-01,204,204
VILLA MONTES,chagas viviendas,       viviendas roceadas,2014-10-01,29,29
VILLA RIVERO,chagas viviendas,       viviendas roceadas,2014-10-01,3,3
VILLA SERRANO,chagas viviendas,       viviendas roceadas,2014-10-01,8,8
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,       viviendas roceadas,2014-10-01,125,125
VILLAZON,chagas viviendas,       viviendas roceadas,2014-10-01,5,5
YACUIBA,chagas viviendas,       viviendas roceadas,2014-10-01,145,145
YOTALA,chagas viviendas,       viviendas roceadas,2014-10-01,36,36
YUNCHARA,chagas viviendas,       viviendas roceadas,2014-10-01,9,9
ZUDAÑEZ,chagas viviendas,       viviendas roceadas,2014-10-01,35,35
AIQUILE,chagas viviendas,       viviendas roceadas,2014-11-01,28,28
ANZALDO,chagas viviendas,       viviendas roceadas,2014-11-01,17,17
ARANI,chagas viviendas,       viviendas roceadas,2014-11-01,7,7
ARBIETO,chagas viviendas,       viviendas roceadas,2014-11-01,14,14
ARQUE,chagas viviendas,       viviendas roceadas,2014-11-01,12,12
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,       viviendas roceadas,2014-11-01,6,6
CAIROMA,chagas viviendas,       viviendas roceadas,2014-11-01,1,1
CAMARGO,chagas viviendas,       viviendas roceadas,2014-11-01,14,14
CAPINOTA,chagas viviendas,       viviendas roceadas,2014-11-01,22,22
CARAPARI,chagas viviendas,       viviendas roceadas,2014-11-01,41,41
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,       viviendas roceadas,2014-11-01,618,618
CLIZA,chagas viviendas,       viviendas roceadas,2014-11-01,4,4
COCHABAMBA,chagas viviendas,       viviendas roceadas,2014-11-01,6,6
COLCAPIRHUA,chagas viviendas,       viviendas roceadas,2014-11-01,3,3
COLQUECHACA,chagas viviendas,       viviendas roceadas,2014-11-01,21,21
COMARAPA,chagas viviendas,       viviendas roceadas,2014-11-01,8,8
COTAGAITA,chagas viviendas,       viviendas roceadas,2014-11-01,9,9
CULPINA,chagas viviendas,       viviendas roceadas,2014-11-01,84,84
EL TORNO,chagas viviendas,       viviendas roceadas,2014-11-01,1,1
HUACARETA,chagas viviendas,       viviendas roceadas,2014-11-01,45,45
ICLA,chagas viviendas,       viviendas roceadas,2014-11-01,12,12
LAS CARRERAS,chagas viviendas,       viviendas roceadas,2014-11-01,10,10
LURIBAY,chagas viviendas,       viviendas roceadas,2014-11-01,10,10
MAIRANA,chagas viviendas,       viviendas roceadas,2014-11-01,8,8
MIZQUE,chagas viviendas,       viviendas roceadas,2014-11-01,75,75
MOJOCOYA,chagas viviendas,       viviendas roceadas,2014-11-01,26,26
OCURI,chagas viviendas,       viviendas roceadas,2014-11-01,62,62
OMEREQUE,chagas viviendas,       viviendas roceadas,2014-11-01,42,42
PADILLA,chagas viviendas,       viviendas roceadas,2014-11-01,13,13
PAILON,chagas viviendas,       viviendas roceadas,2014-11-01,15,15
PASORAPA,chagas viviendas,       viviendas roceadas,2014-11-01,1,1
POCOATA,chagas viviendas,       viviendas roceadas,2014-11-01,7,7
POCONA,chagas viviendas,       viviendas roceadas,2014-11-01,2,2
POJO (CBBA),chagas viviendas,       viviendas roceadas,2014-11-01,8,8
POROMA,chagas viviendas,       viviendas roceadas,2014-11-01,4,4
POSTRER VALLE,chagas viviendas,       viviendas roceadas,2014-11-01,32,32
PRESTO,chagas viviendas,       viviendas roceadas,2014-11-01,11,11
PUCARA,chagas viviendas,       viviendas roceadas,2014-11-01,150,150
PUNATA,chagas viviendas,       viviendas roceadas,2014-11-01,33,33
QUILLACOLLO,chagas viviendas,       viviendas roceadas,2014-11-01,33,33
SACABA,chagas viviendas,       viviendas roceadas,2014-11-01,11,11
SAIPINA,chagas viviendas,       viviendas roceadas,2014-11-01,2,2
SAN BENITO,chagas viviendas,       viviendas roceadas,2014-11-01,9,9
SAN JULIAN,chagas viviendas,       viviendas roceadas,2014-11-01,8,8
SAN LORENZO(TJA),chagas viviendas,       viviendas roceadas,2014-11-01,5,5
SAN LUCAS,chagas viviendas,       viviendas roceadas,2014-11-01,41,41
SAN PEDRO DE BUENA VISTA,chagas viviendas,       viviendas roceadas,2014-11-01,155,155
SANTIVAÑES,chagas viviendas,       viviendas roceadas,2014-11-01,6,6
SICAYA,chagas viviendas,       viviendas roceadas,2014-11-01,33,33
SIPE SIPE,chagas viviendas,       viviendas roceadas,2014-11-01,7,7
SOPACHUY,chagas viviendas,       viviendas roceadas,2014-11-01,13,13
SUCRE,chagas viviendas,       viviendas roceadas,2014-11-01,166,166
TAPACARI,chagas viviendas,       viviendas roceadas,2014-11-01,12,12
TARABUCO,chagas viviendas,       viviendas roceadas,2014-11-01,42,42
TARATA,chagas viviendas,       viviendas roceadas,2014-11-01,3,3
TIQUIPAYA,chagas viviendas,       viviendas roceadas,2014-11-01,14,14
TOLATA,chagas viviendas,       viviendas roceadas,2014-11-01,1,1
TOMINA,chagas viviendas,       viviendas roceadas,2014-11-01,8,8
TORO TORO,chagas viviendas,       viviendas roceadas,2014-11-01,66,66
TRIGAL,chagas viviendas,       viviendas roceadas,2014-11-01,139,139
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas roceadas,2014-11-01,38,38
VILLA CHARCAS,chagas viviendas,       viviendas roceadas,2014-11-01,7,7
VILLA MONTES,chagas viviendas,       viviendas roceadas,2014-11-01,52,52
VILLA RIVERO,chagas viviendas,       viviendas roceadas,2014-11-01,2,2
VILLA SERRANO,chagas viviendas,       viviendas roceadas,2014-11-01,6,6
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,       viviendas roceadas,2014-11-01,124,124
YACUIBA,chagas viviendas,       viviendas roceadas,2014-11-01,263,263
YAMPARAEZ,chagas viviendas,       viviendas roceadas,2014-11-01,193,193
YOTALA,chagas viviendas,       viviendas roceadas,2014-11-01,40,40
YUNCHARA,chagas viviendas,       viviendas roceadas,2014-11-01,6,6
ZUDAÑEZ,chagas viviendas,       viviendas roceadas,2014-11-01,52,52
AIQUILE,chagas viviendas,       viviendas roceadas,2014-12-01,38,38
ANZALDO,chagas viviendas,       viviendas roceadas,2014-12-01,8,8
ARAMPAMPA,chagas viviendas,       viviendas roceadas,2014-12-01,4,4
ARANI,chagas viviendas,       viviendas roceadas,2014-12-01,2,2
ARBIETO,chagas viviendas,       viviendas roceadas,2014-12-01,8,8
BETANZOS,chagas viviendas,       viviendas roceadas,2014-12-01,80,80
CAPINOTA,chagas viviendas,       viviendas roceadas,2014-12-01,15,15
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,       viviendas roceadas,2014-12-01,562,562
CLIZA,chagas viviendas,       viviendas roceadas,2014-12-01,1,1
COLCAPIRHUA,chagas viviendas,       viviendas roceadas,2014-12-01,3,3
COLQUECHACA,chagas viviendas,       viviendas roceadas,2014-12-01,5,5
COMARAPA,chagas viviendas,       viviendas roceadas,2014-12-01,23,23
EL PUENTE(TJA),chagas viviendas,       viviendas roceadas,2014-12-01,4,4
EL TORNO,chagas viviendas,       viviendas roceadas,2014-12-01,32,32
EL VILLAR,chagas viviendas,       viviendas roceadas,2014-12-01,2,2
ENTRE RIOS TRJ,chagas viviendas,       viviendas roceadas,2014-12-01,175,175
HUACARETA,chagas viviendas,       viviendas roceadas,2014-12-01,66,66
ICLA,chagas viviendas,       viviendas roceadas,2014-12-01,4,4
MIZQUE,chagas viviendas,       viviendas roceadas,2014-12-01,8,8
MORO MORO,chagas viviendas,       viviendas roceadas,2014-12-01,337,337
PADCAYA,chagas viviendas,       viviendas roceadas,2014-12-01,4,4
PASORAPA,chagas viviendas,       viviendas roceadas,2014-12-01,23,23
PUCARA,chagas viviendas,       viviendas roceadas,2014-12-01,105,105
PUNATA,chagas viviendas,       viviendas roceadas,2014-12-01,17,17
RAVELO,chagas viviendas,       viviendas roceadas,2014-12-01,30,30
SACABA,chagas viviendas,       viviendas roceadas,2014-12-01,14,14
SAN BENITO,chagas viviendas,       viviendas roceadas,2014-12-01,6,6
SAN LORENZO(TJA),chagas viviendas,       viviendas roceadas,2014-12-01,4,4
SAN LUCAS,chagas viviendas,       viviendas roceadas,2014-12-01,47,47
SAN PEDRO DE BUENA VISTA,chagas viviendas,       viviendas roceadas,2014-12-01,101,101
SANTIVAÑES,chagas viviendas,       viviendas roceadas,2014-12-01,10,10
SOPACHUY,chagas viviendas,       viviendas roceadas,2014-12-01,39,39
SUCRE,chagas viviendas,       viviendas roceadas,2014-12-01,205,205
TARATA,chagas viviendas,       viviendas roceadas,2014-12-01,1,1
TEOPONTE,chagas viviendas,       viviendas roceadas,2014-12-01,131,131
TIQUIPAYA,chagas viviendas,       viviendas roceadas,2014-12-01,5,5
TOCO,chagas viviendas,       viviendas roceadas,2014-12-01,84,84
TOMAVE,chagas viviendas,       viviendas roceadas,2014-12-01,4,4
TOMINA,chagas viviendas,       viviendas roceadas,2014-12-01,20,20
TORO TORO,chagas viviendas,       viviendas roceadas,2014-12-01,29,29
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas roceadas,2014-12-01,32,32
VILLA CHARCAS,chagas viviendas,       viviendas roceadas,2014-12-01,24,24
VILLA MONTES,chagas viviendas,       viviendas roceadas,2014-12-01,20,20
VILLA RIVERO,chagas viviendas,       viviendas roceadas,2014-12-01,4,4
VILLA SERRANO,chagas viviendas,       viviendas roceadas,2014-12-01,14,14
YAMPARAEZ,chagas viviendas,       viviendas roceadas,2014-12-01,11,11
YOTALA,chagas viviendas,       viviendas roceadas,2014-12-01,27,27
ZUDAÑEZ,chagas viviendas,       viviendas roceadas,2014-12-01,3,3
