municipality,group,variable,month,Mujeres puérperas con dosis única de vitamina A,TOTAL
SAN JUAN DE YAPACANI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,4,4
SAN JULIAN,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,51,51
SAN LORENZO(PND),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,4,4
SAN LORENZO(TJA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,6,6
SAN LUCAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,35,35
SAN MATIAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,20,20
SAN MIGUEL DE VELASCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,15,15
SAN PEDRO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,5,5
SAN PEDRO DE BUENA VISTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,41,41
SAN PEDRO DE CURAHUARA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,10,10
SAN PEDRO DE QUEMES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1,1
SAN PEDRO DE TIQUINA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,6,6
SAN RAFAEL,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,3,3
SAN RAMON BENI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,6,6
SAN RAMON SCZ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,18,18
SANTA ANA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,22,22
SANTA CRUZ DE LA SIERRA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1060,1060
SANTA ROSA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,15,15
SANTA ROSA DEL SARA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,13,13
SANTIAGO DE CALLAPA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1,1
SANTIAGO DE HUARI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,4,4
SANTIAGO DE HUATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,5,5
SANTIVAÑES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,3,3
SANTUARIO DE QUILLACAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1,1
SAPAHAQUI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,6,6
SENA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,12,12
SHINAOTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,26,26
SICA SICA (VILLA AROMA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,16,16
SICAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,2,2
SIPE SIPE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,34,34
SOPACHUY,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,8,8
SORACACHI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,4,4
SORATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,14,14
SUCRE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,474,474
TACACHI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1,1
TACACOMA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,6,6
TACOBAMBA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,12,12
TACOPAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,7,7
TAPACARI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,24,24
TARABUCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,24,24
TARACO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,2,2
TARATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,12,12
TARIJA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,288,288
TARVITA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,15,15
TEOPONTE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,17,17
TIAHUANACU,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,9,9
TINGUIPAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,15,15
TIPUANI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,3,3
TIQUIPAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,101,101
TIRAQUE (CBBA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,18,18
TOCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,5,5
TOLATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,5,5
TOLEDO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,2,2
TOMAVE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,9,9
TOMINA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,15,15
TORO TORO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,21,21
TOTORA(CBBA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,18,18
TOTORA(ORR),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,4,4
TRINIDAD,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,253,253
TUPIZA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,59,59
TURCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1,1
UMALA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,10,10
UNCIA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,18,18
URIONDO (A. CONCEPCION),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,3,3
