,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
ARBIETO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,1,1,0,1,1,2
ARQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,4,2,20,7,24,9,33
ATOCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,1,3,1,3,4
AYATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,4,0,2,0,6,6
AYO AYO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,2,2,1,0,3,2,5
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,2,19,16,19,18,37
AZURDUY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,4,3,21,25,25,28,53
BATALLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,4,7,0,3,4,10,14
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,4,6,4,6,10
BELEN DE URMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,4,4,4,4,8
BELLA FLOR,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,1,1,1,1,2
BERMEJO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,1,0,1,0,1
BETANZOS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,6,6,51,37,57,43,100
BOLIVAR,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,3,1,8,3,11,4,15
BOYUIBE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,3,1,2,5,5,6,11
BUENA VISTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,1,1,1,1,2
CABEZAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,6,10,7,8,13,18,31
CAIROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,2,1,2,5,4,6,10
"CAIZA ""D""",control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,1,3,6,3,7,10
CAJUATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,1,1,1,1,2
CALACOTO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,2,4,16,7,18,11,29
CALAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,1,9,4,9,5,14
CAMARGO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,1,9,8,10,9,19
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,2,5,5,5,7,12
CAMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,3,4,3,4,7
CAPINOTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,1,1,1,1,2
CAQUIAVIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,4,1,3,2,7,9
CARACOLLO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,4,4,4,5,8,13
CARANAVI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,3,7,3,4,6,11,17
CARAPARI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,0,1,0,1,1
CARIPUYO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,2,2,4,5,6,7,13
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,1,0,1,0,2,2
CATACORA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,4,0,4,0,4
CHALLAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,3,3,58,39,61,42,103
CHAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,3,7,9,8,12,20
CHARAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,12,14,12,14,26
CHARAÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,2,1,2,1,3
CHAYANTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,14,14,14,14,28
CHIMORE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,2,26,12,11,14,37,51
CHIPAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,2,0,0,0,2,2
CHOQUE COTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,2,2,2,2,4
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,0,1,0,1,1
CHUMA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,3,2,21,21,24,23,47
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,6,6,6,6,12
CKOCHAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,4,9,33,29,37,38,75
CLIZA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,18,12,18,12,30
COBIJA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,0,4,3,5,3,8
COCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,3,36,39,36,42,78
COCHABAMBA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,2,2,9,13,11,15,26
COLCAPIRHUA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,0,21,24,22,24,46
"COLCHA ""K""",control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,4,2,16,10,20,12,32
COLQUECHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,8,8,38,34,46,42,88
COLQUENCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,1,0,0,1,1,2
COLQUIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,3,6,16,16,19,22,41
COMANCHE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,1,0,0,1,1,2
COMARAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,1,2,1,2,3
COMBAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,2,4,2,4,6
CONCEPCION,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,2,35,29,35,31,66
COPACABANA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,2,0,5,6,7,6,13
CORIPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,0,0,0,1,0,1
CORO CORO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,3,1,9,11,12,12,24
COROICO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,2,2,4,3,6,5,11
CORQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,0,0,2,1,2,3
COTAGAITA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,2,1,12,8,14,9,23
COTOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,13,6,13,6,19
CUATRO CAÑADAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,2,0,1,0,3,0,3
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,2,6,2,6,8
CUEVO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,4,0,0,1,4,5
CULPINA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,3,3,20,17,23,20,43
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,1,0,1,0,1
CURVA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,2,0,4,5,6,5,11
DESAGUADERO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,0,1,0,2,0,2
EL ALTO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,67,81,1008,1010,1075,1091,2166
EL CHORO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,1,0,0,0,1,1
EL PUENTE(TJA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,1,2,4,3,5,8
EL VILLAR,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,8,5,8,5,13
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,0,7,7,8,7,15
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,2,3,5,4,7,11
ESCOMA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,1,1,1,1,2
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,0,4,1,5,1,6
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,3,0,4,13,7,13,20
FILADELFIA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,2,0,17,13,19,13,32
GAIOC JATUN AYLLU YURA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,3,7,8,8,11,19
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,8,5,12,10,20,15,35
GUANAY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,2,6,5,7,7,14
GUAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,0,4,0,5,0,5
GUAYARAMERIN,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,1,1,0,1,1,2
GUTIERREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,1,3,1,3,4
HUACARETA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,2,14,2,14,16
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,0,5,4,6,4,10
HUANUNI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,18,19,18,19,37
HUARINA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,1,0,1,0,2,2
HUMANATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,3,2,3,8,6,10,16
ICHOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,4,5,6,12,10,17,27
ICLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,1,9,17,9,18,27
INCAHUASI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,5,5,39,40,44,45,89
INQUISIVI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,6,7,21,21,27,28,55
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,5,10,7,6,12,16,28
IXIAMAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,1,0,0,1,1,2
JESUS DE MACHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,3,1,4,2,7,3,10
LA ASUNTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,3,12,11,12,14,26
LA GUARDIA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,0,6,3,7,3,10
LA PAZ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,2,0,46,34,48,34,82
LAGUNILLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,6,10,6,10,16
LAJA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,2,0,0,1,2,1,3
LAS CARRERAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,0,1,0,1,1
LLALLAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,44,49,131,153,175,202,377
LLICA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,2,1,4,1,6,7
LORETO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,0,0,1,1,1,2
LURIBAY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,2,1,7,6,9,7,16
MACHACAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,1,1,1,1,2
MACHARETI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,1,3,1,3,4
MAGDALENA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,2,0,1,0,3,0,3
MAIRANA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,5,3,5,3,8
MALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,4,11,14,12,18,30
MAPIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,11,9,11,9,20
MECAPACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,2,3,7,4,9,13
MINEROS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,2,0,2,0,2
MIZQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,4,16,12,16,16,32
MOCOMOCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,6,2,26,24,32,26,58
MOJINETE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,2,0,2,0,2
MOJOCOYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,1,10,7,11,8,19
MONTEAGUDO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,4,4,4,4,8
MONTERO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,2,0,2,0,2
MORO MORO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,3,1,3,1,4
MOROCHATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,2,2,8,6,10,8,18
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,1,1,3,1,4,5
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,1,0,0,0,1,1
OCURI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,4,2,35,27,39,29,68
OKINAWA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,1,0,1,0,1
OMEREQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,1,5,4,5,5,10
ORURO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,7,40,36,40,43,83
PADCAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,2,1,2,1,3
PADILLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,2,7,7,7,9,16
PAILON,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,4,2,5,4,9,6,15
PALCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,4,6,14,7,18,13,31
PALOS BLANCOS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,1,2,3,2,4,6
PAMPA GRANDE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,2,1,2,2,4,6
PAPEL PAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,1,5,4,6,5,11
PASORAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,2,1,2,1,3
PATACAMAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,2,1,1,1,3,4
PAZÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,0,0,2,1,2,3
PELECHUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,0,5,4,6,4,10
POCOATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,6,9,62,61,68,70,138
POCONA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,1,2,6,2,7,9
POJO (CBBA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,1,1,1,1,2
POOPO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,4,1,4,1,5
PORCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,2,0,5,9,7,9,16
POROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,4,8,35,38,39,46,85
PORONGO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,1,1,2,1,3,4
PORVENIR,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,4,1,4,1,5
POSTRER VALLE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,3,0,3,0,3
POTOSI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,7,6,59,69,66,75,141
PRESTO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,2,19,11,20,13,33
PUCARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,5,9,12,10,17,19,36
PUERTO ACOSTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,2,4,2,5,4,9
PUERTO CARABUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,2,6,13,13,15,19,34
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,1,1,4,1,5,6
PUERTO PEREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,3,3,3,4,6,7,13
PUERTO VILLARROEL,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,0,8,4,9,4,13
PUNA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,3,3,36,41,39,44,83
PUNATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,3,2,57,66,60,68,128
QUIABAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,1,2,4,2,5,7
QUILLACOLLO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,10,15,273,228,283,243,526
QUIME,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,1,2,1,2,3
QUIRUSILLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,1,1,1,1,2
RAQAYPAMPA(ETA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,1,2,1,2,3
RAVELO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,2,2,32,58,34,60,94
REYES,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,3,3,0,0,3,3,6
RIBERALTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,4,10,17,10,21,31
RURRENABAQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,3,0,3,0,3
SACABA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,7,12,142,109,149,121,270
SACABAMBA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,1,1,1,1,2
SACACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,8,10,46,43,54,53,107
SAIPINA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,0,1,0,1,1
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,2,11,7,11,9,20
SAMAIPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,0,1,0,1,1
SAN ANDRES DE MACHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,1,4,3,5,4,9
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,1,0,1,0,2,2
SAN ANTONIO DE LOMERIO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,2,0,3,6,5,6,11
SAN BENITO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,2,0,2,0,4,4
SAN BORJA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,32,27,14,18,46,45,91
SAN IGNACIO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,5,0,0,1,5,6
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,6,8,23,22,29,30,59
SAN JAVIER(STC),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,2,7,2,7,9
SAN JOAQUIN,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,2,1,1,1,3,2,5
SAN JOSE DE CHIQUITOS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,4,1,4,1,8,2,10
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,0,3,0,3,3
SAN JULIAN,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,0,6,6,7,6,13
SAN LORENZO(PND),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,6,8,6,8,14
