,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
ARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,6,7,60,51,66,58,124
ARBIETO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,11,15,192,171,203,186,389
ARQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,2,2,52,43,54,45,99
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,33,33,261,221,294,254,548
ATOCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,6,10,46,46,52,56,108
AUCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,3,2,25,24,28,26,54
AYATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,3,3,25,27,28,30,58
AYO AYO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,3,3,36,28,39,31,70
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,20,15,95,93,115,108,223
AZURDUY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,20,12,27,29,47,41,88
BATALLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,9,10,75,118,84,128,212
BAURES,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,10,9,2,17,12,26,38
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,0,2,2,2,2,4
BELEN DE URMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,0,1,1,1,1,2
BELLA FLOR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,6,1,11,16,17,17,34
BERMEJO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,67,80,97,105,164,185,349
BETANZOS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,11,10,123,127,134,137,271
BOLIVAR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,3,7,20,22,23,29,52
BOLPEBRA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,1,4,5,4,6,8,14
BOYUIBE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,2,3,19,31,21,34,55
BUENA VISTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,5,9,72,76,77,85,162
CABEZAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,13,12,108,139,121,151,272
CAIROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,6,2,47,50,53,52,105
"CAIZA ""D""",control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,3,2,58,58,61,60,121
CAJUATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,6,5,96,70,102,75,177
CALACOTO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,0,9,6,9,6,15
CALAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,8,4,80,64,88,68,156
CAMARGO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,9,12,60,44,69,56,125
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,1,17,10,17,11,28
CAMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,36,31,122,125,158,156,314
CAPINOTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,34,33,146,159,180,192,372
CAQUIAVIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,5,43,45,43,50,93
CARACOLLO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,10,11,115,89,125,100,225
CARANAVI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,26,27,238,226,264,253,517
CARAPARI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,10,8,73,70,83,78,161
CARIPUYO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,1,2,36,26,37,28,65
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,6,8,32,43,38,51,89
CATACORA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,0,4,3,4,3,7
CHACARILLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,3,0,12,5,15,5,20
CHALLAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,11,9,140,155,151,164,315
CHAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,1,6,34,38,35,44,79
CHARAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,22,20,89,117,111,137,248
CHARAÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,1,4,6,4,7,11
CHAYANTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,2,12,47,50,49,62,111
CHIMORE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,157,128,106,85,263,213,476
CHIPAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,0,4,9,4,9,13
CHOQUE COTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,1,0,10,3,11,3,14
CHUA COCANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,1,0,9,8,10,8,18
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,44,35,58,46,102,81,183
CHUMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,1,0,26,27,27,27,54
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,4,39,36,39,40,79
CKOCHAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,3,5,37,33,40,38,78
CLIZA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,42,42,67,70,109,112,221
COBIJA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,88,69,325,300,413,369,782
COCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,10,10,51,38,61,48,109
COCHABAMBA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,1085,950,2417,2189,3502,3139,6641
COIPASA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,2,3,2,3,4,7
COLCAPIRHUA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,41,39,165,155,206,194,400
"COLCHA ""K""",control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,3,4,55,47,58,51,109
COLLANA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,3,0,10,7,13,7,20
COLOMI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,29,31,146,140,175,171,346
COLPA BELGICA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,3,1,21,17,24,18,42
COLQUECHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,10,10,90,73,100,83,183
COLQUENCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,2,7,53,63,55,70,125
COLQUIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,13,11,72,59,85,70,155
COMANCHE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,1,10,11,10,12,22
COMARAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,3,5,87,103,90,108,198
COMBAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,0,8,1,8,1,9
CONCEPCION,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,18,11,205,129,223,140,363
COPACABANA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,2,4,47,28,49,32,81
CORIPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,18,15,162,134,180,149,329
CORO CORO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,1,30,32,30,33,63
COROICO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,12,20,62,69,74,89,163
CORQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,2,0,27,23,29,23,52
COTAGAITA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,10,9,118,121,128,130,258
COTOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,96,94,493,462,589,556,1145
CRUZ DE MACHACAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,0,0,1,0,1,1
CUATRO CAÑADAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,16,21,127,145,143,166,309
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,1,3,13,11,14,14,28
CUEVO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,11,6,14,18,25,24,49
CULPINA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,11,17,73,81,84,98,182
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,1,2,17,8,18,10,28
CURVA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,0,12,6,12,6,18
DESAGUADERO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,3,0,29,22,32,22,54
EL ALTO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,1244,1157,3329,3145,4573,4302,8875
EL CHORO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,3,14,13,14,16,30
EL PUENTE(STC),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,10,4,72,50,82,54,136
EL PUENTE(TJA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,3,5,37,40,40,45,85
EL TORNO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,35,36,375,340,410,376,786
EL VILLAR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,1,0,11,18,12,18,30
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,9,12,100,109,109,121,230
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,89,69,333,297,422,366,788
ESCARA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,1,0,1,0,2,0,2
ESCOMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,3,8,33,19,36,27,63
ESMERALDA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,0,0,2,0,2,2
EUCALIPTUS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,1,28,21,28,22,50
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,1,0,4,4,5,4,9
EXALTACION,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,11,4,10,4,21,25
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,12,8,67,55,79,63,142
FILADELFIA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,4,5,34,31,38,36,74
GAIOC JATUN AYLLU YURA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,3,1,18,12,21,13,34
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,11,12,121,104,132,116,248
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,7,10,42,34,49,44,93
GUANAY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,9,14,92,95,101,109,210
GUAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,1,34,21,34,22,56
GUAYARAMERIN,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,91,98,167,143,258,241,499
GUTIERREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,18,19,74,81,92,100,192
HUACARAJE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,10,8,18,21,28,29,57
HUACARETA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,6,1,38,27,44,28,72
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,1,4,7,4,8,12
HUACHACALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,0,6,3,6,3,9
HUANUNI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,7,10,63,70,70,80,150
HUARINA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,3,3,30,29,33,32,65
HUATAJATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,0,6,8,6,8,14
HUAYLLAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,1,5,20,16,21,21,42
HUMANATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,1,1,5,7,6,8,14
ICHOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,7,12,0,0,7,12,19
ICLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,2,10,15,10,17,27
INCAHUASI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,7,2,59,32,66,34,100
INGAVI (HUMAITA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,3,11,13,11,16,27
INQUISIVI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,4,7,48,42,52,49,101
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,10,8,57,57,67,65,132
IXIAMAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,9,11,61,59,70,70,140
JESUS DE MACHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,2,5,58,69,60,74,134
LA ASUNTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,59,38,250,247,309,285,594
LA GUARDIA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,136,140,554,465,690,605,1295
LA PAZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,1601,1392,2068,1963,3669,3355,7024
LA RIVERA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,0,1,3,1,3,4
LAGUNILLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,2,4,42,22,44,26,70
LAJA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,10,9,100,97,110,106,216
LAS CARRERAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,4,11,13,11,17,28
LICOMA PAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,4,3,8,9,12,12,24
LLALLAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,10,8,138,140,148,148,296
LLICA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,1,4,9,13,10,17,27
LORETO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,1,1,11,11,12,12,24
LURIBAY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,4,6,27,36,31,42,73
MACHACAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,2,1,10,14,12,15,27
MACHARETI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,1,1,26,29,27,30,57
MAGDALENA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,15,14,93,95,108,109,217
MAIRANA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,15,16,89,93,104,109,213
MALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,0,1,1,1,1,2
MAPIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,35,32,140,125,175,157,332
MECAPACA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,12,6,70,62,82,68,150
MINEROS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,11,7,142,127,153,134,287
MIZQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,37,41,88,104,125,145,270
MOCOMOCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,3,4,36,34,39,38,77
MOJINETE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,1,1,2,4,3,5,8
MOJOCOYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,2,4,23,17,25,21,46
MONTEAGUDO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,29,15,121,113,150,128,278
MONTERO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,127,118,744,740,871,858,1729
MORO MORO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,1,1,9,8,10,9,19
MOROCHATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,17,10,36,31,53,41,94
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,0,17,11,17,11,28
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,1,4,2,4,3,7
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,1,9,6,9,7,16
OCURI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,4,2,27,33,31,35,66
OKINAWA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,6,3,56,62,62,65,127
OMEREQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,3,2,45,42,48,44,92
ORURO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,476,473,1731,1689,2207,2162,4369
PADCAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,9,8,79,74,88,82,170
PADILLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,10,10,50,41,60,51,111
PAILON,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,30,30,145,122,175,152,327
PALCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,32,30,130,106,162,136,298
PALOS BLANCOS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,88,84,138,104,226,188,414
PAMPA AULLAGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,2,16,17,16,19,35
PAMPA GRANDE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,9,8,50,53,59,61,120
PAPEL PAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,1,3,9,11,10,14,24
PASORAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,3,2,6,6,9,8,17
PATACAMAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,10,8,109,103,119,111,230
PAZÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,2,2,19,17,21,19,40
PELECHUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,8,6,36,28,44,34,78
POCOATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,7,7,60,64,67,71,138
POCONA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,9,11,49,50,58,61,119
POJO (CBBA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,17,24,64,59,81,83,164
POOPO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,6,6,29,21,35,27,62
PORCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,11,10,91,86,102,96,198
POROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,5,11,34,35,39,46,85
PORONGO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,12,6,62,60,74,66,140
PORTACHUELO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,17,13,121,81,138,94,232
PORVENIR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,2,5,30,36,32,41,73
POSTRER VALLE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,0,9,10,9,10,19
POTOSI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,266,258,1203,1138,1469,1396,2865
PRESTO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,2,2,27,17,29,19,48
PUCARA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,2,1,5,5,7,6,13
PUCARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,11,7,165,165,176,172,348
PUERTO ACOSTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,3,0,28,18,31,18,49
PUERTO CARABUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,1,42,34,42,35,77
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,5,6,27,32,32,38,70
PUERTO PEREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,1,19,16,19,17,36
PUERTO QUIJARRO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,10,12,67,77,77,89,166
