,group,variable,month,CONTROL DEL NIÑO(A) DE 1 AÑO A MENOR DE 2 AÑOS DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) DE 1 AÑO A MENOR DE 2 AÑOS DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) DE 1 AÑO A MENOR DE 2 AÑOS DENTRO DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) DE 1 AÑO A MENOR DE 2 AÑOS DENTRO DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
APOLO,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,19,13,78,47,97,60,157
ARAMPAMPA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,2,7,1,7,3,10
ARANI,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,5,6,45,48,50,54,104
ARBIETO,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,13,7,167,163,180,170,350
ARQUE,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,2,5,59,57,61,62,123
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,24,27,127,123,151,150,301
ATOCHA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,3,6,46,44,49,50,99
AUCAPATA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,1,5,25,18,26,23,49
AYATA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,3,1,35,24,38,25,63
AYO AYO,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,0,42,36,42,36,78
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,4,15,99,119,103,134,237
AZURDUY,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,8,2,34,30,42,32,74
BATALLAS,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,12,6,70,68,82,74,156
BAURES,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,5,4,29,9,34,13,47
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,0,0,2,0,2,2
BELEN DE URMIRI,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,0,0,1,0,1,1
BELLA FLOR,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,1,2,10,16,11,18,29
BERMEJO,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,37,46,77,93,114,139,253
BETANZOS,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,14,10,147,114,161,124,285
BOLIVAR,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,1,2,25,13,26,15,41
BOLPEBRA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,2,3,2,3,4,7
BOYUIBE,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,4,1,16,20,20,21,41
BUENA VISTA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,9,8,77,59,86,67,153
CABEZAS,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,11,6,123,88,134,94,228
CAIROMA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,0,52,28,52,28,80
"CAIZA ""D""",control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,3,5,52,45,55,50,105
CAJUATA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,3,3,51,66,54,69,123
CALACOTO,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,0,8,11,8,11,19
CALAMARCA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,1,1,66,81,67,82,149
CAMARGO,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,3,3,47,34,50,37,87
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,1,2,13,2,14,4,18
CAMIRI,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,18,18,100,93,118,111,229
CAPINOTA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,27,29,98,115,125,144,269
CAQUIAVIRI,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,3,2,48,34,51,36,87
CARACOLLO,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,10,8,90,90,100,98,198
CARANAVI,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,22,17,205,184,227,201,428
CARANGAS,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,0,2,0,2,0,2
CARAPARI,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,6,6,68,68,74,74,148
CARIPUYO,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,1,2,31,35,32,37,69
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,5,6,23,26,28,32,60
CATACORA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,1,1,3,2,4,3,7
CHACARILLA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,2,4,3,4,5,9
CHALLAPATA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,5,6,143,128,148,134,282
CHAQUI,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,6,7,28,28,34,35,69
CHARAGUA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,27,23,64,87,91,110,201
CHARAÑA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,1,2,9,2,10,12
CHAYANTA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,8,10,53,50,61,60,121
CHIMORE,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,121,64,92,78,213,142,355
CHIPAYA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,0,6,4,6,4,10
CHOQUE COTA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,1,0,4,2,5,2,7
CHUA COCANI,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,1,2,6,10,7,12,19
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,15,20,56,55,71,75,146
CHUMA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,1,1,40,22,41,23,64
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,8,3,21,25,29,28,57
CKOCHAS,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,3,1,34,39,37,40,77
CLIZA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,22,24,55,55,77,79,156
COBIJA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,39,34,202,215,241,249,490
COCAPATA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,13,14,46,38,59,52,111
COCHABAMBA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,512,480,1695,1647,2207,2127,4334
COIPASA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,0,3,0,3,0,3
COLCAPIRHUA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,14,19,135,115,149,134,283
"COLCHA ""K""",control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,2,3,50,49,52,52,104
COLLANA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,0,13,8,13,8,21
COLOMI,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,11,10,151,151,162,161,323
COLPA BELGICA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,0,19,19,19,19,38
COLQUECHACA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,3,8,63,54,66,62,128
COLQUENCHA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,3,6,61,70,64,76,140
COLQUIRI,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,16,10,58,38,74,48,122
COMANCHE,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,0,10,11,10,11,21
COMARAPA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,9,11,89,86,98,97,195
COMBAYA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,0,4,2,4,2,6
CONCEPCION,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,18,6,100,100,118,106,224
COPACABANA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,2,5,30,27,32,32,64
CORIPATA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,13,11,92,88,105,99,204
CORO CORO,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,1,2,22,22,23,24,47
COROICO,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,5,4,47,43,52,47,99
CORQUE,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,0,25,28,25,28,53
COTAGAITA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,5,8,93,81,98,89,187
COTOCA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,62,85,379,362,441,447,888
CRUZ DE MACHACAMARCA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,0,0,1,0,1,1
CUATRO CAÑADAS,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,20,15,115,105,135,120,255
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,2,0,9,9,11,9,20
CUEVO,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,5,9,11,11,16,20,36
CULPINA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,4,6,59,69,63,75,138
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,0,15,10,15,10,25
CURVA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,0,6,8,6,8,14
DESAGUADERO,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,1,2,20,19,21,21,42
EL ALTO,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,538,467,1890,1765,2428,2232,4660
EL CHORO,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,3,2,19,9,22,11,33
EL PUENTE(STC),control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,5,11,52,48,57,59,116
EL PUENTE(TJA),control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,2,5,39,45,41,50,91
EL TORNO,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,30,29,292,307,322,336,658
EL VILLAR,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,1,0,8,12,9,12,21
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,6,3,131,105,137,108,245
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,78,66,331,297,409,363,772
ESCOMA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,6,15,15,15,21,36
ESMERALDA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,0,3,1,3,1,4
EUCALIPTUS,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,0,24,23,24,23,47
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,2,0,0,3,2,3,5
EXALTACION,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,6,4,9,4,15,8,23
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,5,9,57,52,62,61,123
FILADELFIA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,1,2,16,29,17,31,48
GAIOC JATUN AYLLU YURA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,1,1,13,10,14,11,25
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,9,6,112,112,121,118,239
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,2,3,31,34,33,37,70
GUANAY,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,8,10,41,64,49,74,123
GUAQUI,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,6,2,28,29,34,31,65
GUAYARAMERIN,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,55,71,113,99,168,170,338
GUTIERREZ,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,15,11,61,58,76,69,145
HUACARAJE,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,3,2,23,19,26,21,47
HUACARETA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,2,3,27,15,29,18,47
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,1,1,8,3,9,4,13
HUACHACALLA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,2,7,4,7,6,13
HUANUNI,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,5,4,45,60,50,64,114
HUARINA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,2,2,22,26,24,28,52
HUATAJATA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,1,0,10,8,11,8,19
HUAYLLAMARCA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,1,18,18,18,19,37
HUMANATA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,2,2,9,8,11,10,21
ICHOCA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,14,15,2,0,16,15,31
ICLA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,2,0,16,13,18,13,31
INCAHUASI,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,4,4,48,48,52,52,104
INGAVI (HUMAITA),control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,0,9,8,9,8,17
INQUISIVI,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,1,32,28,32,29,61
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,8,2,53,39,61,41,102
IXIAMAS,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,4,44,44,44,48,92
JESUS DE MACHACA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,3,5,61,36,64,41,105
LA ASUNTA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,29,28,199,191,228,219,447
LA GUARDIA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,134,116,432,378,566,494,1060
LA PAZ,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,648,614,1178,1127,1826,1741,3567
LA RIVERA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,1,1,0,1,1,2,3
LAGUNILLAS,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,2,4,28,22,30,26,56
LAJA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,10,4,66,89,76,93,169
LAS CARRERAS,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,2,2,7,10,9,12,21
LICOMA PAMPA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,1,0,2,8,3,8,11
LLALLAGUA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,21,16,124,137,145,153,298
LLICA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,2,1,7,12,9,13,22
LORETO,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,2,9,12,9,14,23
LURIBAY,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,2,2,33,34,35,36,71
MACHACAMARCA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,1,11,13,11,14,25
MACHARETI,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,2,4,28,24,30,28,58
MAGDALENA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,12,13,63,71,75,84,159
MAIRANA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,3,12,101,74,104,86,190
MALLA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,0,3,1,3,1,4
MAPIRI,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,12,11,65,61,77,72,149
MECAPACA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,4,1,52,40,56,41,97
MINEROS,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,6,8,98,83,104,91,195
MIZQUE,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,25,33,88,92,113,125,238
MOCOMOCO,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,6,4,31,39,37,43,80
MOJINETE,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,0,3,1,3,1,4
MOJOCOYA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,2,30,24,30,26,56
MONTEAGUDO,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,22,12,98,93,120,105,225
MONTERO,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,69,64,663,597,732,661,1393
MORO MORO,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,1,2,6,9,7,11,18
MOROCHATA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,4,10,32,30,36,40,76
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,2,4,28,21,30,25,55
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,0,4,1,4,1,5
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,0,6,6,6,6,12
OCURI,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,4,5,27,35,31,40,71
OKINAWA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,1,3,80,57,81,60,141
OMEREQUE,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,3,4,41,48,44,52,96
ORURO,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,966,552,1245,1262,2211,1814,4025
PADCAYA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,2,0,76,66,78,66,144
PADILLA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,1,4,40,45,41,49,90
PAILON,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,8,20,101,109,109,129,238
PALCA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,36,17,95,86,131,103,234
PALOS BLANCOS,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,66,35,130,122,196,157,353
PAMPA AULLAGAS,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,2,1,11,14,13,15,28
PAMPA GRANDE,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,5,4,42,51,47,55,102
PAPEL PAMPA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,2,0,23,15,25,15,40
PASORAPA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,0,0,7,8,7,8,15
PATACAMAYA,control de crecimiento infantil,control del nino(a) de 1 ano a menor de 2 anos dentro del establecimiento,2023-01-01,2,2,65,79,67,81,148
