municipality,group,variable,month,Días camas disponibles maternidad,TOTAL
CARACOLLO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,124,124
CARANAVI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,403,403
CARAPARI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,59,59
CARIPUYO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,144,144
CHALLAPATA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,372,372
CHAQUI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
CHARAGUA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,186,186
CHARAÑA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
CHAYANTA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,64,64
CHIMORE,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,310,310
CHOQUE COTA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas disponibles maternidad,2011-01-01,186,186
CHUMA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
CKOCHAS,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
CLIZA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,217,217
COBIJA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,682,682
COCAPATA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,402,402
COCHABAMBA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,11842,11842
COLCAPIRHUA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,434,434
"COLCHA ""K""",internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
COLLANA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,93,93
COLOMI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,403,403
COLPA BELGICA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
COLQUECHACA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,130,130
COLQUENCHA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
COLQUIRI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,93,93
COMANCHE,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
COMARAPA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,339,339
COMBAYA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
CONCEPCION,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,496,496
COPACABANA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,93,93
CORIPATA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,93,93
CORO CORO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,186,186
COROICO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,248,248
CORQUE,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
COTAGAITA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,93,93
COTOCA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,899,899
CUATRO CAÑADAS,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,310,310
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas disponibles maternidad,2011-01-01,93,93
CUEVO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
CULPINA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,248,248
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,155,155
DESAGUADERO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,26,26
EL ALTO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,5192,5192
EL CHORO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,153,153
EL PUENTE(STC),internaciones dias camas,dias camas disponibles maternidad,2011-01-01,155,155
EL TORNO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,465,465
EL VILLAR,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,310,310
ENTRE RIOS TRJ,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,186,186
ENTRE RIOS CBBA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,403,403
ESCOMA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,124,124
EUCALIPTUS,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,124,124
EXALTACION,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
FERNANDEZ ALONSO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,279,279
GENERAL SAAVEDRA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,124,124
GUANAY,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,124,124
GUAQUI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
GUAYARAMERIN,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,468,468
GUTIERREZ,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,155,155
HUACARETA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,396,396
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas disponibles maternidad,2011-01-01,182,182
HUACHACALLA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,93,93
HUANUNI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,288,288
HUARACAJE,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
HUARINA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
HUAYLLAMARCA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
HUMANATA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
ICLA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,182,182
INCAHUASI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,273,273
INQUISIVI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,27,27
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas disponibles maternidad,2011-01-01,150,150
IXIAMAS,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,90,90
JESUS DE MACHACA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,124,124
LA ASUNTA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,369,369
LA GUARDIA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,774,774
LA PAZ,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,15575,15575
LAGUNILLAS,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
LAJA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,124,124
LAS CARRERAS,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,93,93
LICOMA PAMPA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
LLALLAGUA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,372,372
LLICA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,60,60
LURIBAY,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
MACHACAMARCA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
MACHARETI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,153,153
MAGDALENA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,124,124
MAIRANA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,93,93
MALLA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
MAPIRI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,687,687
MECAPACA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,155,155
MINEROS,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,155,155
MIZQUE,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,961,961
MOCOMOCO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,124,124
MOJOCOYA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,179,179
MONTEAGUDO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,651,651
MONTERO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,1085,1085
MORO MORO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,93,93
MOROCHATA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,310,310
NAZACARA DE PACAJES,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,30,30
OCURI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,80,80
OKINAWA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,248,248
OMEREQUE,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,248,248
ORURO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,3263,3263
PADILLA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,341,341
PAILON,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,186,186
PALCA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
PALOS BLANCOS,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,372,372
PAMPA GRANDE,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
PASORAPA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,56,56
PATACAMAYA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,186,186
PAZÑA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,56,56
PELECHUCO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,248,248
POCOATA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,81,81
POCONA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,496,496
POJO (CBBA),internaciones dias camas,dias camas disponibles maternidad,2011-01-01,186,186
POOPO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,93,93
PORCO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,80,80
POROMA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,682,682
PORONGO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,268,268
PORTACHUELO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,403,403
PORVENIR,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,93,93
POSTRER VALLE,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
POTOSI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,1600,1600
PRESTO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,279,279
PUCARA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
PUCARANI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
PUERTO ACOSTA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,30,30
PUERTO GONZALO MORENO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,81,81
PUERTO QUIJARRO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,900,900
PUERTO RICO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,106,106
PUERTO SILES,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,28,28
PUERTO SUAREZ,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,806,806
PUERTO VILLARROEL,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,1333,1333
PUNA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,124,124
PUNATA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,713,713
QUIABAYA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
QUILLACOLLO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,620,620
QUIME,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
QUIRUSILLAS,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
RAVELO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
REYES,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,93,93
RIBERALTA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,589,589
ROBORE,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,273,273
RURRENABAQUE,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,124,124
SACABA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,1405,1405
SACABAMBA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
SACACA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,93,93
SAIPINA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,155,155
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,155,155
SAMAIPATA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,155,155
SAN ANDRES DE MACHACA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
SAN ANTONIO DE LOMERIO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,93,93
SAN BENITO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,155,155
SAN BORJA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,433,433
SAN BUENA VENTURA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,124,124
SAN CARLOS,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,341,341
SAN IGNACIO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,496,496
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,1395,1395
SAN JAVIER(BNI),internaciones dias camas,dias camas disponibles maternidad,2011-01-01,29,29
SAN JAVIER(STC),internaciones dias camas,dias camas disponibles maternidad,2011-01-01,124,124
SAN JOAQUIN,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,124,124
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,620,620
SAN JUAN DE YAPACANI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,173,173
SAN JULIAN,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,527,527
SAN LORENZO(PND),internaciones dias camas,dias camas disponibles maternidad,2011-01-01,87,87
SAN LUCAS,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,496,496
SAN MATIAS,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,339,339
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,155,155
SAN PEDRO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,465,465
SAN PEDRO DE BUENA VISTA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
SAN PEDRO DE TIQUINA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
SAN RAFAEL,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,124,124
SAN RAMON BENI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,93,93
SAN RAMON SCZ,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,124,124
SANTA ANA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,182,182
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,12780,12780
SANTA ROSA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,93,93
SANTA ROSA DEL SARA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,217,217
SANTIAGO DE CALLAPA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
SANTIAGO DE HUARI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,93,93
SANTIAGO DE HUATA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
SANTIAGO DE MACHACA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
SANTIVAÑES,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,186,186
SANTUARIO DE QUILLACAS,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
SAPAHAQUI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
SENA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,90,90
SHINAOTA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,403,403
SICA SICA (VILLA AROMA),internaciones dias camas,dias camas disponibles maternidad,2011-01-01,248,248
SICAYA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
SIPE SIPE,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,339,339
SOPACHUY,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,180,180
SORACACHI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,93,93
SORATA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,124,124
SUCRE,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,4153,4153
TACACHI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
TACACOMA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
TACOPAYA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,279,279
TAPACARI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,732,732
TARABUCO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,400,400
TARATA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,248,248
TARIJA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,1364,1364
TARVITA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,764,764
TEOPONTE,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,122,122
TIAWANACU,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,93,93
TIPUANI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,186,186
TIQUIPAYA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,558,558
TIRAQUE (CBBA),internaciones dias camas,dias camas disponibles maternidad,2011-01-01,496,496
TOCO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,155,155
TOLATA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
TOLEDO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,124,124
TOMAVE,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,60,60
TOMINA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,651,651
TORO TORO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
TOTORA(CBBA),internaciones dias camas,dias camas disponibles maternidad,2011-01-01,372,372
TOTORA(ORR),internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
TRIGAL,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
TRINIDAD,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,1457,1457
TUPIZA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,465,465
TURCO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,183,183
UMALA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,93,93
UNCIA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,155,155
URUBICHA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,93,93
UYUNI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,465,465
VACAS,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,213,213
VALLEGRANDE,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,279,279
VIACHA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,713,713
VILA VILA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,155,155
VILLA CHARCAS,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,186,186
VILLA MONTES,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,269,269
VILLA RIVERO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
VILLA SERRANO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,496,496
VILLA TUNARI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,1240,1240
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas disponibles maternidad,2011-01-01,155,155
VILLAZON,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,372,372
VINTO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,310,310
VITICHI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,124,124
WARNES,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,1302,1302
YACO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,124,124
YACUIBA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,496,496
YAMPARAEZ,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,206,206
YANACACHI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,93,93
YAPACANI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,473,473
YOCALLA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,91,91
YOTALA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,93,93
ZUDAÑEZ,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,216,216
ACACIO,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,28,28
ACHACACHI,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,224,224
ACHOCALLA,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,55,55
AIQUILE,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,336,336
ALALAY,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,168,168
ALCALA,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,112,112
ALTO BENI,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,140,140
ANCORAIMES,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,56,56
ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,112,112
ANTEQUERA,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,28,28
ANZALDO,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,56,56
APOLO,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,168,168
ARAMPAMPA,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,28,28
ARANI,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,196,196
ARBIETO,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,168,168
ARQUE,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,224,224
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,308,308
ATOCHA,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,168,168
AUCAPATA,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,28,28
AYATA,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,168,168
AYO AYO,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,56,56
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles maternidad,2011-02-01,756,756
AZURDUY,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,224,224
BATALLAS,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,56,56
BAURES,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,56,56
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,28,28
BERMEJO,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,363,363
BETANZOS,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,224,224
BOLIVAR,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,140,140
BOYUIBE,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,112,112
BUENA VISTA,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,266,266
CABEZAS,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,112,112
CAIROMA,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,112,112
"CAIZA ""D""",internaciones dias camas,dias camas disponibles maternidad,2011-02-01,28,28
CAJUATA,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,112,112
CALAMARCA,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,56,56
CAMARGO,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,588,588
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles maternidad,2011-02-01,84,84
CAMIRI,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,560,560
CAPINOTA,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,280,280
CAQUIAVIRI,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,84,84
CARACOLLO,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,84,84
CARANAVI,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,280,280
CARAPARI,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,53,53
CARIPUYO,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,28,28
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles maternidad,2011-02-01,113,113
