municipality,group,variable,month,Días camas ocupadas maternidad,TOTAL
CAMIRI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,254,254
CAPINOTA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,51,51
CAQUIAVIRI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,4,4
CARACOLLO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,36,36
CARANAVI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,163,163
CARAPARI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,3,3
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,12,12
CHALLAPATA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,124,124
CHAQUI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,2,2
CHARAGUA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,74,74
CHAYANTA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,19,19
CHIMORE,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,16,16
CHIPAYA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,92,92
CHUMA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,3,3
CKOCHAS,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,6,6
CLIZA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,51,51
COBIJA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,427,427
COCAPATA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,12,12
COCHABAMBA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,5552,5552
COIPASA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,4,4
COLCAPIRHUA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,101,101
"COLCHA ""K""",internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,2,2
COLLANA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,5,5
COLOMI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,37,37
COLPA BELGICA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,6,6
COLQUECHACA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,25,25
COLQUENCHA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,6,6
COLQUIRI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,8,8
COMANCHE,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,1,1
COMARAPA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,118,118
COMBAYA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,1,1
CONCEPCION,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,61,61
COPACABANA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,25,25
CORIPATA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,10,10
CORO CORO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,5,5
COROICO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,53,53
CORQUE,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,1,1
COTAGAITA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,39,39
COTOCA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,113,113
CUATRO CAÑADAS,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,19,19
CUEVO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,5,5
CULPINA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,138,138
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,17,17
DESAGUADERO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,4,4
EL ALTO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,3625,3625
EL CHORO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,3,3
EL PUENTE(STC),internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,32,32
EL PUENTE(TJA),internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,4,4
EL TORNO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,177,177
EL VILLAR,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,25,25
ENTRE RIOS TRJ,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,37,37
ENTRE RIOS CBBA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,28,28
ESCOMA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,19,19
EUCALIPTUS,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,5,5
EXALTACION,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,2,2
FERNANDEZ ALONSO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,31,31
GENERAL SAAVEDRA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,11,11
GUANAY,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,17,17
GUAQUI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,2,2
GUAYARAMERIN,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,365,365
GUTIERREZ,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,12,12
HUACARETA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,24,24
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,3,3
HUACHACALLA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,3,3
HUANUNI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,40,40
HUARACAJE,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,18,18
HUARINA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,3,3
HUAYLLAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,1,1
HUMANATA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,2,2
ICLA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,13,13
INCAHUASI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,37,37
INQUISIVI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,4,4
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,18,18
IXIAMAS,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,18,18
JESUS DE MACHACA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,5,5
LA ASUNTA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,89,89
LA GUARDIA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,92,92
LA PAZ,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,5442,5442
LAGUNILLAS,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,6,6
LAJA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,10,10
LICOMA PAMPA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,6,6
LLALLAGUA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,180,180
LLICA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,6,6
LURIBAY,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,2,2
MACHACAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,10,10
MACHARETI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,15,15
MAGDALENA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,83,83
MAIRANA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,84,84
MALLA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,2,2
MAPIRI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,17,17
MECAPACA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,6,6
MINEROS,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,50,50
MIZQUE,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,148,148
MOCOMOCO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,7,7
MOJOCOYA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,7,7
MONTEAGUDO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,197,197
MONTERO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,720,720
MORO MORO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,6,6
MOROCHATA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,13,13
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,4,4
NAZACARA DE PACAJES,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,1,1
OCURI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,243,243
OKINAWA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,21,21
OMEREQUE,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,14,14
ORURO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,1917,1917
PADCAYA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,2,2
PADILLA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,86,86
PAILON,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,62,62
PALCA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,3,3
PALOS BLANCOS,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,74,74
PAMPA GRANDE,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,19,19
PASORAPA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,4,4
PATACAMAYA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,54,54
PAZÑA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,6,6
PELECHUCO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,5,5
POCOATA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,9,9
POCONA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,24,24
POJO (CBBA),internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,14,14
POOPO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,28,28
PORCO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,10,10
POROMA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,18,18
PORONGO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,11,11
PORTACHUELO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,249,249
PORVENIR,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,4,4
POSTRER VALLE,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,2,2
POTOSI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,1179,1179
PRESTO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,5,5
PUCARA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,6,6
PUCARANI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,11,11
PUERTO ACOSTA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,1,1
PUERTO GONZALO MORENO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,11,11
PUERTO QUIJARRO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,65,65
PUERTO RICO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,15,15
PUERTO SILES,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,3,3
PUERTO SUAREZ,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,111,111
PUERTO VILLARROEL,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,208,208
PUNA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,9,9
PUNATA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,307,307
QUIABAYA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,2,2
QUILLACOLLO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,279,279
QUIME,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,12,12
RAVELO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,14,14
REYES,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,42,42
RIBERALTA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,463,463
ROBORE,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,108,108
RURRENABAQUE,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,200,200
SABAYA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,2,2
SACABA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,445,445
SACABAMBA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,7,7
SACACA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,48,48
SAIPINA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,4,4
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,13,13
SAMAIPATA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,49,49
SAN ANDRES DE MACHACA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,3,3
SAN ANTONIO DE LOMERIO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,15,15
SAN BENITO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,24,24
SAN BORJA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,168,168
SAN BUENA VENTURA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,47,47
SAN CARLOS,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,165,165
SAN IGNACIO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,75,75
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,439,439
SAN JAVIER(BNI),internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,1,1
SAN JAVIER(STC),internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,54,54
SAN JOAQUIN,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,15,15
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,141,141
SAN JUAN DE YAPACANI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,44,44
SAN JULIAN,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,127,127
SAN LORENZO(PND),internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,6,6
SAN LUCAS,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,55,55
SAN MATIAS,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,27,27
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,54,54
SAN PEDRO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,107,107
SAN PEDRO DE BUENA VISTA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,2,2
SAN PEDRO DE TIQUINA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,3,3
SAN RAFAEL,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,8,8
SAN RAMON BENI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,44,44
SAN RAMON SCZ,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,44,44
SANTA ANA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,104,104
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,8129,8129
SANTA ROSA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,74,74
SANTA ROSA DEL SARA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,36,36
SANTIAGO DE CALLAPA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,2,2
SANTIAGO DE HUARI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,34,34
SANTIAGO DE HUATA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,4,4
SANTIAGO DE MACHACA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,4,4
SANTIVAÑES,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,6,6
SANTUARIO DE QUILLACAS,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,2,2
SAPAHAQUI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,1,1
SENA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,3,3
SHINAOTA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,167,167
SICA SICA (VILLA AROMA),internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,22,22
SIPE SIPE,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,26,26
SOPACHUY,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,44,44
SORACACHI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,3,3
SORATA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,20,20
SUCRE,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,2157,2157
TACACOMA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,10,10
TACOPAYA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,8,8
TARABUCO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,107,107
TARATA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,12,12
TARIJA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,1325,1325
TARVITA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,75,75
TEOPONTE,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,6,6
TIAWANACU,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,9,9
TIPUANI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,15,15
TIQUIPAYA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,279,279
TIRAQUE (CBBA),internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,31,31
TOCO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,6,6
TOLATA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,6,6
TOLEDO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,3,3
TOMAVE,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,8,8
TOMINA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,38,38
TORO TORO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,1,1
TOTORA(CBBA),internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,39,39
TOTORA(ORR),internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,4,4
TRIGAL,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,2,2
TRINIDAD,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,1112,1112
TUPIZA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,182,182
TURCO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,3,3
UMALA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,3,3
UNCIA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,19,19
URUBICHA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,32,32
UYUNI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,175,175
VACAS,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,15,15
VALLEGRANDE,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,111,111
VIACHA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,78,78
VILA VILA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,3,3
VILLA CHARCAS,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,27,27
VILLA MONTES,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,177,177
VILLA RIVERO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,12,12
VILLA SERRANO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,57,57
VILLA TUNARI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,313,313
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,12,12
VILLAZON,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,200,200
VINTO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,68,68
VITICHI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,12,12
WARNES,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,175,175
YACO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,6,6
YACUIBA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,419,419
YAMPARAEZ,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,31,31
YANACACHI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,2,2
YAPACANI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,1406,1406
YOCALLA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,4,4
YOTALA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,90,90
ZUDAÑEZ,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,14,14
ACACIO,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,2,2
ACHACACHI,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,23,23
ACHOCALLA,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,6,6
AIQUILE,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,58,58
ALALAY,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,3,3
ALCALA,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,6,6
ALTO BENI,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,8,8
ANCORAIMES,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,8,8
ANDAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,6,6
ANTEQUERA,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,2,2
ANZALDO,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,3,3
APOLO,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,17,17
ARANI,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,21,21
ARBIETO,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,18,18
ARQUE,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,6,6
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,201,201
ATOCHA,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,36,36
AUCAPATA,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,1,1
AYATA,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,6,6
AYO AYO,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,30,30
AZURDUY,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,12,12
BATALLAS,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,12,12
BAURES,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,17,17
BELEN DE ANDAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,1,1
BERMEJO,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,144,144
BETANZOS,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,28,28
BOYUIBE,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,17,17
BUENA VISTA,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,33,33
CABEZAS,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,16,16
CAIROMA,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,22,22
CAJUATA,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,15,15
CALAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,3,3
CAMARGO,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,101,101
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,8,8
CAMIRI,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,264,264
CAPINOTA,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,27,27
CAQUIAVIRI,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,3,3
CARACOLLO,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,37,37
CARANAVI,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,130,130
CARAPARI,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,3,3
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,10,10
CHALLAPATA,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,96,96
CHAQUI,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,2,2
CHARAGUA,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,70,70
CHAYANTA,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,15,15
CHIMORE,internaciones dias camas,dias camas ocupadas maternidad,2011-02-01,37,37
