,group,variable,month,13. 2 INGRESOS ESPONTÁNEOS CANTIDAD,13. 2 INGRESOS ESPONTÁNEOS CANTIDAD,TOTALES,TOTALES,TOTALES
HUACAYA (VILLA DE HUACAYA),internaciones,2      ingresos espontaneos,2014-03-01,1,2,1,2,3
HUACHACALLA,internaciones,2      ingresos espontaneos,2014-03-01,0,1,0,1,1
HUANUNI,internaciones,2      ingresos espontaneos,2014-03-01,42,69,42,69,111
HUARACAJE,internaciones,2      ingresos espontaneos,2014-03-01,4,20,4,20,24
HUARINA,internaciones,2      ingresos espontaneos,2014-03-01,0,2,0,2,2
HUATAJATA,internaciones,2      ingresos espontaneos,2014-03-01,0,3,0,3,3
HUAYLLAMARCA,internaciones,2      ingresos espontaneos,2014-03-01,0,8,0,8,8
HUMANATA,internaciones,2      ingresos espontaneos,2014-03-01,0,1,0,1,1
ICLA,internaciones,2      ingresos espontaneos,2014-03-01,0,8,0,8,8
INCAHUASI,internaciones,2      ingresos espontaneos,2014-03-01,2,12,2,12,14
INQUISIVI,internaciones,2      ingresos espontaneos,2014-03-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),internaciones,2      ingresos espontaneos,2014-03-01,9,25,9,25,34
IXIAMAS,internaciones,2      ingresos espontaneos,2014-03-01,2,24,2,24,26
JESUS DE MACHACA,internaciones,2      ingresos espontaneos,2014-03-01,1,17,1,17,18
LA ASUNTA,internaciones,2      ingresos espontaneos,2014-03-01,0,41,0,41,41
LA GUARDIA,internaciones,2      ingresos espontaneos,2014-03-01,99,164,99,164,263
LA PAZ,internaciones,2      ingresos espontaneos,2014-03-01,2643,9961,2643,9961,12604
LAGUNILLAS,internaciones,2      ingresos espontaneos,2014-03-01,1,4,1,4,5
LAJA,internaciones,2      ingresos espontaneos,2014-03-01,0,5,0,5,5
LAS CARRERAS,internaciones,2      ingresos espontaneos,2014-03-01,0,4,0,4,4
LLALLAGUA,internaciones,2      ingresos espontaneos,2014-03-01,65,161,65,161,226
LURIBAY,internaciones,2      ingresos espontaneos,2014-03-01,0,1,0,1,1
MACHARETI,internaciones,2      ingresos espontaneos,2014-03-01,2,14,2,14,16
MAGDALENA,internaciones,2      ingresos espontaneos,2014-03-01,37,80,37,80,117
MAIRANA,internaciones,2      ingresos espontaneos,2014-03-01,10,47,10,47,57
MAPIRI,internaciones,2      ingresos espontaneos,2014-03-01,6,35,6,35,41
MECAPACA,internaciones,2      ingresos espontaneos,2014-03-01,0,2,0,2,2
MINEROS,internaciones,2      ingresos espontaneos,2014-03-01,4,11,4,11,15
MIZQUE,internaciones,2      ingresos espontaneos,2014-03-01,14,55,14,55,69
MOCOMOCO,internaciones,2      ingresos espontaneos,2014-03-01,0,2,0,2,2
MOJOCOYA,internaciones,2      ingresos espontaneos,2014-03-01,4,14,4,14,18
MONTEAGUDO,internaciones,2      ingresos espontaneos,2014-03-01,51,86,51,86,137
MONTERO,internaciones,2      ingresos espontaneos,2014-03-01,255,568,255,568,823
MORO MORO,internaciones,2      ingresos espontaneos,2014-03-01,1,3,1,3,4
MOROCHATA,internaciones,2      ingresos espontaneos,2014-03-01,0,8,0,8,8
OCURI,internaciones,2      ingresos espontaneos,2014-03-01,1,10,1,10,11
OKINAWA,internaciones,2      ingresos espontaneos,2014-03-01,1,10,1,10,11
OMEREQUE,internaciones,2      ingresos espontaneos,2014-03-01,4,6,4,6,10
ORURO,internaciones,2      ingresos espontaneos,2014-03-01,1207,2055,1207,2055,3262
PADILLA,internaciones,2      ingresos espontaneos,2014-03-01,24,40,24,40,64
PAILON,internaciones,2      ingresos espontaneos,2014-03-01,18,75,18,75,93
PALCA,internaciones,2      ingresos espontaneos,2014-03-01,0,2,0,2,2
PALOS BLANCOS,internaciones,2      ingresos espontaneos,2014-03-01,6,47,6,47,53
PAMPA GRANDE,internaciones,2      ingresos espontaneos,2014-03-01,1,10,1,10,11
PAPEL PAMPA,internaciones,2      ingresos espontaneos,2014-03-01,0,2,0,2,2
PASORAPA,internaciones,2      ingresos espontaneos,2014-03-01,0,4,0,4,4
PATACAMAYA,internaciones,2      ingresos espontaneos,2014-03-01,5,28,5,28,33
PELECHUCO,internaciones,2      ingresos espontaneos,2014-03-01,0,1,0,1,1
POCOATA,internaciones,2      ingresos espontaneos,2014-03-01,0,5,0,5,5
POCONA,internaciones,2      ingresos espontaneos,2014-03-01,0,13,0,13,13
POJO (CBBA),internaciones,2      ingresos espontaneos,2014-03-01,1,22,1,22,23
POOPO,internaciones,2      ingresos espontaneos,2014-03-01,0,3,0,3,3
POROMA,internaciones,2      ingresos espontaneos,2014-03-01,1,3,1,3,4
PORONGO,internaciones,2      ingresos espontaneos,2014-03-01,0,1,0,1,1
PORTACHUELO,internaciones,2      ingresos espontaneos,2014-03-01,61,85,61,85,146
PORVENIR,internaciones,2      ingresos espontaneos,2014-03-01,2,6,2,6,8
POSTRER VALLE,internaciones,2      ingresos espontaneos,2014-03-01,0,2,0,2,2
POTOSI,internaciones,2      ingresos espontaneos,2014-03-01,788,1327,788,1327,2115
PRESTO,internaciones,2      ingresos espontaneos,2014-03-01,1,1,1,1,2
PUCARA,internaciones,2      ingresos espontaneos,2014-03-01,1,1,1,1,2
PUCARANI,internaciones,2      ingresos espontaneos,2014-03-01,3,12,3,12,15
PUERTO ACOSTA,internaciones,2      ingresos espontaneos,2014-03-01,0,5,0,5,5
PUERTO CARABUCO,internaciones,2      ingresos espontaneos,2014-03-01,0,2,0,2,2
PUERTO GONZALO MORENO,internaciones,2      ingresos espontaneos,2014-03-01,2,5,2,5,7
PUERTO QUIJARRO,internaciones,2      ingresos espontaneos,2014-03-01,14,23,14,23,37
PUERTO RICO,internaciones,2      ingresos espontaneos,2014-03-01,15,38,15,38,53
PUERTO SUAREZ,internaciones,2      ingresos espontaneos,2014-03-01,43,89,43,89,132
PUERTO VILLARROEL,internaciones,2      ingresos espontaneos,2014-03-01,48,173,48,173,221
PUNA,internaciones,2      ingresos espontaneos,2014-03-01,0,9,0,9,9
PUNATA,internaciones,2      ingresos espontaneos,2014-03-01,73,181,73,181,254
QUILLACOLLO,internaciones,2      ingresos espontaneos,2014-03-01,55,355,55,355,410
QUIME,internaciones,2      ingresos espontaneos,2014-03-01,4,15,4,15,19
QUIRUSILLAS,internaciones,2      ingresos espontaneos,2014-03-01,0,1,0,1,1
REYES,internaciones,2      ingresos espontaneos,2014-03-01,4,29,4,29,33
RIBERALTA,internaciones,2      ingresos espontaneos,2014-03-01,220,339,220,339,559
ROBORE,internaciones,2      ingresos espontaneos,2014-03-01,17,77,17,77,94
RURRENABAQUE,internaciones,2      ingresos espontaneos,2014-03-01,43,102,43,102,145
SABAYA,internaciones,2      ingresos espontaneos,2014-03-01,2,3,2,3,5
SACABA,internaciones,2      ingresos espontaneos,2014-03-01,108,405,108,405,513
SACABAMBA,internaciones,2      ingresos espontaneos,2014-03-01,2,17,2,17,19
SACACA,internaciones,2      ingresos espontaneos,2014-03-01,5,12,5,12,17
SAIPINA,internaciones,2      ingresos espontaneos,2014-03-01,2,5,2,5,7
SAMAIPATA,internaciones,2      ingresos espontaneos,2014-03-01,7,27,7,27,34
SAN AGUSTIN,internaciones,2      ingresos espontaneos,2014-03-01,0,1,0,1,1
SAN ANDRES,internaciones,2      ingresos espontaneos,2014-03-01,6,0,6,0,6
SAN ANDRES DE MACHACA,internaciones,2      ingresos espontaneos,2014-03-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,internaciones,2      ingresos espontaneos,2014-03-01,2,9,2,9,11
SAN BENITO,internaciones,2      ingresos espontaneos,2014-03-01,0,8,0,8,8
SAN BORJA,internaciones,2      ingresos espontaneos,2014-03-01,24,168,24,168,192
SAN BUENA VENTURA,internaciones,2      ingresos espontaneos,2014-03-01,11,56,11,56,67
SAN CARLOS,internaciones,2      ingresos espontaneos,2014-03-01,31,84,31,84,115
SAN IGNACIO,internaciones,2      ingresos espontaneos,2014-03-01,23,73,23,73,96
SAN IGNACIO DE VELASCO,internaciones,2      ingresos espontaneos,2014-03-01,95,250,95,250,345
SAN JAVIER(BNI),internaciones,2      ingresos espontaneos,2014-03-01,2,2,2,2,4
SAN JAVIER(STC),internaciones,2      ingresos espontaneos,2014-03-01,9,54,9,54,63
SAN JOAQUIN,internaciones,2      ingresos espontaneos,2014-03-01,13,21,13,21,34
SAN JOSE DE CHIQUITOS,internaciones,2      ingresos espontaneos,2014-03-01,60,149,60,149,209
SAN JUAN DE YAPACANI,internaciones,2      ingresos espontaneos,2014-03-01,0,58,0,58,58
SAN JULIAN,internaciones,2      ingresos espontaneos,2014-03-01,49,199,49,199,248
SAN LORENZO(TJA),internaciones,2      ingresos espontaneos,2014-03-01,0,11,0,11,11
SAN LUCAS,internaciones,2      ingresos espontaneos,2014-03-01,8,17,8,17,25
SAN MATIAS,internaciones,2      ingresos espontaneos,2014-03-01,20,70,20,70,90
SAN MIGUEL DE VELASCO,internaciones,2      ingresos espontaneos,2014-03-01,3,25,3,25,28
SAN PEDRO,internaciones,2      ingresos espontaneos,2014-03-01,18,32,18,32,50
SAN PEDRO DE BUENA VISTA,internaciones,2      ingresos espontaneos,2014-03-01,0,10,0,10,10
SAN PEDRO DE CURAHUARA,internaciones,2      ingresos espontaneos,2014-03-01,0,1,0,1,1
SAN PEDRO DE TIQUINA,internaciones,2      ingresos espontaneos,2014-03-01,0,3,0,3,3
SAN RAFAEL,internaciones,2      ingresos espontaneos,2014-03-01,6,17,6,17,23
SAN RAMON BENI,internaciones,2      ingresos espontaneos,2014-03-01,18,34,18,34,52
SAN RAMON SCZ,internaciones,2      ingresos espontaneos,2014-03-01,5,32,5,32,37
SANTA ANA,internaciones,2      ingresos espontaneos,2014-03-01,53,120,53,120,173
SANTA CRUZ DE LA SIERRA,internaciones,2      ingresos espontaneos,2014-03-01,5038,8032,5038,8032,13070
SANTA ROSA,internaciones,2      ingresos espontaneos,2014-03-01,5,30,5,30,35
SANTA ROSA DEL SARA,internaciones,2      ingresos espontaneos,2014-03-01,8,19,8,19,27
SANTIAGO DE HUARI,internaciones,2      ingresos espontaneos,2014-03-01,2,4,2,4,6
SANTIAGO DE MACHACA,internaciones,2      ingresos espontaneos,2014-03-01,0,2,0,2,2
SANTIVAÑES,internaciones,2      ingresos espontaneos,2014-03-01,0,9,0,9,9
SANTUARIO DE QUILLACAS,internaciones,2      ingresos espontaneos,2014-03-01,1,6,1,6,7
SAPAHAQUI,internaciones,2      ingresos espontaneos,2014-03-01,0,1,0,1,1
SENA,internaciones,2      ingresos espontaneos,2014-03-01,9,26,9,26,35
SHINAOTA,internaciones,2      ingresos espontaneos,2014-03-01,19,72,19,72,91
SICA SICA (VILLA AROMA),internaciones,2      ingresos espontaneos,2014-03-01,0,10,0,10,10
SICAYA,internaciones,2      ingresos espontaneos,2014-03-01,0,1,0,1,1
SIPE SIPE,internaciones,2      ingresos espontaneos,2014-03-01,0,49,0,49,49
SOPACHUY,internaciones,2      ingresos espontaneos,2014-03-01,8,15,8,15,23
SORACACHI,internaciones,2      ingresos espontaneos,2014-03-01,0,6,0,6,6
SORATA,internaciones,2      ingresos espontaneos,2014-03-01,7,10,7,10,17
SUCRE,internaciones,2      ingresos espontaneos,2014-03-01,799,2559,799,2559,3358
TACACOMA,internaciones,2      ingresos espontaneos,2014-03-01,0,5,0,5,5
TACOPAYA,internaciones,2      ingresos espontaneos,2014-03-01,1,4,1,4,5
TAPACARI,internaciones,2      ingresos espontaneos,2014-03-01,0,1,0,1,1
TARABUCO,internaciones,2      ingresos espontaneos,2014-03-01,12,31,12,31,43
TARACO,internaciones,2      ingresos espontaneos,2014-03-01,0,1,0,1,1
TARATA,internaciones,2      ingresos espontaneos,2014-03-01,0,12,0,12,12
TARIJA,internaciones,2      ingresos espontaneos,2014-03-01,711,1243,711,1243,1954
TARVITA,internaciones,2      ingresos espontaneos,2014-03-01,3,23,3,23,26
TEOPONTE,internaciones,2      ingresos espontaneos,2014-03-01,0,13,0,13,13
TIAWANACU,internaciones,2      ingresos espontaneos,2014-03-01,0,16,0,16,16
TIPUANI,internaciones,2      ingresos espontaneos,2014-03-01,9,38,9,38,47
TIQUIPAYA,internaciones,2      ingresos espontaneos,2014-03-01,34,192,34,192,226
TIRAQUE (CBBA),internaciones,2      ingresos espontaneos,2014-03-01,0,22,0,22,22
TITO YUPANQUI (PARQUIPUJIO),internaciones,2      ingresos espontaneos,2014-03-01,0,1,0,1,1
TOCO,internaciones,2      ingresos espontaneos,2014-03-01,0,4,0,4,4
TOLATA,internaciones,2      ingresos espontaneos,2014-03-01,4,4,4,4,8
TOLEDO,internaciones,2      ingresos espontaneos,2014-03-01,0,4,0,4,4
TOMINA,internaciones,2      ingresos espontaneos,2014-03-01,4,22,4,22,26
TORO TORO,internaciones,2      ingresos espontaneos,2014-03-01,0,1,0,1,1
TOTORA(CBBA),internaciones,2      ingresos espontaneos,2014-03-01,5,24,5,24,29
TOTORA(ORR),internaciones,2      ingresos espontaneos,2014-03-01,0,2,0,2,2
TRIGAL,internaciones,2      ingresos espontaneos,2014-03-01,2,10,2,10,12
TRINIDAD,internaciones,2      ingresos espontaneos,2014-03-01,234,726,234,726,960
TUPIZA,internaciones,2      ingresos espontaneos,2014-03-01,435,494,435,494,929
UMALA,internaciones,2      ingresos espontaneos,2014-03-01,0,1,0,1,1
UNCIA,internaciones,2      ingresos espontaneos,2014-03-01,0,11,0,11,11
URUBICHA,internaciones,2      ingresos espontaneos,2014-03-01,11,18,11,18,29
UYUNI,internaciones,2      ingresos espontaneos,2014-03-01,37,122,37,122,159
VALLEGRANDE,internaciones,2      ingresos espontaneos,2014-03-01,48,99,48,99,147
VIACHA,internaciones,2      ingresos espontaneos,2014-03-01,57,124,57,124,181
VILA VILA,internaciones,2      ingresos espontaneos,2014-03-01,0,1,0,1,1
VILLA CHARCAS,internaciones,2      ingresos espontaneos,2014-03-01,0,6,0,6,6
VILLA MONTES,internaciones,2      ingresos espontaneos,2014-03-01,65,188,65,188,253
VILLA RIVERO,internaciones,2      ingresos espontaneos,2014-03-01,6,7,6,7,13
VILLA TUNARI,internaciones,2      ingresos espontaneos,2014-03-01,96,279,96,279,375
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,2      ingresos espontaneos,2014-03-01,5,14,5,14,19
VILLAZON,internaciones,2      ingresos espontaneos,2014-03-01,70,174,70,174,244
VINTO,internaciones,2      ingresos espontaneos,2014-03-01,2,92,2,92,94
WARNES,internaciones,2      ingresos espontaneos,2014-03-01,72,121,72,121,193
YACO,internaciones,2      ingresos espontaneos,2014-03-01,0,3,0,3,3
YACUIBA,internaciones,2      ingresos espontaneos,2014-03-01,266,552,266,552,818
YAMPARAEZ,internaciones,2      ingresos espontaneos,2014-03-01,0,9,0,9,9
YANACACHI,internaciones,2      ingresos espontaneos,2014-03-01,0,3,0,3,3
YAPACANI,internaciones,2      ingresos espontaneos,2014-03-01,74,171,74,171,245
YOTALA,internaciones,2      ingresos espontaneos,2014-03-01,2,12,2,12,14
ZUDAÑEZ,internaciones,2      ingresos espontaneos,2014-03-01,7,11,7,11,18
ACACIO,internaciones,2      ingresos espontaneos,2014-04-01,0,4,0,4,4
ACHACACHI,internaciones,2      ingresos espontaneos,2014-04-01,10,48,10,48,58
ACHOCALLA,internaciones,2      ingresos espontaneos,2014-04-01,0,5,0,5,5
AIQUILE,internaciones,2      ingresos espontaneos,2014-04-01,30,71,30,71,101
ALALAY,internaciones,2      ingresos espontaneos,2014-04-01,1,2,1,2,3
ALCALA,internaciones,2      ingresos espontaneos,2014-04-01,0,5,0,5,5
ALTO BENI,internaciones,2      ingresos espontaneos,2014-04-01,0,9,0,9,9
ANCORAIMES,internaciones,2      ingresos espontaneos,2014-04-01,1,9,1,9,10
ANTEQUERA,internaciones,2      ingresos espontaneos,2014-04-01,0,4,0,4,4
ANZALDO,internaciones,2      ingresos espontaneos,2014-04-01,8,14,8,14,22
APOLO,internaciones,2      ingresos espontaneos,2014-04-01,3,25,3,25,28
ARAMPAMPA,internaciones,2      ingresos espontaneos,2014-04-01,0,5,0,5,5
ARANI,internaciones,2      ingresos espontaneos,2014-04-01,1,9,1,9,10
ARBIETO,internaciones,2      ingresos espontaneos,2014-04-01,3,8,3,8,11
ARQUE,internaciones,2      ingresos espontaneos,2014-04-01,1,0,1,0,1
ASCENCION DE GUARAYOS,internaciones,2      ingresos espontaneos,2014-04-01,59,165,59,165,224
ATOCHA,internaciones,2      ingresos espontaneos,2014-04-01,43,76,43,76,119
AYATA,internaciones,2      ingresos espontaneos,2014-04-01,0,1,0,1,1
AYO AYO,internaciones,2      ingresos espontaneos,2014-04-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones,2      ingresos espontaneos,2014-04-01,40,38,40,38,78
AZURDUY,internaciones,2      ingresos espontaneos,2014-04-01,4,10,4,10,14
BAURES,internaciones,2      ingresos espontaneos,2014-04-01,4,22,4,22,26
BELEN DE ANDAMARCA,internaciones,2      ingresos espontaneos,2014-04-01,0,2,0,2,2
BERMEJO,internaciones,2      ingresos espontaneos,2014-04-01,85,171,85,171,256
BETANZOS,internaciones,2      ingresos espontaneos,2014-04-01,3,35,3,35,38
BOLIVAR,internaciones,2      ingresos espontaneos,2014-04-01,1,3,1,3,4
BOYUIBE,internaciones,2      ingresos espontaneos,2014-04-01,10,25,10,25,35
BUENA VISTA,internaciones,2      ingresos espontaneos,2014-04-01,5,12,5,12,17
CABEZAS,internaciones,2      ingresos espontaneos,2014-04-01,8,20,8,20,28
CAIROMA,internaciones,2      ingresos espontaneos,2014-04-01,1,9,1,9,10
"CAIZA ""D""",internaciones,2      ingresos espontaneos,2014-04-01,0,2,0,2,2
CAJUATA,internaciones,2      ingresos espontaneos,2014-04-01,0,1,0,1,1
CALAMARCA,internaciones,2      ingresos espontaneos,2014-04-01,0,12,0,12,12
CAMARGO,internaciones,2      ingresos espontaneos,2014-04-01,25,47,25,47,72
CAMATAQUI (C. VILLA ABECIA),internaciones,2      ingresos espontaneos,2014-04-01,0,4,0,4,4
CAMIRI,internaciones,2      ingresos espontaneos,2014-04-01,174,336,174,336,510
CAPINOTA,internaciones,2      ingresos espontaneos,2014-04-01,9,30,9,30,39
CAQUIAVIRI,internaciones,2      ingresos espontaneos,2014-04-01,0,2,0,2,2
CARACOLLO,internaciones,2      ingresos espontaneos,2014-04-01,0,20,0,20,20
CARANAVI,internaciones,2      ingresos espontaneos,2014-04-01,35,134,35,134,169
CARAPARI,internaciones,2      ingresos espontaneos,2014-04-01,2,4,2,4,6
CARIPUYO,internaciones,2      ingresos espontaneos,2014-04-01,0,1,0,1,1
CARMEN RIVERO TORREZ,internaciones,2      ingresos espontaneos,2014-04-01,3,26,3,26,29
CHALLAPATA,internaciones,2      ingresos espontaneos,2014-04-01,31,61,31,61,92
CHAQUI,internaciones,2      ingresos espontaneos,2014-04-01,0,1,0,1,1
CHARAGUA,internaciones,2      ingresos espontaneos,2014-04-01,61,126,61,126,187
CHAYANTA,internaciones,2      ingresos espontaneos,2014-04-01,0,10,0,10,10
CHIMORE,internaciones,2      ingresos espontaneos,2014-04-01,0,10,0,10,10
CHULUMANI (V. DE LA LIBERTAD),internaciones,2      ingresos espontaneos,2014-04-01,38,83,38,83,121
CHUMA,internaciones,2      ingresos espontaneos,2014-04-01,1,3,1,3,4
CLIZA,internaciones,2      ingresos espontaneos,2014-04-01,27,58,27,58,85
COBIJA,internaciones,2      ingresos espontaneos,2014-04-01,149,161,149,161,310
COCAPATA,internaciones,2      ingresos espontaneos,2014-04-01,1,0,1,0,1
COCHABAMBA,internaciones,2      ingresos espontaneos,2014-04-01,3037,5066,3037,5066,8103
COLCAPIRHUA,internaciones,2      ingresos espontaneos,2014-04-01,52,98,52,98,150
"COLCHA ""K""",internaciones,2      ingresos espontaneos,2014-04-01,0,4,0,4,4
COLOMI,internaciones,2      ingresos espontaneos,2014-04-01,0,30,0,30,30
COLPA BELGICA,internaciones,2      ingresos espontaneos,2014-04-01,11,27,11,27,38
COLQUECHACA,internaciones,2      ingresos espontaneos,2014-04-01,0,6,0,6,6
COLQUENCHA,internaciones,2      ingresos espontaneos,2014-04-01,0,3,0,3,3
COLQUIRI,internaciones,2      ingresos espontaneos,2014-04-01,16,16,16,16,32
COMARAPA,internaciones,2      ingresos espontaneos,2014-04-01,6,43,6,43,49
COMBAYA,internaciones,2      ingresos espontaneos,2014-04-01,0,1,0,1,1
CONCEPCION,internaciones,2      ingresos espontaneos,2014-04-01,7,68,7,68,75
COPACABANA,internaciones,2      ingresos espontaneos,2014-04-01,1,17,1,17,18
CORIPATA,internaciones,2      ingresos espontaneos,2014-04-01,2,17,2,17,19
CORO CORO,internaciones,2      ingresos espontaneos,2014-04-01,0,3,0,3,3
COROICO,internaciones,2      ingresos espontaneos,2014-04-01,32,66,32,66,98
COTAGAITA,internaciones,2      ingresos espontaneos,2014-04-01,0,10,0,10,10
COTOCA,internaciones,2      ingresos espontaneos,2014-04-01,21,163,21,163,184
CUATRO CAÑADAS,internaciones,2      ingresos espontaneos,2014-04-01,6,8,6,8,14
CUEVO,internaciones,2      ingresos espontaneos,2014-04-01,2,5,2,5,7
CULPINA,internaciones,2      ingresos espontaneos,2014-04-01,16,32,16,32,48
CURAHUARA DE CARANGAS,internaciones,2      ingresos espontaneos,2014-04-01,0,5,0,5,5
DESAGUADERO,internaciones,2      ingresos espontaneos,2014-04-01,0,4,0,4,4
EL ALTO,internaciones,2      ingresos espontaneos,2014-04-01,1111,2476,1111,2476,3587
EL PUENTE(STC),internaciones,2      ingresos espontaneos,2014-04-01,21,36,21,36,57
EL PUENTE(TJA),internaciones,2      ingresos espontaneos,2014-04-01,0,2,0,2,2
EL TORNO,internaciones,2      ingresos espontaneos,2014-04-01,261,403,261,403,664
EL VILLAR,internaciones,2      ingresos espontaneos,2014-04-01,0,1,0,1,1
ENTRE RIOS TRJ,internaciones,2      ingresos espontaneos,2014-04-01,4,16,4,16,20
ENTRE RIOS CBBA,internaciones,2      ingresos espontaneos,2014-04-01,10,30,10,30,40
ESCOMA,internaciones,2      ingresos espontaneos,2014-04-01,1,10,1,10,11
EUCALIPTUS,internaciones,2      ingresos espontaneos,2014-04-01,0,4,0,4,4
EXALTACION,internaciones,2      ingresos espontaneos,2014-04-01,1,6,1,6,7
FERNANDEZ ALONSO,internaciones,2      ingresos espontaneos,2014-04-01,28,34,28,34,62
FILADELFIA,internaciones,2      ingresos espontaneos,2014-04-01,2,2,2,2,4
GENERAL SAAVEDRA,internaciones,2      ingresos espontaneos,2014-04-01,0,50,0,50,50
GRAL. J.J. PEREZ (CHARAZANI),internaciones,2      ingresos espontaneos,2014-04-01,1,4,1,4,5
GUANAY,internaciones,2      ingresos espontaneos,2014-04-01,1,20,1,20,21
GUAQUI,internaciones,2      ingresos espontaneos,2014-04-01,0,5,0,5,5
GUAYARAMERIN,internaciones,2      ingresos espontaneos,2014-04-01,160,371,160,371,531
GUTIERREZ,internaciones,2      ingresos espontaneos,2014-04-01,4,37,4,37,41
HUACARETA,internaciones,2      ingresos espontaneos,2014-04-01,10,22,10,22,32
HUACAYA (VILLA DE HUACAYA),internaciones,2      ingresos espontaneos,2014-04-01,0,1,0,1,1
HUACHACALLA,internaciones,2      ingresos espontaneos,2014-04-01,1,3,1,3,4
HUANUNI,internaciones,2      ingresos espontaneos,2014-04-01,52,88,52,88,140
HUARACAJE,internaciones,2      ingresos espontaneos,2014-04-01,5,12,5,12,17
HUARINA,internaciones,2      ingresos espontaneos,2014-04-01,0,4,0,4,4
HUATAJATA,internaciones,2      ingresos espontaneos,2014-04-01,0,5,0,5,5
HUAYLLAMARCA,internaciones,2      ingresos espontaneos,2014-04-01,3,5,3,5,8
ICLA,internaciones,2      ingresos espontaneos,2014-04-01,1,6,1,6,7
INCAHUASI,internaciones,2      ingresos espontaneos,2014-04-01,0,11,0,11,11
IRUPANA (VILLA DE LANZA),internaciones,2      ingresos espontaneos,2014-04-01,11,23,11,23,34
JESUS DE MACHACA,internaciones,2      ingresos espontaneos,2014-04-01,2,8,2,8,10
LA ASUNTA,internaciones,2      ingresos espontaneos,2014-04-01,6,55,6,55,61
LA GUARDIA,internaciones,2      ingresos espontaneos,2014-04-01,49,87,49,87,136
LA PAZ,internaciones,2      ingresos espontaneos,2014-04-01,2566,5190,2566,5190,7756
LAGUNILLAS,internaciones,2      ingresos espontaneos,2014-04-01,4,16,4,16,20
LAJA,internaciones,2      ingresos espontaneos,2014-04-01,0,7,0,7,7
LAS CARRERAS,internaciones,2      ingresos espontaneos,2014-04-01,0,1,0,1,1
LLALLAGUA,internaciones,2      ingresos espontaneos,2014-04-01,40,141,40,141,181
LLICA,internaciones,2      ingresos espontaneos,2014-04-01,0,5,0,5,5
LURIBAY,internaciones,2      ingresos espontaneos,2014-04-01,0,1,0,1,1
MACHACAMARCA,internaciones,2      ingresos espontaneos,2014-04-01,0,4,0,4,4
MACHARETI,internaciones,2      ingresos espontaneos,2014-04-01,0,8,0,8,8
MAGDALENA,internaciones,2      ingresos espontaneos,2014-04-01,34,59,34,59,93
MAIRANA,internaciones,2      ingresos espontaneos,2014-04-01,7,48,7,48,55
MAPIRI,internaciones,2      ingresos espontaneos,2014-04-01,3,50,3,50,53
MECAPACA,internaciones,2      ingresos espontaneos,2014-04-01,0,3,0,3,3
MINEROS,internaciones,2      ingresos espontaneos,2014-04-01,3,10,3,10,13
MIZQUE,internaciones,2      ingresos espontaneos,2014-04-01,7,42,7,42,49
MOCOMOCO,internaciones,2      ingresos espontaneos,2014-04-01,0,3,0,3,3
MOJOCOYA,internaciones,2      ingresos espontaneos,2014-04-01,0,12,0,12,12
MONTEAGUDO,internaciones,2      ingresos espontaneos,2014-04-01,53,111,53,111,164
MONTERO,internaciones,2      ingresos espontaneos,2014-04-01,278,498,278,498,776
MORO MORO,internaciones,2      ingresos espontaneos,2014-04-01,0,2,0,2,2
MOROCHATA,internaciones,2      ingresos espontaneos,2014-04-01,2,2,2,2,4
NAZACARA DE PACAJES,internaciones,2      ingresos espontaneos,2014-04-01,0,1,0,1,1
OCURI,internaciones,2      ingresos espontaneos,2014-04-01,0,10,0,10,10
OKINAWA,internaciones,2      ingresos espontaneos,2014-04-01,5,23,5,23,28
OMEREQUE,internaciones,2      ingresos espontaneos,2014-04-01,4,8,4,8,12
ORURO,internaciones,2      ingresos espontaneos,2014-04-01,920,2119,920,2119,3039
PADILLA,internaciones,2      ingresos espontaneos,2014-04-01,29,40,29,40,69
PAILON,internaciones,2      ingresos espontaneos,2014-04-01,42,75,42,75,117
PALCA,internaciones,2      ingresos espontaneos,2014-04-01,0,4,0,4,4
PALOS BLANCOS,internaciones,2      ingresos espontaneos,2014-04-01,4,24,4,24,28
PAMPA GRANDE,internaciones,2      ingresos espontaneos,2014-04-01,5,23,5,23,28
PAPEL PAMPA,internaciones,2      ingresos espontaneos,2014-04-01,0,3,0,3,3
PASORAPA,internaciones,2      ingresos espontaneos,2014-04-01,4,5,4,5,9
PATACAMAYA,internaciones,2      ingresos espontaneos,2014-04-01,0,51,0,51,51
PAZÑA,internaciones,2      ingresos espontaneos,2014-04-01,0,2,0,2,2
PELECHUCO,internaciones,2      ingresos espontaneos,2014-04-01,0,2,0,2,2
POCOATA,internaciones,2      ingresos espontaneos,2014-04-01,0,10,0,10,10
POCONA,internaciones,2      ingresos espontaneos,2014-04-01,0,15,0,15,15
POJO (CBBA),internaciones,2      ingresos espontaneos,2014-04-01,2,7,2,7,9
POOPO,internaciones,2      ingresos espontaneos,2014-04-01,0,4,0,4,4
POROMA,internaciones,2      ingresos espontaneos,2014-04-01,1,5,1,5,6
PORONGO,internaciones,2      ingresos espontaneos,2014-04-01,0,2,0,2,2
