,group,variable,month,13. 4 FALLECIDOS ANTES DE LAS 48 HORAS CANTIDAD,13. 4 FALLECIDOS ANTES DE LAS 48 HORAS CANTIDAD,TOTALES,TOTALES,TOTALES
PUNATA,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,0,1,0,1,1
REYES,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,0,1,0,1,1
RIBERALTA,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,8,5,8,5,13
ROBORE,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,1,0,1,0,1
SAN BORJA,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,1,0,1,0,1
SAN CARLOS,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,0,1,0,1,1
SAN IGNACIO,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,2,1,2,1,3
SAN LUCAS,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,1,1,1,1,2
SANTA ANA,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,48,31,48,31,79
SORATA,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,1,1,1,1,2
SUCRE,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,16,3,16,3,19
TARABUCO,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,0,1,0,1,1
TARIJA,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,14,11,14,11,25
TIPUANI,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,2,1,2,1,3
TOMINA,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,1,0,1,0,1
TRINIDAD,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,8,7,8,7,15
TUPIZA,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,1,0,1,0,1
VIACHA,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,1,0,1,0,1
VILLA MONTES,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,1,0,1,0,1
VILLAZON,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,3,1,3,1,4
YACUIBA,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,2,0,2,0,2
YAPACANI,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,1,0,1,0,1
AIQUILE,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,1,0,1,0,1
BERMEJO,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,2,1,2,1,3
CAMIRI,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,1,2,1,2,3
CARMEN RIVERO TORREZ,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,1,0,1,0,1
CHALLAPATA,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,0,1,0,1,1
CHARAGUA,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,0,2,0,2,2
COBIJA,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,4,3,4,3,7
COCHABAMBA,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,29,31,29,31,60
COROICO,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,0,1,0,1,1
EL ALTO,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,8,11,8,11,19
EL TORNO,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,0,2,0,2,2
GUAYARAMERIN,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,3,4,3,4,7
HUARACAJE,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,0,1,0,1,1
LA PAZ,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,44,33,44,33,77
MAGDALENA,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,2,1,2,1,3
MONTEAGUDO,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,2,1,2,1,3
MONTERO,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,1,0,1,0,1
ORURO,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,5,7,5,7,12
PORTACHUELO,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,1,2,1,2,3
POTOSI,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,12,4,12,4,16
PUNATA,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,2,0,2,0,2
RIBERALTA,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,6,3,6,3,9
SAN BORJA,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,1,0,1,0,1
SAN BUENA VENTURA,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,1,0,1,0,1
SAN IGNACIO,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,0,2,0,2,2
SAN JOSE DE CHIQUITOS,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,1,0,1,0,1
SANTA ANA,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,64,41,64,41,105
SANTA ROSA,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,1,0,1,0,1
SUCRE,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,11,5,11,5,16
TARIJA,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,7,5,7,5,12
TRINIDAD,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,10,7,10,7,17
VALLEGRANDE,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,0,4,0,4,4
VILLA TUNARI,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,0,1,0,1,1
VILLAZON,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,1,1,1,1,2
VINTO,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,1,0,1,0,1
YACUIBA,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,2,4,2,4,6
YAPACANI,internaciones,4      fallecidos antes de las 48 horas,2014-08-01,2,0,2,0,2
ASCENCION DE GUARAYOS,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,1,0,1,0,1
BELLA FLOR,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,1,0,1,0,1
BERMEJO,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,2,1,2,1,3
CAMIRI,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,1,2,1,2,3
CHALLAPATA,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,1,0,1,0,1
COBIJA,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,89,4,89,4,93
COCHABAMBA,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,30,28,30,28,58
CONCEPCION,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,1,0,1,0,1
COROICO,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,1,1,1,1,2
EL ALTO,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,10,22,10,22,32
EL TORNO,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,0,1,0,1,1
FERNANDEZ ALONSO,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,1,0,1,0,1
GUAYARAMERIN,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,3,1,3,1,4
GUTIERREZ,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,0,1,0,1,1
HUACARETA,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),internaciones,4      fallecidos antes de las 48 horas,2014-09-01,1,0,1,0,1
IXIAMAS,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,1,0,1,0,1
LA PAZ,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,34,47,34,47,81
LLALLAGUA,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,2,0,2,0,2
MAGDALENA,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,0,1,0,1,1
MAPIRI,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,1,0,1,0,1
MONTERO,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,2,1,2,1,3
ORURO,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,7,6,7,6,13
POTOSI,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,6,7,6,7,13
PUERTO SILES,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,1,0,1,0,1
PUERTO SUAREZ,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,1,1,1,1,2
PUNATA,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,3,1,3,1,4
RIBERALTA,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,4,2,4,2,6
RURRENABAQUE,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,0,1,0,1,1
SAN BORJA,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,2,1,2,1,3
SAN BUENA VENTURA,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,1,0,1,0,1
SAN CARLOS,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,5,0,5,0,5
SAN JOSE DE CHIQUITOS,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,1,0,1,0,1
SAN MATIAS,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,1,0,1,0,1
SANTA ANA,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,38,25,38,25,63
SANTA ROSA DEL SARA,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,2,11,2,11,13
SORATA,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,0,1,0,1,1
SUCRE,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,9,7,9,7,16
TARIJA,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,4,7,4,7,11
TIPUANI,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,1,0,1,0,1
TRINIDAD,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,10,13,10,13,23
TUPIZA,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,0,1,0,1,1
VALLEGRANDE,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,0,1,0,1,1
VIACHA,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,1,0,1,0,1
VILLA MONTES,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,0,1,0,1,1
VILLA TUNARI,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,1,2,1,2,3
VILLAZON,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,3,1,3,1,4
VINTO,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,1,1,1,1,2
WARNES,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,1,0,1,0,1
YACUIBA,internaciones,4      fallecidos antes de las 48 horas,2014-09-01,5,4,5,4,9
AIQUILE,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,1,0,1,0,1
ASCENCION DE GUARAYOS,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,1,0,1,0,1
BERMEJO,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,4,2,4,2,6
BOYUIBE,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,1,0,1,0,1
CAMIRI,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,1,0,1,0,1
CARMEN RIVERO TORREZ,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,0,1,0,1,1
CHALLAPATA,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,1,1,1,1,2
CHARAGUA,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,4      fallecidos antes de las 48 horas,2014-10-01,1,0,1,0,1
COBIJA,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,4,2,4,2,6
COCHABAMBA,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,42,25,42,25,67
EL ALTO,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,8,8,8,8,16
EL TORNO,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,3,4,3,4,7
ESCOMA,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,1,0,1,0,1
GUAYARAMERIN,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,2,0,2,0,2
GUTIERREZ,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,0,2,0,2,2
LA GUARDIA,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,1,0,1,0,1
LA PAZ,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,30,33,30,33,63
LLALLAGUA,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,2,1,2,1,3
MONTEAGUDO,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,1,1,1,1,2
MONTERO,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,1,0,1,0,1
ORURO,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,9,5,9,5,14
POTOSI,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,8,9,8,9,17
RIBERALTA,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,7,4,7,4,11
RURRENABAQUE,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,2,0,2,0,2
SAN ANDRES,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,0,1,0,1,1
SAN BORJA,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,1,0,1,0,1
SAN BUENA VENTURA,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,0,2,0,2,2
SAN IGNACIO DE VELASCO,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,2,2,2,2,4
SAN JOSE DE CHIQUITOS,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,0,1,0,1,1
SAN RAFAEL,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,0,1,0,1,1
SANTA ANA,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,40,49,40,49,89
SORATA,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,1,0,1,0,1
SUCRE,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,12,8,12,8,20
TARIJA,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,11,11,11,11,22
TRINIDAD,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,8,4,8,4,12
TUPIZA,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,1,2,1,2,3
UYUNI,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,1,0,1,0,1
VALLEGRANDE,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,1,1,1,1,2
VILLA MONTES,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,2,1,2,1,3
VILLA TUNARI,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,2,0,2,0,2
VILLAZON,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,0,1,0,1,1
VINTO,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,1,0,1,0,1
YACUIBA,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,2,3,2,3,5
YAPACANI,internaciones,4      fallecidos antes de las 48 horas,2014-10-01,2,0,2,0,2
ASCENCION DE GUARAYOS,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,1,0,1,0,1
BERMEJO,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,1,1,1,1,2
CAMIRI,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,1,0,1,0,1
CARANAVI,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,1,0,1,0,1
CARAPARI,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,4      fallecidos antes de las 48 horas,2014-11-01,1,1,1,1,2
COBIJA,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,4,2,4,2,6
COCHABAMBA,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,28,12,28,12,40
COROICO,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,1,2,1,2,3
EL ALTO,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,9,5,9,5,14
EL TORNO,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,0,1,0,1,1
GUAYARAMERIN,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,0,2,0,2,2
ICLA,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,0,1,0,1,1
LA PAZ,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,31,34,31,34,65
LLALLAGUA,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,2,0,2,0,2
MAGDALENA,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,0,2,0,2,2
MONTEAGUDO,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,1,0,1,0,1
MONTERO,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,83,345,83,345,428
ORURO,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,9,8,9,8,17
PADILLA,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,0,1,0,1,1
PAMPA GRANDE,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,0,1,0,1,1
PORTACHUELO,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,0,1,0,1,1
POTOSI,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,9,3,9,3,12
PUERTO SUAREZ,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,3,1,3,1,4
PUNATA,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,3,1,3,1,4
RIBERALTA,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,5,1,5,1,6
SACABAMBA,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,0,1,0,1,1
SAN ANDRES,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,0,1,0,1,1
SAN BORJA,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,1,2,1,2,3
SAN BUENA VENTURA,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,0,1,0,1,1
SAN IGNACIO,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,1,1,1,1,2
SAN JOAQUIN,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,1,0,1,0,1
SAN LUCAS,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,30,32,30,32,62
SANTA ROSA,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,1,0,1,0,1
SUCRE,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,12,9,12,9,21
TACOPAYA,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,0,1,0,1,1
TARIJA,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,18,6,18,6,24
TRINIDAD,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,6,6,6,6,12
TUPIZA,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,1,1,1,1,2
UYUNI,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,1,0,1,0,1
VILLA TUNARI,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,0,3,0,3,3
VILLAZON,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,6,3,6,3,9
VINTO,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,1,0,1,0,1
YACUIBA,internaciones,4      fallecidos antes de las 48 horas,2014-11-01,1,2,1,2,3
ASCENCION DE GUARAYOS,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,1,0,1,0,1
BAURES,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,1,0,1,0,1
BERMEJO,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,0,1,0,1,1
BOYUIBE,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,1,0,1,0,1
CAMIRI,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,2,1,2,1,3
CARANAVI,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,1,0,1,0,1
CHARAGUA,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,1,0,1,0,1
COBIJA,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,7,1,7,1,8
COCHABAMBA,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,25,25,25,25,50
COROICO,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,0,1,0,1,1
EL ALTO,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,8,10,8,10,18
EL TORNO,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,1,0,1,0,1
ESCOMA,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,1,1,1,1,2
GUAYARAMERIN,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,2,0,2,0,2
IRUPANA (VILLA DE LANZA),internaciones,4      fallecidos antes de las 48 horas,2014-12-01,2,0,2,0,2
LA PAZ,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,31,27,31,27,58
LLALLAGUA,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,4,0,4,0,4
MAGDALENA,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,1,0,1,0,1
MONTEAGUDO,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,0,1,0,1,1
MONTERO,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,1,2,1,2,3
ORURO,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,17,19,17,19,36
PADILLA,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,0,1,0,1,1
POTOSI,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,3,10,3,10,13
PUERTO SUAREZ,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,2,1,2,1,3
PUNATA,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,0,1,0,1,1
RIBERALTA,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,5,3,5,3,8
SAN BORJA,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,0,5,0,5,5
SANTA CRUZ DE LA SIERRA,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,23,23,23,23,46
SORATA,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,0,1,0,1,1
SUCRE,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,14,9,14,9,23
TARABUCO,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,0,1,0,1,1
TARIJA,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,18,11,18,11,29
TRINIDAD,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,2,6,2,6,8
TUPIZA,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,0,1,0,1,1
UYUNI,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,1,0,1,0,1
VALLEGRANDE,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,0,2,0,2,2
VILLA MONTES,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,1,2,1,2,3
VILLA TUNARI,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,1,0,1,0,1
VILLAZON,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,1,1,1,1,2
VINTO,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,2,1,2,1,3
WARNES,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,0,1,0,1,1
YACUIBA,internaciones,4      fallecidos antes de las 48 horas,2014-12-01,7,4,7,4,11
