,group,variable,month,13. 5 FALLECIDOS A PARTIR DE LAS 48 HORAS CANTIDAD,13. 5 FALLECIDOS A PARTIR DE LAS 48 HORAS CANTIDAD,TOTALES,TOTALES,TOTALES
GUTIERREZ,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,1,0,1,0,1
LA PAZ,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,62,55,62,55,117
LLALLAGUA,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,0,3,0,3,3
MAIRANA,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,1,0,1,0,1
MAPIRI,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,0,1,0,1,1
MONTERO,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,5,3,5,3,8
ORURO,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,5,27,5,27,32
PORTACHUELO,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,1,1,1,1,2
POTOSI,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,15,14,15,14,29
REYES,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,0,1,0,1,1
RIBERALTA,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,3,4,3,4,7
RURRENABAQUE,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,1,0,1,0,1
SAN BORJA,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,1,1,1,1,2
SAN IGNACIO,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,2,0,2,0,2
SAN JULIAN,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,2,0,2,0,2
SANTA ANA,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,63,53,63,53,116
SUCRE,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,27,8,27,8,35
TARIJA,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,22,17,22,17,39
TRINIDAD,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,6,4,6,4,10
TUPIZA,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,10,3,10,3,13
UYUNI,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,1,1,1,1,2
VALLEGRANDE,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,1,0,1,0,1
VILLA MONTES,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,0,1,0,1,1
VILLAZON,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,0,1,0,1,1
WARNES,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,1,0,1,0,1
YACUIBA,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,3,2,3,2,5
ATOCHA,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,1,0,1,0,1
BERMEJO,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,2,0,2,0,2
CAMIRI,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,0,1,0,1,1
CARANAVI,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,1,0,1,0,1
CHARAGUA,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,0,1,0,1,1
COBIJA,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,0,3,0,3,3
COCHABAMBA,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,70,65,70,65,135
COROICO,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,2,1,2,1,3
EL ALTO,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,12,8,12,8,20
EL TORNO,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,1,1,1,1,2
GUAYARAMERIN,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,2,1,2,1,3
IRUPANA (VILLA DE LANZA),internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,1,0,1,0,1
JESUS DE MACHACA,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,0,1,0,1,1
LA PAZ,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,54,73,54,73,127
LLALLAGUA,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,1,0,1,0,1
MONTEAGUDO,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,2,0,2,0,2
MONTERO,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,2,0,2,0,2
ORURO,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,15,9,15,9,24
PATACAMAYA,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,1,0,1,0,1
POTOSI,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,16,5,16,5,21
PUERTO VILLARROEL,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,1,0,1,0,1
REYES,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,1,0,1,0,1
RIBERALTA,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,5,4,5,4,9
SAN BORJA,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,1,0,1,0,1
SAN CARLOS,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,1,0,1,0,1
SANTA ANA,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,73,72,73,72,145
SUCRE,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,14,23,14,23,37
TARIJA,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,15,19,15,19,34
TRINIDAD,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,6,7,6,7,13
TUPIZA,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,2,5,2,5,7
VILLA MONTES,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,2,1,2,1,3
VILLA TUNARI,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,1,2,1,2,3
VILLAZON,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,1,1,1,1,2
YACUIBA,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,1,2,1,2,3
YAPACANI,internaciones,5      fallecidos a partir de las 48 horas,2014-03-01,3,0,3,0,3
AIQUILE,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,1,0,1,0,1
CAMIRI,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,5,1,5,1,6
CHARAGUA,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,1,0,1,0,1
COBIJA,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,1,5,1,5,6
COCHABAMBA,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,57,44,57,44,101
COROICO,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,0,2,0,2,2
EL ALTO,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,10,6,10,6,16
EL TORNO,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,0,2,0,2,2
GUAYARAMERIN,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,0,3,0,3,3
LA PAZ,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,62,61,62,61,123
MOJOCOYA,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,0,1,0,1,1
MONTERO,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,2,3,2,3,5
ORURO,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,5,15,5,15,20
PORTACHUELO,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,1,1,1,1,2
POTOSI,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,7,5,7,5,12
PUERTO QUIJARRO,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,0,1,0,1,1
PUERTO VILLARROEL,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,1,0,1,0,1
REYES,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,1,1,1,1,2
RIBERALTA,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,3,3,3,3,6
SAN BORJA,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,4,0,4,0,4
SANTA CRUZ DE LA SIERRA,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,87,78,87,78,165
SUCRE,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,38,9,38,9,47
TARIJA,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,21,9,21,9,30
TRINIDAD,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,4,3,4,3,7
TUPIZA,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,2,3,2,3,5
UYUNI,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,1,0,1,0,1
VALLEGRANDE,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,1,0,1,0,1
VILLA MONTES,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,1,1,1,1,2
VILLA TUNARI,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,0,2,0,2,2
YACUIBA,internaciones,5      fallecidos a partir de las 48 horas,2014-04-01,2,2,2,2,4
BAURES,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,0,1,0,1,1
CAMIRI,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,3,0,3,0,3
CARANAVI,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,1,0,1,0,1
CHARAGUA,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,0,1,0,1,1
COBIJA,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,2,0,2,0,2
COCHABAMBA,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,50,63,50,63,113
COROICO,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,1,0,1,0,1
EL ALTO,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,11,5,11,5,16
EL TORNO,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,3,0,3,0,3
GUAYARAMERIN,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,1,2,1,2,3
JESUS DE MACHACA,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,1,0,1,0,1
LA PAZ,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,64,63,64,63,127
LLALLAGUA,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,0,2,0,2,2
MONTEAGUDO,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,1,0,1,0,1
MONTERO,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,2,10,2,10,12
OCURI,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,0,1,0,1,1
ORURO,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,4,25,4,25,29
PADILLA,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,1,0,1,0,1
PORTACHUELO,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,2,0,2,0,2
POTOSI,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,10,15,10,15,25
PUNATA,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,0,1,0,1,1
RIBERALTA,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,3,3,3,3,6
ROBORE,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,1,0,1,0,1
RURRENABAQUE,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,0,1,0,1,1
SAN BORJA,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,1,0,1,0,1
SAN IGNACIO,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,1,3,1,3,4
SAN JAVIER(STC),internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,0,2,0,2,2
SANTA ANA,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,77,81,77,81,158
SUCRE,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,33,10,33,10,43
TARIJA,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,8,14,8,14,22
TRINIDAD,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,6,4,6,4,10
TUPIZA,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,0,1,0,1,1
UNCIA,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,0,1,0,1,1
UYUNI,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,0,1,0,1,1
VALLEGRANDE,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,1,1,1,1,2
VILLA MONTES,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,1,2,1,2,3
VILLA TUNARI,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,1,0,1,0,1
VINTO,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,1,0,1,0,1
WARNES,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,0,2,0,2,2
YACUIBA,internaciones,5      fallecidos a partir de las 48 horas,2014-05-01,2,2,2,2,4
BERMEJO,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,1,1,1,1,2
CAMIRI,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,3,0,3,0,3
CARANAVI,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,1,1,1,1,2
CHARAGUA,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,1,0,1,0,1
COBIJA,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,0,4,0,4,4
COCHABAMBA,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,44,49,44,49,93
COROICO,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,0,1,0,1,1
EL ALTO,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,5,11,5,11,16
EL TORNO,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,2,0,2,0,2
GUAYARAMERIN,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,4,1,4,1,5
LA PAZ,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,85,80,85,80,165
LLALLAGUA,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,0,1,0,1,1
MONTEAGUDO,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,2,0,2,0,2
MONTERO,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,4,2,4,2,6
ORURO,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,3,26,3,26,29
PORTACHUELO,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,1,0,1,0,1
POTOSI,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,11,11,11,11,22
PUERTO QUIJARRO,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,1,0,1,0,1
PUERTO VILLARROEL,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,1,1,1,1,2
PUNATA,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,1,1,1,1,2
RIBERALTA,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,1,2,1,2,3
RURRENABAQUE,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,1,2,1,2,3
SAN JOSE DE CHIQUITOS,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,0,2,0,2,2
SAN JUAN DE YAPACANI,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,1,0,1,0,1
SAN JULIAN,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,1,0,1,0,1
SANTA ANA,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,90,64,90,64,154
SUCRE,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,22,10,22,10,32
TARABUCO,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,0,1,0,1,1
TARIJA,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,19,12,19,12,31
TIPUANI,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,1,0,1,0,1
TRINIDAD,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,8,6,8,6,14
UYUNI,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,1,1,1,1,2
VALLEGRANDE,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,0,1,0,1,1
VILLA MONTES,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,1,0,1,0,1
VILLAZON,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,0,1,0,1,1
VINTO,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,1,0,1,0,1
WARNES,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,1,1,1,1,2
YACUIBA,internaciones,5      fallecidos a partir de las 48 horas,2014-06-01,2,1,2,1,3
BERMEJO,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,1,0,1,0,1
CAMIRI,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,0,2,0,2,2
COBIJA,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,1,1,1,1,2
COCHABAMBA,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,73,62,73,62,135
COLQUIRI,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,0,3,0,3,3
COROICO,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,0,2,0,2,2
EL ALTO,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,11,10,11,10,21
EL TORNO,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,0,1,0,1,1
GUAYARAMERIN,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,3,2,3,2,5
IRUPANA (VILLA DE LANZA),internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,1,0,1,0,1
LA PAZ,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,85,83,85,83,168
LLALLAGUA,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,2,1,2,1,3
MONTEAGUDO,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,1,2,1,2,3
ORURO,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,27,14,27,14,41
PATACAMAYA,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,0,1,0,1,1
POTOSI,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,14,6,14,6,20
PUERTO SUAREZ,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,0,1,0,1,1
PUERTO VILLARROEL,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,1,0,1,0,1
PUNATA,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,2,0,2,0,2
RIBERALTA,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,3,1,3,1,4
RURRENABAQUE,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,1,0,1,0,1
SAN BORJA,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,0,1,0,1,1
SAN JUAN DE YAPACANI,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,1,0,1,0,1
SAN LUCAS,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,1,0,1,0,1
SANTA ANA,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,65,65,65,65,130
SUCRE,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,25,10,25,10,35
TARIJA,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,22,20,22,20,42
TRINIDAD,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,13,9,13,9,22
TUPIZA,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,0,2,0,2,2
UNCIA,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,4,1,4,1,5
UYUNI,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,1,0,1,0,1
VALLEGRANDE,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,1,0,1,0,1
VILLA MONTES,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,0,1,0,1,1
VILLAZON,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,3,2,3,2,5
VINTO,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,0,1,0,1,1
YACUIBA,internaciones,5      fallecidos a partir de las 48 horas,2014-07-01,4,2,4,2,6
ASCENCION DE GUARAYOS,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,2,0,2,0,2
BAURES,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,0,2,0,2,2
BERMEJO,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,1,1,1,1,2
CAMARGO,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,0,2,0,2,2
CAMIRI,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,1,0,1,0,1
COBIJA,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,4,0,4,0,4
COCHABAMBA,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,64,59,64,59,123
COROICO,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,0,1,0,1,1
EL ALTO,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,7,8,7,8,15
EL TORNO,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,0,2,0,2,2
GUAYARAMERIN,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,4,1,4,1,5
HUANUNI,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,2,0,2,0,2
LA PAZ,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,77,82,77,82,159
LLALLAGUA,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,2,2,2,2,4
MAGDALENA,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,1,0,1,0,1
MONTERO,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,5,3,5,3,8
ORURO,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,4,31,4,31,35
PORTACHUELO,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,0,1,0,1,1
POTOSI,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,7,8,7,8,15
PUNATA,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,1,2,1,2,3
RIBERALTA,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,4,5,4,5,9
RURRENABAQUE,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,0,1,0,1,1
SACABA,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,0,1,0,1,1
SAN BUENA VENTURA,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,1,0,1,0,1
SAN IGNACIO,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,1,1,1,1,2
SAN JOSE DE CHIQUITOS,internaciones,5      fallecidos a partir de las 48 horas,2014-08-01,2,0,2,0,2
