,group,variable,month,13. 6 RETORNADOS CANTIDAD,13. 6 RETORNADOS CANTIDAD,TOTALES,TOTALES,TOTALES
VILLA TUNARI,internaciones,6      retornados,2014-02-01,0,3,0,3,3
WARNES,internaciones,6      retornados,2014-02-01,1,1,1,1,2
YACUIBA,internaciones,6      retornados,2014-02-01,1,5,1,5,6
YAPACANI,internaciones,6      retornados,2014-02-01,2,1,2,1,3
ZUDAÑEZ,internaciones,6      retornados,2014-02-01,1,2,1,2,3
ASCENCION DE GUARAYOS,internaciones,6      retornados,2014-03-01,0,2,0,2,2
BELEN DE ANDAMARCA,internaciones,6      retornados,2014-03-01,0,1,0,1,1
BERMEJO,internaciones,6      retornados,2014-03-01,7,4,7,4,11
COBIJA,internaciones,6      retornados,2014-03-01,2,190,2,190,192
COCHABAMBA,internaciones,6      retornados,2014-03-01,6,190,6,190,196
COMARAPA,internaciones,6      retornados,2014-03-01,0,1,0,1,1
CONCEPCION,internaciones,6      retornados,2014-03-01,0,1,0,1,1
EL ALTO,internaciones,6      retornados,2014-03-01,6,93,6,93,99
EL PUENTE(STC),internaciones,6      retornados,2014-03-01,1,0,1,0,1
LA PAZ,internaciones,6      retornados,2014-03-01,19,17,19,17,36
MAGDALENA,internaciones,6      retornados,2014-03-01,0,1,0,1,1
MONTEAGUDO,internaciones,6      retornados,2014-03-01,1,0,1,0,1
MONTERO,internaciones,6      retornados,2014-03-01,0,228,0,228,228
ORURO,internaciones,6      retornados,2014-03-01,3,2,3,2,5
PORTACHUELO,internaciones,6      retornados,2014-03-01,0,1,0,1,1
POTOSI,internaciones,6      retornados,2014-03-01,5,5,5,5,10
PUERTO GONZALO MORENO,internaciones,6      retornados,2014-03-01,0,1,0,1,1
PUERTO RICO,internaciones,6      retornados,2014-03-01,0,1,0,1,1
RIBERALTA,internaciones,6      retornados,2014-03-01,72,329,72,329,401
SAN BORJA,internaciones,6      retornados,2014-03-01,1,2,1,2,3
SAN IGNACIO DE VELASCO,internaciones,6      retornados,2014-03-01,1,1,1,1,2
SAN JOSE DE CHIQUITOS,internaciones,6      retornados,2014-03-01,0,1,0,1,1
SAN JUAN DE YAPACANI,internaciones,6      retornados,2014-03-01,0,1,0,1,1
SAN JULIAN,internaciones,6      retornados,2014-03-01,5,25,5,25,30
SAN LUCAS,internaciones,6      retornados,2014-03-01,6,16,6,16,22
SANTA CRUZ DE LA SIERRA,internaciones,6      retornados,2014-03-01,16,17,16,17,33
SUCRE,internaciones,6      retornados,2014-03-01,3,112,3,112,115
TARABUCO,internaciones,6      retornados,2014-03-01,0,9,0,9,9
TARIJA,internaciones,6      retornados,2014-03-01,0,2,0,2,2
TUPIZA,internaciones,6      retornados,2014-03-01,5,6,5,6,11
VALLEGRANDE,internaciones,6      retornados,2014-03-01,0,1,0,1,1
VILLA TUNARI,internaciones,6      retornados,2014-03-01,0,3,0,3,3
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,6      retornados,2014-03-01,6,14,6,14,20
VINTO,internaciones,6      retornados,2014-03-01,0,1,0,1,1
WARNES,internaciones,6      retornados,2014-03-01,2,0,2,0,2
YACUIBA,internaciones,6      retornados,2014-03-01,2,6,2,6,8
ZUDAÑEZ,internaciones,6      retornados,2014-03-01,1,1,1,1,2
ASCENCION DE GUARAYOS,internaciones,6      retornados,2014-04-01,3,1,3,1,4
ATOCHA,internaciones,6      retornados,2014-04-01,1,0,1,0,1
AZURDUY,internaciones,6      retornados,2014-04-01,2,8,2,8,10
BERMEJO,internaciones,6      retornados,2014-04-01,2,4,2,4,6
CHULUMANI (V. DE LA LIBERTAD),internaciones,6      retornados,2014-04-01,0,1,0,1,1
COBIJA,internaciones,6      retornados,2014-04-01,3,160,3,160,163
COCHABAMBA,internaciones,6      retornados,2014-04-01,1,180,1,180,181
CUATRO CAÑADAS,internaciones,6      retornados,2014-04-01,3,3,3,3,6
EL ALTO,internaciones,6      retornados,2014-04-01,103,103,103,103,206
FERNANDEZ ALONSO,internaciones,6      retornados,2014-04-01,0,1,0,1,1
GUAQUI,internaciones,6      retornados,2014-04-01,0,1,0,1,1
LA PAZ,internaciones,6      retornados,2014-04-01,2,5,2,5,7
LAS CARRERAS,internaciones,6      retornados,2014-04-01,0,1,0,1,1
MACHARETI,internaciones,6      retornados,2014-04-01,2,0,2,0,2
MONTEAGUDO,internaciones,6      retornados,2014-04-01,2,1,2,1,3
MONTERO,internaciones,6      retornados,2014-04-01,0,222,0,222,222
POTOSI,internaciones,6      retornados,2014-04-01,2,5,2,5,7
PRESTO,internaciones,6      retornados,2014-04-01,0,1,0,1,1
RIBERALTA,internaciones,6      retornados,2014-04-01,3,112,3,112,115
SAN BORJA,internaciones,6      retornados,2014-04-01,0,2,0,2,2
SAN JULIAN,internaciones,6      retornados,2014-04-01,10,21,10,21,31
SAN LUCAS,internaciones,6      retornados,2014-04-01,16,43,16,43,59
SAN MATIAS,internaciones,6      retornados,2014-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,6      retornados,2014-04-01,55,48,55,48,103
SANTA ROSA DEL SARA,internaciones,6      retornados,2014-04-01,0,1,0,1,1
SUCRE,internaciones,6      retornados,2014-04-01,3,116,3,116,119
TARABUCO,internaciones,6      retornados,2014-04-01,0,5,0,5,5
TARIJA,internaciones,6      retornados,2014-04-01,1,0,1,0,1
TARVITA,internaciones,6      retornados,2014-04-01,2,1,2,1,3
TRINIDAD,internaciones,6      retornados,2014-04-01,1,0,1,0,1
VALLEGRANDE,internaciones,6      retornados,2014-04-01,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,6      retornados,2014-04-01,4,6,4,6,10
YACUIBA,internaciones,6      retornados,2014-04-01,1,9,1,9,10
ASCENCION DE GUARAYOS,internaciones,6      retornados,2014-05-01,2,1,2,1,3
BERMEJO,internaciones,6      retornados,2014-05-01,3,0,3,0,3
BOYUIBE,internaciones,6      retornados,2014-05-01,0,1,0,1,1
CARMEN RIVERO TORREZ,internaciones,6      retornados,2014-05-01,1,1,1,1,2
CLIZA,internaciones,6      retornados,2014-05-01,0,2,0,2,2
COBIJA,internaciones,6      retornados,2014-05-01,5,0,5,0,5
COCHABAMBA,internaciones,6      retornados,2014-05-01,6,217,6,217,223
EL ALTO,internaciones,6      retornados,2014-05-01,13,161,13,161,174
IXIAMAS,internaciones,6      retornados,2014-05-01,1,0,1,0,1
LA ASUNTA,internaciones,6      retornados,2014-05-01,0,6,0,6,6
LA PAZ,internaciones,6      retornados,2014-05-01,4,12,4,12,16
MAIRANA,internaciones,6      retornados,2014-05-01,0,1,0,1,1
MONTERO,internaciones,6      retornados,2014-05-01,9,216,9,216,225
ORURO,internaciones,6      retornados,2014-05-01,0,13,0,13,13
POCONA,internaciones,6      retornados,2014-05-01,0,3,0,3,3
PUERTO QUIJARRO,internaciones,6      retornados,2014-05-01,1,0,1,0,1
PUNATA,internaciones,6      retornados,2014-05-01,28,86,28,86,114
RIBERALTA,internaciones,6      retornados,2014-05-01,3,121,3,121,124
SAN BORJA,internaciones,6      retornados,2014-05-01,1,3,1,3,4
SAN CARLOS,internaciones,6      retornados,2014-05-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,internaciones,6      retornados,2014-05-01,1,0,1,0,1
SAN LUCAS,internaciones,6      retornados,2014-05-01,9,45,9,45,54
SAN MATIAS,internaciones,6      retornados,2014-05-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,6      retornados,2014-05-01,48,372,48,372,420
SORATA,internaciones,6      retornados,2014-05-01,0,1,0,1,1
SUCRE,internaciones,6      retornados,2014-05-01,0,66,0,66,66
TARABUCO,internaciones,6      retornados,2014-05-01,2,14,2,14,16
TARIJA,internaciones,6      retornados,2014-05-01,14,5,14,5,19
TIPUANI,internaciones,6      retornados,2014-05-01,0,1,0,1,1
VALLEGRANDE,internaciones,6      retornados,2014-05-01,0,5,0,5,5
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,6      retornados,2014-05-01,0,1,0,1,1
YACUIBA,internaciones,6      retornados,2014-05-01,2,7,2,7,9
YAPACANI,internaciones,6      retornados,2014-05-01,2,0,2,0,2
ZUDAÑEZ,internaciones,6      retornados,2014-05-01,1,1,1,1,2
ARBIETO,internaciones,6      retornados,2014-06-01,0,9,0,9,9
ASCENCION DE GUARAYOS,internaciones,6      retornados,2014-06-01,7,5,7,5,12
BERMEJO,internaciones,6      retornados,2014-06-01,4,6,4,6,10
BOYUIBE,internaciones,6      retornados,2014-06-01,0,1,0,1,1
COBIJA,internaciones,6      retornados,2014-06-01,8,144,8,144,152
COCHABAMBA,internaciones,6      retornados,2014-06-01,5,178,5,178,183
CORQUE,internaciones,6      retornados,2014-06-01,1,0,1,0,1
CUATRO CAÑADAS,internaciones,6      retornados,2014-06-01,0,3,0,3,3
CULPINA,internaciones,6      retornados,2014-06-01,0,2,0,2,2
EL ALTO,internaciones,6      retornados,2014-06-01,25,185,25,185,210
INCAHUASI,internaciones,6      retornados,2014-06-01,1,0,1,0,1
LA PAZ,internaciones,6      retornados,2014-06-01,10,13,10,13,23
MAIRANA,internaciones,6      retornados,2014-06-01,0,1,0,1,1
MOJOCOYA,internaciones,6      retornados,2014-06-01,0,1,0,1,1
MONTERO,internaciones,6      retornados,2014-06-01,27,301,27,301,328
ORURO,internaciones,6      retornados,2014-06-01,1,1,1,1,2
RIBERALTA,internaciones,6      retornados,2014-06-01,6,79,6,79,85
SAN JOSE DE CHIQUITOS,internaciones,6      retornados,2014-06-01,0,1,0,1,1
SAN JUAN DE YAPACANI,internaciones,6      retornados,2014-06-01,1,0,1,0,1
SAN JULIAN,internaciones,6      retornados,2014-06-01,3,15,3,15,18
SAN LUCAS,internaciones,6      retornados,2014-06-01,18,29,18,29,47
SANTA CRUZ DE LA SIERRA,internaciones,6      retornados,2014-06-01,85,426,85,426,511
SUCRE,internaciones,6      retornados,2014-06-01,7,115,7,115,122
TRINIDAD,internaciones,6      retornados,2014-06-01,1,0,1,0,1
TUPIZA,internaciones,6      retornados,2014-06-01,2,2,2,2,4
VALLEGRANDE,internaciones,6      retornados,2014-06-01,3,4,3,4,7
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,6      retornados,2014-06-01,3,14,3,14,17
YACUIBA,internaciones,6      retornados,2014-06-01,3,8,3,8,11
YAPACANI,internaciones,6      retornados,2014-06-01,2,4,2,4,6
ZUDAÑEZ,internaciones,6      retornados,2014-06-01,0,2,0,2,2
ACHACACHI,internaciones,6      retornados,2014-07-01,0,1,0,1,1
ANZALDO,internaciones,6      retornados,2014-07-01,0,1,0,1,1
ARBIETO,internaciones,6      retornados,2014-07-01,0,4,0,4,4
ASCENCION DE GUARAYOS,internaciones,6      retornados,2014-07-01,10,5,10,5,15
BERMEJO,internaciones,6      retornados,2014-07-01,4,3,4,3,7
BOYUIBE,internaciones,6      retornados,2014-07-01,0,1,0,1,1
CABEZAS,internaciones,6      retornados,2014-07-01,1,0,1,0,1
CHAQUI,internaciones,6      retornados,2014-07-01,0,3,0,3,3
CHARAGUA,internaciones,6      retornados,2014-07-01,1,1,1,1,2
COBIJA,internaciones,6      retornados,2014-07-01,12,191,12,191,203
COCHABAMBA,internaciones,6      retornados,2014-07-01,3,194,3,194,197
COLQUIRI,internaciones,6      retornados,2014-07-01,0,3,0,3,3
COMARAPA,internaciones,6      retornados,2014-07-01,1,1,1,1,2
CONCEPCION,internaciones,6      retornados,2014-07-01,0,1,0,1,1
CUATRO CAÑADAS,internaciones,6      retornados,2014-07-01,1,3,1,3,4
EL ALTO,internaciones,6      retornados,2014-07-01,20,157,20,157,177
IXIAMAS,internaciones,6      retornados,2014-07-01,0,1,0,1,1
LA PAZ,internaciones,6      retornados,2014-07-01,4,11,4,11,15
MOJOCOYA,internaciones,6      retornados,2014-07-01,0,1,0,1,1
ORURO,internaciones,6      retornados,2014-07-01,6,5,6,5,11
POCONA,internaciones,6      retornados,2014-07-01,0,2,0,2,2
PORVENIR,internaciones,6      retornados,2014-07-01,1,2,1,2,3
RIBERALTA,internaciones,6      retornados,2014-07-01,4,112,4,112,116
SAMAIPATA,internaciones,6      retornados,2014-07-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,6      retornados,2014-07-01,1,1,1,1,2
SAN JULIAN,internaciones,6      retornados,2014-07-01,6,8,6,8,14
SAN LUCAS,internaciones,6      retornados,2014-07-01,2,17,2,17,19
SANTA CRUZ DE LA SIERRA,internaciones,6      retornados,2014-07-01,12,485,12,485,497
SOPACHUY,internaciones,6      retornados,2014-07-01,0,1,0,1,1
SORATA,internaciones,6      retornados,2014-07-01,0,12,0,12,12
SUCRE,internaciones,6      retornados,2014-07-01,10,98,10,98,108
TARABUCO,internaciones,6      retornados,2014-07-01,0,3,0,3,3
TIPUANI,internaciones,6      retornados,2014-07-01,1,0,1,0,1
TUPIZA,internaciones,6      retornados,2014-07-01,52,0,52,0,52
VALLEGRANDE,internaciones,6      retornados,2014-07-01,1,3,1,3,4
VIACHA,internaciones,6      retornados,2014-07-01,1,1,1,1,2
VILLA TUNARI,internaciones,6      retornados,2014-07-01,0,1,0,1,1
YACUIBA,internaciones,6      retornados,2014-07-01,0,11,0,11,11
YAPACANI,internaciones,6      retornados,2014-07-01,0,1,0,1,1
ANTEQUERA,internaciones,6      retornados,2014-08-01,0,2,0,2,2
ASCENCION DE GUARAYOS,internaciones,6      retornados,2014-08-01,4,25,4,25,29
BERMEJO,internaciones,6      retornados,2014-08-01,6,3,6,3,9
COBIJA,internaciones,6      retornados,2014-08-01,13,181,13,181,194
COCHABAMBA,internaciones,6      retornados,2014-08-01,4,202,4,202,206
EL ALTO,internaciones,6      retornados,2014-08-01,16,154,16,154,170
FERNANDEZ ALONSO,internaciones,6      retornados,2014-08-01,0,1,0,1,1
HUANUNI,internaciones,6      retornados,2014-08-01,0,1,0,1,1
HUMANATA,internaciones,6      retornados,2014-08-01,0,1,0,1,1
LA PAZ,internaciones,6      retornados,2014-08-01,23,67,23,67,90
MACHARETI,internaciones,6      retornados,2014-08-01,2,0,2,0,2
MONTERO,internaciones,6      retornados,2014-08-01,76,189,76,189,265
ORURO,internaciones,6      retornados,2014-08-01,0,6,0,6,6
RIBERALTA,internaciones,6      retornados,2014-08-01,5,96,5,96,101
SACABA,internaciones,6      retornados,2014-08-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,6      retornados,2014-08-01,1,1,1,1,2
SAN JUAN DE YAPACANI,internaciones,6      retornados,2014-08-01,1,0,1,0,1
SAN JULIAN,internaciones,6      retornados,2014-08-01,10,13,10,13,23
SAN LUCAS,internaciones,6      retornados,2014-08-01,0,15,0,15,15
SAN PEDRO,internaciones,6      retornados,2014-08-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,internaciones,6      retornados,2014-08-01,602,802,602,802,1404
SORATA,internaciones,6      retornados,2014-08-01,0,5,0,5,5
SUCRE,internaciones,6      retornados,2014-08-01,0,101,0,101,101
TARIJA,internaciones,6      retornados,2014-08-01,1,0,1,0,1
TRINIDAD,internaciones,6      retornados,2014-08-01,1,0,1,0,1
TUPIZA,internaciones,6      retornados,2014-08-01,56,0,56,0,56
VALLEGRANDE,internaciones,6      retornados,2014-08-01,0,2,0,2,2
VIACHA,internaciones,6      retornados,2014-08-01,1,1,1,1,2
VILLA CHARCAS,internaciones,6      retornados,2014-08-01,0,5,0,5,5
WARNES,internaciones,6      retornados,2014-08-01,0,1,0,1,1
YACUIBA,internaciones,6      retornados,2014-08-01,1,12,1,12,13
ZUDAÑEZ,internaciones,6      retornados,2014-08-01,0,1,0,1,1
ALCALA,internaciones,6      retornados,2014-09-01,0,8,0,8,8
ASCENCION DE GUARAYOS,internaciones,6      retornados,2014-09-01,2,9,2,9,11
COBIJA,internaciones,6      retornados,2014-09-01,8,180,8,180,188
COCHABAMBA,internaciones,6      retornados,2014-09-01,2,196,2,196,198
COMARAPA,internaciones,6      retornados,2014-09-01,0,5,0,5,5
COROICO,internaciones,6      retornados,2014-09-01,1,7,1,7,8
CUATRO CAÑADAS,internaciones,6      retornados,2014-09-01,1,1,1,1,2
EL ALTO,internaciones,6      retornados,2014-09-01,15,142,15,142,157
HUANUNI,internaciones,6      retornados,2014-09-01,0,1,0,1,1
LA PAZ,internaciones,6      retornados,2014-09-01,25,64,25,64,89
MONTERO,internaciones,6      retornados,2014-09-01,51,336,51,336,387
ORURO,internaciones,6      retornados,2014-09-01,1,2,1,2,3
POTOSI,internaciones,6      retornados,2014-09-01,0,1,0,1,1
PUERTO SUAREZ,internaciones,6      retornados,2014-09-01,1,0,1,0,1
PUERTO VILLARROEL,internaciones,6      retornados,2014-09-01,0,1,0,1,1
PUNATA,internaciones,6      retornados,2014-09-01,23,91,23,91,114
RIBERALTA,internaciones,6      retornados,2014-09-01,10,98,10,98,108
SAMAIPATA,internaciones,6      retornados,2014-09-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,6      retornados,2014-09-01,1,1,1,1,2
SAN JUAN DE YAPACANI,internaciones,6      retornados,2014-09-01,1,0,1,0,1
SAN JULIAN,internaciones,6      retornados,2014-09-01,6,6,6,6,12
SAN LUCAS,internaciones,6      retornados,2014-09-01,1,3,1,3,4
SAN MATIAS,internaciones,6      retornados,2014-09-01,1,3,1,3,4
SAN PEDRO,internaciones,6      retornados,2014-09-01,0,2,0,2,2
SAN RAFAEL,internaciones,6      retornados,2014-09-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,6      retornados,2014-09-01,535,900,535,900,1435
SORATA,internaciones,6      retornados,2014-09-01,2,3,2,3,5
SUCRE,internaciones,6      retornados,2014-09-01,123,115,123,115,238
TACOPAYA,internaciones,6      retornados,2014-09-01,0,2,0,2,2
TARABUCO,internaciones,6      retornados,2014-09-01,1,8,1,8,9
TUPIZA,internaciones,6      retornados,2014-09-01,0,50,0,50,50
VIACHA,internaciones,6      retornados,2014-09-01,1,1,1,1,2
YACUIBA,internaciones,6      retornados,2014-09-01,2,11,2,11,13
ASCENCION DE GUARAYOS,internaciones,6      retornados,2014-10-01,4,25,4,25,29
BERMEJO,internaciones,6      retornados,2014-10-01,2,1,2,1,3
BUENA VISTA,internaciones,6      retornados,2014-10-01,0,1,0,1,1
CHALLAPATA,internaciones,6      retornados,2014-10-01,1,0,1,0,1
CLIZA,internaciones,6      retornados,2014-10-01,0,13,0,13,13
COBIJA,internaciones,6      retornados,2014-10-01,4,170,4,170,174
COCHABAMBA,internaciones,6      retornados,2014-10-01,7,210,7,210,217
CONCEPCION,internaciones,6      retornados,2014-10-01,0,1,0,1,1
COROICO,internaciones,6      retornados,2014-10-01,5,7,5,7,12
EL ALTO,internaciones,6      retornados,2014-10-01,17,181,17,181,198
EL PUENTE(STC),internaciones,6      retornados,2014-10-01,1,2,1,2,3
EL TORNO,internaciones,6      retornados,2014-10-01,4,5,4,5,9
HUACARETA,internaciones,6      retornados,2014-10-01,0,2,0,2,2
INCAHUASI,internaciones,6      retornados,2014-10-01,0,1,0,1,1
LA ASUNTA,internaciones,6      retornados,2014-10-01,1,2,1,2,3
LA PAZ,internaciones,6      retornados,2014-10-01,33,28,33,28,61
LAS CARRERAS,internaciones,6      retornados,2014-10-01,0,1,0,1,1
MONTEAGUDO,internaciones,6      retornados,2014-10-01,2,12,2,12,14
MONTERO,internaciones,6      retornados,2014-10-01,54,345,54,345,399
PADILLA,internaciones,6      retornados,2014-10-01,10,24,10,24,34
PORVENIR,internaciones,6      retornados,2014-10-01,2,0,2,0,2
PUNATA,internaciones,6      retornados,2014-10-01,37,80,37,80,117
RIBERALTA,internaciones,6      retornados,2014-10-01,9,146,9,146,155
SAN BORJA,internaciones,6      retornados,2014-10-01,8,4,8,4,12
SAN LUCAS,internaciones,6      retornados,2014-10-01,0,1,0,1,1
SAN RAFAEL,internaciones,6      retornados,2014-10-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,6      retornados,2014-10-01,28,7,28,7,35
SOPACHUY,internaciones,6      retornados,2014-10-01,0,1,0,1,1
SUCRE,internaciones,6      retornados,2014-10-01,157,141,157,141,298
TOLATA,internaciones,6      retornados,2014-10-01,1,0,1,0,1
TRINIDAD,internaciones,6      retornados,2014-10-01,0,1,0,1,1
TUPIZA,internaciones,6      retornados,2014-10-01,44,0,44,0,44
VILLA CHARCAS,internaciones,6      retornados,2014-10-01,0,6,0,6,6
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,6      retornados,2014-10-01,0,1,0,1,1
VILLAZON,internaciones,6      retornados,2014-10-01,1,0,1,0,1
YACUIBA,internaciones,6      retornados,2014-10-01,61,4,61,4,65
YAMPARAEZ,internaciones,6      retornados,2014-10-01,0,1,0,1,1
ZUDAÑEZ,internaciones,6      retornados,2014-10-01,0,1,0,1,1
ANTEQUERA,internaciones,6      retornados,2014-11-01,0,1,0,1,1
ARBIETO,internaciones,6      retornados,2014-11-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,6      retornados,2014-11-01,9,10,9,10,19
ATOCHA,internaciones,6      retornados,2014-11-01,1,0,1,0,1
BERMEJO,internaciones,6      retornados,2014-11-01,11,0,11,0,11
CALAMARCA,internaciones,6      retornados,2014-11-01,0,1,0,1,1
CAMARGO,internaciones,6      retornados,2014-11-01,5,17,5,17,22
CLIZA,internaciones,6      retornados,2014-11-01,0,13,0,13,13
COBIJA,internaciones,6      retornados,2014-11-01,4,175,4,175,179
COCHABAMBA,internaciones,6      retornados,2014-11-01,15,172,15,172,187
CONCEPCION,internaciones,6      retornados,2014-11-01,1,2,1,2,3
COROICO,internaciones,6      retornados,2014-11-01,9,11,9,11,20
CUATRO CAÑADAS,internaciones,6      retornados,2014-11-01,1,0,1,0,1
EL ALTO,internaciones,6      retornados,2014-11-01,28,162,28,162,190
EL VILLAR,internaciones,6      retornados,2014-11-01,0,1,0,1,1
FERNANDEZ ALONSO,internaciones,6      retornados,2014-11-01,0,1,0,1,1
HUACARETA,internaciones,6      retornados,2014-11-01,1,1,1,1,2
LA PAZ,internaciones,6      retornados,2014-11-01,1,13,1,13,14
LAJA,internaciones,6      retornados,2014-11-01,0,5,0,5,5
MONTEAGUDO,internaciones,6      retornados,2014-11-01,4,9,4,9,13
MONTERO,internaciones,6      retornados,2014-11-01,3,0,3,0,3
ORURO,internaciones,6      retornados,2014-11-01,1,0,1,0,1
PADILLA,internaciones,6      retornados,2014-11-01,6,22,6,22,28
PORVENIR,internaciones,6      retornados,2014-11-01,1,1,1,1,2
PUERTO RICO,internaciones,6      retornados,2014-11-01,0,2,0,2,2
PUERTO SUAREZ,internaciones,6      retornados,2014-11-01,105,4,105,4,109
PUNATA,internaciones,6      retornados,2014-11-01,22,81,22,81,103
QUILLACOLLO,internaciones,6      retornados,2014-11-01,2,0,2,0,2
RIBERALTA,internaciones,6      retornados,2014-11-01,12,82,12,82,94
SACABA,internaciones,6      retornados,2014-11-01,0,1,0,1,1
SAN BORJA,internaciones,6      retornados,2014-11-01,3,3,3,3,6
SAN IGNACIO DE VELASCO,internaciones,6      retornados,2014-11-01,3,21,3,21,24
SAN JOSE DE CHIQUITOS,internaciones,6      retornados,2014-11-01,0,1,0,1,1
SAN LUCAS,internaciones,6      retornados,2014-11-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,6      retornados,2014-11-01,25,9,25,9,34
SIPE SIPE,internaciones,6      retornados,2014-11-01,0,1,0,1,1
