,group,variable,month,13. 3 EGRESOS CANTIDAD,13. 3 EGRESOS CANTIDAD,TOTALES,TOTALES,TOTALES
COLOMI,internaciones,3      egresos,2014-01-01,1,18,1,18,19
COLPA BELGICA,internaciones,3      egresos,2014-01-01,2,10,2,10,12
COLQUECHACA,internaciones,3      egresos,2014-01-01,0,11,0,11,11
COLQUENCHA,internaciones,3      egresos,2014-01-01,0,6,0,6,6
COLQUIRI,internaciones,3      egresos,2014-01-01,9,8,9,8,17
COMARAPA,internaciones,3      egresos,2014-01-01,9,52,9,52,61
COMBAYA,internaciones,3      egresos,2014-01-01,0,1,0,1,1
CONCEPCION,internaciones,3      egresos,2014-01-01,25,55,25,55,80
COPACABANA,internaciones,3      egresos,2014-01-01,0,15,0,15,15
CORIPATA,internaciones,3      egresos,2014-01-01,0,5,0,5,5
CORO CORO,internaciones,3      egresos,2014-01-01,0,3,0,3,3
COROICO,internaciones,3      egresos,2014-01-01,24,59,24,59,83
COTAGAITA,internaciones,3      egresos,2014-01-01,1,13,1,13,14
COTOCA,internaciones,3      egresos,2014-01-01,7,110,7,110,117
CUEVO,internaciones,3      egresos,2014-01-01,1,9,1,9,10
CULPINA,internaciones,3      egresos,2014-01-01,5,24,5,24,29
CURAHUARA DE CARANGAS,internaciones,3      egresos,2014-01-01,0,4,0,4,4
EL ALTO,internaciones,3      egresos,2014-01-01,925,2388,925,2388,3313
EL CHORO,internaciones,3      egresos,2014-01-01,0,1,0,1,1
EL PUENTE(STC),internaciones,3      egresos,2014-01-01,6,23,6,23,29
EL TORNO,internaciones,3      egresos,2014-01-01,205,375,205,375,580
EL VILLAR,internaciones,3      egresos,2014-01-01,0,3,0,3,3
ENTRE RIOS TRJ,internaciones,3      egresos,2014-01-01,2,22,2,22,24
ENTRE RIOS CBBA,internaciones,3      egresos,2014-01-01,4,29,4,29,33
ESCOMA,internaciones,3      egresos,2014-01-01,0,24,0,24,24
EUCALIPTUS,internaciones,3      egresos,2014-01-01,0,2,0,2,2
FERNANDEZ ALONSO,internaciones,3      egresos,2014-01-01,16,25,16,25,41
FILADELFIA,internaciones,3      egresos,2014-01-01,0,1,0,1,1
GENERAL SAAVEDRA,internaciones,3      egresos,2014-01-01,0,52,0,52,52
GRAL. J.J. PEREZ (CHARAZANI),internaciones,3      egresos,2014-01-01,0,1,0,1,1
GUANAY,internaciones,3      egresos,2014-01-01,0,17,0,17,17
GUAQUI,internaciones,3      egresos,2014-01-01,1,7,1,7,8
GUAYARAMERIN,internaciones,3      egresos,2014-01-01,175,381,175,381,556
GUTIERREZ,internaciones,3      egresos,2014-01-01,11,25,11,25,36
HUACARETA,internaciones,3      egresos,2014-01-01,8,20,8,20,28
HUACAYA (VILLA DE HUACAYA),internaciones,3      egresos,2014-01-01,0,4,0,4,4
HUANUNI,internaciones,3      egresos,2014-01-01,28,72,28,72,100
HUARACAJE,internaciones,3      egresos,2014-01-01,3,13,3,13,16
HUAYLLAMARCA,internaciones,3      egresos,2014-01-01,4,7,4,7,11
HUMANATA,internaciones,3      egresos,2014-01-01,1,1,1,1,2
ICLA,internaciones,3      egresos,2014-01-01,0,8,0,8,8
INCAHUASI,internaciones,3      egresos,2014-01-01,1,11,1,11,12
INQUISIVI,internaciones,3      egresos,2014-01-01,0,3,0,3,3
IRUPANA (VILLA DE LANZA),internaciones,3      egresos,2014-01-01,8,20,8,20,28
IXIAMAS,internaciones,3      egresos,2014-01-01,2,12,2,12,14
JESUS DE MACHACA,internaciones,3      egresos,2014-01-01,4,12,4,12,16
LA ASUNTA,internaciones,3      egresos,2014-01-01,2,64,2,64,66
LA GUARDIA,internaciones,3      egresos,2014-01-01,51,123,51,123,174
LA PAZ,internaciones,3      egresos,2014-01-01,2521,5487,2521,5487,8008
LAJA,internaciones,3      egresos,2014-01-01,0,5,0,5,5
LICOMA PAMPA,internaciones,3      egresos,2014-01-01,0,3,0,3,3
LLALLAGUA,internaciones,3      egresos,2014-01-01,39,119,39,119,158
LLICA,internaciones,3      egresos,2014-01-01,0,3,0,3,3
LORETO,internaciones,3      egresos,2014-01-01,1,2,1,2,3
LURIBAY,internaciones,3      egresos,2014-01-01,0,1,0,1,1
MACHACAMARCA,internaciones,3      egresos,2014-01-01,0,3,0,3,3
MACHARETI,internaciones,3      egresos,2014-01-01,1,5,1,5,6
MAGDALENA,internaciones,3      egresos,2014-01-01,39,65,39,65,104
MAIRANA,internaciones,3      egresos,2014-01-01,8,52,8,52,60
MAPIRI,internaciones,3      egresos,2014-01-01,10,29,10,29,39
MECAPACA,internaciones,3      egresos,2014-01-01,0,4,0,4,4
MINEROS,internaciones,3      egresos,2014-01-01,5,11,5,11,16
MIZQUE,internaciones,3      egresos,2014-01-01,21,55,21,55,76
MOCOMOCO,internaciones,3      egresos,2014-01-01,0,1,0,1,1
MOJOCOYA,internaciones,3      egresos,2014-01-01,1,12,1,12,13
MONTEAGUDO,internaciones,3      egresos,2014-01-01,83,161,83,161,244
MONTERO,internaciones,3      egresos,2014-01-01,282,694,282,694,976
MORO MORO,internaciones,3      egresos,2014-01-01,0,2,0,2,2
MOROCHATA,internaciones,3      egresos,2014-01-01,1,9,1,9,10
OKINAWA,internaciones,3      egresos,2014-01-01,7,28,7,28,35
OMEREQUE,internaciones,3      egresos,2014-01-01,5,11,5,11,16
ORURO,internaciones,3      egresos,2014-01-01,700,2035,700,2035,2735
PADILLA,internaciones,3      egresos,2014-01-01,29,87,29,87,116
PAILON,internaciones,3      egresos,2014-01-01,11,68,11,68,79
PALCA,internaciones,3      egresos,2014-01-01,0,8,0,8,8
PALOS BLANCOS,internaciones,3      egresos,2014-01-01,5,43,5,43,48
PAMPA AULLAGAS,internaciones,3      egresos,2014-01-01,0,3,0,3,3
PAMPA GRANDE,internaciones,3      egresos,2014-01-01,2,17,2,17,19
PASORAPA,internaciones,3      egresos,2014-01-01,4,4,4,4,8
PATACAMAYA,internaciones,3      egresos,2014-01-01,0,37,0,37,37
PAZÑA,internaciones,3      egresos,2014-01-01,0,1,0,1,1
POCOATA,internaciones,3      egresos,2014-01-01,0,7,0,7,7
POCONA,internaciones,3      egresos,2014-01-01,1,13,1,13,14
POJO (CBBA),internaciones,3      egresos,2014-01-01,3,12,3,12,15
POOPO,internaciones,3      egresos,2014-01-01,3,6,3,6,9
POROMA,internaciones,3      egresos,2014-01-01,0,2,0,2,2
PORONGO,internaciones,3      egresos,2014-01-01,0,5,0,5,5
PORTACHUELO,internaciones,3      egresos,2014-01-01,74,119,74,119,193
PORVENIR,internaciones,3      egresos,2014-01-01,6,3,6,3,9
POSTRER VALLE,internaciones,3      egresos,2014-01-01,0,1,0,1,1
POTOSI,internaciones,3      egresos,2014-01-01,717,1336,717,1336,2053
PUCARA,internaciones,3      egresos,2014-01-01,0,2,0,2,2
PUCARANI,internaciones,3      egresos,2014-01-01,1,12,1,12,13
PUERTO ACOSTA,internaciones,3      egresos,2014-01-01,0,1,0,1,1
PUERTO CARABUCO,internaciones,3      egresos,2014-01-01,0,2,0,2,2
PUERTO GONZALO MORENO,internaciones,3      egresos,2014-01-01,8,5,8,5,13
PUERTO QUIJARRO,internaciones,3      egresos,2014-01-01,11,22,11,22,33
PUERTO RICO,internaciones,3      egresos,2014-01-01,13,25,13,25,38
PUERTO SUAREZ,internaciones,3      egresos,2014-01-01,45,107,45,107,152
PUERTO VILLARROEL,internaciones,3      egresos,2014-01-01,51,202,51,202,253
PUNA,internaciones,3      egresos,2014-01-01,1,10,1,10,11
PUNATA,internaciones,3      egresos,2014-01-01,84,171,84,171,255
QUILLACOLLO,internaciones,3      egresos,2014-01-01,28,282,28,282,310
QUIME,internaciones,3      egresos,2014-01-01,1,4,1,4,5
QUIRUSILLAS,internaciones,3      egresos,2014-01-01,2,2,2,2,4
REYES,internaciones,3      egresos,2014-01-01,5,22,5,22,27
RIBERALTA,internaciones,3      egresos,2014-01-01,263,617,263,617,880
ROBORE,internaciones,3      egresos,2014-01-01,28,65,28,65,93
RURRENABAQUE,internaciones,3      egresos,2014-01-01,40,92,40,92,132
SABAYA,internaciones,3      egresos,2014-01-01,4,3,4,3,7
SACABA,internaciones,3      egresos,2014-01-01,109,370,109,370,479
SACABAMBA,internaciones,3      egresos,2014-01-01,3,11,3,11,14
SACACA,internaciones,3      egresos,2014-01-01,4,11,4,11,15
SAIPINA,internaciones,3      egresos,2014-01-01,5,8,5,8,13
SALINAS DE GARCI MENDOZA,internaciones,3      egresos,2014-01-01,0,12,0,12,12
SAMAIPATA,internaciones,3      egresos,2014-01-01,7,28,7,28,35
SAN ANDRES,internaciones,3      egresos,2014-01-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,internaciones,3      egresos,2014-01-01,4,5,4,5,9
SAN BENITO,internaciones,3      egresos,2014-01-01,0,5,0,5,5
SAN BORJA,internaciones,3      egresos,2014-01-01,32,100,32,100,132
SAN BUENA VENTURA,internaciones,3      egresos,2014-01-01,11,41,11,41,52
SAN CARLOS,internaciones,3      egresos,2014-01-01,40,87,40,87,127
SAN IGNACIO,internaciones,3      egresos,2014-01-01,24,57,24,57,81
SAN IGNACIO DE VELASCO,internaciones,3      egresos,2014-01-01,71,243,71,243,314
SAN JAVIER(BNI),internaciones,3      egresos,2014-01-01,0,2,0,2,2
SAN JAVIER(STC),internaciones,3      egresos,2014-01-01,8,42,8,42,50
SAN JOAQUIN,internaciones,3      egresos,2014-01-01,9,18,9,18,27
SAN JOSE DE CHIQUITOS,internaciones,3      egresos,2014-01-01,41,121,41,121,162
SAN JUAN DE YAPACANI,internaciones,3      egresos,2014-01-01,1,8,1,8,9
SAN JULIAN,internaciones,3      egresos,2014-01-01,32,70,32,70,102
SAN LORENZO(TJA),internaciones,3      egresos,2014-01-01,0,9,0,9,9
SAN LUCAS,internaciones,3      egresos,2014-01-01,9,42,9,42,51
SAN MATIAS,internaciones,3      egresos,2014-01-01,20,63,20,63,83
SAN MIGUEL DE VELASCO,internaciones,3      egresos,2014-01-01,5,27,5,27,32
SAN PEDRO,internaciones,3      egresos,2014-01-01,11,15,11,15,26
SAN PEDRO DE BUENA VISTA,internaciones,3      egresos,2014-01-01,1,5,1,5,6
SAN PEDRO DE CURAHUARA,internaciones,3      egresos,2014-01-01,0,1,0,1,1
SAN RAFAEL,internaciones,3      egresos,2014-01-01,5,15,5,15,20
SAN RAMON BENI,internaciones,3      egresos,2014-01-01,4,21,4,21,25
SAN RAMON SCZ,internaciones,3      egresos,2014-01-01,6,36,6,36,42
SANTA ANA,internaciones,3      egresos,2014-01-01,35,85,35,85,120
SANTA CRUZ DE LA SIERRA,internaciones,3      egresos,2014-01-01,5902,5867,5902,5867,11769
SANTA ROSA,internaciones,3      egresos,2014-01-01,12,33,12,33,45
SANTA ROSA DEL SARA,internaciones,3      egresos,2014-01-01,3,20,3,20,23
SANTIAGO DE CALLAPA,internaciones,3      egresos,2014-01-01,0,1,0,1,1
SANTIAGO DE HUARI,internaciones,3      egresos,2014-01-01,0,2,0,2,2
SANTIAGO DE HUATA,internaciones,3      egresos,2014-01-01,0,1,0,1,1
SANTIAGO DE MACHACA,internaciones,3      egresos,2014-01-01,0,1,0,1,1
SANTIVAÑES,internaciones,3      egresos,2014-01-01,0,1,0,1,1
SANTUARIO DE QUILLACAS,internaciones,3      egresos,2014-01-01,0,1,0,1,1
SAPAHAQUI,internaciones,3      egresos,2014-01-01,0,3,0,3,3
SENA,internaciones,3      egresos,2014-01-01,5,33,5,33,38
SHINAOTA,internaciones,3      egresos,2014-01-01,21,74,21,74,95
SICA SICA (VILLA AROMA),internaciones,3      egresos,2014-01-01,0,12,0,12,12
SIPE SIPE,internaciones,3      egresos,2014-01-01,0,38,0,38,38
SOPACHUY,internaciones,3      egresos,2014-01-01,9,11,9,11,20
SORATA,internaciones,3      egresos,2014-01-01,3,9,3,9,12
SUCRE,internaciones,3      egresos,2014-01-01,1364,2587,1364,2587,3951
TACACOMA,internaciones,3      egresos,2014-01-01,1,4,1,4,5
TACOPAYA,internaciones,3      egresos,2014-01-01,1,6,1,6,7
TAPACARI,internaciones,3      egresos,2014-01-01,3,3,3,3,6
TARABUCO,internaciones,3      egresos,2014-01-01,16,47,16,47,63
TARACO,internaciones,3      egresos,2014-01-01,0,1,0,1,1
TARATA,internaciones,3      egresos,2014-01-01,0,12,0,12,12
TARIJA,internaciones,3      egresos,2014-01-01,715,1125,715,1125,1840
TARVITA,internaciones,3      egresos,2014-01-01,5,34,5,34,39
TEOPONTE,internaciones,3      egresos,2014-01-01,0,14,0,14,14
TIAWANACU,internaciones,3      egresos,2014-01-01,0,9,0,9,9
TIPUANI,internaciones,3      egresos,2014-01-01,16,37,16,37,53
TIQUIPAYA,internaciones,3      egresos,2014-01-01,13,145,13,145,158
TIRAQUE (CBBA),internaciones,3      egresos,2014-01-01,0,20,0,20,20
TOCO,internaciones,3      egresos,2014-01-01,0,3,0,3,3
TOLATA,internaciones,3      egresos,2014-01-01,4,0,4,0,4
TOLEDO,internaciones,3      egresos,2014-01-01,1,1,1,1,2
TOMINA,internaciones,3      egresos,2014-01-01,4,26,4,26,30
TORO TORO,internaciones,3      egresos,2014-01-01,0,3,0,3,3
TOTORA(CBBA),internaciones,3      egresos,2014-01-01,9,58,9,58,67
TOTORA(ORR),internaciones,3      egresos,2014-01-01,0,2,0,2,2
TRIGAL,internaciones,3      egresos,2014-01-01,7,11,7,11,18
TRINIDAD,internaciones,3      egresos,2014-01-01,371,966,371,966,1337
TUPIZA,internaciones,3      egresos,2014-01-01,387,443,387,443,830
UMALA,internaciones,3      egresos,2014-01-01,0,3,0,3,3
UNCIA,internaciones,3      egresos,2014-01-01,0,18,0,18,18
URUBICHA,internaciones,3      egresos,2014-01-01,11,19,11,19,30
UYUNI,internaciones,3      egresos,2014-01-01,46,126,46,126,172
VACAS,internaciones,3      egresos,2014-01-01,0,7,0,7,7
VALLEGRANDE,internaciones,3      egresos,2014-01-01,52,97,52,97,149
VIACHA,internaciones,3      egresos,2014-01-01,48,101,48,101,149
VILA VILA,internaciones,3      egresos,2014-01-01,0,3,0,3,3
VILLA CHARCAS,internaciones,3      egresos,2014-01-01,0,10,0,10,10
VILLA MONTES,internaciones,3      egresos,2014-01-01,60,209,60,209,269
VILLA RIVERO,internaciones,3      egresos,2014-01-01,3,9,3,9,12
VILLA TUNARI,internaciones,3      egresos,2014-01-01,104,234,104,234,338
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,3      egresos,2014-01-01,4,9,4,9,13
VILLAZON,internaciones,3      egresos,2014-01-01,52,167,52,167,219
VINTO,internaciones,3      egresos,2014-01-01,29,87,29,87,116
WARNES,internaciones,3      egresos,2014-01-01,42,98,42,98,140
YACO,internaciones,3      egresos,2014-01-01,0,1,0,1,1
YACUIBA,internaciones,3      egresos,2014-01-01,321,620,321,620,941
YAMPARAEZ,internaciones,3      egresos,2014-01-01,1,2,1,2,3
YANACACHI,internaciones,3      egresos,2014-01-01,0,2,0,2,2
YAPACANI,internaciones,3      egresos,2014-01-01,38,66,38,66,104
YOTALA,internaciones,3      egresos,2014-01-01,5,23,5,23,28
ACACIO,internaciones,3      egresos,2014-02-01,0,2,0,2,2
ACHACACHI,internaciones,3      egresos,2014-02-01,16,55,16,55,71
ACHOCALLA,internaciones,3      egresos,2014-02-01,0,6,0,6,6
AIQUILE,internaciones,3      egresos,2014-02-01,42,61,42,61,103
ALALAY,internaciones,3      egresos,2014-02-01,0,1,0,1,1
ALCALA,internaciones,3      egresos,2014-02-01,0,2,0,2,2
ALTO BENI,internaciones,3      egresos,2014-02-01,0,10,0,10,10
ANCORAIMES,internaciones,3      egresos,2014-02-01,0,5,0,5,5
ANTEQUERA,internaciones,3      egresos,2014-02-01,0,4,0,4,4
ANZALDO,internaciones,3      egresos,2014-02-01,6,12,6,12,18
APOLO,internaciones,3      egresos,2014-02-01,0,19,0,19,19
ARAMPAMPA,internaciones,3      egresos,2014-02-01,0,1,0,1,1
ARANI,internaciones,3      egresos,2014-02-01,0,11,0,11,11
ARBIETO,internaciones,3      egresos,2014-02-01,0,9,0,9,9
ASCENCION DE GUARAYOS,internaciones,3      egresos,2014-02-01,46,124,46,124,170
ATOCHA,internaciones,3      egresos,2014-02-01,106,128,106,128,234
AYATA,internaciones,3      egresos,2014-02-01,0,1,0,1,1
AYO AYO,internaciones,3      egresos,2014-02-01,1,4,1,4,5
AYOPAYA (V. DE INDEPENDENCIA),internaciones,3      egresos,2014-02-01,10,33,10,33,43
AZURDUY,internaciones,3      egresos,2014-02-01,4,9,4,9,13
BAURES,internaciones,3      egresos,2014-02-01,12,9,12,9,21
BERMEJO,internaciones,3      egresos,2014-02-01,73,177,73,177,250
BETANZOS,internaciones,3      egresos,2014-02-01,6,44,6,44,50
BOYUIBE,internaciones,3      egresos,2014-02-01,13,21,13,21,34
BUENA VISTA,internaciones,3      egresos,2014-02-01,5,21,5,21,26
CABEZAS,internaciones,3      egresos,2014-02-01,7,0,7,0,7
CAIROMA,internaciones,3      egresos,2014-02-01,2,14,2,14,16
CAJUATA,internaciones,3      egresos,2014-02-01,0,5,0,5,5
CALACOTO,internaciones,3      egresos,2014-02-01,2,3,2,3,5
CALAMARCA,internaciones,3      egresos,2014-02-01,0,4,0,4,4
CAMARGO,internaciones,3      egresos,2014-02-01,22,55,22,55,77
CAMATAQUI (C. VILLA ABECIA),internaciones,3      egresos,2014-02-01,0,5,0,5,5
CAMIRI,internaciones,3      egresos,2014-02-01,133,256,133,256,389
CAPINOTA,internaciones,3      egresos,2014-02-01,4,30,4,30,34
CAQUIAVIRI,internaciones,3      egresos,2014-02-01,0,1,0,1,1
CARACOLLO,internaciones,3      egresos,2014-02-01,0,11,0,11,11
CARANAVI,internaciones,3      egresos,2014-02-01,42,152,42,152,194
CARAPARI,internaciones,3      egresos,2014-02-01,9,11,9,11,20
CARIPUYO,internaciones,3      egresos,2014-02-01,0,1,0,1,1
CARMEN RIVERO TORREZ,internaciones,3      egresos,2014-02-01,10,15,10,15,25
CHALLAPATA,internaciones,3      egresos,2014-02-01,13,102,13,102,115
CHAQUI,internaciones,3      egresos,2014-02-01,0,1,0,1,1
CHARAGUA,internaciones,3      egresos,2014-02-01,35,98,35,98,133
CHAYANTA,internaciones,3      egresos,2014-02-01,0,9,0,9,9
CHIMORE,internaciones,3      egresos,2014-02-01,0,13,0,13,13
CHULUMANI (V. DE LA LIBERTAD),internaciones,3      egresos,2014-02-01,32,76,32,76,108
CHUMA,internaciones,3      egresos,2014-02-01,0,3,0,3,3
CKOCHAS,internaciones,3      egresos,2014-02-01,0,2,0,2,2
CLIZA,internaciones,3      egresos,2014-02-01,8,43,8,43,51
COBIJA,internaciones,3      egresos,2014-02-01,170,262,170,262,432
COCAPATA,internaciones,3      egresos,2014-02-01,0,1,0,1,1
COCHABAMBA,internaciones,3      egresos,2014-02-01,2869,5026,2869,5026,7895
COIPASA,internaciones,3      egresos,2014-02-01,0,1,0,1,1
COLCAPIRHUA,internaciones,3      egresos,2014-02-01,42,80,42,80,122
COLLANA,internaciones,3      egresos,2014-02-01,0,1,0,1,1
COLOMI,internaciones,3      egresos,2014-02-01,0,19,0,19,19
COLPA BELGICA,internaciones,3      egresos,2014-02-01,0,4,0,4,4
COLQUECHACA,internaciones,3      egresos,2014-02-01,0,4,0,4,4
COLQUENCHA,internaciones,3      egresos,2014-02-01,0,8,0,8,8
COLQUIRI,internaciones,3      egresos,2014-02-01,3,4,3,4,7
COMARAPA,internaciones,3      egresos,2014-02-01,3,30,3,30,33
CONCEPCION,internaciones,3      egresos,2014-02-01,12,43,12,43,55
COPACABANA,internaciones,3      egresos,2014-02-01,1,3,1,3,4
CORIPATA,internaciones,3      egresos,2014-02-01,3,15,3,15,18
CORO CORO,internaciones,3      egresos,2014-02-01,0,1,0,1,1
COROICO,internaciones,3      egresos,2014-02-01,33,56,33,56,89
COTAGAITA,internaciones,3      egresos,2014-02-01,1,7,1,7,8
COTOCA,internaciones,3      egresos,2014-02-01,19,113,19,113,132
CUATRO CAÑADAS,internaciones,3      egresos,2014-02-01,4,3,4,3,7
CUEVO,internaciones,3      egresos,2014-02-01,2,1,2,1,3
CULPINA,internaciones,3      egresos,2014-02-01,4,18,4,18,22
CURAHUARA DE CARANGAS,internaciones,3      egresos,2014-02-01,0,8,0,8,8
EL ALTO,internaciones,3      egresos,2014-02-01,849,2456,849,2456,3305
EL CHORO,internaciones,3      egresos,2014-02-01,0,5,0,5,5
EL PUENTE(STC),internaciones,3      egresos,2014-02-01,7,16,7,16,23
EL TORNO,internaciones,3      egresos,2014-02-01,234,461,234,461,695
EL VILLAR,internaciones,3      egresos,2014-02-01,1,2,1,2,3
ENTRE RIOS TRJ,internaciones,3      egresos,2014-02-01,8,13,8,13,21
ENTRE RIOS CBBA,internaciones,3      egresos,2014-02-01,8,25,8,25,33
ESCOMA,internaciones,3      egresos,2014-02-01,0,21,0,21,21
EUCALIPTUS,internaciones,3      egresos,2014-02-01,0,6,0,6,6
EXALTACION,internaciones,3      egresos,2014-02-01,1,6,1,6,7
FERNANDEZ ALONSO,internaciones,3      egresos,2014-02-01,14,18,14,18,32
GENERAL SAAVEDRA,internaciones,3      egresos,2014-02-01,0,53,0,53,53
GUANAY,internaciones,3      egresos,2014-02-01,1,15,1,15,16
GUAQUI,internaciones,3      egresos,2014-02-01,0,4,0,4,4
GUAYARAMERIN,internaciones,3      egresos,2014-02-01,135,310,135,310,445
GUTIERREZ,internaciones,3      egresos,2014-02-01,7,26,7,26,33
HUACARETA,internaciones,3      egresos,2014-02-01,7,16,7,16,23
HUACAYA (VILLA DE HUACAYA),internaciones,3      egresos,2014-02-01,1,4,1,4,5
HUANUNI,internaciones,3      egresos,2014-02-01,32,90,32,90,122
HUARACAJE,internaciones,3      egresos,2014-02-01,3,13,3,13,16
HUARINA,internaciones,3      egresos,2014-02-01,0,3,0,3,3
HUAYLLAMARCA,internaciones,3      egresos,2014-02-01,2,5,2,5,7
HUMANATA,internaciones,3      egresos,2014-02-01,2,1,2,1,3
ICLA,internaciones,3      egresos,2014-02-01,3,5,3,5,8
INCAHUASI,internaciones,3      egresos,2014-02-01,0,10,0,10,10
INQUISIVI,internaciones,3      egresos,2014-02-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),internaciones,3      egresos,2014-02-01,5,25,5,25,30
IXIAMAS,internaciones,3      egresos,2014-02-01,20,10,20,10,30
JESUS DE MACHACA,internaciones,3      egresos,2014-02-01,5,12,5,12,17
LA ASUNTA,internaciones,3      egresos,2014-02-01,0,19,0,19,19
LA GUARDIA,internaciones,3      egresos,2014-02-01,63,99,63,99,162
LA PAZ,internaciones,3      egresos,2014-02-01,3359,6471,3359,6471,9830
LAGUNILLAS,internaciones,3      egresos,2014-02-01,2,8,2,8,10
LAJA,internaciones,3      egresos,2014-02-01,0,7,0,7,7
LICOMA PAMPA,internaciones,3      egresos,2014-02-01,0,1,0,1,1
LURIBAY,internaciones,3      egresos,2014-02-01,0,2,0,2,2
MACHACAMARCA,internaciones,3      egresos,2014-02-01,0,2,0,2,2
MACHARETI,internaciones,3      egresos,2014-02-01,0,1,0,1,1
MAGDALENA,internaciones,3      egresos,2014-02-01,29,47,29,47,76
MAIRANA,internaciones,3      egresos,2014-02-01,4,46,4,46,50
MAPIRI,internaciones,3      egresos,2014-02-01,9,38,9,38,47
MECAPACA,internaciones,3      egresos,2014-02-01,0,4,0,4,4
MINEROS,internaciones,3      egresos,2014-02-01,10,17,10,17,27
