municipality,group,variable,month,Nº de actividades realizadas con participación,TOTAL
LA GUARDIA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,24,24
LA PAZ,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,500,500
LAGUNILLAS,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,12,12
LAJA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,20,20
LAS CARRERAS,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,18,18
LICOMA PAMPA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,1,1
LORETO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,10,10
LURIBAY,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,5,5
MACHACAMARCA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,8,8
MACHARETI,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,45,45
MAGDALENA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,15,15
MAIRANA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,4,4
MAPIRI,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,2,2
MECAPACA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,12,12
MINEROS,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,2,2
MIZQUE,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,7,7
MOCOMOCO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,26,26
MOJOCOYA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,33,33
MONTEAGUDO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,46,46
MONTERO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,12,12
MORO MORO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,2,2
MOROCHATA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,15,15
OCURI,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,9,9
OMEREQUE,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,2,2
ORURO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,891,891
PADCAYA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,67,67
PADILLA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,74,74
PAILON,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,3,3
PALCA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,10,10
PALOS BLANCOS,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,6,6
PATACAMAYA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,10,10
PAZÑA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,10,10
PELECHUCO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,13,13
POCOATA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,3,3
POCONA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,10,10
POJO (CBBA),actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,15,15
POOPO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,12,12
POROMA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,40,40
PORONGO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,5,5
PORTACHUELO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,18,18
PORVENIR,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,12,12
POSTRER VALLE,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,3,3
POTOSI,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,84,84
PRESTO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,26,26
PUCARA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,9,9
PUCARANI,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,12,12
PUERTO ACOSTA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,4,4
PUERTO CARABUCO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,4,4
PUERTO GONZALO MORENO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,1,1
PUERTO PEREZ,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,11,11
PUERTO QUIJARRO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,9,9
PUERTO RICO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,3,3
PUERTO SUAREZ,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,2,2
PUERTO VILLARROEL,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,11,11
PUNA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,76,76
PUNATA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,7,7
QUILLACOLLO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,10,10
QUIME,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,21,21
RAVELO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,7,7
RIBERALTA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,34,34
ROBORE,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,128,128
SABAYA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,5,5
SACABA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,31,31
SACABAMBA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,1,1
SACACA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,39,39
SALINAS DE GARCI MENDOZA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,23,23
SAN AGUSTIN,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,2,2
SAN ANDRES,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,27,27
SAN ANDRES DE MACHACA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,5,5
SAN ANTONIO DE LOMERIO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,4,4
SAN BENITO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,2,2
SAN BORJA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,16,16
SAN BUENA VENTURA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,7,7
SAN CARLOS,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,12,12
SAN IGNACIO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,18,18
SAN IGNACIO DE VELASCO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,145,145
SAN JAVIER(BNI),actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,9,9
SAN JOAQUIN,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,1,1
SAN JOSE DE CHIQUITOS,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,22,22
SAN JUAN DE YAPACANI,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,4,4
SAN JULIAN,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,123,123
SAN LORENZO(TJA),actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,37,37
SAN LUCAS,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,68,68
SAN MATIAS,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,4,4
SAN MIGUEL DE VELASCO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,45,45
SAN PABLO DE LIPEZ,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,2,2
SAN PEDRO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,10,10
SAN PEDRO DE BUENA VISTA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,32,32
SAN PEDRO DE CURAHUARA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,1,1
SAN PEDRO DE TIQUINA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,17,17
SAN RAFAEL,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,4,4
SANTA ANA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,5,5
SANTA CRUZ DE LA SIERRA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,29,29
SANTA ROSA DEL SARA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,32,32
SANTIAGO DE HUARI,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,23,23
SANTIVAÑES,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,25,25
SANTUARIO DE QUILLACAS,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,15,15
SAPAHAQUI,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,4,4
SICA SICA (VILLA AROMA),actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,11,11
SICAYA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,1,1
SIPE SIPE,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,1,1
SOPACHUY,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,19,19
SORACACHI,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,25,25
SORATA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,63,63
SUCRE,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,359,359
TACOPAYA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,9,9
TAPACARI,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,37,37
TARABUCO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,99,99
TARACO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,3,3
TARATA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,15,15
TARIJA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,662,662
TARVITA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,41,41
TEOPONTE,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,6,6
TIAWANACU,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,1,1
TINGUIPAYA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,30,30
TIPUANI,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,2,2
TIQUIPAYA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,323,323
TIRAQUE (CBBA),actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,16,16
TITO YUPANQUI (PARQUIPUJIO),actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,6,6
TOLEDO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,4,4
TOMAVE,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,1,1
TOMINA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,30,30
TORO TORO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,22,22
TOTORA(CBBA),actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,3,3
TOTORA(ORR),actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,8,8
TRIGAL,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,7,7
TRINIDAD,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,117,117
TUPIZA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,20,20
TURCO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,1,1
UMALA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,1,1
UNCIA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,52,52
URIONDO (A. CONCEPCION),actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,18,18
VACAS,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,6,6
VALLEGRANDE,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,32,32
VIACHA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,11,11
VILA VILA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,2,2
VILLA MONTES,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,29,29
VILLA RIVERO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,16,16
VILLA SERRANO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,44,44
VILLA TUNARI,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,24,24
VILLA VACA GUZMAN (MUYUPAMPA),actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,54,54
VILLAZON,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,16,16
VINTO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,1,1
VITICHI,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,15,15
WARNES,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,30,30
YACO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,7,7
YACUIBA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,65,65
YAMPARAEZ,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,31,31
YANACACHI,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,5,5
YAPACANI,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,11,11
YOTALA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,38,38
YUNCHARA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,32,32
ZUDAÑEZ,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,31,31
ACACIO,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,1,1
ACHACACHI,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,123,123
ACHOCALLA,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,1,1
AIQUILE,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,18,18
ALCALA,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,12,12
ANCORAIMES,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,8,8
ANDAMARCA,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,26,26
ANTEQUERA,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,1,1
ANZALDO,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,9,9
APOLO,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,16,16
ARAMPAMPA,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,9,9
ARANI,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,1,1
ARBIETO,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,1,1
ARQUE,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,11,11
ASCENCION DE GUARAYOS,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,8,8
ATOCHA,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,19,19
AUCAPATA,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,3,3
AYATA,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,4,4
AYO AYO,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,24,24
AZURDUY,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,42,42
BATALLAS,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,4,4
BAURES,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,16,16
BELEN DE URMIRI,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,2,2
BELLA FLOR,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,1,1
BERMEJO,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,113,113
BETANZOS,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,45,45
BOLIVAR,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,17,17
BOLPEBRA,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,1,1
BUENA VISTA,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,15,15
CABEZAS,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,2,2
CAIROMA,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,16,16
"CAIZA ""D""",actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,19,19
CAJUATA,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,16,16
CALACOTO,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,6,6
CALAMARCA,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,15,15
CAMARGO,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,36,36
CAMATAQUI (C. VILLA ABECIA),actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,8,8
CAMIRI,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,29,29
CAPINOTA,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,8,8
CARACOLLO,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,15,15
CARANAVI,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,43,43
CARAPARI,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,34,34
CARMEN RIVERO TORREZ,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,3,3
CATACORA,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,2,2
CHACARILLA,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,3,3
CHALLAPATA,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,26,26
CHAQUI,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,16,16
CHARAGUA,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,53,53
CHIMORE,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,3,3
CHULUMANI (V. DE LA LIBERTAD),actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,3,3
CHUMA,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,17,17
CLIZA,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,5,5
COBIJA,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,12,12
COCHABAMBA,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,86,86
COLCAPIRHUA,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,2,2
"COLCHA ""K""",actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,2,2
COLLANA,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,1,1
COLOMI,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,11,11
COLPA BELGICA,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,1,1
COLQUECHACA,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,1,1
COLQUENCHA,actividades con la comunidad,no de actividades realizadas con participacion,2007-02-01,1,1
