municipality,group,variable,month,Nº de comunidades que participaron en el CAI d,TOTAL
MONTERO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,8,8
MORO MORO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,2,2
MOROCHATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,2,2
OKINAWA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,3,3
PAILON,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,6,6
PALCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,1,1
PATACAMAYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,23,23
POTOSI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,5,5
PUCARANI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,23,23
PUERTO PEREZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,8,8
PUNA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,5,5
PUNATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,7,7
QUILLACOLLO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,9,9
REYES,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,2,2
ROBORE,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,7,7
SACABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,2,2
SACACA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,20,20
SAIPINA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,2,2
SAN ANTONIO DE LOMERIO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,9,9
SAN CARLOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,2,2
SAN IGNACIO DE VELASCO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,16,16
SAN JUAN DE YAPACANI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,4,4
SAN MATIAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,5,5
SAN PEDRO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,11,11
SAN PEDRO DE TIQUINA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,2,2
SANTA CRUZ DE LA SIERRA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,20,20
SANTA ROSA DEL SARA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,10,10
SANTIAGO DE HUARI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,6,6
SICA SICA (VILLA AROMA),actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,23,23
SIPE SIPE,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,7,7
SUCRE,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,1,1
TACOPAYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,15,15
TAPACARI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,8,8
TIRAQUE (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,28,28
TITO YUPANQUI (PARQUIPUJIO),actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,2,2
TOLEDO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,6,6
TORO TORO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,7,7
TOTORA(ORR),actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,15,15
TUPIZA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,5,5
UNCIA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,71,71
URIONDO (A. CONCEPCION),actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,3,3
VIACHA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,7,7
VILA VILA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,13,13
VILLA NUEVA (LOMA ALTA),actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,5,5
VILLA RIVERO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,3,3
WARNES,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,4,4
YUNCHARA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,6,6
ACHACACHI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,57,57
ANCORAIMES,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,22,22
ANZALDO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,1,1
ASCENCION DE GUARAYOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,5,5
AYATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,1,1
AYO AYO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,5,5
BATALLAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,9,9
BETANZOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,12,12
BUENA VISTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,8,8
CALACOTO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,11,11
CALAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,13,13
CAPINOTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,4,4
CAQUIAVIRI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,3,3
CARANAVI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,3,3
CHALLAPATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,41,41
CHARAGUA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,27,27
COCHABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,8,8
COLLANA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,1,1
COLOMI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,2,2
COLQUENCHA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,21,21
COMANCHE,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,6,6
COMARAPA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,7,7
COMBAYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,5,5
CONCEPCION,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,8,8
CORO CORO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,11,11
COTAGAITA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,5,5
COTOCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,8,8
CUATRO CAÑADAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,4,4
CUCHUMUELA (V. G. VILLARROEL),actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,4,4
CURVA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,2,2
DESAGUADERO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,5,5
EL ALTO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,20,20
EL PUENTE(STC),actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,2,2
EL PUENTE(TJA),actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,5,5
FERNANDEZ ALONSO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,5,5
GUANAY,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,3,3
GUAYARAMERIN,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,29,29
JESUS DE MACHACA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,16,16
LA PAZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,38,38
LAJA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,11,11
LICOMA PAMPA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,3,3
MAIRANA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,3,3
MECAPACA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,1,1
MINEROS,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,4,4
MIZQUE,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,5,5
MOJOCOYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,4,4
MONTERO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,11,11
MOROCHATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,11,11
OKINAWA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,4,4
ORURO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,1,1
PADCAYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,14,14
PADILLA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,9,9
PAILON,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,6,6
PALCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,5,5
PALOS BLANCOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,5,5
PAMPA AULLAGAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,6,6
PATACAMAYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,18,18
POJO (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,7,7
PORONGO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,6,6
PORTACHUELO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,1,1
POTOSI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,1,1
PUCARANI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,34,34
PUERTO ACOSTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,1,1
PUERTO QUIJARRO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,1,1
PUNA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,12,12
PUNATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,7,7
QUILLACOLLO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,3,3
REYES,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,3,3
RIBERALTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,1,1
ROBORE,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,11,11
SACABA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,2,2
SACABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,19,19
SAIPINA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,2,2
SAMAIPATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,4,4
SAN ANTONIO DE LOMERIO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,7,7
SAN BORJA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,3,3
SAN IGNACIO DE VELASCO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,6,6
SAN JAVIER(STC),actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,3,3
SAN JOSE DE CHIQUITOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,19,19
SAN PEDRO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,10,10
SAN PEDRO DE CURAHUARA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,5,5
SAN PEDRO DE TIQUINA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,9,9
SANTA CRUZ DE LA SIERRA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,15,15
SANTA ROSA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,6,6
SANTA ROSA DEL SARA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,6,6
SANTIAGO DE CALLAPA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,3,3
SAPAHAQUI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,5,5
SICA SICA (VILLA AROMA),actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,7,7
SIPE SIPE,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,22,22
TARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,6,6
TIRAQUE (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,25,25
TITO YUPANQUI (PARQUIPUJIO),actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,2,2
TOLATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,1,1
TOTORA(CBBA),actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,29,29
TUPIZA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,6,6
UNCIA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,10,10
VALLEGRANDE,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,2,2
VIACHA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,6,6
VILLA RIVERO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,3,3
VILLA SERRANO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,15,15
VINTO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,3,3
WARNES,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,3,3
YAPACANI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-02-01,6,6
ACHACACHI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,45,45
ACHOCALLA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,2,2
AIQUILE,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,9,9
ANCORAIMES,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,43,43
ANZALDO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,3,3
ARBIETO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,1,1
ARQUE,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,13,13
ATOCHA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,2,2
AYATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,2,2
AYO AYO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,11,11
BATALLAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,6,6
BELLA FLOR,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,6,6
BETANZOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,12,12
BUENA VISTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,1,1
"CAIZA ""D""",actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,8,8
CALACOTO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,18,18
CALAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,16,16
CAMARGO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,4,4
CAQUIAVIRI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,5,5
CARACOLLO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,1,1
CARANAVI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,26,26
CATACORA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,1,1
CHALLAPATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,30,30
COCHABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,9,9
COLCAPIRHUA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,2,2
COLLANA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,7,7
COLOMI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,1,1
COLQUENCHA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,14,14
COMARAPA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,7,7
COMBAYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,2,2
CONCEPCION,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,5,5
COPACABANA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,1,1
CORO CORO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,4,4
COTAGAITA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,5,5
COTOCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,8,8
CUATRO CAÑADAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,5,5
CURVA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,2,2
DESAGUADERO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,5,5
EL ALTO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,22,22
EL PUENTE(TJA),actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,40,40
EL TORNO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,19,19
EL VILLAR,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,1,1
ENTRE RIOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,4,4
ENTRE RIOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,7,7
EUCALIPTUS,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,1,1
FERNANDEZ ALONSO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,3,3
GUANAY,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,2,2
GUAQUI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,8,8
GUAYARAMERIN,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,13,13
HUACAYA (VILLA DE HUACAYA),actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,10,10
HUACHACALLA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,3,3
HUANUNI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,2,2
ICHOCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,6,6
ICLA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,4,4
INCAHUASI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,4,4
JESUS DE MACHACA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,13,13
LA PAZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,45,45
LAJA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,12,12
LICOMA PAMPA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,2,2
MAIRANA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,4,4
MALLA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,1,1
MAPIRI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,4,4
MECAPACA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,12,12
MINEROS,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,4,4
MIZQUE,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,4,4
MOCOMOCO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,12,12
MOJOCOYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,13,13
MONTERO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,94,94
MOROCHATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,3,3
OKINAWA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,3,3
PADCAYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,4,4
PAILON,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,15,15
PALCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,5,5
PALOS BLANCOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,5,5
PAPEL PAMPA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,4,4
PATACAMAYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,23,23
POCONA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,16,16
PORTACHUELO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,7,7
POTOSI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,1,1
PUCARANI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,32,32
PUERTO PEREZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,2,2
PUERTO QUIJARRO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,1,1
PUERTO VILLARROEL,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,2,2
PUNA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,46,46
PUNATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,8,8
QUILLACOLLO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,3,3
QUIRUSILLAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,1,1
RAVELO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,62,62
REYES,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,1,1
ROBORE,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,6,6
RURRENABAQUE,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,4,4
SACACA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,50,50
SAN ANTONIO DE LOMERIO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,9,9
SAN BORJA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,2,2
SAN IGNACIO DE VELASCO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,2,2
SAN JUAN DE YAPACANI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,1,1
SAN JULIAN,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,26,26
SAN LORENZO(TJA),actividades con la comunidad,no de comunidades que participaron en el cai d,2007-03-01,7,7
