municipality,group,variable,month,Niños de 2 años a menores de 5 años con dosis comp,TOTAL
CATACORA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,36,36
CHALLAPATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,127,127
CHARAGUA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,23,23
CHARAÑA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,10,10
CHAYANTA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,7,7
CHIMORE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,52,52
CHIPAYA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,9,9
CHULUMANI (V. DE LA LIBERTAD),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,14,14
CHUMA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,2,2
CLIZA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,8,8
COBIJA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,59,59
COCHABAMBA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,304,304
COLCAPIRHUA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,91,91
"COLCHA ""K""",nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,9,9
COLOMI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,23,23
COLPA BELGICA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,22,22
COLQUECHACA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,44,44
COLQUENCHA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,95,95
COLQUIRI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,42,42
COMANCHE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,5,5
CONCEPCION,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,46,46
COPACABANA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,128,128
CORIPATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,8,8
CORO CORO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,3,3
COROICO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,24,24
CORQUE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,3,3
COTAGAITA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,6,6
CUATRO CAÑADAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,33,33
CUEVO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,3,3
CURVA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,16,16
DESAGUADERO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,17,17
EL ALTO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,1494,1494
EL CHORO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,6,6
EL PUENTE(TJA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,127,127
ENTRE RIOS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,29,29
ENTRE RIOS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,121,121
EUCALIPTUS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,11,11
EUREKA (SANTOS MERCADO),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,6,6
EXALTACION,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,18,18
FERNANDEZ ALONSO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,76,76
FILADELFIA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,6,6
GENERAL SAAVEDRA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,28,28
GRAL. J.J. PEREZ (CHARAZANI),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,105,105
GUANAY,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,1,1
GUAQUI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,45,45
GUAYARAMERIN,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,83,83
GUTIERREZ,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,49,49
HUACHACALLA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,2,2
HUANUNI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,11,11
ICHOCA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,43,43
ICLA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,2,2
INCAHUASI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,44,44
INGAVI (HUMAITA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,1,1
INQUISIVI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,92,92
IRUPANA (VILLA DE LANZA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,17,17
IXIAMAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,17,17
JESUS DE MACHACA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,97,97
LA ASUNTA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,101,101
LA PAZ,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,1752,1752
LAGUNILLAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,7,7
LAJA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,36,36
LAS CARRERAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,1,1
LICOMA PAMPA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,38,38
LLALLAGUA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,22,22
LLICA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,7,7
LORETO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,8,8
LURIBAY,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,28,28
MACHACAMARCA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,41,41
MACHARETI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,108,108
MAIRANA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,28,28
MALLA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,49,49
MAPIRI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,14,14
MECAPACA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,34,34
MINEROS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,93,93
MIZQUE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,6,6
MOCOMOCO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,56,56
MOJOCOYA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,11,11
MONTEAGUDO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,14,14
MONTERO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,227,227
MORO MORO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,8,8
MOROCHATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,24,24
NACEBE (SANTA ROSA DEL ABUNA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,2,2
NAZACARA DE PACAJES,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,6,6
OKINAWA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,74,74
ORURO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,567,567
PADCAYA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,54,54
PADILLA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,2,2
PAILON,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,25,25
PALCA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,50,50
PALOS BLANCOS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,43,43
PAMPA AULLAGAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,8,8
PAMPA GRANDE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,25,25
PAPEL PAMPA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,5,5
PATACAMAYA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,323,323
PAZÑA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,11,11
PELECHUCO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,17,17
POCONA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,7,7
POJO (CBBA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,8,8
POROMA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,5,5
PORTACHUELO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,9,9
PORVENIR,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,36,36
POSTRER VALLE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,3,3
POTOSI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,77,77
PRESTO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,1,1
PUCARA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,6,6
PUCARANI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,117,117
PUERTO ACOSTA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,56,56
PUERTO CARABUCO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,76,76
PUERTO GONZALO MORENO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,2,2
PUERTO PEREZ,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,43,43
PUERTO QUIJARRO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,2,2
PUERTO RICO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,19,19
PUERTO SUAREZ,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,13,13
PUERTO VILLARROEL,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,50,50
PUNA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,75,75
PUNATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,17,17
QUIABAYA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,11,11
QUILLACOLLO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,292,292
QUIME,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,25,25
QUIRUSILLAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,3,3
REYES,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,3,3
RIBERALTA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,122,122
ROBORE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,79,79
RURRENABAQUE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,22,22
SACABA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,208,208
SALINAS DE GARCI MENDOZA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,6,6
SAMAIPATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,17,17
SAN ANDRES,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,16,16
SAN ANDRES DE MACHACA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,13,13
SAN ANTONIO DE LOMERIO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,3,3
SAN BENITO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,13,13
SAN BORJA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,46,46
SAN BUENA VENTURA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,14,14
SAN CARLOS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,62,62
SAN IGNACIO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,45,45
SAN IGNACIO DE VELASCO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,81,81
SAN JAVIER(STC),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,20,20
SAN JOAQUIN,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,1,1
SAN JUAN DE YAPACANI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,50,50
SAN JULIAN,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,45,45
SAN LORENZO(PND),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,2,2
SAN LORENZO(TJA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,104,104
SAN LUCAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,48,48
SAN MATIAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,60,60
SAN MIGUEL DE VELASCO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,72,72
SAN PEDRO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,67,67
SAN PEDRO DE CURAHUARA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,17,17
SAN PEDRO DE QUEMES,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,6,6
SAN PEDRO DE TIQUINA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,65,65
SAN RAFAEL,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,6,6
SAN RAMON,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,3,3
SAN RAMON,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,130,130
SANTA ANA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,13,13
SANTA CRUZ DE LA SIERRA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,1340,1340
SANTA ROSA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,109,109
SANTA ROSA DEL SARA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,95,95
SANTIAGO DE HUARI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,78,78
SANTIAGO DE MACHACA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,3,3
SANTIVAÑES,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,27,27
SAPAHAQUI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,69,69
SENA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,11,11
SICA SICA (VILLA AROMA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,64,64
SICAYA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,28,28
SIPE SIPE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,48,48
SORACACHI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,15,15
SORATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,62,62
SUCRE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,384,384
TACACHI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,1,1
TACOPAYA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,59,59
TAPACARI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,13,13
TARABUCO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,113,113
TARACO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,51,51
TARATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,31,31
TARIJA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,192,192
TARVITA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,83,83
TEOPONTE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,8,8
TIAWANACU,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,58,58
TINGUIPAYA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,31,31
TIPUANI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,9,9
TIQUIPAYA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,82,82
TIRAQUE (CBBA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,34,34
TITO YUPANQUI (PARQUIPUJIO),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,8,8
TOCO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,38,38
TOLATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,38,38
TOLEDO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,6,6
TOMAVE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,1,1
TOMINA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,17,17
TOTORA(CBBA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,9,9
TOTORA(ORR),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,3,3
TRIGAL,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,5,5
TRINIDAD,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,63,63
TURCO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,13,13
UMALA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,46,46
URIONDO (A. CONCEPCION),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,47,47
UYUNI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,15,15
VALLEGRANDE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,21,21
VIACHA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,27,27
VILA VILA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,13,13
VILLA MONTES,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,279,279
VILLA NUEVA (LOMA ALTA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,4,4
VILLA TUNARI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,84,84
VILLA VACA GUZMAN (MUYUPAMPA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,125,125
VILLAZON,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,1,1
VINTO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,64,64
VITICHI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,1,1
WALDO BALLIVIAN,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,24,24
WARNES,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,45,45
YACO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,54,54
YACUIBA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,65,65
