municipality,group,variable,month,Mujeres puérperas que recibieron 90 tabletas de hi,TOTAL
LA ASUNTA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,66,66
LA GUARDIA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,12,12
LA PAZ,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,720,720
LAGUNILLAS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,7,7
LAJA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,26,26
LAS CARRERAS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,3,3
LICOMA PAMPA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,9,9
LLALLAGUA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,29,29
LLICA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,2,2
LORETO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,4,4
LURIBAY,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,10,10
MACHACAMARCA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,2,2
MACHARETI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,14,14
MAGDALENA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,7,7
MAIRANA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,10,10
MALLA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,6,6
MAPIRI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,23,23
MECAPACA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,13,13
MINEROS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,10,10
MIZQUE,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,30,30
MOCOMOCO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,20,20
MOJOCOYA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,10,10
MONTEAGUDO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,27,27
MONTERO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,50,50
MORO MORO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,2,2
MOROCHATA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,9,9
NACEBE (SANTA ROSA DEL ABUNA),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,2,2
NAZACARA DE PACAJES,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,2,2
OCURI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,17,17
OKINAWA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,27,27
OMEREQUE,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,8,8
ORURO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,159,159
PADCAYA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,31,31
PADILLA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,19,19
PALCA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,11,11
PALOS BLANCOS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,44,44
PAMPA AULLAGAS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,4,4
PAMPA GRANDE,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,7,7
