municipality,group,variable,month,Nacidos muertos atendidos por partera capacit,TOTAL
TOMAVE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-04-01,1,1
YANACACHI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-04-01,1,1
APOLO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-05-01,1,1
ARAMPAMPA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-05-01,1,1
ARQUE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-05-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-05-01,2,2
CARANAVI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-05-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-05-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-05-01,1,1
FILADELFIA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-05-01,1,1
MECAPACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-05-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-05-01,1,1
RIBERALTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-05-01,1,1
SUCRE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-05-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-05-01,1,1
ACACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-06-01,1,1
APOLO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-06-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-06-01,1,1
GUTIERREZ,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-06-01,1,1
ICLA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-06-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-06-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-06-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-06-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-06-01,2,2
TACOBAMBA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-06-01,1,1
TACOPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-06-01,1,1
TARABUCO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-06-01,1,1
TOTORA(ORR),atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-06-01,1,1
VILA VILA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-06-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-07-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-07-01,1,1
FERNANDEZ ALONSO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-07-01,1,1
FILADELFIA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-07-01,1,1
HUACARETA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-07-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-07-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-07-01,1,1
PRESTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-07-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-07-01,1,1
YOCALLA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-07-01,1,1
CARACOLLO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-08-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-08-01,3,3
COLQUENCHA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-08-01,1,1
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-08-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-08-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-08-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-08-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-08-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-08-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-08-01,1,1
TORO TORO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-08-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-08-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-09-01,1,1
CARACOLLO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-09-01,1,1
CARAPARI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-09-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-09-01,2,2
COMBAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-09-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-09-01,2,2
LURIBAY,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-09-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-09-01,1,1
PRESTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-09-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-09-01,1,1
SAN JAVIER(BNI),atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-09-01,1,1
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-09-01,1,1
TOMAVE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-09-01,1,1
VILLA MONTES,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-09-01,1,1
ARQUE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-10-01,1,1
CAIROMA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-10-01,1,1
CALACOTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-10-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-10-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-10-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-10-01,2,2
COTAGAITA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-10-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-10-01,2,2
PASORAPA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-10-01,1,1
PAZÑA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-10-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-10-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-10-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-10-01,1,1
TACOBAMBA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-10-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-10-01,1,1
TORO TORO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-10-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-10-01,1,1
"CAIZA ""D""",atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-11-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-11-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-11-01,11,11
GUAYARAMERIN,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-11-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-11-01,1,1
LAS CARRERAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-11-01,1,1
QUIRUSILLAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-11-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-11-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-11-01,1,1
AIQUILE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-12-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-12-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-12-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-12-01,1,1
SACABAMBA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-12-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-12-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-12-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-12-01,1,1
SUCRE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-12-01,1,1
TACOBAMBA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-12-01,1,1
TURCO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-12-01,1,1
VIACHA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-12-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-12-01,1,1
