municipality,group,variable,month,Niños 1 a 4 años con 2da dosis de vitamina A,TOTAL
EL ALTO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,753,753
EL PUENTE(TJA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,2,2
ENTRE RIOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,60,60
EXALTACION,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,2,2
FERNANDEZ ALONSO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,102,102
GENERAL SAAVEDRA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,164,164
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,19,19
GUANAY,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,27,27
GUAQUI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,7,7
GUTIERREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,125,125
IRUPANA (VILLA DE LANZA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,23,23
IXIAMAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,24,24
JESUS DE MACHACA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,6,6
LA ASUNTA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,48,48
LA GUARDIA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,133,133
LA PAZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,1077,1077
LAGUNILLAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,16,16
LLALLAGUA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,21,21
MAGDALENA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,30,30
MAPIRI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,33,33
MECAPACA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,64,64
MINEROS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,29,29
MOCOMOCO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,38,38
MONTERO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,210,210
OCURI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,85,85
PADCAYA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,28,28
PAILON,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,30,30
PALCA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,6,6
PALOS BLANCOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,79,79
PAPEL PAMPA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,14,14
PATACAMAYA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,42,42
PELECHUCO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,16,16
POCOATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,7,7
PORONGO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,27,27
PUCARANI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,44,44
PUERTO ACOSTA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,59,59
PUERTO CARABUCO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,85,85
PUERTO QUIJARRO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,72,72
PUERTO SUAREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,42,42
PUNA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,44,44
QUIME,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,3,3
RAVELO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,10,10
REYES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,45,45
ROBORE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,18,18
RURRENABAQUE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,23,23
SAN ANDRES DE MACHACA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,16,16
SAN BORJA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,30,30
SAN BUENA VENTURA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,9,9
SAN IGNACIO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,117,117
SAN JAVIER(BNI),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,2,2
SAN JOSE DE CHIQUITOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,26,26
SAN LORENZO(TJA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,24,24
SAN MATIAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,30,30
SAN PEDRO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,130,130
SAN PEDRO DE CURAHUARA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,1,1
SAN PEDRO DE TIQUINA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,2,2
SANTA CRUZ DE LA SIERRA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,1188,1188
SANTA ROSA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,27,27
SICA SICA (VILLA AROMA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,30,30
SORATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,5,5
TAPACARI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,6,6
TARACO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,5,5
TARIJA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,241,241
TEOPONTE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,21,21
TIAWANACU,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,15,15
TIPUANI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,13,13
TUPIZA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,5,5
UMALA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,11,11
UNCIA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,59,59
URIONDO (A. CONCEPCION),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,31,31
URUBICHA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,6,6
VIACHA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,64,64
WALDO BALLIVIAN,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,1,1
YACO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,17,17
YACUIBA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,144,144
YANACACHI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,8,8
YAPACANI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,2,2
ACHACACHI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,41,41
ACHOCALLA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,30,30
APOLO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,2,2
ASCENCION DE GUARAYOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,443,443
AUCAPATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,13,13
AYATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,15,15
AYO AYO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,26,26
BATALLAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,3,3
BAURES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,3,3
BERMEJO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,514,514
BOLIVAR,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,1,1
BOYUIBE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,16,16
CABEZAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,31,31
CAJUATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,62,62
CAMIRI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,178,178
CARANAVI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,200,200
CARAPARI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,15,15
CARMEN RIVERO TORREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,80,80
CHACARILLA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,4,4
CHARAGUA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,76,76
CHAYANTA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,14,14
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,16,16
CHUMA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,14,14
COCHABAMBA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,518,518
COLLANA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,1,1
COLQUECHACA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,8,8
COLQUIRI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,5,5
CORIPATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,19,19
CORO CORO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,6,6
COROICO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,26,26
CUEVO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,4,4
CURVA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,6,6
DESAGUADERO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,5,5
EL ALTO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,704,704
EL PUENTE(STC),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,2,2
EL PUENTE(TJA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,21,21
EL TORNO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,7,7
ENTRE RIOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,27,27
EXALTACION,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,1,1
FERNANDEZ ALONSO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,98,98
GENERAL SAAVEDRA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,130,130
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,33,33
GUANAY,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,27,27
GUAQUI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,15,15
GUTIERREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,80,80
HUARACAJE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,6,6
IRUPANA (VILLA DE LANZA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,41,41
IXIAMAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,15,15
JESUS DE MACHACA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,32,32
LA ASUNTA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,56,56
LA GUARDIA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,94,94
LA PAZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,1088,1088
LAGUNILLAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,31,31
LORETO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,3,3
LURIBAY,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,50,50
MAGDALENA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,10,10
MAPIRI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,17,17
MECAPACA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,23,23
MINEROS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,123,123
MOCOMOCO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,38,38
MONTERO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,207,207
OCURI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,47,47
PADCAYA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,24,24
PAILON,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,39,39
PALCA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,10,10
PALOS BLANCOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,53,53
PAPEL PAMPA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,5,5
PATACAMAYA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,46,46
PELECHUCO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,18,18
PORONGO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,23,23
PUCARANI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,36,36
PUERTO ACOSTA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,56,56
PUERTO CARABUCO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,79,79
PUERTO PEREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,3,3
PUERTO QUIJARRO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,234,234
PUERTO SUAREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,143,143
PUNA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,51,51
QUIME,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,5,5
REYES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,7,7
ROBORE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,75,75
RURRENABAQUE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,23,23
SAN ANDRES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,32,32
SAN ANDRES DE MACHACA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,5,5
SAN BORJA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,79,79
SAN BUENA VENTURA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,47,47
SAN CARLOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,29,29
SAN IGNACIO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,42,42
SAN JAVIER(BNI),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,1,1
SAN JOSE DE CHIQUITOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,8,8
SAN LORENZO(TJA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,44,44
SAN PEDRO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,109,109
SAN PEDRO DE CURAHUARA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,3,3
SANTA CRUZ DE LA SIERRA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,998,998
SANTA ROSA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,9,9
SICA SICA (VILLA AROMA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,87,87
SORATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,3,3
TAPACARI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,5,5
TARACO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,1,1
TARIJA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,215,215
TEOPONTE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,11,11
TIAWANACU,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,4,4
TIPUANI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,13,13
TRINIDAD,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,2,2
TUPIZA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,2,2
UMALA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,21,21
URIONDO (A. CONCEPCION),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,37,37
URUBICHA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,187,187
VIACHA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,77,77
WALDO BALLIVIAN,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,1,1
YACO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,12,12
YACUIBA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,237,237
YANACACHI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,14,14
YAPACANI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,5,5
YUNCHARA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-02-01,1,1
ACHOCALLA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,7,7
APOLO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,4,4
ASCENCION DE GUARAYOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,5,5
AUCAPATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,23,23
AYATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,74,74
AYO AYO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,13,13
BAURES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,16,16
BERMEJO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,78,78
BOYUIBE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,90,90
CABEZAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,36,36
CAJUATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,15,15
CALACOTO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,4,4
CAMIRI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,135,135
CAQUIAVIRI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,4,4
CARANAVI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,232,232
CARAPARI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,6,6
CARMEN RIVERO TORREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,14,14
CHACARILLA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,12,12
CHARAGUA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,40,40
CHAYANTA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,6,6
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,30,30
CHUMA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,17,17
COCHABAMBA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,475,475
COMANCHE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,24,24
CORIPATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,27,27
CORO CORO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,5,5
COROICO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,30,30
COTOCA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,1,1
CUEVO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,10,10
CURVA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,16,16
DESAGUADERO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,38,38
EL ALTO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,993,993
EL TORNO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,46,46
ENTRE RIOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,46,46
EXALTACION,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,17,17
FERNANDEZ ALONSO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,66,66
GENERAL SAAVEDRA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-03-01,186,186
