municipality,group,variable,month,Mujeres puérperas que recibieron dosis única d,TOTAL
GUTIERREZ,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,18,18
HUACARETA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,7,7
HUACHACALLA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,1,1
HUANUNI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,41,41
HUARACAJE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,5,5
HUAYLLAMARCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,9,9
ICHOCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,6,6
ICLA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,14,14
INCAHUASI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,18,18
INQUISIVI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,15,15
IRUPANA (VILLA DE LANZA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,17,17
IXIAMAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,16,16
JESUS DE MACHACA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,7,7
LA ASUNTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,25,25
LA GUARDIA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,42,42
LA PAZ,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,918,918
LAGUNILLAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,9,9
LAJA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,15,15
LAS CARRERAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,11,11
LICOMA PAMPA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,2,2
LLALLAGUA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,4,4
LLICA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,7,7
LORETO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,1,1
LURIBAY,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,9,9
MACHARETI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,10,10
MAGDALENA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,6,6
MAIRANA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,11,11
MALLA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,4,4
MAPIRI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,24,24
MECAPACA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,23,23
MINEROS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,7,7
MIZQUE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,25,25
MOCOMOCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,31,31
MOJOCOYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,10,10
MONTEAGUDO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,20,20
MONTERO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,241,241
MORO MORO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,4,4
MOROCHATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,23,23
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,2,2
OCURI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,21,21
OKINAWA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,14,14
OMEREQUE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,6,6
ORURO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,355,355
PADCAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,16,16
PADILLA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,20,20
PAILON,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,4,4
PALCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,6,6
PALOS BLANCOS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,43,43
PAMPA AULLAGAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,5,5
PAMPA GRANDE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,7,7
PAPEL PAMPA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,7,7
PASORAPA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,3,3
PATACAMAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,22,22
PAZÑA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,1,1
PELECHUCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,6,6
POCOATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,31,31
POCONA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,32,32
POJO (CBBA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,45,45
POOPO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,4,4
PORCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,6,6
POROMA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,38,38
PORONGO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,13,13
PORTACHUELO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,15,15
PORVENIR,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,4,4
POSTRER VALLE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,3,3
POTOSI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,140,140
PRESTO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,27,27
PUCARA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,1,1
PUCARANI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,24,24
PUERTO ACOSTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,21,21
PUERTO CARABUCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,19,19
PUERTO GONZALO MORENO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,7,7
PUERTO PEREZ,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,8,8
PUERTO QUIJARRO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,19,19
PUERTO RICO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,10,10
PUERTO SILES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,2,2
PUERTO SUAREZ,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,28,28
PUERTO VILLARROEL,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,74,74
PUNA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,36,36
PUNATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,57,57
QUILLACOLLO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,186,186
QUIME,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,12,12
RAVELO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,24,24
REYES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,22,22
RIBERALTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,128,128
ROBORE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,21,21
RURRENABAQUE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,34,34
SACABA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,147,147
SACABAMBA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,3,3
SACACA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,46,46
SAIPINA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,5,5
SALINAS DE GARCI MENDOZA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,10,10
SAMAIPATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,13,13
SAN AGUSTIN,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,3,3
SAN ANDRES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,8,8
SAN ANDRES DE MACHACA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,6,6
SAN ANTONIO DE ESMORUCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,3,3
SAN ANTONIO DE LOMERIO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,5,5
SAN BENITO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,17,17
SAN BORJA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,57,57
SAN BUENA VENTURA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,8,8
SAN CARLOS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,27,27
SAN IGNACIO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,33,33
SAN IGNACIO DE VELASCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,94,94
SAN JAVIER(BNI),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,1,1
SAN JAVIER(STC),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,16,16
SAN JOAQUIN,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,4,4
SAN JOSE DE CHIQUITOS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,20,20
SAN JUAN DE YAPACANI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,12,12
SAN JULIAN,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,87,87
SAN LORENZO(PND),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,18,18
SAN LORENZO(TJA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,35,35
SAN LUCAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,61,61
SAN MATIAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,17,17
SAN MIGUEL DE VELASCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,16,16
SAN PABLO DE LIPEZ,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,2,2
SAN PEDRO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,39,39
SAN PEDRO DE BUENA VISTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,24,24
SAN PEDRO DE CURAHUARA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,6,6
SAN PEDRO DE TIQUINA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,3,3
SAN PEDRO(PND),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,1,1
SAN RAMON,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,8,8
SAN RAMON,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,11,11
SANTA ANA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,32,32
SANTA CRUZ DE LA SIERRA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,1361,1361
SANTA ROSA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,16,16
SANTA ROSA DEL SARA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,22,22
SANTIAGO DE CALLAPA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,9,9
SANTIAGO DE HUARI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,6,6
SANTIAGO DE MACHACA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,4,4
SANTIVAÑES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,6,6
SANTUARIO DE QUILLACAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,7,7
SAPAHAQUI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,15,15
SENA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,5,5
SICA SICA (VILLA AROMA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,24,24
SICAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,4,4
SIPE SIPE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,35,35
SOPACHUY,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,10,10
SORACACHI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,10,10
SORATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,30,30
SUCRE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,257,257
TACACHI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,3,3
TACACOMA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,3,3
TACOBAMBA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,9,9
TACOPAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,17,17
TAHUA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,1,1
TAPACARI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,39,39
TARABUCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,50,50
TARACO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,4,4
TARATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,8,8
TARIJA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,77,77
TARVITA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,44,44
TEOPONTE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,6,6
TIAWANACU,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,18,18
TINGUIPAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,36,36
TIPUANI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,16,16
TIQUIPAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,1,1
TIRAQUE (CBBA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,68,68
TOCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,2,2
TOLATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,5,5
TOLEDO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,2,2
TOMAVE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,4,4
TOMINA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,8,8
TORO TORO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,27,27
TOTORA(CBBA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,20,20
TOTORA(ORR),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,9,9
TRINIDAD,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,49,49
TUPIZA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,80,80
TURCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,4,4
UMALA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,3,3
UNCIA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,46,46
URIONDO (A. CONCEPCION),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,7,7
URUBICHA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,9,9
UYUNI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,34,34
VACAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,23,23
VALLEGRANDE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,22,22
VIACHA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,22,22
VILA VILA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,4,4
VILLA MONTES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,50,50
VILLA NUEVA (LOMA ALTA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,1,1
VILLA RIVERO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,6,6
VILLA SERRANO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,17,17
VILLA TUNARI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,91,91
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,15,15
VILLAZON,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,56,56
VINTO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,19,19
VITICHI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,11,11
WALDO BALLIVIAN,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,1,1
