municipality,group,variable,month,Niños de 1 a 4 años con 1ra dosis vitamina A,TOTAL
AYO AYO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,17,17
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,140,140
AZURDUY,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,384,384
BATALLAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,195,195
BAURES,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,25,25
BELEN DE URMIRI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,26,26
BELLA FLOR,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,40,40
BERMEJO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,243,243
BETANZOS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,635,635
BOLIVAR,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,123,123
BOLPEBRA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,13,13
BOYUIBE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,24,24
BUENA VISTA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,202,202
CABEZAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,41,41
CAIROMA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,250,250
"CAIZA ""D""",micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,99,99
CAJUATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,167,167
CALACOTO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,4,4
CALAMARCA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,97,97
CAMARGO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,270,270
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,82,82
CAMIRI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,253,253
CAPINOTA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,113,113
CAQUIAVIRI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,50,50
CARACOLLO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,133,133
CARANAVI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,221,221
CARANGAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,2,2
CARAPARI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,101,101
CARIPUYO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,188,188
CARMEN RIVERO TORREZ,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,30,30
CATACORA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,76,76
CHACARILLA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,4,4
CHALLAPATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,287,287
CHAQUI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,8,8
CHARAGUA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,266,266
CHARAÑA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,57,57
CHAYANTA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,47,47
CHIMORE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,79,79
CHIPAYA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,9,9
CHOQUE COTA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,8,8
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,24,24
CHUMA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,38,38
CLIZA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,102,102
COBIJA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,312,312
COCHABAMBA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,1694,1694
COIPASA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,28,28
COLCAPIRHUA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,30,30
"COLCHA ""K""",micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,9,9
COLLANA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,10,10
COLOMI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,308,308
COLPA BELGICA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,51,51
COLQUECHACA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,117,117
COLQUENCHA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,83,83
COLQUIRI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,284,284
COMANCHE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,12,12
COMARAPA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,135,135
COMBAYA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,16,16
CONCEPCION,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,13,13
COPACABANA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,210,210
CORIPATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,38,38
CORO CORO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,29,29
COROICO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,37,37
CORQUE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,22,22
COTAGAITA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,161,161
COTOCA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,277,277
CUATRO CAÑADAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,59,59
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,33,33
CUEVO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,98,98
CULPINA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,590,590
CURAHUARA DE CARANGAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,26,26
CURVA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,26,26
DESAGUADERO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,30,30
EL ALTO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,1358,1358
EL CHORO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,16,16
EL PUENTE(STC),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,121,121
EL PUENTE(TJA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,78,78
EL TORNO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,157,157
ENTRE RIOS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,298,298
ENTRE RIOS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,93,93
ESCARA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,3,3
EUCALIPTUS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,42,42
EUREKA (SANTOS MERCADO),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,9,9
EXALTACION,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,22,22
FERNANDEZ ALONSO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,144,144
FILADELFIA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,47,47
GENERAL SAAVEDRA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,79,79
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,30,30
GUANAY,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,51,51
GUAQUI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,13,13
GUAYARAMERIN,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,238,238
GUTIERREZ,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,281,281
HUACARETA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,218,218
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,68,68
HUACHACALLA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,2,2
HUANUNI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,79,79
HUARACAJE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,18,18
HUAYLLAMARCA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,54,54
ICHOCA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,83,83
ICLA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,470,470
INCAHUASI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,342,342
INQUISIVI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,319,319
IRUPANA (VILLA DE LANZA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,130,130
IXIAMAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,52,52
JESUS DE MACHACA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,63,63
LA ASUNTA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,62,62
LA GUARDIA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,135,135
LA PAZ,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,2502,2502
LA RIVERA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,1,1
LAGUNILLAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,34,34
LAJA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,100,100
LAS CARRERAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,16,16
LICOMA PAMPA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,5,5
LLALLAGUA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,79,79
LORETO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,26,26
LURIBAY,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,99,99
MACHACAMARCA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,6,6
MACHARETI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,270,270
MAGDALENA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,35,35
MAIRANA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,68,68
MALLA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,20,20
MAPIRI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,28,28
MECAPACA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,116,116
MINEROS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,244,244
MIZQUE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,222,222
MOCOMOCO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,82,82
MOJOCOYA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,62,62
MONTEAGUDO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,152,152
MONTERO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,430,430
MORO MORO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,39,39
MOROCHATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,121,121
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,27,27
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,6,6
OCURI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,150,150
OKINAWA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,176,176
OMEREQUE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,7,7
ORURO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,1198,1198
PADCAYA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,168,168
PAILON,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,40,40
PALCA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,32,32
PALOS BLANCOS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,223,223
PAMPA AULLAGAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,3,3
PAMPA GRANDE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,99,99
PAPEL PAMPA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,11,11
PASORAPA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,28,28
PATACAMAYA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,91,91
PAZÑA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,23,23
PELECHUCO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,38,38
POCOATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,74,74
POCONA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,215,215
POJO (CBBA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,220,220
POOPO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,13,13
PORCO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,15,15
POROMA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,399,399
PORONGO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,25,25
PORTACHUELO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,181,181
PORVENIR,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,3,3
POSTRER VALLE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,5,5
POTOSI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,1061,1061
PRESTO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,49,49
PUCARA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,1,1
PUCARANI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,47,47
PUERTO ACOSTA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,123,123
PUERTO CARABUCO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,104,104
PUERTO GONZALO MORENO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,10,10
PUERTO PEREZ,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,23,23
PUERTO QUIJARRO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,82,82
PUERTO RICO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,43,43
PUERTO SILES,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,5,5
PUERTO SUAREZ,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,53,53
PUERTO VILLARROEL,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,214,214
PUNA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,88,88
PUNATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,255,255
QUIABAYA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,75,75
QUILLACOLLO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,669,669
QUIME,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,358,358
QUIRUSILLAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,19,19
RAVELO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,66,66
REYES,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,82,82
RIBERALTA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,591,591
ROBORE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,18,18
RURRENABAQUE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,38,38
SABAYA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,16,16
SACABA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,582,582
SACABAMBA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,21,21
SACACA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,379,379
SAIPINA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,38,38
SALINAS DE GARCI MENDOZA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,45,45
SAMAIPATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,89,89
SAN ANDRES,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,139,139
SAN ANDRES DE MACHACA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,30,30
SAN ANTONIO DE LOMERIO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,122,122
SAN BENITO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,21,21
SAN BORJA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,110,110
SAN BUENA VENTURA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,48,48
SAN CARLOS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,198,198
SAN IGNACIO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,197,197
SAN IGNACIO DE VELASCO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,562,562
SAN JAVIER(BNI),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,50,50
SAN JAVIER(STC),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,34,34
SAN JOAQUIN,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,16,16
SAN JOSE DE CHIQUITOS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,76,76
SAN JUAN DE YAPACANI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,94,94
SAN JULIAN,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,183,183
SAN LORENZO(PND),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,145,145
SAN LORENZO(TJA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,115,115
SAN LUCAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,539,539
SAN MATIAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,24,24
SAN MIGUEL DE VELASCO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,167,167
SAN PABLO DE LIPEZ,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,9,9
SAN PEDRO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,103,103
SAN PEDRO DE BUENA VISTA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,229,229
SAN PEDRO DE CURAHUARA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,96,96
SAN PEDRO DE TIQUINA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,57,57
SAN PEDRO(PND),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,6,6
SAN RAFAEL,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,42,42
SAN RAMON,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,26,26
SAN RAMON,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,75,75
SANTA ANA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,14,14
SANTA CRUZ DE LA SIERRA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,3994,3994
SANTA ROSA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,27,27
SANTA ROSA DEL SARA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,173,173
SANTIAGO DE CALLAPA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,74,74
SANTIAGO DE HUARI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,55,55
SANTIAGO DE MACHACA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,14,14
SANTIVAÑES,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,37,37
SANTUARIO DE QUILLACAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,38,38
SAPAHAQUI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,76,76
SENA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,34,34
SICA SICA (VILLA AROMA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,176,176
SICAYA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,6,6
SIPE SIPE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,224,224
SOPACHUY,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,1,1
SORACACHI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,70,70
SORATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,456,456
SUCRE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,872,872
TACACHI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,12,12
TACACOMA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,70,70
