municipality,group,variable,month,Mujeres puérperas que recibieron 90 tabletas d,TOTAL
COTOCA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,14,14
CUATRO CAÑADAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,6,6
CUEVO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,1,1
CULPINA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,11,11
CURAHUARA DE CARANGAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,9,9
CURVA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,4,4
DESAGUADERO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,3,3
EL ALTO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,583,583
EL CHORO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,1,1
EL PUENTE(STC),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,1,1
EL PUENTE(TJA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,13,13
EL TORNO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,4,4
EL VILLAR,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,3,3
ENTRE RIOS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,21,21
ENTRE RIOS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,3,3
EUCALIPTUS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,11,11
EXALTACION,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
FERNANDEZ ALONSO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,20,20
FILADELFIA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,3,3
GENERAL SAAVEDRA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,20,20
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,15,15
GUANAY,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,1,1
GUAQUI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,7,7
GUAYARAMERIN,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,24,24
GUTIERREZ,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,8,8
HUACARETA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,7,7
HUACAYA (VILLA DE HUACAYA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,4,4
HUACHACALLA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,1,1
HUANUNI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,41,41
HUARACAJE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,5,5
HUAYLLAMARCA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,9,9
ICHOCA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,6,6
ICLA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,15,15
INCAHUASI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,19,19
INQUISIVI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,15,15
IRUPANA (VILLA DE LANZA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,14,14
IXIAMAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,18,18
JESUS DE MACHACA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,15,15
LA ASUNTA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,26,26
LA GUARDIA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,9,9
LA PAZ,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,887,887
LAGUNILLAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,7,7
LAJA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,14,14
LICOMA PAMPA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
LLALLAGUA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,10,10
LLICA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,7,7
LORETO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,1,1
LURIBAY,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,9,9
MACHARETI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,4,4
MAGDALENA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,5,5
MAIRANA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,3,3
MALLA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,4,4
MAPIRI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,25,25
MECAPACA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,14,14
MINEROS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
MIZQUE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,9,9
MOCOMOCO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,31,31
MOJOCOYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,10,10
MONTEAGUDO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,25,25
MONTERO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,46,46
MORO MORO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,4,4
MOROCHATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,11,11
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
OCURI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,18,18
OKINAWA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,13,13
OMEREQUE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,6,6
ORURO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,113,113
PADCAYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,12,12
PADILLA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,18,18
PALCA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,6,6
PALOS BLANCOS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,34,34
PAMPA AULLAGAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,5,5
PAPEL PAMPA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,7,7
PASORAPA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,3,3
PATACAMAYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,50,50
PAZÑA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
PELECHUCO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,4,4
POCOATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,23,23
POCONA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,19,19
POJO (CBBA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,33,33
PORCO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,4,4
POROMA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,31,31
PORONGO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,4,4
PORTACHUELO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,15,15
PORVENIR,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,4,4
POSTRER VALLE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
POTOSI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,107,107
PRESTO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,25,25
PUCARA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,1,1
PUCARANI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,24,24
PUERTO ACOSTA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,21,21
PUERTO CARABUCO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,17,17
PUERTO GONZALO MORENO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,6,6
PUERTO PEREZ,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,8,8
PUERTO QUIJARRO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,14,14
PUERTO RICO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,10,10
PUERTO SILES,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
PUERTO VILLARROEL,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,15,15
PUNA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,24,24
PUNATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,5,5
QUILLACOLLO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,9,9
QUIME,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,12,12
RAVELO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,12,12
REYES,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,3,3
RIBERALTA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,116,116
RURRENABAQUE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
SACABA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,68,68
SACACA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,46,46
SAIPINA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,5,5
SALINAS DE GARCI MENDOZA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,11,11
SAMAIPATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,12,12
SAN AGUSTIN,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,3,3
SAN ANDRES,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,9,9
SAN ANDRES DE MACHACA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,4,4
SAN ANTONIO DE ESMORUCO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
SAN ANTONIO DE LOMERIO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,3,3
SAN BENITO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,14,14
SAN BORJA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,34,34
SAN BUENA VENTURA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,8,8
SAN CARLOS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,9,9
SAN IGNACIO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,15,15
SAN IGNACIO DE VELASCO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,10,10
SAN JAVIER(BNI),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
SAN JOAQUIN,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,4,4
SAN JOSE DE CHIQUITOS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,5,5
SAN JUAN DE YAPACANI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,10,10
SAN JULIAN,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,13,13
SAN LORENZO(PND),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,19,19
SAN LORENZO(TJA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,34,34
SAN LUCAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,52,52
SAN MATIAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,1,1
SAN PABLO DE LIPEZ,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
SAN PEDRO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,26,26
SAN PEDRO DE BUENA VISTA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,23,23
SAN PEDRO DE CURAHUARA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,12,12
SAN PEDRO DE TIQUINA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,3,3
SAN RAFAEL,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,1,1
SAN RAMON,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
SAN RAMON,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,8,8
SANTA ANA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,29,29
SANTA CRUZ DE LA SIERRA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,292,292
SANTA ROSA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,3,3
SANTA ROSA DEL SARA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,18,18
SANTIAGO DE CALLAPA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,6,6
SANTIAGO DE HUARI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,6,6
SANTIAGO DE MACHACA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,4,4
SANTIVAÑES,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,5,5
SANTUARIO DE QUILLACAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,5,5
SAPAHAQUI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,15,15
SENA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,5,5
SICA SICA (VILLA AROMA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,28,28
SICAYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,4,4
SIPE SIPE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,28,28
SOPACHUY,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
SORACACHI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,10,10
SORATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,30,30
SUCRE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,188,188
TACACHI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
TACACOMA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,3,3
TACOBAMBA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,9,9
TACOPAYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,18,18
TAHUA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,1,1
TAPACARI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,40,40
TARABUCO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,47,47
TARACO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,4,4
TARATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
TARIJA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,49,49
TARVITA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,35,35
TEOPONTE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,6,6
TIAWANACU,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,17,17
TINGUIPAYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,9,9
TIPUANI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,16,16
TIQUIPAYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,48,48
TIRAQUE (CBBA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,34,34
TOCO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
TOLEDO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,3,3
TOMAVE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,6,6
TOMINA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,7,7
TORO TORO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,12,12
TOTORA(CBBA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,7,7
TOTORA(ORR),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,9,9
TRIGAL,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,1,1
TRINIDAD,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,247,247
TUPIZA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,34,34
TURCO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,4,4
UMALA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,3,3
UNCIA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,41,41
URIONDO (A. CONCEPCION),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,32,32
URUBICHA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,3,3
UYUNI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,35,35
VACAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,18,18
VALLEGRANDE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,20,20
VIACHA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,21,21
VILA VILA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
VILLA MONTES,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,52,52
VILLA NUEVA (LOMA ALTA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,1,1
VILLA SERRANO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,7,7
VILLA TUNARI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,19,19
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,17,17
VILLAZON,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,29,29
VINTO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,18,18
VITICHI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,9,9
WALDO BALLIVIAN,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,1,1
WARNES,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,13,13
YACO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,1,1
