municipality,group,variable,month,Mujeres embarazadas que recibieron 90 tabletas,TOTAL
CAJUATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,33,33
CALACOTO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,5,5
CALAMARCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,11,11
CAMARGO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,22,22
CAMATAQUI (C. VILLA ABECIA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,2,2
CAMIRI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,31,31
CAPINOTA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,16,16
CAQUIAVIRI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,11,11
CARACOLLO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,40,40
CARANAVI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,25,25
CARAPARI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,8,8
CARIPUYO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,10,10
CARMEN RIVERO TORREZ,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,2,2
CATACORA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,1,1
CHALLAPATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,25,25
CHAQUI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,7,7
CHARAGUA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,37,37
CHARAÑA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,6,6
CHAYANTA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,12,12
CHIMORE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,18,18
CHIPAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,57,57
CHUMA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,18,18
CLIZA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,29,29
COBIJA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,113,113
COCHABAMBA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,120,120
COIPASA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,2,2
COLCAPIRHUA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,58,58
"COLCHA ""K""",micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,6,6
COLLANA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,4,4
COLOMI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,16,16
COLPA BELGICA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,3,3
COLQUECHACA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,57,57
COLQUENCHA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,10,10
COLQUIRI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,36,36
COMANCHE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,2,2
COMARAPA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,33,33
COMBAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,2,2
CONCEPCION,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,57,57
COPACABANA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,19,19
CORIPATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,5,5
CORO CORO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,16,16
COROICO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,36,36
CORQUE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,4,4
COTAGAITA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,30,30
COTOCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,30,30
CUATRO CAÑADAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,46,46
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,3,3
CUEVO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,2,2
CULPINA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,22,22
CURAHUARA DE CARANGAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,3,3
CURVA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,5,5
DESAGUADERO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,9,9
EL ALTO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,1069,1069
EL CHORO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,3,3
EL PUENTE(STC),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,28,28
EL PUENTE(TJA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,15,15
EL TORNO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,232,232
EL VILLAR,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,5,5
ENTRE RIOS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,24,24
ENTRE RIOS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,24,24
EUCALIPTUS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,6,6
EXALTACION,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,5,5
FERNANDEZ ALONSO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,34,34
FILADELFIA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,11,11
GENERAL SAAVEDRA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,40,40
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,16,16
GUANAY,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,13,13
GUAQUI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,8,8
GUAYARAMERIN,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,63,63
GUTIERREZ,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,16,16
HUACARETA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,14,14
HUACAYA (VILLA DE HUACAYA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,2,2
HUANUNI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,11,11
HUARACAJE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,2,2
HUAYLLAMARCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,2,2
ICHOCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,11,11
ICLA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,25,25
INCAHUASI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,19,19
INQUISIVI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,34,34
IRUPANA (VILLA DE LANZA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,21,21
IXIAMAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,11,11
JESUS DE MACHACA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,25,25
LA ASUNTA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,53,53
LA GUARDIA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,66,66
LA PAZ,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,1066,1066
LAGUNILLAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,8,8
LAJA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,7,7
LAS CARRERAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,5,5
LICOMA PAMPA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,6,6
LLALLAGUA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,36,36
LLICA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,5,5
LORETO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,2,2
LURIBAY,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,18,18
MACHACAMARCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,8,8
MACHARETI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,6,6
MAGDALENA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,19,19
MAIRANA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,14,14
MALLA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,9,9
MAPIRI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,20,20
MECAPACA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,15,15
MINEROS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,26,26
MIZQUE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,18,18
MOCOMOCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,20,20
MOJINETE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,1,1
MOJOCOYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,15,15
MONTEAGUDO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,43,43
MONTERO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,88,88
MORO MORO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,4,4
MOROCHATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,48,48
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,1,1
OCURI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,26,26
OKINAWA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,11,11
OMEREQUE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,11,11
ORURO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,218,218
PADCAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,27,27
PADILLA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,13,13
PAILON,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,3,3
PALCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,5,5
PALOS BLANCOS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,69,69
PAMPA AULLAGAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,2,2
PAMPA GRANDE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,6,6
PAPEL PAMPA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,6,6
PASORAPA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,4,4
PATACAMAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,45,45
PAZÑA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,7,7
PELECHUCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,6,6
POCOATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,32,32
POCONA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,19,19
POJO (CBBA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,23,23
POOPO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,2,2
PORCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,5,5
POROMA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,49,49
PORONGO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,10,10
PORTACHUELO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,35,35
PORVENIR,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,8,8
POSTRER VALLE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,2,2
POTOSI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,132,132
PRESTO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,6,6
PUCARANI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,26,26
PUERTO ACOSTA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,51,51
PUERTO CARABUCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,13,13
PUERTO GONZALO MORENO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,8,8
PUERTO PEREZ,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,9,9
PUERTO QUIJARRO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,14,14
PUERTO RICO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,4,4
PUERTO SUAREZ,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,12,12
PUERTO VILLARROEL,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,61,61
PUNA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,22,22
PUNATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,7,7
QUIABAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,4,4
QUILLACOLLO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,34,34
QUIME,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,28,28
QUIRUSILLAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,3,3
RAVELO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,32,32
REYES,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,33,33
RIBERALTA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,132,132
ROBORE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,9,9
RURRENABAQUE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,14,14
SABAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,1,1
SACABA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,62,62
SACACA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,30,30
SAIPINA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,14,14
SALINAS DE GARCI MENDOZA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,15,15
SAMAIPATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,18,18
SAN AGUSTIN,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,2,2
SAN ANDRES,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,21,21
SAN ANDRES DE MACHACA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,4,4
SAN ANTONIO DE ESMORUCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,7,7
SAN ANTONIO DE LOMERIO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,18,18
SAN BENITO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,11,11
SAN BORJA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,108,108
SAN BUENA VENTURA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,15,15
SAN CARLOS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,38,38
SAN IGNACIO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,58,58
SAN IGNACIO DE VELASCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,63,63
SAN JAVIER(BNI),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,3,3
SAN JAVIER(STC),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,13,13
SAN JOAQUIN,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,3,3
SAN JOSE DE CHIQUITOS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,32,32
SAN JUAN DE YAPACANI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,18,18
SAN JULIAN,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,86,86
SAN LORENZO(PND),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,15,15
SAN LORENZO(TJA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,31,31
SAN LUCAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,42,42
SAN MATIAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,6,6
SAN MIGUEL DE VELASCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,2,2
SAN PABLO DE LIPEZ,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,2,2
SAN PEDRO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,53,53
SAN PEDRO DE BUENA VISTA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,19,19
SAN PEDRO DE CURAHUARA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,8,8
SAN PEDRO DE TIQUINA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,8,8
SAN PEDRO(PND),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,1,1
SAN RAFAEL,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,4,4
SAN RAMON,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,42,42
SAN RAMON,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,14,14
SANTA ANA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,30,30
SANTA CRUZ DE LA SIERRA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,1014,1014
SANTA ROSA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,14,14
SANTA ROSA DEL SARA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,37,37
SANTIAGO DE CALLAPA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,4,4
SANTIAGO DE HUARI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,6,6
SANTIAGO DE MACHACA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,7,7
SANTIVAÑES,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,4,4
SANTUARIO DE QUILLACAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,4,4
SAPAHAQUI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,9,9
SENA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,16,16
SICA SICA (VILLA AROMA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,52,52
SICAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,4,4
SIPE SIPE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,70,70
SOPACHUY,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,20,20
SORACACHI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,4,4
SORATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,39,39
SUCRE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,159,159
TACACHI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,3,3
TACACOMA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,7,7
TACOBAMBA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,11,11
TACOPAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,12,12
TAPACARI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,71,71
TARABUCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,27,27
TARACO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,7,7
TARATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,3,3
TARIJA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,136,136
TARVITA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,31,31
TEOPONTE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,3,3
TIAWANACU,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,18,18
TINGUIPAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,1,1
TIPUANI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,48,48
TIQUIPAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,10,10
TIRAQUE (CBBA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,86,86
TOCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,2,2
TOLATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,4,4
TOLEDO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,4,4
TOMAVE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,1,1
TOMINA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,3,3
TORO TORO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,13,13
TOTORA(CBBA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,19,19
TOTORA(ORR),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,6,6
TRIGAL,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,2,2
TRINIDAD,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,221,221
TUPIZA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,37,37
TURCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,10,10
UMALA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,1,1
UNCIA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,45,45
URIONDO (A. CONCEPCION),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,24,24
URUBICHA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,14,14
UYUNI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,37,37
VACAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,23,23
