municipality,group,variable,month,Niños (as) de 6 meses a menores de 2 años con dosis completa de hierro,TOTAL
BOLIVAR,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,49,49
BOLPEBRA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,11,11
BOYUIBE,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,20,20
BUENA VISTA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,49,49
CABEZAS,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,21,21
CAIROMA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,9,9
CALACOTO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,3,3
CALAMARCA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,30,30
CAMARGO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,96,96
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,25,25
CAMIRI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,24,24
CARACOLLO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,1,1
CARANAVI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,96,96
CARAPARI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,2,2
CARIPUYO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,12,12
CARMEN RIVERO TORREZ,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,4,4
CHAQUI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,2,2
CHARAGUA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,59,59
CHAYANTA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,9,9
CHIMORE,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,50,50
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,16,16
CKOCHAS,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,13,13
COBIJA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,73,73
COCAPATA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,12,12
COCHABAMBA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,357,357
COLCAPIRHUA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,48,48
"COLCHA ""K""",micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,5,5
COLLANA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,2,2
COLPA BELGICA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,20,20
COLQUECHACA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,43,43
COLQUENCHA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,15,15
COMARAPA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,30,30
COMBAYA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,5,5
CORIPATA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,3,3
COROICO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,24,24
COTAGAITA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,5,5
COTOCA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,20,20
CUATRO CAÑADAS,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,32,32
CUEVO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,13,13
CULPINA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,88,88
CURVA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,4,4
EL ALTO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,630,630
EL CHORO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,12,12
EL PUENTE(TJA),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,35,35
EL TORNO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,66,66
EL VILLAR,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,11,11
ENTRE RIOS TRJ,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,16,16
ENTRE RIOS CBBA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,44,44
ESCOMA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,5,5
EUREKA (SANTOS MERCADO),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,4,4
EXALTACION,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,4,4
FERNANDEZ ALONSO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,17,17
FILADELFIA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,10,10
GENERAL SAAVEDRA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,7,7
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,11,11
GUANAY,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,13,13
GUAQUI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,9,9
GUAYARAMERIN,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,96,96
GUTIERREZ,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,12,12
HUACARETA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,92,92
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,19,19
HUACHACALLA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,3,3
HUARACAJE,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,6,6
HUAYLLAMARCA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,8,8
ICHOCA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,7,7
ICLA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,43,43
INCAHUASI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,68,68
INGAVI (HUMAITA),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,12,12
INQUISIVI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,1,1
IRUPANA (VILLA DE LANZA),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,8,8
IXIAMAS,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,1,1
JESUS DE MACHACA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,5,5
LA ASUNTA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,164,164
LA GUARDIA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,54,54
LA PAZ,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,1606,1606
LAJA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,10,10
LAS CARRERAS,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,17,17
LICOMA PAMPA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,8,8
LLALLAGUA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,10,10
LURIBAY,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,7,7
MACHARETI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,73,73
MAGDALENA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,31,31
MAIRANA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,7,7
MALLA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,2,2
MAPIRI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,30,30
MECAPACA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,2,2
MINEROS,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,1,1
MOCOMOCO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,19,19
MOJINETE,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,1,1
MOJOCOYA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,39,39
MONTEAGUDO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,190,190
MONTERO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,80,80
MORO MORO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,10,10
MOROCHATA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,12,12
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,6,6
NAZACARA DE PACAJES,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,3,3
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,12,12
OCURI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,5,5
OKINAWA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,1,1
OMEREQUE,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,30,30
ORURO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,61,61
PADCAYA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,38,38
PADILLA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,23,23
PALCA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,2,2
PALOS BLANCOS,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,13,13
PAPEL PAMPA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,9,9
PASORAPA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,7,7
PATACAMAYA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,4,4
PAZÑA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,1,1
PELECHUCO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,22,22
POCOATA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,3,3
POCONA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,2,2
POJO (CBBA),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,2,2
PORCO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,1,1
POROMA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,109,109
PORTACHUELO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,21,21
PORVENIR,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,14,14
POSTRER VALLE,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,5,5
POTOSI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,61,61
PRESTO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,140,140
PUCARA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,1,1
PUCARANI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,8,8
PUERTO ACOSTA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,6,6
PUERTO CARABUCO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,30,30
PUERTO GONZALO MORENO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,15,15
PUERTO PEREZ,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,2,2
PUERTO RICO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,5,5
PUERTO SILES,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,1,1
PUERTO SUAREZ,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,10,10
PUERTO VILLARROEL,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,309,309
PUNA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,1,1
PUNATA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,2,2
QUILLACOLLO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,48,48
QUIME,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,5,5
QUIRUSILLAS,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,18,18
RAVELO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,1,1
REYES,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,29,29
RIBERALTA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,244,244
RURRENABAQUE,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,61,61
SABAYA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,6,6
SACABA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,353,353
SALINAS DE GARCI MENDOZA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,15,15
SAMAIPATA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,13,13
SAN ANDRES,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,9,9
SAN ANDRES DE MACHACA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,1,1
SAN ANTONIO DE ESMORUCO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,2,2
SAN BORJA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,169,169
SAN BUENA VENTURA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,2,2
SAN CARLOS,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,5,5
SAN IGNACIO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,27,27
SAN IGNACIO DE VELASCO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,255,255
SAN JOAQUIN,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,3,3
SAN JOSE DE CHIQUITOS,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,2,2
SAN JUAN DE YAPACANI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,17,17
SAN JULIAN,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,40,40
SAN LORENZO(PND),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,14,14
SAN LORENZO(TJA),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,41,41
SAN LUCAS,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,264,264
SAN MATIAS,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,11,11
SAN MIGUEL DE VELASCO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,24,24
SAN PABLO DE LIPEZ,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,3,3
SAN PEDRO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,4,4
SAN PEDRO DE BUENA VISTA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,32,32
SAN PEDRO DE CURAHUARA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,5,5
SAN RAFAEL,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,4,4
SAN RAMON BENI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,14,14
SAN RAMON SCZ,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,37,37
SANTA ANA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,108,108
SANTA CRUZ DE LA SIERRA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,332,332
SANTA ROSA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,31,31
SANTIAGO DE HUATA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,28,28
SANTIAGO DE MACHACA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,3,3
SANTIVAÑES,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,11,11
SANTUARIO DE QUILLACAS,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,3,3
SAPAHAQUI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,3,3
SENA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,1,1
SHINAOTA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,42,42
SICA SICA (VILLA AROMA),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,6,6
SIPE SIPE,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,4,4
SOPACHUY,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,65,65
SORATA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,41,41
SUCRE,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,865,865
TACACOMA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,15,15
TACOPAYA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,14,14
TAPACARI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,2,2
TARABUCO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,197,197
TARACO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,4,4
TARIJA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,297,297
TARVITA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,165,165
TEOPONTE,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,12,12
TIAWANACU,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,31,31
TINGUIPAYA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,16,16
TIPUANI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,5,5
TIQUIPAYA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,84,84
TIRAQUE (CBBA),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,17,17
TOCO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,5,5
TOLATA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,5,5
TOLEDO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,1,1
TOMINA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,38,38
TORO TORO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,6,6
TOTORA(ORR),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,1,1
TRIGAL,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,2,2
TRINIDAD,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,192,192
TUPIZA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,35,35
TURCO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,1,1
UMALA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,5,5
URIONDO (A. CONCEPCION),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,57,57
UYUNI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,14,14
VILLA CHARCAS,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,59,59
VILLA MONTES,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,188,188
VILLA NUEVA (LOMA ALTA),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,9,9
VILLA SERRANO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,53,53
VILLA TUNARI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,140,140
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2010-01-01,43,43
