municipality,group,variable,month,Mujeres puérperas con dosis única de vitamina A,TOTAL
ORURO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,467,467
PADCAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,21,21
PADILLA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,23,23
PAILON,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,20,20
PALCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,12,12
PALOS BLANCOS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,47,47
PAMPA AULLAGAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,2,2
PAMPA GRANDE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,4,4
PAPEL PAMPA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,6,6
PASORAPA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,2,2
PATACAMAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,20,20
PAZÑA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,7,7
PELECHUCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,6,6
POCOATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,46,46
POCONA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,18,18
POJO (CBBA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,18,18
POOPO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,3,3
PORCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,15,15
POROMA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,33,33
PORONGO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,2,2
PORTACHUELO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,18,18
PORVENIR,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,4,4
POSTRER VALLE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,3,3
POTOSI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,302,302
PRESTO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,18,18
PUCARA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,4,4
PUCARANI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,36,36
PUERTO ACOSTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,6,6
PUERTO CARABUCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,14,14
PUERTO GONZALO MORENO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,7,7
PUERTO PEREZ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,11,11
PUERTO QUIJARRO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,9,9
PUERTO RICO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,8,8
PUERTO SILES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,2,2
PUERTO SUAREZ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,24,24
PUERTO VILLARROEL,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,107,107
PUNA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,16,16
PUNATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,84,84
QUIABAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,2,2
QUILLACOLLO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,6,6
QUIME,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,7,7
RAVELO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,17,17
REYES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,18,18
RIBERALTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,194,194
ROBORE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,26,26
RURRENABAQUE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,32,32
SABAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,1,1
SACABA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,212,212
SACABAMBA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,4,4
SACACA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,34,34
SAIPINA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,3,3
SALINAS DE GARCI MENDOZA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,14,14
SAMAIPATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,4,4
SAN AGUSTIN,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,1,1
SAN ANDRES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,3,3
SAN ANDRES DE MACHACA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,4,4
SAN ANTONIO DE ESMORUCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,2,2
SAN ANTONIO DE LOMERIO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,11,11
SAN BENITO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,14,14
SAN BORJA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,65,65
SAN BUENA VENTURA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,22,22
SAN CARLOS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,33,33
SAN IGNACIO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,44,44
SAN IGNACIO DE VELASCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,115,115
SAN JAVIER(BNI),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,10,10
SAN JAVIER(STC),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,12,12
