,group,variable,month,1. NACIDOS VIVOS SERV/DOM,1. NACIDOS VIVOS SERV/DOM,TOTALES,TOTALES,TOTALES
OCURI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,4,3,4,3,7
OKINAWA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,8,0,8,0,8
OMEREQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,3,0,3,0,3
ORURO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,515,20,515,20,535
PADCAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,7,2,7,2,9
PADILLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,7,0,7,0,7
PAILON,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,35,0,35,0,35
PALCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,4,7,4,7,11
PALOS BLANCOS,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,23,7,23,7,30
PAMPA GRANDE,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,0,2,0,2
PAPEL PAMPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,4,0,4,0,4
PASORAPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,0,1,0,1
PATACAMAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,25,2,25,2,27
PAZÑA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,1,2,1,3
PELECHUCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,4,1,4,5
POCOATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,15,14,15,14,29
POCONA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,7,1,7,1,8
POJO (CBBA),recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,10,1,10,1,11
POOPO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,5,1,5,1,6
PORCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,13,0,13,0,13
POROMA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,4,7,4,7,11
PORONGO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,0,1,0,1
PORTACHUELO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,32,0,32,0,32
PORVENIR,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,4,0,4,0,4
POSTRER VALLE,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,0,2,0,2
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,441,4,441,4,445
PRESTO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,0,3,0,3,3
PUCARANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,11,23,11,23,34
PUERTO ACOSTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,3,2,3,5
PUERTO CARABUCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,4,4,4,4,8
PUERTO GONZALO MORENO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,5,0,5,0,5
PUERTO PEREZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,0,4,0,4,4
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,18,0,18,0,18
PUERTO RICO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,3,0,3,0,3
PUERTO SUAREZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,32,0,32,0,32
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,132,0,132,0,132
PUNA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,11,1,11,1,12
PUNATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,71,1,71,1,72
QUIABAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,1,1,1,2
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,191,5,191,5,196
QUIME,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,6,2,6,2,8
RAQAYPAMPA(ETA),recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,4,8,4,8,12
RAVELO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,4,1,4,5
REYES,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,6,0,6,0,6
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,234,0,234,0,234
ROBORE,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,25,0,25,0,25
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,13,0,13,0,13
SABAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,2,2,2,4
SACABA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,198,5,198,5,203
SACABAMBA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,2,1,2,3
SACACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,6,8,6,8,14
SAIPINA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,4,0,4,0,4
SALINAS DE GARCI MENDOZA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,1,2,1,3
SAMAIPATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,5,1,5,1,6
SAN AGUSTIN,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,0,4,0,4,4
SAN ANDRES,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,0,2,0,2
SAN ANDRES DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,0,2,0,2,2
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,5,3,5,3,8
SAN BENITO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,0,2,0,2
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,43,10,43,10,53
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,19,3,19,3,22
SAN CARLOS,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,20,0,20,0,20
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,22,6,22,6,28
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,82,1,82,1,83
SAN JAVIER(BNI),recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,0,1,0,1,1
SAN JAVIER(STC),recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,30,0,30,0,30
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,24,1,24,1,25
SAN JUAN DE YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,0,1,0,1
SAN JULIAN,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,46,1,46,1,47
SAN LORENZO(PND),recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,4,4,4,4,8
SAN LORENZO(TJA),recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,3,0,3,0,3
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,16,13,16,13,29
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,16,1,16,1,17
SAN MIGUEL DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,12,2,12,2,14
SAN PEDRO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,4,0,4,0,4
SAN PEDRO DE BUENA VISTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,7,25,7,25,32
SAN PEDRO DE CURAHUARA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,2,1,2,3
SAN PEDRO DE MACHA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,7,12,7,12,19
SAN RAFAEL,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,6,2,6,2,8
SAN RAMON SCZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,8,0,8,0,8
SANTA ANA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,20,1,20,1,21
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2363,5,2363,5,2368
SANTA ROSA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,10,2,10,2,12
SANTA ROSA DEL SARA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,3,0,3,0,3
SANTIAGO DE CALLAPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,3,1,3,4
SANTIAGO DE HUARI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,1,1,1,2
SANTIAGO DE HUATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,0,2,0,2,2
SANTIVAÑES,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,0,1,0,1
SANTUARIO DE QUILLACAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,0,3,0,3,3
SAPAHAQUI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,3,1,3,1,4
SENA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,9,1,9,1,10
SHINAOTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,38,2,38,2,40
SICA SICA (VILLA AROMA),recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,6,4,6,4,10
SICAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,3,0,3,0,3
SIPE SIPE,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,29,2,29,2,31
SOPACHUY,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,4,0,4,0,4
SORACACHI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,5,4,5,4,9
SORATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,6,3,6,3,9
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,408,0,408,0,408
TACACOMA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,4,0,4,0,4
TACOBAMBA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,0,2,0,2,2
TACOPAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,4,1,4,5
TAPACARI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,3,16,3,16,19
TARABUCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,6,3,6,3,9
TARACO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,2,2,2,4
TARATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,4,0,4,0,4
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,305,0,305,0,305
TARVITA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,5,0,5,0,5
TEOPONTE,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,10,1,10,1,11
TIAHUANACU,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,6,1,6,1,7
TINGUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,8,2,8,10
TIPUANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,3,0,3,0,3
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,50,6,50,6,56
TIRAQUE (CBBA),recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,5,1,5,1,6
TOCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,0,2,0,2
TODOS SANTOS,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,0,1,0,1
TOLATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,0,1,0,1
TOLEDO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,3,0,3,0,3
TOMAVE,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,1,2,1,3
TOMINA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,4,1,4,1,5
TORO TORO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,7,4,7,4,11
TOTORA(CBBA),recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,8,1,8,1,9
TOTORA(ORR),recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,0,2,0,2
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,228,0,228,0,228
TUPIZA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,53,7,53,7,60
TURCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,0,1,0,1
UMALA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,0,2,0,2,2
UNCIA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,12,6,12,6,18
URIONDO (A. CONCEPCION),recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,3,0,3,0,3
