,group,variable,month,9. NACIDOS MUERTOS SERV/DOM,9. NACIDOS MUERTOS SERV/DOM,TOTALES,TOTALES,TOTALES
TARACO,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,0,1,0,1,1
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,1,0,1,0,1
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,1,0,1,0,1
UNCIA,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,1,0,1,0,1
UYUNI,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,1,0,1,0,1
VIACHA,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,1,0,1,0,1
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,5,0,5,0,5
VINTO,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,1,0,1,0,1
WARNES,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,1,0,1,0,1
ACHACACHI,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,4,0,4,0,4
AIQUILE,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,0,1,0,1,1
AYO AYO,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,0,2,0,2,2
CAMARGO,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,1,0,1,0,1
CAMIRI,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,1,0,1,0,1
CARANAVI,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,6,0,6,0,6
CORIPATA,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,1,0,1,0,1
DESAGUADERO,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,20,0,20,0,20
ESCOMA,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,1,0,1,0,1
HUACAYA (VILLA DE HUACAYA),recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,0,1,0,1,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,12,0,12,0,12
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,3,0,3,0,3
MAGDALENA,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,1,0,1,0,1
MONTERO,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,4,0,4,0,4
PATACAMAYA,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,6,0,6,0,6
PUERTO RICO,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,1,0,1,0,1
PUERTO SUAREZ,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,1,0,1,0,1
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,2,0,2,0,2
ROBORE,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,3,0,3,0,3
SAN BORJA,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,1,0,1,0,1
SANTA ANA,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,22,0,22,0,22
SIPE SIPE,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,3,1,3,1,4
TARVITA,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,1,0,1,0,1
TRINIDAD,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,4,0,4,0,4
UYUNI,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,3,0,3,0,3
VINTO,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,2,0,2,0,2
YACUIBA,recien nacidos en servicio y domicilio,nacidos muertos,2024-05-01,2,0,2,0,2
AIQUILE,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,1,0,1,0,1
APOLO,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,1,0,1,0,1
CARANAVI,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,2,0,2,0,2
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,1,0,1,0,1
CHARAGUA,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,1,0,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,15,0,15,0,15
COLCAPIRHUA,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,1,0,1,0,1
COTOCA,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,14,0,14,0,14
IXIAMAS,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,9,0,9,0,9
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,3,0,3,0,3
MAPIRI,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,0,1,0,1,1
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,4,0,4,0,4
PADILLA,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,1,0,1,0,1
PORTACHUELO,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,7,0,7,0,7
PUERTO PEREZ,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,1,0,1,0,1
PUNATA,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,1,0,1,0,1
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,2,1,2,1,3
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,4,0,4,0,4
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,1,0,1,0,1
SAN JULIAN,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,1,0,1,0,1
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,0,1,0,1,1
SAN PEDRO DE BUENA VISTA,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,0,1,0,1,1
SANTA ANA,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,24,0,24,0,24
SANTIAGO DE CALLAPA,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,0,1,0,1,1
SANTIAGO DE MACHACA,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,1,0,1,0,1
TAPACARI,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,0,1,0,1,1
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,2,1,2,1,3
TOLEDO,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,0,1,0,1,1
TRINIDAD,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,3,0,3,0,3
UYUNI,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,1,0,1,0,1
VIACHA,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,3,0,3,0,3
VINTO,recien nacidos en servicio y domicilio,nacidos muertos,2024-06-01,1,0,1,0,1
BERMEJO,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,1,0,1,0,1
CARANAVI,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,0,1,0,1,1
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,1,0,1,0,1
COBIJA,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,2,0,2,0,2
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,25,0,25,0,25
COLQUECHACA,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,1,0,1,0,1
COMARAPA,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,1,0,1,0,1
CUATRO CAÑADAS,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,16,0,16,0,16
EL PUENTE(TJA),recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,0,1,0,1,1
GAIOC JATUN AYLLU YURA,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,1,0,1,0,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,1,0,1,0,1
HUANUNI,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,9,0,9,0,9
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,2,0,2,0,2
MAIRANA,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,1,0,1,0,1
OCURI,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,0,1,0,1,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,4,0,4,0,4
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,3,0,3,0,3
PUNATA,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,1,0,1,0,1
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,2,1,2,1,3
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,1,0,1,0,1
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,1,0,1,0,1
SAN CARLOS,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,1,0,1,0,1
SAN JAVIER(STC),recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,1,0,1,0,1
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,0,1,0,1,1
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,1,0,1,0,1
SAN PEDRO DE MACHA,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,14,0,14,0,14
SHINAOTA,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,2,0,2,0,2
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,2,0,2,0,2
TARABUCO,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,0,1,0,1,1
TRINIDAD,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,1,0,1,0,1
TUPIZA,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,1,0,1,0,1
UYUNI,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos,2024-07-01,1,0,1,0,1
