,group,variable,month,19. RN CON ALOJAMIENTO CONJUNTO SERV/DOM,19. RN CON ALOJAMIENTO CONJUNTO SERV/DOM,TOTALES,TOTALES,TOTALES
PAMPA GRANDE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,2,0,2,0,2
PAPEL PAMPA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,4,0,4,0,4
PASORAPA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,0,1,0,1
PATACAMAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,25,2,25,2,27
PAZÑA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,2,1,2,1,3
POCOATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,14,12,14,12,26
POCONA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,7,1,7,1,8
POJO (CBBA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,10,1,10,1,11
POOPO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,5,1,5,1,6
PORCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,14,0,14,0,14
POROMA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,4,7,4,7,11
PORTACHUELO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,32,0,32,0,32
PORVENIR,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,4,0,4,0,4
POTOSI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,394,1,394,1,395
PUCARANI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,7,7,7,7,14
PUERTO ACOSTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,2,3,2,3,5
PUERTO CARABUCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,4,2,4,2,6
PUERTO GONZALO MORENO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,5,0,5,0,5
PUERTO PEREZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,0,1,0,1,1
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,18,0,18,0,18
PUERTO RICO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,3,0,3,0,3
PUERTO SUAREZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,32,0,32,0,32
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,122,0,122,0,122
PUNA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,11,1,11,1,12
PUNATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,38,0,38,0,38
QUIABAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,1,1,1,2
QUILLACOLLO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,189,3,189,3,192
RAQAYPAMPA(ETA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,4,8,4,8,12
RAVELO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,3,1,3,4
REYES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,5,0,5,0,5
RIBERALTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,226,0,226,0,226
ROBORE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,25,0,25,0,25
RURRENABAQUE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,13,0,13,0,13
SABAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,2,2,2,2,4
SACABA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,195,5,195,5,200
SACABAMBA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,2,1,2,3
SACACA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,6,7,6,7,13
SAIPINA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,4,0,4,0,4
SALINAS DE GARCI MENDOZA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,0,1,0,1
SAMAIPATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,0,1,0,1
SAN AGUSTIN,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,0,4,0,4,4
SAN ANDRES DE MACHACA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,0,2,0,2,2
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,5,3,5,3,8
SAN BORJA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,40,9,40,9,49
SAN CARLOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,3,0,3,0,3
SAN IGNACIO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,22,6,22,6,28
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,55,0,55,0,55
SAN JAVIER(BNI),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,0,1,0,1,1
SAN JAVIER(STC),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,30,0,30,0,30
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,24,1,24,1,25
SAN JUAN DE YAPACANI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,0,1,0,1
SAN JULIAN,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,3,0,3,0,3
SAN LORENZO(PND),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,4,4,4,4,8
SAN LUCAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,16,13,16,13,29
SAN MATIAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,12,2,12,2,14
SAN PEDRO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,3,0,3,0,3
SAN PEDRO DE BUENA VISTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,7,18,7,18,25
SAN PEDRO DE CURAHUARA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,2,1,2,3
SAN PEDRO DE MACHA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,7,12,7,12,19
SAN RAMON SCZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,8,0,8,0,8
SANTA ANA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,21,1,21,1,22
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1414,1,1414,1,1415
SANTA ROSA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,10,2,10,2,12
SANTA ROSA DEL SARA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,3,0,3,0,3
SANTIAGO DE CALLAPA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,2,1,2,3
SANTIAGO DE HUARI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,1,1,1,2
SANTIAGO DE HUATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,0,2,0,2,2
SANTIVAÑES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,0,1,0,1
SANTUARIO DE QUILLACAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,0,3,0,3,3
SAPAHAQUI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,3,1,3,1,4
SENA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,9,0,9,0,9
SHINAOTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,30,0,30,0,30
SICA SICA (VILLA AROMA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,6,4,6,4,10
SICAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,0,1,0,1,1
SIPE SIPE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,29,0,29,0,29
SOPACHUY,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,4,0,4,0,4
SORACACHI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,5,4,5,4,9
SORATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,6,2,6,2,8
SUCRE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,390,0,390,0,390
TACACOMA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,0,1,0,1
TAPACARI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,5,1,5,6
TARABUCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,6,3,6,3,9
TARACO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,2,2,2,2,4
TARATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,4,0,4,0,4
TARIJA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,290,0,290,0,290
TARVITA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,5,0,5,0,5
TEOPONTE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,10,1,10,1,11
TIAHUANACU,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,6,1,6,1,7
TINGUIPAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,2,3,2,3,5
TIPUANI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,3,0,3,0,3
TIQUIPAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,48,5,48,5,53
TIRAQUE (CBBA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,1,1,1,2
TOCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,2,0,2,0,2
TODOS SANTOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,0,1,0,1
TOLATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,0,1,0,1
TOLEDO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,3,0,3,0,3
TOMAVE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,2,1,2,1,3
TOMINA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,4,1,4,1,5
TORO TORO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,7,3,7,3,10
TOTORA(CBBA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,8,1,8,1,9
TOTORA(ORR),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,2,0,2,0,2
TRINIDAD,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,165,0,165,0,165
TUPIZA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,53,7,53,7,60
TURCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,0,1,0,1
UMALA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,0,2,0,2,2
UNCIA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,12,4,12,4,16
URUBICHA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,5,0,5,0,5
UYUNI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,33,1,33,1,34
VALLEGRANDE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,23,0,23,0,23
VIACHA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,48,0,48,0,48
VILA VILA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,2,1,2,1,3
VILLA CHARCAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,3,4,3,4,7
VILLA MONTES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,64,0,64,0,64
VILLA SERRANO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,2,1,2,1,3
VILLA TUNARI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,60,1,60,1,61
VILLA VACA GUZMAN (MUYUPAMPA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,2,1,2,1,3
