,group,variable,month,7. NACIDOS VIVOS ATENDIDOS POR PARTERA SERV/DOM,7. NACIDOS VIVOS ATENDIDOS POR PARTERA SERV/DOM,TOTALES,TOTALES,TOTALES
TINGUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-08-01,0,1,0,1,1
TOTORA(CBBA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-08-01,0,1,0,1,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-08-01,0,1,0,1,1
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-08-01,0,1,0,1,1
ARQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-09-01,0,1,0,1,1
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-09-01,1,0,1,0,1
CABEZAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-09-01,0,1,0,1,1
CHARAGUA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-09-01,0,1,0,1,1
CHIMORE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-09-01,0,2,0,2,2
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-09-01,1,0,1,0,1
COROICO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-09-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-09-01,0,1,0,1,1
INCAHUASI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-09-01,0,1,0,1,1
LORETO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-09-01,0,2,0,2,2
MACHARETI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-09-01,0,1,0,1,1
MAGDALENA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-09-01,0,1,0,1,1
MOCOMOCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-09-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-09-01,0,1,0,1,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-09-01,0,12,0,12,12
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-09-01,0,7,0,7,7
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-09-01,0,1,0,1,1
SAN JOAQUIN,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-09-01,0,1,0,1,1
SAN LORENZO(PND),recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-09-01,0,1,0,1,1
TINGUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-09-01,0,3,0,3,3
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-09-01,0,1,0,1,1
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-09-01,2,0,2,0,2
YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-09-01,0,1,0,1,1
CABEZAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-10-01,0,5,0,5,5
CAMARGO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-10-01,0,1,0,1,1
COLQUENCHA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-10-01,0,1,0,1,1
COTOCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-10-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-10-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-10-01,0,1,0,1,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-10-01,80,1,80,1,81
LORETO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-10-01,0,1,0,1,1
PELECHUCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-10-01,0,1,0,1,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-10-01,0,5,0,5,5
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-10-01,7,0,7,0,7
SAPAHAQUI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-10-01,0,1,0,1,1
SORATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-10-01,0,1,0,1,1
TARABUCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-10-01,0,1,0,1,1
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-10-01,0,2,0,2,2
YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-10-01,0,1,0,1,1
COMARAPA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-11-01,0,1,0,1,1
CORO CORO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-11-01,0,1,0,1,1
GIA-TIM,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-11-01,0,2,0,2,2
PRESTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-11-01,0,1,0,1,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-11-01,1,7,1,7,8
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-11-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-11-01,0,1,0,1,1
SAN LORENZO(PND),recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-11-01,0,3,0,3,3
SAN PEDRO DE CURAHUARA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-11-01,0,1,0,1,1
SANTA ROSA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-11-01,0,2,0,2,2
TINGUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-11-01,0,2,0,2,2
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-12-01,1,0,1,0,1
GIA-TIM,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-12-01,0,1,0,1,1
PAILON,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-12-01,0,1,0,1,1
PORVENIR,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-12-01,0,1,0,1,1
PUERTO PEREZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-12-01,1,0,1,0,1
SAMAIPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-12-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-12-01,0,1,0,1,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-12-01,0,10,0,10,10
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-12-01,0,1,0,1,1
SAN LORENZO(PND),recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-12-01,0,2,0,2,2
SANTIAGO DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-12-01,0,1,0,1,1
SENA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-12-01,0,1,0,1,1
TARATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-12-01,0,1,0,1,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-12-01,0,2,0,2,2
