,group,variable,month,FALLECIDOS ANTES DE LAS 48 HRS. CANTIDAD,FALLECIDOS ANTES DE LAS 48 HRS. CANTIDAD,TOTALES,TOTALES,TOTALES
SORATA,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,0,1,0,1,1
SUCRE,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,17,19,17,19,36
TARABUCO,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,0,0,0,0,0
TARACO,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,1,2,1,2,3
TARIJA,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,17,17,17,17,34
TARVITA,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,1,0,1,0,1
TIQUIPAYA,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,0,0,0,0,0
TRINIDAD,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,12,5,12,5,17
TUPIZA,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,1,0,1,0,1
UYUNI,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,1,0,1,0,1
VILLA MONTES,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,2,1,2,1,3
VILLAZON,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,2,0,2,0,2
WARNES,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,0,1,0,1,1
YACUIBA,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,4,4,4,4,8
ACHACACHI,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,0,0,0,0,0
AIQUILE,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,1,0,1,0,1
APOLO,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,1,1,1,1,2
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,1,1,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones,fallecidos antes de las 48 hrs.,2020-02-01,0,0,0,0,0
BERMEJO,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,2,2,2,2,4
CAMIRI,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,3,1,3,1,4
CAPINOTA,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,0,1,0,1,1
CARANAVI,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,0,1,0,1,1
CARAPARI,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,0,0,0,0,0
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos antes de las 48 hrs.,2020-02-01,0,0,0,0,0
COBIJA,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,4,2,4,2,6
COCHABAMBA,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,33,30,33,30,63
CONCEPCION,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,0,1,0,1,1
COROICO,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,1,0,1,0,1
CUEVO,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,1,0,1,0,1
CULPINA,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,11,8,11,8,19
EL TORNO,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,1,1,1,1,2
GUAYARAMERIN,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,3,1,3,1,4
HUANUNI,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),internaciones,fallecidos antes de las 48 hrs.,2020-02-01,0,1,0,1,1
LA PAZ,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,11,14,11,14,25
LAGUNILLAS,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,10,7,10,7,17
LLALLAGUA,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,1,0,1,0,1
MIZQUE,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,0,0,0,0,0
MONTERO,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,5,4,5,4,9
ORURO,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,7,9,7,9,16
PORTACHUELO,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,1,1,1,1,2
POTOSI,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,8,3,8,3,11
PUERTO QUIJARRO,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,1,0,1,0,1
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,1,0,1,0,1
PUNATA,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,0,2,0,2,2
QUILLACOLLO,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,0,2,0,2,2
REYES,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,1,0,1,0,1
RIBERALTA,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,6,4,6,4,10
RURRENABAQUE,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,0,2,0,2,2
SACABA,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,1,0,1,0,1
SAN BORJA,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,0,1,0,1,1
SAN BUENA VENTURA,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,0,2,0,2,2
SAN MIGUEL DE VELASCO,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,1,1,1,1,2
SANTA ANA,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,0,3,0,3,3
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,52,49,52,49,101
SANTA ROSA,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,1,0,1,0,1
SUCRE,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,14,12,14,12,26
TARABUCO,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,0,0,0,0,0
TARIJA,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,23,11,23,11,34
TIQUIPAYA,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,0,0,0,0,0
TRINIDAD,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,6,11,6,11,17
TUPIZA,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,0,1,0,1,1
UYUNI,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,0,2,0,2,2
VILLA MONTES,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,42,17,42,17,59
VILLA TUNARI,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,0,2,0,2,2
VILLAZON,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,1,0,1,0,1
YACUIBA,internaciones,fallecidos antes de las 48 hrs.,2020-02-01,4,0,4,0,4
AIQUILE,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,1,1,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones,fallecidos antes de las 48 hrs.,2020-03-01,0,0,0,0,0
BERMEJO,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,1,1,1,1,2
CAMIRI,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,2,3,2,3,5
CAPINOTA,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,0,3,0,3,3
CARAPARI,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,0,0,0,0,0
CHARAGUA,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,1,0,1,0,1
COBIJA,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,2,2,2,2,4
COCHABAMBA,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,41,27,41,27,68
COLCAPIRHUA,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,0,1,0,1,1
CONCEPCION,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,16,16,16,16,32
ENTRE RIOS CBBA,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,0,1,0,1,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,3,4,3,4,7
LA PAZ,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,27,26,27,26,53
LLALLAGUA,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,1,0,1,0,1
MAGDALENA,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,1,0,1,0,1
MIZQUE,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,0,0,0,0,0
MONTEAGUDO,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,2,3,2,3,5
MONTERO,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,6,4,6,4,10
ORURO,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,12,7,12,7,19
PADILLA,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,2,0,2,0,2
PORTACHUELO,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,2,4,2,4,6
POTOSI,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,6,1,6,1,7
PRESTO,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,1,0,1,0,1
PUERTO QUIJARRO,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,0,1,0,1,1
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,1,1,1,1,2
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,3,0,3,0,3
PUNATA,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,4,5,4,5,9
QUILLACOLLO,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,1,1,1,1,2
REYES,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,1,0,1,0,1
RIBERALTA,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,6,3,6,3,9
ROBORE,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,1,0,1,0,1
SACABA,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,0,1,0,1,1
SAN BUENA VENTURA,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,5,7,5,7,12
SAN RAMON SCZ,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,1,0,1,0,1
SANTA ANA,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,60,48,60,48,108
SANTA ROSA,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,0,1,0,1,1
SUCRE,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,26,11,26,11,37
TARABUCO,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,0,0,0,0,0
TARIJA,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,18,9,18,9,27
TARVITA,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,1,0,1,0,1
TIQUIPAYA,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,0,0,0,0,0
TRINIDAD,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,12,6,12,6,18
TUPIZA,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,2,3,2,3,5
VALLEGRANDE,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,2,2,2,2,4
VILLA MONTES,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,1,2,1,2,3
VILLAZON,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,2,1,2,1,3
WARNES,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,1,0,1,0,1
YACUIBA,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,1,9,1,9,10
YAPACANI,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,1,0,1,0,1
ZUDAÑEZ,internaciones,fallecidos antes de las 48 hrs.,2020-03-01,1,1,1,1,2
ACHACACHI,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,0,0,0,0,0
AIQUILE,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,2,1,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),internaciones,fallecidos antes de las 48 hrs.,2020-04-01,0,0,0,0,0
BERMEJO,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,0,1,0,1,1
CAMARGO,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,2,0,2,0,2
CAMIRI,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,1,1,1,1,2
CARANAVI,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,1,0,1,0,1
CARAPARI,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,0,0,0,0,0
CARMEN RIVERO TORREZ,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,1,0,1,0,1
CHARAGUA,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,2,1,2,1,3
COBIJA,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,7,1,7,1,8
COCHABAMBA,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,45,29,45,29,74
COLCAPIRHUA,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,0,1,0,1,1
CUEVO,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,1,0,1,0,1
CURAHUARA DE CARANGAS,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,1,0,1,0,1
EL ALTO,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,14,9,14,9,23
GUANAY,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,1,0,1,0,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,0,1,0,1,1
GUTIERREZ,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,1,0,1,0,1
LA PAZ,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,15,13,15,13,28
LLALLAGUA,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,1,0,1,0,1
MINEROS,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,1,1,1,1,2
MIZQUE,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,0,0,0,0,0
MONTERO,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,2,3,2,3,5
ORURO,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,13,11,13,11,24
PADILLA,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,1,1,1,1,2
PORTACHUELO,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,1,1,1,1,2
POTOSI,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,3,3,3,3,6
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,0,1,0,1,1
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,1,0,1,0,1
PUNATA,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,5,1,5,1,6
QUILLACOLLO,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,1,0,1,0,1
REYES,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,1,0,1,0,1
RIBERALTA,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,6,5,6,5,11
RURRENABAQUE,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,2,0,2,0,2
SACABA,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,2,0,2,0,2
SAMAIPATA,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,1,0,1,0,1
SAN BUENA VENTURA,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,4,3,4,3,7
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,54,76,54,76,130
SANTA ROSA,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,1,0,1,0,1
SORATA,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,2,0,2,0,2
SUCRE,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,18,19,18,19,37
TARABUCO,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,0,0,0,0,0
TARIJA,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,11,7,11,7,18
TIQUIPAYA,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,0,0,0,0,0
TRINIDAD,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,4,6,4,6,10
TUPIZA,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,3,1,3,1,4
UYUNI,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,4,0,4,0,4
VALLEGRANDE,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,2,1,2,1,3
VILLAZON,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,0,1,0,1,1
YACUIBA,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,6,4,6,4,10
YAMPARAEZ,internaciones,fallecidos antes de las 48 hrs.,2020-04-01,0,1,0,1,1
ACHACACHI,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,0,0,0,0,0
AIQUILE,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,0,0,0,0,0
AYOPAYA (V. DE INDEPENDENCIA),internaciones,fallecidos antes de las 48 hrs.,2020-05-01,0,0,0,0,0
BAURES,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,0,1,0,1,1
BERMEJO,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,1,1,1,1,2
CAMARGO,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,0,1,0,1,1
CAMIRI,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,1,1,1,1,2
CARAPARI,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,0,0,0,0,0
CHARAGUA,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,0,1,0,1,1
COBIJA,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,0,0,0,0,0
COCHABAMBA,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,32,33,32,33,65
CONCEPCION,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,2,1,2,1,3
CUEVO,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,15,14,15,14,29
EL TORNO,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,1,0,1,0,1
ENTRE RIOS TRJ,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,1,0,1,0,1
ENTRE RIOS CBBA,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,1,1,1,1,2
GUAYARAMERIN,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,4,6,4,6,10
HUANUNI,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,0,1,0,1,1
LA ASUNTA,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,1,0,1,0,1
LA PAZ,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,13,12,13,12,25
MINEROS,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,0,2,0,2,2
MIZQUE,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,0,0,0,0,0
MONTEAGUDO,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,0,2,0,2,2
MONTERO,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,12,20,12,20,32
ORURO,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,10,10,10,10,20
PORTACHUELO,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,4,3,4,3,7
POTOSI,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,6,8,6,8,14
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,2,1,2,1,3
PUNATA,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,1,0,1,0,1
RIBERALTA,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,4,3,4,3,7
SACABA,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,1,0,1,0,1
SAN BORJA,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,0,1,0,1,1
SAN BUENA VENTURA,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,1,3,1,3,4
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,2,1,2,1,3
SAN JOAQUIN,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,1,0,1,0,1
SAN RAMON BENI,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,0,1,0,1,1
SANTA ANA,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,2,1,2,1,3
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,63,31,63,31,94
SANTA ROSA,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,1,0,1,0,1
SUCRE,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,23,10,23,10,33
TARABUCO,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,0,0,0,0,0
TARIJA,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,15,11,15,11,26
TIQUIPAYA,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,0,0,0,0,0
TRINIDAD,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,32,11,32,11,43
TUPIZA,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,1,0,1,0,1
UNCIA,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,0,15,0,15,15
UYUNI,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,1,1,1,1,2
VILLA MONTES,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,0,2,0,2,2
VILLA TUNARI,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,0,2,0,2,2
VILLAZON,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,3,0,3,0,3
YACUIBA,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,6,2,6,2,8
YAPACANI,internaciones,fallecidos antes de las 48 hrs.,2020-05-01,3,3,3,3,6
ACHACACHI,internaciones,fallecidos antes de las 48 hrs.,2020-06-01,0,0,0,0,0
AIQUILE,internaciones,fallecidos antes de las 48 hrs.,2020-06-01,0,1,0,1,1
ALTO BENI,internaciones,fallecidos antes de las 48 hrs.,2020-06-01,1,0,1,0,1
APOLO,internaciones,fallecidos antes de las 48 hrs.,2020-06-01,0,2,0,2,2
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 hrs.,2020-06-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones,fallecidos antes de las 48 hrs.,2020-06-01,0,0,0,0,0
BERMEJO,internaciones,fallecidos antes de las 48 hrs.,2020-06-01,1,0,1,0,1
CABEZAS,internaciones,fallecidos antes de las 48 hrs.,2020-06-01,1,1,1,1,2
CAMIRI,internaciones,fallecidos antes de las 48 hrs.,2020-06-01,2,1,2,1,3
CARAPARI,internaciones,fallecidos antes de las 48 hrs.,2020-06-01,0,0,0,0,0
CARMEN RIVERO TORREZ,internaciones,fallecidos antes de las 48 hrs.,2020-06-01,1,1,1,1,2
CHARAGUA,internaciones,fallecidos antes de las 48 hrs.,2020-06-01,1,0,1,0,1
