,group,variable,month,CONTRAREFERIDOS CANTIDAD,CONTRAREFERIDOS CANTIDAD,TOTALES,TOTALES,TOTALES
BERMEJO,internaciones,contrareferidos,2020-02-01,57,116,57,116,173
CAMARGO,internaciones,contrareferidos,2020-02-01,10,21,10,21,31
CAMIRI,internaciones,contrareferidos,2020-02-01,1,28,1,28,29
CARANAVI,internaciones,contrareferidos,2020-02-01,15,37,15,37,52
CARAPARI,internaciones,contrareferidos,2020-02-01,0,0,0,0,0
CHULUMANI (V. DE LA LIBERTAD),internaciones,contrareferidos,2020-02-01,0,4,0,4,4
COBIJA,internaciones,contrareferidos,2020-02-01,118,185,118,185,303
COCHABAMBA,internaciones,contrareferidos,2020-02-01,106,506,106,506,612
COROICO,internaciones,contrareferidos,2020-02-01,4,19,4,19,23
COTOCA,internaciones,contrareferidos,2020-02-01,0,9,0,9,9
EL ALTO,internaciones,contrareferidos,2020-02-01,30,177,30,177,207
EL PUENTE(STC),internaciones,contrareferidos,2020-02-01,1,0,1,0,1
EL TORNO,internaciones,contrareferidos,2020-02-01,6,16,6,16,22
ESCOMA,internaciones,contrareferidos,2020-02-01,0,5,0,5,5
GUAYARAMERIN,internaciones,contrareferidos,2020-02-01,0,20,0,20,20
HUANUNI,internaciones,contrareferidos,2020-02-01,0,1,0,1,1
LA PAZ,internaciones,contrareferidos,2020-02-01,57,420,57,420,477
MACHARETI,internaciones,contrareferidos,2020-02-01,0,1,0,1,1
MIZQUE,internaciones,contrareferidos,2020-02-01,0,0,0,0,0
MONTEAGUDO,internaciones,contrareferidos,2020-02-01,7,14,7,14,21
MONTERO,internaciones,contrareferidos,2020-02-01,247,283,247,283,530
ORURO,internaciones,contrareferidos,2020-02-01,1,32,1,32,33
PADILLA,internaciones,contrareferidos,2020-02-01,20,33,20,33,53
PALOS BLANCOS,internaciones,contrareferidos,2020-02-01,1,0,1,0,1
POTOSI,internaciones,contrareferidos,2020-02-01,46,240,46,240,286
PUERTO SUAREZ,internaciones,contrareferidos,2020-02-01,0,1,0,1,1
PUERTO VILLARROEL,internaciones,contrareferidos,2020-02-01,47,106,47,106,153
PUNATA,internaciones,contrareferidos,2020-02-01,88,163,88,163,251
QUILLACOLLO,internaciones,contrareferidos,2020-02-01,3,0,3,0,3
RIBERALTA,internaciones,contrareferidos,2020-02-01,117,392,117,392,509
RURRENABAQUE,internaciones,contrareferidos,2020-02-01,0,1,0,1,1
SACABA,internaciones,contrareferidos,2020-02-01,9,41,9,41,50
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2020-02-01,3,9,3,9,12
SAN LUCAS,internaciones,contrareferidos,2020-02-01,0,4,0,4,4
SAN MATIAS,internaciones,contrareferidos,2020-02-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2020-02-01,308,1608,308,1608,1916
SUCRE,internaciones,contrareferidos,2020-02-01,364,770,364,770,1134
TACOPAYA,internaciones,contrareferidos,2020-02-01,0,1,0,1,1
TARABUCO,internaciones,contrareferidos,2020-02-01,10,28,10,28,38
TARIJA,internaciones,contrareferidos,2020-02-01,1,6,1,6,7
TARVITA,internaciones,contrareferidos,2020-02-01,0,9,0,9,9
TIQUIPAYA,internaciones,contrareferidos,2020-02-01,0,0,0,0,0
TUPIZA,internaciones,contrareferidos,2020-02-01,23,89,23,89,112
VALLEGRANDE,internaciones,contrareferidos,2020-02-01,4,6,4,6,10
VIACHA,internaciones,contrareferidos,2020-02-01,1,0,1,0,1
VILLA CHARCAS,internaciones,contrareferidos,2020-02-01,0,1,0,1,1
VILLA MONTES,internaciones,contrareferidos,2020-02-01,36,49,36,49,85
VILLA TUNARI,internaciones,contrareferidos,2020-02-01,31,74,31,74,105
VILLAZON,internaciones,contrareferidos,2020-02-01,5,8,5,8,13
WARNES,internaciones,contrareferidos,2020-02-01,23,96,23,96,119
YACUIBA,internaciones,contrareferidos,2020-02-01,102,130,102,130,232
ACHACACHI,internaciones,contrareferidos,2020-03-01,3,4,3,4,7
AIQUILE,internaciones,contrareferidos,2020-03-01,2,1,2,1,3
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2020-03-01,18,17,18,17,35
AYOPAYA (V. DE INDEPENDENCIA),internaciones,contrareferidos,2020-03-01,0,0,0,0,0
BERMEJO,internaciones,contrareferidos,2020-03-01,72,136,72,136,208
CAMARGO,internaciones,contrareferidos,2020-03-01,10,9,10,9,19
CAMIRI,internaciones,contrareferidos,2020-03-01,0,18,0,18,18
CARANAVI,internaciones,contrareferidos,2020-03-01,9,57,9,57,66
CARAPARI,internaciones,contrareferidos,2020-03-01,0,0,0,0,0
CHALLAPATA,internaciones,contrareferidos,2020-03-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,contrareferidos,2020-03-01,0,10,0,10,10
COBIJA,internaciones,contrareferidos,2020-03-01,96,237,96,237,333
COCHABAMBA,internaciones,contrareferidos,2020-03-01,109,469,109,469,578
COLCAPIRHUA,internaciones,contrareferidos,2020-03-01,5,4,5,4,9
COROICO,internaciones,contrareferidos,2020-03-01,9,20,9,20,29
COTOCA,internaciones,contrareferidos,2020-03-01,1,11,1,11,12
EL ALTO,internaciones,contrareferidos,2020-03-01,39,108,39,108,147
EL PUENTE(STC),internaciones,contrareferidos,2020-03-01,1,1,1,1,2
EL TORNO,internaciones,contrareferidos,2020-03-01,1,14,1,14,15
ESCOMA,internaciones,contrareferidos,2020-03-01,1,2,1,2,3
GUAYARAMERIN,internaciones,contrareferidos,2020-03-01,0,9,0,9,9
HUANUNI,internaciones,contrareferidos,2020-03-01,0,1,0,1,1
LA PAZ,internaciones,contrareferidos,2020-03-01,49,344,49,344,393
MIZQUE,internaciones,contrareferidos,2020-03-01,1,0,1,0,1
MONTEAGUDO,internaciones,contrareferidos,2020-03-01,14,25,14,25,39
MONTERO,internaciones,contrareferidos,2020-03-01,570,559,570,559,1129
ORURO,internaciones,contrareferidos,2020-03-01,3,49,3,49,52
PADILLA,internaciones,contrareferidos,2020-03-01,15,29,15,29,44
POTOSI,internaciones,contrareferidos,2020-03-01,56,270,56,270,326
PUERTO SUAREZ,internaciones,contrareferidos,2020-03-01,1,1,1,1,2
PUERTO VILLARROEL,internaciones,contrareferidos,2020-03-01,49,143,49,143,192
PUNATA,internaciones,contrareferidos,2020-03-01,70,129,70,129,199
QUILLACOLLO,internaciones,contrareferidos,2020-03-01,1,2,1,2,3
RIBERALTA,internaciones,contrareferidos,2020-03-01,120,412,120,412,532
ROBORE,internaciones,contrareferidos,2020-03-01,1,0,1,0,1
SACABA,internaciones,contrareferidos,2020-03-01,7,42,7,42,49
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2020-03-01,10,21,10,21,31
SAN JOSE DE CHIQUITOS,internaciones,contrareferidos,2020-03-01,0,1,0,1,1
SAN LUCAS,internaciones,contrareferidos,2020-03-01,0,4,0,4,4
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2020-03-01,284,1660,284,1660,1944
SUCRE,internaciones,contrareferidos,2020-03-01,362,830,362,830,1192
TARABUCO,internaciones,contrareferidos,2020-03-01,17,29,17,29,46
TARIJA,internaciones,contrareferidos,2020-03-01,2,9,2,9,11
TARVITA,internaciones,contrareferidos,2020-03-01,4,10,4,10,14
TIQUIPAYA,internaciones,contrareferidos,2020-03-01,0,0,0,0,0
TRINIDAD,internaciones,contrareferidos,2020-03-01,0,1,0,1,1
TUPIZA,internaciones,contrareferidos,2020-03-01,24,92,24,92,116
VALLEGRANDE,internaciones,contrareferidos,2020-03-01,1,2,1,2,3
VILLA MONTES,internaciones,contrareferidos,2020-03-01,10,31,10,31,41
VILLA TUNARI,internaciones,contrareferidos,2020-03-01,17,73,17,73,90
VILLAZON,internaciones,contrareferidos,2020-03-01,3,3,3,3,6
WARNES,internaciones,contrareferidos,2020-03-01,9,9,9,9,18
YACUIBA,internaciones,contrareferidos,2020-03-01,86,151,86,151,237
YAPACANI,internaciones,contrareferidos,2020-03-01,1,0,1,0,1
ACHACACHI,internaciones,contrareferidos,2020-04-01,0,4,0,4,4
AIQUILE,internaciones,contrareferidos,2020-04-01,1,5,1,5,6
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2020-04-01,2,12,2,12,14
AYOPAYA (V. DE INDEPENDENCIA),internaciones,contrareferidos,2020-04-01,0,0,0,0,0
BERMEJO,internaciones,contrareferidos,2020-04-01,40,105,40,105,145
BOYUIBE,internaciones,contrareferidos,2020-04-01,1,1,1,1,2
BUENA VISTA,internaciones,contrareferidos,2020-04-01,0,1,0,1,1
CAMARGO,internaciones,contrareferidos,2020-04-01,3,8,3,8,11
CAMIRI,internaciones,contrareferidos,2020-04-01,0,28,0,28,28
CARANAVI,internaciones,contrareferidos,2020-04-01,15,65,15,65,80
CARAPARI,internaciones,contrareferidos,2020-04-01,0,0,0,0,0
CARMEN RIVERO TORREZ,internaciones,contrareferidos,2020-04-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,contrareferidos,2020-04-01,5,9,5,9,14
COBIJA,internaciones,contrareferidos,2020-04-01,51,113,51,113,164
COCHABAMBA,internaciones,contrareferidos,2020-04-01,66,411,66,411,477
COLCAPIRHUA,internaciones,contrareferidos,2020-04-01,1,1,1,1,2
COROICO,internaciones,contrareferidos,2020-04-01,4,20,4,20,24
COTOCA,internaciones,contrareferidos,2020-04-01,0,12,0,12,12
EL ALTO,internaciones,contrareferidos,2020-04-01,25,67,25,67,92
EL TORNO,internaciones,contrareferidos,2020-04-01,1,7,1,7,8
ESCOMA,internaciones,contrareferidos,2020-04-01,2,7,2,7,9
FERNANDEZ ALONSO,internaciones,contrareferidos,2020-04-01,0,1,0,1,1
GUAYARAMERIN,internaciones,contrareferidos,2020-04-01,0,2,0,2,2
HUACARETA,internaciones,contrareferidos,2020-04-01,0,1,0,1,1
LA PAZ,internaciones,contrareferidos,2020-04-01,82,383,82,383,465
MIZQUE,internaciones,contrareferidos,2020-04-01,0,1,0,1,1
MONTEAGUDO,internaciones,contrareferidos,2020-04-01,9,29,9,29,38
MONTERO,internaciones,contrareferidos,2020-04-01,72,46,72,46,118
ORURO,internaciones,contrareferidos,2020-04-01,13,138,13,138,151
PADILLA,internaciones,contrareferidos,2020-04-01,4,12,4,12,16
POTOSI,internaciones,contrareferidos,2020-04-01,27,237,27,237,264
PUERTO SUAREZ,internaciones,contrareferidos,2020-04-01,0,6,0,6,6
PUERTO VILLARROEL,internaciones,contrareferidos,2020-04-01,40,126,40,126,166
PUNATA,internaciones,contrareferidos,2020-04-01,30,80,30,80,110
QUILLACOLLO,internaciones,contrareferidos,2020-04-01,0,1,0,1,1
RIBERALTA,internaciones,contrareferidos,2020-04-01,97,290,97,290,387
ROBORE,internaciones,contrareferidos,2020-04-01,1,1,1,1,2
SACABA,internaciones,contrareferidos,2020-04-01,5,41,5,41,46
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2020-04-01,3,20,3,20,23
SAN LUCAS,internaciones,contrareferidos,2020-04-01,3,2,3,2,5
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2020-04-01,173,1234,173,1234,1407
SUCRE,internaciones,contrareferidos,2020-04-01,163,430,163,430,593
TARABUCO,internaciones,contrareferidos,2020-04-01,8,18,8,18,26
TARIJA,internaciones,contrareferidos,2020-04-01,12,247,12,247,259
TARVITA,internaciones,contrareferidos,2020-04-01,2,9,2,9,11
TIQUIPAYA,internaciones,contrareferidos,2020-04-01,0,0,0,0,0
TIRAQUE (CBBA),internaciones,contrareferidos,2020-04-01,0,1,0,1,1
TRINIDAD,internaciones,contrareferidos,2020-04-01,0,1,0,1,1
TUPIZA,internaciones,contrareferidos,2020-04-01,6,70,6,70,76
VALLEGRANDE,internaciones,contrareferidos,2020-04-01,0,1,0,1,1
VILLA MONTES,internaciones,contrareferidos,2020-04-01,11,33,11,33,44
VILLA SERRANO,internaciones,contrareferidos,2020-04-01,0,1,0,1,1
VILLA TUNARI,internaciones,contrareferidos,2020-04-01,4,48,4,48,52
VILLAZON,internaciones,contrareferidos,2020-04-01,2,6,2,6,8
WARNES,internaciones,contrareferidos,2020-04-01,3,1,3,1,4
YACUIBA,internaciones,contrareferidos,2020-04-01,37,147,37,147,184
ACHACACHI,internaciones,contrareferidos,2020-05-01,1,5,1,5,6
AIQUILE,internaciones,contrareferidos,2020-05-01,0,8,0,8,8
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2020-05-01,1,12,1,12,13
AYOPAYA (V. DE INDEPENDENCIA),internaciones,contrareferidos,2020-05-01,0,0,0,0,0
BERMEJO,internaciones,contrareferidos,2020-05-01,40,88,40,88,128
CAMARGO,internaciones,contrareferidos,2020-05-01,5,9,5,9,14
CAMIRI,internaciones,contrareferidos,2020-05-01,0,36,0,36,36
CARANAVI,internaciones,contrareferidos,2020-05-01,2,27,2,27,29
CARAPARI,internaciones,contrareferidos,2020-05-01,0,0,0,0,0
CARMEN RIVERO TORREZ,internaciones,contrareferidos,2020-05-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,contrareferidos,2020-05-01,3,5,3,5,8
COBIJA,internaciones,contrareferidos,2020-05-01,53,133,53,133,186
COCHABAMBA,internaciones,contrareferidos,2020-05-01,66,444,66,444,510
COLCAPIRHUA,internaciones,contrareferidos,2020-05-01,4,6,4,6,10
COROICO,internaciones,contrareferidos,2020-05-01,8,20,8,20,28
CUEVO,internaciones,contrareferidos,2020-05-01,0,1,0,1,1
EL ALTO,internaciones,contrareferidos,2020-05-01,17,77,17,77,94
EL TORNO,internaciones,contrareferidos,2020-05-01,13,10,13,10,23
ENTRE RIOS CBBA,internaciones,contrareferidos,2020-05-01,0,1,0,1,1
GUAYARAMERIN,internaciones,contrareferidos,2020-05-01,0,1,0,1,1
LA PAZ,internaciones,contrareferidos,2020-05-01,29,337,29,337,366
MAGDALENA,internaciones,contrareferidos,2020-05-01,1,1,1,1,2
MIZQUE,internaciones,contrareferidos,2020-05-01,0,1,0,1,1
MONTEAGUDO,internaciones,contrareferidos,2020-05-01,11,33,11,33,44
MONTERO,internaciones,contrareferidos,2020-05-01,85,96,85,96,181
ORURO,internaciones,contrareferidos,2020-05-01,8,95,8,95,103
PADILLA,internaciones,contrareferidos,2020-05-01,14,15,14,15,29
POTOSI,internaciones,contrareferidos,2020-05-01,24,290,24,290,314
PUERTO SUAREZ,internaciones,contrareferidos,2020-05-01,6,1,6,1,7
PUERTO VILLARROEL,internaciones,contrareferidos,2020-05-01,37,136,37,136,173
PUNATA,internaciones,contrareferidos,2020-05-01,42,113,42,113,155
QUILLACOLLO,internaciones,contrareferidos,2020-05-01,0,1,0,1,1
RIBERALTA,internaciones,contrareferidos,2020-05-01,64,298,64,298,362
ROBORE,internaciones,contrareferidos,2020-05-01,1,0,1,0,1
RURRENABAQUE,internaciones,contrareferidos,2020-05-01,0,3,0,3,3
SACABA,internaciones,contrareferidos,2020-05-01,11,31,11,31,42
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2020-05-01,3,16,3,16,19
SAN JOSE DE CHIQUITOS,internaciones,contrareferidos,2020-05-01,0,1,0,1,1
SAN LUCAS,internaciones,contrareferidos,2020-05-01,1,9,1,9,10
SAN RAMON BENI,internaciones,contrareferidos,2020-05-01,0,310,0,310,310
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2020-05-01,82,1141,82,1141,1223
SUCRE,internaciones,contrareferidos,2020-05-01,164,513,164,513,677
TARABUCO,internaciones,contrareferidos,2020-05-01,12,8,12,8,20
TARIJA,internaciones,contrareferidos,2020-05-01,53,245,53,245,298
TARVITA,internaciones,contrareferidos,2020-05-01,2,10,2,10,12
TIQUIPAYA,internaciones,contrareferidos,2020-05-01,0,0,0,0,0
TRINIDAD,internaciones,contrareferidos,2020-05-01,12,5,12,5,17
TUPIZA,internaciones,contrareferidos,2020-05-01,14,72,14,72,86
VALLEGRANDE,internaciones,contrareferidos,2020-05-01,2,3,2,3,5
VIACHA,internaciones,contrareferidos,2020-05-01,0,1,0,1,1
VILLA MONTES,internaciones,contrareferidos,2020-05-01,9,27,9,27,36
VILLA TUNARI,internaciones,contrareferidos,2020-05-01,8,81,8,81,89
VILLAZON,internaciones,contrareferidos,2020-05-01,7,7,7,7,14
WARNES,internaciones,contrareferidos,2020-05-01,2,95,2,95,97
YACUIBA,internaciones,contrareferidos,2020-05-01,31,69,31,69,100
ACHACACHI,internaciones,contrareferidos,2020-06-01,0,2,0,2,2
AIQUILE,internaciones,contrareferidos,2020-06-01,3,4,3,4,7
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2020-06-01,0,3,0,3,3
AYOPAYA (V. DE INDEPENDENCIA),internaciones,contrareferidos,2020-06-01,0,0,0,0,0
BERMEJO,internaciones,contrareferidos,2020-06-01,29,95,29,95,124
CAMARGO,internaciones,contrareferidos,2020-06-01,5,6,5,6,11
CAMIRI,internaciones,contrareferidos,2020-06-01,0,20,0,20,20
CARANAVI,internaciones,contrareferidos,2020-06-01,5,21,5,21,26
CARAPARI,internaciones,contrareferidos,2020-06-01,0,0,0,0,0
CHULUMANI (V. DE LA LIBERTAD),internaciones,contrareferidos,2020-06-01,1,0,1,0,1
COBIJA,internaciones,contrareferidos,2020-06-01,36,109,36,109,145
COCHABAMBA,internaciones,contrareferidos,2020-06-01,47,433,47,433,480
COLCAPIRHUA,internaciones,contrareferidos,2020-06-01,0,3,0,3,3
COROICO,internaciones,contrareferidos,2020-06-01,10,20,10,20,30
EL ALTO,internaciones,contrareferidos,2020-06-01,22,100,22,100,122
EL PUENTE(STC),internaciones,contrareferidos,2020-06-01,0,1,0,1,1
EL TORNO,internaciones,contrareferidos,2020-06-01,1,74,1,74,75
ENTRE RIOS CBBA,internaciones,contrareferidos,2020-06-01,0,0,0,0,0
ESCOMA,internaciones,contrareferidos,2020-06-01,1,0,1,0,1
LA PAZ,internaciones,contrareferidos,2020-06-01,44,683,44,683,727
MAGDALENA,internaciones,contrareferidos,2020-06-01,0,3,0,3,3
MIZQUE,internaciones,contrareferidos,2020-06-01,2,2,2,2,4
MONTEAGUDO,internaciones,contrareferidos,2020-06-01,19,22,19,22,41
MONTERO,internaciones,contrareferidos,2020-06-01,49,36,49,36,85
ORURO,internaciones,contrareferidos,2020-06-01,0,130,0,130,130
PADILLA,internaciones,contrareferidos,2020-06-01,10,29,10,29,39
POTOSI,internaciones,contrareferidos,2020-06-01,33,250,33,250,283
PUERTO SUAREZ,internaciones,contrareferidos,2020-06-01,1,7,1,7,8
PUERTO VILLARROEL,internaciones,contrareferidos,2020-06-01,14,93,14,93,107
PUNATA,internaciones,contrareferidos,2020-06-01,37,90,37,90,127
RIBERALTA,internaciones,contrareferidos,2020-06-01,51,259,51,259,310
ROBORE,internaciones,contrareferidos,2020-06-01,0,1,0,1,1
RURRENABAQUE,internaciones,contrareferidos,2020-06-01,2,2,2,2,4
SACABA,internaciones,contrareferidos,2020-06-01,4,22,4,22,26
SAN IGNACIO,internaciones,contrareferidos,2020-06-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2020-06-01,5,8,5,8,13
SAN JOSE DE CHIQUITOS,internaciones,contrareferidos,2020-06-01,0,1,0,1,1
SAN LUCAS,internaciones,contrareferidos,2020-06-01,1,7,1,7,8
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2020-06-01,73,958,73,958,1031
SUCRE,internaciones,contrareferidos,2020-06-01,162,501,162,501,663
TARABUCO,internaciones,contrareferidos,2020-06-01,13,15,13,15,28
TARIJA,internaciones,contrareferidos,2020-06-01,6,89,6,89,95
TARVITA,internaciones,contrareferidos,2020-06-01,1,3,1,3,4
TIQUIPAYA,internaciones,contrareferidos,2020-06-01,0,0,0,0,0
TRINIDAD,internaciones,contrareferidos,2020-06-01,1,2,1,2,3
TUPIZA,internaciones,contrareferidos,2020-06-01,15,97,15,97,112
VALLEGRANDE,internaciones,contrareferidos,2020-06-01,2,3,2,3,5
VILLA TUNARI,internaciones,contrareferidos,2020-06-01,3,77,3,77,80
VILLAZON,internaciones,contrareferidos,2020-06-01,4,1,4,1,5
VINTO,internaciones,contrareferidos,2020-06-01,0,0,0,0,0
WARNES,internaciones,contrareferidos,2020-06-01,3,77,3,77,80
YACUIBA,internaciones,contrareferidos,2020-06-01,23,100,23,100,123
ACHACACHI,internaciones,contrareferidos,2020-07-01,0,4,0,4,4
AIQUILE,internaciones,contrareferidos,2020-07-01,2,3,2,3,5
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2020-07-01,2,11,2,11,13
ATOCHA,internaciones,contrareferidos,2020-07-01,1,1,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones,contrareferidos,2020-07-01,0,0,0,0,0
BERMEJO,internaciones,contrareferidos,2020-07-01,24,60,24,60,84
CAMARGO,internaciones,contrareferidos,2020-07-01,3,17,3,17,20
CAMIRI,internaciones,contrareferidos,2020-07-01,0,28,0,28,28
CARANAVI,internaciones,contrareferidos,2020-07-01,2,41,2,41,43
CARAPARI,internaciones,contrareferidos,2020-07-01,0,0,0,0,0
CHULUMANI (V. DE LA LIBERTAD),internaciones,contrareferidos,2020-07-01,4,0,4,0,4
COBIJA,internaciones,contrareferidos,2020-07-01,55,113,55,113,168
COCHABAMBA,internaciones,contrareferidos,2020-07-01,54,385,54,385,439
COROICO,internaciones,contrareferidos,2020-07-01,2,8,2,8,10
COTOCA,internaciones,contrareferidos,2020-07-01,0,6,0,6,6
EL ALTO,internaciones,contrareferidos,2020-07-01,12,18,12,18,30
EL TORNO,internaciones,contrareferidos,2020-07-01,0,1,0,1,1
ENTRE RIOS CBBA,internaciones,contrareferidos,2020-07-01,1,0,1,0,1
HUANUNI,internaciones,contrareferidos,2020-07-01,0,3,0,3,3
LA GUARDIA,internaciones,contrareferidos,2020-07-01,0,1,0,1,1
LA PAZ,internaciones,contrareferidos,2020-07-01,65,645,65,645,710
MAGDALENA,internaciones,contrareferidos,2020-07-01,3,11,3,11,14
MIZQUE,internaciones,contrareferidos,2020-07-01,0,1,0,1,1
MONTEAGUDO,internaciones,contrareferidos,2020-07-01,15,20,15,20,35
MONTERO,internaciones,contrareferidos,2020-07-01,53,38,53,38,91
ORURO,internaciones,contrareferidos,2020-07-01,1,96,1,96,97
PADILLA,internaciones,contrareferidos,2020-07-01,9,15,9,15,24
POTOSI,internaciones,contrareferidos,2020-07-01,34,275,34,275,309
PUERTO VILLARROEL,internaciones,contrareferidos,2020-07-01,21,78,21,78,99
PUNATA,internaciones,contrareferidos,2020-07-01,39,77,39,77,116
RIBERALTA,internaciones,contrareferidos,2020-07-01,39,296,39,296,335
RURRENABAQUE,internaciones,contrareferidos,2020-07-01,1,0,1,0,1
SACABA,internaciones,contrareferidos,2020-07-01,1,16,1,16,17
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2020-07-01,6,17,6,17,23
SAN JOSE DE CHIQUITOS,internaciones,contrareferidos,2020-07-01,1,1,1,1,2
SAN LUCAS,internaciones,contrareferidos,2020-07-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2020-07-01,70,781,70,781,851
SUCRE,internaciones,contrareferidos,2020-07-01,138,438,138,438,576
TARABUCO,internaciones,contrareferidos,2020-07-01,9,12,9,12,21
TARIJA,internaciones,contrareferidos,2020-07-01,14,95,14,95,109
TARVITA,internaciones,contrareferidos,2020-07-01,3,2,3,2,5
