,group,variable,month,INGRESOS ESPONTÁNEOS CANTIDAD,INGRESOS ESPONTÁNEOS CANTIDAD,TOTALES,TOTALES,TOTALES
COBIJA,internaciones,ingresos espontaneos,2020-01-01,175,261,175,261,436
COCAPATA,internaciones,ingresos espontaneos,2020-01-01,0,10,0,10,10
COCHABAMBA,internaciones,ingresos espontaneos,2020-01-01,3227,5570,3227,5570,8797
COLCAPIRHUA,internaciones,ingresos espontaneos,2020-01-01,21,112,21,112,133
"COLCHA ""K""",internaciones,ingresos espontaneos,2020-01-01,2,3,2,3,5
COLLANA,internaciones,ingresos espontaneos,2020-01-01,0,2,0,2,2
COLOMI,internaciones,ingresos espontaneos,2020-01-01,0,15,0,15,15
COLPA BELGICA,internaciones,ingresos espontaneos,2020-01-01,15,27,15,27,42
COLQUECHACA,internaciones,ingresos espontaneos,2020-01-01,0,21,0,21,21
COLQUENCHA,internaciones,ingresos espontaneos,2020-01-01,0,4,0,4,4
COLQUIRI,internaciones,ingresos espontaneos,2020-01-01,0,6,0,6,6
COMANCHE,internaciones,ingresos espontaneos,2020-01-01,0,1,0,1,1
COMARAPA,internaciones,ingresos espontaneos,2020-01-01,11,46,11,46,57
CONCEPCION,internaciones,ingresos espontaneos,2020-01-01,30,82,30,82,112
COPACABANA,internaciones,ingresos espontaneos,2020-01-01,0,3,0,3,3
CORIPATA,internaciones,ingresos espontaneos,2020-01-01,0,11,0,11,11
CORO CORO,internaciones,ingresos espontaneos,2020-01-01,0,4,0,4,4
COROICO,internaciones,ingresos espontaneos,2020-01-01,18,43,18,43,61
COTAGAITA,internaciones,ingresos espontaneos,2020-01-01,0,7,0,7,7
COTOCA,internaciones,ingresos espontaneos,2020-01-01,105,141,105,141,246
CUATRO CAÑADAS,internaciones,ingresos espontaneos,2020-01-01,48,69,48,69,117
CUEVO,internaciones,ingresos espontaneos,2020-01-01,7,10,7,10,17
CULPINA,internaciones,ingresos espontaneos,2020-01-01,1,34,1,34,35
CURAHUARA DE CARANGAS,internaciones,ingresos espontaneos,2020-01-01,1,1,1,1,2
DESAGUADERO,internaciones,ingresos espontaneos,2020-01-01,0,3,0,3,3
EL ALTO,internaciones,ingresos espontaneos,2020-01-01,836,2306,836,2306,3142
EL PUENTE(STC),internaciones,ingresos espontaneos,2020-01-01,29,40,29,40,69
EL PUENTE(TJA),internaciones,ingresos espontaneos,2020-01-01,0,5,0,5,5
EL TORNO,internaciones,ingresos espontaneos,2020-01-01,97,221,97,221,318
EL VILLAR,internaciones,ingresos espontaneos,2020-01-01,0,3,0,3,3
ENTRE RIOS TRJ,internaciones,ingresos espontaneos,2020-01-01,8,23,8,23,31
ENTRE RIOS CBBA,internaciones,ingresos espontaneos,2020-01-01,5,59,5,59,64
ESCOMA,internaciones,ingresos espontaneos,2020-01-01,2,8,2,8,10
EUCALIPTUS,internaciones,ingresos espontaneos,2020-01-01,0,1,0,1,1
EXALTACION,internaciones,ingresos espontaneos,2020-01-01,1,12,1,12,13
FERNANDEZ ALONSO,internaciones,ingresos espontaneos,2020-01-01,6,12,6,12,18
FILADELFIA,internaciones,ingresos espontaneos,2020-01-01,3,1,3,1,4
GENERAL SAAVEDRA,internaciones,ingresos espontaneos,2020-01-01,8,32,8,32,40
GUANAY,internaciones,ingresos espontaneos,2020-01-01,4,29,4,29,33
GUAQUI,internaciones,ingresos espontaneos,2020-01-01,0,3,0,3,3
GUAYARAMERIN,internaciones,ingresos espontaneos,2020-01-01,112,310,112,310,422
GUTIERREZ,internaciones,ingresos espontaneos,2020-01-01,13,31,13,31,44
HUACARETA,internaciones,ingresos espontaneos,2020-01-01,2,5,2,5,7
HUANUNI,internaciones,ingresos espontaneos,2020-01-01,98,141,98,141,239
HUARACAJE,internaciones,ingresos espontaneos,2020-01-01,11,18,11,18,29
HUATAJATA,internaciones,ingresos espontaneos,2020-01-01,0,1,0,1,1
HUAYLLAMARCA,internaciones,ingresos espontaneos,2020-01-01,2,1,2,1,3
ICLA,internaciones,ingresos espontaneos,2020-01-01,5,11,5,11,16
INCAHUASI,internaciones,ingresos espontaneos,2020-01-01,0,3,0,3,3
INQUISIVI,internaciones,ingresos espontaneos,2020-01-01,0,4,0,4,4
IRUPANA (VILLA DE LANZA),internaciones,ingresos espontaneos,2020-01-01,6,6,6,6,12
IXIAMAS,internaciones,ingresos espontaneos,2020-01-01,11,25,11,25,36
JESUS DE MACHACA,internaciones,ingresos espontaneos,2020-01-01,0,4,0,4,4
LA ASUNTA,internaciones,ingresos espontaneos,2020-01-01,6,55,6,55,61
LA GUARDIA,internaciones,ingresos espontaneos,2020-01-01,62,129,62,129,191
LA PAZ,internaciones,ingresos espontaneos,2020-01-01,2263,4328,2263,4328,6591
LAGUNILLAS,internaciones,ingresos espontaneos,2020-01-01,7,7,7,7,14
LAJA,internaciones,ingresos espontaneos,2020-01-01,0,6,0,6,6
LAS CARRERAS,internaciones,ingresos espontaneos,2020-01-01,1,1,1,1,2
LICOMA PAMPA,internaciones,ingresos espontaneos,2020-01-01,0,3,0,3,3
LLALLAGUA,internaciones,ingresos espontaneos,2020-01-01,78,238,78,238,316
LURIBAY,internaciones,ingresos espontaneos,2020-01-01,0,4,0,4,4
MACHACAMARCA,internaciones,ingresos espontaneos,2020-01-01,0,2,0,2,2
MACHARETI,internaciones,ingresos espontaneos,2020-01-01,7,14,7,14,21
MAGDALENA,internaciones,ingresos espontaneos,2020-01-01,50,69,50,69,119
MAIRANA,internaciones,ingresos espontaneos,2020-01-01,4,39,4,39,43
MAPIRI,internaciones,ingresos espontaneos,2020-01-01,9,24,9,24,33
MECAPACA,internaciones,ingresos espontaneos,2020-01-01,0,7,0,7,7
MINEROS,internaciones,ingresos espontaneos,2020-01-01,18,31,18,31,49
MIZQUE,internaciones,ingresos espontaneos,2020-01-01,14,49,14,49,63
MOCOMOCO,internaciones,ingresos espontaneos,2020-01-01,1,0,1,0,1
MOJOCOYA,internaciones,ingresos espontaneos,2020-01-01,0,7,0,7,7
MONTEAGUDO,internaciones,ingresos espontaneos,2020-01-01,82,115,82,115,197
MONTERO,internaciones,ingresos espontaneos,2020-01-01,419,625,419,625,1044
MOROCHATA,internaciones,ingresos espontaneos,2020-01-01,0,2,0,2,2
OCURI,internaciones,ingresos espontaneos,2020-01-01,1,4,1,4,5
OKINAWA,internaciones,ingresos espontaneos,2020-01-01,0,1,0,1,1
OMEREQUE,internaciones,ingresos espontaneos,2020-01-01,6,14,6,14,20
ORURO,internaciones,ingresos espontaneos,2020-01-01,956,1805,956,1805,2761
PADILLA,internaciones,ingresos espontaneos,2020-01-01,16,29,16,29,45
PAILON,internaciones,ingresos espontaneos,2020-01-01,41,129,41,129,170
PALCA,internaciones,ingresos espontaneos,2020-01-01,0,7,0,7,7
PALOS BLANCOS,internaciones,ingresos espontaneos,2020-01-01,25,73,25,73,98
PAMPA AULLAGAS,internaciones,ingresos espontaneos,2020-01-01,0,3,0,3,3
PAMPA GRANDE,internaciones,ingresos espontaneos,2020-01-01,0,8,0,8,8
PAPEL PAMPA,internaciones,ingresos espontaneos,2020-01-01,0,3,0,3,3
PASORAPA,internaciones,ingresos espontaneos,2020-01-01,3,5,3,5,8
PATACAMAYA,internaciones,ingresos espontaneos,2020-01-01,5,51,5,51,56
POCOATA,internaciones,ingresos espontaneos,2020-01-01,0,13,0,13,13
POCONA,internaciones,ingresos espontaneos,2020-01-01,0,16,0,16,16
POJO (CBBA),internaciones,ingresos espontaneos,2020-01-01,4,11,4,11,15
PORCO,internaciones,ingresos espontaneos,2020-01-01,0,8,0,8,8
POROMA,internaciones,ingresos espontaneos,2020-01-01,0,1,0,1,1
PORONGO,internaciones,ingresos espontaneos,2020-01-01,5,14,5,14,19
PORTACHUELO,internaciones,ingresos espontaneos,2020-01-01,58,157,58,157,215
PORVENIR,internaciones,ingresos espontaneos,2020-01-01,0,3,0,3,3
POSTRER VALLE,internaciones,ingresos espontaneos,2020-01-01,2,5,2,5,7
POTOSI,internaciones,ingresos espontaneos,2020-01-01,876,1612,876,1612,2488
PRESTO,internaciones,ingresos espontaneos,2020-01-01,8,3,8,3,11
PUCARA,internaciones,ingresos espontaneos,2020-01-01,1,0,1,0,1
PUCARANI,internaciones,ingresos espontaneos,2020-01-01,0,11,0,11,11
PUERTO ACOSTA,internaciones,ingresos espontaneos,2020-01-01,0,2,0,2,2
PUERTO CARABUCO,internaciones,ingresos espontaneos,2020-01-01,0,6,0,6,6
PUERTO GONZALO MORENO,internaciones,ingresos espontaneos,2020-01-01,1,1,1,1,2
PUERTO QUIJARRO,internaciones,ingresos espontaneos,2020-01-01,13,43,13,43,56
PUERTO RICO,internaciones,ingresos espontaneos,2020-01-01,1,20,1,20,21
PUERTO SUAREZ,internaciones,ingresos espontaneos,2020-01-01,91,99,91,99,190
PUERTO VILLARROEL,internaciones,ingresos espontaneos,2020-01-01,70,138,70,138,208
PUNATA,internaciones,ingresos espontaneos,2020-01-01,109,193,109,193,302
QUILLACOLLO,internaciones,ingresos espontaneos,2020-01-01,112,426,112,426,538
QUIME,internaciones,ingresos espontaneos,2020-01-01,0,2,0,2,2
RAQAYPAMPA(ETA),internaciones,ingresos espontaneos,2020-01-01,0,2,0,2,2
RAVELO,internaciones,ingresos espontaneos,2020-01-01,0,3,0,3,3
REYES,internaciones,ingresos espontaneos,2020-01-01,15,35,15,35,50
RIBERALTA,internaciones,ingresos espontaneos,2020-01-01,215,433,215,433,648
ROBORE,internaciones,ingresos espontaneos,2020-01-01,46,76,46,76,122
RURRENABAQUE,internaciones,ingresos espontaneos,2020-01-01,45,79,45,79,124
SACABA,internaciones,ingresos espontaneos,2020-01-01,206,547,206,547,753
SACABAMBA,internaciones,ingresos espontaneos,2020-01-01,4,7,4,7,11
SACACA,internaciones,ingresos espontaneos,2020-01-01,0,13,0,13,13
SAIPINA,internaciones,ingresos espontaneos,2020-01-01,1,7,1,7,8
SALINAS DE GARCI MENDOZA,internaciones,ingresos espontaneos,2020-01-01,2,8,2,8,10
SAMAIPATA,internaciones,ingresos espontaneos,2020-01-01,5,17,5,17,22
SAN ANDRES,internaciones,ingresos espontaneos,2020-01-01,0,3,0,3,3
SAN ANTONIO DE LOMERIO,internaciones,ingresos espontaneos,2020-01-01,4,10,4,10,14
SAN BORJA,internaciones,ingresos espontaneos,2020-01-01,85,182,85,182,267
SAN BUENA VENTURA,internaciones,ingresos espontaneos,2020-01-01,6,28,6,28,34
SAN CARLOS,internaciones,ingresos espontaneos,2020-01-01,0,6,0,6,6
SAN IGNACIO,internaciones,ingresos espontaneos,2020-01-01,38,78,38,78,116
SAN IGNACIO DE VELASCO,internaciones,ingresos espontaneos,2020-01-01,155,267,155,267,422
SAN JAVIER(BNI),internaciones,ingresos espontaneos,2020-01-01,0,3,0,3,3
SAN JAVIER(STC),internaciones,ingresos espontaneos,2020-01-01,8,45,8,45,53
SAN JOAQUIN,internaciones,ingresos espontaneos,2020-01-01,28,40,28,40,68
SAN JOSE DE CHIQUITOS,internaciones,ingresos espontaneos,2020-01-01,82,162,82,162,244
SAN JUAN DE YAPACANI,internaciones,ingresos espontaneos,2020-01-01,27,23,27,23,50
SAN JULIAN,internaciones,ingresos espontaneos,2020-01-01,181,278,181,278,459
SAN LORENZO(TJA),internaciones,ingresos espontaneos,2020-01-01,0,7,0,7,7
SAN LUCAS,internaciones,ingresos espontaneos,2020-01-01,7,26,7,26,33
SAN MATIAS,internaciones,ingresos espontaneos,2020-01-01,19,33,19,33,52
SAN MIGUEL DE VELASCO,internaciones,ingresos espontaneos,2020-01-01,19,27,19,27,46
SAN PEDRO,internaciones,ingresos espontaneos,2020-01-01,18,45,18,45,63
SAN PEDRO DE BUENA VISTA,internaciones,ingresos espontaneos,2020-01-01,0,12,0,12,12
SAN PEDRO DE CURAHUARA,internaciones,ingresos espontaneos,2020-01-01,0,3,0,3,3
SAN PEDRO DE TIQUINA,internaciones,ingresos espontaneos,2020-01-01,0,2,0,2,2
SAN RAFAEL,internaciones,ingresos espontaneos,2020-01-01,8,21,8,21,29
SAN RAMON BENI,internaciones,ingresos espontaneos,2020-01-01,11,33,11,33,44
SAN RAMON SCZ,internaciones,ingresos espontaneos,2020-01-01,12,32,12,32,44
SANTA ANA,internaciones,ingresos espontaneos,2020-01-01,50,105,50,105,155
SANTA CRUZ DE LA SIERRA,internaciones,ingresos espontaneos,2020-01-01,4403,7416,4403,7416,11819
SANTA ROSA,internaciones,ingresos espontaneos,2020-01-01,10,31,10,31,41
SANTA ROSA DEL SARA,internaciones,ingresos espontaneos,2020-01-01,32,73,32,73,105
SANTIAGO DE HUATA,internaciones,ingresos espontaneos,2020-01-01,0,1,0,1,1
SANTIAGO DE MACHACA,internaciones,ingresos espontaneos,2020-01-01,0,1,0,1,1
SANTIVAÑES,internaciones,ingresos espontaneos,2020-01-01,0,5,0,5,5
SAPAHAQUI,internaciones,ingresos espontaneos,2020-01-01,0,3,0,3,3
SENA,internaciones,ingresos espontaneos,2020-01-01,1,12,1,12,13
SHINAOTA,internaciones,ingresos espontaneos,2020-01-01,10,43,10,43,53
SICA SICA (VILLA AROMA),internaciones,ingresos espontaneos,2020-01-01,0,13,0,13,13
SICAYA,internaciones,ingresos espontaneos,2020-01-01,0,2,0,2,2
SIPE SIPE,internaciones,ingresos espontaneos,2020-01-01,1,46,1,46,47
SOPACHUY,internaciones,ingresos espontaneos,2020-01-01,5,11,5,11,16
SORATA,internaciones,ingresos espontaneos,2020-01-01,1,13,1,13,14
SUCRE,internaciones,ingresos espontaneos,2020-01-01,1099,2176,1099,2176,3275
TACACOMA,internaciones,ingresos espontaneos,2020-01-01,0,4,0,4,4
TACOPAYA,internaciones,ingresos espontaneos,2020-01-01,1,6,1,6,7
TAPACARI,internaciones,ingresos espontaneos,2020-01-01,0,4,0,4,4
TARABUCO,internaciones,ingresos espontaneos,2020-01-01,25,40,25,40,65
TARACO,internaciones,ingresos espontaneos,2020-01-01,0,1,0,1,1
TARATA,internaciones,ingresos espontaneos,2020-01-01,0,1,0,1,1
TARIJA,internaciones,ingresos espontaneos,2020-01-01,656,1498,656,1498,2154
TARVITA,internaciones,ingresos espontaneos,2020-01-01,7,21,7,21,28
TEOPONTE,internaciones,ingresos espontaneos,2020-01-01,0,5,0,5,5
TIAHUANACU,internaciones,ingresos espontaneos,2020-01-01,0,7,0,7,7
TINGUIPAYA,internaciones,ingresos espontaneos,2020-01-01,0,2,0,2,2
TIPUANI,internaciones,ingresos espontaneos,2020-01-01,0,4,0,4,4
TIQUIPAYA,internaciones,ingresos espontaneos,2020-01-01,32,202,32,202,234
TIRAQUE (CBBA),internaciones,ingresos espontaneos,2020-01-01,1,24,1,24,25
TOCO,internaciones,ingresos espontaneos,2020-01-01,0,4,0,4,4
TOLATA,internaciones,ingresos espontaneos,2020-01-01,0,1,0,1,1
TOLEDO,internaciones,ingresos espontaneos,2020-01-01,0,3,0,3,3
TOMAVE,internaciones,ingresos espontaneos,2020-01-01,0,1,0,1,1
TOMINA,internaciones,ingresos espontaneos,2020-01-01,0,5,0,5,5
TORO TORO,internaciones,ingresos espontaneos,2020-01-01,2,5,2,5,7
TOTORA(CBBA),internaciones,ingresos espontaneos,2020-01-01,9,35,9,35,44
TOTORA(ORR),internaciones,ingresos espontaneos,2020-01-01,0,1,0,1,1
TRIGAL,internaciones,ingresos espontaneos,2020-01-01,7,5,7,5,12
TRINIDAD,internaciones,ingresos espontaneos,2020-01-01,615,1074,615,1074,1689
TUPIZA,internaciones,ingresos espontaneos,2020-01-01,341,333,341,333,674
UNCIA,internaciones,ingresos espontaneos,2020-01-01,2,9,2,9,11
URUBICHA,internaciones,ingresos espontaneos,2020-01-01,13,20,13,20,33
UYUNI,internaciones,ingresos espontaneos,2020-01-01,44,110,44,110,154
VACAS,internaciones,ingresos espontaneos,2020-01-01,0,4,0,4,4
VALLEGRANDE,internaciones,ingresos espontaneos,2020-01-01,53,89,53,89,142
VIACHA,internaciones,ingresos espontaneos,2020-01-01,23,110,23,110,133
VILA VILA,internaciones,ingresos espontaneos,2020-01-01,0,3,0,3,3
VILLA CHARCAS,internaciones,ingresos espontaneos,2020-01-01,0,5,0,5,5
VILLA MONTES,internaciones,ingresos espontaneos,2020-01-01,51,109,51,109,160
VILLA RIVERO,internaciones,ingresos espontaneos,2020-01-01,0,2,0,2,2
VILLA SERRANO,internaciones,ingresos espontaneos,2020-01-01,0,10,0,10,10
VILLA TUNARI,internaciones,ingresos espontaneos,2020-01-01,84,182,84,182,266
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,ingresos espontaneos,2020-01-01,1,8,1,8,9
VILLAZON,internaciones,ingresos espontaneos,2020-01-01,42,122,42,122,164
VINTO,internaciones,ingresos espontaneos,2020-01-01,18,98,18,98,116
VITICHI,internaciones,ingresos espontaneos,2020-01-01,0,5,0,5,5
WALDO BALLIVIAN,internaciones,ingresos espontaneos,2020-01-01,0,2,0,2,2
WARNES,internaciones,ingresos espontaneos,2020-01-01,44,172,44,172,216
YACO,internaciones,ingresos espontaneos,2020-01-01,0,1,0,1,1
YACUIBA,internaciones,ingresos espontaneos,2020-01-01,191,397,191,397,588
YAMPARAEZ,internaciones,ingresos espontaneos,2020-01-01,0,5,0,5,5
YANACACHI,internaciones,ingresos espontaneos,2020-01-01,0,2,0,2,2
YAPACANI,internaciones,ingresos espontaneos,2020-01-01,117,271,117,271,388
YOTALA,internaciones,ingresos espontaneos,2020-01-01,0,9,0,9,9
ZUDAÑEZ,internaciones,ingresos espontaneos,2020-01-01,3,19,3,19,22
ACACIO,internaciones,ingresos espontaneos,2020-02-01,0,1,0,1,1
ACHACACHI,internaciones,ingresos espontaneos,2020-02-01,8,33,8,33,41
ACHOCALLA,internaciones,ingresos espontaneos,2020-02-01,0,5,0,5,5
AIQUILE,internaciones,ingresos espontaneos,2020-02-01,18,56,18,56,74
ALALAY,internaciones,ingresos espontaneos,2020-02-01,1,2,1,2,3
ALCALA,internaciones,ingresos espontaneos,2020-02-01,0,1,0,1,1
ALTO BENI,internaciones,ingresos espontaneos,2020-02-01,5,8,5,8,13
ANCORAIMES,internaciones,ingresos espontaneos,2020-02-01,0,2,0,2,2
ANZALDO,internaciones,ingresos espontaneos,2020-02-01,9,13,9,13,22
APOLO,internaciones,ingresos espontaneos,2020-02-01,1,11,1,11,12
ARANI,internaciones,ingresos espontaneos,2020-02-01,0,3,0,3,3
ARBIETO,internaciones,ingresos espontaneos,2020-02-01,0,9,0,9,9
ARQUE,internaciones,ingresos espontaneos,2020-02-01,0,3,0,3,3
ASCENCION DE GUARAYOS,internaciones,ingresos espontaneos,2020-02-01,66,112,66,112,178
ATOCHA,internaciones,ingresos espontaneos,2020-02-01,21,18,21,18,39
AUCAPATA,internaciones,ingresos espontaneos,2020-02-01,0,2,0,2,2
AYATA,internaciones,ingresos espontaneos,2020-02-01,0,2,0,2,2
AYO AYO,internaciones,ingresos espontaneos,2020-02-01,0,4,0,4,4
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos espontaneos,2020-02-01,7,26,7,26,33
AZURDUY,internaciones,ingresos espontaneos,2020-02-01,11,15,11,15,26
BATALLAS,internaciones,ingresos espontaneos,2020-02-01,0,1,0,1,1
BAURES,internaciones,ingresos espontaneos,2020-02-01,12,10,12,10,22
BERMEJO,internaciones,ingresos espontaneos,2020-02-01,81,150,81,150,231
BETANZOS,internaciones,ingresos espontaneos,2020-02-01,0,21,0,21,21
BOLIVAR,internaciones,ingresos espontaneos,2020-02-01,1,2,1,2,3
BOYUIBE,internaciones,ingresos espontaneos,2020-02-01,9,33,9,33,42
BUENA VISTA,internaciones,ingresos espontaneos,2020-02-01,49,73,49,73,122
CABEZAS,internaciones,ingresos espontaneos,2020-02-01,4,15,4,15,19
CAIROMA,internaciones,ingresos espontaneos,2020-02-01,0,3,0,3,3
"CAIZA ""D""",internaciones,ingresos espontaneos,2020-02-01,0,3,0,3,3
CAJUATA,internaciones,ingresos espontaneos,2020-02-01,1,13,1,13,14
CALAMARCA,internaciones,ingresos espontaneos,2020-02-01,0,4,0,4,4
CAMARGO,internaciones,ingresos espontaneos,2020-02-01,21,52,21,52,73
CAMATAQUI (C. VILLA ABECIA),internaciones,ingresos espontaneos,2020-02-01,1,2,1,2,3
CAMIRI,internaciones,ingresos espontaneos,2020-02-01,201,305,201,305,506
CAPINOTA,internaciones,ingresos espontaneos,2020-02-01,23,38,23,38,61
CAQUIAVIRI,internaciones,ingresos espontaneos,2020-02-01,1,1,1,1,2
CARACOLLO,internaciones,ingresos espontaneos,2020-02-01,0,18,0,18,18
CARANAVI,internaciones,ingresos espontaneos,2020-02-01,9,80,9,80,89
CARAPARI,internaciones,ingresos espontaneos,2020-02-01,0,0,0,0,0
CARMEN RIVERO TORREZ,internaciones,ingresos espontaneos,2020-02-01,9,19,9,19,28
CHALLAPATA,internaciones,ingresos espontaneos,2020-02-01,22,98,22,98,120
CHAQUI,internaciones,ingresos espontaneos,2020-02-01,0,4,0,4,4
CHARAGUA,internaciones,ingresos espontaneos,2020-02-01,40,107,40,107,147
CHAYANTA,internaciones,ingresos espontaneos,2020-02-01,0,3,0,3,3
CHIMORE,internaciones,ingresos espontaneos,2020-02-01,1,39,1,39,40
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos espontaneos,2020-02-01,10,33,10,33,43
CHUMA,internaciones,ingresos espontaneos,2020-02-01,2,4,2,4,6
CKOCHAS,internaciones,ingresos espontaneos,2020-02-01,1,5,1,5,6
CLIZA,internaciones,ingresos espontaneos,2020-02-01,6,41,6,41,47
COBIJA,internaciones,ingresos espontaneos,2020-02-01,188,293,188,293,481
COCAPATA,internaciones,ingresos espontaneos,2020-02-01,0,12,0,12,12
COCHABAMBA,internaciones,ingresos espontaneos,2020-02-01,2869,4909,2869,4909,7778
COLCAPIRHUA,internaciones,ingresos espontaneos,2020-02-01,24,47,24,47,71
"COLCHA ""K""",internaciones,ingresos espontaneos,2020-02-01,2,0,2,0,2
COLOMI,internaciones,ingresos espontaneos,2020-02-01,0,27,0,27,27
COLPA BELGICA,internaciones,ingresos espontaneos,2020-02-01,44,61,44,61,105
COLQUECHACA,internaciones,ingresos espontaneos,2020-02-01,2,23,2,23,25
COLQUIRI,internaciones,ingresos espontaneos,2020-02-01,0,8,0,8,8
COMARAPA,internaciones,ingresos espontaneos,2020-02-01,6,29,6,29,35
CONCEPCION,internaciones,ingresos espontaneos,2020-02-01,25,80,25,80,105
COPACABANA,internaciones,ingresos espontaneos,2020-02-01,0,3,0,3,3
CORIPATA,internaciones,ingresos espontaneos,2020-02-01,0,5,0,5,5
CORO CORO,internaciones,ingresos espontaneos,2020-02-01,0,1,0,1,1
COROICO,internaciones,ingresos espontaneos,2020-02-01,14,30,14,30,44
COTAGAITA,internaciones,ingresos espontaneos,2020-02-01,2,9,2,9,11
COTOCA,internaciones,ingresos espontaneos,2020-02-01,114,216,114,216,330
CUATRO CAÑADAS,internaciones,ingresos espontaneos,2020-02-01,57,82,57,82,139
CUEVO,internaciones,ingresos espontaneos,2020-02-01,5,9,5,9,14
CULPINA,internaciones,ingresos espontaneos,2020-02-01,9,32,9,32,41
CURAHUARA DE CARANGAS,internaciones,ingresos espontaneos,2020-02-01,0,4,0,4,4
DESAGUADERO,internaciones,ingresos espontaneos,2020-02-01,0,2,0,2,2
EL ALTO,internaciones,ingresos espontaneos,2020-02-01,774,2071,774,2071,2845
EL PUENTE(STC),internaciones,ingresos espontaneos,2020-02-01,15,24,15,24,39
