municipality,group,variable,month,Viviendas Roceadas,TOTAL
OMEREQUE,chagas viviendas,viviendas roceadas,2019-02-01,1,1
PRESTO,chagas viviendas,viviendas roceadas,2019-02-01,1,1
QUILLACOLLO,chagas viviendas,viviendas roceadas,2019-02-01,4,4
SACABA,chagas viviendas,viviendas roceadas,2019-02-01,6,6
SAN BENITO,chagas viviendas,viviendas roceadas,2019-02-01,6,6
SAN LORENZO(TJA),chagas viviendas,viviendas roceadas,2019-02-01,2,2
SANTIVAÑES,chagas viviendas,viviendas roceadas,2019-02-01,22,22
SICAYA,chagas viviendas,viviendas roceadas,2019-02-01,6,6
SIPE SIPE,chagas viviendas,viviendas roceadas,2019-02-01,40,40
TAPACARI,chagas viviendas,viviendas roceadas,2019-02-01,2,2
TARIJA,chagas viviendas,viviendas roceadas,2019-02-01,15,15
TOLATA,chagas viviendas,viviendas roceadas,2019-02-01,1,1
TOTORA(CBBA),chagas viviendas,viviendas roceadas,2019-02-01,2,2
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2019-02-01,8,8
VALLEGRANDE,chagas viviendas,viviendas roceadas,2019-02-01,15,15
VILLA MONTES,chagas viviendas,viviendas roceadas,2019-02-01,1,1
VILLA RIVERO,chagas viviendas,viviendas roceadas,2019-02-01,2,2
AIQUILE,chagas viviendas,viviendas roceadas,2019-03-01,22,22
ANZALDO,chagas viviendas,viviendas roceadas,2019-03-01,8,8
ARANI,chagas viviendas,viviendas roceadas,2019-03-01,12,12
ARBIETO,chagas viviendas,viviendas roceadas,2019-03-01,2,2
ARQUE,chagas viviendas,viviendas roceadas,2019-03-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas roceadas,2019-03-01,11,11
BOYUIBE,chagas viviendas,viviendas roceadas,2019-03-01,11,11
CAPINOTA,chagas viviendas,viviendas roceadas,2019-03-01,5,5
CLIZA,chagas viviendas,viviendas roceadas,2019-03-01,3,3
COCHABAMBA,chagas viviendas,viviendas roceadas,2019-03-01,68,68
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2019-03-01,9,9
CUEVO,chagas viviendas,viviendas roceadas,2019-03-01,11,11
ICLA,chagas viviendas,viviendas roceadas,2019-03-01,14,14
MIZQUE,chagas viviendas,viviendas roceadas,2019-03-01,15,15
MOJOCOYA,chagas viviendas,viviendas roceadas,2019-03-01,21,21
OMEREQUE,chagas viviendas,viviendas roceadas,2019-03-01,97,97
PADCAYA,chagas viviendas,viviendas roceadas,2019-03-01,1,1
PASORAPA,chagas viviendas,viviendas roceadas,2019-03-01,7,7
PUNATA,chagas viviendas,viviendas roceadas,2019-03-01,10,10
QUILLACOLLO,chagas viviendas,viviendas roceadas,2019-03-01,5,5
RAVELO,chagas viviendas,viviendas roceadas,2019-03-01,10,10
SACABA,chagas viviendas,viviendas roceadas,2019-03-01,2,2
SAN BENITO,chagas viviendas,viviendas roceadas,2019-03-01,2,2
SICAYA,chagas viviendas,viviendas roceadas,2019-03-01,5,5
SIPE SIPE,chagas viviendas,viviendas roceadas,2019-03-01,18,18
TACOBAMBA,chagas viviendas,viviendas roceadas,2019-03-01,22,22
TAPACARI,chagas viviendas,viviendas roceadas,2019-03-01,5,5
TARATA,chagas viviendas,viviendas roceadas,2019-03-01,2,2
TARIJA,chagas viviendas,viviendas roceadas,2019-03-01,9,9
TOMAVE,chagas viviendas,viviendas roceadas,2019-03-01,1,1
TORO TORO,chagas viviendas,viviendas roceadas,2019-03-01,4,4
TOTORA(CBBA),chagas viviendas,viviendas roceadas,2019-03-01,1,1
TUPIZA,chagas viviendas,viviendas roceadas,2019-03-01,3,3
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2019-03-01,1,1
VALLEGRANDE,chagas viviendas,viviendas roceadas,2019-03-01,8,8
VILLA RIVERO,chagas viviendas,viviendas roceadas,2019-03-01,4,4
VILLA SERRANO,chagas viviendas,viviendas roceadas,2019-03-01,30,30
VINTO,chagas viviendas,viviendas roceadas,2019-03-01,5,5
AIQUILE,chagas viviendas,viviendas roceadas,2019-04-01,35,35
ANZALDO,chagas viviendas,viviendas roceadas,2019-04-01,21,21
ARANI,chagas viviendas,viviendas roceadas,2019-04-01,5,5
ARQUE,chagas viviendas,viviendas roceadas,2019-04-01,7,7
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas roceadas,2019-04-01,1,1
CAPINOTA,chagas viviendas,viviendas roceadas,2019-04-01,65,65
CARAPARI,chagas viviendas,viviendas roceadas,2019-04-01,2,2
CLIZA,chagas viviendas,viviendas roceadas,2019-04-01,1,1
COCHABAMBA,chagas viviendas,viviendas roceadas,2019-04-01,135,135
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2019-04-01,12,12
COTAGAITA,chagas viviendas,viviendas roceadas,2019-04-01,13,13
CUEVO,chagas viviendas,viviendas roceadas,2019-04-01,19,19
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2019-04-01,6,6
EL TORNO,chagas viviendas,viviendas roceadas,2019-04-01,29,29
ICLA,chagas viviendas,viviendas roceadas,2019-04-01,12,12
MIZQUE,chagas viviendas,viviendas roceadas,2019-04-01,74,74
MOJOCOYA,chagas viviendas,viviendas roceadas,2019-04-01,5,5
PADCAYA,chagas viviendas,viviendas roceadas,2019-04-01,5,5
PASORAPA,chagas viviendas,viviendas roceadas,2019-04-01,2,2
POCOATA,chagas viviendas,viviendas roceadas,2019-04-01,10,10
PUNATA,chagas viviendas,viviendas roceadas,2019-04-01,12,12
QUILLACOLLO,chagas viviendas,viviendas roceadas,2019-04-01,21,21
SACABAMBA,chagas viviendas,viviendas roceadas,2019-04-01,15,15
SAN BENITO,chagas viviendas,viviendas roceadas,2019-04-01,5,5
SAN LORENZO(TJA),chagas viviendas,viviendas roceadas,2019-04-01,1,1
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas roceadas,2019-04-01,38,38
SANTIVAÑES,chagas viviendas,viviendas roceadas,2019-04-01,19,19
SICAYA,chagas viviendas,viviendas roceadas,2019-04-01,5,5
SIPE SIPE,chagas viviendas,viviendas roceadas,2019-04-01,50,50
TACACHI,chagas viviendas,viviendas roceadas,2019-04-01,6,6
TAPACARI,chagas viviendas,viviendas roceadas,2019-04-01,5,5
TARATA,chagas viviendas,viviendas roceadas,2019-04-01,6,6
TARIJA,chagas viviendas,viviendas roceadas,2019-04-01,11,11
TOCO,chagas viviendas,viviendas roceadas,2019-04-01,4,4
TORO TORO,chagas viviendas,viviendas roceadas,2019-04-01,6,6
TOTORA(CBBA),chagas viviendas,viviendas roceadas,2019-04-01,1,1
TRIGAL,chagas viviendas,viviendas roceadas,2019-04-01,14,14
TUPIZA,chagas viviendas,viviendas roceadas,2019-04-01,5,5
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2019-04-01,5,5
VILLA SERRANO,chagas viviendas,viviendas roceadas,2019-04-01,3,3
VINTO,chagas viviendas,viviendas roceadas,2019-04-01,5,5
VITICHI,chagas viviendas,viviendas roceadas,2019-04-01,2,2
ACACIO,chagas viviendas,viviendas roceadas,2019-05-01,5,5
AIQUILE,chagas viviendas,viviendas roceadas,2019-05-01,46,46
ALCALA,chagas viviendas,viviendas roceadas,2019-05-01,3,3
ANZALDO,chagas viviendas,viviendas roceadas,2019-05-01,12,12
ARAMPAMPA,chagas viviendas,viviendas roceadas,2019-05-01,2,2
ARANI,chagas viviendas,viviendas roceadas,2019-05-01,8,8
ARBIETO,chagas viviendas,viviendas roceadas,2019-05-01,8,8
ARQUE,chagas viviendas,viviendas roceadas,2019-05-01,6,6
BOYUIBE,chagas viviendas,viviendas roceadas,2019-05-01,5,5
"CAIZA ""D""",chagas viviendas,viviendas roceadas,2019-05-01,3,3
CAMARGO,chagas viviendas,viviendas roceadas,2019-05-01,10,10
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas roceadas,2019-05-01,1,1
CAPINOTA,chagas viviendas,viviendas roceadas,2019-05-01,45,45
CARAPARI,chagas viviendas,viviendas roceadas,2019-05-01,4,4
CKOCHAS,chagas viviendas,viviendas roceadas,2019-05-01,25,25
CLIZA,chagas viviendas,viviendas roceadas,2019-05-01,2,2
COCHABAMBA,chagas viviendas,viviendas roceadas,2019-05-01,74,74
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2019-05-01,8,8
COTAGAITA,chagas viviendas,viviendas roceadas,2019-05-01,9,9
CUATRO CAÑADAS,chagas viviendas,viviendas roceadas,2019-05-01,12,12
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas roceadas,2019-05-01,7,7
CULPINA,chagas viviendas,viviendas roceadas,2019-05-01,71,71
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2019-05-01,17,17
EL TORNO,chagas viviendas,viviendas roceadas,2019-05-01,23,23
HUACARETA,chagas viviendas,viviendas roceadas,2019-05-01,2,2
ICLA,chagas viviendas,viviendas roceadas,2019-05-01,20,20
LURIBAY,chagas viviendas,viviendas roceadas,2019-05-01,8,8
MIZQUE,chagas viviendas,viviendas roceadas,2019-05-01,40,40
OMEREQUE,chagas viviendas,viviendas roceadas,2019-05-01,53,53
PASORAPA,chagas viviendas,viviendas roceadas,2019-05-01,16,16
POROMA,chagas viviendas,viviendas roceadas,2019-05-01,5,5
PUNA,chagas viviendas,viviendas roceadas,2019-05-01,2,2
PUNATA,chagas viviendas,viviendas roceadas,2019-05-01,4,4
QUILLACOLLO,chagas viviendas,viviendas roceadas,2019-05-01,11,11
SACABA,chagas viviendas,viviendas roceadas,2019-05-01,14,14
SAN BENITO,chagas viviendas,viviendas roceadas,2019-05-01,9,9
SAN LUCAS,chagas viviendas,viviendas roceadas,2019-05-01,7,7
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas roceadas,2019-05-01,49,49
SANTIVAÑES,chagas viviendas,viviendas roceadas,2019-05-01,15,15
SICAYA,chagas viviendas,viviendas roceadas,2019-05-01,29,29
SIPE SIPE,chagas viviendas,viviendas roceadas,2019-05-01,37,37
TACACHI,chagas viviendas,viviendas roceadas,2019-05-01,2,2
TAPACARI,chagas viviendas,viviendas roceadas,2019-05-01,10,10
TARATA,chagas viviendas,viviendas roceadas,2019-05-01,3,3
TARIJA,chagas viviendas,viviendas roceadas,2019-05-01,9,9
TOMINA,chagas viviendas,viviendas roceadas,2019-05-01,38,38
TORO TORO,chagas viviendas,viviendas roceadas,2019-05-01,22,22
TOTORA(CBBA),chagas viviendas,viviendas roceadas,2019-05-01,5,5
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2019-05-01,4,4
VALLEGRANDE,chagas viviendas,viviendas roceadas,2019-05-01,25,25
VILA VILA,chagas viviendas,viviendas roceadas,2019-05-01,8,8
VILLA MONTES,chagas viviendas,viviendas roceadas,2019-05-01,6,6
VILLA RIVERO,chagas viviendas,viviendas roceadas,2019-05-01,6,6
VILLA SERRANO,chagas viviendas,viviendas roceadas,2019-05-01,6,6
VINTO,chagas viviendas,viviendas roceadas,2019-05-01,6,6
YOTALA,chagas viviendas,viviendas roceadas,2019-05-01,13,13
AIQUILE,chagas viviendas,viviendas roceadas,2019-06-01,59,59
ALCALA,chagas viviendas,viviendas roceadas,2019-06-01,9,9
ANZALDO,chagas viviendas,viviendas roceadas,2019-06-01,8,8
ARBIETO,chagas viviendas,viviendas roceadas,2019-06-01,4,4
ARQUE,chagas viviendas,viviendas roceadas,2019-06-01,11,11
"CAIZA ""D""",chagas viviendas,viviendas roceadas,2019-06-01,3,3
CAMARGO,chagas viviendas,viviendas roceadas,2019-06-01,31,31
CAPINOTA,chagas viviendas,viviendas roceadas,2019-06-01,42,42
CARAPARI,chagas viviendas,viviendas roceadas,2019-06-01,7,7
CKOCHAS,chagas viviendas,viviendas roceadas,2019-06-01,12,12
COCHABAMBA,chagas viviendas,viviendas roceadas,2019-06-01,121,121
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2019-06-01,2,2
COTAGAITA,chagas viviendas,viviendas roceadas,2019-06-01,13,13
CUATRO CAÑADAS,chagas viviendas,viviendas roceadas,2019-06-01,4,4
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2019-06-01,3,3
EL TORNO,chagas viviendas,viviendas roceadas,2019-06-01,12,12
HUACARETA,chagas viviendas,viviendas roceadas,2019-06-01,3,3
LICOMA PAMPA,chagas viviendas,viviendas roceadas,2019-06-01,4,4
MIZQUE,chagas viviendas,viviendas roceadas,2019-06-01,33,33
MONTERO,chagas viviendas,viviendas roceadas,2019-06-01,0,0
OMEREQUE,chagas viviendas,viviendas roceadas,2019-06-01,31,31
PADCAYA,chagas viviendas,viviendas roceadas,2019-06-01,4,4
PAMPA GRANDE,chagas viviendas,viviendas roceadas,2019-06-01,18,18
PASORAPA,chagas viviendas,viviendas roceadas,2019-06-01,4,4
POJO (CBBA),chagas viviendas,viviendas roceadas,2019-06-01,81,81
POROMA,chagas viviendas,viviendas roceadas,2019-06-01,24,24
PUNATA,chagas viviendas,viviendas roceadas,2019-06-01,4,4
QUILLACOLLO,chagas viviendas,viviendas roceadas,2019-06-01,14,14
SACABA,chagas viviendas,viviendas roceadas,2019-06-01,7,7
SAN BENITO,chagas viviendas,viviendas roceadas,2019-06-01,2,2
SAN LUCAS,chagas viviendas,viviendas roceadas,2019-06-01,16,16
SANTIVAÑES,chagas viviendas,viviendas roceadas,2019-06-01,18,18
SICAYA,chagas viviendas,viviendas roceadas,2019-06-01,25,25
SIPE SIPE,chagas viviendas,viviendas roceadas,2019-06-01,87,87
TACACHI,chagas viviendas,viviendas roceadas,2019-06-01,1,1
TACOBAMBA,chagas viviendas,viviendas roceadas,2019-06-01,2,2
TAPACARI,chagas viviendas,viviendas roceadas,2019-06-01,3,3
TARATA,chagas viviendas,viviendas roceadas,2019-06-01,1,1
TARIJA,chagas viviendas,viviendas roceadas,2019-06-01,17,17
TOLATA,chagas viviendas,viviendas roceadas,2019-06-01,3,3
TOMAVE,chagas viviendas,viviendas roceadas,2019-06-01,1,1
TORO TORO,chagas viviendas,viviendas roceadas,2019-06-01,8,8
TOTORA(CBBA),chagas viviendas,viviendas roceadas,2019-06-01,2,2
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2019-06-01,11,11
VILLA MONTES,chagas viviendas,viviendas roceadas,2019-06-01,13,13
VILLA RIVERO,chagas viviendas,viviendas roceadas,2019-06-01,2,2
VILLA SERRANO,chagas viviendas,viviendas roceadas,2019-06-01,8,8
VINTO,chagas viviendas,viviendas roceadas,2019-06-01,4,4
YAMPARAEZ,chagas viviendas,viviendas roceadas,2019-06-01,93,93
ACACIO,chagas viviendas,viviendas roceadas,2019-07-01,5,5
AIQUILE,chagas viviendas,viviendas roceadas,2019-07-01,38,38
ANZALDO,chagas viviendas,viviendas roceadas,2019-07-01,17,17
ARAMPAMPA,chagas viviendas,viviendas roceadas,2019-07-01,1,1
ARBIETO,chagas viviendas,viviendas roceadas,2019-07-01,3,3
ARQUE,chagas viviendas,viviendas roceadas,2019-07-01,4,4
BOYUIBE,chagas viviendas,viviendas roceadas,2019-07-01,72,72
"CAIZA ""D""",chagas viviendas,viviendas roceadas,2019-07-01,11,11
CAMARGO,chagas viviendas,viviendas roceadas,2019-07-01,20,20
CARAPARI,chagas viviendas,viviendas roceadas,2019-07-01,12,12
CLIZA,chagas viviendas,viviendas roceadas,2019-07-01,3,3
COCHABAMBA,chagas viviendas,viviendas roceadas,2019-07-01,96,96
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2019-07-01,3,3
COTAGAITA,chagas viviendas,viviendas roceadas,2019-07-01,3,3
CUATRO CAÑADAS,chagas viviendas,viviendas roceadas,2019-07-01,3,3
CUEVO,chagas viviendas,viviendas roceadas,2019-07-01,5,5
HUACARETA,chagas viviendas,viviendas roceadas,2019-07-01,7,7
ICLA,chagas viviendas,viviendas roceadas,2019-07-01,3,3
LAS CARRERAS,chagas viviendas,viviendas roceadas,2019-07-01,15,15
MOJOCOYA,chagas viviendas,viviendas roceadas,2019-07-01,185,185
OMEREQUE,chagas viviendas,viviendas roceadas,2019-07-01,19,19
PADCAYA,chagas viviendas,viviendas roceadas,2019-07-01,2,2
PASORAPA,chagas viviendas,viviendas roceadas,2019-07-01,11,11
POROMA,chagas viviendas,viviendas roceadas,2019-07-01,6,6
PRESTO,chagas viviendas,viviendas roceadas,2019-07-01,143,143
PUNATA,chagas viviendas,viviendas roceadas,2019-07-01,4,4
QUILLACOLLO,chagas viviendas,viviendas roceadas,2019-07-01,12,12
SACABA,chagas viviendas,viviendas roceadas,2019-07-01,11,11
SAN LORENZO(TJA),chagas viviendas,viviendas roceadas,2019-07-01,8,8
SAN LUCAS,chagas viviendas,viviendas roceadas,2019-07-01,13,13
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas roceadas,2019-07-01,79,79
SANTIVAÑES,chagas viviendas,viviendas roceadas,2019-07-01,10,10
SICAYA,chagas viviendas,viviendas roceadas,2019-07-01,8,8
SIPE SIPE,chagas viviendas,viviendas roceadas,2019-07-01,74,74
TACOBAMBA,chagas viviendas,viviendas roceadas,2019-07-01,9,9
TAPACARI,chagas viviendas,viviendas roceadas,2019-07-01,11,11
TARABUCO,chagas viviendas,viviendas roceadas,2019-07-01,34,34
TARIJA,chagas viviendas,viviendas roceadas,2019-07-01,23,23
TOCO,chagas viviendas,viviendas roceadas,2019-07-01,3,3
TORO TORO,chagas viviendas,viviendas roceadas,2019-07-01,12,12
TOTORA(CBBA),chagas viviendas,viviendas roceadas,2019-07-01,1,1
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2019-07-01,3,3
VALLEGRANDE,chagas viviendas,viviendas roceadas,2019-07-01,3,3
VILA VILA,chagas viviendas,viviendas roceadas,2019-07-01,12,12
VILLA MONTES,chagas viviendas,viviendas roceadas,2019-07-01,7,7
VILLA RIVERO,chagas viviendas,viviendas roceadas,2019-07-01,5,5
VILLA SERRANO,chagas viviendas,viviendas roceadas,2019-07-01,14,14
VINTO,chagas viviendas,viviendas roceadas,2019-07-01,12,12
VITICHI,chagas viviendas,viviendas roceadas,2019-07-01,1,1
YAMPARAEZ,chagas viviendas,viviendas roceadas,2019-07-01,50,50
YOTALA,chagas viviendas,viviendas roceadas,2019-07-01,16,16
ZUDAÑEZ,chagas viviendas,viviendas roceadas,2019-07-01,3,3
AIQUILE,chagas viviendas,viviendas roceadas,2019-08-01,44,44
ANZALDO,chagas viviendas,viviendas roceadas,2019-08-01,16,16
ARAMPAMPA,chagas viviendas,viviendas roceadas,2019-08-01,2,2
ARANI,chagas viviendas,viviendas roceadas,2019-08-01,6,6
ARBIETO,chagas viviendas,viviendas roceadas,2019-08-01,2,2
ARQUE,chagas viviendas,viviendas roceadas,2019-08-01,7,7
BOYUIBE,chagas viviendas,viviendas roceadas,2019-08-01,8,8
"CAIZA ""D""",chagas viviendas,viviendas roceadas,2019-08-01,4,4
CAMARGO,chagas viviendas,viviendas roceadas,2019-08-01,26,26
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas roceadas,2019-08-01,3,3
CAPINOTA,chagas viviendas,viviendas roceadas,2019-08-01,28,28
CLIZA,chagas viviendas,viviendas roceadas,2019-08-01,2,2
COCHABAMBA,chagas viviendas,viviendas roceadas,2019-08-01,58,58
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2019-08-01,2,2
COTAGAITA,chagas viviendas,viviendas roceadas,2019-08-01,3,3
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2019-08-01,5,5
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas roceadas,2019-08-01,101,101
ICLA,chagas viviendas,viviendas roceadas,2019-08-01,3,3
LAS CARRERAS,chagas viviendas,viviendas roceadas,2019-08-01,8,8
MIZQUE,chagas viviendas,viviendas roceadas,2019-08-01,65,65
MOJOCOYA,chagas viviendas,viviendas roceadas,2019-08-01,95,95
OMEREQUE,chagas viviendas,viviendas roceadas,2019-08-01,18,18
PASORAPA,chagas viviendas,viviendas roceadas,2019-08-01,12,12
PRESTO,chagas viviendas,viviendas roceadas,2019-08-01,90,90
PUNA,chagas viviendas,viviendas roceadas,2019-08-01,2,2
PUNATA,chagas viviendas,viviendas roceadas,2019-08-01,3,3
QUILLACOLLO,chagas viviendas,viviendas roceadas,2019-08-01,2,2
RAVELO,chagas viviendas,viviendas roceadas,2019-08-01,10,10
SACABA,chagas viviendas,viviendas roceadas,2019-08-01,10,10
SAN LUCAS,chagas viviendas,viviendas roceadas,2019-08-01,4,4
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas roceadas,2019-08-01,5,5
SANTIVAÑES,chagas viviendas,viviendas roceadas,2019-08-01,34,34
SIPE SIPE,chagas viviendas,viviendas roceadas,2019-08-01,37,37
SUCRE,chagas viviendas,viviendas roceadas,2019-08-01,62,62
TAPACARI,chagas viviendas,viviendas roceadas,2019-08-01,15,15
TARIJA,chagas viviendas,viviendas roceadas,2019-08-01,13,13
TOMINA,chagas viviendas,viviendas roceadas,2019-08-01,25,25
TOTORA(CBBA),chagas viviendas,viviendas roceadas,2019-08-01,2,2
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2019-08-01,5,5
VALLEGRANDE,chagas viviendas,viviendas roceadas,2019-08-01,1,1
VILA VILA,chagas viviendas,viviendas roceadas,2019-08-01,23,23
VILLA SERRANO,chagas viviendas,viviendas roceadas,2019-08-01,20,20
VINTO,chagas viviendas,viviendas roceadas,2019-08-01,9,9
VITICHI,chagas viviendas,viviendas roceadas,2019-08-01,2,2
YACUIBA,chagas viviendas,viviendas roceadas,2019-08-01,19,19
YAMPARAEZ,chagas viviendas,viviendas roceadas,2019-08-01,92,92
ZUDAÑEZ,chagas viviendas,viviendas roceadas,2019-08-01,6,6
ACACIO,chagas viviendas,viviendas roceadas,2019-09-01,8,8
AIQUILE,chagas viviendas,viviendas roceadas,2019-09-01,73,73
ALCALA,chagas viviendas,viviendas roceadas,2019-09-01,2,2
ANZALDO,chagas viviendas,viviendas roceadas,2019-09-01,23,23
ARAMPAMPA,chagas viviendas,viviendas roceadas,2019-09-01,8,8
ARANI,chagas viviendas,viviendas roceadas,2019-09-01,5,5
ARQUE,chagas viviendas,viviendas roceadas,2019-09-01,19,19
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas roceadas,2019-09-01,2,2
BETANZOS,chagas viviendas,viviendas roceadas,2019-09-01,12,12
BOYUIBE,chagas viviendas,viviendas roceadas,2019-09-01,4,4
CAMARGO,chagas viviendas,viviendas roceadas,2019-09-01,27,27
CAPINOTA,chagas viviendas,viviendas roceadas,2019-09-01,38,38
CARAPARI,chagas viviendas,viviendas roceadas,2019-09-01,101,101
CKOCHAS,chagas viviendas,viviendas roceadas,2019-09-01,4,4
CLIZA,chagas viviendas,viviendas roceadas,2019-09-01,2,2
COCHABAMBA,chagas viviendas,viviendas roceadas,2019-09-01,81,81
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2019-09-01,19,19
COTAGAITA,chagas viviendas,viviendas roceadas,2019-09-01,13,13
CULPINA,chagas viviendas,viviendas roceadas,2019-09-01,83,83
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2019-09-01,13,13
EL TORNO,chagas viviendas,viviendas roceadas,2019-09-01,9,9
ENTRE RIOS TRJ,chagas viviendas,viviendas roceadas,2019-09-01,1,1
GUTIERREZ,chagas viviendas,viviendas roceadas,2019-09-01,43,43
HUACARETA,chagas viviendas,viviendas roceadas,2019-09-01,30,30
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas roceadas,2019-09-01,3,3
ICLA,chagas viviendas,viviendas roceadas,2019-09-01,13,13
LA ASUNTA,chagas viviendas,viviendas roceadas,2019-09-01,115,115
LAS CARRERAS,chagas viviendas,viviendas roceadas,2019-09-01,61,61
LURIBAY,chagas viviendas,viviendas roceadas,2019-09-01,55,55
MIZQUE,chagas viviendas,viviendas roceadas,2019-09-01,31,31
MOJOCOYA,chagas viviendas,viviendas roceadas,2019-09-01,53,53
OMEREQUE,chagas viviendas,viviendas roceadas,2019-09-01,25,25
PADCAYA,chagas viviendas,viviendas roceadas,2019-09-01,2,2
PADILLA,chagas viviendas,viviendas roceadas,2019-09-01,5,5
