municipality,group,variable,month,10.6. N° de beneficiarios(as) (niños/as) nuevos(as) del bono Juana Azurduy,TOTAL
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,2.0,2.0
ICHOCA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,2.0,2.0
ICLA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,11.0,11.0
INCAHUASI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,21.0,21.0
INQUISIVI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,1.0,1.0
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,33.0,33.0
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,10.0,10.0
LA ASUNTA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,4.0,4.0
LA GUARDIA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,117.0,117.0
LA PAZ,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,445.0,445.0
LAGUNILLAS,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,13.0,13.0
LAJA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,27.0,27.0
LICOMA PAMPA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,3.0,3.0
LLALLAGUA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,13.0,13.0
LORETO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,5.0,5.0
LURIBAY,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,10.0,10.0
MACHACAMARCA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,3.0,3.0
MAGDALENA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,30.0,30.0
MAIRANA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,5.0,5.0
MALLA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,3.0,3.0
MECAPACA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,4.0,4.0
MIZQUE,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,41.0,41.0
MOCOMOCO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,9.0,9.0
MOJOCOYA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,12.0,12.0
MONTEAGUDO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,33.0,33.0
MONTERO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,144.0,144.0
MORO MORO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,6.0,6.0
MOROCHATA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,17.0,17.0
OCURI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,4.0,4.0
OKINAWA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,13.0,13.0
OMEREQUE,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,3.0,3.0
ORURO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,347.0,347.0
PADILLA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,13.0,13.0
PAILON,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,12.0,12.0
PALCA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,2.0,2.0
PAMPA AULLAGAS,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,4.0,4.0
PAMPA GRANDE,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,19.0,19.0
PAPEL PAMPA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,6.0,6.0
PATACAMAYA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,32.0,32.0
PAZÑA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,2.0,2.0
POCOATA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,5.0,5.0
POCONA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,7.0,7.0
POJO (CBBA),actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,5.0,5.0
POOPO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,14.0,14.0
PORCO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,1.0,1.0
POROMA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,6.0,6.0
PORTACHUELO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,41.0,41.0
PORVENIR,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,17.0,17.0
POSTRER VALLE,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,4.0,4.0
POTOSI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,228.0,228.0
PRESTO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,9.0,9.0
PUCARA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,2.0,2.0
PUCARANI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,46.0,46.0
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,2.0,2.0
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,20.0,20.0
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,2.0,2.0
PUERTO PEREZ,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,4.0,4.0
PUERTO QUIJARRO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,23.0,23.0
PUERTO RICO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,11.0,11.0
PUERTO SILES,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,1.0,1.0
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,26.0,26.0
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,106.0,106.0
PUNA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,26.0,26.0
PUNATA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,42.0,42.0
QUIABAYA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,4.0,4.0
QUILLACOLLO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,173.0,173.0
QUIME,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,6.0,6.0
QUIRUSILLAS,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,2.0,2.0
RAVELO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,9.0,9.0
REYES,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,18.0,18.0
RIBERALTA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,13.0,13.0
ROBORE,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,15.0,15.0
RURRENABAQUE,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,21.0,21.0
SABAYA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,2.0,2.0
SACABA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,188.0,188.0
SACABAMBA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,7.0,7.0
SAIPINA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,12.0,12.0
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,18.0,18.0
SAMAIPATA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,12.0,12.0
SAN AGUSTIN,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,1.0,1.0
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,3.0,3.0
SAN ANTONIO DE ESMORUCO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,4.0,4.0
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,15.0,15.0
SAN BENITO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,12.0,12.0
SAN BORJA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,44.0,44.0
SAN CARLOS,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,27.0,27.0
SAN IGNACIO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,7.0,7.0
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,120.0,120.0
SAN JOAQUIN,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,21.0,21.0
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,30.0,30.0
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,11.0,11.0
SAN JULIAN,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,47.0,47.0
SAN LORENZO(PND),actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,22.0,22.0
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,29.0,29.0
SAN LUCAS,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,66.0,66.0
SAN MATIAS,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,8.0,8.0
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,18.0,18.0
SAN PEDRO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,3.0,3.0
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,8.0,8.0
SAN RAFAEL,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,10.0,10.0
SAN RAMON BENI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,7.0,7.0
SANTA ANA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,14.0,14.0
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,937.0,937.0
SANTA ROSA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,12.0,12.0
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,6.0,6.0
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,26.0,26.0
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,10.0,10.0
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,4.0,4.0
SANTIVAÑES,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,14.0,14.0
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,3.0,3.0
SAPAHAQUI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,6.0,6.0
SENA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,28.0,28.0
SHINAOTA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,3.0,3.0
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,25.0,25.0
SICAYA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,1.0,1.0
SIPE SIPE,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,89.0,89.0
SOPACHUY,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,5.0,5.0
SORACACHI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,15.0,15.0
SORATA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,15.0,15.0
SUCRE,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,409.0,409.0
TACACHI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,1.0,1.0
TACOBAMBA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,1.0,1.0
TACOPAYA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,15.0,15.0
TAPACARI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,15.0,15.0
TARABUCO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,18.0,18.0
TARACO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,4.0,4.0
TARATA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,19.0,19.0
TARIJA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,224.0,224.0
TARVITA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,5.0,5.0
TEOPONTE,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,12.0,12.0
TIAWANACU,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,4.0,4.0
TINGUIPAYA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,10.0,10.0
TIPUANI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,17.0,17.0
TIQUIPAYA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,90.0,90.0
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,17.0,17.0
TOCO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,6.0,6.0
TOLATA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,12.0,12.0
TOLEDO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,6.0,6.0
TOMAVE,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,1.0,1.0
TOMINA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,8.0,8.0
TORO TORO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,3.0,3.0
TOTORA(CBBA),actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,32.0,32.0
TOTORA(ORR),actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,28.0,28.0
TRINIDAD,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,116.0,116.0
TUPIZA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,34.0,34.0
UNCIA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,21.0,21.0
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,18.0,18.0
URUBICHA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,6.0,6.0
UYUNI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,27.0,27.0
VACAS,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,5.0,5.0
VALLEGRANDE,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,12.0,12.0
VIACHA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,48.0,48.0
VILLA CHARCAS,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,1.0,1.0
VILLA MONTES,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,52.0,52.0
VILLA RIVERO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,7.0,7.0
VILLA SERRANO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,4.0,4.0
VILLA TUNARI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,84.0,84.0
VILLAZON,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,71.0,71.0
VINTO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,20.0,20.0
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,6.0,6.0
WARNES,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,145.0,145.0
YACUIBA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,52.0,52.0
YAMPARAEZ,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,10.0,10.0
YANACACHI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,2.0,2.0
YAPACANI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,57.0,57.0
YOTALA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,4.0,4.0
YUNCHARA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,8.0,8.0
ZUDAÑEZ,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-05-01,11.0,11.0
ACHACACHI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-06-01,33.0,33.0
AIQUILE,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-06-01,32.0,32.0
ALALAY,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-06-01,1.0,1.0
ALCALA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-06-01,5.0,5.0
ALTO BENI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-06-01,9.0,9.0
ANCORAIMES,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-06-01,19.0,19.0
ANDAMARCA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-06-01,2.0,2.0
ANTEQUERA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-06-01,4.0,4.0
APOLO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-06-01,27.0,27.0
ARAMPAMPA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-06-01,6.0,6.0
ARANI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-06-01,16.0,16.0
ARBIETO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-06-01,22.0,22.0
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-06-01,32.0,32.0
