,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
ARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,6,11,101,64,107,75,182
ARBIETO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,9,12,194,144,203,156,359
ARQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,7,7,71,61,78,68,146
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,56,61,228,239,284,300,584
ATOCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,13,6,67,58,80,64,144
AUCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,1,2,28,31,29,33,62
AYATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,4,2,47,53,51,55,106
AYO AYO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,4,2,58,48,62,50,112
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,10,12,185,149,195,161,356
AZURDUY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,5,1,37,24,42,25,67
BATALLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,8,10,96,94,104,104,208
BAURES,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,14,7,43,37,57,44,101
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,0,0,9,1,9,1,10
BELEN DE URMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,0,0,5,9,5,9,14
BELLA FLOR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,4,2,17,15,21,17,38
BERMEJO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,108,95,118,110,226,205,431
BETANZOS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,8,20,166,159,174,179,353
BOLIVAR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,4,2,36,13,40,15,55
BOLPEBRA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,1,1,7,10,8,11,19
BOYUIBE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,17,3,23,23,40,26,66
BUENA VISTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,20,11,95,126,115,137,252
CABEZAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,17,29,166,160,183,189,372
CAIROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,10,7,37,42,47,49,96
"CAIZA ""D""",control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,2,6,51,39,53,45,98
CAJUATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,14,21,88,100,102,121,223
CALACOTO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,0,2,13,11,13,13,26
CALAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,4,4,57,68,61,72,133
CAMARGO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,2,1,107,73,109,74,183
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,0,0,12,11,12,11,23
CAMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,95,65,264,230,359,295,654
CAPINOTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,21,12,191,175,212,187,399
CAQUIAVIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,4,5,99,50,103,55,158
CARACOLLO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,6,13,145,133,151,146,297
CARANAVI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,79,59,339,297,418,356,774
CARAPARI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,14,13,149,103,163,116,279
CARIPUYO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,3,6,29,28,32,34,66
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,13,13,21,16,34,29,63
CATACORA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,0,0,10,2,10,2,12
CHACARILLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,0,0,7,3,7,3,10
CHALLAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,48,48,258,294,306,342,648
CHAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,6,6,41,50,47,56,103
CHARAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,37,33,194,188,231,221,452
CHARAÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,2,2,7,7,9,9,18
CHAYANTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,13,6,76,82,89,88,177
CHIMORE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,82,29,120,72,202,101,303
CHIPAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,1,0,12,12,13,12,25
CHOQUE COTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,0,0,13,2,13,2,15
CHUA COCANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,4,0,19,17,23,17,40
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,21,22,84,54,105,76,181
CHUMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,7,7,44,52,51,59,110
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,5,7,44,38,49,45,94
CKOCHAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,11,9,61,52,72,61,133
CLIZA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,75,55,182,168,257,223,480
COBIJA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,92,64,527,447,619,511,1130
COCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,6,2,51,46,57,48,105
COCHABAMBA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,1298,1257,3272,2844,4570,4101,8671
COIPASA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,2,1,4,5,6,6,12
COLCAPIRHUA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,56,76,308,293,364,369,733
"COLCHA ""K""",control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,6,2,133,67,139,69,208
COLLANA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,12,8,5,12,17,20,37
COLOMI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,14,20,177,163,191,183,374
COLPA BELGICA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,4,7,0,0,4,7,11
COLQUECHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,25,17,155,110,180,127,307
COLQUENCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,5,0,74,59,79,59,138
COLQUIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,19,19,122,108,141,127,268
COMANCHE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,0,3,20,17,20,20,40
COMARAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,20,23,133,87,153,110,263
COMBAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,5,4,2,7,7,11,18
CONCEPCION,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,15,14,157,125,172,139,311
COPACABANA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,4,9,52,50,56,59,115
CORIPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,10,5,181,131,191,136,327
CORO CORO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,5,8,42,31,47,39,86
COROICO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,10,5,115,84,125,89,214
CORQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,0,3,35,28,35,31,66
COTAGAITA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,32,33,83,81,115,114,229
COTOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,77,68,477,396,554,464,1018
CRUZ DE MACHACAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,0,0,1,0,1,0,1
CUATRO CAÑADAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,18,29,151,153,169,182,351
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,3,2,12,9,15,11,26
CUEVO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,3,4,20,28,23,32,55
CULPINA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,12,5,105,87,117,92,209
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,0,1,38,30,38,31,69
CURVA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,0,0,11,11,11,11,22
DESAGUADERO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,10,3,35,35,45,38,83
EL ALTO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,908,907,6672,4859,7580,5766,13346
EL CHORO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,3,3,16,19,19,22,41
EL PUENTE(STC),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,9,4,101,83,110,87,197
EL PUENTE(TJA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,17,14,70,65,87,79,166
EL TORNO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,69,68,428,436,497,504,1001
EL VILLAR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,4,3,25,24,29,27,56
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,13,25,158,156,171,181,352
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,36,53,424,404,460,457,917
ESCARA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,0,1,1,1,1,2,3
ESCOMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,3,6,23,15,26,21,47
ESMERALDA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,0,1,3,1,3,2,5
EUCALIPTUS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,1,1,52,25,53,26,79
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,0,0,6,8,6,8,14
EXALTACION,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,4,4,3,3,7,7,14
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,19,20,112,85,131,105,236
FILADELFIA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,4,4,45,32,49,36,85
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,35,21,92,73,127,94,221
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,13,10,45,42,58,52,110
GUANAY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,18,15,136,144,154,159,313
GUAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,2,1,14,7,16,8,24
GUAYARAMERIN,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,78,62,458,423,536,485,1021
GUTIERREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,35,28,135,128,170,156,326
HUACARETA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,4,2,39,35,43,37,80
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,3,3,22,23,25,26,51
HUACHACALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,2,1,21,21,23,22,45
HUANUNI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,31,18,198,202,229,220,449
HUARACAJE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,0,4,25,35,25,39,64
HUARINA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,2,3,34,25,36,28,64
HUATAJATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,3,2,19,16,22,18,40
HUAYLLAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,0,2,17,23,17,25,42
HUMANATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,1,2,19,17,20,19,39
ICHOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,8,2,17,15,25,17,42
ICLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,5,3,26,25,31,28,59
INCAHUASI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,3,9,45,49,48,58,106
INGAVI (HUMAITA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,3,3,6,4,9,7,16
INQUISIVI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,6,6,60,38,66,44,110
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,18,14,131,104,149,118,267
IXIAMAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,8,7,68,67,76,74,150
JESUS DE MACHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,11,1,86,68,97,69,166
LA ASUNTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,128,116,309,275,437,391,828
LA GUARDIA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,32,42,676,646,708,688,1396
LA PAZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,1594,1755,3889,3660,5483,5415,10898
LAGUNILLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,12,4,37,25,49,29,78
LAJA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,6,14,125,92,131,106,237
LAS CARRERAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,1,2,18,23,19,25,44
LICOMA PAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,0,0,20,14,20,14,34
LLALLAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,27,18,257,260,284,278,562
LLICA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,5,2,19,19,24,21,45
LORETO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,8,9,3,11,11,20,31
LURIBAY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,7,12,27,44,34,56,90
MACHACAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,3,1,16,28,19,29,48
MACHARETI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,2,4,48,48,50,52,102
MAGDALENA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,20,8,57,87,77,95,172
MAIRANA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,14,13,82,96,96,109,205
MALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,0,0,4,3,4,3,7
MAPIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,15,12,137,112,152,124,276
MECAPACA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,36,36,33,23,69,59,128
MINEROS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,7,6,22,19,29,25,54
MIZQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,29,37,240,186,269,223,492
MOCOMOCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,5,9,79,41,84,50,134
MOJINETE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,0,0,4,4,4,4,8
MOJOCOYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,1,4,38,39,39,43,82
MONTEAGUDO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,9,18,207,180,216,198,414
MONTERO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,223,222,750,787,973,1009,1982
MORO MORO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,0,1,14,16,14,17,31
MOROCHATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,4,2,44,38,48,40,88
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,0,0,18,12,18,12,30
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,0,0,5,3,5,3,8
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,2,1,27,12,29,13,42
OCURI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,12,7,50,38,62,45,107
OKINAWA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,11,9,109,78,120,87,207
OMEREQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,3,1,58,51,61,52,113
ORURO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,996,1076,1995,2195,2991,3271,6262
PADCAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,17,8,147,116,164,124,288
PADILLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,12,8,57,39,69,47,116
PAILON,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,45,42,128,127,173,169,342
PALCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,26,20,108,97,134,117,251
PALOS BLANCOS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,57,45,229,201,286,246,532
PAMPA AULLAGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,2,3,20,26,22,29,51
PAMPA GRANDE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,9,5,64,61,73,66,139
PAPEL PAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,3,3,30,22,33,25,58
PASORAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,0,1,23,7,23,8,31
PATACAMAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,17,11,141,132,158,143,301
PAZÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,3,0,56,54,59,54,113
PELECHUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,6,7,35,42,41,49,90
POCOATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,6,5,52,61,58,66,124
POCONA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,12,15,94,60,106,75,181
POJO (CBBA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,16,15,100,72,116,87,203
POOPO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,2,1,36,31,38,32,70
PORCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,13,11,117,66,130,77,207
POROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,8,7,64,54,72,61,133
PORONGO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,8,10,40,37,48,47,95
PORTACHUELO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,139,149,195,224,334,373,707
PORVENIR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,5,4,44,47,49,51,100
POSTRER VALLE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,1,3,6,4,7,7,14
POTOSI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,384,387,1371,1264,1755,1651,3406
PRESTO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,4,3,42,32,46,35,81
PUCARA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,0,2,7,10,7,12,19
PUCARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,16,7,177,165,193,172,365
PUERTO ACOSTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,8,3,28,25,36,28,64
PUERTO CARABUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,5,9,61,29,66,38,104
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,7,2,106,76,113,78,191
PUERTO PEREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,3,1,26,15,29,16,45
PUERTO QUIJARRO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,6,16,157,102,163,118,281
PUERTO RICO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,5,8,57,65,62,73,135
PUERTO SILES,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,8,2,5,2,13,4,17
