,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
ARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,5,9,5,9,14
ARBIETO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,6,4,36,46,42,50,92
ARQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,2,22,14,23,16,39
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,0,7,2,8,2,10
ATOCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,1,14,19,14,20,34
AUCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,1,5,7,6,8,14
AYATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,2,8,8,9,10,19
AYO AYO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,1,8,17,8,18,26
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,4,7,35,40,39,47,86
AZURDUY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,5,3,34,22,39,25,64
BATALLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,4,7,31,28,35,35,70
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,9,2,9,2,11
BELEN DE URMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,0,7,3,8,3,11
BELLA FLOR,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,2,1,2,4,4,5,9
BERMEJO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,1,1,0,1,1,2
BETANZOS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,9,13,67,66,76,79,155
BOLIVAR,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,5,7,21,22,26,29,55
BOLPEBRA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,4,1,4,1,5
BUENA VISTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,3,1,3,1,4
CABEZAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,1,1,1,1,2,3
CAIROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,5,3,14,12,19,15,34
"CAIZA ""D""",control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,13,12,13,12,25
CAJUATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,7,6,7,6,13
CALACOTO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,1,13,20,14,21,35
CALAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,3,7,31,22,34,29,63
CAMARGO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,5,31,26,32,31,63
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,1,7,8,7,9,16
CAMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,1,38,25,39,26,65
CAPINOTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,2,10,16,11,18,29
CAQUIAVIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,7,2,12,5,19,7,26
CARACOLLO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,1,13,9,13,10,23
CARANAVI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,4,0,9,11,13,11,24
CARAPARI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,3,2,10,13,13,15,28
CARIPUYO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,5,2,31,22,36,24,60
CATACORA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,0,6,1,7,1,8
CHALLAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,8,5,66,50,74,55,129
CHAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,3,2,9,15,12,17,29
CHARAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,13,13,13,13,26
CHARAÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,6,4,6,4,10
CHAYANTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,2,3,10,5,12,8,20
CHIMORE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,5,4,37,9,42,13,55
CHIPAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,2,0,0,0,2,2
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,5,7,5,7,12
CHUMA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,1,10,18,10,19,29
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,5,3,5,3,8
CKOCHAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,7,6,37,42,44,48,92
CLIZA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,6,4,1,0,7,4,11
COBIJA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,9,7,5,5,14,12,26
COCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,10,7,60,59,70,66,136
COCHABAMBA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,38,9,80,37,118,46,164
COLCAPIRHUA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,2,0,0,0,2,0,2
"COLCHA ""K""",control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,2,10,10,10,12,22
COLOMI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,21,17,21,17,38
COLQUECHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,14,22,108,77,122,99,221
COLQUENCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,4,0,0,1,4,5
COLQUIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,4,28,18,29,22,51
COMANCHE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,1,2,1,2,3
COMARAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,2,0,2,0,2
COMBAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,2,3,2,3,4,7
CONCEPCION,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,6,4,28,26,34,30,64
COPACABANA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,2,3,13,15,15,18,33
CORO CORO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,3,1,11,9,14,10,24
COROICO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,4,1,4,1,5
CORQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,4,1,15,19,19,20,39
COTAGAITA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,6,6,16,20,22,26,48
CUATRO CAÑADAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,3,6,13,7,16,23
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,1,1,1,1,2,3
CUEVO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,1,13,4,13,5,18
CULPINA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,5,3,30,31,35,34,69
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,1,0,1,0,2,2
CURVA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,1,8,9,9,10,19
DESAGUADERO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,1,2,1,2,3
EL ALTO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,124,83,1000,828,1124,911,2035
EL CHORO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,4,2,22,19,26,21,47
EL PUENTE(STC),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,8,3,8,3,11
EL PUENTE(TJA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,2,0,13,9,15,9,24
EL TORNO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,0,2,0,2,2
EL VILLAR,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,1,6,4,6,5,11
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,4,26,20,27,24,51
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,2,5,10,12,12,17,29
ESCOMA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,4,9,3,10,7,17
EUCALIPTUS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,2,1,1,1,3,4
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,0,3,2,4,2,6
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,1,0,1,0,1
FILADELFIA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,1,7,7,7,8,15
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,0,1,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,9,3,11,11,20,14,34
GUANAY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,2,31,25,32,27,59
GUAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,1,13,16,14,17,31
GUAYARAMERIN,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,1,0,0,0,1,1
GUTIERREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,7,5,0,0,7,5,12
HUACARETA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,2,21,16,21,18,39
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,1,8,22,9,23,32
HUANUNI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,2,0,4,5,6,5,11
HUARINA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,2,3,6,4,8,12
HUAYLLAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,2,3,2,3,4,7
HUMANATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,2,2,6,12,8,14,22
ICHOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,3,13,10,14,13,27
ICLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,3,31,31,31,34,65
INCAHUASI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,4,3,27,30,31,33,64
INQUISIVI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,3,18,21,18,24,42
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,1,15,7,15,8,23
IXIAMAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,1,6,3,6,4,10
JESUS DE MACHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,0,0,0,1,0,1
LA ASUNTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,3,39,44,40,47,87
LA PAZ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,4,1,23,23,27,24,51
LAGUNILLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,5,3,22,21,27,24,51
LAJA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,2,4,16,17,18,21,39
LAS CARRERAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,2,4,7,5,9,14
LICOMA PAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,5,3,5,3,8
LLALLAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,31,34,63,57,94,91,185
LLICA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,0,3,5,4,5,9
LURIBAY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,0,8,13,9,13,22
MACHACAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,0,1,3,2,3,5
MACHARETI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,0,4,2,5,2,7
MAIRANA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,1,0,1,0,1
MALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,1,13,13,14,14,28
MAPIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,2,0,3,12,5,12,17
MECAPACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,5,5,12,6,17,11,28
MINEROS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,6,4,6,4,10
MIZQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,9,4,17,19,26,23,49
MOCOMOCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,9,5,21,24,30,29,59
MOJINETE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,0,1,8,2,8,10
MOJOCOYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,2,13,11,14,13,27
MONTEAGUDO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,0,17,12,18,12,30
MONTERO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,4,0,0,0,4,0,4
MORO MORO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,3,2,3,2,5
MOROCHATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,2,7,59,32,61,39,100
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,2,2,6,9,8,11,19
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,5,7,5,7,12
OCURI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,9,9,38,51,47,60,107
OKINAWA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,0,8,2,9,2,11
OMEREQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,1,11,6,11,7,18
ORURO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,2,3,2,3,5
PADCAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,0,2,10,3,10,13
PADILLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,1,14,12,15,13,28
PALCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,2,2,11,16,13,18,31
PALOS BLANCOS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,3,0,9,2,12,2,14
PAMPA AULLAGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,0,6,7,7,7,14
PAPEL PAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,3,18,10,19,13,32
PASORAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,1,6,4,6,5,11
PATACAMAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,1,1,2,2,3,5
PAZÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,0,9,10,10,10,20
PELECHUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,1,3,1,3,4
POCOATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,12,14,89,99,101,113,214
POCONA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,2,1,8,8,10,9,19
POJO (CBBA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,5,16,2,17,7,24
POOPO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,0,1,0,1,1
PORCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,4,9,7,9,11,20
POROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,4,5,33,43,37,48,85
PORONGO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,7,4,13,11,20,15,35
PORVENIR,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,0,0,1,1,1,2
POSTRER VALLE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,1,1,1,1,2
POTOSI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,19,20,50,40,69,60,129
PRESTO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,4,6,37,28,41,34,75
PUCARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,14,14,52,62,66,76,142
PUERTO ACOSTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,7,37,18,37,25,62
PUERTO CARABUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,8,6,27,32,35,38,73
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,1,7,4,7,5,12
PUERTO PEREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,3,28,16,29,19,48
PUERTO RICO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,0,0,0,1,0,1
PUERTO VILLARROEL,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,1,5,2,6,3,9
PUNA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,6,6,43,43,49,49,98
PUNATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,7,17,22,18,29,47
QUIABAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,0,1,0,1,1
QUILLACOLLO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,27,24,226,196,253,220,473
QUIME,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,2,2,5,3,7,10
RAVELO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,6,1,46,28,52,29,81
REYES,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,2,0,3,6,5,6,11
RIBERALTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,29,4,115,8,144,12,156
RURRENABAQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,0,0,2,1,2,3
SABAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,2,0,3,1,5,1,6
SACABA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,2,46,25,47,27,74
SACABAMBA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,2,3,3,3,5,6,11
SACACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,7,5,33,35,40,40,80
SAIPINA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,3,0,3,0,3
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,2,3,30,31,32,34,66
SAN AGUSTIN,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,1,0,0,0,1,1
SAN ANDRES DE MACHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,3,1,2,2,5,3,8
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,0,1,0,1,1
SAN ANTONIO DE LOMERIO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,1,34,21,34,22,56
SAN BENITO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,0,3,1,4,1,5
SAN BORJA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,8,5,2,3,10,8,18
SAN BUENA VENTURA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,1,0,1,0,1
SAN CARLOS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,3,38,42,39,45,84
SAN IGNACIO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,11,11,50,44,61,55,116
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,3,2,36,39,39,41,80
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,1,0,2,1,3,4
SAN JULIAN,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,4,2,21,16,25,18,43
SAN LORENZO(TJA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,26,19,26,19,45
