,group,variable,month,FALLECIDOS ANTES DE LAS 48 HRS. CANTIDAD,FALLECIDOS ANTES DE LAS 48 HRS. CANTIDAD,TOTALES,TOTALES,TOTALES
SAN IGNACIO,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,4,2,4,2,6
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,1,0,1,0,1
SAN LUCAS,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,0,1,0,1,1
SAN RAMON BENI,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,0,1,0,1,1
SANTA ANA,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,57,73,57,73,130
SANTA ROSA,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,1,0,1,0,1
SANTA ROSA DEL SARA,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,1,1,1,1,2
SORATA,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,1,0,1,0,1
SUCRE,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,24,13,24,13,37
TARIJA,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,26,11,26,11,37
TIQUIPAYA,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,0,0,0,0,0
TRINIDAD,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,11,7,11,7,18
TUPIZA,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,1,5,1,5,6
UYUNI,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,6,3,6,3,9
VALLEGRANDE,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,1,1,1,1,2
VILLA MONTES,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,2,0,2,0,2
VILLA TUNARI,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,0,1,0,1,1
VINTO,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,0,0,0,0,0
YACUIBA,internaciones,fallecidos antes de las 48 hrs.,2021-01-01,6,4,6,4,10
AIQUILE,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,0,0,0,0,0
APOLO,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,1,0,1,0,1
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,1,0,1,0,1
BAURES,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,2,0,2,0,2
BERMEJO,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,4,3,4,3,7
BOYUIBE,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,0,1,0,1,1
CAMARGO,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,1,0,1,0,1
CARANAVI,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,2,0,2,0,2
CARMEN RIVERO TORREZ,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,1,0,1,0,1
CHALLAPATA,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,2,0,2,0,2
COBIJA,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,12,3,12,3,15
COCHABAMBA,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,46,36,46,36,82
COROICO,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,24,19,24,19,43
GUANAY,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,1,0,1,0,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,1,3,1,3,4
LA GUARDIA,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,1,0,1,0,1
LA PAZ,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,39,24,39,24,63
LLALLAGUA,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,4,1,4,1,5
MAGDALENA,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,2,0,2,0,2
MIZQUE,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,0,0,0,0,0
MONTEAGUDO,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,1,2,1,2,3
MONTERO,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,3,1,3,1,4
ORURO,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,20,4,20,4,24
PORTACHUELO,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,1,2,1,2,3
POTOSI,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,18,10,18,10,28
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,1,0,1,0,1
PUNATA,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,0,1,0,1,1
QUILLACOLLO,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,1,1,1,1,2
REYES,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,1,1,1,1,2
RIBERALTA,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,2,1,2,1,3
SACABA,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,2,1,2,1,3
SAN BORJA,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,2,0,2,0,2
SAN BUENA VENTURA,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,1,1,1,1,2
SAN JOAQUIN,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,1,1,1,1,2
SAN PEDRO DE BUENA VISTA,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,1,0,1,0,1
SANTA ANA,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,42,31,42,31,73
SUCRE,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,27,20,27,20,47
TARIJA,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,20,10,20,10,30
TIQUIPAYA,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,0,0,0,0,0
TRINIDAD,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,11,7,11,7,18
TUPIZA,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,2,1,2,1,3
UYUNI,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,1,1,1,1,2
VALLEGRANDE,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,2,1,2,1,3
VILLA TUNARI,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,1,1,1,1,2
VILLAZON,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,4,1,4,1,5
VINTO,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,0,0,0,0,0
YACUIBA,internaciones,fallecidos antes de las 48 hrs.,2021-02-01,2,4,2,4,6
ACHACACHI,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,0,0,0,0,0
AIQUILE,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,0,0,0,0,0
APOLO,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,1,0,1,0,1
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,3,1,3,1,4
BERMEJO,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,4,2,4,2,6
CAMIRI,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,2,3,2,3,5
CARANAVI,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,2,0,2,0,2
CHALLAPATA,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,0,1,0,1,1
CHARAGUA,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,0,1,0,1,1
COBIJA,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,4,0,4,0,4
COCHABAMBA,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,43,29,43,29,72
COLCAPIRHUA,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,1,0,1,0,1
CULPINA,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,1,1,1,1,2
EL ALTO,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,23,11,23,11,34
EL PUENTE(STC),internaciones,fallecidos antes de las 48 hrs.,2021-03-01,1,0,1,0,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,6,6,6,6,12
HUANUNI,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,1,0,1,0,1
LA GUARDIA,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,1,1,1,1,2
LA PAZ,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,26,13,26,13,39
LLALLAGUA,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,2,0,2,0,2
MAPIRI,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,0,1,0,1,1
MIZQUE,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,0,0,0,0,0
MONTEAGUDO,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,2,1,2,1,3
MONTERO,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,7,4,7,4,11
ORURO,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,22,17,22,17,39
PADILLA,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,1,0,1,0,1
PALOS BLANCOS,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,1,0,1,0,1
PORTACHUELO,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,3,0,3,0,3
POTOSI,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,20,10,20,10,30
PUERTO GONZALO MORENO,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,1,0,1,0,1
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,1,1,1,1,2
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,0,2,0,2,2
PUNATA,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,1,1,1,1,2
QUILLACOLLO,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,2,2,2,2,4
RIBERALTA,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,4,7,4,7,11
ROBORE,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,1,0,1,0,1
RURRENABAQUE,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,1,2,1,2,3
SACABA,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,1,1,1,1,2
SAN BUENA VENTURA,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,0,3,0,3,3
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,4,1,4,1,5
SAN JOAQUIN,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,3,0,3,0,3
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,0,1,0,1,1
SAN PEDRO,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,48,41,48,41,89
SHINAOTA,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,0,1,0,1,1
SUCRE,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,18,16,18,16,34
TARIJA,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,16,9,16,9,25
TRINIDAD,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,9,1,9,1,10
TUPIZA,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,0,2,0,2,2
UYUNI,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,1,1,1,1,2
VALLEGRANDE,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,4,0,4,0,4
VIACHA,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,0,2,0,2,2
VILLA MONTES,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,2,0,2,0,2
VILLA TUNARI,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,1,1,1,1,2
VINTO,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,0,0,0,0,0
YACUIBA,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,7,4,7,4,11
YAPACANI,internaciones,fallecidos antes de las 48 hrs.,2021-03-01,1,1,1,1,2
ACHACACHI,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,0,0,0,0,0
AIQUILE,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,0,0,0,0,0
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,3,2,3,2,5
BERMEJO,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,1,2,1,2,3
BOYUIBE,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,0,1,0,1,1
CAMIRI,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,4,0,4,0,4
CARANAVI,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,1,0,1,0,1
CARMEN RIVERO TORREZ,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,0,1,0,1,1
CHIMORE,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,0,1,0,1,1
COBIJA,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,3,7,3,7,10
COCHABAMBA,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,59,40,59,40,99
COLCAPIRHUA,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,0,1,0,1,1
CORIPATA,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,1,0,1,0,1
CULPINA,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,24,25,24,25,49
EL TORNO,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,0,1,0,1,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,6,3,6,3,9
IXIAMAS,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,3,0,3,0,3
LA PAZ,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,15,44,15,44,59
LAGUNILLAS,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,4,12,4,12,16
MACHARETI,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,2,0,2,0,2
MAGDALENA,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,1,0,1,0,1
MAPIRI,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,1,0,1,0,1
MINEROS,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,0,1,0,1,1
MIZQUE,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,0,0,0,0,0
MONTERO,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,1,5,1,5,6
ORURO,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,20,12,20,12,32
PORTACHUELO,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,1,0,1,0,1
POTOSI,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,9,9,9,9,18
PUERTO GONZALO MORENO,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,1,0,1,0,1
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,3,2,3,2,5
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,1,0,1,0,1
PUNATA,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,0,1,0,1,1
QUILLACOLLO,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,2,4,2,4,6
REYES,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,0,2,0,2,2
RIBERALTA,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,9,7,9,7,16
SACABA,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,1,3,1,3,4
SAN BORJA,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,0,1,0,1,1
SAN JULIAN,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,56,98,56,98,154
SAN RAMON BENI,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,0,2,0,2,2
SANTA ANA,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,37,31,37,31,68
SANTA ROSA,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,1,0,1,0,1
SORATA,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,1,0,1,0,1
SUCRE,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,15,17,15,17,32
TARABUCO,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,1,0,1,0,1
TARIJA,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,17,10,17,10,27
TOMAVE,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,1,0,1,0,1
TRINIDAD,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,4,9,4,9,13
TUPIZA,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,1,3,1,3,4
VALLEGRANDE,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,1,2,1,2,3
VILLA MONTES,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,4,1,4,1,5
VILLA TUNARI,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,0,1,0,1,1
VILLAZON,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,1,1,1,1,2
VINTO,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,0,0,0,0,0
YACUIBA,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,7,3,7,3,10
YAPACANI,internaciones,fallecidos antes de las 48 hrs.,2021-04-01,1,1,1,1,2
ACHACACHI,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,1,0,1,0,1
AIQUILE,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,0,0,0,0,0
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,0,2,0,2,2
BERMEJO,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,1,5,1,5,6
CABEZAS,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,0,1,0,1,1
CAMARGO,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,1,1,1,1,2
CARANAVI,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,0,1,0,1,1
CARAPARI,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,0,0,0,0,0
CHALLAPATA,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,1,0,1,0,1
COBIJA,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,2,3,2,3,5
COCHABAMBA,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,91,69,91,69,160
COLCAPIRHUA,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,3,3,3,3,6
CULPINA,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,1,1,1,1,2
EL ALTO,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,90,102,90,102,192
EL PUENTE(TJA),internaciones,fallecidos antes de las 48 hrs.,2021-05-01,0,1,0,1,1
EL TORNO,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,1,1,1,1,2
GUAYARAMERIN,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,3,3,3,3,6
GUTIERREZ,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,0,1,0,1,1
HUARACAJE,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),internaciones,fallecidos antes de las 48 hrs.,2021-05-01,1,1,1,1,2
IXIAMAS,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,1,0,1,0,1
LA PAZ,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,23,43,23,43,66
LLALLAGUA,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,1,1,1,1,2
MACHARETI,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,0,1,0,1,1
MAGDALENA,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,2,0,2,0,2
MIZQUE,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,0,0,0,0,0
MOCOMOCO,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,0,1,0,1,1
MONTEAGUDO,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,1,0,1,0,1
MONTERO,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,5,5,5,5,10
OKINAWA,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,1,0,1,0,1
ORURO,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,36,28,36,28,64
PALOS BLANCOS,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,1,0,1,0,1
PORTACHUELO,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,1,1,1,1,2
POTOSI,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,19,20,19,20,39
PRESTO,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,1,0,1,0,1
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,2,1,2,1,3
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,3,2,3,2,5
PUNATA,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,4,0,4,0,4
QUILLACOLLO,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,10,4,10,4,14
REYES,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,1,0,1,0,1
RIBERALTA,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,4,3,4,3,7
ROBORE,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,1,1,1,1,2
RURRENABAQUE,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,2,1,2,1,3
SACABA,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,3,1,3,1,4
SAN IGNACIO,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,0,4,0,4,4
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,3,0,3,0,3
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,2,0,2,0,2
SAN RAMON SCZ,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,1,1,1,1,2
SANTA ANA,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,64,66,64,66,130
SUCRE,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,22,29,22,29,51
TARIJA,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,16,24,16,24,40
TIQUIPAYA,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,0,0,0,0,0
TRINIDAD,internaciones,fallecidos antes de las 48 hrs.,2021-05-01,8,8,8,8,16
