,group,variable,month,CONTRAREFERIDOS CANTIDAD,CONTRAREFERIDOS CANTIDAD,TOTALES,TOTALES,TOTALES
AIQUILE,internaciones,contrareferidos,2021-02-01,3,10,3,10,13
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2021-02-01,1,11,1,11,12
BERMEJO,internaciones,contrareferidos,2021-02-01,34,66,34,66,100
BUENA VISTA,internaciones,contrareferidos,2021-02-01,11,4,11,4,15
CAMARGO,internaciones,contrareferidos,2021-02-01,6,7,6,7,13
CAMIRI,internaciones,contrareferidos,2021-02-01,0,28,0,28,28
CAPINOTA,internaciones,contrareferidos,2021-02-01,2,6,2,6,8
CARANAVI,internaciones,contrareferidos,2021-02-01,5,42,5,42,47
CHULUMANI (V. DE LA LIBERTAD),internaciones,contrareferidos,2021-02-01,4,4,4,4,8
CLIZA,internaciones,contrareferidos,2021-02-01,0,7,0,7,7
COBIJA,internaciones,contrareferidos,2021-02-01,56,80,56,80,136
COCHABAMBA,internaciones,contrareferidos,2021-02-01,112,562,112,562,674
COLCAPIRHUA,internaciones,contrareferidos,2021-02-01,0,2,0,2,2
COROICO,internaciones,contrareferidos,2021-02-01,8,23,8,23,31
COTOCA,internaciones,contrareferidos,2021-02-01,0,2,0,2,2
EL ALTO,internaciones,contrareferidos,2021-02-01,58,106,58,106,164
EL TORNO,internaciones,contrareferidos,2021-02-01,2,1,2,1,3
ESCOMA,internaciones,contrareferidos,2021-02-01,0,2,0,2,2
GUAYARAMERIN,internaciones,contrareferidos,2021-02-01,84,10,84,10,94
LA PAZ,internaciones,contrareferidos,2021-02-01,74,416,74,416,490
MAIRANA,internaciones,contrareferidos,2021-02-01,0,1,0,1,1
MIZQUE,internaciones,contrareferidos,2021-02-01,0,0,0,0,0
MONTEAGUDO,internaciones,contrareferidos,2021-02-01,9,21,9,21,30
MONTERO,internaciones,contrareferidos,2021-02-01,94,271,94,271,365
ORURO,internaciones,contrareferidos,2021-02-01,8,200,8,200,208
PADILLA,internaciones,contrareferidos,2021-02-01,2,15,2,15,17
POTOSI,internaciones,contrareferidos,2021-02-01,58,283,58,283,341
PUERTO SUAREZ,internaciones,contrareferidos,2021-02-01,2,18,2,18,20
PUERTO VILLARROEL,internaciones,contrareferidos,2021-02-01,24,117,24,117,141
PUNATA,internaciones,contrareferidos,2021-02-01,78,169,78,169,247
QUILLACOLLO,internaciones,contrareferidos,2021-02-01,0,1,0,1,1
RIBERALTA,internaciones,contrareferidos,2021-02-01,92,337,92,337,429
RURRENABAQUE,internaciones,contrareferidos,2021-02-01,0,4,0,4,4
SACABA,internaciones,contrareferidos,2021-02-01,26,127,26,127,153
SAN IGNACIO,internaciones,contrareferidos,2021-02-01,4,2,4,2,6
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2021-02-01,7,9,7,9,16
SAN LUCAS,internaciones,contrareferidos,2021-02-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2021-02-01,117,1287,117,1287,1404
SANTA ROSA,internaciones,contrareferidos,2021-02-01,3,1,3,1,4
SUCRE,internaciones,contrareferidos,2021-02-01,183,539,183,539,722
TARABUCO,internaciones,contrareferidos,2021-02-01,12,11,12,11,23
TARIJA,internaciones,contrareferidos,2021-02-01,15,25,15,25,40
TARVITA,internaciones,contrareferidos,2021-02-01,0,1,0,1,1
TIQUIPAYA,internaciones,contrareferidos,2021-02-01,0,0,0,0,0
TRINIDAD,internaciones,contrareferidos,2021-02-01,5,7,5,7,12
TUPIZA,internaciones,contrareferidos,2021-02-01,14,57,14,57,71
VALLEGRANDE,internaciones,contrareferidos,2021-02-01,4,2,4,2,6
VILLA MONTES,internaciones,contrareferidos,2021-02-01,9,19,9,19,28
VILLA TUNARI,internaciones,contrareferidos,2021-02-01,29,97,29,97,126
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,contrareferidos,2021-02-01,1,0,1,0,1
VILLAZON,internaciones,contrareferidos,2021-02-01,3,5,3,5,8
VINTO,internaciones,contrareferidos,2021-02-01,0,0,0,0,0
WARNES,internaciones,contrareferidos,2021-02-01,2,81,2,81,83
YACUIBA,internaciones,contrareferidos,2021-02-01,70,168,70,168,238
ACHACACHI,internaciones,contrareferidos,2021-03-01,2,4,2,4,6
AIQUILE,internaciones,contrareferidos,2021-03-01,5,8,5,8,13
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2021-03-01,3,12,3,12,15
ATOCHA,internaciones,contrareferidos,2021-03-01,1,1,1,1,2
BERMEJO,internaciones,contrareferidos,2021-03-01,30,72,30,72,102
CAMARGO,internaciones,contrareferidos,2021-03-01,9,16,9,16,25
CAMIRI,internaciones,contrareferidos,2021-03-01,0,30,0,30,30
CAPINOTA,internaciones,contrareferidos,2021-03-01,0,2,0,2,2
CARANAVI,internaciones,contrareferidos,2021-03-01,9,54,9,54,63
CHULUMANI (V. DE LA LIBERTAD),internaciones,contrareferidos,2021-03-01,4,8,4,8,12
CLIZA,internaciones,contrareferidos,2021-03-01,0,4,0,4,4
COBIJA,internaciones,contrareferidos,2021-03-01,61,55,61,55,116
COCHABAMBA,internaciones,contrareferidos,2021-03-01,153,727,153,727,880
COLCAPIRHUA,internaciones,contrareferidos,2021-03-01,3,1,3,1,4
COROICO,internaciones,contrareferidos,2021-03-01,20,28,20,28,48
EL ALTO,internaciones,contrareferidos,2021-03-01,61,103,61,103,164
EL TORNO,internaciones,contrareferidos,2021-03-01,3,5,3,5,8
GUAYARAMERIN,internaciones,contrareferidos,2021-03-01,104,7,104,7,111
HUANUNI,internaciones,contrareferidos,2021-03-01,0,1,0,1,1
LA PAZ,internaciones,contrareferidos,2021-03-01,95,643,95,643,738
MIZQUE,internaciones,contrareferidos,2021-03-01,0,2,0,2,2
MONTEAGUDO,internaciones,contrareferidos,2021-03-01,12,25,12,25,37
MONTERO,internaciones,contrareferidos,2021-03-01,105,311,105,311,416
ORURO,internaciones,contrareferidos,2021-03-01,9,249,9,249,258
PADILLA,internaciones,contrareferidos,2021-03-01,8,15,8,15,23
POTOSI,internaciones,contrareferidos,2021-03-01,66,345,66,345,411
PUERTO SUAREZ,internaciones,contrareferidos,2021-03-01,0,5,0,5,5
PUERTO VILLARROEL,internaciones,contrareferidos,2021-03-01,38,148,38,148,186
PUNATA,internaciones,contrareferidos,2021-03-01,94,218,94,218,312
QUILLACOLLO,internaciones,contrareferidos,2021-03-01,0,1,0,1,1
RIBERALTA,internaciones,contrareferidos,2021-03-01,82,366,82,366,448
RURRENABAQUE,internaciones,contrareferidos,2021-03-01,1,7,1,7,8
SACABA,internaciones,contrareferidos,2021-03-01,34,172,34,172,206
SAN IGNACIO,internaciones,contrareferidos,2021-03-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2021-03-01,11,16,11,16,27
SAN JOSE DE CHIQUITOS,internaciones,contrareferidos,2021-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2021-03-01,186,1590,186,1590,1776
SANTA ROSA,internaciones,contrareferidos,2021-03-01,0,2,0,2,2
SUCRE,internaciones,contrareferidos,2021-03-01,270,747,270,747,1017
TARABUCO,internaciones,contrareferidos,2021-03-01,13,18,13,18,31
TARIJA,internaciones,contrareferidos,2021-03-01,8,17,8,17,25
TARVITA,internaciones,contrareferidos,2021-03-01,0,1,0,1,1
TRINIDAD,internaciones,contrareferidos,2021-03-01,3,3,3,3,6
TUPIZA,internaciones,contrareferidos,2021-03-01,10,47,10,47,57
VALLEGRANDE,internaciones,contrareferidos,2021-03-01,2,6,2,6,8
VILLA MONTES,internaciones,contrareferidos,2021-03-01,15,24,15,24,39
VILLA TUNARI,internaciones,contrareferidos,2021-03-01,28,103,28,103,131
VILLAZON,internaciones,contrareferidos,2021-03-01,5,6,5,6,11
VINTO,internaciones,contrareferidos,2021-03-01,0,0,0,0,0
WARNES,internaciones,contrareferidos,2021-03-01,5,91,5,91,96
YACUIBA,internaciones,contrareferidos,2021-03-01,82,172,82,172,254
ACHACACHI,internaciones,contrareferidos,2021-04-01,0,2,0,2,2
AIQUILE,internaciones,contrareferidos,2021-04-01,0,9,0,9,9
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2021-04-01,1,8,1,8,9
BERMEJO,internaciones,contrareferidos,2021-04-01,38,85,38,85,123
BOYUIBE,internaciones,contrareferidos,2021-04-01,0,1,0,1,1
BUENA VISTA,internaciones,contrareferidos,2021-04-01,5,2,5,2,7
CAMARGO,internaciones,contrareferidos,2021-04-01,13,19,13,19,32
CAMIRI,internaciones,contrareferidos,2021-04-01,0,35,0,35,35
CAPINOTA,internaciones,contrareferidos,2021-04-01,0,1,0,1,1
CARANAVI,internaciones,contrareferidos,2021-04-01,8,55,8,55,63
CARIPUYO,internaciones,contrareferidos,2021-04-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,contrareferidos,2021-04-01,4,5,4,5,9
COBIJA,internaciones,contrareferidos,2021-04-01,98,132,98,132,230
COCHABAMBA,internaciones,contrareferidos,2021-04-01,262,860,262,860,1122
COLCAPIRHUA,internaciones,contrareferidos,2021-04-01,3,1,3,1,4
COROICO,internaciones,contrareferidos,2021-04-01,11,44,11,44,55
EL ALTO,internaciones,contrareferidos,2021-04-01,40,86,40,86,126
EL TORNO,internaciones,contrareferidos,2021-04-01,4,6,4,6,10
ENTRE RIOS CBBA,internaciones,contrareferidos,2021-04-01,0,1,0,1,1
ESCOMA,internaciones,contrareferidos,2021-04-01,0,6,0,6,6
GUAYARAMERIN,internaciones,contrareferidos,2021-04-01,11,91,11,91,102
LA PAZ,internaciones,contrareferidos,2021-04-01,94,707,94,707,801
MAIRANA,internaciones,contrareferidos,2021-04-01,0,1,0,1,1
MIZQUE,internaciones,contrareferidos,2021-04-01,0,1,0,1,1
MONTEAGUDO,internaciones,contrareferidos,2021-04-01,13,27,13,27,40
MONTERO,internaciones,contrareferidos,2021-04-01,255,875,255,875,1130
ORURO,internaciones,contrareferidos,2021-04-01,31,289,31,289,320
PADILLA,internaciones,contrareferidos,2021-04-01,7,21,7,21,28
POTOSI,internaciones,contrareferidos,2021-04-01,80,350,80,350,430
PUERTO SUAREZ,internaciones,contrareferidos,2021-04-01,2,1,2,1,3
PUERTO VILLARROEL,internaciones,contrareferidos,2021-04-01,41,140,41,140,181
PUNATA,internaciones,contrareferidos,2021-04-01,87,185,87,185,272
QUILLACOLLO,internaciones,contrareferidos,2021-04-01,1,1,1,1,2
RIBERALTA,internaciones,contrareferidos,2021-04-01,75,311,75,311,386
RURRENABAQUE,internaciones,contrareferidos,2021-04-01,0,2,0,2,2
SACABA,internaciones,contrareferidos,2021-04-01,27,105,27,105,132
SAN BUENA VENTURA,internaciones,contrareferidos,2021-04-01,1,2,1,2,3
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2021-04-01,5,19,5,19,24
SAN JOAQUIN,internaciones,contrareferidos,2021-04-01,1,1,1,1,2
SAN JOSE DE CHIQUITOS,internaciones,contrareferidos,2021-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2021-04-01,159,1568,159,1568,1727
SUCRE,internaciones,contrareferidos,2021-04-01,281,799,281,799,1080
TARABUCO,internaciones,contrareferidos,2021-04-01,16,19,16,19,35
TARIJA,internaciones,contrareferidos,2021-04-01,27,82,27,82,109
TRINIDAD,internaciones,contrareferidos,2021-04-01,0,1,0,1,1
TUPIZA,internaciones,contrareferidos,2021-04-01,15,45,15,45,60
VALLEGRANDE,internaciones,contrareferidos,2021-04-01,3,2,3,2,5
VIACHA,internaciones,contrareferidos,2021-04-01,1,0,1,0,1
VILLA MONTES,internaciones,contrareferidos,2021-04-01,7,23,7,23,30
VILLA TUNARI,internaciones,contrareferidos,2021-04-01,28,102,28,102,130
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,contrareferidos,2021-04-01,0,1,0,1,1
VILLAZON,internaciones,contrareferidos,2021-04-01,6,1,6,1,7
VINTO,internaciones,contrareferidos,2021-04-01,0,0,0,0,0
WARNES,internaciones,contrareferidos,2021-04-01,114,173,114,173,287
YACUIBA,internaciones,contrareferidos,2021-04-01,78,179,78,179,257
ACHACACHI,internaciones,contrareferidos,2021-05-01,2,2,2,2,4
AIQUILE,internaciones,contrareferidos,2021-05-01,2,7,2,7,9
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2021-05-01,3,13,3,13,16
BERMEJO,internaciones,contrareferidos,2021-05-01,36,66,36,66,102
CAMARGO,internaciones,contrareferidos,2021-05-01,7,24,7,24,31
CAMIRI,internaciones,contrareferidos,2021-05-01,0,35,0,35,35
CARANAVI,internaciones,contrareferidos,2021-05-01,14,81,14,81,95
CARAPARI,internaciones,contrareferidos,2021-05-01,0,0,0,0,0
CHULUMANI (V. DE LA LIBERTAD),internaciones,contrareferidos,2021-05-01,3,4,3,4,7
COBIJA,internaciones,contrareferidos,2021-05-01,109,151,109,151,260
COCHABAMBA,internaciones,contrareferidos,2021-05-01,201,776,201,776,977
COLCAPIRHUA,internaciones,contrareferidos,2021-05-01,0,3,0,3,3
COROICO,internaciones,contrareferidos,2021-05-01,14,28,14,28,42
EL ALTO,internaciones,contrareferidos,2021-05-01,58,181,58,181,239
EL TORNO,internaciones,contrareferidos,2021-05-01,1,1,1,1,2
ENTRE RIOS CBBA,internaciones,contrareferidos,2021-05-01,1,1,1,1,2
ESCOMA,internaciones,contrareferidos,2021-05-01,4,9,4,9,13
GUAYARAMERIN,internaciones,contrareferidos,2021-05-01,23,117,23,117,140
LA PAZ,internaciones,contrareferidos,2021-05-01,73,691,73,691,764
MIZQUE,internaciones,contrareferidos,2021-05-01,0,0,0,0,0
MONTEAGUDO,internaciones,contrareferidos,2021-05-01,15,20,15,20,35
MONTERO,internaciones,contrareferidos,2021-05-01,109,351,109,351,460
ORURO,internaciones,contrareferidos,2021-05-01,37,313,37,313,350
PADILLA,internaciones,contrareferidos,2021-05-01,11,32,11,32,43
POTOSI,internaciones,contrareferidos,2021-05-01,79,356,79,356,435
PUERTO SUAREZ,internaciones,contrareferidos,2021-05-01,2,11,2,11,13
PUERTO VILLARROEL,internaciones,contrareferidos,2021-05-01,52,133,52,133,185
PUNATA,internaciones,contrareferidos,2021-05-01,89,213,89,213,302
RIBERALTA,internaciones,contrareferidos,2021-05-01,110,410,110,410,520
SACABA,internaciones,contrareferidos,2021-05-01,39,127,39,127,166
SAN BUENA VENTURA,internaciones,contrareferidos,2021-05-01,0,1,0,1,1
SAN IGNACIO,internaciones,contrareferidos,2021-05-01,0,2,0,2,2
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2021-05-01,13,9,13,9,22
SAN JULIAN,internaciones,contrareferidos,2021-05-01,0,2,0,2,2
SAN RAFAEL,internaciones,contrareferidos,2021-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2021-05-01,152,1526,152,1526,1678
SUCRE,internaciones,contrareferidos,2021-05-01,319,788,319,788,1107
TARABUCO,internaciones,contrareferidos,2021-05-01,14,20,14,20,34
TARIJA,internaciones,contrareferidos,2021-05-01,48,145,48,145,193
TIQUIPAYA,internaciones,contrareferidos,2021-05-01,0,0,0,0,0
TRINIDAD,internaciones,contrareferidos,2021-05-01,4,11,4,11,15
TUPIZA,internaciones,contrareferidos,2021-05-01,8,47,8,47,55
URIONDO (A. CONCEPCION),internaciones,contrareferidos,2021-05-01,26,31,26,31,57
VALLEGRANDE,internaciones,contrareferidos,2021-05-01,0,2,0,2,2
VILLA MONTES,internaciones,contrareferidos,2021-05-01,10,22,10,22,32
VILLA NUEVA (LOMA ALTA),internaciones,contrareferidos,2021-05-01,0,1,0,1,1
VILLA TUNARI,internaciones,contrareferidos,2021-05-01,25,118,25,118,143
VILLAZON,internaciones,contrareferidos,2021-05-01,5,5,5,5,10
WARNES,internaciones,contrareferidos,2021-05-01,13,88,13,88,101
YACUIBA,internaciones,contrareferidos,2021-05-01,107,253,107,253,360
ACHACACHI,internaciones,contrareferidos,2021-06-01,2,5,2,5,7
AIQUILE,internaciones,contrareferidos,2021-06-01,3,7,3,7,10
ANZALDO,internaciones,contrareferidos,2021-06-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2021-06-01,4,5,4,5,9
BERMEJO,internaciones,contrareferidos,2021-06-01,39,74,39,74,113
BUENA VISTA,internaciones,contrareferidos,2021-06-01,0,1,0,1,1
CAMARGO,internaciones,contrareferidos,2021-06-01,21,17,21,17,38
CAMIRI,internaciones,contrareferidos,2021-06-01,0,23,0,23,23
CAPINOTA,internaciones,contrareferidos,2021-06-01,1,1,1,1,2
CARANAVI,internaciones,contrareferidos,2021-06-01,12,68,12,68,80
CHULUMANI (V. DE LA LIBERTAD),internaciones,contrareferidos,2021-06-01,4,11,4,11,15
CLIZA,internaciones,contrareferidos,2021-06-01,0,1,0,1,1
COBIJA,internaciones,contrareferidos,2021-06-01,84,118,84,118,202
COCHABAMBA,internaciones,contrareferidos,2021-06-01,200,729,200,729,929
COROICO,internaciones,contrareferidos,2021-06-01,11,31,11,31,42
EL ALTO,internaciones,contrareferidos,2021-06-01,47,203,47,203,250
EL PUENTE(STC),internaciones,contrareferidos,2021-06-01,0,1,0,1,1
EL TORNO,internaciones,contrareferidos,2021-06-01,3,3,3,3,6
ENTRE RIOS CBBA,internaciones,contrareferidos,2021-06-01,1,0,1,0,1
ESCOMA,internaciones,contrareferidos,2021-06-01,2,1,2,1,3
LA PAZ,internaciones,contrareferidos,2021-06-01,112,685,112,685,797
LORETO,internaciones,contrareferidos,2021-06-01,1,0,1,0,1
MIZQUE,internaciones,contrareferidos,2021-06-01,0,0,0,0,0
MONTEAGUDO,internaciones,contrareferidos,2021-06-01,11,21,11,21,32
MONTERO,internaciones,contrareferidos,2021-06-01,74,255,74,255,329
ORURO,internaciones,contrareferidos,2021-06-01,22,290,22,290,312
PADILLA,internaciones,contrareferidos,2021-06-01,8,19,8,19,27
POTOSI,internaciones,contrareferidos,2021-06-01,106,402,106,402,508
PUERTO VILLARROEL,internaciones,contrareferidos,2021-06-01,37,107,37,107,144
PUNATA,internaciones,contrareferidos,2021-06-01,72,166,72,166,238
RIBERALTA,internaciones,contrareferidos,2021-06-01,81,338,81,338,419
RURRENABAQUE,internaciones,contrareferidos,2021-06-01,1,1,1,1,2
SACABA,internaciones,contrareferidos,2021-06-01,23,54,23,54,77
SAN BUENA VENTURA,internaciones,contrareferidos,2021-06-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2021-06-01,1,14,1,14,15
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2021-06-01,140,1391,140,1391,1531
SANTA ROSA DEL SARA,internaciones,contrareferidos,2021-06-01,0,2,0,2,2
SUCRE,internaciones,contrareferidos,2021-06-01,273,677,273,677,950
TARABUCO,internaciones,contrareferidos,2021-06-01,5,18,5,18,23
TARIJA,internaciones,contrareferidos,2021-06-01,18,16,18,16,34
TIQUIPAYA,internaciones,contrareferidos,2021-06-01,0,0,0,0,0
TRINIDAD,internaciones,contrareferidos,2021-06-01,4,0,4,0,4
TUPIZA,internaciones,contrareferidos,2021-06-01,12,64,12,64,76
URUBICHA,internaciones,contrareferidos,2021-06-01,0,2,0,2,2
VALLEGRANDE,internaciones,contrareferidos,2021-06-01,3,4,3,4,7
VILLA MONTES,internaciones,contrareferidos,2021-06-01,10,23,10,23,33
VILLA SERRANO,internaciones,contrareferidos,2021-06-01,0,1,0,1,1
VILLA TUNARI,internaciones,contrareferidos,2021-06-01,22,83,22,83,105
VILLAZON,internaciones,contrareferidos,2021-06-01,4,3,4,3,7
VINTO,internaciones,contrareferidos,2021-06-01,0,0,0,0,0
YACUIBA,internaciones,contrareferidos,2021-06-01,90,188,90,188,278
ACHACACHI,internaciones,contrareferidos,2021-07-01,1,7,1,7,8
AIQUILE,internaciones,contrareferidos,2021-07-01,1,6,1,6,7
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2021-07-01,3,7,3,7,10
BERMEJO,internaciones,contrareferidos,2021-07-01,51,102,51,102,153
BOYUIBE,internaciones,contrareferidos,2021-07-01,0,1,0,1,1
CAMARGO,internaciones,contrareferidos,2021-07-01,15,13,15,13,28
CAMIRI,internaciones,contrareferidos,2021-07-01,2,25,2,25,27
CAPINOTA,internaciones,contrareferidos,2021-07-01,2,2,2,2,4
CARANAVI,internaciones,contrareferidos,2021-07-01,15,77,15,77,92
CARAPARI,internaciones,contrareferidos,2021-07-01,0,0,0,0,0
CARIPUYO,internaciones,contrareferidos,2021-07-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,contrareferidos,2021-07-01,2,6,2,6,8
CLIZA,internaciones,contrareferidos,2021-07-01,0,2,0,2,2
COBIJA,internaciones,contrareferidos,2021-07-01,74,158,74,158,232
COCHABAMBA,internaciones,contrareferidos,2021-07-01,283,844,283,844,1127
COLCAPIRHUA,internaciones,contrareferidos,2021-07-01,2,3,2,3,5
COROICO,internaciones,contrareferidos,2021-07-01,9,46,9,46,55
EL ALTO,internaciones,contrareferidos,2021-07-01,59,100,59,100,159
EL PUENTE(STC),internaciones,contrareferidos,2021-07-01,0,1,0,1,1
EL TORNO,internaciones,contrareferidos,2021-07-01,4,3,4,3,7
ENTRE RIOS CBBA,internaciones,contrareferidos,2021-07-01,0,1,0,1,1
ESCOMA,internaciones,contrareferidos,2021-07-01,1,7,1,7,8
GUAYARAMERIN,internaciones,contrareferidos,2021-07-01,2,65,2,65,67
HUACAYA (VILLA DE HUACAYA),internaciones,contrareferidos,2021-07-01,0,1,0,1,1
LA PAZ,internaciones,contrareferidos,2021-07-01,130,696,130,696,826
MIZQUE,internaciones,contrareferidos,2021-07-01,0,0,0,0,0
MONTEAGUDO,internaciones,contrareferidos,2021-07-01,12,30,12,30,42
MONTERO,internaciones,contrareferidos,2021-07-01,191,630,191,630,821
ORURO,internaciones,contrareferidos,2021-07-01,56,365,56,365,421
PADILLA,internaciones,contrareferidos,2021-07-01,4,23,4,23,27
POTOSI,internaciones,contrareferidos,2021-07-01,117,431,117,431,548
PUERTO VILLARROEL,internaciones,contrareferidos,2021-07-01,33,125,33,125,158
PUNATA,internaciones,contrareferidos,2021-07-01,117,202,117,202,319
RIBERALTA,internaciones,contrareferidos,2021-07-01,63,206,63,206,269
RURRENABAQUE,internaciones,contrareferidos,2021-07-01,0,2,0,2,2
SACABA,internaciones,contrareferidos,2021-07-01,30,71,30,71,101
SAN BUENA VENTURA,internaciones,contrareferidos,2021-07-01,2,9,2,9,11
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2021-07-01,4,12,4,12,16
SAN JULIAN,internaciones,contrareferidos,2021-07-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,internaciones,contrareferidos,2021-07-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2021-07-01,178,1497,178,1497,1675
SUCRE,internaciones,contrareferidos,2021-07-01,282,720,282,720,1002
TARABUCO,internaciones,contrareferidos,2021-07-01,6,18,6,18,24
TARIJA,internaciones,contrareferidos,2021-07-01,9,34,9,34,43
TUPIZA,internaciones,contrareferidos,2021-07-01,19,101,19,101,120
VALLEGRANDE,internaciones,contrareferidos,2021-07-01,6,5,6,5,11
VILLA MONTES,internaciones,contrareferidos,2021-07-01,11,26,11,26,37
VILLA TUNARI,internaciones,contrareferidos,2021-07-01,23,93,23,93,116
VILLAZON,internaciones,contrareferidos,2021-07-01,4,5,4,5,9
