municipality,group,variable,month,Mujeres con primer control post parto,TOTAL
CARANAVI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,85,85
CARAPARI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,2,2
CARIPUYO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,8,8
CATACORA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,1,1
CHACARILLA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,3,3
CHALLAPATA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,55,55
CHAQUI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,3,3
CHARAGUA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,31,31
CHARAÑA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,1,1
CHAYANTA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,11,11
CHIMORE,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,15,15
CHIPAYA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,2,2
CHOQUE COTA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,7,7
CHUMA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,12,12
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,12,12
CKOCHAS,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,24,24
CLIZA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,19,19
COBIJA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,63,63
COCAPATA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,17,17
COCHABAMBA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,621,621
COLCAPIRHUA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,43,43
"COLCHA ""K""",atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,4,4
COLLANA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,6,6
COLOMI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,21,21
COLPA BELGICA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,8,8
COLQUECHACA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,46,46
COLQUENCHA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,11,11
COLQUIRI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,24,24
COMARAPA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,30,30
COMBAYA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,4,4
CONCEPCION,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,2,2
COPACABANA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,12,12
CORIPATA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,16,16
CORO CORO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,7,7
COROICO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,14,14
CORQUE,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,8,8
COTAGAITA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,16,16
COTOCA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,79,79
CUATRO CAÑADAS,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,20,20
CUEVO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,3,3
CULPINA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,5,5
CURAHUARA DE CARANGAS,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,9,9
CURVA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,5,5
DESAGUADERO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,10,10
EL ALTO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,628,628
EL CHORO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,2,2
EL PUENTE(STC),atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,10,10
EL PUENTE(TJA),atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,15,15
EL TORNO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,46,46
EL VILLAR,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,2,2
ENTRE RIOS TRJ,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,22,22
ENTRE RIOS CBBA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,24,24
ESCOMA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,6,6
EUCALIPTUS,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,5,5
EUREKA (SANTOS MERCADO),atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,1,1
EXALTACION,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,1,1
FERNANDEZ ALONSO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,2,2
FILADELFIA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,2,2
GENERAL SAAVEDRA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,11,11
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,12,12
GUANAY,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,14,14
GUAQUI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,8,8
GUAYARAMERIN,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,21,21
GUTIERREZ,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,16,16
HUACARETA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,10,10
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,8,8
HUACHACALLA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,2,2
HUANUNI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,31,31
HUARACAJE,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,4,4
HUARINA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,4,4
HUAYLLAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,3,3
HUMANATA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,3,3
ICHOCA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,2,2
ICLA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,13,13
INCAHUASI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,15,15
INQUISIVI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,21,21
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,7,7
IXIAMAS,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,8,8
JESUS DE MACHACA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,18,18
LA ASUNTA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,38,38
LA GUARDIA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,38,38
LA PAZ,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,1174,1174
LAGUNILLAS,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,4,4
LAJA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,11,11
LAS CARRERAS,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,6,6
LLALLAGUA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,6,6
LLICA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,7,7
LORETO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,14,14
LURIBAY,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,3,3
MACHACAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,2,2
MACHARETI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,5,5
MAGDALENA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,21,21
MAIRANA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,26,26
MALLA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,3,3
MAPIRI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,24,24
MECAPACA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,5,5
MINEROS,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,4,4
MIZQUE,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,31,31
MOCOMOCO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,27,27
MOJOCOYA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,9,9
MONTEAGUDO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,63,63
MONTERO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,91,91
MORO MORO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,2,2
MOROCHATA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,17,17
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,2,2
OCURI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,22,22
OKINAWA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,9,9
OMEREQUE,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,9,9
ORURO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,637,637
PADCAYA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,16,16
PADILLA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,19,19
PAILON,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,6,6
PALCA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,7,7
PALOS BLANCOS,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,45,45
PAMPA AULLAGAS,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,4,4
PAMPA GRANDE,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,15,15
PAPEL PAMPA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,6,6
PASORAPA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,1,1
PATACAMAYA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,32,32
PAZÑA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,10,10
PELECHUCO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,4,4
POCOATA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,32,32
POCONA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,8,8
POJO (CBBA),atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,17,17
POOPO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,5,5
PORCO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,18,18
POROMA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,12,12
PORONGO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,10,10
PORTACHUELO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,27,27
PORVENIR,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,8,8
POSTRER VALLE,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,1,1
POTOSI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,279,279
PRESTO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,11,11
PUCARA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,1,1
PUCARANI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,25,25
PUERTO ACOSTA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,16,16
PUERTO CARABUCO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,13,13
PUERTO GONZALO MORENO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,9,9
PUERTO PEREZ,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,3,3
PUERTO QUIJARRO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,10,10
PUERTO RICO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,4,4
PUERTO SILES,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,1,1
PUERTO SUAREZ,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,41,41
PUERTO VILLARROEL,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,54,54
PUNA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,12,12
PUNATA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,24,24
QUIABAYA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,3,3
QUILLACOLLO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,48,48
QUIME,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,4,4
RAVELO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,10,10
REYES,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,28,28
RIBERALTA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,40,40
ROBORE,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,14,14
RURRENABAQUE,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,7,7
SACABA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,130,130
SACABAMBA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,3,3
SACACA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,23,23
SAIPINA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,6,6
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,11,11
SAMAIPATA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,9,9
SAN AGUSTIN,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,3,3
SAN ANDRES,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,6,6
SAN ANDRES DE MACHACA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,7,7
SAN BENITO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,10,10
SAN BORJA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,77,77
SAN BUENA VENTURA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,29,29
SAN CARLOS,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,24,24
SAN IGNACIO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,36,36
SAN IGNACIO DE VELASCO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,80,80
SAN JAVIER(BNI),atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,4,4
SAN JAVIER(STC),atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,22,22
SAN JOAQUIN,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,6,6
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,32,32
SAN JUAN DE YAPACANI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,8,8
SAN JULIAN,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,67,67
SAN LORENZO(PND),atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,8,8
SAN LORENZO(TJA),atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,8,8
SAN LUCAS,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,55,55
SAN MATIAS,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,11,11
SAN MIGUEL DE VELASCO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,6,6
SAN PABLO DE LIPEZ,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,5,5
SAN PEDRO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,17,17
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,23,23
SAN PEDRO DE CURAHUARA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,3,3
SAN PEDRO DE TIQUINA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,2,2
SAN PEDRO(PND),atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,1,1
SAN RAFAEL,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,3,3
SAN RAMON BENI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,10,10
SAN RAMON SCZ,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,17,17
SANTA ANA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,33,33
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,565,565
SANTA ROSA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,6,6
SANTA ROSA DEL SARA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,16,16
SANTIAGO DE CALLAPA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,3,3
SANTIAGO DE HUARI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,7,7
SANTIAGO DE HUATA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,6,6
SANTIAGO DE MACHACA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,3,3
SANTIVAÑES,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,2,2
SANTUARIO DE QUILLACAS,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,3,3
SAPAHAQUI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,9,9
SENA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,2,2
SHINAOTA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,28,28
SICA SICA (VILLA AROMA),atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,10,10
SICAYA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,2,2
SIPE SIPE,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,18,18
SOPACHUY,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,18,18
SORACACHI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,9,9
SORATA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,14,14
SUCRE,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,405,405
TACACHI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,1,1
TACACOMA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,10,10
TACOBAMBA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,5,5
TACOPAYA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,12,12
TAHUA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,1,1
TAPACARI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,23,23
TARABUCO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,37,37
TARACO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,5,5
TARATA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,7,7
TARIJA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,148,148
TARVITA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,14,14
TEOPONTE,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,12,12
TIAWANACU,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,18,18
TINGUIPAYA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,8,8
TIPUANI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,19,19
TIQUIPAYA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,107,107
TIRAQUE (CBBA),atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,23,23
TOCO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,3,3
TOLATA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,9,9
TOLEDO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,5,5
TOMAVE,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,13,13
TOMINA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,8,8
TORO TORO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,2,2
TOTORA(CBBA),atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,16,16
TOTORA(ORR),atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,5,5
TRIGAL,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,1,1
TRINIDAD,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,260,260
TUPIZA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,57,57
TURCO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,2,2
UMALA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,6,6
UNCIA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,15,15
URIONDO (A. CONCEPCION),atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,10,10
URUBICHA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,6,6
UYUNI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,5,5
VACAS,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,14,14
VALLEGRANDE,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,29,29
VIACHA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,69,69
VILA VILA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,5,5
VILLA CHARCAS,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,17,17
VILLA MONTES,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,30,30
VILLA NUEVA (LOMA ALTA),atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,2,2
VILLA RIVERO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,1,1
VILLA SERRANO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,7,7
VILLA TUNARI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,144,144
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,18,18
VILLAZON,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,56,56
VINTO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,3,3
VITICHI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,5,5
WALDO BALLIVIAN,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,2,2
WARNES,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,41,41
YACO,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,14,14
YACUIBA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,75,75
YAMPARAEZ,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,5,5
YANACACHI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,2,2
YAPACANI,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,71,71
YOCALLA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,7,7
YOTALA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,7,7
YUNCHARA,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,3,3
ZUDAÑEZ,atencion de partos en servicios,mujeres con primer control post parto,2012-01-01,12,12
ACACIO,atencion de partos en servicios,mujeres con primer control post parto,2012-02-01,1,1
ACHACACHI,atencion de partos en servicios,mujeres con primer control post parto,2012-02-01,54,54
ACHOCALLA,atencion de partos en servicios,mujeres con primer control post parto,2012-02-01,9,9
AIQUILE,atencion de partos en servicios,mujeres con primer control post parto,2012-02-01,29,29
ALCALA,atencion de partos en servicios,mujeres con primer control post parto,2012-02-01,3,3
ALTO BENI,atencion de partos en servicios,mujeres con primer control post parto,2012-02-01,4,4
ANCORAIMES,atencion de partos en servicios,mujeres con primer control post parto,2012-02-01,17,17
ANDAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2012-02-01,1,1
ANTEQUERA,atencion de partos en servicios,mujeres con primer control post parto,2012-02-01,1,1
